"ple0081_h","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Yes","2003","Not Employed","Couple + C. LE 16 ","","","",""
"Yes","2003","Not Employed","Couple + C. GT 16 ","","","",""
"Yes","2003","Not Employed","Couple + C. LE and GT 16","","","",""
"Yes","2003","Employed","1-pers.-HH","","","",""
"Yes","2003","Employed","(Married) couple without C. ","","","",""
"Yes","2003","Employed","Single parent ","","","",""
"Yes","2003","Employed","Couple + C. LE 16 ","","","",""
"Yes","2003","Employed","Couple + C. GT 16 ","","","",""
"Yes","2003","Employed","Couple + C. LE and GT 16","","","",""
"No","2003","Not Employed","1-pers.-HH","","","",""
"No","2003","Not Employed","(Married) couple without C. ","","","",""
"No","2003","Not Employed","Single parent ","","","",""
"No","2003","Not Employed","Couple + C. LE 16 ","","","",""
"No","2003","Not Employed","Couple + C. GT 16 ","","","",""
"No","2003","Not Employed","Couple + C. LE and GT 16","","","",""
"No","2003","Employed","1-pers.-HH","","","",""
"No","2003","Employed","(Married) couple without C. ","","","",""
"No","2003","Employed","Single parent ","","","",""
"No","2003","Employed","Couple + C. LE 16 ","","","",""
"No","2003","Employed","Couple + C. GT 16 ","","","",""
"No","2003","Employed","Couple + C. LE and GT 16","","","",""
"Yes","2004","Not Employed","1-pers.-HH","294","0.194000622349953","0.173717230632459","0.214284014067447"
"Yes","2004","Not Employed","(Married) couple without C. ","512","0.140363378868569","0.128952805879525","0.151773951857613"
"Yes","2004","Not Employed","Single parent ","157","0.399601040745292","0.351050621664872","0.448151459825711"
"Yes","2004","Not Employed","Couple + C. LE 16 ","263","0.347049103968549","0.313160848450779","0.380937359486319"
"Yes","2004","Not Employed","Couple + C. GT 16 ","299","0.263738006942259","0.238836947307374","0.288639066577143"
"Yes","2004","Not Employed","Couple + C. LE and GT 16","170","0.309933067934553","0.270999158559892","0.348866977309213"
"Yes","2004","Employed","1-pers.-HH","633","0.429926745213256","0.404584582765142","0.45526890766137"
"Yes","2004","Employed","(Married) couple without C. ","1174","0.323350531374256","0.308317254231475","0.338383808517037"
"Yes","2004","Employed","Single parent ","335","0.495538717071659","0.458579467503319","0.532497966639999"
"Yes","2004","Employed","Couple + C. LE 16 ","1070","0.333703039508066","0.31761736316423","0.349788715851902"
"Yes","2004","Employed","Couple + C. GT 16 ","886","0.348649057057673","0.330743592605611","0.366554521509734"
"Yes","2004","Employed","Couple + C. LE and GT 16","439","0.369890952654008","0.343138466479058","0.396643438828957"
"No","2004","Not Employed","1-pers.-HH","1166","0.805999377650047","0.785715985932553","0.826282769367541"
"No","2004","Not Employed","(Married) couple without C. ","3048","0.859636621131431","0.848226048142387","0.871047194120475"
"No","2004","Not Employed","Single parent ","234","0.600398959254708","0.551848540174289","0.648949378335128"
"No","2004","Not Employed","Couple + C. LE 16 ","495","0.652950896031451","0.619062640513681","0.686839151549221"
"No","2004","Not Employed","Couple + C. GT 16 ","904","0.736261993057741","0.711360933422857","0.761163052692626"
"No","2004","Not Employed","Couple + C. LE and GT 16","372","0.690066932065447","0.651133022690787","0.729000841440108"
"No","2004","Employed","1-pers.-HH","833","0.570073254786744","0.54473109233863","0.595415417234858"
"No","2004","Employed","(Married) couple without C. ","2545","0.676649468625744","0.661616191482963","0.691682745768525"
"No","2004","Employed","Single parent ","368","0.504461282928341","0.467502033360001","0.541420532496681"
"No","2004","Employed","Couple + C. LE 16 ","2231","0.666296960491934","0.650211284148098","0.68238263683577"
"No","2004","Employed","Couple + C. GT 16 ","1835","0.651350942942328","0.633445478490266","0.669256407394389"
"No","2004","Employed","Couple + C. LE and GT 16","812","0.630109047345992","0.603356561171043","0.656861533520942"
"Yes","2005","Not Employed","1-pers.-HH","","","",""
"Yes","2005","Not Employed","(Married) couple without C. ","","","",""
"Yes","2005","Not Employed","Single parent ","","","",""
"Yes","2005","Not Employed","Couple + C. LE 16 ","","","",""
"Yes","2005","Not Employed","Couple + C. GT 16 ","","","",""
"Yes","2005","Not Employed","Couple + C. LE and GT 16","","","",""
"Yes","2005","Employed","1-pers.-HH","","","",""
"Yes","2005","Employed","(Married) couple without C. ","","","",""
"Yes","2005","Employed","Single parent ","","","",""
"Yes","2005","Employed","Couple + C. LE 16 ","","","",""
"Yes","2005","Employed","Couple + C. GT 16 ","","","",""
"Yes","2005","Employed","Couple + C. LE and GT 16","","","",""
"No","2005","Not Employed","1-pers.-HH","","","",""
"No","2005","Not Employed","(Married) couple without C. ","","","",""
"No","2005","Not Employed","Single parent ","","","",""
"No","2005","Not Employed","Couple + C. LE 16 ","","","",""
"No","2005","Not Employed","Couple + C. GT 16 ","","","",""
"No","2005","Not Employed","Couple + C. LE and GT 16","","","",""
"No","2005","Employed","1-pers.-HH","","","",""
"No","2005","Employed","(Married) couple without C. ","","","",""
"No","2005","Employed","Single parent ","","","",""
"No","2005","Employed","Couple + C. LE 16 ","","","",""
"No","2005","Employed","Couple + C. GT 16 ","","","",""
"No","2005","Employed","Couple + C. LE and GT 16","","","",""
"Yes","2006","Not Employed","1-pers.-HH","344","0.20686899951133","0.187585608421285","0.226152390601376"
"Yes","2006","Not Employed","(Married) couple without C. ","580","0.147922839897917","0.136928992644327","0.158916687151507"
"Yes","2006","Not Employed","Single parent ","178","0.449082382074198","0.40075901073954","0.497405753408856"
"Yes","2006","Not Employed","Couple + C. LE 16 ","232","0.308889773770284","0.275954398351918","0.341825149188649"
"Yes","2006","Not Employed","Couple + C. GT 16 ","276","0.282189470215682","0.25496692323362","0.309412017197745"
"Yes","2006","Not Employed","Couple + C. LE and GT 16","140","0.39589568392576","0.348957485520905","0.442833882330616"
"Yes","2006","Employed","1-pers.-HH","701","0.422455176775811","0.398679165732257","0.446231187819366"
"Yes","2006","Employed","(Married) couple without C. ","1157","0.320508811732092","0.305815349561418","0.335202273902766"
"Yes","2006","Employed","Single parent ","353","0.480635342725214","0.445184230119959","0.516086455330468"
"Yes","2006","Employed","Couple + C. LE 16 ","989","0.334075572941565","0.317661500888878","0.350489644994253"
"Yes","2006","Employed","Couple + C. GT 16 ","840","0.348750833249823","0.330512709296914","0.366988957202733"
"Yes","2006","Employed","Couple + C. LE and GT 16","347","0.350984840527826","0.322493668781613","0.379476012274039"
"No","2006","Not Employed","1-pers.-HH","1351","0.79313100048867","0.773847609398624","0.812414391578715"
"No","2006","Not Employed","(Married) couple without C. ","3426","0.852077160102083","0.841083312848493","0.863071007355673"
"No","2006","Not Employed","Single parent ","229","0.550917617925802","0.502594246591144","0.59924098926046"
"No","2006","Not Employed","Couple + C. LE 16 ","524","0.691110226229716","0.658174850811351","0.724045601648082"
"No","2006","Not Employed","Couple + C. GT 16 ","774","0.717810529784318","0.690587982802255","0.74503307676638"
"No","2006","Not Employed","Couple + C. LE and GT 16","277","0.60410431607424","0.557166117669384","0.651042514479095"
"No","2006","Employed","1-pers.-HH","957","0.577544823224189","0.553768812180635","0.601320834267743"
"No","2006","Employed","(Married) couple without C. ","2718","0.679491188267908","0.664797726097234","0.694184650438582"
"No","2006","Employed","Single parent ","410","0.519364657274787","0.483913544669532","0.554815769880041"
"No","2006","Employed","Couple + C. LE 16 ","2183","0.665924427058435","0.649510355005748","0.682338499111122"
"No","2006","Employed","Couple + C. GT 16 ","1783","0.651249166750177","0.633011042797267","0.669487290703086"
"No","2006","Employed","Couple + C. LE and GT 16","731","0.649015159472174","0.620523987725961","0.677506331218387"
"Yes","2007","Not Employed","1-pers.-HH","","","",""
"Yes","2007","Not Employed","(Married) couple without C. ","","","",""
"Yes","2007","Not Employed","Single parent ","","","",""
"Yes","2007","Not Employed","Couple + C. LE 16 ","","","",""
"Yes","2007","Not Employed","Couple + C. GT 16 ","","","",""
"Yes","2007","Not Employed","Couple + C. LE and GT 16","","","",""
"Yes","2007","Employed","1-pers.-HH","","","",""
"Yes","2007","Employed","(Married) couple without C. ","","","",""
"Yes","2007","Employed","Single parent ","","","",""
"Yes","2007","Employed","Couple + C. LE 16 ","","","",""
"Yes","2007","Employed","Couple + C. GT 16 ","","","",""
"Yes","2007","Employed","Couple + C. LE and GT 16","","","",""
"No","2007","Not Employed","1-pers.-HH","","","",""
"No","2007","Not Employed","(Married) couple without C. ","","","",""
"No","2007","Not Employed","Single parent ","","","",""
"No","2007","Not Employed","Couple + C. LE 16 ","","","",""
"No","2007","Not Employed","Couple + C. GT 16 ","","","",""
"No","2007","Not Employed","Couple + C. LE and GT 16","","","",""
"No","2007","Employed","1-pers.-HH","","","",""
"No","2007","Employed","(Married) couple without C. ","","","",""
"No","2007","Employed","Single parent ","","","",""
"No","2007","Employed","Couple + C. LE 16 ","","","",""
"No","2007","Employed","Couple + C. GT 16 ","","","",""
"No","2007","Employed","Couple + C. LE and GT 16","","","",""
"Yes","2008","Not Employed","1-pers.-HH","313","0.220185562249611","0.199516798646832","0.24085432585239"
"Yes","2008","Not Employed","(Married) couple without C. ","510","0.142217584087632","0.130897469347757","0.153537698827507"
"Yes","2008","Not Employed","Single parent ","133","0.352700644521663","0.30465964808941","0.400741640953917"
"Yes","2008","Not Employed","Couple + C. LE 16 ","134","0.235487507639929","0.19822177623784","0.272753239042018"
"Yes","2008","Not Employed","Couple + C. GT 16 ","190","0.212593489397029","0.186312135681412","0.238874843112647"
"Yes","2008","Not Employed","Couple + C. LE and GT 16","65","0.254290375342063","0.205258713583135","0.30332203710099"
"Yes","2008","Employed","1-pers.-HH","602","0.400384580944737","0.375646469992292","0.425122691897182"
"Yes","2008","Employed","(Married) couple without C. ","1039","0.304829331977944","0.289401349577017","0.320257314378871"
"Yes","2008","Employed","Single parent ","339","0.502115994303242","0.465260308287926","0.538971680318557"
"Yes","2008","Employed","Couple + C. LE 16 ","787","0.313744385622268","0.296296845385487","0.331191925859049"
"Yes","2008","Employed","Couple + C. GT 16 ","734","0.326644498519911","0.308016830532026","0.345272166507796"
"Yes","2008","Employed","Couple + C. LE and GT 16","254","0.274705228716097","0.245735701465804","0.303674755966391"
"No","2008","Not Employed","1-pers.-HH","1231","0.779814437750389","0.75914567414761","0.800483201353168"
"No","2008","Not Employed","(Married) couple without C. ","3147","0.857782415912368","0.846462301172493","0.869102530652243"
"No","2008","Not Employed","Single parent ","247","0.647299355478337","0.599258359046083","0.69534035191059"
"No","2008","Not Employed","Couple + C. LE 16 ","364","0.764512492360071","0.727246760957982","0.80177822376216"
"No","2008","Not Employed","Couple + C. GT 16 ","741","0.787406510602971","0.761125156887353","0.813687864318588"
"No","2008","Not Employed","Couple + C. LE and GT 16","238","0.745709624657937","0.69667796289901","0.794741286416865"
"No","2008","Employed","1-pers.-HH","905","0.599615419055263","0.574877308102818","0.624353530007708"
"No","2008","Employed","(Married) couple without C. ","2381","0.695170668022056","0.679742685621129","0.710598650422984"
"No","2008","Employed","Single parent ","368","0.497884005696758","0.461028319681443","0.534739691712074"
"No","2008","Employed","Couple + C. LE 16 ","1930","0.686255614377732","0.668808074140951","0.703703154614513"
"No","2008","Employed","Couple + C. GT 16 ","1701","0.673355501480089","0.654727833492204","0.691983169467974"
"No","2008","Employed","Couple + C. LE and GT 16","658","0.725294771283903","0.696325244033609","0.754264298534196"
"Yes","2009","Not Employed","1-pers.-HH","","","",""
"Yes","2009","Not Employed","(Married) couple without C. ","","","",""
"Yes","2009","Not Employed","Single parent ","","","",""
"Yes","2009","Not Employed","Couple + C. LE 16 ","","","",""
"Yes","2009","Not Employed","Couple + C. GT 16 ","","","",""
"Yes","2009","Not Employed","Couple + C. LE and GT 16","","","",""
"Yes","2009","Employed","1-pers.-HH","","","",""
"Yes","2009","Employed","(Married) couple without C. ","","","",""
"Yes","2009","Employed","Single parent ","","","",""
"Yes","2009","Employed","Couple + C. LE 16 ","","","",""
"Yes","2009","Employed","Couple + C. GT 16 ","","","",""
"Yes","2009","Employed","Couple + C. LE and GT 16","","","",""
"No","2009","Not Employed","1-pers.-HH","","","",""
"No","2009","Not Employed","(Married) couple without C. ","","","",""
"No","2009","Not Employed","Single parent ","","","",""
"No","2009","Not Employed","Couple + C. LE 16 ","","","",""
"No","2009","Not Employed","Couple + C. GT 16 ","","","",""
"No","2009","Not Employed","Couple + C. LE and GT 16","","","",""
"No","2009","Employed","1-pers.-HH","","","",""
"No","2009","Employed","(Married) couple without C. ","","","",""
"No","2009","Employed","Single parent ","","","",""
"No","2009","Employed","Couple + C. LE 16 ","","","",""
"No","2009","Employed","Couple + C. GT 16 ","","","",""
"No","2009","Employed","Couple + C. LE and GT 16","","","",""
"Yes","2010","Not Employed","1-pers.-HH","259","0.211232035838062","0.189812230913073","0.232651840763051"
"Yes","2010","Not Employed","(Married) couple without C. ","456","0.140719838313395","0.12864530756885","0.152794369057941"
"Yes","2010","Not Employed","Single parent ","90","0.295055254647612","0.24014488471344","0.349965624581784"
"Yes","2010","Not Employed","Couple + C. LE 16 ","108","0.292734269229621","0.246803310885533","0.338665227573709"
"Yes","2010","Not Employed","Couple + C. GT 16 ","148","0.226704596209287","0.196352249143866","0.257056943274708"
"Yes","2010","Not Employed","Couple + C. LE and GT 16","52","0.144349323005021","0.102583671166523","0.186114974843519"
"Yes","2010","Employed","1-pers.-HH","509","0.373917092351547","0.348183418716646","0.399650765986448"
"Yes","2010","Employed","(Married) couple without C. ","932","0.316472115843262","0.300227568878307","0.332716662808218"
"Yes","2010","Employed","Single parent ","280","0.451732988446047","0.412810084867391","0.490655892024703"
"Yes","2010","Employed","Couple + C. LE 16 ","635","0.279567905167898","0.260707168888869","0.298428641446927"
"Yes","2010","Employed","Couple + C. GT 16 ","577","0.295355494476752","0.275862310332356","0.314848678621148"
"Yes","2010","Employed","Couple + C. LE and GT 16","210","0.247115075788835","0.216767000592671","0.277463150984998"
"No","2010","Not Employed","1-pers.-HH","1136","0.788767964161938","0.767348159236949","0.810187769086927"
"No","2010","Not Employed","(Married) couple without C. ","2730","0.859280161686605","0.847205630942059","0.87135469243115"
"No","2010","Not Employed","Single parent ","175","0.704944745352388","0.650034375418217","0.75985511528656"
"No","2010","Not Employed","Couple + C. LE 16 ","269","0.707265730770379","0.661334772426291","0.753196689114467"
"No","2010","Not Employed","Couple + C. GT 16 ","583","0.773295403790713","0.742943056725292","0.803647750856134"
"No","2010","Not Employed","Couple + C. LE and GT 16","220","0.855650676994979","0.813885025156481","0.897416328833477"
"No","2010","Employed","1-pers.-HH","849","0.626082907648453","0.600349234013551","0.651816581283354"
"No","2010","Employed","(Married) couple without C. ","2217","0.683527884156738","0.667283337191782","0.699772431121693"
"No","2010","Employed","Single parent ","348","0.548267011553953","0.509344107975297","0.587189915132609"
"No","2010","Employed","Couple + C. LE 16 ","1540","0.720432094832102","0.701571358553073","0.739292831111131"
"No","2010","Employed","Couple + C. GT 16 ","1527","0.704644505523248","0.685151321378852","0.724137689667644"
"No","2010","Employed","Couple + C. LE and GT 16","566","0.752884924211165","0.722536849015002","0.783232999407328"
"Yes","2011","Not Employed","1-pers.-HH","","","",""
"Yes","2011","Not Employed","(Married) couple without C. ","","","",""
"Yes","2011","Not Employed","Single parent ","","","",""
"Yes","2011","Not Employed","Couple + C. LE 16 ","","","",""
"Yes","2011","Not Employed","Couple + C. GT 16 ","","","",""
"Yes","2011","Not Employed","Couple + C. LE and GT 16","","","",""
"Yes","2011","Employed","1-pers.-HH","","","",""
"Yes","2011","Employed","(Married) couple without C. ","","","",""
"Yes","2011","Employed","Single parent ","","","",""
"Yes","2011","Employed","Couple + C. LE 16 ","","","",""
"Yes","2011","Employed","Couple + C. GT 16 ","","","",""
"Yes","2011","Employed","Couple + C. LE and GT 16","","","",""
"No","2011","Not Employed","1-pers.-HH","","","",""
"No","2011","Not Employed","(Married) couple without C. ","","","",""
"No","2011","Not Employed","Single parent ","","","",""
"No","2011","Not Employed","Couple + C. LE 16 ","","","",""
"No","2011","Not Employed","Couple + C. GT 16 ","","","",""
"No","2011","Not Employed","Couple + C. LE and GT 16","","","",""
"No","2011","Employed","1-pers.-HH","","","",""
"No","2011","Employed","(Married) couple without C. ","","","",""
"No","2011","Employed","Single parent ","","","",""
"No","2011","Employed","Couple + C. LE 16 ","","","",""
"No","2011","Employed","Couple + C. GT 16 ","","","",""
"No","2011","Employed","Couple + C. LE and GT 16","","","",""
"Yes","2012","Not Employed","1-pers.-HH","388","0.217177356658978","0.198398611819481","0.235956101498476"
"Yes","2012","Not Employed","(Married) couple without C. ","598","0.147596991015687","0.136871109647242","0.158322872384132"
"Yes","2012","Not Employed","Single parent ","130","0.323750992938022","0.276138599796553","0.37136338607949"
"Yes","2012","Not Employed","Couple + C. LE 16 ","122","0.23031982139038","0.190708070882047","0.269931571898713"
"Yes","2012","Not Employed","Couple + C. GT 16 ","150","0.210678624595373","0.181686605363783","0.239670643826963"
"Yes","2012","Not Employed","Couple + C. LE and GT 16","49","0.200469218400112","0.151711917968621","0.249226518831603"
"Yes","2012","Employed","1-pers.-HH","697","0.376903756665399","0.354602863910439","0.39920464942036"
"Yes","2012","Employed","(Married) couple without C. ","1056","0.27816323432759","0.264155563354095","0.292170905301085"
"Yes","2012","Employed","Single parent ","354","0.409469697566607","0.376056471759801","0.442882923373413"
"Yes","2012","Employed","Couple + C. LE 16 ","762","0.297240785087251","0.279783362060725","0.314698208113778"
"Yes","2012","Employed","Couple + C. GT 16 ","618","0.290538186843547","0.271609604993201","0.309466768693892"
"Yes","2012","Employed","Couple + C. LE and GT 16","232","0.304223907372049","0.272943024641849","0.335504790102249"
"No","2012","Not Employed","1-pers.-HH","1464","0.782822643341022","0.764043898501524","0.801601388180519"
"No","2012","Not Employed","(Married) couple without C. ","3603","0.852403008984313","0.841677127615868","0.863128890352758"
"No","2012","Not Employed","Single parent ","241","0.676249007061978","0.62863661392051","0.723861400203447"
"No","2012","Not Employed","Couple + C. LE 16 ","312","0.76968017860962","0.730068428101287","0.809291929117953"
"No","2012","Not Employed","Couple + C. GT 16 ","610","0.789321375404627","0.760329356173037","0.818313394636217"
"No","2012","Not Employed","Couple + C. LE and GT 16","210","0.799530781599888","0.750773481168397","0.848288082031379"
"No","2012","Employed","1-pers.-HH","1117","0.623096243334601","0.60079535057964","0.645397136089562"
"No","2012","Employed","(Married) couple without C. ","2875","0.72183676567241","0.707829094698915","0.735844436645905"
"No","2012","Employed","Single parent ","478","0.590530302433393","0.557117076626587","0.623943528240199"
"No","2012","Employed","Couple + C. LE 16 ","1871","0.702759214912749","0.685301791886222","0.720216637939275"
"No","2012","Employed","Couple + C. GT 16 ","1592","0.709461813156453","0.690533231306108","0.728390395006799"
"No","2012","Employed","Couple + C. LE and GT 16","599","0.695776092627951","0.66449520989775","0.727056975358151"
"Yes","2013","Not Employed","1-pers.-HH","","","",""
"Yes","2013","Not Employed","(Married) couple without C. ","","","",""
"Yes","2013","Not Employed","Single parent ","","","",""
"Yes","2013","Not Employed","Couple + C. LE 16 ","","","",""
"Yes","2013","Not Employed","Couple + C. GT 16 ","","","",""
"Yes","2013","Not Employed","Couple + C. LE and GT 16","","","",""
"Yes","2013","Employed","1-pers.-HH","","","",""
"Yes","2013","Employed","(Married) couple without C. ","","","",""
"Yes","2013","Employed","Single parent ","","","",""
"Yes","2013","Employed","Couple + C. LE 16 ","","","",""
"Yes","2013","Employed","Couple + C. GT 16 ","","","",""
"Yes","2013","Employed","Couple + C. LE and GT 16","","","",""
"No","2013","Not Employed","1-pers.-HH","","","",""
"No","2013","Not Employed","(Married) couple without C. ","","","",""
"No","2013","Not Employed","Single parent ","","","",""
"No","2013","Not Employed","Couple + C. LE 16 ","","","",""
"No","2013","Not Employed","Couple + C. GT 16 ","","","",""
"No","2013","Not Employed","Couple + C. LE and GT 16","","","",""
"No","2013","Employed","1-pers.-HH","","","",""
"No","2013","Employed","(Married) couple without C. ","","","",""
"No","2013","Employed","Single parent ","","","",""
"No","2013","Employed","Couple + C. LE 16 ","","","",""
"No","2013","Employed","Couple + C. GT 16 ","","","",""
"No","2013","Employed","Couple + C. LE and GT 16","","","",""
"Yes","2014","Not Employed","1-pers.-HH","382","0.212706538968522","0.193539114493109","0.231873963443934"
"Yes","2014","Not Employed","(Married) couple without C. ","593","0.151448849593809","0.140265123281296","0.162632575906322"
"Yes","2014","Not Employed","Single parent ","276","0.395615205436625","0.359996997876304","0.431233412996945"
"Yes","2014","Not Employed","Couple + C. LE 16 ","411","0.295636500203117","0.269956493182937","0.321316507223298"
"Yes","2014","Not Employed","Couple + C. GT 16 ","184","0.196688962801457","0.169499014954191","0.223878910648723"
"Yes","2014","Not Employed","Couple + C. LE and GT 16","137","0.215968068769079","0.182651449134524","0.249284688403634"
"Yes","2014","Employed","1-pers.-HH","719","0.383389840962216","0.361579082661474","0.405200599262958"
"Yes","2014","Employed","(Married) couple without C. ","1101","0.277616415595712","0.263827824960112","0.291405006231313"
"Yes","2014","Employed","Single parent ","698","0.430322265963976","0.406991093113315","0.453653438814637"
"Yes","2014","Employed","Couple + C. LE 16 ","1551","0.263280429920297","0.251793615898464","0.27476724394213"
"Yes","2014","Employed","Couple + C. GT 16 ","620","0.272104644681593","0.253756323951025","0.290452965412161"
"Yes","2014","Employed","Couple + C. LE and GT 16","452","0.280114600248848","0.258466927202977","0.301762273294718"
"No","2014","Not Employed","1-pers.-HH","1369","0.787293461031478","0.768126036556066","0.806460885506891"
"No","2014","Not Employed","(Married) couple without C. ","3354","0.848551150406191","0.837367424093678","0.859734876718704"
"No","2014","Not Employed","Single parent ","448","0.604384794563375","0.568766587003055","0.640003002123696"
"No","2014","Not Employed","Couple + C. LE 16 ","802","0.704363499796883","0.678683492776702","0.730043506817063"
"No","2014","Not Employed","Couple + C. GT 16 ","637","0.803311037198543","0.776121089351277","0.830500985045809"
"No","2014","Not Employed","Couple + C. LE and GT 16","449","0.784031931230921","0.750715311596366","0.817348550865476"
"No","2014","Employed","1-pers.-HH","1190","0.616610159037784","0.594799400737042","0.638420917338526"
"No","2014","Employed","(Married) couple without C. ","2951","0.722383584404288","0.708594993768687","0.736172175039888"
"No","2014","Employed","Single parent ","1032","0.569677734036024","0.546346561185363","0.593008906886685"
"No","2014","Employed","Couple + C. LE 16 ","4096","0.736719570079703","0.72523275605787","0.748206384101536"
"No","2014","Employed","Couple + C. GT 16 ","1640","0.727895355318407","0.709547034587839","0.746243676048975"
"No","2014","Employed","Couple + C. LE and GT 16","1201","0.719885399751152","0.698237726705282","0.741533072797023"
"Yes","2015","Not Employed","1-pers.-HH","","","",""
"Yes","2015","Not Employed","(Married) couple without C. ","","","",""
"Yes","2015","Not Employed","Single parent ","","","",""
"Yes","2015","Not Employed","Couple + C. LE 16 ","","","",""
"Yes","2015","Not Employed","Couple + C. GT 16 ","","","",""
"Yes","2015","Not Employed","Couple + C. LE and GT 16","","","",""
"Yes","2015","Employed","1-pers.-HH","","","",""
"Yes","2015","Employed","(Married) couple without C. ","","","",""
"Yes","2015","Employed","Single parent ","","","",""
"Yes","2015","Employed","Couple + C. LE 16 ","","","",""
"Yes","2015","Employed","Couple + C. GT 16 ","","","",""
"Yes","2015","Employed","Couple + C. LE and GT 16","","","",""
"No","2015","Not Employed","1-pers.-HH","","","",""
"No","2015","Not Employed","(Married) couple without C. ","","","",""
"No","2015","Not Employed","Single parent ","","","",""
"No","2015","Not Employed","Couple + C. LE 16 ","","","",""
"No","2015","Not Employed","Couple + C. GT 16 ","","","",""
"No","2015","Not Employed","Couple + C. LE and GT 16","","","",""
"No","2015","Employed","1-pers.-HH","","","",""
"No","2015","Employed","(Married) couple without C. ","","","",""
"No","2015","Employed","Single parent ","","","",""
"No","2015","Employed","Couple + C. LE 16 ","","","",""
"No","2015","Employed","Couple + C. GT 16 ","","","",""
"No","2015","Employed","Couple + C. LE and GT 16","","","",""
"Yes","2016","Not Employed","1-pers.-HH","332","0.202704965692748","0.183289714447546","0.222120216937949"
"Yes","2016","Not Employed","(Married) couple without C. ","498","0.149707825423344","0.137853828472835","0.161561822373853"
"Yes","2016","Not Employed","Single parent ","217","0.402404137548592","0.363710414512349","0.441097860584835"
"Yes","2016","Not Employed","Couple + C. LE 16 ","304","0.291593121561767","0.261833725836822","0.321352517286712"
"Yes","2016","Not Employed","Couple + C. GT 16 ","155","0.202223907614392","0.17244791412348","0.231999901105304"
"Yes","2016","Not Employed","Couple + C. LE and GT 16","106","0.169519212227435","0.13711371167024","0.201924712784631"
"Yes","2016","Employed","1-pers.-HH","655","0.3614125381019","0.339473626450041","0.383351449753759"
"Yes","2016","Employed","(Married) couple without C. ","1036","0.259262714490822","0.245466550705515","0.273058878276129"
"Yes","2016","Employed","Single parent ","593","0.375376608857357","0.351105642206355","0.399647575508358"
"Yes","2016","Employed","Couple + C. LE 16 ","1314","0.259277533869692","0.24699831656098","0.271556751178403"
"Yes","2016","Employed","Couple + C. GT 16 ","507","0.264121027218239","0.24502742808351","0.283214626352968"
"Yes","2016","Employed","Couple + C. LE and GT 16","399","0.232400386870995","0.211528124437997","0.253272649303992"
"No","2016","Not Employed","1-pers.-HH","1315","0.797295034307252","0.777879783062051","0.816710285552454"
"No","2016","Not Employed","(Married) couple without C. ","2982","0.850292174576656","0.838438177626147","0.862146171527165"
"No","2016","Not Employed","Single parent ","400","0.597595862451408","0.558902139415165","0.636289585487651"
