"ple0081_h","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","2013","indirect migration background","East Germany","","","","","2"
"Yes","2013","direct migration background","West Germany","","","","","1"
"Yes","2013","direct migration background","East Germany","","","","","1"
"Yes","2013","indirect migration background","West Germany","","","","","1"
"Yes","2013","indirect migration background","East Germany","","","","","1"
"Yes","2013","no migration background","West Germany","","","","","1"
"Yes","2013","no migration background","East Germany","","","","","1"
"No","2014","no migration background","West Germany","11310","0.749242261134956","0.742325783908402","0.75615873836151","2"
"No","2014","no migration background","East Germany","3650","0.710494599659024","0.698110373080449","0.722878826237599","2"
"No","2014","direct migration background","West Germany","3350","0.715253993620756","0.702464396413184","0.728043590828328","2"
"No","2014","direct migration background","East Germany","260","0.764145209003516","0.719413000533941","0.80887741747309","2"
"No","2014","indirect migration background","West Germany","1096","0.643281466230706","0.620456440893924","0.666106491567487","2"
"No","2014","indirect migration background","East Germany","62","0.50757765225475","0.411028247150205","0.604127057359295","2"
"Yes","2014","direct migration background","West Germany","1433","0.284746006379244","0.271956409171672","0.297535603586816","1"
"Yes","2014","direct migration background","East Germany","86","0.235854790996484","0.19112258252691","0.280586999466059","1"
"Yes","2014","indirect migration background","West Germany","596","0.356718533769294","0.333893508432513","0.379543559106076","1"
"Yes","2014","indirect migration background","East Germany","41","0.49242234774525","0.395872942640705","0.588971752849794","1"
"Yes","2014","no migration background","West Germany","3777","0.250757738865044","0.24384126163849","0.257674216091598","1"
"Yes","2014","no migration background","East Germany","1502","0.289505400340976","0.277121173762401","0.301889626919552","1"
"No","2015","no migration background","West Germany","","","","","2"
"No","2015","no migration background","East Germany","","","","","2"
"No","2015","direct migration background","West Germany","","","","","2"
"No","2015","direct migration background","East Germany","","","","","2"
"No","2015","indirect migration background","West Germany","","","","","2"
"No","2015","indirect migration background","East Germany","","","","","2"
"Yes","2015","direct migration background","West Germany","","","","","1"
"Yes","2015","direct migration background","East Germany","","","","","1"
"Yes","2015","no migration background","West Germany","","","","","1"
"Yes","2015","indirect migration background","West Germany","","","","","1"
"Yes","2015","no migration background","East Germany","","","","","1"
"Yes","2015","indirect migration background","East Germany","","","","","1"
"No","2016","no migration background","West Germany","10185","0.761425188920529","0.754187948647567","0.768662429193491","2"
"No","2016","no migration background","East Germany","3316","0.717134228052882","0.704108851311764","0.730159604793999","2"
"No","2016","direct migration background","West Germany","3145","0.727218199821987","0.71413069202746","0.740305707616514","2"
"No","2016","direct migration background","East Germany","252","0.713100557493434","0.665781643034039","0.76041947195283","2"
"No","2016","indirect migration background","West Germany","984","0.68805860936047","0.664146676674476","0.711970542046464","2"
"No","2016","indirect migration background","East Germany","63","0.667774499705331","0.578528738209552","0.757020261201109","2"
"Yes","2016","direct migration background","West Germany","1304","0.272781800178013","0.259694292383486","0.28586930797254","1"
"Yes","2016","direct migration background","East Germany","99","0.286899442506566","0.23958052804717","0.334218356965961","1"
"Yes","2016","no migration background","West Germany","3138","0.238574811079471","0.231337570806509","0.245812051352433","1"
"Yes","2016","no migration background","East Germany","1277","0.282865771947118","0.269840395206001","0.295891148688236","1"
"Yes","2016","indirect migration background","West Germany","458","0.31194139063953","0.288029457953536","0.335853323325524","1"
"Yes","2016","indirect migration background","East Germany","44","0.332225500294669","0.242979738798891","0.421471261790448","1"
"No","2017","no migration background","West Germany","","","","","2"
"No","2017","no migration background","East Germany","","","","","2"
"No","2017","direct migration background","West Germany","","","","","2"
"No","2017","direct migration background","East Germany","","","","","2"
"No","2017","indirect migration background","West Germany","","","","","2"
"No","2017","indirect migration background","East Germany","","","","","2"
"Yes","2017","direct migration background","West Germany","","","","","1"
"Yes","2017","direct migration background","East Germany","","","","","1"
"Yes","2017","no migration background","West Germany","","","","","1"
"Yes","2017","no migration background","East Germany","","","","","1"
"Yes","2017","indirect migration background","West Germany","","","","","1"
"Yes","2017","indirect migration background","East Germany","","","","","1"
"No","2018","no migration background","West Germany","11212","0.771342134484827","0.764518225989465","0.77816604298019","2"
"No","2018","no migration background","East Germany","3643","0.735910423234653","0.723746810760557","0.748074035708749","2"
"No","2018","direct migration background","West Germany","2892","0.712881636161647","0.698936093477108","0.726827178846185","2"
"No","2018","direct migration background","East Germany","238","0.675596546873018","0.626125019997783","0.725068073748253","2"
"No","2018","indirect migration background","West Germany","1111","0.68681396519582","0.663909056510457","0.709718873881183","2"
"No","2018","indirect migration background","East Germany","76","0.639802154941211","0.554266179920889","0.725338129961532","2"
"Yes","2018","no migration background","West Germany","3338","0.228657865515173","0.22183395701981","0.235481774010535","1"
"Yes","2018","direct migration background","West Germany","1151","0.287118363838353","0.273172821153815","0.301063906522892","1"
"Yes","2018","direct migration background","East Germany","106","0.324403453126982","0.274931926251747","0.373874980002217","1"
"Yes","2018","no migration background","East Germany","1403","0.264089576765347","0.251925964291251","0.276253189239443","1"
"Yes","2018","indirect migration background","West Germany","464","0.31318603480418","0.290281126118817","0.336090943489543","1"
"Yes","2018","indirect migration background","East Germany","45","0.360197845058789","0.274661870038468","0.445733820079111","1"
