"ple0081_h","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"No","2010","indirect migration background","Male","188","0.572109982239937","0.517471496550789","0.626748467929085"
"No","2010","indirect migration background","Female","236","0.680628862090049","0.631360073589284","0.729897650590815"
"Yes","2011","no migration background","Male","","","",""
"Yes","2011","no migration background","Female","","","",""
"Yes","2011","direct migration background","Male","","","",""
"Yes","2011","direct migration background","Female","","","",""
"Yes","2011","indirect migration background","Male","","","",""
"Yes","2011","indirect migration background","Female","","","",""
"No","2011","no migration background","Male","","","",""
"No","2011","no migration background","Female","","","",""
"No","2011","direct migration background","Male","","","",""
"No","2011","direct migration background","Female","","","",""
"No","2011","indirect migration background","Male","","","",""
"No","2011","indirect migration background","Female","","","",""
"Yes","2012","no migration background","Male","2365","0.293698909583017","0.283970582795722","0.303427236370311"
"Yes","2012","no migration background","Female","2178","0.227766617373742","0.219271685483697","0.236261549263786"
"Yes","2012","direct migration background","Male","285","0.356891438180396","0.324872341475828","0.388910534884964"
"Yes","2012","direct migration background","Female","194","0.202986784498843","0.179009395599046","0.226964173398641"
"Yes","2012","indirect migration background","Male","140","0.350643851331507","0.302603842506267","0.398683860156746"
"Yes","2012","indirect migration background","Female","117","0.305566310263905","0.261406410779855","0.349726209747955"
"No","2012","no migration background","Male","6055","0.706301090416983","0.696572763629689","0.716029417204278"
"No","2012","no migration background","Female","7185","0.772233382626258","0.763738450736214","0.780728314516303"
"No","2012","direct migration background","Male","575","0.643108561819604","0.611089465115036","0.675127658524172"
"No","2012","direct migration background","Female","887","0.797013215501157","0.773035826601359","0.820990604400954"
"No","2012","indirect migration background","Male","239","0.649356148668493","0.601316139843254","0.697396157493733"
"No","2012","indirect migration background","Female","301","0.694433689736095","0.650273790252045","0.738593589220146"
"Yes","2013","no migration background","Male","","","",""
"Yes","2013","no migration background","Female","","","",""
"Yes","2013","direct migration background","Male","","","",""
"Yes","2013","direct migration background","Female","","","",""
"Yes","2013","indirect migration background","Male","","","",""
"Yes","2013","indirect migration background","Female","","","",""
"No","2013","no migration background","Male","","","",""
"No","2013","no migration background","Female","","","",""
"No","2013","direct migration background","Male","","","",""
"No","2013","direct migration background","Female","","","",""
"No","2013","indirect migration background","Male","","","",""
"No","2013","indirect migration background","Female","","","",""
"Yes","2014","no migration background","Male","2632","0.289899503291313","0.280681711845645","0.299117294736982"
"Yes","2014","no migration background","Female","2647","0.229627271146354","0.221743019779203","0.237511522513504"
"Yes","2014","direct migration background","Male","899","0.367637980147971","0.348068607981318","0.387207352314625"
"Yes","2014","direct migration background","Female","620","0.201939285830593","0.187061776473355","0.216816795187831"
"Yes","2014","indirect migration background","Male","333","0.396168282084145","0.363033572076325","0.429302992091965"
"Yes","2014","indirect migration background","Female","304","0.322994081968902","0.29338268806187","0.352605475875935"
"No","2014","no migration background","Male","6675","0.710100496708687","0.700882705263018","0.719318288154355"
"No","2014","no migration background","Female","8285","0.770372728853646","0.762488477486496","0.778256980220797"
"No","2014","direct migration background","Male","1433","0.632362019852029","0.612792647685375","0.651931392018682"
"No","2014","direct migration background","Female","2177","0.798060714169407","0.783183204812169","0.812938223526645"
"No","2014","indirect migration background","Male","504","0.603831717915855","0.570697007908036","0.636966427923675"
"No","2014","indirect migration background","Female","654","0.677005918031098","0.647394524124066","0.70661731193813"
"Yes","2015","no migration background","Male","","","",""
"Yes","2015","no migration background","Female","","","",""
"Yes","2015","direct migration background","Male","","","",""
"Yes","2015","direct migration background","Female","","","",""
"Yes","2015","indirect migration background","Male","","","",""
"Yes","2015","indirect migration background","Female","","","",""
"No","2015","no migration background","Male","","","",""
"No","2015","no migration background","Female","","","",""
"No","2015","direct migration background","Male","","","",""
"No","2015","direct migration background","Female","","","",""
"No","2015","indirect migration background","Male","","","",""
"No","2015","indirect migration background","Female","","","",""
"Yes","2016","no migration background","Male","2200","0.279675625247795","0.269974450889441","0.28937679960615"
"Yes","2016","no migration background","Female","2215","0.217452277564953","0.20924013687772","0.225664418252186"
"Yes","2016","direct migration background","Male","801","0.326896852590327","0.307156064104985","0.34663764107567"
"Yes","2016","direct migration background","Female","602","0.223262670417949","0.207350375724029","0.23917496511187"
"Yes","2016","indirect migration background","Male","251","0.349805522365563","0.314701252675789","0.384909792055336"
"Yes","2016","indirect migration background","Female","251","0.274055790670959","0.243892441457877","0.30421913988404"
"No","2016","no migration background","Male","6023","0.720324374752205","0.71062320039385","0.730025549110559"
"No","2016","no migration background","Female","7478","0.782547722435047","0.774335581747814","0.79075986312228"
"No","2016","direct migration background","Male","1368","0.673103147409673","0.65336235892433","0.692843935895015"
"No","2016","direct migration background","Female","2029","0.776737329582051","0.760825034888131","0.792649624275971"
"No","2016","indirect migration background","Male","458","0.650194477634437","0.615090207944664","0.685298747324211"
"No","2016","indirect migration background","Female","589","0.725944209329041","0.69578086011596","0.756107558542123"
"Yes","2017","no migration background","Male","","","",""
"Yes","2017","no migration background","Female","","","",""
"Yes","2017","direct migration background","Male","","","",""
"Yes","2017","direct migration background","Female","","","",""
"Yes","2017","indirect migration background","Male","","","",""
"Yes","2017","indirect migration background","Female","","","",""
"No","2017","no migration background","Male","","","",""
"No","2017","no migration background","Female","","","",""
"No","2017","direct migration background","Male","","","",""
"No","2017","direct migration background","Female","","","",""
"No","2017","indirect migration background","Male","","","",""
"No","2017","indirect migration background","Female","","","",""
"Yes","2018","no migration background","Male","2339","0.259660761150383","0.250646451367811","0.268675070932954"
"Yes","2018","no migration background","Female","2402","0.213017371485256","0.205188878933614","0.220845864036898"
"Yes","2018","direct migration background","Male","700","0.341907758401119","0.320897102484092","0.362918414318145"
"Yes","2018","direct migration background","Female","557","0.24214134277287","0.225105527787296","0.259177157758443"
"Yes","2018","indirect migration background","Male","246","0.378374421392725","0.344029776576769","0.412719066208681"
"Yes","2018","indirect migration background","Female","263","0.251243335704394","0.223367734512438","0.279118936896349"
"No","2018","no migration background","Male","6749","0.740339238849617","0.731324929067046","0.749353548632189"
"No","2018","no migration background","Female","8106","0.786982628514744","0.779154135963102","0.794811121066386"
"No","2018","direct migration background","Male","1258","0.658092241598881","0.637081585681855","0.679102897515908"
"No","2018","direct migration background","Female","1872","0.75785865722713","0.740822842241557","0.774894472212703"
"No","2018","indirect migration background","Male","520","0.621625578607275","0.587280933791319","0.655970223423231"
"No","2018","indirect migration background","Female","667","0.748756664295606","0.720881063103651","0.776632265487562"
