"ple0081_h","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","2013","35-65 y.","East Germany","","","",""
"Yes","2013","66 and older","West Germany","","","",""
"Yes","2013","66 and older","East Germany","","","",""
"No","2013","16-34 y.","West Germany","","","",""
"No","2013","16-34 y.","East Germany","","","",""
"No","2013","35-65 y.","West Germany","","","",""
"No","2013","35-65 y.","East Germany","","","",""
"No","2013","66 and older","West Germany","","","",""
"No","2013","66 and older","East Germany","","","",""
"Yes","2014","16-34 y.","West Germany","1722","0.293203021861874","0.281054479204178","0.305351564519569"
"Yes","2014","16-34 y.","East Germany","473","0.380791948413495","0.353097971991656","0.408485924835334"
"Yes","2014","35-65 y.","West Germany","3640","0.319239445326987","0.311034178395787","0.327444712258187"
"Yes","2014","35-65 y.","East Germany","1032","0.33775491229486","0.321335134746081","0.354174689843639"
"Yes","2014","66 and older","West Germany","444","0.114033806902546","0.103884928931567","0.124182684873525"
"Yes","2014","66 and older","East Germany","124","0.107432156670484","0.0901477562848025","0.124716557056165"
"No","2014","16-34 y.","West Germany","3672","0.706796978138126","0.69464843548043","0.718945520795822"
"No","2014","16-34 y.","East Germany","708","0.619208051586505","0.591514075164666","0.646902028008344"
"No","2014","35-65 y.","West Germany","8760","0.680760554673013","0.672555287741813","0.688965821604213"
"No","2014","35-65 y.","East Germany","2155","0.66224508770514","0.645825310156361","0.678664865253919"
"No","2014","66 and older","West Germany","3324","0.885966193097454","0.875817315126475","0.896115071068433"
"No","2014","66 and older","East Germany","1109","0.892567843329516","0.875283442943835","0.909852243715198"
"Yes","2015","16-34 y.","West Germany","","","",""
"Yes","2015","16-34 y.","East Germany","","","",""
"Yes","2015","35-65 y.","West Germany","","","",""
"Yes","2015","35-65 y.","East Germany","","","",""
"Yes","2015","66 and older","West Germany","","","",""
"Yes","2015","66 and older","East Germany","","","",""
"No","2015","16-34 y.","West Germany","","","",""
"No","2015","16-34 y.","East Germany","","","",""
"No","2015","35-65 y.","West Germany","","","",""
"No","2015","35-65 y.","East Germany","","","",""
"No","2015","66 and older","West Germany","","","",""
"No","2015","66 and older","East Germany","","","",""
"Yes","2016","16-34 y.","West Germany","1303","0.261982556088342","0.249310072906073","0.274655039270612"
"Yes","2016","16-34 y.","East Germany","370","0.367728530925444","0.337384192053227","0.39807286979766"
"Yes","2016","35-65 y.","West Germany","3178","0.305119268019304","0.296515622944059","0.313722913094549"
"Yes","2016","35-65 y.","East Germany","948","0.335713820738032","0.318508568403144","0.352919073072919"
"Yes","2016","66 and older","West Germany","419","0.118306492689277","0.107735736417203","0.128877248961351"
"Yes","2016","66 and older","East Germany","102","0.0892727010904902","0.0730517525509431","0.105493649630037"
"No","2016","16-34 y.","West Germany","3322","0.738017443911658","0.725344960729388","0.750689927093927"
"No","2016","16-34 y.","East Germany","600","0.632271469074556","0.60192713020234","0.662615807946773"
"No","2016","35-65 y.","West Germany","7825","0.694880731980696","0.686277086905451","0.703484377055942"
"No","2016","35-65 y.","East Germany","1946","0.664286179261968","0.647080926927081","0.681491431596856"
"No","2016","66 and older","West Germany","3167","0.881693507310723","0.871122751038649","0.892264263582797"
"No","2016","66 and older","East Germany","1085","0.91072729890951","0.894506350369963","0.926948247449057"
"Yes","2017","16-34 y.","West Germany","","","",""
"Yes","2017","16-34 y.","East Germany","","","",""
"Yes","2017","35-65 y.","West Germany","","","",""
"Yes","2017","35-65 y.","East Germany","","","",""
"Yes","2017","66 and older","West Germany","","","",""
"Yes","2017","66 and older","East Germany","","","",""
"No","2017","16-34 y.","West Germany","","","",""
"No","2017","16-34 y.","East Germany","","","",""
"No","2017","35-65 y.","West Germany","","","",""
"No","2017","35-65 y.","East Germany","","","",""
"No","2017","66 and older","West Germany","","","",""
"No","2017","66 and older","East Germany","","","",""
"Yes","2018","16-34 y.","West Germany","1294","0.253854496358379","0.241658731002315","0.266050261714443"
"Yes","2018","16-34 y.","East Germany","388","0.31151373763379","0.283970219003689","0.33905725626389"
"Yes","2018","35-65 y.","West Germany","3204","0.306856112798987","0.298420832917881","0.315291392680093"
"Yes","2018","35-65 y.","East Germany","1037","0.324181583030323","0.307874720331373","0.340488445729273"
"Yes","2018","66 and older","West Germany","455","0.109559705939588","0.0996197490499974","0.119499662829178"
"Yes","2018","66 and older","East Germany","129","0.111902249722945","0.0944957033143472","0.129308796131543"
"No","2018","16-34 y.","West Germany","3598","0.746145503641621","0.733949738285557","0.758341268997685"
"No","2018","16-34 y.","East Germany","698","0.68848626236621","0.66094274373611","0.716029780996311"
"No","2018","35-65 y.","West Germany","8279","0.693143887201013","0.684708607319907","0.701579167082119"
"No","2018","35-65 y.","East Germany","2128","0.675818416969677","0.659511554270727","0.692125279668627"
"No","2018","66 and older","West Germany","3338","0.890440294060412","0.880500337170822","0.900380250950003"
"No","2018","66 and older","East Germany","1131","0.888097750277055","0.870691203868457","0.905504296685653"
