"ple0081_h","year","pgcasmin","sampreg","n","percent","lower_confidence","upper_confidence"
"No","2004","(0) in school","West Germany","372","0.780545891806103","0.74332623494001","0.817765548672196"
"No","2004","(0) in school","East Germany","118","0.696297608556291","0.626343116960308","0.766252100152274"
"No","2004","(1a) inadequately completed","West Germany","153","0.635305775949488","0.575155672040984","0.695455879857992"
"No","2004","(1a) inadequately completed","East Germany","10","","",""
"No","2004","(1b) general elementary school","West Germany","1273","0.720096335597263","0.699338902588348","0.740853768606179"
"No","2004","(1b) general elementary school","East Germany","166","0.78047868350129","0.726151832566287","0.834805534436294"
"No","2004","(1c) basic vocational qualification","West Germany","3334","0.688017524362749","0.675087438550611","0.700947610174888"
"No","2004","(1c) basic vocational qualification","East Germany","859","0.747860642435386","0.722893106300185","0.772828178570587"
"No","2004","(2b) intermediate general qualification","West Germany","275","0.584092814205494","0.538604592012224","0.629581036398764"
"No","2004","(2b) intermediate general qualification","East Germany","89","0.521687913470509","0.444527202942217","0.598848623998801"
"No","2004","(2a) intermediate vocational","West Germany","2169","0.665738985279578","0.649518341240827","0.68195962931833"
"No","2004","(2a) intermediate vocational","East Germany","1155","0.652491294630891","0.630276313878029","0.674706275383754"
"No","2004","(2c_gen) general maturity certificate","West Germany","445","0.663095717849656","0.626926630657424","0.699264805041888"
"No","2004","(2c_gen) general maturity certificate","East Germany","124","0.607059814180424","0.538333003365193","0.675786624995656"
"No","2004","(2c_voc) vocational maturity certificate","West Germany","999","0.73328277831796","0.709813367999789","0.75675218863613"
"No","2004","(2c_voc) vocational maturity certificate","East Germany","126","0.634891872689557","0.568660965142729","0.701122780236386"
"No","2004","(3a) lower tertiary education","West Germany","765","0.727997520173685","0.700782149678727","0.755212890668643"
"No","2004","(3a) lower tertiary education","East Germany","541","0.789915187425887","0.759296878864063","0.820533495987711"
"No","2004","(3b) higher tertiary education","West Germany","1615","0.783388426718536","0.765316800866705","0.801460052570368"
"No","2004","(3b) higher tertiary education","East Germany","501","0.820067212117043","0.78930521277985","0.850829211454237"
"Yes","2005","(0) in school","West Germany","","","",""
"Yes","2005","(0) in school","East Germany","","","",""
"Yes","2005","(1a) inadequately completed","West Germany","","","",""
"Yes","2005","(1a) inadequately completed","East Germany","","","",""
"Yes","2005","(1b) general elementary school","West Germany","","","",""
"Yes","2005","(1b) general elementary school","East Germany","","","",""
"Yes","2005","(1c) basic vocational qualification","West Germany","","","",""
"Yes","2005","(1c) basic vocational qualification","East Germany","","","",""
"Yes","2005","(2b) intermediate general qualification","West Germany","","","",""
"Yes","2005","(2b) intermediate general qualification","East Germany","","","",""
"Yes","2005","(2a) intermediate vocational","West Germany","","","",""
"Yes","2005","(2a) intermediate vocational","East Germany","","","",""
"Yes","2005","(2c_gen) general maturity certificate","West Germany","","","",""
"Yes","2005","(2c_gen) general maturity certificate","East Germany","","","",""
"Yes","2005","(2c_voc) vocational maturity certificate","West Germany","","","",""
"Yes","2005","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Yes","2005","(3a) lower tertiary education","West Germany","","","",""
"Yes","2005","(3a) lower tertiary education","East Germany","","","",""
"Yes","2005","(3b) higher tertiary education","West Germany","","","",""
"Yes","2005","(3b) higher tertiary education","East Germany","","","",""
"No","2005","(0) in school","West Germany","","","",""
"No","2005","(0) in school","East Germany","","","",""
"No","2005","(1a) inadequately completed","West Germany","","","",""
"No","2005","(1a) inadequately completed","East Germany","","","",""
"No","2005","(1b) general elementary school","West Germany","","","",""
"No","2005","(1b) general elementary school","East Germany","","","",""
"No","2005","(1c) basic vocational qualification","West Germany","","","",""
"No","2005","(1c) basic vocational qualification","East Germany","","","",""
"No","2005","(2b) intermediate general qualification","West Germany","","","",""
"No","2005","(2b) intermediate general qualification","East Germany","","","",""
"No","2005","(2a) intermediate vocational","West Germany","","","",""
"No","2005","(2a) intermediate vocational","East Germany","","","",""
"No","2005","(2c_gen) general maturity certificate","West Germany","","","",""
"No","2005","(2c_gen) general maturity certificate","East Germany","","","",""
"No","2005","(2c_voc) vocational maturity certificate","West Germany","","","",""
"No","2005","(2c_voc) vocational maturity certificate","East Germany","","","",""
"No","2005","(3a) lower tertiary education","West Germany","","","",""
"No","2005","(3a) lower tertiary education","East Germany","","","",""
"No","2005","(3b) higher tertiary education","West Germany","","","",""
"No","2005","(3b) higher tertiary education","East Germany","","","",""
"Yes","2006","(0) in school","West Germany","69","0.226531688012438","0.181707603216242","0.271355772808634"
"Yes","2006","(0) in school","East Germany","21","","",""
"Yes","2006","(1a) inadequately completed","West Germany","79","0.418654596032574","0.353315806130641","0.483993385934507"
"Yes","2006","(1a) inadequately completed","East Germany","9","","",""
"Yes","2006","(1b) general elementary school","West Germany","521","0.295137891908098","0.273651468740803","0.316624315075394"
"Yes","2006","(1b) general elementary school","East Germany","62","0.247908982710264","0.192346015390984","0.303471950029545"
"Yes","2006","(1c) basic vocational qualification","West Germany","1561","0.317556271409755","0.304679803468784","0.330432739350726"
"Yes","2006","(1c) basic vocational qualification","East Germany","298","0.25388379403049","0.228944974836134","0.278822613224846"
"Yes","2006","(2b) intermediate general qualification","West Germany","185","0.474600943718069","0.42756681690682","0.521635070529318"
"Yes","2006","(2b) intermediate general qualification","East Germany","67","0.445608776642326","0.36659345028483","0.524624102999821"
"Yes","2006","(2a) intermediate vocational","West Germany","1079","0.335522357326138","0.319594850833982","0.351449863818293"
"Yes","2006","(2a) intermediate vocational","East Germany","591","0.332554947563565","0.310808431328761","0.354301463798368"
"Yes","2006","(2c_gen) general maturity certificate","West Germany","194","0.305426489031681","0.269963687110985","0.340889290952377"
"Yes","2006","(2c_gen) general maturity certificate","East Germany","61","0.30276878361915","0.236200630843714","0.369336936394586"
"Yes","2006","(2c_voc) vocational maturity certificate","West Germany","363","0.271403918984617","0.248184889279462","0.294622948689771"
"Yes","2006","(2c_voc) vocational maturity certificate","East Germany","85","0.354562069473561","0.292467439085984","0.416656699861138"
"Yes","2006","(3a) lower tertiary education","West Germany","257","0.254949335488961","0.229436123941572","0.280462547036349"
"Yes","2006","(3a) lower tertiary education","East Germany","128","0.204758191946886","0.174561714871705","0.234954669022067"
"Yes","2006","(3b) higher tertiary education","West Germany","382","0.196060457560884","0.179192248291477","0.212928666830291"
"Yes","2006","(3b) higher tertiary education","East Germany","116","0.198330424630655","0.167723713482185","0.228937135779124"
"No","2006","(0) in school","West Germany","266","0.773468311987562","0.728644227191366","0.818292396783758"
"No","2006","(0) in school","East Germany","52","0.678050152972805","0.570870664092833","0.785229641852777"
"No","2006","(1a) inadequately completed","West Germany","140","0.581345403967426","0.516006614065493","0.646684193869359"
"No","2006","(1a) inadequately completed","East Germany","16","","",""
"No","2006","(1b) general elementary school","West Germany","1210","0.704862108091902","0.683375684924606","0.726348531259197"
"No","2006","(1b) general elementary school","East Germany","170","0.752091017289736","0.696528049970455","0.807653984609016"
"No","2006","(1c) basic vocational qualification","West Germany","3460","0.682443728590245","0.669567260649274","0.695320196531216"
"No","2006","(1c) basic vocational qualification","East Germany","872","0.74611620596951","0.721177386775154","0.771055025163866"
"No","2006","(2b) intermediate general qualification","West Germany","248","0.525399056281931","0.478364929470682","0.57243318309318"
"No","2006","(2b) intermediate general qualification","East Germany","85","0.554391223357675","0.475375897000179","0.63340654971517"
"No","2006","(2a) intermediate vocational","West Germany","2297","0.664477642673862","0.648550136181707","0.680405149166018"
"No","2006","(2a) intermediate vocational","East Germany","1212","0.667445052436435","0.645698536201632","0.689191568671239"
"No","2006","(2c_gen) general maturity certificate","West Germany","454","0.694573510968319","0.659110709047623","0.730036312889015"
"No","2006","(2c_gen) general maturity certificate","East Germany","122","0.69723121638085","0.630663063605414","0.763799369156286"
"No","2006","(2c_voc) vocational maturity certificate","West Germany","1046","0.728596081015383","0.705377051310229","0.751815110720538"
"No","2006","(2c_voc) vocational maturity certificate","East Germany","143","0.645437930526439","0.583343300138862","0.707532560914016"
"No","2006","(3a) lower tertiary education","West Germany","864","0.745050664511039","0.719537452963651","0.770563876058428"
"No","2006","(3a) lower tertiary education","East Germany","558","0.795241808053114","0.765045330977933","0.825438285128295"
"No","2006","(3b) higher tertiary education","West Germany","1746","0.803939542439116","0.787071333169709","0.820807751708523"
"No","2006","(3b) higher tertiary education","East Germany","536","0.801669575369345","0.771062864220876","0.832276286517815"
"Yes","2007","(0) in school","West Germany","","","",""
"Yes","2007","(0) in school","East Germany","","","",""
"Yes","2007","(1a) inadequately completed","West Germany","","","",""
"Yes","2007","(1a) inadequately completed","East Germany","","","",""
"Yes","2007","(1b) general elementary school","West Germany","","","",""
"Yes","2007","(1b) general elementary school","East Germany","","","",""
"Yes","2007","(1c) basic vocational qualification","West Germany","","","",""
"Yes","2007","(1c) basic vocational qualification","East Germany","","","",""
"Yes","2007","(2b) intermediate general qualification","West Germany","","","",""
"Yes","2007","(2b) intermediate general qualification","East Germany","","","",""
"Yes","2007","(2a) intermediate vocational","West Germany","","","",""
"Yes","2007","(2a) intermediate vocational","East Germany","","","",""
"Yes","2007","(2c_gen) general maturity certificate","West Germany","","","",""
"Yes","2007","(2c_gen) general maturity certificate","East Germany","","","",""
"Yes","2007","(2c_voc) vocational maturity certificate","West Germany","","","",""
"Yes","2007","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Yes","2007","(3a) lower tertiary education","West Germany","","","",""
"Yes","2007","(3a) lower tertiary education","East Germany","","","",""
"Yes","2007","(3b) higher tertiary education","West Germany","","","",""
"Yes","2007","(3b) higher tertiary education","East Germany","","","",""
"No","2007","(0) in school","West Germany","","","",""
"No","2007","(0) in school","East Germany","","","",""
"No","2007","(1a) inadequately completed","West Germany","","","",""
"No","2007","(1a) inadequately completed","East Germany","","","",""
"No","2007","(1b) general elementary school","West Germany","","","",""
"No","2007","(1b) general elementary school","East Germany","","","",""
"No","2007","(1c) basic vocational qualification","West Germany","","","",""
"No","2007","(1c) basic vocational qualification","East Germany","","","",""
"No","2007","(2b) intermediate general qualification","West Germany","","","",""
"No","2007","(2b) intermediate general qualification","East Germany","","","",""
"No","2007","(2a) intermediate vocational","West Germany","","","",""
"No","2007","(2a) intermediate vocational","East Germany","","","",""
"No","2007","(2c_gen) general maturity certificate","West Germany","","","",""
"No","2007","(2c_gen) general maturity certificate","East Germany","","","",""
"No","2007","(2c_voc) vocational maturity certificate","West Germany","","","",""
"No","2007","(2c_voc) vocational maturity certificate","East Germany","","","",""
"No","2007","(3a) lower tertiary education","West Germany","","","",""
"No","2007","(3a) lower tertiary education","East Germany","","","",""
"No","2007","(3b) higher tertiary education","West Germany","","","",""
"No","2007","(3b) higher tertiary education","East Germany","","","",""
"Yes","2008","(0) in school","West Germany","42","0.192539895754702","0.145853138224761","0.239226653284642"
"Yes","2008","(0) in school","East Germany","15","","",""
"Yes","2008","(1a) inadequately completed","West Germany","69","0.408886230108827","0.335627089415797","0.482145370801857"
"Yes","2008","(1a) inadequately completed","East Germany","6","","",""
"Yes","2008","(1b) general elementary school","West Germany","380","0.283172077719619","0.25952956355871","0.306814591880529"
"Yes","2008","(1b) general elementary school","East Germany","54","0.274331999997232","0.211547209842814","0.337116790151651"
"Yes","2008","(1c) basic vocational qualification","West Germany","1310","0.319672079336123","0.305659767001633","0.333684391670613"
"Yes","2008","(1c) basic vocational qualification","East Germany","253","0.272026445592338","0.244649913410205","0.299402977774471"
"Yes","2008","(2b) intermediate general qualification","West Germany","135","0.373116474200366","0.322948146584948","0.423284801815785"
"Yes","2008","(2b) intermediate general qualification","East Germany","47","0.366351511073246","0.281548661891319","0.451154360255174"
"Yes","2008","(2a) intermediate vocational","West Germany","900","0.310661684953456","0.29416801676257","0.327155353144342"
"Yes","2008","(2a) intermediate vocational","East Germany","506","0.31641950466912","0.293793113786854","0.339045895551387"
"Yes","2008","(2c_gen) general maturity certificate","West Germany","143","0.253422670268949","0.218205098083864","0.288640242454034"
"Yes","2008","(2c_gen) general maturity certificate","East Germany","47","0.27689591817317","0.205993498095668","0.347798338250673"
"Yes","2008","(2c_voc) vocational maturity certificate","West Germany","293","0.249986391229126","0.225846705541803","0.274126076916448"
"Yes","2008","(2c_voc) vocational maturity certificate","East Germany","83","0.381755277926131","0.316512713501415","0.446997842350847"
"Yes","2008","(3a) lower tertiary education","West Germany","213","0.214025074162288","0.188879629673242","0.239170518651335"
"Yes","2008","(3a) lower tertiary education","East Germany","123","0.203281860390831","0.171756316323465","0.234807404458196"
"Yes","2008","(3b) higher tertiary education","West Germany","309","0.163654944852117","0.147187868496125","0.180122021208108"
"Yes","2008","(3b) higher tertiary education","East Germany","105","0.205240250308965","0.173398051215078","0.237082449402852"
"No","2008","(0) in school","West Germany","232","0.807460104245298","0.760773346715358","0.854146861775239"
"No","2008","(0) in school","East Germany","68","0.857805255821012","0.782669757974736","0.932940753667288"
"No","2008","(1a) inadequately completed","West Germany","104","0.591113769891173","0.517854629198143","0.664372910584203"
"No","2008","(1a) inadequately completed","East Germany","11","","",""
"No","2008","(1b) general elementary school","West Germany","1015","0.716827922280381","0.693185408119471","0.74047043644129"
"No","2008","(1b) general elementary school","East Germany","140","0.725668000002768","0.662883209848349","0.788452790157186"
"No","2008","(1c) basic vocational qualification","West Germany","2945","0.680327920663877","0.666315608329387","0.694340232998367"
"No","2008","(1c) basic vocational qualification","East Germany","762","0.727973554407662","0.700597022225529","0.755350086589795"
"No","2008","(2b) intermediate general qualification","West Germany","222","0.626883525799634","0.576715198184215","0.677051853415052"
"No","2008","(2b) intermediate general qualification","East Germany","77","0.633648488926753","0.548845639744826","0.718451338108681"
"No","2008","(2a) intermediate vocational","West Germany","2124","0.689338315046544","0.672844646855658","0.70583198323743"
"No","2008","(2a) intermediate vocational","East Germany","1117","0.68358049533088","0.660954104448613","0.706206886213146"
"No","2008","(2c_gen) general maturity certificate","West Germany","443","0.746577329731051","0.711359757545966","0.781794901916136"
"No","2008","(2c_gen) general maturity certificate","East Germany","106","0.72310408182683","0.652201661749327","0.794006501904332"
"No","2008","(2c_voc) vocational maturity certificate","West Germany","943","0.750013608770874","0.725873923083552","0.774153294458197"
"No","2008","(2c_voc) vocational maturity certificate","East Germany","130","0.618244722073869","0.553002157649153","0.683487286498585"
"No","2008","(3a) lower tertiary education","West Germany","809","0.785974925837712","0.760829481348665","0.811120370326758"
"No","2008","(3a) lower tertiary education","East Germany","503","0.796718139609169","0.765192595541804","0.828243683676535"
"No","2008","(3b) higher tertiary education","West Germany","1630","0.836345055147883","0.819877978791892","0.852812131503875"
"No","2008","(3b) higher tertiary education","East Germany","513","0.794759749691035","0.762917550597148","0.826601948784922"
"Yes","2009","(0) in school","West Germany","","","",""
"Yes","2009","(0) in school","East Germany","","","",""
"Yes","2009","(1a) inadequately completed","West Germany","","","",""
"Yes","2009","(1a) inadequately completed","East Germany","","","",""
"Yes","2009","(1b) general elementary school","West Germany","","","",""
"Yes","2009","(1b) general elementary school","East Germany","","","",""
"Yes","2009","(1c) basic vocational qualification","West Germany","","","",""
"Yes","2009","(1c) basic vocational qualification","East Germany","","","",""
"Yes","2009","(2b) intermediate general qualification","West Germany","","","",""
"Yes","2009","(2b) intermediate general qualification","East Germany","","","",""
"Yes","2009","(2a) intermediate vocational","West Germany","","","",""
"Yes","2009","(2a) intermediate vocational","East Germany","","","",""
"Yes","2009","(2c_gen) general maturity certificate","West Germany","","","",""
"Yes","2009","(2c_gen) general maturity certificate","East Germany","","","",""
"Yes","2009","(2c_voc) vocational maturity certificate","West Germany","","","",""
"Yes","2009","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Yes","2009","(3a) lower tertiary education","West Germany","","","",""
"Yes","2009","(3a) lower tertiary education","East Germany","","","",""
"Yes","2009","(3b) higher tertiary education","West Germany","","","",""
"Yes","2009","(3b) higher tertiary education","East Germany","","","",""
"No","2009","(0) in school","West Germany","","","",""
"No","2009","(0) in school","East Germany","","","",""
"No","2009","(1a) inadequately completed","West Germany","","","",""
"No","2009","(1a) inadequately completed","East Germany","","","",""
"No","2009","(1b) general elementary school","West Germany","","","",""
"No","2009","(1b) general elementary school","East Germany","","","",""
"No","2009","(1c) basic vocational qualification","West Germany","","","",""
"No","2009","(1c) basic vocational qualification","East Germany","","","",""
"No","2009","(2b) intermediate general qualification","West Germany","","","",""
"No","2009","(2b) intermediate general qualification","East Germany","","","",""
"No","2009","(2a) intermediate vocational","West Germany","","","",""
"No","2009","(2a) intermediate vocational","East Germany","","","",""
"No","2009","(2c_gen) general maturity certificate","West Germany","","","",""
"No","2009","(2c_gen) general maturity certificate","East Germany","","","",""
"No","2009","(2c_voc) vocational maturity certificate","West Germany","","","",""
"No","2009","(2c_voc) vocational maturity certificate","East Germany","","","",""
"No","2009","(3a) lower tertiary education","West Germany","","","",""
"No","2009","(3a) lower tertiary education","East Germany","","","",""
"No","2009","(3b) higher tertiary education","West Germany","","","",""
"No","2009","(3b) higher tertiary education","East Germany","","","",""
"Yes","2010","(0) in school","West Germany","29","","",""
"Yes","2010","(0) in school","East Germany","5","","",""
"Yes","2010","(1a) inadequately completed","West Germany","51","0.384566078607317","0.301257707098917","0.467874450115717"
"Yes","2010","(1a) inadequately completed","East Germany","4","","",""
"Yes","2010","(1b) general elementary school","West Germany","292","0.249987576605682","0.224617224796024","0.275357928415341"
"Yes","2010","(1b) general elementary school","East Germany","36","0.224988015299753","0.156063703846916","0.29391232675259"
"Yes","2010","(1c) basic vocational qualification","West Germany","1052","0.29766902357217","0.282585650552904","0.312752396591436"
"Yes","2010","(1c) basic vocational qualification","East Germany","214","0.238332499286137","0.209723501778218","0.266941496794056"
"Yes","2010","(2b) intermediate general qualification","West Germany","117","0.429325460082237","0.374836812271751","0.483814107892724"
"Yes","2010","(2b) intermediate general qualification","East Germany","33","0.454509210385752","0.349273310130161","0.559745110641344"
"Yes","2010","(2a) intermediate vocational","West Germany","775","0.316935272411368","0.299125926681648","0.334744618141088"
"Yes","2010","(2a) intermediate vocational","East Germany","458","0.302992019171734","0.279338347731183","0.326645690612284"
"Yes","2010","(2c_gen) general maturity certificate","West Germany","108","0.207319743260363","0.171997995529608","0.242641490991119"
"Yes","2010","(2c_gen) general maturity certificate","East Germany","45","0.243296813883879","0.173935004172254","0.312658623595505"
"Yes","2010","(2c_voc) vocational maturity certificate","West Germany","248","0.261067878144231","0.234824426895236","0.287311329393225"
"Yes","2010","(2c_voc) vocational maturity certificate","East Germany","64","0.305508820364821","0.240354574778679","0.370663065950962"
"Yes","2010","(3a) lower tertiary education","West Germany","187","0.237521044580585","0.210373717723058","0.264668371438112"
"Yes","2010","(3a) lower tertiary education","East Germany","103","0.180257942134589","0.148448762141373","0.212067122127805"
"Yes","2010","(3b) higher tertiary education","West Germany","281","0.151083599582746","0.134413628484502","0.16775357068099"
"Yes","2010","(3b) higher tertiary education","East Germany","90","0.176675941115077","0.145143757769443","0.20820812446071"
"No","2010","(0) in school","West Germany","215","0.849478862772097","0.804611740859833","0.894345984684361"
"No","2010","(0) in school","East Germany","24","","",""
"No","2010","(1a) inadequately completed","West Germany","80","0.615433921392683","0.532125549884283","0.698742292901083"
"No","2010","(1a) inadequately completed","East Germany","11","","",""
"No","2010","(1b) general elementary school","West Germany","827","0.750012423394318","0.724642071584659","0.775382775203976"
"No","2010","(1b) general elementary school","East Germany","105","0.775011984700247","0.70608767324741","0.843936296153084"
