"ple0081_h","year","age_gr","e11103","n","percent","lower_confidence","upper_confidence"
"No","2005","35-65 y.","Not Working","","","",""
"No","2005","66 and older","Full Time","","","",""
"No","2005","66 and older","Part Time","","","",""
"No","2005","66 and older","Not Working","","","",""
"Yes","2006","16-34 y.","Full Time","867","0.415311728054375","0.39440921803304","0.43621423807571"
"Yes","2006","16-34 y.","Part Time","567","0.395107670608996","0.370474211779121","0.419741129438871"
"Yes","2006","16-34 y.","Not Working","488","0.360230413093572","0.33586289749091","0.384597928696234"
"Yes","2006","35-65 y.","Full Time","2036","0.356531241130586","0.344655646701188","0.368406835559983"
"Yes","2006","35-65 y.","Part Time","991","0.33284255802539","0.316725710036361","0.34895940601442"
"Yes","2006","35-65 y.","Not Working","865","0.325669211538031","0.3085986167719","0.342739806304163"
"Yes","2006","66 and older","Full Time","6","","",""
"Yes","2006","66 and older","Part Time","33","0.126275471367819","0.0833484320439483","0.16920251069169"
"Yes","2006","66 and older","Not Working","450","0.108207898789991","0.0988109217326365","0.117604875847346"
"No","2006","16-34 y.","Full Time","1268","0.584688271945625","0.56378576192429","0.60559078196696"
"No","2006","16-34 y.","Part Time","946","0.604892329391004","0.580258870561129","0.629525788220879"
"No","2006","16-34 y.","Not Working","1003","0.639769586906428","0.615402071303767","0.66413710250909"
"No","2006","35-65 y.","Full Time","4213","0.643468758869414","0.631593164440017","0.655344353298812"
"No","2006","35-65 y.","Part Time","2293","0.667157441974609","0.65104059398558","0.683274289963639"
"No","2006","35-65 y.","Not Working","2030","0.674330788461968","0.657260193695837","0.6914013832281"
"No","2006","66 and older","Full Time","53","0.941315646771505","0.881343321846646","1.00128797169636"
"No","2006","66 and older","Part Time","197","0.873724528632181","0.83079748930831","0.916651567956052"
"No","2006","66 and older","Not Working","3748","0.891792101210009","0.882395124152654","0.901189078267363"
"Yes","2007","16-34 y.","Full Time","","","",""
"Yes","2007","16-34 y.","Part Time","","","",""
"Yes","2007","16-34 y.","Not Working","","","",""
"Yes","2007","35-65 y.","Full Time","","","",""
"Yes","2007","35-65 y.","Part Time","","","",""
"Yes","2007","35-65 y.","Not Working","","","",""
"Yes","2007","66 and older","Full Time","","","",""
"Yes","2007","66 and older","Part Time","","","",""
"Yes","2007","66 and older","Not Working","","","",""
"No","2007","16-34 y.","Full Time","","","",""
"No","2007","16-34 y.","Part Time","","","",""
"No","2007","16-34 y.","Not Working","","","",""
"No","2007","35-65 y.","Full Time","","","",""
"No","2007","35-65 y.","Part Time","","","",""
"No","2007","35-65 y.","Not Working","","","",""
"No","2007","66 and older","Full Time","","","",""
"No","2007","66 and older","Part Time","","","",""
"No","2007","66 and older","Not Working","","","",""
"Yes","2008","16-34 y.","Full Time","714","0.380846506683723","0.358760546182366","0.40293246718508"
"Yes","2008","16-34 y.","Part Time","498","0.403600236578102","0.377072826824971","0.430127646331232"
"Yes","2008","16-34 y.","Not Working","297","0.291984659707162","0.266237991683696","0.317731327730629"
"Yes","2008","35-65 y.","Full Time","1728","0.328971842618742","0.316639759470268","0.341303925767215"
"Yes","2008","35-65 y.","Part Time","851","0.331922463549925","0.314718264706364","0.349126662393487"
"Yes","2008","35-65 y.","Not Working","646","0.311230957958559","0.292010166758686","0.330451749158432"
"Yes","2008","66 and older","Full Time","13","","",""
"Yes","2008","66 and older","Part Time","29","","",""
"Yes","2008","66 and older","Not Working","440","0.110004939276471","0.100386209876226","0.119623668676716"
"No","2008","16-34 y.","Full Time","1143","0.619153493316277","0.59706753281492","0.641239453817634"
"No","2008","16-34 y.","Part Time","816","0.596399763421898","0.569872353668768","0.622927173175029"
"No","2008","16-34 y.","Not Working","901","0.708015340292838","0.682268672269371","0.733762008316304"
"No","2008","35-65 y.","Full Time","3848","0.671028157381258","0.658696074232785","0.683360240529732"
"No","2008","35-65 y.","Part Time","2027","0.668077536450075","0.650873337606513","0.685281735293636"
"No","2008","35-65 y.","Not Working","1583","0.688769042041441","0.669548250841568","0.707989833241314"
"No","2008","66 and older","Full Time","45","0.881606511964856","0.79846165380232","0.964751370127392"
"No","2008","66 and older","Part Time","201","0.879335895623207","0.837238946660274","0.92143284458614"
"No","2008","66 and older","Not Working","3625","0.889995060723529","0.880376331323284","0.899613790123774"
"Yes","2009","16-34 y.","Full Time","","","",""
"Yes","2009","16-34 y.","Part Time","","","",""
"Yes","2009","16-34 y.","Not Working","","","",""
"Yes","2009","35-65 y.","Full Time","","","",""
"Yes","2009","35-65 y.","Part Time","","","",""
"Yes","2009","35-65 y.","Not Working","","","",""
"Yes","2009","66 and older","Full Time","","","",""
"Yes","2009","66 and older","Part Time","","","",""
"Yes","2009","66 and older","Not Working","","","",""
"No","2009","16-34 y.","Full Time","","","",""
"No","2009","16-34 y.","Part Time","","","",""
"No","2009","16-34 y.","Not Working","","","",""
"No","2009","35-65 y.","Full Time","","","",""
"No","2009","35-65 y.","Part Time","","","",""
"No","2009","35-65 y.","Not Working","","","",""
"No","2009","66 and older","Full Time","","","",""
"No","2009","66 and older","Part Time","","","",""
"No","2009","66 and older","Not Working","","","",""
"Yes","2010","16-34 y.","Full Time","573","0.367018263341869","0.343259622970661","0.390776903713076"
"Yes","2010","16-34 y.","Part Time","368","0.327924966979289","0.300119054324628","0.35573087963395"
"Yes","2010","16-34 y.","Not Working","231","0.280897156057115","0.251744248431097","0.310050063683132"
"Yes","2010","35-65 y.","Full Time","1494","0.330047728269464","0.316749245232125","0.343346211306804"
"Yes","2010","35-65 y.","Part Time","740","0.312538996093677","0.294639067353504","0.33043892483385"
"Yes","2010","35-65 y.","Not Working","513","0.339582877876187","0.317051423576033","0.362114332176341"
"Yes","2010","66 and older","Full Time","9","","",""
"Yes","2010","66 and older","Part Time","28","","",""
"Yes","2010","66 and older","Not Working","398","0.104807199282184","0.0950101121933516","0.114604286371017"
"No","2010","16-34 y.","Full Time","1008","0.632981736658131","0.609223096286924","0.656740377029339"
"No","2010","16-34 y.","Part Time","727","0.672075033020711","0.64426912036605","0.699880945675372"
"No","2010","16-34 y.","Not Working","682","0.719102843942885","0.689949936316868","0.748255751568903"
"No","2010","35-65 y.","Full Time","3309","0.669952271730536","0.656653788693196","0.683250754767875"
"No","2010","35-65 y.","Part Time","1836","0.687461003906323","0.66956107516615","0.705360932646496"
"No","2010","35-65 y.","Not Working","1184","0.660417122123813","0.637885667823659","0.682948576423967"
"No","2010","66 and older","Full Time","56","0.876134184412022","0.796048948576484","0.956219420247561"
"No","2010","66 and older","Part Time","212","0.878020327078094","0.836616690527296","0.919423963628892"
"No","2010","66 and older","Not Working","3357","0.895192800717816","0.885395713628983","0.904989887806648"
"Yes","2011","16-34 y.","Full Time","","","",""
"Yes","2011","16-34 y.","Part Time","","","",""
"Yes","2011","16-34 y.","Not Working","","","",""
"Yes","2011","35-65 y.","Full Time","","","",""
"Yes","2011","35-65 y.","Part Time","","","",""
"Yes","2011","35-65 y.","Not Working","","","",""
"Yes","2011","66 and older","Full Time","","","",""
"Yes","2011","66 and older","Part Time","","","",""
"Yes","2011","66 and older","Not Working","","","",""
"No","2011","16-34 y.","Full Time","","","",""
"No","2011","16-34 y.","Part Time","","","",""
"No","2011","16-34 y.","Not Working","","","",""
"No","2011","35-65 y.","Full Time","","","",""
"No","2011","35-65 y.","Part Time","","","",""
"No","2011","35-65 y.","Not Working","","","",""
"No","2011","66 and older","Full Time","","","",""
"No","2011","66 and older","Part Time","","","",""
"No","2011","66 and older","Not Working","","","",""
"Yes","2012","16-34 y.","Full Time","679","0.350987177305397","0.329107935941981","0.372866418668814"
"Yes","2012","16-34 y.","Part Time","382","0.294906427497565","0.269886373032048","0.319926481963082"
"Yes","2012","16-34 y.","Not Working","261","0.272086010356986","0.244999575149692","0.299172445564281"
"Yes","2012","35-65 y.","Full Time","1755","0.322585113644447","0.31045060767543","0.334719619613464"
"Yes","2012","35-65 y.","Part Time","931","0.300206568419734","0.284463081816966","0.315950055022503"
"Yes","2012","35-65 y.","Not Working","714","0.343058751328371","0.323248369145568","0.362869133511173"
"Yes","2012","66 and older","Full Time","11","","",""
"Yes","2012","66 and older","Part Time","41","0.119263145986876","0.0849644786196795","0.153561813354073"
"Yes","2012","66 and older","Not Working","505","0.11033890484218","0.101481884050919","0.119195925633441"
"No","2012","16-34 y.","Full Time","1149","0.649012822694602","0.627133581331186","0.670892064058019"
"No","2012","16-34 y.","Part Time","894","0.705093572502435","0.680073518036918","0.730113626967952"
"No","2012","16-34 y.","Not Working","776","0.727913989643014","0.700827554435719","0.755000424850308"
"No","2012","35-65 y.","Full Time","3946","0.677414886355553","0.665280380386536","0.68954939232457"
"No","2012","35-65 y.","Part Time","2325","0.699793431580266","0.684049944977497","0.715536918183034"
"No","2012","35-65 y.","Not Working","1492","0.656941248671629","0.637130866488827","0.676751630854432"
"No","2012","66 and older","Full Time","56","0.76756229568267","0.666422797393002","0.868701793972339"
"No","2012","66 and older","Part Time","302","0.880736854013124","0.846438186645927","0.915035521380321"
"No","2012","66 and older","Not Working","4302","0.88966109515782","0.880804074366559","0.898518115949081"
"Yes","2013","16-34 y.","Full Time","","","",""
"Yes","2013","16-34 y.","Part Time","","","",""
"Yes","2013","16-34 y.","Not Working","","","",""
"Yes","2013","35-65 y.","Full Time","","","",""
"Yes","2013","35-65 y.","Part Time","","","",""
"Yes","2013","35-65 y.","Not Working","","","",""
"Yes","2013","66 and older","Full Time","","","",""
"Yes","2013","66 and older","Part Time","","","",""
"Yes","2013","66 and older","Not Working","","","",""
"No","2013","16-34 y.","Full Time","","","",""
"No","2013","16-34 y.","Part Time","","","",""
"No","2013","16-34 y.","Not Working","","","",""
"No","2013","35-65 y.","Full Time","","","",""
"No","2013","35-65 y.","Part Time","","","",""
"No","2013","35-65 y.","Not Working","","","",""
"No","2013","66 and older","Full Time","","","",""
"No","2013","66 and older","Part Time","","","",""
"No","2013","66 and older","Not Working","","","",""
"Yes","2014","16-34 y.","Full Time","899","0.321458722883188","0.303036658767761","0.339880786998615"
"Yes","2014","16-34 y.","Part Time","700","0.311766152393597","0.292163405241219","0.331368899545976"
"Yes","2014","16-34 y.","Not Working","596","0.275483955997787","0.255710551384634","0.295257360610941"
"Yes","2014","35-65 y.","Full Time","2308","0.321573476371094","0.311122496493156","0.332024456249031"
"Yes","2014","35-65 y.","Part Time","1364","0.29627614613096","0.283639878755411","0.308912413506509"
"Yes","2014","35-65 y.","Not Working","1000","0.365386457916704","0.347854525340815","0.382918390492593"
"Yes","2014","66 and older","Full Time","16","","",""
"Yes","2014","66 and older","Part Time","60","0.13900631205995","0.104932733891749","0.173079890228151"
"Yes","2014","66 and older","Not Working","492","0.109944315049041","0.100827780642736","0.119060849455346"
"No","2014","16-34 y.","Full Time","1570","0.678541277116812","0.660119213001385","0.696963341232239"
"No","2014","16-34 y.","Part Time","1445","0.688233847606403","0.668631100454024","0.707836594758781"
"No","2014","16-34 y.","Not Working","1365","0.724516044002212","0.704742639389059","0.744289448615366"
"No","2014","35-65 y.","Full Time","5365","0.678426523628906","0.667975543750969","0.688877503506844"
"No","2014","35-65 y.","Part Time","3652","0.70372385386904","0.691087586493491","0.716360121244589"
"No","2014","35-65 y.","Not Working","1898","0.634613542083296","0.617081609507408","0.652145474659185"
"No","2014","66 and older","Full Time","66","0.838505484745853","0.758857827261924","0.918153142229782"
"No","2014","66 and older","Part Time","336","0.86099368794005","0.826920109771848","0.895067266108251"
"No","2014","66 and older","Not Working","4031","0.890055684950959","0.880939150544654","0.899172219357264"
"Yes","2015","16-34 y.","Full Time","","","",""
"Yes","2015","16-34 y.","Part Time","","","",""
"Yes","2015","16-34 y.","Not Working","","","",""
"Yes","2015","35-65 y.","Full Time","","","",""
"Yes","2015","35-65 y.","Part Time","","","",""
"Yes","2015","35-65 y.","Not Working","","","",""
"Yes","2015","66 and older","Full Time","","","",""
"Yes","2015","66 and older","Part Time","","","",""
"Yes","2015","66 and older","Not Working","","","",""
"No","2015","16-34 y.","Full Time","","","",""
"No","2015","16-34 y.","Part Time","","","",""
"No","2015","16-34 y.","Not Working","","","",""
"No","2015","35-65 y.","Full Time","","","",""
"No","2015","35-65 y.","Part Time","","","",""
"No","2015","35-65 y.","Not Working","","","",""
"No","2015","66 and older","Full Time","","","",""
"No","2015","66 and older","Part Time","","","",""
"No","2015","66 and older","Not Working","","","",""
"Yes","2016","16-34 y.","Full Time","716","0.285274969682414","0.26609439610875","0.304455543256078"
"Yes","2016","16-34 y.","Part Time","563","0.278497516540469","0.258529956771991","0.298465076308947"
"Yes","2016","16-34 y.","Not Working","394","0.270124573409798","0.247875660621321","0.292373486198276"
"Yes","2016","35-65 y.","Full Time","2041","0.309240297346777","0.298381387918012","0.320099206775542"
"Yes","2016","35-65 y.","Part Time","1252","0.282444079147983","0.269461283429787","0.295426874866179"
"Yes","2016","35-65 y.","Not Working","833","0.365841388439374","0.346237461189769","0.385445315688979"
"Yes","2016","66 and older","Full Time","22","","",""
"Yes","2016","66 and older","Part Time","51","0.112762683498301","0.0823309533812649","0.143194413615337"
"Yes","2016","66 and older","Not Working","448","0.110295593939941","0.100899743266033","0.11969144461385"
"No","2016","16-34 y.","Full Time","1413","0.714725030317586","0.695544456743922","0.73390560389125"
"No","2016","16-34 y.","Part Time","1373","0.721502483459531","0.701534923691053","0.741470043228009"
"No","2016","16-34 y.","Not Working","1136","0.729875426590202","0.707626513801724","0.752124339378679"
"No","2016","35-65 y.","Full Time","4918","0.690759702653223","0.679900793224458","0.701618612081988"
"No","2016","35-65 y.","Part Time","3367","0.717555920852017","0.704573125133821","0.730538716570213"
"No","2016","35-65 y.","Not Working","1486","0.634158611560626","0.614554684311021","0.653762538810231"
"No","2016","66 and older","Full Time","66","0.708692408027008","0.613760644939896","0.80362417111412"
"No","2016","66 and older","Part Time","364","0.887237316501699","0.856805586384663","0.917669046618735"
"No","2016","66 and older","Not Working","3822","0.889704406060059","0.88030855538615","0.899100256733967"
"Yes","2017","16-34 y.","Full Time","","","",""
"Yes","2017","16-34 y.","Part Time","","","",""
"Yes","2017","16-34 y.","Not Working","","","",""
"Yes","2017","35-65 y.","Full Time","","","",""
"Yes","2017","35-65 y.","Part Time","","","",""
"Yes","2017","35-65 y.","Not Working","","","",""
"Yes","2017","66 and older","Full Time","","","",""
"Yes","2017","66 and older","Part Time","","","",""
"Yes","2017","66 and older","Not Working","","","",""
"No","2017","16-34 y.","Full Time","","","",""
"No","2017","16-34 y.","Part Time","","","",""
"No","2017","16-34 y.","Not Working","","","",""
"No","2017","35-65 y.","Full Time","","","",""
"No","2017","35-65 y.","Part Time","","","",""
"No","2017","35-65 y.","Not Working","","","",""
"No","2017","66 and older","Full Time","","","",""
"No","2017","66 and older","Part Time","","","",""
"No","2017","66 and older","Not Working","","","",""
"Yes","2018","16-34 y.","Full Time","743","0.284407805660492","0.266187477762217","0.302628133558768"
"Yes","2018","16-34 y.","Part Time","588","0.248360123089945","0.229854419915843","0.266865826264046"
"Yes","2018","16-34 y.","Not Working","351","0.239961756375817","0.218555876341046","0.261367636410587"
"Yes","2018","35-65 y.","Full Time","2079","0.294133464419057","0.283801969296553","0.304464959541561"
"Yes","2018","35-65 y.","Part Time","1344","0.299803003951796","0.287007037722024","0.312598970181567"
"Yes","2018","35-65 y.","Not Working","818","0.388746983900632","0.368609538897437","0.408884428903827"
"Yes","2018","66 and older","Full Time","21","","",""
"Yes","2018","66 and older","Part Time","75","0.147439078750121","0.117111519864978","0.177766637635264"
"Yes","2018","66 and older","Not Working","488","0.103181053002601","0.0942293701425408","0.11213273586266"
"No","2018","16-34 y.","Full Time","1612","0.715592194339508","0.697371866441232","0.733812522237783"
"No","2018","16-34 y.","Part Time","1506","0.751639876910055","0.733134173735954","0.770145580084157"
"No","2018","16-34 y.","Not Working","1178","0.760038243624183","0.738632363589413","0.781444123658954"
"No","2018","35-65 y.","Full Time","5393","0.705866535580943","0.695535040458439","0.716198030703447"
"No","2018","35-65 y.","Part Time","3581","0.700196996048204","0.687401029818433","0.712992962277976"
"No","2018","35-65 y.","Not Working","1433","0.611253016099368","0.591115571096173","0.631390461102563"
"No","2018","66 and older","Full Time","71","0.761938878452917","0.674910982838327","0.848966774067506"
"No","2018","66 and older","Part Time","450","0.852560921249879","0.822233362364736","0.882888480135022"
"No","2018","66 and older","Not Working","3948","0.8968189469974","0.88786726413734","0.905770629857459"
