"pli0080","year","age_gr","n","percent","lower_confidence","upper_confidence"
"Min 1x per week","1995","16-34 y.","2630","0.52958578170465","0.515664445354724","0.543507118054575"
"Min 1x per week","1995","35-65 y.","2346","0.340352656780904","0.329110514866642","0.351594798695165"
"Min 1x per week","1995","66 and older","516","0.33203571226464","0.30852991832955","0.35554150619973"
"Min 1x per month","1995","16-34 y.","1130","0.232903346862013","0.221114116418576","0.244692577305449"
"Min 1x per month","1995","35-65 y.","2327","0.34597920808406","0.334692966045891","0.357265450122228"
"Min 1x per month","1995","66 and older","446","0.284691037950543","0.262167343083932","0.307214732817154"
"Rarely","1995","16-34 y.","558","0.112675963767151","0.103856761321716","0.121495166212586"
"Rarely","1995","35-65 y.","1719","0.251660333866898","0.241363935214784","0.261956732519011"
"Rarely","1995","66 and older","373","0.243321398104318","0.22190473612963","0.264738060079006"
"Never","1995","16-34 y.","55","0.0122274007811309","0.00916213519578264","0.0152926663664792"
"Never","1995","35-65 y.","207","0.0310718527165642","0.026955070025253","0.0351886354078754"
"Never","1995","66 and older","120","0.0846145922523822","0.0707236876209967","0.0985054968837677"
"Daily","1996","16-34 y.","","","",""
"Daily","1996","35-65 y.","","","",""
"Daily","1996","66 and older","","","",""
"Min 1x per week","1996","16-34 y.","","","",""
"Min 1x per week","1996","35-65 y.","","","",""
"Min 1x per week","1996","66 and older","","","",""
"Min 1x per month","1996","16-34 y.","","","",""
"Min 1x per month","1996","35-65 y.","","","",""
"Min 1x per month","1996","66 and older","","","",""
"Rarely","1996","16-34 y.","","","",""
"Rarely","1996","35-65 y.","","","",""
"Rarely","1996","66 and older","","","",""
"Never","1996","16-34 y.","","","",""
"Never","1996","35-65 y.","","","",""
"Never","1996","66 and older","","","",""
"Daily","1997","16-34 y.","","","",""
"Daily","1997","35-65 y.","","","",""
"Daily","1997","66 and older","","","",""
"Min 1x per week","1997","16-34 y.","","","",""
"Min 1x per week","1997","35-65 y.","","","",""
"Min 1x per week","1997","66 and older","","","",""
"Min 1x per month","1997","16-34 y.","","","",""
"Min 1x per month","1997","35-65 y.","","","",""
"Min 1x per month","1997","66 and older","","","",""
"Rarely","1997","16-34 y.","","","",""
"Rarely","1997","35-65 y.","","","",""
"Rarely","1997","66 and older","","","",""
"Never","1997","16-34 y.","","","",""
"Never","1997","35-65 y.","","","",""
"Never","1997","66 and older","","","",""
"Daily","1998","16-34 y.","649","0.127295196713078","0.117936095528378","0.136654297897778"
"Daily","1998","35-65 y.","250","0.030173429908397","0.0263050449958463","0.0340418148209478"
"Daily","1998","66 and older","92","0.0460016538153448","0.0365245314458568","0.0554787761848328"
"Min 1x per week","1998","16-34 y.","2660","0.552433310479387","0.538470808161176","0.566395812797599"
"Min 1x per week","1998","35-65 y.","2659","0.357728645094208","0.346889215302533","0.368568074885882"
"Min 1x per week","1998","66 and older","677","0.364514210803192","0.342740817954596","0.386287603651788"
"Min 1x per month","1998","16-34 y.","1077","0.214339701146833","0.202816764727879","0.225862637565788"
"Min 1x per month","1998","35-65 y.","2554","0.332538983390358","0.321885183466397","0.343192783314319"
"Min 1x per month","1998","66 and older","533","0.277107721959684","0.256859958362143","0.297355485557225"
"Rarely","1998","16-34 y.","463","0.100605529588707","0.0921589576833299","0.109052101494085"
"Rarely","1998","35-65 y.","1895","0.258179053211066","0.24828258236819","0.268075524053942"
"Rarely","1998","66 and older","468","0.250179065822967","0.230585195989398","0.269772935656537"
"Never","1998","16-34 y.","23","","",""
"Never","1998","35-65 y.","154","0.021379888395971","0.018108891841496","0.024650884950446"
"Never","1998","66 and older","107","0.0621973475988114","0.051271437684137","0.0731232575134859"
"Daily","1999","16-34 y.","","","",""
"Daily","1999","35-65 y.","","","",""
"Daily","1999","66 and older","","","",""
"Min 1x per week","1999","16-34 y.","","","",""
"Min 1x per week","1999","35-65 y.","","","",""
"Min 1x per week","1999","66 and older","","","",""
"Min 1x per month","1999","16-34 y.","","","",""
"Min 1x per month","1999","35-65 y.","","","",""
"Min 1x per month","1999","66 and older","","","",""
"Rarely","1999","16-34 y.","","","",""
"Rarely","1999","35-65 y.","","","",""
"Rarely","1999","66 and older","","","",""
"Never","1999","16-34 y.","","","",""
"Never","1999","35-65 y.","","","",""
"Never","1999","66 and older","","","",""
"Daily","2000","16-34 y.","","","",""
"Daily","2000","35-65 y.","","","",""
"Daily","2000","66 and older","","","",""
"Min 1x per week","2000","16-34 y.","","","",""
"Min 1x per week","2000","35-65 y.","","","",""
"Min 1x per week","2000","66 and older","","","",""
"Min 1x per month","2000","16-34 y.","","","",""
"Min 1x per month","2000","35-65 y.","","","",""
"Min 1x per month","2000","66 and older","","","",""
"Rarely","2000","16-34 y.","","","",""
"Rarely","2000","35-65 y.","","","",""
"Rarely","2000","66 and older","","","",""
"Never","2000","16-34 y.","","","",""
"Never","2000","35-65 y.","","","",""
"Never","2000","66 and older","","","",""
"Daily","2001","16-34 y.","","","",""
"Daily","2001","35-65 y.","","","",""
"Daily","2001","66 and older","","","",""
"Min 1x per week","2001","16-34 y.","","","",""
"Min 1x per week","2001","35-65 y.","","","",""
"Min 1x per week","2001","66 and older","","","",""
"Min 1x per month","2001","16-34 y.","","","",""
"Min 1x per month","2001","35-65 y.","","","",""
"Min 1x per month","2001","66 and older","","","",""
"Rarely","2001","16-34 y.","","","",""
"Rarely","2001","35-65 y.","","","",""
"Rarely","2001","66 and older","","","",""
"Never","2001","16-34 y.","","","",""
"Never","2001","35-65 y.","","","",""
"Never","2001","66 and older","","","",""
"Daily","2002","16-34 y.","","","",""
"Daily","2002","35-65 y.","","","",""
"Daily","2002","66 and older","","","",""
"Min 1x per week","2002","16-34 y.","","","",""
"Min 1x per week","2002","35-65 y.","","","",""
"Min 1x per week","2002","66 and older","","","",""
"Min 1x per month","2002","16-34 y.","","","",""
"Min 1x per month","2002","35-65 y.","","","",""
"Min 1x per month","2002","66 and older","","","",""
"Rarely","2002","16-34 y.","","","",""
"Rarely","2002","35-65 y.","","","",""
"Rarely","2002","66 and older","","","",""
"Never","2002","16-34 y.","","","",""
"Never","2002","35-65 y.","","","",""
"Never","2002","66 and older","","","",""
"Daily","2003","16-34 y.","699","0.111418783090314","0.103366763339837","0.11947080284079"
"Daily","2003","35-65 y.","275","0.0236028990808188","0.0209586034830292","0.0262471946786084"
"Daily","2003","66 and older","110","0.0335178119368691","0.0277058463054977","0.0393297775682405"
"Min 1x per week","2003","16-34 y.","3384","0.574236463131599","0.561583079447134","0.586889846816063"
"Min 1x per week","2003","35-65 y.","4580","0.366203372629561","0.357811667435641","0.374595077823481"
"Min 1x per week","2003","66 and older","1244","0.343329691787299","0.327997026610373","0.358662356964225"
"Min 1x per month","2003","16-34 y.","1247","0.216408768352868","0.20587074219708","0.226946794508657"
"Min 1x per month","2003","35-65 y.","4730","0.350804156941084","0.342491606047831","0.359116707834337"
"Min 1x per month","2003","66 and older","1118","0.281661252924019","0.26713624158495","0.296186264263088"
"Rarely","2003","16-34 y.","491","0.0874826648902986","0.0802523264654096","0.0947130033151876"
"Rarely","2003","35-65 y.","2771","0.232597570166907","0.225238409944929","0.239956730388886"
"Rarely","2003","66 and older","932","0.258987376524493","0.244841157378766","0.273133595670219"
"Never","2003","16-34 y.","45","0.0104533205349205","0.00785063116449369","0.0130560099053473"
"Never","2003","35-65 y.","305","0.0267920011816292","0.0239793265359069","0.0296046758273515"
"Never","2003","66 and older","280","0.0825038668273201","0.0736194780793664","0.0913882555752737"
"Daily","2004","16-34 y.","","","",""
"Daily","2004","35-65 y.","","","",""
"Daily","2004","66 and older","","","",""
"Min 1x per week","2004","16-34 y.","","","",""
"Min 1x per week","2004","35-65 y.","","","",""
"Min 1x per week","2004","66 and older","","","",""
"Min 1x per month","2004","16-34 y.","","","",""
"Min 1x per month","2004","35-65 y.","","","",""
"Min 1x per month","2004","66 and older","","","",""
"Rarely","2004","16-34 y.","","","",""
"Rarely","2004","35-65 y.","","","",""
"Rarely","2004","66 and older","","","",""
"Never","2004","16-34 y.","","","",""
"Never","2004","35-65 y.","","","",""
"Never","2004","66 and older","","","",""
"Daily","2005","16-34 y.","","","",""
"Daily","2005","35-65 y.","","","",""
"Daily","2005","66 and older","","","",""
"Min 1x per week","2005","16-34 y.","","","",""
"Min 1x per week","2005","35-65 y.","","","",""
"Min 1x per week","2005","66 and older","","","",""
"Min 1x per month","2005","16-34 y.","","","",""
"Min 1x per month","2005","35-65 y.","","","",""
"Min 1x per month","2005","66 and older","","","",""
"Rarely","2005","16-34 y.","","","",""
"Rarely","2005","35-65 y.","","","",""
"Rarely","2005","66 and older","","","",""
"Never","2005","16-34 y.","","","",""
"Never","2005","35-65 y.","","","",""
"Never","2005","66 and older","","","",""
"Daily","2006","16-34 y.","","","",""
"Daily","2006","35-65 y.","","","",""
"Daily","2006","66 and older","","","",""
"Min 1x per week","2006","16-34 y.","","","",""
"Min 1x per week","2006","35-65 y.","","","",""
"Min 1x per week","2006","66 and older","","","",""
"Min 1x per month","2006","16-34 y.","","","",""
"Min 1x per month","2006","35-65 y.","","","",""
"Min 1x per month","2006","66 and older","","","",""
"Rarely","2006","16-34 y.","","","",""
"Rarely","2006","35-65 y.","","","",""
"Rarely","2006","66 and older","","","",""
"Never","2006","16-34 y.","","","",""
"Never","2006","35-65 y.","","","",""
"Never","2006","66 and older","","","",""
"Daily","2007","16-34 y.","","","",""
"Daily","2007","35-65 y.","","","",""
"Daily","2007","66 and older","","","",""
"Min 1x per week","2007","16-34 y.","","","",""
"Min 1x per week","2007","35-65 y.","","","",""
"Min 1x per week","2007","66 and older","","","",""
"Min 1x per month","2007","16-34 y.","","","",""
"Min 1x per month","2007","35-65 y.","","","",""
"Min 1x per month","2007","66 and older","","","",""
"Rarely","2007","16-34 y.","","","",""
"Rarely","2007","35-65 y.","","","",""
"Rarely","2007","66 and older","","","",""
"Never","2007","16-34 y.","","","",""
"Never","2007","35-65 y.","","","",""
"Never","2007","66 and older","","","",""
"Daily","2008","16-34 y.","437","0.105055704182799","0.0959583827183274","0.11415302564727"
"Daily","2008","35-65 y.","215","0.0235948486731571","0.0207124361147627","0.0264772612315514"
"Daily","2008","66 and older","123","0.0331901533339402","0.0278582948243895","0.038522011843491"
"Min 1x per week","2008","16-34 y.","2473","0.56857153532533","0.553877107685644","0.583265962965015"
"Min 1x per week","2008","35-65 y.","3646","0.33926641769187","0.330275249142829","0.34825758624091"
"Min 1x per week","2008","66 and older","1387","0.322216403773326","0.308306542321154","0.336126265225498"
"Min 1x per month","2008","16-34 y.","1005","0.218553191320552","0.206291962220972","0.230814420420131"
"Min 1x per month","2008","35-65 y.","4020","0.362144362053901","0.353017224923628","0.371271499184173"
"Min 1x per month","2008","66 and older","1367","0.292799149675925","0.279254750429683","0.306343548922167"
"Rarely","2008","16-34 y.","415","0.0976726614214511","0.0888647226130529","0.106480600229849"
"Rarely","2008","35-65 y.","2520","0.24607724227096","0.237897649843363","0.254256834698558"
"Rarely","2008","66 and older","1195","0.287529557932604","0.274057680330717","0.301001435534491"
"Never","2008","16-34 y.","34","0.0101469077498685","0.00717347618012113","0.0131203393196159"
"Never","2008","35-65 y.","251","0.0289171293101123","0.0257348503502321","0.0320994082699924"
"Never","2008","66 and older","264","0.0642647352842048","0.0569656856958198","0.0715637848725898"
"Daily","2009","16-34 y.","","","",""
"Daily","2009","35-65 y.","","","",""
"Daily","2009","66 and older","","","",""
"Min 1x per week","2009","16-34 y.","","","",""
"Min 1x per week","2009","35-65 y.","","","",""
"Min 1x per week","2009","66 and older","","","",""
"Min 1x per month","2009","16-34 y.","","","",""
"Min 1x per month","2009","35-65 y.","","","",""
"Min 1x per month","2009","66 and older","","","",""
"Rarely","2009","16-34 y.","","","",""
"Rarely","2009","35-65 y.","","","",""
"Rarely","2009","66 and older","","","",""
"Never","2009","16-34 y.","","","",""
"Never","2009","35-65 y.","","","",""
"Never","2009","66 and older","","","",""
"Daily","2010","16-34 y.","","","",""
"Daily","2010","35-65 y.","","","",""
"Daily","2010","66 and older","","","",""
"Min 1x per week","2010","16-34 y.","","","",""
"Min 1x per week","2010","35-65 y.","","","",""
"Min 1x per week","2010","66 and older","","","",""
"Min 1x per month","2010","16-34 y.","","","",""
"Min 1x per month","2010","35-65 y.","","","",""
"Min 1x per month","2010","66 and older","","","",""
"Rarely","2010","16-34 y.","","","",""
"Rarely","2010","35-65 y.","","","",""
"Rarely","2010","66 and older","","","",""
"Never","2010","16-34 y.","","","",""
"Never","2010","35-65 y.","","","",""
"Never","2010","66 and older","","","",""
"Daily","2011","16-34 y.","","","",""
"Daily","2011","35-65 y.","","","",""
"Daily","2011","66 and older","","","",""
"Min 1x per week","2011","16-34 y.","","","",""
"Min 1x per week","2011","35-65 y.","","","",""
"Min 1x per week","2011","66 and older","","","",""
"Min 1x per month","2011","16-34 y.","","","",""
"Min 1x per month","2011","35-65 y.","","","",""
"Min 1x per month","2011","66 and older","","","",""
"Rarely","2011","16-34 y.","","","",""
"Rarely","2011","35-65 y.","","","",""
"Rarely","2011","66 and older","","","",""
"Never","2011","16-34 y.","","","",""
"Never","2011","35-65 y.","","","",""
"Never","2011","66 and older","","","",""
"Daily","2012","16-34 y.","","","",""
"Daily","2012","35-65 y.","","","",""
"Daily","2012","66 and older","","","",""
"Min 1x per week","2012","16-34 y.","","","",""
"Min 1x per week","2012","35-65 y.","","","",""
"Min 1x per week","2012","66 and older","","","",""
"Min 1x per month","2012","16-34 y.","","","",""
"Min 1x per month","2012","35-65 y.","","","",""
"Min 1x per month","2012","66 and older","","","",""
"Rarely","2012","16-34 y.","","","",""
"Rarely","2012","35-65 y.","","","",""
"Rarely","2012","66 and older","","","",""
"Never","2012","16-34 y.","","","",""
"Never","2012","35-65 y.","","","",""
"Never","2012","66 and older","","","",""
"Daily","2013","16-34 y.","569","0.0946781750851722","0.0870340538714663","0.102322296298878"
"Daily","2013","35-65 y.","388","0.022927597599828","0.0205251610962465","0.0253300341034096"
"Daily","2013","66 and older","133","0.0271963124995455","0.022677875197631","0.0317147498014599"
"Min 1x per week","2013","16-34 y.","3048","0.541375171805632","0.528365118405291","0.554385225205973"
"Min 1x per week","2013","35-65 y.","5332","0.332570094275725","0.32500779784208","0.34013239070937"
"Min 1x per week","2013","66 and older","1469","0.308055893236197","0.295230493407541","0.320881293064852"
"Min 1x per month","2013","16-34 y.","1367","0.253085051401195","0.241733114889221","0.264436987913169"
"Min 1x per month","2013","35-65 y.","5473","0.380994697614566","0.373199701201801","0.388789694027331"
"Min 1x per month","2013","66 and older","1538","0.281830950047277","0.269333300861486","0.294328599233068"
"Rarely","2013","16-34 y.","574","0.0989973936849201","0.0911995228898787","0.106795264479961"
"Rarely","2013","35-65 y.","3277","0.230224635276636","0.223467429102755","0.236981841450516"
"Rarely","2013","66 and older","1463","0.305442268783858","0.292647295356247","0.318237242211468"
"Never","2013","16-34 y.","77","0.0118642080230812","0.0090371884036133","0.0146912276425491"
"Never","2013","35-65 y.","440","0.0332829752332447","0.0304037872324526","0.0361621632340367"
"Never","2013","66 and older","375","0.0774745754331233","0.0700479859305404","0.0849011649357062"
"Daily","2014","16-34 y.","","","",""
"Daily","2014","35-65 y.","","","",""
"Daily","2014","66 and older","","","",""
"Min 1x per week","2014","16-34 y.","","","",""
"Min 1x per week","2014","35-65 y.","","","",""
"Min 1x per week","2014","66 and older","","","",""
"Min 1x per month","2014","16-34 y.","","","",""
"Min 1x per month","2014","35-65 y.","","","",""
"Min 1x per month","2014","66 and older","","","",""
"Rarely","2014","16-34 y.","","","",""
"Rarely","2014","35-65 y.","","","",""
"Rarely","2014","66 and older","","","",""
"Never","2014","16-34 y.","","","",""
"Never","2014","35-65 y.","","","",""
"Never","2014","66 and older","","","",""
"Daily","2015","16-34 y.","","","",""
"Daily","2015","35-65 y.","","","",""
"Daily","2015","66 and older","","","",""
"Min 1x per week","2015","16-34 y.","","","",""
"Min 1x per week","2015","35-65 y.","","","",""
"Min 1x per week","2015","66 and older","","","",""
"Min 1x per month","2015","16-34 y.","","","",""
"Min 1x per month","2015","35-65 y.","","","",""
"Min 1x per month","2015","66 and older","","","",""
"Rarely","2015","16-34 y.","","","",""
"Rarely","2015","35-65 y.","","","",""
"Rarely","2015","66 and older","","","",""
"Never","2015","16-34 y.","","","",""
"Never","2015","35-65 y.","","","",""
"Never","2015","66 and older","","","",""
"Daily","2016","16-34 y.","","","",""
"Daily","2016","35-65 y.","","","",""
"Daily","2016","66 and older","","","",""
"Min 1x per week","2016","16-34 y.","","","",""
"Min 1x per week","2016","35-65 y.","","","",""
"Min 1x per week","2016","66 and older","","","",""
"Min 1x per month","2016","16-34 y.","","","",""
"Min 1x per month","2016","35-65 y.","","","",""
"Min 1x per month","2016","66 and older","","","",""
"Rarely","2016","16-34 y.","","","",""
"Rarely","2016","35-65 y.","","","",""
"Rarely","2016","66 and older","","","",""
"Never","2016","16-34 y.","","","",""
"Never","2016","35-65 y.","","","",""
"Never","2016","66 and older","","","",""
"Daily","2017","16-34 y.","","","",""
"Daily","2017","35-65 y.","","","",""
"Daily","2017","66 and older","","","",""
"Min 1x per week","2017","16-34 y.","","","",""
"Min 1x per week","2017","35-65 y.","","","",""
"Min 1x per week","2017","66 and older","","","",""
"Min 1x per month","2017","16-34 y.","","","",""
"Min 1x per month","2017","35-65 y.","","","",""
"Min 1x per month","2017","66 and older","","","",""
"Rarely","2017","16-34 y.","","","",""
"Rarely","2017","35-65 y.","","","",""
"Rarely","2017","66 and older","","","",""
"Never","2017","16-34 y.","","","",""
"Never","2017","35-65 y.","","","",""
"Never","2017","66 and older","","","",""
"Daily","2018","16-34 y.","","","",""
"Daily","2018","35-65 y.","","","",""
"Daily","2018","66 and older","","","",""
"Min 1x per week","2018","16-34 y.","","","",""
"Min 1x per week","2018","35-65 y.","","","",""
"Min 1x per week","2018","66 and older","","","",""
"Min 1x per month","2018","16-34 y.","","","",""
"Min 1x per month","2018","35-65 y.","","","",""
"Min 1x per month","2018","66 and older","","","",""
"Rarely","2018","16-34 y.","","","",""
"Rarely","2018","35-65 y.","","","",""
"Rarely","2018","66 and older","","","",""
"Never","2018","16-34 y.","","","",""
"Never","2018","35-65 y.","","","",""
"Never","2018","66 and older","","","",""
"Daily","2019","16-34 y.","486","0.0763825811097209","0.0693283043401515","0.0834368578792904"
"Daily","2019","35-65 y.","391","0.0247928566917951","0.0223159410344156","0.0272697723491746"
"Daily","2019","66 and older","159","0.0337209309570493","0.0288203569564286","0.0386215049576699"
"Min 1x per week","2019","16-34 y.","2777","0.511953068416418","0.498677438381357","0.525228698451478"
"Min 1x per week","2019","35-65 y.","5150","0.334001222067234","0.326488276529717","0.341514167604751"
"Min 1x per week","2019","66 and older","1510","0.297392362760865","0.284982492926113","0.309802232595618"
"Min 1x per month","2019","16-34 y.","1395","0.272126188017123","0.260306051603364","0.283946324430883"
"Min 1x per month","2019","35-65 y.","5699","0.37477798759162","0.367067112572658","0.382488862610583"
"Min 1x per month","2019","66 and older","1643","0.295319576334498","0.282934801668742","0.307704351000254"
"Rarely","2019","16-34 y.","648","0.118779509095852","0.110186953928727","0.127372064262977"
"Rarely","2019","35-65 y.","3335","0.224641829781846","0.21799375349603","0.231289906067662"
"Rarely","2019","66 and older","1524","0.290979382434484","0.278648151574617","0.303310613294351"
"Never","2019","16-34 y.","140","0.0207586533608858","0.0169720158549187","0.0245452908668529"
"Never","2019","35-65 y.","564","0.0417861038675052","0.0385986297376783","0.0449735779973322"
"Never","2019","66 and older","376","0.0825877475131033","0.0751149026524404","0.0900605923737661"
