"pli0080","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence"
"Daily","2001","Not Employed","Urban Area","","","",""
"Daily","2001","Not Employed","Rural Area","","","",""
"Daily","2001","Employed","Urban Area","","","",""
"Daily","2001","Employed","Rural Area","","","",""
"Min 1x per week","2001","Not Employed","Urban Area","","","",""
"Min 1x per week","2001","Not Employed","Rural Area","","","",""
"Min 1x per week","2001","Employed","Urban Area","","","",""
"Min 1x per week","2001","Employed","Rural Area","","","",""
"Min 1x per month","2001","Not Employed","Urban Area","","","",""
"Min 1x per month","2001","Not Employed","Rural Area","","","",""
"Min 1x per month","2001","Employed","Urban Area","","","",""
"Min 1x per month","2001","Employed","Rural Area","","","",""
"Rarely","2001","Not Employed","Urban Area","","","",""
"Rarely","2001","Not Employed","Rural Area","","","",""
"Rarely","2001","Employed","Urban Area","","","",""
"Rarely","2001","Employed","Rural Area","","","",""
"Never","2001","Not Employed","Urban Area","","","",""
"Never","2001","Not Employed","Rural Area","","","",""
"Never","2001","Employed","Urban Area","","","",""
"Never","2001","Employed","Rural Area","","","",""
"Daily","2002","Not Employed","Urban Area","","","",""
"Daily","2002","Not Employed","Rural Area","","","",""
"Daily","2002","Employed","Urban Area","","","",""
"Daily","2002","Employed","Rural Area","","","",""
"Min 1x per week","2002","Not Employed","Urban Area","","","",""
"Min 1x per week","2002","Not Employed","Rural Area","","","",""
"Min 1x per week","2002","Employed","Urban Area","","","",""
"Min 1x per week","2002","Employed","Rural Area","","","",""
"Min 1x per month","2002","Not Employed","Urban Area","","","",""
"Min 1x per month","2002","Not Employed","Rural Area","","","",""
"Min 1x per month","2002","Employed","Urban Area","","","",""
"Min 1x per month","2002","Employed","Rural Area","","","",""
"Rarely","2002","Not Employed","Urban Area","","","",""
"Rarely","2002","Not Employed","Rural Area","","","",""
"Rarely","2002","Employed","Urban Area","","","",""
"Rarely","2002","Employed","Rural Area","","","",""
"Never","2002","Not Employed","Urban Area","","","",""
"Never","2002","Not Employed","Rural Area","","","",""
"Never","2002","Employed","Urban Area","","","",""
"Never","2002","Employed","Rural Area","","","",""
"Daily","2003","Not Employed","Urban Area","336","0.0575525804662255","0.0513568982139501","0.0637482627185008"
"Daily","2003","Not Employed","Rural Area","150","0.051484444248567","0.0432311682908859","0.0597377202062481"
"Daily","2003","Employed","Urban Area","407","0.040706851082429","0.0367247530405182","0.0446889491243398"
"Daily","2003","Employed","Rural Area","191","0.0435415755702343","0.0376242886178105","0.0494588625226582"
"Min 1x per week","2003","Not Employed","Urban Area","2201","0.388307971146678","0.375342666228235","0.401273276065122"
"Min 1x per week","2003","Not Employed","Rural Area","1009","0.372193331731289","0.354139749885431","0.390246913577147"
"Min 1x per week","2003","Employed","Urban Area","4211","0.445223960244849","0.435208967592146","0.455238952897551"
"Min 1x per week","2003","Employed","Rural Area","1787","0.405175550358357","0.390940679448486","0.419410421268228"
"Min 1x per month","2003","Not Employed","Urban Area","1558","0.278950182866628","0.267019257410228","0.290881108323029"
"Min 1x per month","2003","Not Employed","Rural Area","765","0.269689130474522","0.253114199563482","0.286264061385561"
"Min 1x per month","2003","Employed","Urban Area","3202","0.320981898781648","0.311574198569297","0.330389598994"
"Min 1x per month","2003","Employed","Rural Area","1570","0.322488408047306","0.308934862134361","0.336041953960252"
"Rarely","2003","Not Employed","Urban Area","1070","0.219518729682122","0.208507262096574","0.23053019726767"
"Rarely","2003","Not Employed","Rural Area","671","0.242884357208965","0.226868617375517","0.258900097042414"
"Rarely","2003","Employed","Urban Area","1492","0.173066301273294","0.165442981733169","0.180689620813419"
"Rarely","2003","Employed","Rural Area","961","0.213835333441329","0.20194664334063","0.225724023542029"
"Never","2003","Not Employed","Urban Area","263","0.0556705358383461","0.0495709177666717","0.0617701539100204"
"Never","2003","Not Employed","Rural Area","159","0.0637487363366572","0.0546244664732376","0.0728730062000768"
"Never","2003","Employed","Urban Area","148","0.0200209886177801","0.0171983604617952","0.0228436167737649"
"Never","2003","Employed","Rural Area","60","0.0149591325827727","0.0114393337566398","0.0184789314089056"
"Daily","2004","Not Employed","Urban Area","","","",""
"Daily","2004","Not Employed","Rural Area","","","",""
"Daily","2004","Employed","Urban Area","","","",""
"Daily","2004","Employed","Rural Area","","","",""
"Min 1x per week","2004","Not Employed","Urban Area","","","",""
"Min 1x per week","2004","Not Employed","Rural Area","","","",""
"Min 1x per week","2004","Employed","Urban Area","","","",""
"Min 1x per week","2004","Employed","Rural Area","","","",""
"Min 1x per month","2004","Not Employed","Urban Area","","","",""
"Min 1x per month","2004","Not Employed","Rural Area","","","",""
"Min 1x per month","2004","Employed","Urban Area","","","",""
"Min 1x per month","2004","Employed","Rural Area","","","",""
"Rarely","2004","Not Employed","Urban Area","","","",""
"Rarely","2004","Not Employed","Rural Area","","","",""
"Rarely","2004","Employed","Urban Area","","","",""
"Rarely","2004","Employed","Rural Area","","","",""
"Never","2004","Not Employed","Urban Area","","","",""
"Never","2004","Not Employed","Rural Area","","","",""
"Never","2004","Employed","Urban Area","","","",""
"Never","2004","Employed","Rural Area","","","",""
"Daily","2005","Not Employed","Urban Area","","","",""
"Daily","2005","Not Employed","Rural Area","","","",""
"Daily","2005","Employed","Urban Area","","","",""
"Daily","2005","Employed","Rural Area","","","",""
"Min 1x per week","2005","Not Employed","Urban Area","","","",""
"Min 1x per week","2005","Not Employed","Rural Area","","","",""
"Min 1x per week","2005","Employed","Urban Area","","","",""
"Min 1x per week","2005","Employed","Rural Area","","","",""
"Min 1x per month","2005","Not Employed","Urban Area","","","",""
"Min 1x per month","2005","Not Employed","Rural Area","","","",""
"Min 1x per month","2005","Employed","Urban Area","","","",""
"Min 1x per month","2005","Employed","Rural Area","","","",""
"Rarely","2005","Not Employed","Urban Area","","","",""
"Rarely","2005","Not Employed","Rural Area","","","",""
"Rarely","2005","Employed","Urban Area","","","",""
"Rarely","2005","Employed","Rural Area","","","",""
"Never","2005","Not Employed","Urban Area","","","",""
"Never","2005","Not Employed","Rural Area","","","",""
"Never","2005","Employed","Urban Area","","","",""
"Never","2005","Employed","Rural Area","","","",""
"Daily","2006","Not Employed","Urban Area","","","",""
"Daily","2006","Not Employed","Rural Area","","","",""
"Daily","2006","Employed","Urban Area","","","",""
"Daily","2006","Employed","Rural Area","","","",""
"Min 1x per week","2006","Not Employed","Urban Area","","","",""
