"pli0080","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence"
"Min 1x per week","1992","Full Time","higher vocational","","","",""
"Min 1x per week","1992","Full Time","higher education","","","",""
"Min 1x per week","1992","Part Time","in school","","","",""
"Min 1x per week","1992","Part Time","inadequately","","","",""
"Min 1x per week","1992","Part Time","general elemantary","","","",""
"Min 1x per week","1992","Part Time","middle vocational","","","",""
"Min 1x per week","1992","Part Time","vocational + Abi","","","",""
"Min 1x per week","1992","Part Time","higher vocational","","","",""
"Min 1x per week","1992","Part Time","higher education","","","",""
"Min 1x per week","1992","Not Working","in school","","","",""
"Min 1x per week","1992","Not Working","inadequately","","","",""
"Min 1x per week","1992","Not Working","general elemantary","","","",""
"Min 1x per week","1992","Not Working","middle vocational","","","",""
"Min 1x per week","1992","Not Working","vocational + Abi","","","",""
"Min 1x per week","1992","Not Working","higher vocational","","","",""
"Min 1x per week","1992","Not Working","higher education","","","",""
"Min 1x per month","1992","Full Time","in school","","","",""
"Min 1x per month","1992","Full Time","inadequately","","","",""
"Min 1x per month","1992","Full Time","general elemantary","","","",""
"Min 1x per month","1992","Full Time","middle vocational","","","",""
"Min 1x per month","1992","Full Time","vocational + Abi","","","",""
"Min 1x per month","1992","Full Time","higher vocational","","","",""
"Min 1x per month","1992","Full Time","higher education","","","",""
"Min 1x per month","1992","Part Time","in school","","","",""
"Min 1x per month","1992","Part Time","inadequately","","","",""
"Min 1x per month","1992","Part Time","general elemantary","","","",""
"Min 1x per month","1992","Part Time","middle vocational","","","",""
"Min 1x per month","1992","Part Time","vocational + Abi","","","",""
"Min 1x per month","1992","Part Time","higher vocational","","","",""
"Min 1x per month","1992","Part Time","higher education","","","",""
"Min 1x per month","1992","Not Working","in school","","","",""
"Min 1x per month","1992","Not Working","inadequately","","","",""
"Min 1x per month","1992","Not Working","general elemantary","","","",""
"Min 1x per month","1992","Not Working","middle vocational","","","",""
"Min 1x per month","1992","Not Working","vocational + Abi","","","",""
"Min 1x per month","1992","Not Working","higher vocational","","","",""
"Min 1x per month","1992","Not Working","higher education","","","",""
"Rarely","1992","Full Time","in school","","","",""
"Rarely","1992","Full Time","inadequately","","","",""
"Rarely","1992","Full Time","general elemantary","","","",""
"Rarely","1992","Full Time","middle vocational","","","",""
"Rarely","1992","Full Time","vocational + Abi","","","",""
"Rarely","1992","Full Time","higher vocational","","","",""
"Rarely","1992","Full Time","higher education","","","",""
"Rarely","1992","Part Time","in school","","","",""
"Rarely","1992","Part Time","inadequately","","","",""
"Rarely","1992","Part Time","general elemantary","","","",""
"Rarely","1992","Part Time","middle vocational","","","",""
"Rarely","1992","Part Time","vocational + Abi","","","",""
"Rarely","1992","Part Time","higher vocational","","","",""
"Rarely","1992","Part Time","higher education","","","",""
"Rarely","1992","Not Working","in school","","","",""
"Rarely","1992","Not Working","inadequately","","","",""
"Rarely","1992","Not Working","general elemantary","","","",""
"Rarely","1992","Not Working","middle vocational","","","",""
"Rarely","1992","Not Working","vocational + Abi","","","",""
"Rarely","1992","Not Working","higher vocational","","","",""
"Rarely","1992","Not Working","higher education","","","",""
"Never","1992","Full Time","in school","","","",""
"Never","1992","Full Time","inadequately","","","",""
"Never","1992","Full Time","general elemantary","","","",""
"Never","1992","Full Time","middle vocational","","","",""
"Never","1992","Full Time","vocational + Abi","","","",""
"Never","1992","Full Time","higher vocational","","","",""
"Never","1992","Full Time","higher education","","","",""
"Never","1992","Part Time","in school","","","",""
"Never","1992","Part Time","inadequately","","","",""
"Never","1992","Part Time","general elemantary","","","",""
"Never","1992","Part Time","middle vocational","","","",""
"Never","1992","Part Time","vocational + Abi","","","",""
"Never","1992","Part Time","higher vocational","","","",""
"Never","1992","Part Time","higher education","","","",""
"Never","1992","Not Working","in school","","","",""
"Never","1992","Not Working","inadequately","","","",""
"Never","1992","Not Working","general elemantary","","","",""
"Never","1992","Not Working","middle vocational","","","",""
"Never","1992","Not Working","vocational + Abi","","","",""
"Never","1992","Not Working","higher vocational","","","",""
"Never","1992","Not Working","higher education","","","",""
"Daily","1993","Full Time","in school","","","",""
"Daily","1993","Full Time","inadequately","","","",""
"Daily","1993","Full Time","general elemantary","","","",""
"Daily","1993","Full Time","middle vocational","","","",""
"Daily","1993","Full Time","vocational + Abi","","","",""
"Daily","1993","Full Time","higher vocational","","","",""
"Daily","1993","Full Time","higher education","","","",""
"Daily","1993","Part Time","in school","","","",""
"Daily","1993","Part Time","inadequately","","","",""
"Daily","1993","Part Time","general elemantary","","","",""
"Daily","1993","Part Time","middle vocational","","","",""
"Daily","1993","Part Time","vocational + Abi","","","",""
"Daily","1993","Part Time","higher vocational","","","",""
"Daily","1993","Part Time","higher education","","","",""
"Daily","1993","Not Working","in school","","","",""
"Daily","1993","Not Working","inadequately","","","",""
"Daily","1993","Not Working","general elemantary","","","",""
"Daily","1993","Not Working","middle vocational","","","",""
"Daily","1993","Not Working","vocational + Abi","","","",""
"Daily","1993","Not Working","higher vocational","","","",""
"Daily","1993","Not Working","higher education","","","",""
"Min 1x per week","1993","Full Time","in school","","","",""
"Min 1x per week","1993","Full Time","inadequately","","","",""
"Min 1x per week","1993","Full Time","general elemantary","","","",""
"Min 1x per week","1993","Full Time","middle vocational","","","",""
"Min 1x per week","1993","Full Time","vocational + Abi","","","",""
"Min 1x per week","1993","Full Time","higher vocational","","","",""
"Min 1x per week","1993","Full Time","higher education","","","",""
"Min 1x per week","1993","Part Time","in school","","","",""
"Min 1x per week","1993","Part Time","inadequately","","","",""
"Min 1x per week","1993","Part Time","general elemantary","","","",""
"Min 1x per week","1993","Part Time","middle vocational","","","",""
"Min 1x per week","1993","Part Time","vocational + Abi","","","",""
"Min 1x per week","1993","Part Time","higher vocational","","","",""
"Min 1x per week","1993","Part Time","higher education","","","",""
"Min 1x per week","1993","Not Working","in school","","","",""
"Min 1x per week","1993","Not Working","inadequately","","","",""
"Min 1x per week","1993","Not Working","general elemantary","","","",""
"Min 1x per week","1993","Not Working","middle vocational","","","",""
"Min 1x per week","1993","Not Working","vocational + Abi","","","",""
"Min 1x per week","1993","Not Working","higher vocational","","","",""
"Min 1x per week","1993","Not Working","higher education","","","",""
"Min 1x per month","1993","Full Time","in school","","","",""
"Min 1x per month","1993","Full Time","inadequately","","","",""
"Min 1x per month","1993","Full Time","general elemantary","","","",""
"Min 1x per month","1993","Full Time","middle vocational","","","",""
"Min 1x per month","1993","Full Time","vocational + Abi","","","",""
"Min 1x per month","1993","Full Time","higher vocational","","","",""
"Min 1x per month","1993","Full Time","higher education","","","",""
"Min 1x per month","1993","Part Time","in school","","","",""
"Min 1x per month","1993","Part Time","inadequately","","","",""
"Min 1x per month","1993","Part Time","general elemantary","","","",""
"Min 1x per month","1993","Part Time","middle vocational","","","",""
"Min 1x per month","1993","Part Time","vocational + Abi","","","",""
"Min 1x per month","1993","Part Time","higher vocational","","","",""
