"pli0080","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence"
"Min 1x per week","1994","Full Time","Rural Area","","","",""
"Min 1x per week","1994","Part Time","Urban Area","","","",""
"Min 1x per week","1994","Part Time","Rural Area","","","",""
"Min 1x per week","1994","Not Working","Urban Area","","","",""
"Min 1x per week","1994","Not Working","Rural Area","","","",""
"Min 1x per month","1994","Full Time","Urban Area","","","",""
"Min 1x per month","1994","Full Time","Rural Area","","","",""
"Min 1x per month","1994","Part Time","Urban Area","","","",""
"Min 1x per month","1994","Part Time","Rural Area","","","",""
"Min 1x per month","1994","Not Working","Urban Area","","","",""
"Min 1x per month","1994","Not Working","Rural Area","","","",""
"Rarely","1994","Full Time","Urban Area","","","",""
"Rarely","1994","Full Time","Rural Area","","","",""
"Rarely","1994","Part Time","Urban Area","","","",""
"Rarely","1994","Part Time","Rural Area","","","",""
"Rarely","1994","Not Working","Urban Area","","","",""
"Rarely","1994","Not Working","Rural Area","","","",""
"Never","1994","Full Time","Urban Area","","","",""
"Never","1994","Full Time","Rural Area","","","",""
"Never","1994","Part Time","Urban Area","","","",""
"Never","1994","Part Time","Rural Area","","","",""
"Never","1994","Not Working","Urban Area","","","",""
"Never","1994","Not Working","Rural Area","","","",""
"Daily","1995","Full Time","Urban Area","190","0.042321990506837","0.0359435918417792","0.0487003891718947"
"Daily","1995","Full Time","Rural Area","59","0.0300019156450559","0.022654781443277","0.0373490498468348"
"Daily","1995","Part Time","Urban Area","135","0.0722936575267005","0.0602898314206428","0.0842974836327582"
"Daily","1995","Part Time","Rural Area","57","0.0593411154696112","0.0431206534493445","0.075561577489878"
"Daily","1995","Not Working","Urban Area","298","0.0739028473470202","0.064890548147403","0.0829151465466374"
"Daily","1995","Not Working","Rural Area","138","0.0822865290660444","0.0686761526220492","0.0958969055100397"
"Min 1x per week","1995","Full Time","Urban Area","1664","0.412233910896278","0.396638637947272","0.427829183845283"
"Min 1x per week","1995","Full Time","Rural Area","729","0.357217515525081","0.336580046647315","0.377854984402848"
"Min 1x per week","1995","Part Time","Urban Area","827","0.434115542946056","0.411141846188959","0.457089239703152"
"Min 1x per week","1995","Part Time","Rural Area","307","0.404821418389673","0.371121823916026","0.438521012863319"
"Min 1x per week","1995","Not Working","Urban Area","1412","0.39528740601871","0.378444860220277","0.412129951817143"
"Min 1x per week","1995","Not Working","Rural Area","553","0.351535930623788","0.327888713916085","0.375183147331491"
"Min 1x per month","1995","Full Time","Urban Area","1201","0.328225684037086","0.313348633488339","0.343102734585832"
"Min 1x per month","1995","Full Time","Rural Area","689","0.325340305194653","0.305162712124048","0.345517898265259"
"Min 1x per month","1995","Part Time","Urban Area","507","0.297725019534836","0.276530401306391","0.318919637763281"
"Min 1x per month","1995","Part Time","Rural Area","255","0.335870518798855","0.303445397540769","0.368295640056941"
"Min 1x per month","1995","Not Working","Urban Area","838","0.278102314374692","0.262666950657483","0.2935376780919"
"Min 1x per month","1995","Not Working","Rural Area","413","0.256515046666881","0.234885634003852","0.278144459329911"
"Rarely","1995","Full Time","Urban Area","699","0.196562024951534","0.183971470771724","0.209152579131344"
"Rarely","1995","Full Time","Rural Area","549","0.264777902196033","0.245775514001892","0.283780290390174"
"Rarely","1995","Part Time","Urban Area","273","0.167291870531918","0.149991788810276","0.184591952253559"
"Rarely","1995","Part Time","Rural Area","181","0.186430162923033","0.159692416780778","0.213167909065287"
"Rarely","1995","Not Working","Urban Area","559","0.199634652451182","0.185864496970414","0.213404807931951"
"Rarely","1995","Not Working","Rural Area","389","0.252759913094961","0.231235248542746","0.274284577647176"
"Never","1995","Full Time","Urban Area","73","0.0206563896082658","0.0161501569037429","0.0251626223127886"
"Never","1995","Full Time","Rural Area","45","0.0226623614391764","0.0162527318182023","0.0290719910601506"
"Never","1995","Part Time","Urban Area","46","0.0285739094604898","0.0208514782622035","0.0362963406587761"
"Never","1995","Part Time","Rural Area","15","","",""
"Never","1995","Not Working","Urban Area","130","0.0530727798083963","0.0453500478872472","0.0607955117295453"
"Never","1995","Not Working","Rural Area","73","0.0569025805483254","0.0454290659770625","0.0683760951195882"
"Daily","1996","Full Time","Urban Area","","","",""
"Daily","1996","Full Time","Rural Area","","","",""
"Daily","1996","Part Time","Urban Area","","","",""
"Daily","1996","Part Time","Rural Area","","","",""
"Daily","1996","Not Working","Urban Area","","","",""
"Daily","1996","Not Working","Rural Area","","","",""
"Min 1x per week","1996","Full Time","Urban Area","","","",""
"Min 1x per week","1996","Full Time","Rural Area","","","",""
"Min 1x per week","1996","Part Time","Urban Area","","","",""
"Min 1x per week","1996","Part Time","Rural Area","","","",""
"Min 1x per week","1996","Not Working","Urban Area","","","",""
"Min 1x per week","1996","Not Working","Rural Area","","","",""
"Min 1x per month","1996","Full Time","Urban Area","","","",""
"Min 1x per month","1996","Full Time","Rural Area","","","",""
"Min 1x per month","1996","Part Time","Urban Area","","","",""
"Min 1x per month","1996","Part Time","Rural Area","","","",""
"Min 1x per month","1996","Not Working","Urban Area","","","",""
"Min 1x per month","1996","Not Working","Rural Area","","","",""
"Rarely","1996","Full Time","Urban Area","","","",""
"Rarely","1996","Full Time","Rural Area","","","",""
"Rarely","1996","Part Time","Urban Area","","","",""
"Rarely","1996","Part Time","Rural Area","","","",""
"Rarely","1996","Not Working","Urban Area","","","",""
"Rarely","1996","Not Working","Rural Area","","","",""
"Never","1996","Full Time","Urban Area","","","",""
"Never","1996","Full Time","Rural Area","","","",""
"Never","1996","Part Time","Urban Area","","","",""
"Never","1996","Part Time","Rural Area","","","",""
"Never","1996","Not Working","Urban Area","","","",""
"Never","1996","Not Working","Rural Area","","","",""
"Daily","1997","Full Time","Urban Area","","","",""
"Daily","1997","Full Time","Rural Area","","","",""
"Daily","1997","Part Time","Urban Area","","","",""
"Daily","1997","Part Time","Rural Area","","","",""
"Daily","1997","Not Working","Urban Area","","","",""
"Daily","1997","Not Working","Rural Area","","","",""
"Min 1x per week","1997","Full Time","Urban Area","","","",""
"Min 1x per week","1997","Full Time","Rural Area","","","",""
"Min 1x per week","1997","Part Time","Urban Area","","","",""
"Min 1x per week","1997","Part Time","Rural Area","","","",""
"Min 1x per week","1997","Not Working","Urban Area","","","",""
"Min 1x per week","1997","Not Working","Rural Area","","","",""
"Min 1x per month","1997","Full Time","Urban Area","","","",""
"Min 1x per month","1997","Full Time","Rural Area","","","",""
"Min 1x per month","1997","Part Time","Urban Area","","","",""
"Min 1x per month","1997","Part Time","Rural Area","","","",""
"Min 1x per month","1997","Not Working","Urban Area","","","",""
"Min 1x per month","1997","Not Working","Rural Area","","","",""
"Rarely","1997","Full Time","Urban Area","","","",""
"Rarely","1997","Full Time","Rural Area","","","",""
"Rarely","1997","Part Time","Urban Area","","","",""
"Rarely","1997","Part Time","Rural Area","","","",""
"Rarely","1997","Not Working","Urban Area","","","",""
"Rarely","1997","Not Working","Rural Area","","","",""
"Never","1997","Full Time","Urban Area","","","",""
"Never","1997","Full Time","Rural Area","","","",""
"Never","1997","Part Time","Urban Area","","","",""
"Never","1997","Part Time","Rural Area","","","",""
"Never","1997","Not Working","Urban Area","","","",""
"Never","1997","Not Working","Rural Area","","","",""
"Daily","1998","Full Time","Urban Area","214","0.0479466131275125","0.041225674277397","0.0546675519776279"
"Daily","1998","Full Time","Rural Area","78","0.030508000815578","0.023148907017169","0.037867094613987"
"Daily","1998","Part Time","Urban Area","172","0.0798878544516268","0.0677321954644045","0.0920435134388492"
"Daily","1998","Part Time","Rural Area","62","0.0495792746399097","0.0358045813650101","0.0633539679148092"
"Daily","1998","Not Working","Urban Area","342","0.0795052313020994","0.0706743515416569","0.0883361110625419"
"Daily","1998","Not Working","Rural Area","123","0.054697954830465","0.0442252296119654","0.0651706800489646"
"Min 1x per week","1998","Full Time","Urban Area","1673","0.42706844338789","0.411508054803712","0.442628831972068"
"Min 1x per week","1998","Full Time","Rural Area","757","0.363020988953777","0.342444381239318","0.383597596668236"
"Min 1x per week","1998","Part Time","Urban Area","903","0.477312940790705","0.454918499806854","0.499707381774557"
"Min 1x per week","1998","Part Time","Rural Area","372","0.398950346171109","0.367876965715929","0.43002372662629"
"Min 1x per week","1998","Not Working","Urban Area","1605","0.414546402817411","0.398464839264972","0.430627966369851"
"Min 1x per week","1998","Not Working","Rural Area","686","0.372780636457551","0.350510377484449","0.395050895430654"
"Min 1x per month","1998","Full Time","Urban Area","1253","0.326475212156056","0.311724186316775","0.341226237995337"
"Min 1x per month","1998","Full Time","Rural Area","682","0.321791998497284","0.301801923465848","0.341782073528719"
"Min 1x per month","1998","Part Time","Urban Area","530","0.268492153057657","0.248622373868587","0.288361932246727"
"Min 1x per month","1998","Part Time","Rural Area","307","0.339482823993549","0.309434180959367","0.36953146702773"
"Min 1x per month","1998","Not Working","Urban Area","888","0.250002164400201","0.235867114505311","0.26413721429509"
"Min 1x per month","1998","Not Working","Rural Area","504","0.269607927559515","0.249170171072612","0.290045684046417"
"Rarely","1998","Full Time","Urban Area","686","0.182918653805955","0.170757298650356","0.195080008961554"
"Rarely","1998","Full Time","Rural Area","557","0.270207243891852","0.251205493141507","0.289208994642197"
"Rarely","1998","Part Time","Urban Area","281","0.160033524368805","0.143595326308993","0.176471722428618"
"Rarely","1998","Part Time","Rural Area","198","0.193867168635456","0.168781288547129","0.218953048723783"
"Rarely","1998","Not Working","Urban Area","668","0.219912843952157","0.206392357489085","0.233433330415229"
"Rarely","1998","Not Working","Rural Area","436","0.262937758176839","0.242662451792834","0.283213064560843"
"Never","1998","Full Time","Urban Area","56","0.0155910775225865","0.011693936139721","0.0194882189054521"
"Never","1998","Full Time","Rural Area","24","","",""
"Never","1998","Part Time","Urban Area","25","","",""
"Never","1998","Part Time","Rural Area","15","","",""
"Never","1998","Not Working","Urban Area","102","0.0360333575281315","0.0299495029480949","0.0421172121081681"
"Never","1998","Not Working","Rural Area","62","0.0399757229756306","0.0309531970824403","0.0489982488688209"
"Daily","1999","Full Time","Urban Area","","","",""
"Daily","1999","Full Time","Rural Area","","","",""
"Daily","1999","Part Time","Urban Area","","","",""
"Daily","1999","Part Time","Rural Area","","","",""
"Daily","1999","Not Working","Urban Area","","","",""
"Daily","1999","Not Working","Rural Area","","","",""
"Min 1x per week","1999","Full Time","Urban Area","","","",""
"Min 1x per week","1999","Full Time","Rural Area","","","",""
"Min 1x per week","1999","Part Time","Urban Area","","","",""
"Min 1x per week","1999","Part Time","Rural Area","","","",""
"Min 1x per week","1999","Not Working","Urban Area","","","",""
"Min 1x per week","1999","Not Working","Rural Area","","","",""
"Min 1x per month","1999","Full Time","Urban Area","","","",""
"Min 1x per month","1999","Full Time","Rural Area","","","",""
"Min 1x per month","1999","Part Time","Urban Area","","","",""
"Min 1x per month","1999","Part Time","Rural Area","","","",""
"Min 1x per month","1999","Not Working","Urban Area","","","",""
"Min 1x per month","1999","Not Working","Rural Area","","","",""
"Rarely","1999","Full Time","Urban Area","","","",""
"Rarely","1999","Full Time","Rural Area","","","",""
"Rarely","1999","Part Time","Urban Area","","","",""
"Rarely","1999","Part Time","Rural Area","","","",""
"Rarely","1999","Not Working","Urban Area","","","",""
"Rarely","1999","Not Working","Rural Area","","","",""
"Never","1999","Full Time","Urban Area","","","",""
"Never","1999","Full Time","Rural Area","","","",""
"Never","1999","Part Time","Urban Area","","","",""
"Never","1999","Part Time","Rural Area","","","",""
"Never","1999","Not Working","Urban Area","","","",""
"Never","1999","Not Working","Rural Area","","","",""
"Daily","2000","Full Time","Urban Area","","","",""
"Daily","2000","Full Time","Rural Area","","","",""
"Daily","2000","Part Time","Urban Area","","","",""
"Daily","2000","Part Time","Rural Area","","","",""
"Daily","2000","Not Working","Urban Area","","","",""
"Daily","2000","Not Working","Rural Area","","","",""
"Min 1x per week","2000","Full Time","Urban Area","","","",""
"Min 1x per week","2000","Full Time","Rural Area","","","",""
"Min 1x per week","2000","Part Time","Urban Area","","","",""
"Min 1x per week","2000","Part Time","Rural Area","","","",""
"Min 1x per week","2000","Not Working","Urban Area","","","",""
"Min 1x per week","2000","Not Working","Rural Area","","","",""
"Min 1x per month","2000","Full Time","Urban Area","","","",""
"Min 1x per month","2000","Full Time","Rural Area","","","",""
"Min 1x per month","2000","Part Time","Urban Area","","","",""
"Min 1x per month","2000","Part Time","Rural Area","","","",""
"Min 1x per month","2000","Not Working","Urban Area","","","",""
"Min 1x per month","2000","Not Working","Rural Area","","","",""
"Rarely","2000","Full Time","Urban Area","","","",""
"Rarely","2000","Full Time","Rural Area","","","",""
"Rarely","2000","Part Time","Urban Area","","","",""
"Rarely","2000","Part Time","Rural Area","","","",""
"Rarely","2000","Not Working","Urban Area","","","",""
"Rarely","2000","Not Working","Rural Area","","","",""
"Never","2000","Full Time","Urban Area","","","",""
"Never","2000","Full Time","Rural Area","","","",""
"Never","2000","Part Time","Urban Area","","","",""
"Never","2000","Part Time","Rural Area","","","",""
"Never","2000","Not Working","Urban Area","","","",""
"Never","2000","Not Working","Rural Area","","","",""
"Daily","2001","Full Time","Urban Area","","","",""
"Daily","2001","Full Time","Rural Area","","","",""
"Daily","2001","Part Time","Urban Area","","","",""
"Daily","2001","Part Time","Rural Area","","","",""
"Daily","2001","Not Working","Urban Area","","","",""
"Daily","2001","Not Working","Rural Area","","","",""
"Min 1x per week","2001","Full Time","Urban Area","","","",""
"Min 1x per week","2001","Full Time","Rural Area","","","",""
"Min 1x per week","2001","Part Time","Urban Area","","","",""
"Min 1x per week","2001","Part Time","Rural Area","","","",""
"Min 1x per week","2001","Not Working","Urban Area","","","",""
"Min 1x per week","2001","Not Working","Rural Area","","","",""
"Min 1x per month","2001","Full Time","Urban Area","","","",""
"Min 1x per month","2001","Full Time","Rural Area","","","",""
"Min 1x per month","2001","Part Time","Urban Area","","","",""
"Min 1x per month","2001","Part Time","Rural Area","","","",""
"Min 1x per month","2001","Not Working","Urban Area","","","",""
"Min 1x per month","2001","Not Working","Rural Area","","","",""
"Rarely","2001","Full Time","Urban Area","","","",""
"Rarely","2001","Full Time","Rural Area","","","",""
"Rarely","2001","Part Time","Urban Area","","","",""
"Rarely","2001","Part Time","Rural Area","","","",""
"Rarely","2001","Not Working","Urban Area","","","",""
"Rarely","2001","Not Working","Rural Area","","","",""
"Never","2001","Full Time","Urban Area","","","",""
"Never","2001","Full Time","Rural Area","","","",""
"Never","2001","Part Time","Urban Area","","","",""
"Never","2001","Part Time","Rural Area","","","",""
"Never","2001","Not Working","Urban Area","","","",""
"Never","2001","Not Working","Rural Area","","","",""
"Daily","2002","Full Time","Urban Area","","","",""
"Daily","2002","Full Time","Rural Area","","","",""
"Daily","2002","Part Time","Urban Area","","","",""
"Daily","2002","Part Time","Rural Area","","","",""
"Daily","2002","Not Working","Urban Area","","","",""
"Daily","2002","Not Working","Rural Area","","","",""
"Min 1x per week","2002","Full Time","Urban Area","","","",""
"Min 1x per week","2002","Full Time","Rural Area","","","",""
"Min 1x per week","2002","Part Time","Urban Area","","","",""
"Min 1x per week","2002","Part Time","Rural Area","","","",""
"Min 1x per week","2002","Not Working","Urban Area","","","",""
"Min 1x per week","2002","Not Working","Rural Area","","","",""
"Min 1x per month","2002","Full Time","Urban Area","","","",""
"Min 1x per month","2002","Full Time","Rural Area","","","",""
"Min 1x per month","2002","Part Time","Urban Area","","","",""
"Min 1x per month","2002","Part Time","Rural Area","","","",""
"Min 1x per month","2002","Not Working","Urban Area","","","",""
"Min 1x per month","2002","Not Working","Rural Area","","","",""
"Rarely","2002","Full Time","Urban Area","","","",""
"Rarely","2002","Full Time","Rural Area","","","",""
"Rarely","2002","Part Time","Urban Area","","","",""
"Rarely","2002","Part Time","Rural Area","","","",""
"Rarely","2002","Not Working","Urban Area","","","",""
"Rarely","2002","Not Working","Rural Area","","","",""
"Never","2002","Full Time","Urban Area","","","",""
"Never","2002","Full Time","Rural Area","","","",""
"Never","2002","Part Time","Urban Area","","","",""
"Never","2002","Part Time","Rural Area","","","",""
"Never","2002","Not Working","Urban Area","","","",""
"Never","2002","Not Working","Rural Area","","","",""
"Daily","2003","Full Time","Urban Area","174","0.0312341610508568","0.0268041831941044","0.0356641389076091"
"Daily","2003","Full Time","Rural Area","96","0.0391003239894418","0.0321456322809081","0.0460550156979754"
"Daily","2003","Part Time","Urban Area","233","0.0568011085555403","0.0491731099008725","0.064429107210208"
"Daily","2003","Part Time","Rural Area","95","0.051415930033823","0.0405436602795837","0.0622881997880623"
"Daily","2003","Not Working","Urban Area","336","0.0575525804662255","0.0513568982139501","0.0637482627185008"
"Daily","2003","Not Working","Rural Area","150","0.051484444248567","0.0432311682908859","0.0597377202062481"
"Min 1x per week","2003","Full Time","Urban Area","2536","0.431700204427749","0.41908608025741","0.444314328598089"
"Min 1x per week","2003","Full Time","Rural Area","1112","0.385443780648744","0.367981136185734","0.402906425111754"
"Min 1x per week","2003","Part Time","Urban Area","1675","0.468201045676595","0.4517565526011","0.484645538752089"
"Min 1x per week","2003","Part Time","Rural Area","675","0.440160046521411","0.415721762281774","0.464598330761049"
"Min 1x per week","2003","Not Working","Urban Area","2201","0.388307971146678","0.375342666228235","0.401273276065122"
"Min 1x per week","2003","Not Working","Rural Area","1009","0.372193331731289","0.354139749885431","0.390246913577147"
"Min 1x per month","2003","Full Time","Urban Area","2110","0.336406500221166","0.324373872623687","0.348439127818644"
"Min 1x per month","2003","Full Time","Rural Area","1079","0.338717395687449","0.321736484853255","0.355698306521644"
"Min 1x per month","2003","Part Time","Urban Area","1092","0.294775245110906","0.279749367746407","0.309801122475404"
"Min 1x per month","2003","Part Time","Rural Area","491","0.293714356647841","0.271291742965233","0.316136970330449"
"Min 1x per month","2003","Not Working","Urban Area","1558","0.278950182866628","0.267019257410228","0.290881108323029"
"Min 1x per month","2003","Not Working","Rural Area","765","0.269689130474522","0.253114199563482","0.286264061385561"
"Rarely","2003","Full Time","Urban Area","1009","0.181253285690681","0.171442699586253","0.19106387179511"
"Rarely","2003","Full Time","Rural Area","663","0.224785921273078","0.209808258058657","0.239763584487499"
"Rarely","2003","Part Time","Urban Area","483","0.159156478962776","0.147100560182588","0.171212397742963"
"Rarely","2003","Part Time","Rural Area","298","0.194419903217838","0.174936797687378","0.213903008748298"
"Rarely","2003","Not Working","Urban Area","1070","0.219518729682122","0.208507262096574","0.23053019726767"
"Rarely","2003","Not Working","Rural Area","671","0.242884357208965","0.226868617375517","0.258900097042414"
"Never","2003","Full Time","Urban Area","94","0.0194058486095469","0.0158927673650911","0.0229189298540028"
"Never","2003","Full Time","Rural Area","34","0.011952578401287","0.00805344246141229","0.0158517143411618"
"Never","2003","Part Time","Urban Area","54","0.0210661216941838","0.0163335245782944","0.0257987188100733"
"Never","2003","Part Time","Rural Area","26","","",""
"Never","2003","Not Working","Urban Area","263","0.0556705358383461","0.0495709177666717","0.0617701539100204"
"Never","2003","Not Working","Rural Area","159","0.0637487363366572","0.0546244664732376","0.0728730062000768"
"Daily","2004","Full Time","Urban Area","","","",""
"Daily","2004","Full Time","Rural Area","","","",""
"Daily","2004","Part Time","Urban Area","","","",""
"Daily","2004","Part Time","Rural Area","","","",""
"Daily","2004","Not Working","Urban Area","","","",""
"Daily","2004","Not Working","Rural Area","","","",""
"Min 1x per week","2004","Full Time","Urban Area","","","",""
"Min 1x per week","2004","Full Time","Rural Area","","","",""
"Min 1x per week","2004","Part Time","Urban Area","","","",""
"Min 1x per week","2004","Part Time","Rural Area","","","",""
"Min 1x per week","2004","Not Working","Urban Area","","","",""
"Min 1x per week","2004","Not Working","Rural Area","","","",""
"Min 1x per month","2004","Full Time","Urban Area","","","",""
"Min 1x per month","2004","Full Time","Rural Area","","","",""
"Min 1x per month","2004","Part Time","Urban Area","","","",""
"Min 1x per month","2004","Part Time","Rural Area","","","",""
"Min 1x per month","2004","Not Working","Urban Area","","","",""
"Min 1x per month","2004","Not Working","Rural Area","","","",""
"Rarely","2004","Full Time","Urban Area","","","",""
"Rarely","2004","Full Time","Rural Area","","","",""
"Rarely","2004","Part Time","Urban Area","","","",""
"Rarely","2004","Part Time","Rural Area","","","",""
"Rarely","2004","Not Working","Urban Area","","","",""
