"pli0080","year","pgcasmin","pgisced97","n","percent","lower_confidence","upper_confidence"
"Min 1x per month","1990","(1c) basic vocational qualification","higher vocational","84","0.34447983735528","0.282662528686868","0.406297146023691"
"Min 1x per month","1990","(1c) basic vocational qualification","higher education","","","",""
"Min 1x per month","1990","(2b) intermediate general qualification","in school","","","",""
"Min 1x per month","1990","(2b) intermediate general qualification","inadequately","","","",""
"Min 1x per month","1990","(2b) intermediate general qualification","general elemantary","72","0.237432758573324","0.193416790474176","0.281448726672472"
"Min 1x per month","1990","(2b) intermediate general qualification","middle vocational","","","",""
"Min 1x per month","1990","(2b) intermediate general qualification","vocational + Abi","","","",""
"Min 1x per month","1990","(2b) intermediate general qualification","higher vocational","","","",""
"Min 1x per month","1990","(2b) intermediate general qualification","higher education","","","",""
"Min 1x per month","1990","(2a) intermediate vocational","in school","","","",""
"Min 1x per month","1990","(2a) intermediate vocational","inadequately","","","",""
"Min 1x per month","1990","(2a) intermediate vocational","general elemantary","","","",""
"Min 1x per month","1990","(2a) intermediate vocational","middle vocational","359","0.317055766033845","0.289569554737679","0.34454197733001"
"Min 1x per month","1990","(2a) intermediate vocational","vocational + Abi","","","",""
"Min 1x per month","1990","(2a) intermediate vocational","higher vocational","57","0.310945964468398","0.240103237593694","0.381788691343102"
"Min 1x per month","1990","(2a) intermediate vocational","higher education","","","",""
"Min 1x per month","1990","(2c_gen) general maturity certificate","in school","","","",""
"Min 1x per month","1990","(2c_gen) general maturity certificate","inadequately","","","",""
"Min 1x per month","1990","(2c_gen) general maturity certificate","general elemantary","","","",""
"Min 1x per month","1990","(2c_gen) general maturity certificate","middle vocational","60","0.173489778654773","0.133357289328416","0.21362226798113"
"Min 1x per month","1990","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"Min 1x per month","1990","(2c_gen) general maturity certificate","higher vocational","","","",""
"Min 1x per month","1990","(2c_gen) general maturity certificate","higher education","","","",""
"Min 1x per month","1990","(2c_voc) vocational maturity certificate","in school","","","",""
"Min 1x per month","1990","(2c_voc) vocational maturity certificate","inadequately","","","",""
"Min 1x per month","1990","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"Min 1x per month","1990","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"Min 1x per month","1990","(2c_voc) vocational maturity certificate","vocational + Abi","81","0.29371442251187","0.241651657300876","0.345777187722865"
"Min 1x per month","1990","(2c_voc) vocational maturity certificate","higher vocational","34","0.31894116258775","0.234849160929125","0.403033164246375"
"Min 1x per month","1990","(2c_voc) vocational maturity certificate","higher education","","","",""
"Min 1x per month","1990","(3a) lower tertiary education","in school","","","",""
"Min 1x per month","1990","(3a) lower tertiary education","inadequately","","","",""
"Min 1x per month","1990","(3a) lower tertiary education","general elemantary","","","",""
"Min 1x per month","1990","(3a) lower tertiary education","middle vocational","","","",""
"Min 1x per month","1990","(3a) lower tertiary education","vocational + Abi","","","",""
"Min 1x per month","1990","(3a) lower tertiary education","higher vocational","","","",""
"Min 1x per month","1990","(3a) lower tertiary education","higher education","90","0.373561096600986","0.31197338050085","0.435148812701121"
"Min 1x per month","1990","(3b) higher tertiary education","in school","","","",""
"Min 1x per month","1990","(3b) higher tertiary education","inadequately","","","",""
"Min 1x per month","1990","(3b) higher tertiary education","general elemantary","","","",""
"Min 1x per month","1990","(3b) higher tertiary education","middle vocational","","","",""
"Min 1x per month","1990","(3b) higher tertiary education","vocational + Abi","","","",""
"Min 1x per month","1990","(3b) higher tertiary education","higher vocational","","","",""
"Min 1x per month","1990","(3b) higher tertiary education","higher education","152","0.336864690780488","0.293766808991464","0.379962572569513"
"Rarely","1990","(0) in school","in school","13","","",""
"Rarely","1990","(0) in school","inadequately","","","",""
"Rarely","1990","(0) in school","general elemantary","","","",""
"Rarely","1990","(0) in school","middle vocational","","","",""
"Rarely","1990","(0) in school","vocational + Abi","","","",""
"Rarely","1990","(0) in school","higher vocational","","","",""
"Rarely","1990","(0) in school","higher education","","","",""
"Rarely","1990","(1a) inadequately completed","in school","","","",""
"Rarely","1990","(1a) inadequately completed","inadequately","68","0.124031015343822","0.0978522621400322","0.150209768547611"
"Rarely","1990","(1a) inadequately completed","general elemantary","","","",""
"Rarely","1990","(1a) inadequately completed","middle vocational","10","","",""
"Rarely","1990","(1a) inadequately completed","vocational + Abi","","","",""
"Rarely","1990","(1a) inadequately completed","higher vocational","1","","",""
"Rarely","1990","(1a) inadequately completed","higher education","","","",""
"Rarely","1990","(1b) general elementary school","in school","","","",""
"Rarely","1990","(1b) general elementary school","inadequately","5","","",""
"Rarely","1990","(1b) general elementary school","general elemantary","440","0.251825974787311","0.23332713546232","0.270324814112302"
"Rarely","1990","(1b) general elementary school","middle vocational","","","",""
"Rarely","1990","(1b) general elementary school","vocational + Abi","","","",""
"Rarely","1990","(1b) general elementary school","higher vocational","","","",""
"Rarely","1990","(1b) general elementary school","higher education","","","",""
"Rarely","1990","(1c) basic vocational qualification","in school","","","",""
"Rarely","1990","(1c) basic vocational qualification","inadequately","","","",""
"Rarely","1990","(1c) basic vocational qualification","general elemantary","","","",""
"Rarely","1990","(1c) basic vocational qualification","middle vocational","676","0.243636031107532","0.228262067391812","0.259009994823253"
"Rarely","1990","(1c) basic vocational qualification","vocational + Abi","","","",""
"Rarely","1990","(1c) basic vocational qualification","higher vocational","62","0.290071707498144","0.231038675409261","0.349104739587026"
"Rarely","1990","(1c) basic vocational qualification","higher education","","","",""
"Rarely","1990","(2b) intermediate general qualification","in school","","","",""
"Rarely","1990","(2b) intermediate general qualification","inadequately","","","",""
"Rarely","1990","(2b) intermediate general qualification","general elemantary","47","0.144736503261538","0.108341658354563","0.181131348168513"
"Rarely","1990","(2b) intermediate general qualification","middle vocational","","","",""
"Rarely","1990","(2b) intermediate general qualification","vocational + Abi","","","",""
"Rarely","1990","(2b) intermediate general qualification","higher vocational","","","",""
"Rarely","1990","(2b) intermediate general qualification","higher education","","","",""
"Rarely","1990","(2a) intermediate vocational","in school","","","",""
"Rarely","1990","(2a) intermediate vocational","inadequately","","","",""
"Rarely","1990","(2a) intermediate vocational","general elemantary","","","",""
"Rarely","1990","(2a) intermediate vocational","middle vocational","216","0.22850859355584","0.203707476243827","0.253309710867853"
"Rarely","1990","(2a) intermediate vocational","vocational + Abi","","","",""
"Rarely","1990","(2a) intermediate vocational","higher vocational","40","0.263240583212666","0.19583972337935","0.330641443045982"
"Rarely","1990","(2a) intermediate vocational","higher education","","","",""
"Rarely","1990","(2c_gen) general maturity certificate","in school","","","",""
"Rarely","1990","(2c_gen) general maturity certificate","inadequately","","","",""
"Rarely","1990","(2c_gen) general maturity certificate","general elemantary","","","",""
"Rarely","1990","(2c_gen) general maturity certificate","middle vocational","34","0.0993697617263424","0.0676642020217732","0.131075321430912"
"Rarely","1990","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"Rarely","1990","(2c_gen) general maturity certificate","higher vocational","","","",""
"Rarely","1990","(2c_gen) general maturity certificate","higher education","","","",""
"Rarely","1990","(2c_voc) vocational maturity certificate","in school","","","",""
"Rarely","1990","(2c_voc) vocational maturity certificate","inadequately","","","",""
"Rarely","1990","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"Rarely","1990","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"Rarely","1990","(2c_voc) vocational maturity certificate","vocational + Abi","45","0.151247735226028","0.110292508074141","0.192202962377914"
"Rarely","1990","(2c_voc) vocational maturity certificate","higher vocational","22","","",""
"Rarely","1990","(2c_voc) vocational maturity certificate","higher education","","","",""
"Rarely","1990","(3a) lower tertiary education","in school","","","",""
"Rarely","1990","(3a) lower tertiary education","inadequately","","","",""
"Rarely","1990","(3a) lower tertiary education","general elemantary","","","",""
"Rarely","1990","(3a) lower tertiary education","middle vocational","","","",""
"Rarely","1990","(3a) lower tertiary education","vocational + Abi","","","",""
"Rarely","1990","(3a) lower tertiary education","higher vocational","","","",""
"Rarely","1990","(3a) lower tertiary education","higher education","42","0.172781056520181","0.124649244009619","0.220912869030743"
"Rarely","1990","(3b) higher tertiary education","in school","","","",""
"Rarely","1990","(3b) higher tertiary education","inadequately","","","",""
"Rarely","1990","(3b) higher tertiary education","general elemantary","","","",""
"Rarely","1990","(3b) higher tertiary education","middle vocational","","","",""
"Rarely","1990","(3b) higher tertiary education","vocational + Abi","","","",""
"Rarely","1990","(3b) higher tertiary education","higher vocational","","","",""
"Rarely","1990","(3b) higher tertiary education","higher education","79","0.164364789261154","0.130570768811999","0.198158809710309"
"Never","1990","(0) in school","in school","2","","",""
"Never","1990","(0) in school","inadequately","","","",""
"Never","1990","(0) in school","general elemantary","","","",""
"Never","1990","(0) in school","middle vocational","","","",""
"Never","1990","(0) in school","vocational + Abi","","","",""
"Never","1990","(0) in school","higher vocational","","","",""
"Never","1990","(0) in school","higher education","","","",""
"Never","1990","(1a) inadequately completed","in school","","","",""
"Never","1990","(1a) inadequately completed","inadequately","23","","",""
"Never","1990","(1a) inadequately completed","general elemantary","","","",""
"Never","1990","(1a) inadequately completed","middle vocational","2","","",""
"Never","1990","(1a) inadequately completed","vocational + Abi","","","",""
"Never","1990","(1a) inadequately completed","higher vocational","","","",""
"Never","1990","(1a) inadequately completed","higher education","","","",""
"Never","1990","(1b) general elementary school","in school","","","",""
"Never","1990","(1b) general elementary school","inadequately","1","","",""
"Never","1990","(1b) general elementary school","general elemantary","93","0.0556577650372449","0.0458871816969935","0.0654283483774963"
"Never","1990","(1b) general elementary school","middle vocational","","","",""
"Never","1990","(1b) general elementary school","vocational + Abi","","","",""
"Never","1990","(1b) general elementary school","higher vocational","","","",""
"Never","1990","(1b) general elementary school","higher education","","","",""
"Never","1990","(1c) basic vocational qualification","in school","","","",""
"Never","1990","(1c) basic vocational qualification","inadequately","","","",""
"Never","1990","(1c) basic vocational qualification","general elemantary","","","",""
"Never","1990","(1c) basic vocational qualification","middle vocational","82","0.0332017270803168","0.0267852307787101","0.0396182233819235"
"Never","1990","(1c) basic vocational qualification","vocational + Abi","","","",""
"Never","1990","(1c) basic vocational qualification","higher vocational","6","","",""
"Never","1990","(1c) basic vocational qualification","higher education","","","",""
"Never","1990","(2b) intermediate general qualification","in school","","","",""
"Never","1990","(2b) intermediate general qualification","inadequately","","","",""
"Never","1990","(2b) intermediate general qualification","general elemantary","6","","",""
"Never","1990","(2b) intermediate general qualification","middle vocational","","","",""
"Never","1990","(2b) intermediate general qualification","vocational + Abi","","","",""
"Never","1990","(2b) intermediate general qualification","higher vocational","","","",""
"Never","1990","(2b) intermediate general qualification","higher education","","","",""
"Never","1990","(2a) intermediate vocational","in school","","","",""
"Never","1990","(2a) intermediate vocational","inadequately","","","",""
"Never","1990","(2a) intermediate vocational","general elemantary","","","",""
"Never","1990","(2a) intermediate vocational","middle vocational","15","","",""
"Never","1990","(2a) intermediate vocational","vocational + Abi","","","",""
"Never","1990","(2a) intermediate vocational","higher vocational","2","","",""
"Never","1990","(2a) intermediate vocational","higher education","","","",""
"Never","1990","(2c_gen) general maturity certificate","in school","","","",""
"Never","1990","(2c_gen) general maturity certificate","inadequately","","","",""
"Never","1990","(2c_gen) general maturity certificate","general elemantary","","","",""
"Never","1990","(2c_gen) general maturity certificate","middle vocational","4","","",""
"Never","1990","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"Never","1990","(2c_gen) general maturity certificate","higher vocational","","","",""
"Never","1990","(2c_gen) general maturity certificate","higher education","","","",""
"Never","1990","(2c_voc) vocational maturity certificate","in school","","","",""
"Never","1990","(2c_voc) vocational maturity certificate","inadequately","","","",""
"Never","1990","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"Never","1990","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"Never","1990","(2c_voc) vocational maturity certificate","vocational + Abi","7","","",""
"Never","1990","(2c_voc) vocational maturity certificate","higher vocational","3","","",""
"Never","1990","(2c_voc) vocational maturity certificate","higher education","","","",""
"Never","1990","(3a) lower tertiary education","in school","","","",""
"Never","1990","(3a) lower tertiary education","inadequately","","","",""
"Never","1990","(3a) lower tertiary education","general elemantary","","","",""
"Never","1990","(3a) lower tertiary education","middle vocational","","","",""
"Never","1990","(3a) lower tertiary education","vocational + Abi","","","",""
"Never","1990","(3a) lower tertiary education","higher vocational","","","",""
"Never","1990","(3a) lower tertiary education","higher education","3","","",""
"Never","1990","(3b) higher tertiary education","in school","","","",""
"Never","1990","(3b) higher tertiary education","inadequately","","","",""
"Never","1990","(3b) higher tertiary education","general elemantary","","","",""
"Never","1990","(3b) higher tertiary education","middle vocational","","","",""
"Never","1990","(3b) higher tertiary education","vocational + Abi","","","",""
"Never","1990","(3b) higher tertiary education","higher vocational","","","",""
"Never","1990","(3b) higher tertiary education","higher education","5","","",""
"Daily","1991","(0) in school","in school","","","",""
"Daily","1991","(0) in school","inadequately","","","",""
"Daily","1991","(0) in school","general elemantary","","","",""
