"pli0080","year","e11103","migback","n","percent","lower_confidence","upper_confidence"
"Daily","1993","Full Time","indirect migration background","","","",""
"Daily","1993","Part Time","no migration background","","","",""
"Daily","1993","Part Time","direct migration background","","","",""
"Daily","1993","Part Time","indirect migration background","","","",""
"Daily","1993","Not Working","no migration background","","","",""
"Daily","1993","Not Working","direct migration background","","","",""
"Daily","1993","Not Working","indirect migration background","","","",""
"Min 1x per week","1993","Full Time","no migration background","","","",""
"Min 1x per week","1993","Full Time","direct migration background","","","",""
"Min 1x per week","1993","Full Time","indirect migration background","","","",""
"Min 1x per week","1993","Part Time","no migration background","","","",""
"Min 1x per week","1993","Part Time","direct migration background","","","",""
"Min 1x per week","1993","Part Time","indirect migration background","","","",""
"Min 1x per week","1993","Not Working","no migration background","","","",""
"Min 1x per week","1993","Not Working","direct migration background","","","",""
"Min 1x per week","1993","Not Working","indirect migration background","","","",""
"Min 1x per month","1993","Full Time","no migration background","","","",""
"Min 1x per month","1993","Full Time","direct migration background","","","",""
"Min 1x per month","1993","Full Time","indirect migration background","","","",""
"Min 1x per month","1993","Part Time","no migration background","","","",""
"Min 1x per month","1993","Part Time","direct migration background","","","",""
"Min 1x per month","1993","Part Time","indirect migration background","","","",""
"Min 1x per month","1993","Not Working","no migration background","","","",""
"Min 1x per month","1993","Not Working","direct migration background","","","",""
"Min 1x per month","1993","Not Working","indirect migration background","","","",""
"Rarely","1993","Full Time","no migration background","","","",""
"Rarely","1993","Full Time","direct migration background","","","",""
"Rarely","1993","Full Time","indirect migration background","","","",""
"Rarely","1993","Part Time","no migration background","","","",""
"Rarely","1993","Part Time","direct migration background","","","",""
"Rarely","1993","Part Time","indirect migration background","","","",""
"Rarely","1993","Not Working","no migration background","","","",""
"Rarely","1993","Not Working","direct migration background","","","",""
"Rarely","1993","Not Working","indirect migration background","","","",""
"Never","1993","Full Time","no migration background","","","",""
"Never","1993","Full Time","direct migration background","","","",""
"Never","1993","Full Time","indirect migration background","","","",""
"Never","1993","Part Time","no migration background","","","",""
"Never","1993","Part Time","direct migration background","","","",""
"Never","1993","Part Time","indirect migration background","","","",""
"Never","1993","Not Working","no migration background","","","",""
"Never","1993","Not Working","direct migration background","","","",""
"Never","1993","Not Working","indirect migration background","","","",""
"Daily","1994","Full Time","no migration background","","","",""
"Daily","1994","Full Time","direct migration background","","","",""
"Daily","1994","Full Time","indirect migration background","","","",""
"Daily","1994","Part Time","no migration background","","","",""
"Daily","1994","Part Time","direct migration background","","","",""
"Daily","1994","Part Time","indirect migration background","","","",""
"Daily","1994","Not Working","no migration background","","","",""
"Daily","1994","Not Working","direct migration background","","","",""
"Daily","1994","Not Working","indirect migration background","","","",""
"Min 1x per week","1994","Full Time","no migration background","","","",""
"Min 1x per week","1994","Full Time","direct migration background","","","",""
