"pli0080","year","e11102","e11103","n","percent","lower_confidence","upper_confidence"
"Daily","1991","Employed","Full Time","","","",""
"Daily","1991","Employed","Part Time","","","",""
"Daily","1991","Employed","Not Working","","","",""
"Min 1x per week","1991","Not Employed","Full Time","","","",""
"Min 1x per week","1991","Not Employed","Part Time","","","",""
"Min 1x per week","1991","Not Employed","Not Working","","","",""
"Min 1x per week","1991","Employed","Full Time","","","",""
"Min 1x per week","1991","Employed","Part Time","","","",""
"Min 1x per week","1991","Employed","Not Working","","","",""
"Min 1x per month","1991","Not Employed","Full Time","","","",""
"Min 1x per month","1991","Not Employed","Part Time","","","",""
"Min 1x per month","1991","Not Employed","Not Working","","","",""
"Min 1x per month","1991","Employed","Full Time","","","",""
"Min 1x per month","1991","Employed","Part Time","","","",""
"Min 1x per month","1991","Employed","Not Working","","","",""
"Rarely","1991","Not Employed","Full Time","","","",""
"Rarely","1991","Not Employed","Part Time","","","",""
"Rarely","1991","Not Employed","Not Working","","","",""
"Rarely","1991","Employed","Full Time","","","",""
"Rarely","1991","Employed","Part Time","","","",""
"Rarely","1991","Employed","Not Working","","","",""
"Never","1991","Not Employed","Full Time","","","",""
"Never","1991","Not Employed","Part Time","","","",""
"Never","1991","Not Employed","Not Working","","","",""
"Never","1991","Employed","Full Time","","","",""
"Never","1991","Employed","Part Time","","","",""
"Never","1991","Employed","Not Working","","","",""
"Daily","1992","Not Employed","Full Time","","","",""
"Daily","1992","Not Employed","Part Time","","","",""
"Daily","1992","Not Employed","Not Working","","","",""
"Daily","1992","Employed","Full Time","","","",""
"Daily","1992","Employed","Part Time","","","",""
"Daily","1992","Employed","Not Working","","","",""
"Min 1x per week","1992","Not Employed","Full Time","","","",""
"Min 1x per week","1992","Not Employed","Part Time","","","",""
"Min 1x per week","1992","Not Employed","Not Working","","","",""
"Min 1x per week","1992","Employed","Full Time","","","",""
"Min 1x per week","1992","Employed","Part Time","","","",""
"Min 1x per week","1992","Employed","Not Working","","","",""
"Min 1x per month","1992","Not Employed","Full Time","","","",""
"Min 1x per month","1992","Not Employed","Part Time","","","",""
"Min 1x per month","1992","Not Employed","Not Working","","","",""
"Min 1x per month","1992","Employed","Full Time","","","",""
"Min 1x per month","1992","Employed","Part Time","","","",""
"Min 1x per month","1992","Employed","Not Working","","","",""
"Rarely","1992","Not Employed","Full Time","","","",""
"Rarely","1992","Not Employed","Part Time","","","",""
"Rarely","1992","Not Employed","Not Working","","","",""
"Rarely","1992","Employed","Full Time","","","",""
"Rarely","1992","Employed","Part Time","","","",""
"Rarely","1992","Employed","Not Working","","","",""
"Never","1992","Not Employed","Full Time","","","",""
"Never","1992","Not Employed","Part Time","","","",""
"Never","1992","Not Employed","Not Working","","","",""
"Never","1992","Employed","Full Time","","","",""
"Never","1992","Employed","Part Time","","","",""
"Never","1992","Employed","Not Working","","","",""
"Daily","1993","Not Employed","Full Time","","","",""
"Daily","1993","Not Employed","Part Time","","","",""
"Daily","1993","Not Employed","Not Working","","","",""
"Daily","1993","Employed","Full Time","","","",""
"Daily","1993","Employed","Part Time","","","",""
"Daily","1993","Employed","Not Working","","","",""
"Min 1x per week","1993","Not Employed","Full Time","","","",""
"Min 1x per week","1993","Not Employed","Part Time","","","",""
"Min 1x per week","1993","Not Employed","Not Working","","","",""
"Min 1x per week","1993","Employed","Full Time","","","",""
"Min 1x per week","1993","Employed","Part Time","","","",""
"Min 1x per week","1993","Employed","Not Working","","","",""
"Min 1x per month","1993","Not Employed","Full Time","","","",""
"Min 1x per month","1993","Not Employed","Part Time","","","",""
"Min 1x per month","1993","Not Employed","Not Working","","","",""
"Min 1x per month","1993","Employed","Full Time","","","",""
"Min 1x per month","1993","Employed","Part Time","","","",""
"Min 1x per month","1993","Employed","Not Working","","","",""
"Rarely","1993","Not Employed","Full Time","","","",""
"Rarely","1993","Not Employed","Part Time","","","",""
"Rarely","1993","Not Employed","Not Working","","","",""
"Rarely","1993","Employed","Full Time","","","",""
"Rarely","1993","Employed","Part Time","","","",""
"Rarely","1993","Employed","Not Working","","","",""
"Never","1993","Not Employed","Full Time","","","",""
"Never","1993","Not Employed","Part Time","","","",""
"Never","1993","Not Employed","Not Working","","","",""
"Never","1993","Employed","Full Time","","","",""
"Never","1993","Employed","Part Time","","","",""
"Never","1993","Employed","Not Working","","","",""
"Daily","1994","Not Employed","Full Time","","","",""
"Daily","1994","Not Employed","Part Time","","","",""
"Daily","1994","Not Employed","Not Working","","","",""
"Daily","1994","Employed","Full Time","","","",""
"Daily","1994","Employed","Part Time","","","",""
"Daily","1994","Employed","Not Working","","","",""
"Min 1x per week","1994","Not Employed","Full Time","","","",""
"Min 1x per week","1994","Not Employed","Part Time","","","",""
"Min 1x per week","1994","Not Employed","Not Working","","","",""
"Min 1x per week","1994","Employed","Full Time","","","",""
"Min 1x per week","1994","Employed","Part Time","","","",""
"Min 1x per week","1994","Employed","Not Working","","","",""
"Min 1x per month","1994","Not Employed","Full Time","","","",""
"Min 1x per month","1994","Not Employed","Part Time","","","",""
"Min 1x per month","1994","Not Employed","Not Working","","","",""
"Min 1x per month","1994","Employed","Full Time","","","",""
"Min 1x per month","1994","Employed","Part Time","","","",""
"Min 1x per month","1994","Employed","Not Working","","","",""
"Rarely","1994","Not Employed","Full Time","","","",""
"Rarely","1994","Not Employed","Part Time","","","",""
"Rarely","1994","Not Employed","Not Working","","","",""
"Rarely","1994","Employed","Full Time","","","",""
"Rarely","1994","Employed","Part Time","","","",""
"Rarely","1994","Employed","Not Working","","","",""
"Never","1994","Not Employed","Full Time","","","",""
"Never","1994","Not Employed","Part Time","","","",""
"Never","1994","Not Employed","Not Working","","","",""
"Never","1994","Employed","Full Time","","","",""
"Never","1994","Employed","Part Time","","","",""
"Never","1994","Employed","Not Working","","","",""
"Daily","1995","Not Employed","Full Time","","","",""
"Daily","1995","Not Employed","Part Time","","","",""
"Daily","1995","Not Employed","Not Working","436","0.0764659753625817","0.0689505708001036","0.0839813799250599"
"Daily","1995","Employed","Full Time","249","0.0385527975853191","0.0336393494515074","0.0434662457191309"
"Daily","1995","Employed","Part Time","192","0.0684512816294377","0.0587505478719988","0.0781520153868766"
"Daily","1995","Employed","Not Working","","","",""
"Min 1x per week","1995","Not Employed","Full Time","","","",""
"Min 1x per week","1995","Not Employed","Part Time","","","",""
"Min 1x per week","1995","Not Employed","Not Working","1965","0.381911345707116","0.368170974560566","0.395651716853666"
"Min 1x per week","1995","Employed","Full Time","2393","0.395402243043039","0.382924140879821","0.407880345206256"
"Min 1x per week","1995","Employed","Part Time","1134","0.425425431180292","0.406432327861456","0.444418534499128"
"Min 1x per week","1995","Employed","Not Working","","","",""
"Min 1x per month","1995","Not Employed","Full Time","","","",""
"Min 1x per month","1995","Not Employed","Part Time","","","",""
"Min 1x per month","1995","Not Employed","Not Working","1251","0.271502477632827","0.258925023685751","0.284079931579903"
"Min 1x per month","1995","Employed","Full Time","1890","0.32734293375912","0.315367422965843","0.339318444552398"
"Min 1x per month","1995","Employed","Part Time","762","0.309040894543395","0.291288981770322","0.326792807316468"
"Min 1x per month","1995","Employed","Not Working","","","",""
"Rarely","1995","Not Employed","Full Time","","","",""
"Rarely","1995","Not Employed","Part Time","","","",""
"Rarely","1995","Not Employed","Not Working","948","0.215876543359456","0.204240997872133","0.227512088846778"
"Rarely","1995","Employed","Full Time","1248","0.217431930737798","0.20690459606184","0.227959265413757"
"Rarely","1995","Employed","Part Time","454","0.172969251317424","0.158439563334949","0.1874989392999"
"Rarely","1995","Employed","Not Working","","","",""
"Never","1995","Not Employed","Full Time","","","",""
"Never","1995","Not Employed","Part Time","","","",""
"Never","1995","Not Employed","Not Working","203","0.0542436579380198","0.0478381154952027","0.0606492003808369"
"Never","1995","Employed","Full Time","118","0.0212700948747238","0.0175878569245784","0.0249523328248693"
"Never","1995","Employed","Part Time","61","0.0241131413294507","0.0182201250929309","0.0300061575659706"
"Never","1995","Employed","Not Working","","","",""
"Daily","1996","Not Employed","Full Time","","","",""
"Daily","1996","Not Employed","Part Time","","","",""
"Daily","1996","Not Employed","Not Working","","","",""
"Daily","1996","Employed","Full Time","","","",""
"Daily","1996","Employed","Part Time","","","",""
"Daily","1996","Employed","Not Working","","","",""
"Min 1x per week","1996","Not Employed","Full Time","","","",""
"Min 1x per week","1996","Not Employed","Part Time","","","",""
"Min 1x per week","1996","Not Employed","Not Working","","","",""
"Min 1x per week","1996","Employed","Full Time","","","",""
"Min 1x per week","1996","Employed","Part Time","","","",""
"Min 1x per week","1996","Employed","Not Working","","","",""
"Min 1x per month","1996","Not Employed","Full Time","","","",""
"Min 1x per month","1996","Not Employed","Part Time","","","",""
"Min 1x per month","1996","Not Employed","Not Working","","","",""
"Min 1x per month","1996","Employed","Full Time","","","",""
"Min 1x per month","1996","Employed","Part Time","","","",""
"Min 1x per month","1996","Employed","Not Working","","","",""
"Rarely","1996","Not Employed","Full Time","","","",""
"Rarely","1996","Not Employed","Part Time","","","",""
"Rarely","1996","Not Employed","Not Working","","","",""
"Rarely","1996","Employed","Full Time","","","",""
"Rarely","1996","Employed","Part Time","","","",""
"Rarely","1996","Employed","Not Working","","","",""
"Never","1996","Not Employed","Full Time","","","",""
"Never","1996","Not Employed","Part Time","","","",""
"Never","1996","Not Employed","Not Working","","","",""
"Never","1996","Employed","Full Time","","","",""
"Never","1996","Employed","Part Time","","","",""
"Never","1996","Employed","Not Working","","","",""
"Daily","1997","Not Employed","Full Time","","","",""
"Daily","1997","Not Employed","Part Time","","","",""
"Daily","1997","Not Employed","Not Working","","","",""
"Daily","1997","Employed","Full Time","","","",""
"Daily","1997","Employed","Part Time","","","",""
"Daily","1997","Employed","Not Working","","","",""
"Min 1x per week","1997","Not Employed","Full Time","","","",""
"Min 1x per week","1997","Not Employed","Part Time","","","",""
"Min 1x per week","1997","Not Employed","Not Working","","","",""
"Min 1x per week","1997","Employed","Full Time","","","",""
"Min 1x per week","1997","Employed","Part Time","","","",""
"Min 1x per week","1997","Employed","Not Working","","","",""
"Min 1x per month","1997","Not Employed","Full Time","","","",""
"Min 1x per month","1997","Not Employed","Part Time","","","",""
"Min 1x per month","1997","Not Employed","Not Working","","","",""
"Min 1x per month","1997","Employed","Full Time","","","",""
"Min 1x per month","1997","Employed","Part Time","","","",""
"Min 1x per month","1997","Employed","Not Working","","","",""
"Rarely","1997","Not Employed","Full Time","","","",""
"Rarely","1997","Not Employed","Part Time","","","",""
"Rarely","1997","Not Employed","Not Working","","","",""
"Rarely","1997","Employed","Full Time","","","",""
"Rarely","1997","Employed","Part Time","","","",""
"Rarely","1997","Employed","Not Working","","","",""
"Never","1997","Not Employed","Full Time","","","",""
"Never","1997","Not Employed","Part Time","","","",""
"Never","1997","Not Employed","Not Working","","","",""
"Never","1997","Employed","Full Time","","","",""
"Never","1997","Employed","Part Time","","","",""
"Never","1997","Employed","Not Working","","","",""
"Daily","1998","Not Employed","Full Time","","","",""
"Daily","1998","Not Employed","Part Time","","","",""
"Daily","1998","Not Employed","Not Working","465","0.0718205117605998","0.064944303935336","0.0786967195858637"
"Daily","1998","Employed","Full Time","292","0.0427193868343278","0.0375939647468685","0.0478448089217871"
"Daily","1998","Employed","Part Time","234","0.0712492271998951","0.0618297792416741","0.0806686751581161"
"Daily","1998","Employed","Not Working","","","",""
"Min 1x per week","1998","Not Employed","Full Time","","","",""
"Min 1x per week","1998","Not Employed","Part Time","","","",""
"Min 1x per week","1998","Not Employed","Not Working","2291","0.401608335985354","0.388552553980569","0.41466411799014"
"Min 1x per week","1998","Employed","Full Time","2430","0.407870210647753","0.395414544825706","0.420325876469799"
"Min 1x per week","1998","Employed","Part Time","1275","0.454977838004545","0.436743584838884","0.473212091170206"
"Min 1x per week","1998","Employed","Not Working","","","",""
"Min 1x per month","1998","Not Employed","Full Time","","","",""
"Min 1x per month","1998","Not Employed","Part Time","","","",""
"Min 1x per month","1998","Not Employed","Not Working","1392","0.256075575620842","0.244451531471248","0.267699619770437"
"Min 1x per month","1998","Employed","Full Time","1935","0.325071418256872","0.313199639293621","0.336943197220122"
"Min 1x per month","1998","Employed","Part Time","837","0.288726091710514","0.27213223892748","0.305319944493549"
"Min 1x per month","1998","Employed","Not Working","","","",""
"Rarely","1998","Not Employed","Full Time","","","",""
"Rarely","1998","Not Employed","Part Time","","","",""
"Rarely","1998","Not Employed","Not Working","1104","0.233240965622096","0.221978314550334","0.244503616693858"
"Rarely","1998","Employed","Full Time","1243","0.209083419959954","0.198776648729866","0.219390191190043"
"Rarely","1998","Employed","Part Time","479","0.169676874311395","0.15593263613858","0.18342111248421"
"Rarely","1998","Employed","Not Working","","","",""
"Never","1998","Not Employed","Full Time","","","",""
"Never","1998","Not Employed","Part Time","","","",""
"Never","1998","Not Employed","Not Working","164","0.0372546110111074","0.0322108499628163","0.0422983720593984"
"Never","1998","Employed","Full Time","80","0.0152555643010937","0.0121490496573896","0.0183620789447977"
"Never","1998","Employed","Part Time","40","0.015369968773651","0.0108653420467343","0.0198745955005677"
"Never","1998","Employed","Not Working","","","",""
"Daily","1999","Not Employed","Full Time","","","",""
"Daily","1999","Not Employed","Part Time","","","",""
"Daily","1999","Not Employed","Not Working","","","",""
"Daily","1999","Employed","Full Time","","","",""
"Daily","1999","Employed","Part Time","","","",""
"Daily","1999","Employed","Not Working","","","",""
"Min 1x per week","1999","Not Employed","Full Time","","","",""
"Min 1x per week","1999","Not Employed","Part Time","","","",""
"Min 1x per week","1999","Not Employed","Not Working","","","",""
"Min 1x per week","1999","Employed","Full Time","","","",""
"Min 1x per week","1999","Employed","Part Time","","","",""
"Min 1x per week","1999","Employed","Not Working","","","",""
"Min 1x per month","1999","Not Employed","Full Time","","","",""
"Min 1x per month","1999","Not Employed","Part Time","","","",""
"Min 1x per month","1999","Not Employed","Not Working","","","",""
"Min 1x per month","1999","Employed","Full Time","","","",""
"Min 1x per month","1999","Employed","Part Time","","","",""
"Min 1x per month","1999","Employed","Not Working","","","",""
"Rarely","1999","Not Employed","Full Time","","","",""
"Rarely","1999","Not Employed","Part Time","","","",""
"Rarely","1999","Not Employed","Not Working","","","",""
"Rarely","1999","Employed","Full Time","","","",""
"Rarely","1999","Employed","Part Time","","","",""
"Rarely","1999","Employed","Not Working","","","",""
"Never","1999","Not Employed","Full Time","","","",""
"Never","1999","Not Employed","Part Time","","","",""
"Never","1999","Not Employed","Not Working","","","",""
"Never","1999","Employed","Full Time","","","",""
"Never","1999","Employed","Part Time","","","",""
"Never","1999","Employed","Not Working","","","",""
"Daily","2000","Not Employed","Full Time","","","",""
"Daily","2000","Not Employed","Part Time","","","",""
"Daily","2000","Not Employed","Not Working","","","",""
"Daily","2000","Employed","Full Time","","","",""
"Daily","2000","Employed","Part Time","","","",""
"Daily","2000","Employed","Not Working","","","",""
"Min 1x per week","2000","Not Employed","Full Time","","","",""
"Min 1x per week","2000","Not Employed","Part Time","","","",""
"Min 1x per week","2000","Not Employed","Not Working","","","",""
"Min 1x per week","2000","Employed","Full Time","","","",""
"Min 1x per week","2000","Employed","Part Time","","","",""
"Min 1x per week","2000","Employed","Not Working","","","",""
"Min 1x per month","2000","Not Employed","Full Time","","","",""
"Min 1x per month","2000","Not Employed","Part Time","","","",""
"Min 1x per month","2000","Not Employed","Not Working","","","",""
"Min 1x per month","2000","Employed","Full Time","","","",""
"Min 1x per month","2000","Employed","Part Time","","","",""
"Min 1x per month","2000","Employed","Not Working","","","",""
"Rarely","2000","Not Employed","Full Time","","","",""
"Rarely","2000","Not Employed","Part Time","","","",""
"Rarely","2000","Not Employed","Not Working","","","",""
"Rarely","2000","Employed","Full Time","","","",""
"Rarely","2000","Employed","Part Time","","","",""
"Rarely","2000","Employed","Not Working","","","",""
"Never","2000","Not Employed","Full Time","","","",""
"Never","2000","Not Employed","Part Time","","","",""
"Never","2000","Not Employed","Not Working","","","",""
"Never","2000","Employed","Full Time","","","",""
"Never","2000","Employed","Part Time","","","",""
"Never","2000","Employed","Not Working","","","",""
"Daily","2001","Not Employed","Full Time","","","",""
"Daily","2001","Not Employed","Part Time","","","",""
"Daily","2001","Not Employed","Not Working","","","",""
"Daily","2001","Employed","Full Time","","","",""
"Daily","2001","Employed","Part Time","","","",""
"Daily","2001","Employed","Not Working","","","",""
"Min 1x per week","2001","Not Employed","Full Time","","","",""
"Min 1x per week","2001","Not Employed","Part Time","","","",""
"Min 1x per week","2001","Not Employed","Not Working","","","",""
"Min 1x per week","2001","Employed","Full Time","","","",""
"Min 1x per week","2001","Employed","Part Time","","","",""
"Min 1x per week","2001","Employed","Not Working","","","",""
"Min 1x per month","2001","Not Employed","Full Time","","","",""
"Min 1x per month","2001","Not Employed","Part Time","","","",""
"Min 1x per month","2001","Not Employed","Not Working","","","",""
"Min 1x per month","2001","Employed","Full Time","","","",""
"Min 1x per month","2001","Employed","Part Time","","","",""
"Min 1x per month","2001","Employed","Not Working","","","",""
"Rarely","2001","Not Employed","Full Time","","","",""
"Rarely","2001","Not Employed","Part Time","","","",""
"Rarely","2001","Not Employed","Not Working","","","",""
"Rarely","2001","Employed","Full Time","","","",""
"Rarely","2001","Employed","Part Time","","","",""
"Rarely","2001","Employed","Not Working","","","",""
"Never","2001","Not Employed","Full Time","","","",""
"Never","2001","Not Employed","Part Time","","","",""
"Never","2001","Not Employed","Not Working","","","",""
"Never","2001","Employed","Full Time","","","",""
"Never","2001","Employed","Part Time","","","",""
"Never","2001","Employed","Not Working","","","",""
"Daily","2002","Not Employed","Full Time","","","",""
"Daily","2002","Not Employed","Part Time","","","",""
"Daily","2002","Not Employed","Not Working","","","",""
"Daily","2002","Employed","Full Time","","","",""
"Daily","2002","Employed","Part Time","","","",""
"Daily","2002","Employed","Not Working","","","",""
"Min 1x per week","2002","Not Employed","Full Time","","","",""
"Min 1x per week","2002","Not Employed","Part Time","","","",""
"Min 1x per week","2002","Not Employed","Not Working","","","",""
"Min 1x per week","2002","Employed","Full Time","","","",""
"Min 1x per week","2002","Employed","Part Time","","","",""
"Min 1x per week","2002","Employed","Not Working","","","",""
"Min 1x per month","2002","Not Employed","Full Time","","","",""
"Min 1x per month","2002","Not Employed","Part Time","","","",""
"Min 1x per month","2002","Not Employed","Not Working","","","",""
"Min 1x per month","2002","Employed","Full Time","","","",""
"Min 1x per month","2002","Employed","Part Time","","","",""
"Min 1x per month","2002","Employed","Not Working","","","",""
"Rarely","2002","Not Employed","Full Time","","","",""
"Rarely","2002","Not Employed","Part Time","","","",""
"Rarely","2002","Not Employed","Not Working","","","",""
"Rarely","2002","Employed","Full Time","","","",""
"Rarely","2002","Employed","Part Time","","","",""
"Rarely","2002","Employed","Not Working","","","",""
"Never","2002","Not Employed","Full Time","","","",""
"Never","2002","Not Employed","Part Time","","","",""
"Never","2002","Not Employed","Not Working","","","",""
"Never","2002","Employed","Full Time","","","",""
"Never","2002","Employed","Part Time","","","",""
"Never","2002","Employed","Not Working","","","",""
"Daily","2003","Not Employed","Full Time","","","",""
"Daily","2003","Not Employed","Part Time","","","",""
"Daily","2003","Not Employed","Not Working","486","0.0556611394999125","0.0506934055280654","0.0606288734717595"
"Daily","2003","Employed","Full Time","270","0.03368831068705","0.0299413373883811","0.0374352839857188"
"Daily","2003","Employed","Part Time","328","0.0551698698376422","0.0489173345601299","0.0614224051151545"
"Daily","2003","Employed","Not Working","","","",""
"Min 1x per week","2003","Not Employed","Full Time","","","",""
"Min 1x per week","2003","Not Employed","Part Time","","","",""
"Min 1x per week","2003","Not Employed","Not Working","3210","0.383285030320312","0.372750345969927","0.393819714670697"
"Min 1x per week","2003","Employed","Full Time","3648","0.417268748268609","0.407028170753027","0.427509325784191"
"Min 1x per week","2003","Employed","Part Time","2350","0.45970707220366","0.446058615766882","0.473355528640438"
"Min 1x per week","2003","Employed","Not Working","","","",""
"Min 1x per month","2003","Not Employed","Full Time","","","",""
"Min 1x per month","2003","Not Employed","Part Time","","","",""
"Min 1x per month","2003","Not Employed","Not Working","2323","0.276063508399001","0.266376869968258","0.285750146829743"
"Min 1x per month","2003","Employed","Full Time","3189","0.337127472226467","0.327310118320082","0.346944826132852"
"Min 1x per month","2003","Employed","Part Time","1583","0.294453888571035","0.281971443826324","0.306936333315747"
"Min 1x per month","2003","Employed","Not Working","","","",""
"Rarely","2003","Not Employed","Full Time","","","",""
"Rarely","2003","Not Employed","Part Time","","","",""
"Rarely","2003","Not Employed","Not Working","1741","0.226801806976807","0.217728052497245","0.235875561456368"
"Rarely","2003","Employed","Full Time","1672","0.194834952204735","0.186609528915278","0.203060375494192"
"Rarely","2003","Employed","Part Time","781","0.169838216390522","0.159555037701961","0.180121395079084"
"Rarely","2003","Employed","Not Working","","","",""
"Never","2003","Not Employed","Full Time","","","",""
"Never","2003","Not Employed","Part Time","","","",""
"Never","2003","Not Employed","Not Working","422","0.0581885148039685","0.0531160507182704","0.0632609788896666"
"Never","2003","Employed","Full Time","128","0.0170805166131389","0.0143896520597949","0.0197713811664829"
"Never","2003","Employed","Part Time","80","0.0208309529971401","0.0169197378010698","0.0247421681932103"
"Never","2003","Employed","Not Working","","","",""
"Daily","2004","Not Employed","Full Time","","","",""
"Daily","2004","Not Employed","Part Time","","","",""
"Daily","2004","Not Employed","Not Working","","","",""
"Daily","2004","Employed","Full Time","","","",""
"Daily","2004","Employed","Part Time","","","",""
"Daily","2004","Employed","Not Working","","","",""
"Min 1x per week","2004","Not Employed","Full Time","","","",""
"Min 1x per week","2004","Not Employed","Part Time","","","",""
"Min 1x per week","2004","Not Employed","Not Working","","","",""
"Min 1x per week","2004","Employed","Full Time","","","",""
"Min 1x per week","2004","Employed","Part Time","","","",""
"Min 1x per week","2004","Employed","Not Working","","","",""
"Min 1x per month","2004","Not Employed","Full Time","","","",""
"Min 1x per month","2004","Not Employed","Part Time","","","",""
"Min 1x per month","2004","Not Employed","Not Working","","","",""
"Min 1x per month","2004","Employed","Full Time","","","",""
"Min 1x per month","2004","Employed","Part Time","","","",""
"Min 1x per month","2004","Employed","Not Working","","","",""
"Rarely","2004","Not Employed","Full Time","","","",""
"Rarely","2004","Not Employed","Part Time","","","",""
"Rarely","2004","Not Employed","Not Working","","","",""
"Rarely","2004","Employed","Full Time","","","",""
"Rarely","2004","Employed","Part Time","","","",""
"Rarely","2004","Employed","Not Working","","","",""
"Never","2004","Not Employed","Full Time","","","",""
"Never","2004","Not Employed","Part Time","","","",""
"Never","2004","Not Employed","Not Working","","","",""
"Never","2004","Employed","Full Time","","","",""
"Never","2004","Employed","Part Time","","","",""
"Never","2004","Employed","Not Working","","","",""
"Daily","2005","Not Employed","Full Time","","","",""
"Daily","2005","Not Employed","Part Time","","","",""
"Daily","2005","Not Employed","Not Working","","","",""
"Daily","2005","Employed","Full Time","","","",""
"Daily","2005","Employed","Part Time","","","",""
"Daily","2005","Employed","Not Working","","","",""
"Min 1x per week","2005","Not Employed","Full Time","","","",""
"Min 1x per week","2005","Not Employed","Part Time","","","",""
"Min 1x per week","2005","Not Employed","Not Working","","","",""
"Min 1x per week","2005","Employed","Full Time","","","",""
"Min 1x per week","2005","Employed","Part Time","","","",""
"Min 1x per week","2005","Employed","Not Working","","","",""
"Min 1x per month","2005","Not Employed","Full Time","","","",""
"Min 1x per month","2005","Not Employed","Part Time","","","",""
"Min 1x per month","2005","Not Employed","Not Working","","","",""
"Min 1x per month","2005","Employed","Full Time","","","",""
"Min 1x per month","2005","Employed","Part Time","","","",""
"Min 1x per month","2005","Employed","Not Working","","","",""
"Rarely","2005","Not Employed","Full Time","","","",""
"Rarely","2005","Not Employed","Part Time","","","",""
"Rarely","2005","Not Employed","Not Working","","","",""
"Rarely","2005","Employed","Full Time","","","",""
"Rarely","2005","Employed","Part Time","","","",""
"Rarely","2005","Employed","Not Working","","","",""
"Never","2005","Not Employed","Full Time","","","",""
"Never","2005","Not Employed","Part Time","","","",""
"Never","2005","Not Employed","Not Working","","","",""
"Never","2005","Employed","Full Time","","","",""
"Never","2005","Employed","Part Time","","","",""
"Never","2005","Employed","Not Working","","","",""
"Daily","2006","Not Employed","Full Time","","","",""
"Daily","2006","Not Employed","Part Time","","","",""
"Daily","2006","Not Employed","Not Working","","","",""
"Daily","2006","Employed","Full Time","","","",""
"Daily","2006","Employed","Part Time","","","",""
"Daily","2006","Employed","Not Working","","","",""
"Min 1x per week","2006","Not Employed","Full Time","","","",""
"Min 1x per week","2006","Not Employed","Part Time","","","",""
"Min 1x per week","2006","Not Employed","Not Working","","","",""
"Min 1x per week","2006","Employed","Full Time","","","",""
"Min 1x per week","2006","Employed","Part Time","","","",""
"Min 1x per week","2006","Employed","Not Working","","","",""
"Min 1x per month","2006","Not Employed","Full Time","","","",""
"Min 1x per month","2006","Not Employed","Part Time","","","",""
"Min 1x per month","2006","Not Employed","Not Working","","","",""
"Min 1x per month","2006","Employed","Full Time","","","",""
"Min 1x per month","2006","Employed","Part Time","","","",""
"Min 1x per month","2006","Employed","Not Working","","","",""
"Rarely","2006","Not Employed","Full Time","","","",""
"Rarely","2006","Not Employed","Part Time","","","",""
"Rarely","2006","Not Employed","Not Working","","","",""
"Rarely","2006","Employed","Full Time","","","",""
"Rarely","2006","Employed","Part Time","","","",""
"Rarely","2006","Employed","Not Working","","","",""
"Never","2006","Not Employed","Full Time","","","",""
"Never","2006","Not Employed","Part Time","","","",""
"Never","2006","Not Employed","Not Working","","","",""
"Never","2006","Employed","Full Time","","","",""
