"pli0080","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Min 1x per week","1990","Schleswig-Holstein","Couple + C. GT 16 ","18","","",""
"Min 1x per week","1990","Schleswig-Holstein","Couple + C. LE and GT 16","8","","",""
"Min 1x per week","1990","Hamburg","1-pers.-HH","23","","",""
"Min 1x per week","1990","Hamburg","(Married) couple without C. ","25","","",""
"Min 1x per week","1990","Hamburg","Single parent ","6","","",""
"Min 1x per week","1990","Hamburg","Couple + C. LE 16 ","18","","",""
"Min 1x per week","1990","Hamburg","Couple + C. GT 16 ","12","","",""
"Min 1x per week","1990","Hamburg","Couple + C. LE and GT 16","","","",""
"Min 1x per week","1990","Lower Saxony","1-pers.-HH","49","0.444539777470332","0.350822857046968","0.538256697893696"
"Min 1x per week","1990","Lower Saxony","(Married) couple without C. ","117","0.378210763298527","0.322397471924948","0.434024054672106"
"Min 1x per week","1990","Lower Saxony","Single parent ","19","","",""
"Min 1x per week","1990","Lower Saxony","Couple + C. LE 16 ","76","0.376056200841978","0.304492816519067","0.447619585164888"
"Min 1x per week","1990","Lower Saxony","Couple + C. GT 16 ","82","0.334015089008511","0.272387940985759","0.395642237031262"
"Min 1x per week","1990","Lower Saxony","Couple + C. LE and GT 16","33","0.451909065346574","0.332740276397061","0.571077854296086"
"Min 1x per week","1990","Bremen","1-pers.-HH","13","","",""
"Min 1x per week","1990","Bremen","(Married) couple without C. ","11","","",""
"Min 1x per week","1990","Bremen","Single parent ","3","","",""
"Min 1x per week","1990","Bremen","Couple + C. LE 16 ","10","","",""
"Min 1x per week","1990","Bremen","Couple + C. GT 16 ","3","","",""
"Min 1x per week","1990","Bremen","Couple + C. LE and GT 16","2","","",""
"Min 1x per week","1990","North Rhine-Westphalia","1-pers.-HH","137","0.479944276836486","0.419679094309976","0.540209459362996"
"Min 1x per week","1990","North Rhine-Westphalia","(Married) couple without C. ","264","0.39217887098741","0.353338467049188","0.431019274925632"
"Min 1x per week","1990","North Rhine-Westphalia","Single parent ","61","0.508673352608368","0.420324647537999","0.597022057678737"
"Min 1x per week","1990","North Rhine-Westphalia","Couple + C. LE 16 ","250","0.393173272184753","0.353248861649314","0.433097682720192"
"Min 1x per week","1990","North Rhine-Westphalia","Couple + C. GT 16 ","255","0.408835367759516","0.368262379971235","0.449408355547798"
"Min 1x per week","1990","North Rhine-Westphalia","Couple + C. LE and GT 16","137","0.447791107296786","0.389231569948133","0.506350644645438"
"Min 1x per week","1990","Hesse","1-pers.-HH","39","0.420819457778077","0.319938530590075","0.521700384966079"
"Min 1x per week","1990","Hesse","(Married) couple without C. ","90","0.315423536463949","0.256511074733746","0.374335998194151"
"Min 1x per week","1990","Hesse","Single parent ","24","","",""
"Min 1x per week","1990","Hesse","Couple + C. LE 16 ","110","0.446422631123156","0.381895414464034","0.510949847782279"
"Min 1x per week","1990","Hesse","Couple + C. GT 16 ","85","0.362797637690198","0.298677842080053","0.426917433300343"
"Min 1x per week","1990","Hesse","Couple + C. LE and GT 16","38","0.382464290529117","0.281497262705908","0.483431318352325"
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","1-pers.-HH","24","","",""
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","(Married) couple without C. ","58","0.335043948441058","0.264090911198011","0.405996985684105"
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","Single parent ","21","","",""
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","47","0.310164542879613","0.231846013690326","0.388483072068901"
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","62","0.369304794817541","0.292581272128221","0.446028317506861"
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","21","","",""
"Min 1x per week","1990","Baden-Württemberg","1-pers.-HH","77","0.476875696709411","0.396946121506107","0.556805271912716"
"Min 1x per week","1990","Baden-Württemberg","(Married) couple without C. ","154","0.348681258922378","0.299925474405708","0.397437043439049"
"Min 1x per week","1990","Baden-Württemberg","Single parent ","29","","",""
"Min 1x per week","1990","Baden-Württemberg","Couple + C. LE 16 ","191","0.374989630232825","0.329908014956124","0.420071245509526"
"Min 1x per week","1990","Baden-Württemberg","Couple + C. GT 16 ","195","0.370708266936349","0.325423772734235","0.415992761138462"
"Min 1x per week","1990","Baden-Württemberg","Couple + C. LE and GT 16","95","0.386132068399136","0.316537623471143","0.455726513327128"
"Min 1x per week","1990","Bavaria","1-pers.-HH","93","0.478287294346997","0.407995058933396","0.548579529760599"
"Min 1x per week","1990","Bavaria","(Married) couple without C. ","139","0.31983183358503","0.272998551086915","0.366665116083145"
"Min 1x per week","1990","Bavaria","Single parent ","35","0.424491979126465","0.316183231978926","0.532800726274004"
"Min 1x per week","1990","Bavaria","Couple + C. LE 16 ","155","0.395101536635778","0.343885063495636","0.44631800977592"
"Min 1x per week","1990","Bavaria","Couple + C. GT 16 ","129","0.31710546451569","0.268283633933152","0.365927295098228"
"Min 1x per week","1990","Bavaria","Couple + C. LE and GT 16","49","0.330002982723618","0.253202807261548","0.406803158185687"
"Min 1x per week","1990","Berlin","1-pers.-HH","29","","",""
"Min 1x per week","1990","Berlin","(Married) couple without C. ","32","0.354698433055638","0.253584766209363","0.455812099901912"
"Min 1x per week","1990","Berlin","Single parent ","12","","",""
"Min 1x per week","1990","Berlin","Couple + C. LE 16 ","28","","",""
"Min 1x per week","1990","Berlin","Couple + C. GT 16 ","15","","",""
"Min 1x per week","1990","Berlin","Couple + C. LE and GT 16","10","","",""
"Min 1x per week","1990","Brandenburg","1-pers.-HH","","","",""
"Min 1x per week","1990","Brandenburg","(Married) couple without C. ","","","",""
"Min 1x per week","1990","Brandenburg","Single parent ","","","",""
"Min 1x per week","1990","Brandenburg","Couple + C. LE 16 ","","","",""
"Min 1x per week","1990","Brandenburg","Couple + C. GT 16 ","","","",""
"Min 1x per week","1990","Brandenburg","Couple + C. LE and GT 16","","","",""
"Min 1x per week","1990","Mecklenburg-Western Pomerania","1-pers.-HH","","","",""
"Min 1x per week","1990","Mecklenburg-Western Pomerania","(Married) couple without C. ","","","",""
"Min 1x per week","1990","Mecklenburg-Western Pomerania","Single parent ","","","",""
"Min 1x per week","1990","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","","","",""
"Min 1x per week","1990","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","","","",""
"Min 1x per week","1990","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","","","",""
"Min 1x per week","1990","Saxony","1-pers.-HH","","","",""
"Min 1x per week","1990","Saxony","(Married) couple without C. ","","","",""
"Min 1x per week","1990","Saxony","Single parent ","","","",""
"Min 1x per week","1990","Saxony","Couple + C. LE 16 ","","","",""
"Min 1x per week","1990","Saxony","Couple + C. GT 16 ","","","",""
"Min 1x per week","1990","Saxony","Couple + C. LE and GT 16","","","",""
"Min 1x per week","1990","Saxony-Anhalt","1-pers.-HH","","","",""
"Min 1x per week","1990","Saxony-Anhalt","(Married) couple without C. ","","","",""
"Min 1x per week","1990","Saxony-Anhalt","Single parent ","","","",""
"Min 1x per week","1990","Saxony-Anhalt","Couple + C. LE 16 ","","","",""
"Min 1x per week","1990","Saxony-Anhalt","Couple + C. GT 16 ","","","",""
"Min 1x per week","1990","Saxony-Anhalt","Couple + C. LE and GT 16","","","",""
"Min 1x per week","1990","Thuringia","1-pers.-HH","","","",""
"Min 1x per week","1990","Thuringia","(Married) couple without C. ","","","",""
"Min 1x per week","1990","Thuringia","Single parent ","","","",""
"Min 1x per week","1990","Thuringia","Couple + C. LE 16 ","","","",""
"Min 1x per week","1990","Thuringia","Couple + C. GT 16 ","","","",""
"Min 1x per week","1990","Thuringia","Couple + C. LE and GT 16","","","",""
"Min 1x per month","1990","Schleswig-Holstein","1-pers.-HH","9","","",""
"Min 1x per month","1990","Schleswig-Holstein","(Married) couple without C. ","37","0.46051518329807","0.353924305688863","0.567106060907278"
"Min 1x per month","1990","Schleswig-Holstein","Single parent ","4","","",""
"Min 1x per month","1990","Schleswig-Holstein","Couple + C. LE 16 ","27","","",""
"Min 1x per month","1990","Schleswig-Holstein","Couple + C. GT 16 ","14","","",""
"Min 1x per month","1990","Schleswig-Holstein","Couple + C. LE and GT 16","8","","",""
"Min 1x per month","1990","Hamburg","1-pers.-HH","14","","",""
"Min 1x per month","1990","Hamburg","(Married) couple without C. ","17","","",""
"Min 1x per month","1990","Hamburg","Single parent ","1","","",""
"Min 1x per month","1990","Hamburg","Couple + C. LE 16 ","14","","",""
"Min 1x per month","1990","Hamburg","Couple + C. GT 16 ","3","","",""
"Min 1x per month","1990","Hamburg","Couple + C. LE and GT 16","","","",""
"Min 1x per month","1990","Lower Saxony","1-pers.-HH","24","","",""
"Min 1x per month","1990","Lower Saxony","(Married) couple without C. ","90","0.326994435986653","0.273002537212763","0.380986334760544"
"Min 1x per month","1990","Lower Saxony","Single parent ","9","","",""
"Min 1x per month","1990","Lower Saxony","Couple + C. LE 16 ","53","0.305385959012346","0.237342235891548","0.373429682133145"
"Min 1x per month","1990","Lower Saxony","Couple + C. GT 16 ","63","0.284147241426708","0.225216703491373","0.343077779362043"
"Min 1x per month","1990","Lower Saxony","Couple + C. LE and GT 16","23","","",""
"Min 1x per month","1990","Bremen","1-pers.-HH","1","","",""
"Min 1x per month","1990","Bremen","(Married) couple without C. ","17","","",""
"Min 1x per month","1990","Bremen","Single parent ","1","","",""
"Min 1x per month","1990","Bremen","Couple + C. LE 16 ","5","","",""
"Min 1x per month","1990","Bremen","Couple + C. GT 16 ","2","","",""
"Min 1x per month","1990","Bremen","Couple + C. LE and GT 16","2","","",""
"Min 1x per month","1990","North Rhine-Westphalia","1-pers.-HH","52","0.204073026138183","0.155457438298628","0.252688613977738"
"Min 1x per month","1990","North Rhine-Westphalia","(Married) couple without C. ","209","0.385417956207878","0.34670024722239","0.424135665193366"
"Min 1x per month","1990","North Rhine-Westphalia","Single parent ","27","","",""
"Min 1x per month","1990","North Rhine-Westphalia","Couple + C. LE 16 ","205","0.3793964738151","0.339735083589932","0.419057864040267"
"Min 1x per month","1990","North Rhine-Westphalia","Couple + C. GT 16 ","140","0.286032884880783","0.248737454201249","0.323328315560318"
"Min 1x per month","1990","North Rhine-Westphalia","Couple + C. LE and GT 16","71","0.278679789542101","0.225880875055675","0.331478704028527"
"Min 1x per month","1990","Hesse","1-pers.-HH","25","","",""
"Min 1x per month","1990","Hesse","(Married) couple without C. ","61","0.258408189029991","0.202909242500187","0.313907135559795"
"Min 1x per month","1990","Hesse","Single parent ","7","","",""
"Min 1x per month","1990","Hesse","Couple + C. LE 16 ","61","0.304079861546658","0.244368881544747","0.36379084154857"
"Min 1x per month","1990","Hesse","Couple + C. GT 16 ","58","0.310926484490945","0.249198392556792","0.372654576425099"
"Min 1x per month","1990","Hesse","Couple + C. LE and GT 16","10","","",""
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","1-pers.-HH","13","","",""
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","(Married) couple without C. ","50","0.288644996217878","0.220529042406828","0.356760950028927"
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","Single parent ","7","","",""
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","45","0.352667579829183","0.271768768638586","0.43356639101978"
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","41","0.2715951221743","0.200886283788983","0.342303960559617"
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","8","","",""
"Min 1x per month","1990","Baden-Württemberg","1-pers.-HH","37","0.276007063636856","0.20447022820564","0.347543899068071"
"Min 1x per month","1990","Baden-Württemberg","(Married) couple without C. ","106","0.301856073408224","0.254889648786724","0.348822498029725"
"Min 1x per month","1990","Baden-Württemberg","Single parent ","16","","",""
"Min 1x per month","1990","Baden-Württemberg","Couple + C. LE 16 ","137","0.348949880103844","0.304565008669318","0.393334751538371"
"Min 1x per month","1990","Baden-Württemberg","Couple + C. GT 16 ","103","0.292426439078718","0.24977816221977","0.335074715937665"
"Min 1x per month","1990","Baden-Württemberg","Couple + C. LE and GT 16","48","0.330151973884062","0.262929536322032","0.397374411446092"
"Min 1x per month","1990","Bavaria","1-pers.-HH","42","0.208136305883491","0.151008655404145","0.265263956362838"
"Min 1x per month","1990","Bavaria","(Married) couple without C. ","143","0.381410458691993","0.332637041043366","0.43018387634062"
"Min 1x per month","1990","Bavaria","Single parent ","20","","",""
"Min 1x per month","1990","Bavaria","Couple + C. LE 16 ","113","0.343248636727329","0.293507126056499","0.392990147398159"
"Min 1x per month","1990","Bavaria","Couple + C. GT 16 ","107","0.319951438801607","0.271013308344205","0.36888956925901"
"Min 1x per month","1990","Bavaria","Couple + C. LE and GT 16","44","0.330131218041807","0.253323473637354","0.40693896244626"
"Min 1x per month","1990","Berlin","1-pers.-HH","14","","",""
"Min 1x per month","1990","Berlin","(Married) couple without C. ","27","","",""
"Min 1x per month","1990","Berlin","Single parent ","3","","",""
"Min 1x per month","1990","Berlin","Couple + C. LE 16 ","22","","",""
"Min 1x per month","1990","Berlin","Couple + C. GT 16 ","4","","",""
"Min 1x per month","1990","Berlin","Couple + C. LE and GT 16","9","","",""
"Min 1x per month","1990","Brandenburg","1-pers.-HH","","","",""
"Min 1x per month","1990","Brandenburg","(Married) couple without C. ","","","",""
"Min 1x per month","1990","Brandenburg","Single parent ","","","",""
"Min 1x per month","1990","Brandenburg","Couple + C. LE 16 ","","","",""
"Min 1x per month","1990","Brandenburg","Couple + C. GT 16 ","","","",""
"Min 1x per month","1990","Brandenburg","Couple + C. LE and GT 16","","","",""
"Min 1x per month","1990","Mecklenburg-Western Pomerania","1-pers.-HH","","","",""
"Min 1x per month","1990","Mecklenburg-Western Pomerania","(Married) couple without C. ","","","",""
"Min 1x per month","1990","Mecklenburg-Western Pomerania","Single parent ","","","",""
"Min 1x per month","1990","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","","","",""
"Min 1x per month","1990","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","","","",""
"Min 1x per month","1990","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","","","",""
"Min 1x per month","1990","Saxony","1-pers.-HH","","","",""
"Min 1x per month","1990","Saxony","(Married) couple without C. ","","","",""
"Min 1x per month","1990","Saxony","Single parent ","","","",""
"Min 1x per month","1990","Saxony","Couple + C. LE 16 ","","","",""
"Min 1x per month","1990","Saxony","Couple + C. GT 16 ","","","",""
"Min 1x per month","1990","Saxony","Couple + C. LE and GT 16","","","",""
"Min 1x per month","1990","Saxony-Anhalt","1-pers.-HH","","","",""
"Min 1x per month","1990","Saxony-Anhalt","(Married) couple without C. ","","","",""
"Min 1x per month","1990","Saxony-Anhalt","Single parent ","","","",""
"Min 1x per month","1990","Saxony-Anhalt","Couple + C. LE 16 ","","","",""
"Min 1x per month","1990","Saxony-Anhalt","Couple + C. GT 16 ","","","",""
"Min 1x per month","1990","Saxony-Anhalt","Couple + C. LE and GT 16","","","",""
"Min 1x per month","1990","Thuringia","1-pers.-HH","","","",""
"Min 1x per month","1990","Thuringia","(Married) couple without C. ","","","",""
"Min 1x per month","1990","Thuringia","Single parent ","","","",""
"Min 1x per month","1990","Thuringia","Couple + C. LE 16 ","","","",""
"Min 1x per month","1990","Thuringia","Couple + C. GT 16 ","","","",""
"Min 1x per month","1990","Thuringia","Couple + C. LE and GT 16","","","",""
"Rarely","1990","Schleswig-Holstein","1-pers.-HH","5","","",""
"Rarely","1990","Schleswig-Holstein","(Married) couple without C. ","21","","",""
"Rarely","1990","Schleswig-Holstein","Single parent ","1","","",""
"Rarely","1990","Schleswig-Holstein","Couple + C. LE 16 ","11","","",""
"Rarely","1990","Schleswig-Holstein","Couple + C. GT 16 ","9","","",""
"Rarely","1990","Schleswig-Holstein","Couple + C. LE and GT 16","7","","",""
"Rarely","1990","Hamburg","1-pers.-HH","9","","",""
"Rarely","1990","Hamburg","(Married) couple without C. ","1","","",""
"Rarely","1990","Hamburg","Single parent ","2","","",""
"Rarely","1990","Hamburg","Couple + C. LE 16 ","6","","",""
"Rarely","1990","Hamburg","Couple + C. GT 16 ","","","",""
"Rarely","1990","Hamburg","Couple + C. LE and GT 16","3","","",""
"Rarely","1990","Lower Saxony","1-pers.-HH","21","","",""
"Rarely","1990","Lower Saxony","(Married) couple without C. ","76","0.271912402734591","0.220702327090251","0.32312247837893"
"Rarely","1990","Lower Saxony","Single parent ","13","","",""
"Rarely","1990","Lower Saxony","Couple + C. LE 16 ","37","0.263179878011061","0.198122158379577","0.328237597642545"
"Rarely","1990","Lower Saxony","Couple + C. GT 16 ","55","0.283167031895837","0.22429796369192","0.342036100099754"
"Rarely","1990","Lower Saxony","Couple + C. LE and GT 16","3","","",""
"Rarely","1990","Bremen","1-pers.-HH","1","","",""
"Rarely","1990","Bremen","(Married) couple without C. ","8","","",""
"Rarely","1990","Bremen","Single parent ","1","","",""
"Rarely","1990","Bremen","Couple + C. LE 16 ","3","","",""
"Rarely","1990","Bremen","Couple + C. GT 16 ","2","","",""
"Rarely","1990","Bremen","Couple + C. LE and GT 16","4","","",""
"Rarely","1990","North Rhine-Westphalia","1-pers.-HH","37","0.156127329006078","0.112342460099174","0.199912197912981"
"Rarely","1990","North Rhine-Westphalia","(Married) couple without C. ","108","0.181492154242956","0.150830604869906","0.212153703616007"
"Rarely","1990","North Rhine-Westphalia","Single parent ","22","","",""
"Rarely","1990","North Rhine-Westphalia","Couple + C. LE 16 ","89","0.180860196452083","0.149399764397439","0.212320628506727"
"Rarely","1990","North Rhine-Westphalia","Couple + C. GT 16 ","121","0.247661555682668","0.212037409462408","0.283285701902929"
"Rarely","1990","North Rhine-Westphalia","Couple + C. LE and GT 16","35","0.170443680837207","0.126162254977538","0.214725106696875"
"Rarely","1990","Hesse","1-pers.-HH","15","","",""
"Rarely","1990","Hesse","(Married) couple without C. ","61","0.317940342598878","0.258902138135453","0.376978547062303"
"Rarely","1990","Hesse","Single parent ","5","","",""
"Rarely","1990","Hesse","Couple + C. LE 16 ","33","0.165739757278243","0.117473370305966","0.214006144250521"
"Rarely","1990","Hesse","Couple + C. GT 16 ","46","0.256845733862336","0.198582192087112","0.31510927563756"
"Rarely","1990","Hesse","Couple + C. LE and GT 16","23","","",""
"Rarely","1990","Rhineland-Palatinate,Saarland","1-pers.-HH","13","","",""
"Rarely","1990","Rhineland-Palatinate,Saarland","(Married) couple without C. ","38","0.258047129634925","0.192272061553183","0.323822197716666"
"Rarely","1990","Rhineland-Palatinate,Saarland","Single parent ","7","","",""
"Rarely","1990","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","30","0.254207333267215","0.180485048950473","0.327929617583956"
"Rarely","1990","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","40","0.296705596413226","0.224085345216851","0.369325847609601"
"Rarely","1990","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","15","","",""
"Rarely","1990","Baden-Württemberg","1-pers.-HH","15","","",""
"Rarely","1990","Baden-Württemberg","(Married) couple without C. ","93","0.307106366453053","0.25991171813366","0.354301014772445"
"Rarely","1990","Baden-Württemberg","Single parent ","18","","",""
"Rarely","1990","Baden-Württemberg","Couple + C. LE 16 ","74","0.20580375081006","0.168156194934486","0.243451306685634"
"Rarely","1990","Baden-Württemberg","Couple + C. GT 16 ","78","0.23572978925946","0.195933912924603","0.275525665594318"
"Rarely","1990","Baden-Württemberg","Couple + C. LE and GT 16","17","","",""
"Rarely","1990","Bavaria","1-pers.-HH","33","0.180184597215833","0.126101183714365","0.234268010717302"
"Rarely","1990","Bavaria","(Married) couple without C. ","80","0.243212066625685","0.20013310151907","0.286291031732299"
"Rarely","1990","Bavaria","Single parent ","16","","",""
"Rarely","1990","Bavaria","Couple + C. LE 16 ","71","0.237274456094206","0.192706398389772","0.28184251379864"
"Rarely","1990","Bavaria","Couple + C. GT 16 ","89","0.303551176739171","0.255312438191314","0.351789915287027"
"Rarely","1990","Bavaria","Couple + C. LE and GT 16","38","0.248555221274568","0.177967879727362","0.319142562821774"
"Rarely","1990","Berlin","1-pers.-HH","14","","",""
"Rarely","1990","Berlin","(Married) couple without C. ","23","","",""
"Rarely","1990","Berlin","Single parent ","3","","",""
"Rarely","1990","Berlin","Couple + C. LE 16 ","6","","",""
"Rarely","1990","Berlin","Couple + C. GT 16 ","8","","",""
"Rarely","1990","Berlin","Couple + C. LE and GT 16","5","","",""
"Rarely","1990","Brandenburg","1-pers.-HH","","","",""
"Rarely","1990","Brandenburg","(Married) couple without C. ","","","",""
"Rarely","1990","Brandenburg","Single parent ","","","",""
"Rarely","1990","Brandenburg","Couple + C. LE 16 ","","","",""
"Rarely","1990","Brandenburg","Couple + C. GT 16 ","","","",""
"Rarely","1990","Brandenburg","Couple + C. LE and GT 16","","","",""
"Rarely","1990","Mecklenburg-Western Pomerania","1-pers.-HH","","","",""
"Rarely","1990","Mecklenburg-Western Pomerania","(Married) couple without C. ","","","",""
"Rarely","1990","Mecklenburg-Western Pomerania","Single parent ","","","",""
"Rarely","1990","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","","","",""
"Rarely","1990","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","","","",""
