"year","bula_h","hgtyp1hh","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1991","Schleswig-Holstein","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"1991","Schleswig-Holstein","Couple + C. LE 16","","","","","","","","","","","","","",""
"1991","Schleswig-Holstein","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1991","Schleswig-Holstein","Single parent","","","","","","","","","","","","","",""
"1991","Thuringia","(Married) couple without C.","","","","","","","","","","","","","",""
"1991","Thuringia","1-pers.-HH","","","","","","","","","","","","","",""
"1991","Thuringia","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"1991","Thuringia","Couple + C. LE 16","","","","","","","","","","","","","",""
"1991","Thuringia","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1991","Thuringia","Single parent","","","","","","","","","","","","","",""
"1992","Baden-Württemberg","(Married) couple without C.","3.23","3","297","2","3","4","4","4","3.15","3.31","1","4","3","3"
"1992","Baden-Württemberg","1-pers.-HH","3.19","3","110","2","3","4","4","4","3.05","3.33","2","4","3","3"
"1992","Baden-Württemberg","Couple + C. GT 16 ","3.15","3","247","2","3","4","4","4","3.06","3.24","1","4","3","3"
"1992","Baden-Württemberg","Couple + C. LE 16","3.13","3","245","2","3","4","4","4","3.04","3.22","1","4","3","3"
"1992","Baden-Württemberg","Couple + C. LE and GT 16","3.18","3","79","2","3","4","4","4","3.02","3.34","1","4","3","3"
"1992","Baden-Württemberg","Single parent","3.56","4","62","3","3","4","4","4","3.43","3.69","2","4","3","4"
"1992","Bavaria","(Married) couple without C.","3.19","3","351","2","3","4","4","4","3.11","3.27","1","4","3","3"
"1992","Bavaria","1-pers.-HH","3.33","4","158","2","3","4","4","4","3.2","3.46","1","4","3","4"
"1992","Bavaria","Couple + C. GT 16 ","3.19","3","283","2","3","4","4","4","3.11","3.27","1","4","3","3"
"1992","Bavaria","Couple + C. LE 16","3.04","3","296","2","3","3","4","4","2.96","3.12","1","4","3","3"
"1992","Bavaria","Couple + C. LE and GT 16","3.12","3","84","2","3","4","4","4","2.97","3.27","1","4","3","3"
"1992","Bavaria","Single parent","3.55","4","59","3","3","4","4","4","3.38","3.72","2","4","3","4"
"1992","Berlin","(Married) couple without C.","3.13","3","134","2","3","4","4","4","3","3.26","1","4","3","3"
"1992","Berlin","1-pers.-HH","2.92","3","86","2","2","4","4","4","2.74","3.1","1","4","3","3"
"1992","Berlin","Couple + C. GT 16 ","3.02","3","64","2","2","4","4","4","2.82","3.22","1","4","3","3"
"1992","Berlin","Couple + C. LE 16","3.02","3","130","2","3","4","4","4","2.89","3.15","1","4","3","3"
"1992","Berlin","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1992","Berlin","Single parent","2.95","3","37","2","2","4","4","4","2.7","3.2","2","4","3","3"
"1992","Brandenburg","(Married) couple without C.","3.2","3","148","2","3","4","4","4","3.09","3.31","1","4","3","3"
"1992","Brandenburg","1-pers.-HH","3.36","3","49","2","3","4","4","4","3.17","3.55","2","4","3","4"
"1992","Brandenburg","Couple + C. GT 16 ","3.11","3","127","2","3","4","4","4","2.98","3.24","1","4","3","3"
"1992","Brandenburg","Couple + C. LE 16","3.07","3","198","2","3","4","4","4","2.97","3.17","1","4","3","3"
"1992","Brandenburg","Couple + C. LE and GT 16","3.07","3","67","2","2","4","4","4","2.86","3.28","1","4","3","3"
"1992","Brandenburg","Single parent","3.05","3","38","2","3","3","4","4","2.81","3.29","1","4","3","3"
"1992","Bremen","(Married) couple without C.","3.16","3","36","2","3","4","4","4","2.92","3.4","1","4","3","4"
