"ple0098_v5","year","e11103","education","n","percent","lower_confidence","upper_confidence"
"Yes","2000","Part Time","Other degree","8","","",""
"Yes","2000","Part Time","no degree/no degree yet","13","","",""
"Yes","2000","Not Working","lower secondary degree","201","0.0482725293187352","0.0421603022969892","0.0543847563404811"
"Yes","2000","Not Working","secondary school degree","177","0.133575771236244","0.116313703404051","0.150837839068437"
"Yes","2000","Not Working","college entrance qualification","123","0.149196279531716","0.125602923315084","0.172789635748349"
"Yes","2000","Not Working","Other degree","17","","",""
"Yes","2000","Not Working","no degree/no degree yet","18","","",""
"No","2000","Full Time","lower secondary degree","2692","0.908770714135637","0.898382095936265","0.919159332335008"
"No","2000","Full Time","secondary school degree","2877","0.885408931795932","0.874381321571095","0.89643654202077"
"No","2000","Full Time","college entrance qualification","1455","0.817273639893991","0.799089921422615","0.835457358365367"
"No","2000","Full Time","Other degree","518","0.973240402991674","0.959514191700323","0.986966614283024"
"No","2000","Full Time","no degree/no degree yet","94","0.936424169542773","0.888601873986491","0.984246465099055"
"No","2000","Part Time","lower secondary degree","1599","0.923590002053701","0.911046460935163","0.936133543172239"
"No","2000","Part Time","secondary school degree","1370","0.860517919793534","0.843287274970645","0.877748564616423"
"No","2000","Part Time","college entrance qualification","757","0.847066419958177","0.823340005155281","0.870792834761074"
"No","2000","Part Time","Other degree","338","0.979074185708438","0.963992182630706","0.994156188786171"
"No","2000","Part Time","no degree/no degree yet","127","0.904724400468028","0.856091175436474","0.953357625499582"
"No","2000","Not Working","lower secondary degree","4523","0.951727470681265","0.945615243659519","0.957839697703011"
"No","2000","Not Working","secondary school degree","1315","0.866424228763756","0.849162160931563","0.883686296595949"
"No","2000","Not Working","college entrance qualification","753","0.850803720468284","0.827210364251651","0.874397076684916"
"No","2000","Not Working","Other degree","568","0.962232118557072","0.946784149365091","0.977680087749054"
"No","2000","Not Working","no degree/no degree yet","571","0.965603137478923","0.950885124111397","0.980321150846449"
"Yes","2001","Full Time","lower secondary degree","239","0.101189284713207","0.0895455509837824","0.112833018442631"
"Yes","2001","Full Time","secondary school degree","301","0.120600741755415","0.108822942312327","0.132378541198503"
"Yes","2001","Full Time","college entrance qualification","272","0.190049864241728","0.170801467100494","0.209298261382962"
"Yes","2001","Full Time","Other degree","7","","",""
"Yes","2001","Full Time","no degree/no degree yet","2","","",""
"Yes","2001","Part Time","lower secondary degree","109","0.0746277494274828","0.0616205598458436","0.087634939009122"
"Yes","2001","Part Time","secondary school degree","164","0.12853347376668","0.111259234195203","0.145807713338158"
"Yes","2001","Part Time","college entrance qualification","136","0.16124569095593","0.137125330004902","0.185366051906959"
"Yes","2001","Part Time","Other degree","9","","",""
"Yes","2001","Part Time","no degree/no degree yet","12","","",""
"Yes","2001","Not Working","lower secondary degree","184","0.0468964190980258","0.0404493787933384","0.0533434594027132"
"Yes","2001","Not Working","secondary school degree","152","0.132323745392104","0.114465665988249","0.150181824795959"
"Yes","2001","Not Working","college entrance qualification","104","0.148250826468286","0.123672928308007","0.172828724628565"
"Yes","2001","Not Working","Other degree","11","","",""
"Yes","2001","Not Working","no degree/no degree yet","23","","",""
"No","2001","Full Time","lower secondary degree","2338","0.898810715286793","0.887166981557369","0.910454449016218"
"No","2001","Full Time","secondary school degree","2636","0.879399258244585","0.867621458801497","0.891177057687673"
"No","2001","Full Time","college entrance qualification","1324","0.809950135758272","0.790701738617038","0.829198532899506"
"No","2001","Full Time","Other degree","462","0.986994586544147","0.976740874033395","0.997248299054899"
"No","2001","Full Time","no degree/no degree yet","78","0.949124407591405","0.900971844595573","0.997276970587238"
"No","2001","Part Time","lower secondary degree","1459","0.925372250572517","0.912365060990878","0.938379440154156"
"No","2001","Part Time","secondary school degree","1278","0.87146652623332","0.854192286661842","0.888740765804797"
"No","2001","Part Time","college entrance qualification","757","0.83875430904407","0.814633948093041","0.862874669995098"
"No","2001","Part Time","Other degree","316","0.970862036962766","0.952576203325368","0.989147870600165"
"No","2001","Part Time","no degree/no degree yet","135","0.901259471199903","0.853035600203489","0.949483342196318"
"No","2001","Not Working","lower secondary degree","3947","0.953103580901974","0.946656540597287","0.959550621206662"
"No","2001","Not Working","secondary school degree","1231","0.867676254607896","0.849818175204041","0.885534334011751"
"No","2001","Not Working","college entrance qualification","699","0.851749173531714","0.827171275371435","0.876327071691993"
"No","2001","Not Working","Other degree","507","0.974069408932187","0.96038316199868","0.987755655865694"
"No","2001","Not Working","no degree/no degree yet","519","0.956676180970533","0.939536833049237","0.97381552889183"
"Yes","2002","Full Time","lower secondary degree","253","0.104792147741775","0.0924610928736618","0.117123202609887"
"Yes","2002","Full Time","secondary school degree","360","0.129723794890096","0.117418275154092","0.1420293146261"
"Yes","2002","Full Time","college entrance qualification","372","0.201591235599971","0.183098662284427","0.220083808915516"
"Yes","2002","Full Time","Other degree","14","","",""
"Yes","2002","Full Time","no degree/no degree yet","2","","",""
"Yes","2002","Part Time","lower secondary degree","129","0.0881918058468081","0.0737299607149561","0.10265365097866"
"Yes","2002","Part Time","secondary school degree","220","0.133149535774017","0.116523533697741","0.149775537850293"
"Yes","2002","Part Time","college entrance qualification","184","0.155885943347468","0.13353674866107","0.178235138033866"
"Yes","2002","Part Time","Other degree","14","","",""
"Yes","2002","Part Time","no degree/no degree yet","18","","",""
"Yes","2002","Not Working","lower secondary degree","213","0.0543832848898621","0.0473714220327319","0.0613951477469924"
"Yes","2002","Not Working","secondary school degree","202","0.143971844717186","0.125712435238804","0.162231254195567"
"Yes","2002","Not Working","college entrance qualification","164","0.166593940344562","0.142196064703215","0.19099181598591"
"Yes","2002","Not Working","Other degree","19","","",""
"Yes","2002","Not Working","no degree/no degree yet","26","","",""
"No","2002","Full Time","lower secondary degree","2117","0.895207852258225","0.882876797390113","0.907538907126338"
"No","2002","Full Time","secondary school degree","2504","0.870276205109904","0.8579706853739","0.882581724845908"
"No","2002","Full Time","college entrance qualification","1436","0.798408764400029","0.779916191084484","0.816901337715573"
"No","2002","Full Time","Other degree","428","0.969928919412144","0.954007513019228","0.98585032580506"
"No","2002","Full Time","no degree/no degree yet","68","0.988158239053392","0.962817430735719","1.01349904737106"
"No","2002","Part Time","lower secondary degree","1348","0.911808194153192","0.89734634902134","0.926270039285044"
"No","2002","Part Time","secondary school degree","1384","0.866850464225983","0.850224462149707","0.883476466302259"
"No","2002","Part Time","college entrance qualification","828","0.844114056652532","0.821764861966134","0.866463251338931"
"No","2002","Part Time","Other degree","300","0.963706768459809","0.943021148509462","0.984392388410157"
"No","2002","Part Time","no degree/no degree yet","130","0.91655946033841","0.872005521160028","0.961113399516793"
"No","2002","Not Working","lower secondary degree","3805","0.945616715110138","0.938604852253008","0.952628577967268"
"No","2002","Not Working","secondary school degree","1218","0.856028155282815","0.837768745804433","0.874287564761196"
"No","2002","Not Working","college entrance qualification","732","0.833406059655438","0.80900818401409","0.857803935296785"
"No","2002","Not Working","Other degree","466","0.961193388921579","0.944004988268542","0.978381789574617"
"No","2002","Not Working","no degree/no degree yet","537","0.964882403580611","0.949677156611699","0.980087650549523"
"Yes","2003","Full Time","lower secondary degree","239","0.109527431865471","0.0962741208944164","0.122780742836526"
"Yes","2003","Full Time","secondary school degree","334","0.13217321518862","0.119362770714714","0.144983659662526"
"Yes","2003","Full Time","college entrance qualification","342","0.199753759909257","0.18083139857623","0.218676121242283"
"Yes","2003","Full Time","Other degree","10","","",""
"Yes","2003","Full Time","no degree/no degree yet","3","","",""
"Yes","2003","Part Time","lower secondary degree","148","0.105992251131634","0.0900375831146691","0.121946919148598"
"Yes","2003","Part Time","secondary school degree","212","0.125597134302816","0.109389449885236","0.141804818720396"
"Yes","2003","Part Time","college entrance qualification","194","0.179237531263043","0.155405570677457","0.203069491848629"
"Yes","2003","Part Time","Other degree","12","","",""
"Yes","2003","Part Time","no degree/no degree yet","12","","",""
"Yes","2003","Not Working","lower secondary degree","202","0.048744395947871","0.0419853961412171","0.0555033957545249"
"Yes","2003","Not Working","secondary school degree","198","0.158478803471249","0.139349366192984","0.177608240749515"
"Yes","2003","Not Working","college entrance qualification","181","0.170743234500982","0.146322038135571","0.195164430866392"
"Yes","2003","Not Working","Other degree","12","","",""
"Yes","2003","Not Working","no degree/no degree yet","34","0.0481499019028858","0.0306057629065134","0.0656940408992583"
"No","2003","Full Time","lower secondary degree","1894","0.890472568134529","0.877219257163474","0.903725879105584"
"No","2003","Full Time","secondary school degree","2351","0.86782678481138","0.855016340337474","0.880637229285286"
"No","2003","Full Time","college entrance qualification","1373","0.800246240090743","0.781323878757717","0.81916860142377"
"No","2003","Full Time","Other degree","382","0.981224372572357","0.967787863476965","0.994660881667748"
"No","2003","Full Time","no degree/no degree yet","62","0.970146536709342","0.928774448507095","1.01151862491159"
"No","2003","Part Time","lower secondary degree","1282","0.894007748868366","0.878053080851402","0.909962416885331"
"No","2003","Part Time","secondary school degree","1394","0.874402865697184","0.858195181279604","0.890610550114764"
"No","2003","Part Time","college entrance qualification","801","0.820762468736957","0.796930508151371","0.844594429322543"
"No","2003","Part Time","Other degree","285","0.970884986219791","0.951763913245065","0.990006059194516"
"No","2003","Part Time","no degree/no degree yet","115","0.920503054889493","0.873455823907726","0.96755028587126"
"No","2003","Not Working","lower secondary degree","3697","0.951255604052129","0.944496604245475","0.958014603858783"
"No","2003","Not Working","secondary school degree","1202","0.841521196528751","0.822391759250485","0.860650633807016"
"No","2003","Not Working","college entrance qualification","731","0.829256765499018","0.804835569133608","0.853677961864429"
"No","2003","Not Working","Other degree","471","0.971524997305667","0.956691846835899","0.986358147775435"
"No","2003","Not Working","no degree/no degree yet","538","0.951850098097114","0.934305959100742","0.969394237093487"
"Yes","2004","Full Time","lower secondary degree","247","0.128939756173288","0.114110611299365","0.14376890104721"
"Yes","2004","Full Time","secondary school degree","345","0.142269288794306","0.12873473294568","0.155803844642932"
"Yes","2004","Full Time","college entrance qualification","380","0.22097994997646","0.201002613244633","0.240957286708287"
"Yes","2004","Full Time","Other degree","7","","",""
"Yes","2004","Full Time","no degree/no degree yet","3","","",""
"Yes","2004","Part Time","lower secondary degree","143","0.103147440985791","0.0871982138575994","0.119096668113983"
"Yes","2004","Part Time","secondary school degree","226","0.148444369805198","0.130669782138853","0.166218957471544"
"Yes","2004","Part Time","college entrance qualification","202","0.184652794981158","0.160603778096587","0.20870181186573"
"Yes","2004","Part Time","Other degree","10","","",""
"Yes","2004","Part Time","no degree/no degree yet","10","","",""
"Yes","2004","Not Working","lower secondary degree","221","0.0540821910204354","0.0468622897988778","0.061302092241993"
"Yes","2004","Not Working","secondary school degree","194","0.145218974052581","0.127065784427999","0.163372163677164"
"Yes","2004","Not Working","college entrance qualification","190","0.188727191678694","0.163659700814986","0.213794682542401"
"Yes","2004","Not Working","Other degree","14","","",""
"Yes","2004","Not Working","no degree/no degree yet","39","0.0498775315537322","0.0320996863845551","0.0676553767229092"
"No","2004","Full Time","lower secondary degree","1715","0.871060243826712","0.85623109895279","0.885889388700635"
"No","2004","Full Time","secondary school degree","2214","0.857730711205694","0.844196155357068","0.87126526705432"
"No","2004","Full Time","college entrance qualification","1277","0.77902005002354","0.759042713291713","0.798997386755367"
"No","2004","Full Time","Other degree","360","0.9902505685524","0.980197995123948","1.00030314198085"
"No","2004","Full Time","no degree/no degree yet","49","0.967155693000959","0.918713402814637","1.01559798318728"
"No","2004","Part Time","lower secondary degree","1254","0.896852559014209","0.880903331886017","0.912801786142401"
"No","2004","Part Time","secondary school degree","1311","0.851555630194802","0.833781042528456","0.869330217861148"
"No","2004","Part Time","college entrance qualification","798","0.815347205018842","0.79129818813427","0.839396221903413"
"No","2004","Part Time","Other degree","257","0.969671585150055","0.949101804949575","0.990241365350535"
"No","2004","Part Time","no degree/no degree yet","118","0.896248239419064","0.843421354570908","0.94907512426722"
"No","2004","Not Working","lower secondary degree","3549","0.945917808979565","0.938697907758007","0.953137710201122"
"No","2004","Not Working","secondary school degree","1253","0.854781025947418","0.836627836322836","0.872934215572001"
"No","2004","Not Working","college entrance qualification","746","0.811272808321306","0.786205317457599","0.836340299185014"
"No","2004","Not Working","Other degree","479","0.971219168420103","0.956460916375486","0.98597742046472"
"No","2004","Not Working","no degree/no degree yet","537","0.950122468446268","0.932344623277091","0.967900313615445"
"Yes","2005","Full Time","lower secondary degree","252","0.149704983623222","0.133259304065533","0.166150663180911"
"Yes","2005","Full Time","secondary school degree","362","0.163507759204247","0.148776127998464","0.178239390410029"
"Yes","2005","Full Time","college entrance qualification","372","0.237553519663165","0.216515384699873","0.258591654626458"
"Yes","2005","Full Time","Other degree","15","","",""
"Yes","2005","Full Time","no degree/no degree yet","2","","",""
"Yes","2005","Part Time","lower secondary degree","131","0.104082158588976","0.087174059144379","0.120990258033572"
"Yes","2005","Part Time","secondary school degree","241","0.153664980021282","0.135390673635197","0.171939286407366"
"Yes","2005","Part Time","college entrance qualification","230","0.202501060391654","0.177935298294067","0.227066822489241"
"Yes","2005","Part Time","Other degree","9","","",""
"Yes","2005","Part Time","no degree/no degree yet","10","","",""
"Yes","2005","Not Working","lower secondary degree","244","0.0678867299802216","0.0596797865422281","0.0760936734182151"
"Yes","2005","Not Working","secondary school degree","206","0.153362839578947","0.134240120739552","0.172485558418342"
"Yes","2005","Not Working","college entrance qualification","177","0.174602902497799","0.14974575528831","0.199460049707287"
"Yes","2005","Not Working","Other degree","15","","",""
"Yes","2005","Not Working","no degree/no degree yet","33","0.0560433620887737","0.0374208872593538","0.0746658369181936"
"No","2005","Full Time","lower secondary degree","1556","0.850295016376778","0.833849336819089","0.866740695934467"
"No","2005","Full Time","secondary school degree","2059","0.836492240795754","0.821760609589971","0.851223872001536"
"No","2005","Full Time","college entrance qualification","1200","0.762446480336835","0.741408345373542","0.783484615300127"
"No","2005","Full Time","Other degree","331","0.968562501109101","0.950176052144987","0.986948950073216"
"No","2005","Full Time","no degree/no degree yet","50","0.96864168460341","0.921271578399319","1.0160117908075"
"No","2005","Part Time","lower secondary degree","1122","0.895917841411024","0.879009741966428","0.912825940855621"
"No","2005","Part Time","secondary school degree","1255","0.846335019978718","0.828060713592634","0.864609326364802"
"No","2005","Part Time","college entrance qualification","798","0.797498939608346","0.772933177510759","0.822064701705933"
"No","2005","Part Time","Other degree","234","0.951913654515745","0.925013509660117","0.978813799371374"
"No","2005","Part Time","no degree/no degree yet","102","0.89219676443094","0.834760617271696","0.949632911590184"
"No","2005","Not Working","lower secondary degree","3365","0.932113270019778","0.923906326581785","0.940320213457772"
"No","2005","Not Working","secondary school degree","1158","0.846637160421053","0.827514441581658","0.865759879260448"
"No","2005","Not Working","college entrance qualification","719","0.825397097502201","0.800539950292713","0.85025424471169"
"No","2005","Not Working","Other degree","451","0.977231109029784","0.963687802337674","0.990774415721894"
"No","2005","Not Working","no degree/no degree yet","553","0.943956637911226","0.925334163081806","0.962579112740646"
"Yes","2006","Full Time","lower secondary degree","305","0.149065239873073","0.132970275591677","0.165160204154469"
"Yes","2006","Full Time","secondary school degree","461","0.18978053612006","0.174470543152248","0.205090529087873"
"Yes","2006","Full Time","college entrance qualification","461","0.278958689907939","0.257843313356592","0.300074066459287"
"Yes","2006","Full Time","Other degree","18","","",""
"Yes","2006","Full Time","no degree/no degree yet","2","","",""
"Yes","2006","Part Time","lower secondary degree","164","0.105323357415291","0.0886108740772115","0.12203584075337"
"Yes","2006","Part Time","secondary school degree","306","0.194218275773388","0.174755114499633","0.213681437047142"
"Yes","2006","Part Time","college entrance qualification","251","0.225704957292718","0.200538681786719","0.250871232798716"
"Yes","2006","Part Time","Other degree","16","","",""
"Yes","2006","Part Time","no degree/no degree yet","6","","",""
"Yes","2006","Not Working","lower secondary degree","310","0.0711625106320914","0.0631600786035687","0.0791649426606141"
"Yes","2006","Not Working","secondary school degree","263","0.163848186080913","0.145474833021807","0.182221539140019"
"Yes","2006","Not Working","college entrance qualification","235","0.211860671263792","0.186722033402374","0.23699930912521"
"Yes","2006","Not Working","Other degree","19","","",""
"Yes","2006","Not Working","no degree/no degree yet","24","","",""
"No","2006","Full Time","lower secondary degree","1576","0.850934760126927","0.834839795845531","0.867029724408323"
"No","2006","Full Time","secondary school degree","2059","0.81021946387994","0.794909470912127","0.825529456847752"
"No","2006","Full Time","college entrance qualification","1272","0.72104131009206","0.699925933540713","0.742156686643408"
"No","2006","Full Time","Other degree","334","0.970164010243408","0.952390649170379","0.987937371316438"
"No","2006","Full Time","no degree/no degree yet","48","0.889408283194282","0.802477223495235","0.976339342893328"
"No","2006","Part Time","lower secondary degree","1132","0.894676642584709","0.87796415924663","0.911389125922788"
"No","2006","Part Time","secondary school degree","1281","0.805781724226613","0.786318562952858","0.825244885500367"
"No","2006","Part Time","college entrance qualification","809","0.774295042707282","0.749128767201284","0.799461318213281"
"No","2006","Part Time","Other degree","235","0.932188921877799","0.901085116654438","0.96329272710116"
"No","2006","Part Time","no degree/no degree yet","79","0.884422618350523","0.816454542671353","0.952390694029693"
"No","2006","Not Working","lower secondary degree","3655","0.928837489367909","0.920835057339386","0.936839921396431"
"No","2006","Not Working","secondary school degree","1296","0.836151813919087","0.817778460859981","0.854525166978193"
"No","2006","Not Working","college entrance qualification","780","0.788139328736208","0.76300069087479","0.813277966597626"
"No","2006","Not Working","Other degree","503","0.971256975511205","0.956923676945322","0.985590274077089"
"No","2006","Not Working","no degree/no degree yet","375","0.936212732207903","0.912234568834217","0.960190895581588"
"Yes","2007","Full Time","lower secondary degree","305","0.172213786731394","0.154354833658345","0.190072739804443"
"Yes","2007","Full Time","secondary school degree","463","0.190861765526388","0.174973188999895","0.206750342052881"
"Yes","2007","Full Time","college entrance qualification","469","0.300412187456047","0.278378770260177","0.322445604651917"
"Yes","2007","Full Time","Other degree","23","","",""
"Yes","2007","Full Time","no degree/no degree yet","1","","",""
"Yes","2007","Part Time","lower secondary degree","166","0.117784755166354","0.0991862942046883","0.136383216128019"
"Yes","2007","Part Time","secondary school degree","300","0.224561264565808","0.203429617300848","0.245692911830769"
"Yes","2007","Part Time","college entrance qualification","259","0.2288112431621","0.203006875147715","0.254615611176486"
"Yes","2007","Part Time","Other degree","16","","",""
"Yes","2007","Part Time","no degree/no degree yet","8","","",""
"Yes","2007","Not Working","lower secondary degree","312","0.0829713696578816","0.0740018131719739","0.0919409261437892"
"Yes","2007","Not Working","secondary school degree","274","0.180145607216705","0.160526485954913","0.199764728478498"
"Yes","2007","Not Working","college entrance qualification","250","0.243960915110812","0.217031119334899","0.270890710886724"
"Yes","2007","Not Working","Other degree","20","","",""
"Yes","2007","Not Working","no degree/no degree yet","21","","",""
"No","2007","Full Time","lower secondary degree","1412","0.827786213268606","0.809927260195557","0.845645166341655"
"No","2007","Full Time","secondary school degree","1887","0.809138234473612","0.793249657947119","0.825026811000105"
"No","2007","Full Time","college entrance qualification","1194","0.699587812543953","0.677554395348083","0.721621229739822"
"No","2007","Full Time","Other degree","284","0.950158768908076","0.92581592164521","0.974501616170941"
"No","2007","Full Time","no degree/no degree yet","33","0.993231764345512","0.965672243136568","1.02079128555446"
"No","2007","Part Time","lower secondary degree","988","0.882215244833646","0.863616783871981","0.900813705795312"
"No","2007","Part Time","secondary school degree","1198","0.775438735434192","0.754307088169231","0.796570382699152"
"No","2007","Part Time","college entrance qualification","759","0.7711887568379","0.745384388823514","0.796993124852285"
"No","2007","Part Time","Other degree","242","0.945489827016718","0.917788189101428","0.973191464932008"
"No","2007","Part Time","no degree/no degree yet","72","0.907744645502915","0.844331289700647","0.971158001305182"
"No","2007","Not Working","lower secondary degree","3321","0.917028630342118","0.908059073856211","0.925998186828026"
"No","2007","Not Working","secondary school degree","1200","0.819854392783295","0.800235271521502","0.839473514045087"
"No","2007","Not Working","college entrance qualification","727","0.756039084889188","0.729109289113276","0.782968880665101"
"No","2007","Not Working","Other degree","433","0.96739353859336","0.951038468259965","0.983748608926755"
"No","2007","Not Working","no degree/no degree yet","338","0.957565445232181","0.936713579273855","0.978417311190507"
"Yes","2008","Full Time","lower secondary degree","322","0.193245854774926","0.174054151665533","0.21243755788432"
"Yes","2008","Full Time","secondary school degree","500","0.225753452872826","0.208832161379607","0.242674744366044"
"Yes","2008","Full Time","college entrance qualification","509","0.35149269917736","0.327980887656599","0.375004510698121"
"Yes","2008","Full Time","Other degree","21","","",""
"Yes","2008","Full Time","no degree/no degree yet","3","","",""
"Yes","2008","Part Time","lower secondary degree","189","0.155263959122962","0.133862292807657","0.176665625438267"
"Yes","2008","Part Time","secondary school degree","340","0.256704238273032","0.233682699501258","0.279725777044806"
"Yes","2008","Part Time","college entrance qualification","273","0.256376821304342","0.228941660545993","0.283811982062691"
"Yes","2008","Part Time","Other degree","16","","",""
"Yes","2008","Part Time","no degree/no degree yet","11","","",""
"Yes","2008","Not Working","lower secondary degree","366","0.105037237781095","0.0947238266514103","0.115350648910781"
"Yes","2008","Not Working","secondary school degree","297","0.21049075625892","0.188959159157345","0.232022353360495"
"Yes","2008","Not Working","college entrance qualification","254","0.265855877244473","0.237658673613798","0.294053080875149"
"Yes","2008","Not Working","Other degree","21","","",""
"Yes","2008","Not Working","no degree/no degree yet","27","","",""
"No","2008","Full Time","lower secondary degree","1304","0.806754145225074","0.78756244211568","0.825945848334467"
"No","2008","Full Time","secondary school degree","1845","0.774246547127174","0.757325255633956","0.791167838620393"
"No","2008","Full Time","college entrance qualification","1075","0.64850730082264","0.624995489301879","0.672019112343401"
"No","2008","Full Time","Other degree","261","0.926734431663108","0.896321999879879","0.957146863446338"
"No","2008","Full Time","no degree/no degree yet","31","0.901372419554333","0.801151137357428","1.00159370175124"
"No","2008","Part Time","lower secondary degree","911","0.844736040877038","0.823334374561733","0.866137707192343"
"No","2008","Part Time","secondary school degree","1043","0.743295761726968","0.720274222955194","0.766317300498742"
"No","2008","Part Time","college entrance qualification","700","0.743623178695658","0.716188017937309","0.771058339454007"
"No","2008","Part Time","Other degree","208","0.942595524599109","0.912133438255589","0.97305761094263"
"No","2008","Part Time","no degree/no degree yet","77","0.840314743540295","0.763779731172548","0.916849755908042"
"No","2008","Not Working","lower secondary degree","3029","0.894962762218905","0.884649351089219","0.90527617334859"
"No","2008","Not Working","secondary school degree","1080","0.78950924374108","0.767977646639505","0.811040840842655"
"No","2008","Not Working","college entrance qualification","689","0.734144122755527","0.705946919124851","0.762341326386203"
"No","2008","Not Working","Other degree","381","0.943790771985418","0.921275523820865","0.966306020149971"
"No","2008","Not Working","no degree/no degree yet","318","0.923365257098324","0.895295531917824","0.951434982278824"
"Yes","2009","Full Time","lower secondary degree","","","",""
"Yes","2009","Full Time","secondary school degree","","","",""
"Yes","2009","Full Time","college entrance qualification","","","",""
"Yes","2009","Full Time","Other degree","","","",""
"Yes","2009","Full Time","no degree/no degree yet","","","",""
"Yes","2009","Part Time","lower secondary degree","","","",""
"Yes","2009","Part Time","secondary school degree","","","",""
"Yes","2009","Part Time","college entrance qualification","","","",""
"Yes","2009","Part Time","Other degree","","","",""
"Yes","2009","Part Time","no degree/no degree yet","","","",""
"Yes","2009","Not Working","lower secondary degree","","","",""
"Yes","2009","Not Working","secondary school degree","","","",""
"Yes","2009","Not Working","college entrance qualification","","","",""
"Yes","2009","Not Working","Other degree","","","",""
"Yes","2009","Not Working","no degree/no degree yet","","","",""
"No","2009","Full Time","lower secondary degree","","","",""
"No","2009","Full Time","secondary school degree","","","",""
"No","2009","Full Time","college entrance qualification","","","",""
"No","2009","Full Time","Other degree","","","",""
"No","2009","Full Time","no degree/no degree yet","","","",""
"No","2009","Part Time","lower secondary degree","","","",""
"No","2009","Part Time","secondary school degree","","","",""
"No","2009","Part Time","college entrance qualification","","","",""
"No","2009","Part Time","Other degree","","","",""
"No","2009","Part Time","no degree/no degree yet","","","",""
"No","2009","Not Working","lower secondary degree","","","",""
"No","2009","Not Working","secondary school degree","","","",""
"No","2009","Not Working","college entrance qualification","","","",""
"No","2009","Not Working","Other degree","","","",""
"No","2009","Not Working","no degree/no degree yet","","","",""
"Yes","2010","Full Time","lower secondary degree","388","0.208970014329687","0.19041308592236","0.227526942737013"
"Yes","2010","Full Time","secondary school degree","662","0.259801954524215","0.243613860169382","0.275990048879047"
"Yes","2010","Full Time","college entrance qualification","717","0.357555223544397","0.337263148012498","0.377847299076296"
"Yes","2010","Full Time","Other degree","46","0.101925734858717","0.0738153923694776","0.130036077347957"
"Yes","2010","Full Time","no degree/no degree yet","11","","",""
"Yes","2010","Part Time","lower secondary degree","213","0.140280818519293","0.12174893464716","0.158812702391426"
