"ple0098_v5","year","migback","n","percent","lower_confidence","upper_confidence"
"No","2012","direct migration background","2627","0.909084138569398","0.898624389733556","0.919543887405239"
"No","2012","indirect migration background","970","0.804937131896322","0.782232030594703","0.827642233197941"
"Yes","2013","no migration background","3673","0.254918989287325","0.247677289112795","0.262160689461855"
"Yes","2013","direct migration background","192","0.115352552555452","0.0997048297539729","0.13100027535693"
"Yes","2013","indirect migration background","131","0.251586940194102","0.218151220478338","0.285022659909866"
"No","2013","no migration background","10240","0.745081010712675","0.737839310538145","0.752322710887205"
"No","2013","direct migration background","1409","0.884647447444548","0.86899972464307","0.900295170246027"
"No","2013","indirect migration background","516","0.748413059805898","0.714977340090134","0.781848779521663"
"Yes","2014","no migration background","4718","0.268089274170271","0.261470702334427","0.274707846006116"
"Yes","2014","direct migration background","418","0.0945325736942177","0.0863806444364519","0.102684502951984"
"Yes","2014","indirect migration background","244","0.171330606504359","0.153307449397953","0.189353763610765"
"No","2014","no migration background","12489","0.731910725829729","0.725292153993884","0.738529297665573"
"No","2014","direct migration background","4530","0.905467426305782","0.897315497048017","0.913619355563548"
"No","2014","indirect migration background","1435","0.828669393495641","0.810646236389235","0.846692550602047"
"Yes","2015","no migration background","","","",""
"Yes","2015","direct migration background","","","",""
"Yes","2015","indirect migration background","","","",""
"No","2015","no migration background","","","",""
"No","2015","direct migration background","","","",""
"No","2015","indirect migration background","","","",""
"Yes","2016","no migration background","3781","0.240808787700861","0.23402016599522","0.247597409406503"
"Yes","2016","direct migration background","370","0.0949755313626578","0.0865506408705734","0.103400421854742"
"Yes","2016","indirect migration background","205","0.160305651127741","0.141382235601974","0.179229066653508"
"No","2016","no migration background","11458","0.759191212299139","0.752402590593497","0.76597983400478"
"No","2016","direct migration background","4282","0.905024468637342","0.896599578145258","0.913449359129427"
"No","2016","indirect migration background","1239","0.839694348872259","0.820770933346492","0.858617764398026"
"Yes","2017","no migration background","","","",""
"Yes","2017","direct migration background","","","",""
"Yes","2017","indirect migration background","","","",""
"No","2017","no migration background","","","",""
"No","2017","direct migration background","","","",""
"No","2017","indirect migration background","","","",""
"Yes","2018","no migration background","4198","0.24983530059263","0.243285644351066","0.256384956834193"
"Yes","2018","direct migration background","373","0.107404610964653","0.0981034952244853","0.116705726704821"
"Yes","2018","indirect migration background","227","0.167688905030745","0.149302725097384","0.186075084964107"
"No","2018","no migration background","12585","0.75016469940737","0.743615043165807","0.756714355648934"
"No","2018","direct migration background","3884","0.892595389035347","0.883294273295179","0.901896504775515"
"No","2018","indirect migration background","1359","0.832311094969254","0.813924915035893","0.850697274902616"
