"ple0098_v5","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"No","1999","college entrance qualification","Couple + C. LE and GT 16","93","0.883940189287588","0.822084187110773","0.945796191464402"
"No","1999","Other degree","1-pers.-HH","62","1","1","1"
"No","1999","Other degree","(Married) couple without C. ","216","0.9274129296452","0.893205679650114","0.961620179640286"
"No","1999","Other degree","Single parent ","29","","",""
"No","1999","Other degree","Couple + C. LE 16 ","220","0.987458459932524","0.972917546651354","1.00199937321369"
"No","1999","Other degree","Couple + C. GT 16 ","210","0.984565997907789","0.967972350618397","1.00115964519718"
"No","1999","Other degree","Couple + C. LE and GT 16","107","1","1","1"
"No","1999","no degree/no degree yet","1-pers.-HH","26","","",""
"No","1999","no degree/no degree yet","(Married) couple without C. ","111","0.970924796313325","0.939946106329265","1.00190348629738"
"No","1999","no degree/no degree yet","Single parent ","51","0.948408529879734","0.889410448513865","1.0074066112456"
"No","1999","no degree/no degree yet","Couple + C. LE 16 ","65","0.923333659400321","0.860096065741772","0.986571253058871"
"No","1999","no degree/no degree yet","Couple + C. GT 16 ","244","0.967529647470817","0.945645810870289","0.989413484071345"
"No","1999","no degree/no degree yet","Couple + C. LE and GT 16","147","0.909926292233239","0.865286550351494","0.954566034114984"
"Yes","2000","lower secondary degree","1-pers.-HH","71","0.0547043871338211","0.0430914622414257","0.0663173120262165"
"Yes","2000","lower secondary degree","(Married) couple without C. ","264","0.0746235642493701","0.0661949117958797","0.0830522167028605"
"Yes","2000","lower secondary degree","Single parent ","23","","",""
"Yes","2000","lower secondary degree","Couple + C. LE 16 ","106","0.0747443035000515","0.0614404431232389","0.0880481638768641"
"Yes","2000","lower secondary degree","Couple + C. GT 16 ","69","0.0558437195080786","0.0433036694184946","0.0683837695976626"
"Yes","2000","lower secondary degree","Couple + C. LE and GT 16","24","","",""
"Yes","2000","secondary school degree","1-pers.-HH","96","0.141420342229996","0.116365023986259","0.166475660473733"
"Yes","2000","secondary school degree","(Married) couple without C. ","236","0.173442478021772","0.154501248040147","0.192383708003397"
"Yes","2000","secondary school degree","Single parent ","33","0.105161044579804","0.0729773969726947","0.137344692186912"
"Yes","2000","secondary school degree","Couple + C. LE 16 ","175","0.108125020111597","0.0935086801605121","0.122741360062681"
"Yes","2000","secondary school degree","Couple + C. GT 16 ","95","0.0964030859151603","0.0790089297390682","0.113797242091252"
"Yes","2000","secondary school degree","Couple + C. LE and GT 16","44","0.0717858961165369","0.0515809375024705","0.0919908547306033"
"Yes","2000","college entrance qualification","1-pers.-HH","86","0.162375188196154","0.132387386848436","0.192362989543873"
"Yes","2000","college entrance qualification","(Married) couple without C. ","169","0.204878598949231","0.17940005570301","0.230357142195451"
"Yes","2000","college entrance qualification","Single parent ","20","","",""
"Yes","2000","college entrance qualification","Couple + C. LE 16 ","133","0.156518844948712","0.132553220557042","0.180484469340382"
"Yes","2000","college entrance qualification","Couple + C. GT 16 ","83","0.15385324549486","0.124207106849867","0.183499384139854"
"Yes","2000","college entrance qualification","Couple + C. LE and GT 16","25","","",""
"Yes","2000","Other degree","1-pers.-HH","1","","",""
"Yes","2000","Other degree","(Married) couple without C. ","11","","",""
"Yes","2000","Other degree","Single parent ","1","","",""
"Yes","2000","Other degree","Couple + C. LE 16 ","13","","",""
"Yes","2000","Other degree","Couple + C. GT 16 ","9","","",""
"Yes","2000","Other degree","Couple + C. LE and GT 16","3","","",""
"Yes","2000","no degree/no degree yet","1-pers.-HH","1","","",""
"Yes","2000","no degree/no degree yet","(Married) couple without C. ","4","","",""
"Yes","2000","no degree/no degree yet","Single parent ","4","","",""
"Yes","2000","no degree/no degree yet","Couple + C. LE 16 ","3","","",""
"Yes","2000","no degree/no degree yet","Couple + C. GT 16 ","16","","",""
"Yes","2000","no degree/no degree yet","Couple + C. LE and GT 16","8","","",""
"No","2000","lower secondary degree","1-pers.-HH","1402","0.945295612866179","0.933682687973783","0.956908537758574"
"No","2000","lower secondary degree","(Married) couple without C. ","3470","0.92537643575063","0.916947783297139","0.93380508820412"
"No","2000","lower secondary degree","Single parent ","419","0.940931614663794","0.918953343039936","0.962909886287651"
"No","2000","lower secondary degree","Couple + C. LE 16 ","1395","0.925255696499949","0.911951836123136","0.938559556876761"
"No","2000","lower secondary degree","Couple + C. GT 16 ","1219","0.944156280491921","0.931616230402338","0.956696330581505"
"No","2000","lower secondary degree","Couple + C. LE and GT 16","484","0.949676241508332","0.930665872096675","0.968686610919989"
"No","2000","secondary school degree","1-pers.-HH","647","0.858579657770004","0.833524339526267","0.883634976013741"
"No","2000","secondary school degree","(Married) couple without C. ","1299","0.826557521978228","0.807616291996603","0.845498751959853"
"No","2000","secondary school degree","Single parent ","316","0.894838955420197","0.862655307813088","0.927022603027305"
"No","2000","secondary school degree","Couple + C. LE 16 ","1559","0.891874979888403","0.877258639937319","0.906491319839488"
"No","2000","secondary school degree","Couple + C. GT 16 ","1011","0.90359691408484","0.886202757908748","0.920991070260932"
"No","2000","secondary school degree","Couple + C. LE and GT 16","583","0.928214103883463","0.908009145269397","0.948419062497529"
"No","2000","college entrance qualification","1-pers.-HH","495","0.837624811803846","0.807637010456127","0.867612613151564"
"No","2000","college entrance qualification","(Married) couple without C. ","795","0.795121401050769","0.769642857804549","0.82059994429699"
"No","2000","college entrance qualification","Single parent ","153","0.883701578102215","0.835930530473508","0.931472625730922"
"No","2000","college entrance qualification","Couple + C. LE 16 ","750","0.843481155051288","0.819515530659618","0.867446779442958"
"No","2000","college entrance qualification","Couple + C. GT 16 ","486","0.84614675450514","0.816500615860146","0.875792893150133"
"No","2000","college entrance qualification","Couple + C. LE and GT 16","197","0.893800830148027","0.853273075655537","0.934328584640516"
"No","2000","Other degree","1-pers.-HH","122","0.993018057034592","0.978302989603065","1.00773312446612"
"No","2000","Other degree","(Married) couple without C. ","309","0.956457615802965","0.934098116744848","0.978817114861082"
"No","2000","Other degree","Single parent ","69","0.986395434317645","0.95925811539515","1.01353275324014"
"No","2000","Other degree","Couple + C. LE 16 ","408","0.968223042150527","0.951467792272906","0.984978292028148"
"No","2000","Other degree","Couple + C. GT 16 ","268","0.952354016388959","0.927268643342047","0.97743938943587"
"No","2000","Other degree","Couple + C. LE and GT 16","170","0.983377253848967","0.964325432294964","1.00242907540297"
"No","2000","no degree/no degree yet","1-pers.-HH","44","0.988802797772868","0.958059430147518","1.01954616539822"
"No","2000","no degree/no degree yet","(Married) couple without C. ","109","0.95583961906358","0.917958937122156","0.993720301005005"
"No","2000","no degree/no degree yet","Single parent ","71","0.963645432072389","0.921285467659182","1.0060053964856"
"No","2000","no degree/no degree yet","Couple + C. LE 16 ","73","0.95668838935073","0.910923890209913","1.00245288849155"
"No","2000","no degree/no degree yet","Couple + C. GT 16 ","248","0.929177939602047","0.898233697417394","0.9601221817867"
"No","2000","no degree/no degree yet","Couple + C. LE and GT 16","191","0.950624379685781","0.920523283658722","0.98072547571284"
"Yes","2001","lower secondary degree","1-pers.-HH","59","0.051120360737299","0.0392165028514345","0.0630242186231636"
"Yes","2001","lower secondary degree","(Married) couple without C. ","220","0.0754021776793581","0.0663398227140044","0.0844645326447119"
"Yes","2001","lower secondary degree","Single parent ","15","","",""
"Yes","2001","lower secondary degree","Couple + C. LE 16 ","122","0.105572463801653","0.089107228429371","0.122037699173936"
"Yes","2001","lower secondary degree","Couple + C. GT 16 ","79","0.0677448975474975","0.053098781590513","0.082391013504482"
"Yes","2001","lower secondary degree","Couple + C. LE and GT 16","19","","",""
"Yes","2001","secondary school degree","1-pers.-HH","96","0.156755172280489","0.129488915396334","0.184021429164644"
"Yes","2001","secondary school degree","(Married) couple without C. ","191","0.157693274341288","0.138927969755027","0.176458578927549"
"Yes","2001","secondary school degree","Single parent ","27","","",""
"Yes","2001","secondary school degree","Couple + C. LE 16 ","163","0.108913725958993","0.0935623949468731","0.124265056971114"
"Yes","2001","secondary school degree","Couple + C. GT 16 ","103","0.111502049185513","0.0920713931147174","0.130932705256309"
"Yes","2001","secondary school degree","Couple + C. LE and GT 16","29","","",""
"Yes","2001","college entrance qualification","1-pers.-HH","72","0.160844044819518","0.129507221918105","0.192180867720931"
"Yes","2001","college entrance qualification","(Married) couple without C. ","149","0.192326465912838","0.167009555648881","0.217643376176795"
"Yes","2001","college entrance qualification","Single parent ","18","","",""
"Yes","2001","college entrance qualification","Couple + C. LE 16 ","151","0.190222745010556","0.163884454431234","0.216561035589877"
"Yes","2001","college entrance qualification","Couple + C. GT 16 ","87","0.173142860424906","0.14131805840581","0.204967662444001"
"Yes","2001","college entrance qualification","Couple + C. LE and GT 16","22","","",""
"Yes","2001","Other degree","1-pers.-HH","2","","",""
"Yes","2001","Other degree","(Married) couple without C. ","8","","",""
"Yes","2001","Other degree","Single parent ","2","","",""
"Yes","2001","Other degree","Couple + C. LE 16 ","8","","",""
"Yes","2001","Other degree","Couple + C. GT 16 ","5","","",""
"Yes","2001","Other degree","Couple + C. LE and GT 16","2","","",""
"Yes","2001","no degree/no degree yet","1-pers.-HH","","","",""
"Yes","2001","no degree/no degree yet","(Married) couple without C. ","3","","",""
"Yes","2001","no degree/no degree yet","Single parent ","2","","",""
"Yes","2001","no degree/no degree yet","Couple + C. LE 16 ","2","","",""
"Yes","2001","no degree/no degree yet","Couple + C. GT 16 ","20","","",""
"Yes","2001","no degree/no degree yet","Couple + C. LE and GT 16","9","","",""
"No","2001","lower secondary degree","1-pers.-HH","1256","0.948879639262701","0.936975781376836","0.960783497148565"
"No","2001","lower secondary degree","(Married) couple without C. ","3041","0.924597822320642","0.915535467355288","0.933660177285996"
"No","2001","lower secondary degree","Single parent ","383","0.968489770817524","0.951327298293096","0.985652243341951"
"No","2001","lower secondary degree","Couple + C. LE 16 ","1216","0.894427536198347","0.877962300826064","0.910892771570629"
"No","2001","lower secondary degree","Couple + C. GT 16 ","1052","0.932255102452502","0.917608986495518","0.946901218409487"
"No","2001","lower secondary degree","Couple + C. LE and GT 16","442","0.961760738668123","0.944254780045687","0.97926669729056"
"No","2001","secondary school degree","1-pers.-HH","587","0.843244827719511","0.815978570835356","0.870511084603666"
"No","2001","secondary school degree","(Married) couple without C. ","1258","0.842306725658712","0.823541421072451","0.861072030244973"
"No","2001","secondary school degree","Single parent ","305","0.914322303359751","0.884215642026471","0.944428964693031"
"No","2001","secondary school degree","Couple + C. LE 16 ","1419","0.891086274041007","0.875734943028886","0.906437605053127"
"No","2001","secondary school degree","Couple + C. GT 16 ","905","0.888497950814487","0.869067294743691","0.907928606885283"
"No","2001","secondary school degree","Couple + C. LE and GT 16","536","0.943695246912068","0.924688303571503","0.962702190252632"
"No","2001","college entrance qualification","1-pers.-HH","456","0.839155955180482","0.807819132279069","0.870492778081896"
"No","2001","college entrance qualification","(Married) couple without C. ","782","0.807673534087162","0.782356623823205","0.832990444351119"
"No","2001","college entrance qualification","Single parent ","129","0.900119554709498","0.851648802790754","0.948590306628241"
"No","2001","college entrance qualification","Couple + C. LE 16 ","702","0.809777254989444","0.783438964410123","0.836115545568766"
"No","2001","college entrance qualification","Couple + C. GT 16 ","456","0.826857139575094","0.795032337555999","0.85868194159419"
"No","2001","college entrance qualification","Couple + C. LE and GT 16","168","0.910561825864066","0.869984121621108","0.951139530107024"
"No","2001","Other degree","1-pers.-HH","90","0.985841061222782","0.961699075943228","1.00998304650234"
"No","2001","Other degree","(Married) couple without C. ","327","0.962816052062709","0.942554388594289","0.98307771553113"
"No","2001","Other degree","Single parent ","68","0.98289731317003","0.952524479164009","1.01327014717605"
"No","2001","Other degree","Couple + C. LE 16 ","342","0.979752266836141","0.964996546627524","0.994507987044759"
"No","2001","Other degree","Couple + C. GT 16 ","233","0.97645510460969","0.957191651719666","0.995718557499714"
"No","2001","Other degree","Couple + C. LE and GT 16","142","0.992418387296986","0.978250827847103","1.00658594674687"
"No","2001","no degree/no degree yet","1-pers.-HH","34","1","1","1"
"No","2001","no degree/no degree yet","(Married) couple without C. ","93","0.953953979043973","0.912029059309033","0.995878898778912"
"No","2001","no degree/no degree yet","Single parent ","72","0.96908742353463","0.92965247197237","1.00852237509689"
"No","2001","no degree/no degree yet","Couple + C. LE 16 ","48","0.918607672180226","0.842816284671177","0.994399059689274"
"No","2001","no degree/no degree yet","Couple + C. GT 16 ","238","0.898807749842088","0.862007965902231","0.935607533781945"
"No","2001","no degree/no degree yet","Couple + C. LE and GT 16","198","0.965062940736691","0.940048896652423","0.990076984820959"
"Yes","2002","lower secondary degree","1-pers.-HH","62","0.0570099688779972","0.0442379312035135","0.069782006552481"
"Yes","2002","lower secondary degree","(Married) couple without C. ","258","0.083907187623067","0.0742466972102369","0.0935676780358971"
"Yes","2002","lower secondary degree","Single parent ","17","","",""
"Yes","2002","lower secondary degree","Couple + C. LE 16 ","110","0.0968896349286486","0.0801250975169846","0.113654172340313"
"Yes","2002","lower secondary degree","Couple + C. GT 16 ","93","0.0668321452118906","0.0519862666142408","0.0816780238095404"
"Yes","2002","lower secondary degree","Couple + C. LE and GT 16","32","0.0718350073882805","0.0480041052864052","0.0956659094901558"
"Yes","2002","secondary school degree","1-pers.-HH","98","0.166610250516624","0.138826939331039","0.194393561702209"
"Yes","2002","secondary school degree","(Married) couple without C. ","263","0.165189237543208","0.146808626037685","0.183569849048732"
"Yes","2002","secondary school degree","Single parent ","31","0.08750133323766","0.0583527168624132","0.116649949612907"
"Yes","2002","secondary school degree","Couple + C. LE 16 ","193","0.124755404066882","0.107988299143925","0.14152250898984"
"Yes","2002","secondary school degree","Couple + C. GT 16 ","125","0.100499481532037","0.0825595827533105","0.118439380310763"
"Yes","2002","secondary school degree","Couple + C. LE and GT 16","56","0.0912514679222001","0.0672505795921074","0.115252356252293"
"Yes","2002","college entrance qualification","1-pers.-HH","76","0.146532917705333","0.117217021638656","0.175848813772011"
"Yes","2002","college entrance qualification","(Married) couple without C. ","246","0.204122104863292","0.179846595498488","0.228397614228097"
"Yes","2002","college entrance qualification","Single parent ","24","","",""
"Yes","2002","college entrance qualification","Couple + C. LE 16 ","193","0.212450869198332","0.186175953280717","0.238725785115948"
"Yes","2002","college entrance qualification","Couple + C. GT 16 ","128","0.170941800111766","0.142415090699885","0.199468509523648"
"Yes","2002","college entrance qualification","Couple + C. LE and GT 16","40","0.14046115668779","0.0976458849742127","0.183276428401368"
"Yes","2002","Other degree","1-pers.-HH","2","","",""
"Yes","2002","Other degree","(Married) couple without C. ","20","","",""
"Yes","2002","Other degree","Single parent ","1","","",""
"Yes","2002","Other degree","Couple + C. LE 16 ","15","","",""
"Yes","2002","Other degree","Couple + C. GT 16 ","7","","",""
"Yes","2002","Other degree","Couple + C. LE and GT 16","2","","",""
"Yes","2002","no degree/no degree yet","1-pers.-HH","","","",""
"Yes","2002","no degree/no degree yet","(Married) couple without C. ","4","","",""
"Yes","2002","no degree/no degree yet","Single parent ","","","",""
"Yes","2002","no degree/no degree yet","Couple + C. LE 16 ","","","",""
"Yes","2002","no degree/no degree yet","Couple + C. GT 16 ","28","","",""
"Yes","2002","no degree/no degree yet","Couple + C. LE and GT 16","12","","",""
"No","2002","lower secondary degree","1-pers.-HH","1204","0.942990031122003","0.930217993447519","0.955762068796487"
"No","2002","lower secondary degree","(Married) couple without C. ","2906","0.916092812376933","0.906432321964103","0.925753302789763"
"No","2002","lower secondary degree","Single parent ","354","0.950003871813051","0.927827422595887","0.972180321030216"
"No","2002","lower secondary degree","Couple + C. LE 16 ","1086","0.903110365071351","0.886345827659687","0.919874902483016"
"No","2002","lower secondary degree","Couple + C. GT 16 ","994","0.933167854788109","0.91832197619046","0.948013733385759"
"No","2002","lower secondary degree","Couple + C. LE and GT 16","419","0.928164992611719","0.904334090509844","0.951995894713595"
"No","2002","secondary school degree","1-pers.-HH","593","0.833389749483376","0.805606438297791","0.861173060668961"
"No","2002","secondary school degree","(Married) couple without C. ","1305","0.834810762456791","0.816430150951268","0.853191373962315"
"No","2002","secondary school degree","Single parent ","330","0.91249866676234","0.883350050387093","0.941647283137587"
"No","2002","secondary school degree","Couple + C. LE 16 ","1299","0.875244595933118","0.85847749101016","0.892011700856075"
"No","2002","secondary school degree","Couple + C. GT 16 ","954","0.899500518467964","0.881560619689237","0.91744041724669"
"No","2002","secondary school degree","Couple + C. LE and GT 16","497","0.9087485320778","0.884747643747707","0.932749420407893"
"No","2002","college entrance qualification","1-pers.-HH","483","0.853467082294667","0.824151186227989","0.882782978361344"
"No","2002","college entrance qualification","(Married) couple without C. ","813","0.795877895136708","0.771602385771903","0.820153404501512"
"No","2002","college entrance qualification","Single parent ","116","0.86047679752218","0.803081425750325","0.917872169294036"
"No","2002","college entrance qualification","Couple + C. LE 16 ","738","0.787549130801668","0.761274214884052","0.813824046719283"
"No","2002","college entrance qualification","Couple + C. GT 16 ","541","0.829058199888234","0.800531490476352","0.857584909300115"
"No","2002","college entrance qualification","Couple + C. LE and GT 16","213","0.85953884331221","0.816723571598632","0.902354115025787"
"No","2002","Other degree","1-pers.-HH","93","0.98081042380745","0.953222976515138","1.00839787109976"
"No","2002","Other degree","(Married) couple without C. ","335","0.942752901513468","0.91858663319047","0.966919169836466"
"No","2002","Other degree","Single parent ","65","0.979704659622554","0.945685633263213","1.0137236859819"
"No","2002","Other degree","Couple + C. LE 16 ","289","0.959341782251144","0.937140802137986","0.981542762364303"
"No","2002","Other degree","Couple + C. GT 16 ","220","0.969350206936429","0.946927435530557","0.991772978342301"
"No","2002","Other degree","Couple + C. LE and GT 16","125","0.992838507425865","0.9781733303925","1.00750368445923"
"No","2002","no degree/no degree yet","1-pers.-HH","32","1","1","1"
"No","2002","no degree/no degree yet","(Married) couple without C. ","95","0.954505380965768","0.913456653283692","0.995554108647845"
"No","2002","no degree/no degree yet","Single parent ","66","1","1","1"
"No","2002","no degree/no degree yet","Couple + C. LE 16 ","45","1","1","1"
"No","2002","no degree/no degree yet","Couple + C. GT 16 ","239","0.91848836704094","0.885668328459148","0.951308405622731"
"No","2002","no degree/no degree yet","Couple + C. LE and GT 16","215","0.966892946492058","0.943618217982185","0.990167675001931"
"Yes","2003","lower secondary degree","1-pers.-HH","60","0.0567561703638703","0.0438099099701107","0.0697024307576298"
"Yes","2003","lower secondary degree","(Married) couple without C. ","260","0.0804404142179589","0.0708338003755235","0.0900470280603942"
"Yes","2003","lower secondary degree","Single parent ","19","","",""
"Yes","2003","lower secondary degree","Couple + C. LE 16 ","105","0.0969082530632587","0.0791576872787011","0.114658818847816"
"Yes","2003","lower secondary degree","Couple + C. GT 16 ","93","0.0788430734892667","0.0624406773396171","0.0952454696389163"
"Yes","2003","lower secondary degree","Couple + C. LE and GT 16","36","0.104927051857992","0.0757569387008476","0.134097165015136"
"Yes","2003","secondary school degree","1-pers.-HH","90","0.152907171363208","0.125796942343601","0.180017400382816"
"Yes","2003","secondary school degree","(Married) couple without C. ","268","0.166588386172023","0.1481279033871","0.185048868956945"
"Yes","2003","secondary school degree","Single parent ","28","","",""
"Yes","2003","secondary school degree","Couple + C. LE 16 ","177","0.13528715239977","0.117293571883419","0.15328073291612"
"Yes","2003","secondary school degree","Couple + C. GT 16 ","123","0.127413253808173","0.107425184448183","0.147401323168162"
"Yes","2003","secondary school degree","Couple + C. LE and GT 16","47","0.0869329325659167","0.062529179879899","0.111336685251934"
"Yes","2003","college entrance qualification","1-pers.-HH","87","0.154155924162067","0.123755915083732","0.184555933240402"
"Yes","2003","college entrance qualification","(Married) couple without C. ","235","0.198295575375362","0.17465806882643","0.221933081924293"
"Yes","2003","college entrance qualification","Single parent ","18","","",""
"Yes","2003","college entrance qualification","Couple + C. LE 16 ","193","0.221516285524431","0.194016859196773","0.249015711852089"
"Yes","2003","college entrance qualification","Couple + C. GT 16 ","135","0.215878134014679","0.184273285950778","0.24748298207858"
"Yes","2003","college entrance qualification","Couple + C. LE and GT 16","37","0.11245344017415","0.0724843359018354","0.152422544446465"
"Yes","2003","Other degree","1-pers.-HH","","","",""
"Yes","2003","Other degree","(Married) couple without C. ","12","","",""
"Yes","2003","Other degree","Single parent ","4","","",""
"Yes","2003","Other degree","Couple + C. LE 16 ","6","","",""
"Yes","2003","Other degree","Couple + C. GT 16 ","10","","",""
"Yes","2003","Other degree","Couple + C. LE and GT 16","2","","",""
"Yes","2003","no degree/no degree yet","1-pers.-HH","","","",""
"Yes","2003","no degree/no degree yet","(Married) couple without C. ","4","","",""
"Yes","2003","no degree/no degree yet","Single parent ","3","","",""
"Yes","2003","no degree/no degree yet","Couple + C. LE 16 ","1","","",""
"Yes","2003","no degree/no degree yet","Couple + C. GT 16 ","32","0.0913327506269092","0.0579454905060098","0.124720010747809"
"Yes","2003","no degree/no degree yet","Couple + C. LE and GT 16","7","","",""
"No","2003","lower secondary degree","1-pers.-HH","1167","0.94324382963613","0.93029756924237","0.956190090029889"
"No","2003","lower secondary degree","(Married) couple without C. ","2819","0.919559585782041","0.909952971939606","0.929166199624477"
"No","2003","lower secondary degree","Single parent ","343","0.944345660547449","0.920729525885814","0.967961795209085"
"No","2003","lower secondary degree","Couple + C. LE 16 ","962","0.903091746936741","0.885341181152184","0.920842312721299"
"No","2003","lower secondary degree","Couple + C. GT 16 ","944","0.921156926510733","0.904754530361084","0.937559322660383"
"No","2003","lower secondary degree","Couple + C. LE and GT 16","388","0.895072948142008","0.865902834984864","0.924243061299152"
"No","2003","secondary school degree","1-pers.-HH","587","0.847092828636792","0.819982599617184","0.874203057656399"
"No","2003","secondary school degree","(Married) couple without C. ","1297","0.833411613827977","0.814951131043055","0.8518720966129"
"No","2003","secondary school degree","Single parent ","322","0.927258833289671","0.900050327660622","0.954467338918719"
"No","2003","secondary school degree","Couple + C. LE 16 ","1211","0.86471284760023","0.84671926708388","0.882706428116581"
"No","2003","secondary school degree","Couple + C. GT 16 ","946","0.872586746191827","0.852598676831838","0.892574815551817"
"No","2003","secondary school degree","Couple + C. LE and GT 16","465","0.913067067434083","0.888663314748066","0.937470820120101"
"No","2003","college entrance qualification","1-pers.-HH","455","0.845844075837933","0.815444066759598","0.876244084916268"
"No","2003","college entrance qualification","(Married) couple without C. ","858","0.801704424624638","0.778066918075707","0.82534193117357"
"No","2003","college entrance qualification","Single parent ","116","0.883221302369726","0.828844674299944","0.937597930439508"
"No","2003","college entrance qualification","Couple + C. LE 16 ","683","0.778483714475569","0.750984288147911","0.805983140803227"
"No","2003","college entrance qualification","Couple + C. GT 16 ","516","0.784121865985321","0.75251701792142","0.815726714049222"
"No","2003","college entrance qualification","Couple + C. LE and GT 16","203","0.88754655982585","0.847577455553535","0.927515664098165"
"No","2003","Other degree","1-pers.-HH","91","1","1","1"
"No","2003","Other degree","(Married) couple without C. ","325","0.975080873152712","0.958438323176907","0.991723423128516"
"No","2003","Other degree","Single parent ","61","0.952509365229045","0.900804664687844","1.00421406577025"
"No","2003","Other degree","Couple + C. LE 16 ","264","0.980230921165751","0.963626504433122","0.996835337898379"
"No","2003","Other degree","Couple + C. GT 16 ","214","0.932276381937789","0.89937103313468","0.965181730740897"
"No","2003","Other degree","Couple + C. LE and GT 16","124","0.99535414490495","0.98348048888935","1.00722780092055"
"No","2003","no degree/no degree yet","1-pers.-HH","34","1","1","1"
"No","2003","no degree/no degree yet","(Married) couple without C. ","82","0.950412431887628","0.904530539217527","0.996294324557728"
"No","2003","no degree/no degree yet","Single parent ","73","0.956872738638221","0.911201338477771","1.00254413879867"
"No","2003","no degree/no degree yet","Couple + C. LE 16 ","43","0.97839268206184","0.935431246809693","1.02135411731399"
