"ple0098_v5","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"No","2007","direct migration background","West Germany","1767","0.929912267687598","0.918442075632159","0.941382459743037"
"No","2007","direct migration background","East Germany","83","0.941422394452559","0.892906403494896","0.989938385410222"
"No","2007","indirect migration background","West Germany","595","0.873026922517515","0.847872740441047","0.898181104593982"
"No","2007","indirect migration background","East Germany","33","0.972056784711591","0.918952295572358","1.02516127385082"
"Yes","2008","no migration background","West Germany","2390","0.23202674265992","0.223643956465297","0.240409528854542"
"Yes","2008","no migration background","East Germany","546","0.116780386169091","0.107192369907544","0.126368402430637"
"Yes","2008","direct migration background","West Germany","151","0.101505050067499","0.0872578559876863","0.115752244147311"
"Yes","2008","direct migration background","East Germany","7","","",""
"Yes","2008","indirect migration background","West Germany","98","0.156069125392682","0.128629676119572","0.183508574665792"
"Yes","2008","indirect migration background","East Germany","6","","",""
"No","2008","no migration background","West Germany","7351","0.76797325734008","0.759590471145458","0.776356043534703"
"No","2008","no migration background","East Germany","3764","0.883219613830909","0.873631597569363","0.892807630092456"
"No","2008","direct migration background","West Germany","1575","0.898494949932501","0.884247755852689","0.912742144012314"
"No","2008","direct migration background","East Germany","73","0.938619858818764","0.886022745641238","0.99121697199629"
"No","2008","indirect migration background","West Germany","574","0.843930874607318","0.816491425334208","0.871370323880428"
"No","2008","indirect migration background","East Germany","33","0.892493794957357","0.795278375139192","0.989709214775523"
"Yes","2009","no migration background","West Germany","","","",""
"Yes","2009","no migration background","East Germany","","","",""
"Yes","2009","direct migration background","West Germany","","","",""
"Yes","2009","direct migration background","East Germany","","","",""
"Yes","2009","indirect migration background","West Germany","","","",""
"Yes","2009","indirect migration background","East Germany","","","",""
"No","2009","no migration background","West Germany","","","",""
"No","2009","no migration background","East Germany","","","",""
"No","2009","direct migration background","West Germany","","","",""
"No","2009","direct migration background","East Germany","","","",""
"No","2009","indirect migration background","West Germany","","","",""
"No","2009","indirect migration background","East Germany","","","",""
"Yes","2010","no migration background","West Germany","3152","0.248610639832996","0.240910264522111","0.256311015143882"
"Yes","2010","no migration background","East Germany","659","0.128448842310539","0.119050749209464","0.137846935411614"
"Yes","2010","direct migration background","West Germany","244","0.106560235548593","0.0947408882335025","0.118379582863683"
"Yes","2010","direct migration background","East Germany","7","","",""
"Yes","2010","indirect migration background","West Germany","157","0.166640313963608","0.143403536431804","0.189877091495412"
"Yes","2010","indirect migration background","East Germany","5","","",""
"No","2010","no migration background","West Germany","8950","0.751389360167004","0.743688984856118","0.759089735477889"
"No","2010","no migration background","East Germany","4210","0.871551157689461","0.862153064588386","0.880949250790536"
"No","2010","direct migration background","West Germany","2374","0.893439764451407","0.881620417136317","0.905259111766497"
"No","2010","direct migration background","East Germany","115","0.926492644309526","0.880184800104173","0.972800488514879"
"No","2010","indirect migration background","West Germany","831","0.833359686036392","0.810122908504588","0.856596463568196"
"No","2010","indirect migration background","East Germany","63","0.97203224101671","0.932843365330193","1.01122111670323"
"Yes","2011","no migration background","West Germany","2895","0.257584412495614","0.249308564128667","0.265860260862561"
"Yes","2011","no migration background","East Germany","656","0.143238471530631","0.132885135828683","0.15359180723258"
"Yes","2011","direct migration background","West Germany","186","0.0982866702812634","0.0845299766491913","0.112043363913336"
"Yes","2011","direct migration background","East Germany","10","","",""
"Yes","2011","indirect migration background","West Germany","111","0.16704686965897","0.139133293083974","0.194960446233966"
"Yes","2011","indirect migration background","East Germany","7","","",""
"No","2011","no migration background","West Germany","7831","0.742415587504386","0.734139739137439","0.750691435871333"
"No","2011","no migration background","East Germany","3742","0.856761528469368","0.84640819276742","0.867114864171317"
"No","2011","direct migration background","West Germany","1613","0.901713329718737","0.887956636086665","0.915470023350809"
"No","2011","direct migration background","East Germany","81","0.902908259498348","0.842075103087179","0.963741415909516"
"No","2011","indirect migration background","West Germany","575","0.83295313034103","0.805039553766034","0.860866706916026"
"No","2011","indirect migration background","East Germany","31","0.86225533378928","0.752680295025686","0.971830372552874"
"Yes","2012","no migration background","West Germany","4036","0.267560046833455","0.260329627425643","0.274790466241267"
"Yes","2012","no migration background","East Germany","848","0.148222755347003","0.1388331416202","0.157612369073806"
"Yes","2012","direct migration background","West Germany","263","0.0914869360241511","0.0807195259628412","0.102254346085461"
"Yes","2012","direct migration background","East Germany","12","","",""
"Yes","2012","indirect migration background","West Germany","193","0.198942374122277","0.175340593321521","0.222544154923034"
"Yes","2012","indirect migration background","East Germany","7","","",""
"No","2012","no migration background","West Germany","10364","0.732439953166545","0.725209533758733","0.739670372574357"
"No","2012","no migration background","East Germany","4653","0.851777244652997","0.842387630926194","0.8611668583798"
"No","2012","direct migration background","West Germany","2491","0.908513063975849","0.897745653914539","0.919280474037159"
"No","2012","direct migration background","East Germany","136","0.926617782461769","0.884606787782699","0.968628777140838"
"No","2012","indirect migration background","West Germany","906","0.801057625877723","0.777455845076966","0.82465940667848"
"No","2012","indirect migration background","East Germany","64","0.88912853729272","0.816096892802654","0.962160181782787"
"Yes","2013","no migration background","West Germany","2980","0.283634974690532","0.27475165956777","0.292518289813293"
"Yes","2013","no migration background","East Germany","693","0.159738719379429","0.148416297499713","0.171061141259145"
"Yes","2013","direct migration background","West Germany","183","0.115456578091762","0.0994016012219806","0.131511554961544"
"Yes","2013","direct migration background","East Germany","9","","",""
"Yes","2013","indirect migration background","West Germany","127","0.26217406331706","0.227185543757038","0.297162582877082"
"Yes","2013","indirect migration background","East Germany","4","","",""
"No","2013","no migration background","West Germany","6911","0.716365025309468","0.707481710186707","0.72524834043223"
"No","2013","no migration background","East Germany","3329","0.840261280620571","0.828938858740855","0.851583702500287"
"No","2013","direct migration background","West Germany","1339","0.884543421908238","0.868488445038456","0.900598398778019"
"No","2013","direct migration background","East Germany","70","0.887317731092944","0.817590580682365","0.957044881503524"
"No","2013","indirect migration background","West Germany","480","0.73782593668294","0.702837417122917","0.772814456242962"
"No","2013","indirect migration background","East Germany","36","0.953119516972603","0.887612501151358","1.01862653279385"
"Yes","2014","no migration background","West Germany","3889","0.29694239799319","0.288912281718658","0.304972514267723"
"Yes","2014","no migration background","East Germany","829","0.171361957060184","0.160668243617964","0.182055670502404"
"Yes","2014","direct migration background","West Germany","397","0.0940762866863298","0.0856472537046231","0.102505319668036"
"Yes","2014","direct migration background","East Germany","21","","",""
"Yes","2014","indirect migration background","West Germany","238","0.177133339529412","0.158355841261975","0.195910837796849"
"Yes","2014","indirect migration background","East Germany","6","","",""
"No","2014","no migration background","West Germany","8548","0.70305760200681","0.695027485732277","0.711087718281342"
"No","2014","no migration background","East Germany","3941","0.828638042939816","0.817944329497596","0.839331756382036"
"No","2014","direct migration background","West Germany","4211","0.90592371331367","0.897494680331964","0.914352746295377"
"No","2014","direct migration background","East Germany","319","0.896347662474671","0.863948302739794","0.928747022209549"
"No","2014","indirect migration background","West Germany","1350","0.822866660470588","0.804089162203152","0.841644158738025"
"No","2014","indirect migration background","East Germany","85","0.964015512791255","0.925748279390415","1.0022827461921"
"Yes","2015","no migration background","West Germany","","","",""
"Yes","2015","no migration background","East Germany","","","",""
"Yes","2015","direct migration background","West Germany","","","",""
"Yes","2015","direct migration background","East Germany","","","",""
"Yes","2015","indirect migration background","West Germany","","","",""
"Yes","2015","indirect migration background","East Germany","","","",""
"No","2015","no migration background","West Germany","","","",""
"No","2015","no migration background","East Germany","","","",""
"No","2015","direct migration background","West Germany","","","",""
"No","2015","direct migration background","East Germany","","","",""
"No","2015","indirect migration background","West Germany","","","",""
"No","2015","indirect migration background","East Germany","","","",""
"Yes","2016","no migration background","West Germany","3115","0.269339004113856","0.261047781692886","0.277630226534825"
"Yes","2016","no migration background","East Germany","666","0.143301413434756","0.132757495401416","0.153845331468095"
"Yes","2016","direct migration background","West Germany","349","0.0967305142642317","0.0879027429717209","0.105558285556742"
"Yes","2016","direct migration background","East Germany","21","","",""
"Yes","2016","indirect migration background","West Germany","201","0.168262664791303","0.14825496951636","0.188270360066246"
"Yes","2016","indirect migration background","East Germany","4","","",""
"No","2016","no migration background","West Germany","7882","0.730660995886145","0.722369773465175","0.738952218307114"
"No","2016","no migration background","East Germany","3576","0.856698586565244","0.846154668531905","0.867242504598584"
"No","2016","direct migration background","West Germany","3958","0.903269485735768","0.894441714443257","0.912097257028279"
"No","2016","direct migration background","East Germany","324","0.936719761483146","0.911028972711025","0.962410550255267"
"No","2016","indirect migration background","West Germany","1142","0.831737335208697","0.811729639933754","0.85174503048364"
"No","2016","indirect migration background","East Germany","97","0.977034537088132","0.947821281124321","1.00624779305194"
"Yes","2017","no migration background","West Germany","","","",""
"Yes","2017","no migration background","East Germany","","","",""
"Yes","2017","direct migration background","West Germany","","","",""
"Yes","2017","direct migration background","East Germany","","","",""
"Yes","2017","indirect migration background","West Germany","","","",""
"Yes","2017","indirect migration background","East Germany","","","",""
"No","2017","no migration background","West Germany","","","",""
"No","2017","no migration background","East Germany","","","",""
"No","2017","direct migration background","West Germany","","","",""
"No","2017","direct migration background","East Germany","","","",""
"No","2017","indirect migration background","West Germany","","","",""
"No","2017","indirect migration background","East Germany","","","",""
"Yes","2018","no migration background","West Germany","3354","0.272309194061832","0.26437564146696","0.280242746656705"
"Yes","2018","no migration background","East Germany","844","0.171288808409589","0.160504952639627","0.182072664179551"
"Yes","2018","direct migration background","West Germany","352","0.110009908483695","0.1002134535092","0.119806363458191"
"Yes","2018","direct migration background","East Germany","21","","",""
"Yes","2018","indirect migration background","West Germany","217","0.172355498504617","0.153080845453809","0.191630151555426"
"Yes","2018","indirect migration background","East Germany","10","","",""
"No","2018","no migration background","West Germany","8740","0.727690805938168","0.719757253343295","0.73562435853304"
"No","2018","no migration background","East Germany","3845","0.828711191590411","0.817927335820449","0.839495047360373"
"No","2018","direct migration background","West Germany","3567","0.889990091516305","0.880193636541809","0.8997865464908"
"No","2018","direct migration background","East Germany","317","0.94289019718994","0.91815156796941","0.96762882641047"
"No","2018","indirect migration background","West Germany","1258","0.827644501495383","0.808369848444574","0.846919154546191"
"No","2018","indirect migration background","East Germany","101","0.920289546206761","0.869903940146064","0.970675152267458"
