"ple0098_v5","year","pgisced97","n","percent","lower_confidence","upper_confidence"
"No","2002","vocational + Abi","887","0.870286750950637","0.849886402460531","0.890687099440742"
"No","2002","higher vocational","1292","0.869212243292028","0.852080834110936","0.88634365247312"
"No","2002","higher education","2344","0.822842145832645","0.808917377894048","0.836766913771243"
"Yes","2003","in school","42","0.0700362588246029","0.0475312548462257","0.0925412628029802"
"Yes","2003","inadequately","3","","",""
"Yes","2003","general elemantary","102","0.0364424193557999","0.0293346242950714","0.0435502144165285"
"Yes","2003","middle vocational","1103","0.106312025146584","0.100292929140841","0.112331121152327"
"Yes","2003","vocational + Abi","168","0.146046434847434","0.12443731796629","0.167655551728578"
"Yes","2003","higher vocational","181","0.126649108937064","0.10945957502425","0.143838642849877"
"Yes","2003","higher education","536","0.190892263263799","0.176283177670653","0.205501348856944"
"No","2003","in school","452","0.929963741175397","0.90745873719702","0.952468745153774"
"No","2003","inadequately","257","0.989215577856687","0.976660907034166","1.00177024867921"
"No","2003","general elemantary","2568","0.9635575806442","0.956449785583471","0.970665375704929"
"No","2003","middle vocational","8971","0.893687974853416","0.887668878847673","0.899707070859159"
"No","2003","vocational + Abi","858","0.853953565152566","0.832344448271422","0.87556268203371"
"No","2003","higher vocational","1257","0.873350891062936","0.856161357150123","0.89054042497575"
"No","2003","higher education","2244","0.809107736736201","0.794498651143056","0.823716822329347"
"Yes","2004","in school","46","0.0832777841713548","0.0589618638620173","0.107593704480692"
"Yes","2004","inadequately","","","",""
"Yes","2004","general elemantary","117","0.0463133202991916","0.0380915176606675","0.0545351229377156"
"Yes","2004","middle vocational","1118","0.110957115370911","0.104735607152723","0.117178623589099"
"Yes","2004","vocational + Abi","180","0.149812555460038","0.12796425760079","0.171660853319287"
"Yes","2004","higher vocational","209","0.1497881486223","0.13110150397009","0.168474793274509"
"Yes","2004","higher education","565","0.202343987481845","0.187279279515893","0.217408695447797"
"No","2004","in school","450","0.916722215828645","0.892406295519308","0.941038136137983"
"No","2004","inadequately","249","1","1","1"
"No","2004","general elemantary","2393","0.953686679700808","0.945464877062284","0.961908482339333"
"No","2004","middle vocational","8672","0.889042884629089","0.882821376410901","0.895264392847277"
"No","2004","vocational + Abi","845","0.850187444539961","0.828339146680713","0.87203574239921"
"No","2004","higher vocational","1192","0.8502118513777","0.831525206725491","0.86889849602991"
"No","2004","higher education","2167","0.797656012518155","0.782591304552203","0.812720720484107"
"Yes","2005","in school","38","0.0830786338593993","0.0590777655240508","0.107079502194748"
"Yes","2005","inadequately","1","","",""
"Yes","2005","general elemantary","104","0.0488120752736873","0.0400591463205116","0.0575650042268629"
"Yes","2005","middle vocational","1197","0.128015682409858","0.121214347685968","0.134817017133747"
"Yes","2005","vocational + Abi","206","0.17856179458504","0.154918959926725","0.202204629243354"
"Yes","2005","higher vocational","204","0.161899828357779","0.141960161220803","0.181839495494755"
"Yes","2005","higher education","558","0.202607200600334","0.187346900400177","0.217867500800492"
"No","2005","in school","470","0.916921366140601","0.892920497805252","0.940922234475949"
"No","2005","inadequately","235","0.991138412478962","0.979181611263198","1.00309521369473"
"No","2005","general elemantary","2224","0.951187924726313","0.942434995773137","0.959940853679488"
"No","2005","middle vocational","8073","0.871984317590142","0.865182982866253","0.878785652314032"
"No","2005","vocational + Abi","802","0.82143820541496","0.797795370756646","0.845081040073275"
"No","2005","higher vocational","1107","0.838100171642221","0.818160504505245","0.858039838779197"
"No","2005","higher education","2107","0.797392799399666","0.782132499199509","0.812653099599823"
"Yes","2006","in school","23","","",""
"Yes","2006","inadequately","4","","",""
"Yes","2006","general elemantary","126","0.0498106871628115","0.041105075221239","0.058516299104384"
"Yes","2006","middle vocational","1490","0.139460388465987","0.13268342157766","0.146237355354313"
"Yes","2006","vocational + Abi","269","0.227734367907464","0.202861010301458","0.252607725513471"
"Yes","2006","higher vocational","236","0.166583064964649","0.147023315448051","0.186142814481247"
"Yes","2006","higher education","705","0.238174763687958","0.222769410243087","0.253580117132829"
"No","2006","in school","263","0.881069891817003","0.843553923384871","0.918585860249135"
"No","2006","inadequately","233","0.967812469300899","0.945341937286144","0.990283001315654"
"No","2006","general elemantary","2273","0.950189312837189","0.941483700895616","0.958894924778761"
"No","2006","middle vocational","8548","0.860539611534013","0.853762644645687","0.86731657842234"
"No","2006","vocational + Abi","823","0.772265632092536","0.747392274486529","0.797138989698543"
"No","2006","higher vocational","1158","0.833416935035351","0.813857185518753","0.852976684551949"
"No","2006","higher education","2232","0.761825236312042","0.746419882867171","0.777230589756913"
"Yes","2007","in school","21","","",""
"Yes","2007","inadequately","4","","",""
"Yes","2007","general elemantary","124","0.0543393800556149","0.0446784731561773","0.0640002869550526"
"Yes","2007","middle vocational","1497","0.152586172570469","0.145304519007299","0.15986782613364"
"Yes","2007","vocational + Abi","270","0.256672944083746","0.230138942992963","0.28320694517453"
"Yes","2007","higher vocational","257","0.205175073079464","0.183146670355256","0.227203475803672"
"Yes","2007","higher education","736","0.254567103377006","0.238509134769517","0.270625071984495"
"No","2007","in school","240","0.924547331184956","0.892504586095621","0.956590076274292"
"No","2007","inadequately","209","0.980893155910817","0.962508156455052","0.999278155366582"
"No","2007","general elemantary","1991","0.945660619944385","0.935999713044947","0.955321526843823"
"No","2007","middle vocational","7871","0.847413827429531","0.84013217386636","0.854695480992701"
"No","2007","vocational + Abi","771","0.743327055916254","0.71679305482547","0.769861057007038"
"No","2007","higher vocational","1034","0.794824926920536","0.772796524196328","0.816853329644744"
"No","2007","higher education","2091","0.745432896622994","0.729374928015506","0.761490865230483"
"Yes","2008","in school","28","","",""
"Yes","2008","inadequately","4","","",""
"Yes","2008","general elemantary","153","0.0798737413512225","0.0678811325443104","0.0918663501581347"
"Yes","2008","middle vocational","1636","0.181091565284016","0.173093710229968","0.189089420338063"
"Yes","2008","vocational + Abi","289","0.280661414326631","0.252644025857895","0.308678802795367"
"Yes","2008","higher vocational","255","0.224774422327679","0.201116859999578","0.248431984655779"
"Yes","2008","higher education","806","0.304608521390219","0.2873975862557","0.321819456524737"
"No","2008","in school","250","0.894451931210383","0.858333461479154","0.930570400941613"
"No","2008","inadequately","178","0.965906093816659","0.939541673250078","0.992270514383241"
"No","2008","general elemantary","1810","0.920126258648777","0.908133649841865","0.93211886745569"
"No","2008","middle vocational","7270","0.818908434715985","0.810910579661937","0.826906289770032"
"No","2008","vocational + Abi","699","0.719338585673369","0.691321197204633","0.747355974142105"
"No","2008","higher vocational","941","0.775225577672321","0.751568015344221","0.798883140000422"
"No","2008","higher education","1941","0.695391478609781","0.678180543475263","0.7126024137443"
"Yes","2009","in school","","","",""
"Yes","2009","inadequately","","","",""
"Yes","2009","general elemantary","","","",""
"Yes","2009","middle vocational","","","",""
"Yes","2009","vocational + Abi","","","",""
"Yes","2009","higher vocational","","","",""
"Yes","2009","higher education","","","",""
"No","2009","in school","","","",""
"No","2009","inadequately","","","",""
"No","2009","general elemantary","","","",""
"No","2009","middle vocational","","","",""
"No","2009","vocational + Abi","","","",""
"No","2009","higher vocational","","","",""
"No","2009","higher education","","","",""
"Yes","2010","in school","46","0.102600769436682","0.0700588614410314","0.135142677432333"
"Yes","2010","inadequately","9","","",""
"Yes","2010","general elemantary","184","0.0854401093291101","0.0742658735076231","0.096614345150597"
"Yes","2010","middle vocational","2060","0.188344832512828","0.180986559038487","0.195703105987168"
"Yes","2010","vocational + Abi","464","0.317868782755976","0.294872072471408","0.340865493040545"
"Yes","2010","higher vocational","344","0.239575970084621","0.217007388311323","0.262144551857919"
"Yes","2010","higher education","1093","0.327053301576379","0.31172205479707","0.342384548355689"
"No","2010","in school","288","0.897399230563318","0.864857322567667","0.929941138558969"
"No","2010","inadequately","328","0.966456058841252","0.947232612892229","0.985679504790275"
"No","2010","general elemantary","2220","0.91455989067089","0.903385654849403","0.925734126492377"
"No","2010","middle vocational","8786","0.811655167487172","0.804296894012832","0.819013440961513"
"No","2010","vocational + Abi","1111","0.682131217244024","0.659134506959455","0.705127927528592"
"No","2010","higher vocational","1030","0.760424029915379","0.737855448142081","0.782992611688677"
"No","2010","higher education","2504","0.672946698423621","0.657615451644311","0.68827794520293"
"Yes","2011","in school","36","0.130173727523676","0.0881244567550143","0.172222998292338"
"Yes","2011","inadequately","4","","",""
"Yes","2011","general elemantary","190","0.0896968905600623","0.0774726024007","0.101921178719425"
"Yes","2011","middle vocational","1958","0.201440039623663","0.193401070031523","0.209479009215804"
"Yes","2011","vocational + Abi","351","0.322056284923737","0.294342267816275","0.349770302031199"
"Yes","2011","higher vocational","311","0.230000995141799","0.206386529905369","0.253615460378228"
"Yes","2011","higher education","988","0.334977893636039","0.318116597422755","0.351839189849322"
"No","2011","in school","210","0.869826272476324","0.827777001707662","0.911875543244986"
"No","2011","inadequately","220","0.991742270846258","0.97989130323378","1.00359323845874"
"No","2011","general elemantary","1909","0.910303109439938","0.898078821280575","0.9225273975993"
"No","2011","middle vocational","7604","0.798559960376337","0.790520990784196","0.806598929968477"
"No","2011","vocational + Abi","741","0.677943715076263","0.650229697968801","0.705657732183725"
"No","2011","higher vocational","909","0.769999004858201","0.746384539621772","0.793613470094631"
"No","2011","higher education","2022","0.665022106363961","0.648160810150678","0.681883402577245"
"Yes","2012","in school","43","0.100396807241445","0.0704936067117773","0.130300007771112"
"Yes","2012","inadequately","10","","",""
"Yes","2012","general elemantary","272","0.097675335260987","0.0866928468312402","0.108657823690734"
"Yes","2012","middle vocational","2695","0.212259439724907","0.205098263942209","0.219420615507606"
"Yes","2012","vocational + Abi","562","0.288028136997273","0.267177570096489","0.308878703898058"
"Yes","2012","higher vocational","412","0.265990092561795","0.243849661766276","0.288130523357314"
"Yes","2012","higher education","1323","0.319923711947962","0.305710004840009","0.334137419055915"
"No","2012","in school","345","0.899603192758555","0.869699992228888","0.929506393288223"
"No","2012","inadequately","371","0.978357601956826","0.963746360919443","0.992968842994209"
"No","2012","general elemantary","2535","0.902324664739013","0.891342176309266","0.91330715316876"
"No","2012","middle vocational","9830","0.787740560275093","0.780579384492394","0.794901736057791"
"No","2012","vocational + Abi","1250","0.711971863002727","0.691121296101942","0.732822429903511"
"No","2012","higher vocational","1118","0.734009907438205","0.711869476642686","0.756150338233724"
"No","2012","higher education","2814","0.680076288052038","0.665862580944085","0.694289995159991"
"Yes","2013","in school","42","0.20345437604575","0.149391750289455","0.257517001802045"
"Yes","2013","inadequately","8","","",""
"Yes","2013","general elemantary","182","0.105214311950654","0.0910081744919662","0.119420449409341"
"Yes","2013","middle vocational","2039","0.233133816646069","0.224222278286339","0.2420453550058"
"Yes","2013","vocational + Abi","363","0.345190220913068","0.315825885510222","0.374554556315914"
"Yes","2013","higher vocational","309","0.269303392538923","0.243112713918313","0.295494071159532"
"Yes","2013","higher education","1024","0.350351154064635","0.333161516484295","0.367540791644976"
"No","2013","in school","171","0.79654562395425","0.742482998197955","0.850608249710545"
"No","2013","inadequately","181","0.97521708098526","0.95305328889971","0.99738087307081"
"No","2013","general elemantary","1610","0.894785688049346","0.880579550590659","0.908991825508034"
"No","2013","middle vocational","6609","0.766866183353931","0.7579546449942","0.775777721713661"
"No","2013","vocational + Abi","644","0.654809779086932","0.625445443684086","0.684174114489778"
"No","2013","higher vocational","793","0.730696607461077","0.704505928840468","0.756887286081687"
"No","2013","higher education","1935","0.649648845935365","0.632459208355024","0.666838483515705"
"Yes","2014","in school","46","0.118542120888696","0.0867047184821678","0.150379523295224"
"Yes","2014","inadequately","15","","",""
"Yes","2014","general elemantary","271","0.105956601114497","0.094981310263233","0.116931891965761"
"Yes","2014","middle vocational","2644","0.232809856771913","0.225144459991479","0.240475253552347"
"Yes","2014","vocational + Abi","566","0.29858820448483","0.27815530070697","0.31902110826269"
"Yes","2014","higher vocational","393","0.286706363724554","0.262520426254381","0.310892301194728"
"Yes","2014","higher education","1386","0.341640326965761","0.327625514690104","0.355655139241417"
"No","2014","in school","350","0.881457879111304","0.849620476704776","0.913295281517832"
"No","2014","inadequately","477","0.971460135637753","0.956747042508645","0.986173228766861"
"No","2014","general elemantary","2750","0.894043398885503","0.883068108034239","0.905018689736767"
"No","2014","middle vocational","9033","0.767190143228087","0.759524746447653","0.774855540008521"
"No","2014","vocational + Abi","1361","0.70141179551517","0.68097889173731","0.72184469929303"
"No","2014","higher vocational","950","0.713293636275446","0.689107698805272","0.737479573745619"
"No","2014","higher education","3013","0.658359673034239","0.644344860758583","0.672374485309896"
"Yes","2015","in school","","","",""
"Yes","2015","inadequately","","","",""
"Yes","2015","general elemantary","","","",""
"Yes","2015","middle vocational","","","",""
"Yes","2015","vocational + Abi","","","",""
"Yes","2015","higher vocational","","","",""
"Yes","2015","higher education","","","",""
"No","2015","in school","","","",""
"No","2015","inadequately","","","",""
"No","2015","general elemantary","","","",""
"No","2015","middle vocational","","","",""
"No","2015","vocational + Abi","","","",""
"No","2015","higher vocational","","","",""
"No","2015","higher education","","","",""
"Yes","2016","in school","29","","",""
"Yes","2016","inadequately","11","","",""
"Yes","2016","general elemantary","200","0.0872604132583211","0.0761888772546896","0.0983319492619526"
"Yes","2016","middle vocational","2063","0.210240742375324","0.202352287205972","0.218129197544676"
"Yes","2016","vocational + Abi","489","0.269398732949219","0.249569932881947","0.289227533016492"
"Yes","2016","higher vocational","334","0.260699713433413","0.235839755114422","0.285559671752404"
"Yes","2016","higher education","1183","0.30050328995113","0.286690140357734","0.314316439544526"
"No","2016","in school","256","0.906511407617356","0.872713360405973","0.94030945482874"
"No","2016","inadequately","385","0.986039529077024","0.974483790852941","0.997595267301106"
"No","2016","general elemantary","2296","0.912739586741679","0.901668050738047","0.92381112274531"
"No","2016","middle vocational","8187","0.789759257624676","0.781870802455324","0.797647712794028"
"No","2016","vocational + Abi","1434","0.730601267050781","0.710772466983508","0.750430067118053"
"No","2016","higher vocational","864","0.739300286566587","0.714440328247596","0.764160244885578"
"No","2016","higher education","3049","0.69949671004887","0.685683560455474","0.713309859642266"
"Yes","2017","in school","","","",""
"Yes","2017","inadequately","","","",""
"Yes","2017","general elemantary","","","",""
"Yes","2017","middle vocational","","","",""
"Yes","2017","vocational + Abi","","","",""
"Yes","2017","higher vocational","","","",""
"Yes","2017","higher education","","","",""
"No","2017","in school","","","",""
"No","2017","inadequately","","","",""
"No","2017","general elemantary","","","",""
"No","2017","middle vocational","","","",""
"No","2017","vocational + Abi","","","",""
"No","2017","higher vocational","","","",""
"No","2017","higher education","","","",""
"Yes","2018","in school","27","","",""
"Yes","2018","inadequately","11","","",""
"Yes","2018","general elemantary","220","0.0994790144471262","0.0879298412569333","0.111028187637319"
"Yes","2018","middle vocational","2230","0.218142824515485","0.210305988367228","0.225979660663742"
"Yes","2018","vocational + Abi","530","0.277999614833643","0.258389428772258","0.297609800895029"
"Yes","2018","higher vocational","363","0.288568967828884","0.263278447292606","0.313859488365162"
"Yes","2018","higher education","1334","0.298444226421935","0.285195222124877","0.311693230718992"
"No","2018","in school","268","0.856810990391166","0.816840963546578","0.896781017235753"
"No","2018","inadequately","457","0.983025921698619","0.971322826168288","0.994729017228951"
"No","2018","general elemantary","2360","0.900520985552874","0.888971812362681","0.912070158743067"
"No","2018","middle vocational","8438","0.781857175484515","0.774020339336258","0.789694011632772"
"No","2018","vocational + Abi","1475","0.722000385166357","0.702390199104971","0.741610571227743"
"No","2018","higher vocational","870","0.711431032171116","0.686140511634837","0.736721552707394"
"No","2018","higher education","3248","0.701555773578065","0.688306769281008","0.714804777875123"
