"ple0098_v5","year","bula_h","e11103","n","percent","lower_confidence","upper_confidence"
"Yes","1999","Mecklenburg-Western Pomerania","Full Time","5","","",""
"Yes","1999","Mecklenburg-Western Pomerania","Part Time","3","","",""
"Yes","1999","Mecklenburg-Western Pomerania","Not Working","3","","",""
"Yes","1999","Saxony","Full Time","39","0.0937137217549377","0.0680922429874729","0.119335200522402"
"Yes","1999","Saxony","Part Time","9","","",""
"Yes","1999","Saxony","Not Working","12","","",""
"Yes","1999","Saxony-Anhalt","Full Time","18","","",""
"Yes","1999","Saxony-Anhalt","Part Time","4","","",""
"Yes","1999","Saxony-Anhalt","Not Working","9","","",""
"Yes","1999","Thuringia","Full Time","10","","",""
"Yes","1999","Thuringia","Part Time","5","","",""
"Yes","1999","Thuringia","Not Working","4","","",""
"No","1999","Schleswig-Holstein","Full Time","112","0.96249699932221","0.928070896532892","0.996923102111527"
"No","1999","Schleswig-Holstein","Part Time","58","0.91216234916074","0.842814254829934","0.981510443491546"
"No","1999","Schleswig-Holstein","Not Working","94","0.942475645862699","0.896376168993263","0.988575122732135"
"No","1999","Hamburg","Full Time","48","0.910911966411202","0.834218556719179","0.987605376103225"
"No","1999","Hamburg","Part Time","30","1","1","1"
"No","1999","Hamburg","Not Working","41","0.941865808380453","0.872725376598132","1.01100624016278"
"No","1999","Lower Saxony","Full Time","370","0.900498899249607","0.871489283737938","0.929508514761276"
"No","1999","Lower Saxony","Part Time","233","0.873259039515082","0.832585537099561","0.913932541930604"
"No","1999","Lower Saxony","Not Working","340","0.900422785484524","0.869912206159011","0.930933364810038"
"No","1999","Bremen","Full Time","24","","",""
"No","1999","Bremen","Part Time","14","","",""
"No","1999","Bremen","Not Working","40","0.954844397323986","0.892780936859608","1.01690785778836"
"No","1999","North Rhine-Westphalia","Full Time","817","0.826910594840289","0.802776744525708","0.85104444515487"
"No","1999","North Rhine-Westphalia","Part Time","467","0.839968879861761","0.808988212141215","0.870949547582308"
"No","1999","North Rhine-Westphalia","Not Working","836","0.910015743825406","0.891268203697098","0.928763283953714"
"No","1999","Hesse","Full Time","288","0.903816696007634","0.871308372329167","0.9363250196861"
"No","1999","Hesse","Part Time","166","0.888982529227863","0.842960702495541","0.935004355960185"
"No","1999","Hesse","Not Working","281","0.910600863552505","0.878206410645802","0.942995316459208"
"No","1999","Rhineland-Palatinate,Saarland","Full Time","248","0.929028352854236","0.89817060690294","0.959886098805533"
"No","1999","Rhineland-Palatinate,Saarland","Part Time","146","0.976638793215387","0.95254671637393","1.00073087005684"
"No","1999","Rhineland-Palatinate,Saarland","Not Working","253","0.957528238158701","0.933202162040755","0.981854314276647"
"No","1999","Baden-Württemberg","Full Time","567","0.909475320550629","0.886779658156203","0.932170982945055"
"No","1999","Baden-Württemberg","Part Time","348","0.886592063262359","0.854752342709647","0.918431783815072"
"No","1999","Baden-Württemberg","Not Working","534","0.914402582401264","0.891455414668583","0.937349750133946"
"No","1999","Bavaria","Full Time","564","0.82367786038806","0.794625629882897","0.852730090893223"
"No","1999","Bavaria","Part Time","320","0.870536908761067","0.8360492287783","0.905024588743835"
"No","1999","Bavaria","Not Working","502","0.90716537863823","0.882868189710529","0.931462567565931"
"No","1999","Berlin","Full Time","172","0.930480443819819","0.894027348758993","0.966933538880644"
"No","1999","Berlin","Part Time","81","0.942084813140457","0.893001971623973","0.991167654656942"
"No","1999","Berlin","Not Working","173","0.983813471792783","0.965222816654199","1.00240412693137"
"No","1999","Brandenburg","Full Time","218","0.940224372282585","0.909586260378638","0.970862484186532"
"No","1999","Brandenburg","Part Time","112","0.890160889337741","0.834446398716215","0.945875379959267"
"No","1999","Brandenburg","Not Working","219","0.973869884419636","0.953026033161767","0.994713735677504"
"No","1999","Mecklenburg-Western Pomerania","Full Time","147","0.974766146037969","0.949833503618196","0.999698788457742"
"No","1999","Mecklenburg-Western Pomerania","Part Time","81","0.960571783102942","0.918954192948941","1.00218937325694"
"No","1999","Mecklenburg-Western Pomerania","Not Working","128","0.971872493121414","0.94355970048271","1.00018528576012"
"No","1999","Saxony","Full Time","458","0.906286278245062","0.880664799477597","0.931907757012527"
"No","1999","Saxony","Part Time","197","0.958176077419533","0.930839161079663","0.985512993759404"
"No","1999","Saxony","Not Working","388","0.976561971081102","0.961735815870344","0.991388126291861"
"No","1999","Saxony-Anhalt","Full Time","277","0.939999763187764","0.912899254841362","0.967100271534166"
"No","1999","Saxony-Anhalt","Part Time","103","0.94506557674155","0.901892851980477","0.988238301502623"
"No","1999","Saxony-Anhalt","Not Working","256","0.950955059650772","0.924953328942697","0.976956790358846"
"No","1999","Thuringia","Full Time","293","0.968934209507053","0.949399132567292","0.988469286446814"
"No","1999","Thuringia","Part Time","123","0.957863538073705","0.923059954771783","0.992667121375627"
"No","1999","Thuringia","Not Working","257","0.988151658079414","0.975024569115867","1.00127874704296"
"Yes","2000","Schleswig-Holstein","Full Time","22","","",""
"Yes","2000","Schleswig-Holstein","Part Time","9","","",""
"Yes","2000","Schleswig-Holstein","Not Working","16","","",""
"Yes","2000","Hamburg","Full Time","9","","",""
"Yes","2000","Hamburg","Part Time","3","","",""
"Yes","2000","Hamburg","Not Working","7","","",""
"Yes","2000","Lower Saxony","Full Time","77","0.111129559708606","0.0879460187390679","0.134313100678144"
"Yes","2000","Lower Saxony","Part Time","29","","",""
"Yes","2000","Lower Saxony","Not Working","62","0.0987259356067782","0.076596800229036","0.12085507098452"
"Yes","2000","Bremen","Full Time","2","","",""
"Yes","2000","Bremen","Part Time","2","","",""
"Yes","2000","Bremen","Not Working","6","","",""
"Yes","2000","North Rhine-Westphalia","Full Time","264","0.167460908285116","0.149690630951764","0.185231185618468"
"Yes","2000","North Rhine-Westphalia","Part Time","144","0.148105194572127","0.126359950387183","0.169850438757071"
"Yes","2000","North Rhine-Westphalia","Not Working","181","0.108338098797741","0.0939155712793101","0.122760626316172"
"Yes","2000","Hesse","Full Time","60","0.104177022937522","0.079207442863515","0.12914660301153"
"Yes","2000","Hesse","Part Time","26","","",""
"Yes","2000","Hesse","Not Working","36","0.0798156968377378","0.0576452875874489","0.101986106088027"
"Yes","2000","Rhineland-Palatinate,Saarland","Full Time","39","0.0861245557109022","0.061309551898775","0.110939559523029"
"Yes","2000","Rhineland-Palatinate,Saarland","Part Time","19","","",""
"Yes","2000","Rhineland-Palatinate,Saarland","Not Working","23","","",""
"Yes","2000","Baden-Württemberg","Full Time","114","0.130872535190291","0.110492439639716","0.151252630740865"
"Yes","2000","Baden-Württemberg","Part Time","78","0.141336887856169","0.113668834157673","0.169004941554664"
"Yes","2000","Baden-Württemberg","Not Working","73","0.0854376254019253","0.0675680014180434","0.103307249385807"
"Yes","2000","Bavaria","Full Time","154","0.133964795359148","0.114587826230454","0.153341764487843"
"Yes","2000","Bavaria","Part Time","90","0.13646713613892","0.110550918597753","0.162383353680086"
"Yes","2000","Bavaria","Not Working","90","0.0920683725834957","0.0743599483196541","0.109776796847337"
"Yes","2000","Berlin","Full Time","28","","",""
"Yes","2000","Berlin","Part Time","16","","",""
"Yes","2000","Berlin","Not Working","6","","",""
"Yes","2000","Brandenburg","Full Time","28","","",""
"Yes","2000","Brandenburg","Part Time","9","","",""
"Yes","2000","Brandenburg","Not Working","7","","",""
"Yes","2000","Mecklenburg-Western Pomerania","Full Time","9","","",""
"Yes","2000","Mecklenburg-Western Pomerania","Part Time","2","","",""
"Yes","2000","Mecklenburg-Western Pomerania","Not Working","1","","",""
"Yes","2000","Saxony","Full Time","36","0.0588537070890641","0.0414562446227993","0.0762511695553289"
"Yes","2000","Saxony","Part Time","18","","",""
"Yes","2000","Saxony","Not Working","12","","",""
"Yes","2000","Saxony-Anhalt","Full Time","18","","",""
"Yes","2000","Saxony-Anhalt","Part Time","4","","",""
"Yes","2000","Saxony-Anhalt","Not Working","7","","",""
"Yes","2000","Thuringia","Full Time","27","","",""
"Yes","2000","Thuringia","Part Time","7","","",""
"Yes","2000","Thuringia","Not Working","10","","",""
"No","2000","Schleswig-Holstein","Full Time","217","0.917727716149143","0.88289135043129","0.952564081866997"
"No","2000","Schleswig-Holstein","Part Time","112","0.93347658863039","0.889075422424266","0.977877754836514"
"No","2000","Schleswig-Holstein","Not Working","215","0.924594280430054","0.890544066356888","0.958644494503221"
"No","2000","Hamburg","Full Time","91","0.918863069538111","0.865347176590804","0.972378962485418"
"No","2000","Hamburg","Part Time","46","0.968730808214554","0.919999290781024","1.01746232564808"
"No","2000","Hamburg","Not Working","101","0.950486153420816","0.909572106032275","0.991400200809357"
"No","2000","Lower Saxony","Full Time","629","0.888870440291394","0.865686899321856","0.912053981260932"
"No","2000","Lower Saxony","Part Time","371","0.926614368165079","0.901059530333883","0.952169205996275"
"No","2000","Lower Saxony","Not Working","636","0.901274064393222","0.87914492901548","0.923403199770964"
"No","2000","Bremen","Full Time","52","0.9530222441874","0.896587200845312","1.00945728752949"
"No","2000","Bremen","Part Time","38","0.931199575985571","0.852760036095084","1.00963911587606"
"No","2000","Bremen","Not Working","75","0.93125115827389","0.876148609538292","0.986353707009489"
"No","2000","North Rhine-Westphalia","Full Time","1432","0.832539091714884","0.814768814381532","0.850309369048236"
"No","2000","North Rhine-Westphalia","Part Time","881","0.851894805427873","0.830149561242929","0.873640049612817"
"No","2000","North Rhine-Westphalia","Not Working","1603","0.891661901202259","0.877239373683828","0.90608442872069"
"No","2000","Hesse","Full Time","515","0.895822977062478","0.87085339698847","0.920792557136485"
"No","2000","Hesse","Part Time","305","0.898049140463729","0.865451993483962","0.930646287443496"
"No","2000","Hesse","Not Working","538","0.920184303162262","0.898013893911973","0.942354712412551"
"No","2000","Rhineland-Palatinate,Saarland","Full Time","452","0.913875444289098","0.889060440476971","0.938690448101225"
"No","2000","Rhineland-Palatinate,Saarland","Part Time","247","0.929548538008382","0.898795479553726","0.960301596463038"
"No","2000","Rhineland-Palatinate,Saarland","Not Working","501","0.949967985361463","0.931301569900437","0.96863440082249"
"No","2000","Baden-Württemberg","Full Time","938","0.869127464809709","0.848747369259135","0.889507560360284"
"No","2000","Baden-Württemberg","Part Time","531","0.858663112143831","0.830995058445336","0.886331165842327"
"No","2000","Baden-Württemberg","Not Working","867","0.914562374598075","0.896692750614193","0.932431998581957"
"No","2000","Bavaria","Full Time","1033","0.866035204640852","0.846658235512157","0.885412173769546"
"No","2000","Bavaria","Part Time","584","0.86353286386108","0.837616646319914","0.889449081402247"
"No","2000","Bavaria","Not Working","934","0.907931627416504","0.890223203152663","0.925640051680346"
"No","2000","Berlin","Full Time","247","0.915125979123631","0.882187042472932","0.94806491577433"
"No","2000","Berlin","Part Time","155","0.912835536381561","0.870557380453658","0.955113692309463"
"No","2000","Berlin","Not Working","267","0.972257683171618","0.952775894724803","0.991739471618433"
"No","2000","Brandenburg","Full Time","374","0.934611917456655","0.91044618167197","0.958777653241339"
"No","2000","Brandenburg","Part Time","177","0.94713314583441","0.914975157679974","0.979291133988847"
"No","2000","Brandenburg","Not Working","372","0.987099178331855","0.975738151980091","0.99846020468362"
"No","2000","Mecklenburg-Western Pomerania","Full Time","217","0.943948778077487","0.913959871719271","0.973937684435702"
"No","2000","Mecklenburg-Western Pomerania","Part Time","108","0.965397598242737","0.931242308205629","0.999552888279845"
"No","2000","Mecklenburg-Western Pomerania","Not Working","187","0.997328661449271","0.989950421375619","1.00470690152292"
"No","2000","Saxony","Full Time","667","0.941146292910936","0.923748830444671","0.958543755377201"
"No","2000","Saxony","Part Time","274","0.893198025687758","0.857772183549979","0.928623867825538"
"No","2000","Saxony","Not Working","664","0.985847816760286","0.976943688563716","0.994751944956856"
"No","2000","Saxony-Anhalt","Full Time","399","0.944057965748441","0.922000860195862","0.966115071301019"
"No","2000","Saxony-Anhalt","Part Time","174","0.979501031981461","0.958684588209507","1.00031747575341"
"No","2000","Saxony-Anhalt","Not Working","415","0.975593302473261","0.960870829012839","0.990315775933683"
"No","2000","Thuringia","Full Time","386","0.933853577216206","0.909883709363124","0.957823445069288"
"No","2000","Thuringia","Part Time","189","0.948298626047055","0.917299913401341","0.979297338692768"
"No","2000","Thuringia","Not Working","385","0.972985838037595","0.956997675584044","0.988974000491147"
"Yes","2001","Schleswig-Holstein","Full Time","19","","",""
"Yes","2001","Schleswig-Holstein","Part Time","14","","",""
"Yes","2001","Schleswig-Holstein","Not Working","13","","",""
"Yes","2001","Hamburg","Full Time","8","","",""
"Yes","2001","Hamburg","Part Time","3","","",""
"Yes","2001","Hamburg","Not Working","7","","",""
"Yes","2001","Lower Saxony","Full Time","77","0.126414594036002","0.100828035245052","0.152001152826952"
"Yes","2001","Lower Saxony","Part Time","27","","",""
"Yes","2001","Lower Saxony","Not Working","50","0.0872971562501003","0.0650785405979738","0.109515771902227"
"Yes","2001","Bremen","Full Time","3","","",""
"Yes","2001","Bremen","Part Time","2","","",""
"Yes","2001","Bremen","Not Working","6","","",""
"Yes","2001","North Rhine-Westphalia","Full Time","228","0.16332915220419","0.144726945191997","0.181931359216383"
"Yes","2001","North Rhine-Westphalia","Part Time","128","0.146727846678843","0.124072101364394","0.169383591993292"
"Yes","2001","North Rhine-Westphalia","Not Working","150","0.104490011668966","0.0894401595131426","0.11953986382479"
"Yes","2001","Hesse","Full Time","46","0.0887493678829732","0.0635696067112519","0.113929129054694"
"Yes","2001","Hesse","Part Time","23","","",""
"Yes","2001","Hesse","Not Working","36","0.0902804992193514","0.0644538390073959","0.116107159431307"
"Yes","2001","Rhineland-Palatinate,Saarland","Full Time","35","0.0989476859509873","0.0704591789519099","0.127436192950065"
"Yes","2001","Rhineland-Palatinate,Saarland","Part Time","13","","",""
"Yes","2001","Rhineland-Palatinate,Saarland","Not Working","27","","",""
"Yes","2001","Baden-Württemberg","Full Time","117","0.164663286854524","0.140979463444844","0.188347110264204"
"Yes","2001","Baden-Württemberg","Part Time","80","0.16404528335834","0.133456152042617","0.194634414674064"
"Yes","2001","Baden-Württemberg","Not Working","65","0.0881640422629556","0.0684672428871737","0.107860841638738"
"Yes","2001","Bavaria","Full Time","132","0.123554095355758","0.103973569432503","0.143134621279012"
"Yes","2001","Bavaria","Part Time","80","0.142039626451849","0.115036195182968","0.169043057720731"
"Yes","2001","Bavaria","Not Working","81","0.0923588511183427","0.0734954434421326","0.111222258794553"
"Yes","2001","Berlin","Full Time","33","0.115282339187182","0.0768312282082796","0.153733450166084"
"Yes","2001","Berlin","Part Time","19","","",""
"Yes","2001","Berlin","Not Working","7","","",""
"Yes","2001","Brandenburg","Full Time","27","","",""
"Yes","2001","Brandenburg","Part Time","8","","",""
"Yes","2001","Brandenburg","Not Working","9","","",""
"Yes","2001","Mecklenburg-Western Pomerania","Full Time","9","","",""
"Yes","2001","Mecklenburg-Western Pomerania","Part Time","3","","",""
"Yes","2001","Mecklenburg-Western Pomerania","Not Working","1","","",""
"Yes","2001","Saxony","Full Time","42","0.0682994473846708","0.048921651892519","0.0876772428768227"
"Yes","2001","Saxony","Part Time","23","","",""
"Yes","2001","Saxony","Not Working","12","","",""
"Yes","2001","Saxony-Anhalt","Full Time","26","","",""
"Yes","2001","Saxony-Anhalt","Part Time","5","","",""
"Yes","2001","Saxony-Anhalt","Not Working","5","","",""
"Yes","2001","Thuringia","Full Time","20","","",""
"Yes","2001","Thuringia","Part Time","3","","",""
"Yes","2001","Thuringia","Not Working","5","","",""
"No","2001","Schleswig-Holstein","Full Time","186","0.908095433507427","0.868549170368873","0.947641696645982"
"No","2001","Schleswig-Holstein","Part Time","130","0.913630976116252","0.867750146893707","0.959511805338797"
"No","2001","Schleswig-Holstein","Not Working","191","0.91287676502619","0.874177200292191","0.951576329760189"
"No","2001","Hamburg","Full Time","79","0.941639153902679","0.892379482700333","0.990898825105024"
"No","2001","Hamburg","Part Time","42","0.957355985434195","0.898321252338785","1.01639071852961"
"No","2001","Hamburg","Not Working","87","0.949464815923321","0.905183499016584","0.993746132830058"
"No","2001","Lower Saxony","Full Time","571","0.873585405963998","0.847998847173048","0.899171964754948"
"No","2001","Lower Saxony","Part Time","347","0.920879708869908","0.893523388568057","0.948236029171759"
"No","2001","Lower Saxony","Not Working","570","0.9127028437499","0.890484228097773","0.934921459402026"
"No","2001","Bremen","Full Time","46","0.921513749940084","0.84621326887746","0.996814231002709"
"No","2001","Bremen","Part Time","41","0.96240853686801","0.905557523369506","1.01925955036651"
"No","2001","Bremen","Not Working","49","0.88338034621955","0.798554834844473","0.968205857594626"
"No","2001","North Rhine-Westphalia","Full Time","1289","0.83667084779581","0.818068640783616","0.855273054808003"
"No","2001","North Rhine-Westphalia","Part Time","809","0.853272153321157","0.830616408006708","0.875927898635606"
"No","2001","North Rhine-Westphalia","Not Working","1437","0.895509988331034","0.88046013617521","0.910559840486857"
"No","2001","Hesse","Full Time","444","0.911250632117027","0.886070870945305","0.936430393288748"
"No","2001","Hesse","Part Time","308","0.926812916425153","0.89875552095275","0.954870311897557"
"No","2001","Hesse","Not Working","437","0.909719500780649","0.883892840568693","0.935546160992604"
"No","2001","Rhineland-Palatinate,Saarland","Full Time","387","0.901052314049013","0.872563807049935","0.92954082104809"
"No","2001","Rhineland-Palatinate,Saarland","Part Time","260","0.962589339104847","0.940078847404171","0.985099830805524"
"No","2001","Rhineland-Palatinate,Saarland","Not Working","448","0.947361006341429","0.927278735140459","0.9674432775424"
"No","2001","Baden-Württemberg","Full Time","825","0.835336713145476","0.811652889735796","0.859020536555156"
"No","2001","Baden-Württemberg","Part Time","483","0.83595471664166","0.805365585325936","0.866543847957383"
"No","2001","Baden-Württemberg","Not Working","731","0.911835957737044","0.892139158361262","0.931532757112826"
"No","2001","Bavaria","Full Time","953","0.876445904644242","0.856865378720988","0.896026430567497"
"No","2001","Bavaria","Part Time","562","0.857960373548151","0.830956942279269","0.884963804817032"
"No","2001","Bavaria","Not Working","824","0.907641148881657","0.888777741205447","0.926504556557867"
"No","2001","Berlin","Full Time","232","0.884717660812818","0.846266549833915","0.92316877179172"
"No","2001","Berlin","Part Time","155","0.895287344763164","0.849793328782553","0.940781360743775"
"No","2001","Berlin","Not Working","251","0.981810999228708","0.965504655028867","0.99811734342855"
"No","2001","Brandenburg","Full Time","341","0.915206694196126","0.886744750227259","0.943668638164993"
"No","2001","Brandenburg","Part Time","149","0.939283329792378","0.901928174583092","0.976638485001664"
"No","2001","Brandenburg","Not Working","375","0.981002017436988","0.96734766301683","0.994656371857146"
"No","2001","Mecklenburg-Western Pomerania","Full Time","189","0.951947549547021","0.922156913495584","0.981738185598457"
"No","2001","Mecklenburg-Western Pomerania","Part Time","108","0.973020924731523","0.942879677349934","1.00316217211311"
"No","2001","Mecklenburg-Western Pomerania","Not Working","165","0.992183852182991","0.978787501544143","1.00558020282184"
"No","2001","Saxony","Full Time","609","0.931700552615329","0.912322757123177","0.951078348107481"
"No","2001","Saxony","Part Time","247","0.924492112347053","0.89297735449543","0.956006870198676"
"No","2001","Saxony","Not Working","617","0.983717526877966","0.973827028913434","0.993608024842497"
"No","2001","Saxony-Anhalt","Full Time","359","0.918162453282626","0.890781170422688","0.945543736142564"
"No","2001","Saxony-Anhalt","Part Time","165","0.973059913102771","0.948721463073235","0.997398363132308"
"No","2001","Saxony-Anhalt","Not Working","402","0.993152384168786","0.985140613216056","1.00116415512152"
"No","2001","Thuringia","Full Time","346","0.948659867590719","0.926050349549634","0.971269385631804"
"No","2001","Thuringia","Part Time","174","0.992332047033698","0.979481261181205","1.00518283288619"
"No","2001","Thuringia","Not Working","367","0.986935386073266","0.975396356893162","0.99847441525337"
"Yes","2002","Schleswig-Holstein","Full Time","30","0.11728114505403","0.074272658381444","0.160289631726617"
"Yes","2002","Schleswig-Holstein","Part Time","17","","",""
"Yes","2002","Schleswig-Holstein","Not Working","16","","",""
"Yes","2002","Hamburg","Full Time","12","","",""
"Yes","2002","Hamburg","Part Time","6","","",""
"Yes","2002","Hamburg","Not Working","9","","",""
"Yes","2002","Lower Saxony","Full Time","90","0.137952661571103","0.110720110012621","0.165185213129585"
"Yes","2002","Lower Saxony","Part Time","34","0.0622508495678693","0.038661739922381","0.0858399592133576"
"Yes","2002","Lower Saxony","Not Working","73","0.0885781629176644","0.0668682443942506","0.110288081441078"
"Yes","2002","Bremen","Full Time","2","","",""
"Yes","2002","Bremen","Part Time","4","","",""
"Yes","2002","Bremen","Not Working","6","","",""
"Yes","2002","North Rhine-Westphalia","Full Time","256","0.153594493100789","0.135378330101669","0.17181065609991"
"Yes","2002","North Rhine-Westphalia","Part Time","149","0.139853942082683","0.118049829468943","0.161658054696422"
"Yes","2002","North Rhine-Westphalia","Not Working","185","0.108031378177307","0.0926813299199546","0.12338142643466"
"Yes","2002","Hesse","Full Time","69","0.0927725813652976","0.0679563206370167","0.117588842093579"
"Yes","2002","Hesse","Part Time","36","0.0797008637633004","0.0514082689116704","0.10799345861493"
"Yes","2002","Hesse","Not Working","47","0.109686285797844","0.0813741350911376","0.137998436504551"
"Yes","2002","Rhineland-Palatinate,Saarland","Full Time","40","0.0862717063458298","0.0592264781015783","0.113316934590081"
"Yes","2002","Rhineland-Palatinate,Saarland","Part Time","31","0.0651901702269818","0.0364796135144086","0.093900726939555"
"Yes","2002","Rhineland-Palatinate,Saarland","Not Working","40","0.0651833863752004","0.0426742530394755","0.0876925197109252"
"Yes","2002","Baden-Württemberg","Full Time","145","0.160403613271748","0.137067493649508","0.183739732893987"
"Yes","2002","Baden-Württemberg","Part Time","95","0.154454563303287","0.125916362995847","0.182992763610727"
"Yes","2002","Baden-Württemberg","Not Working","100","0.126393201188223","0.10357984685057","0.149206555525876"
"Yes","2002","Bavaria","Full Time","186","0.176934784378706","0.154206974005681","0.199662594751731"
"Yes","2002","Bavaria","Part Time","118","0.173663353197536","0.144914682251906","0.202412024143165"
"Yes","2002","Bavaria","Not Working","109","0.112128708189183","0.0914341681616326","0.132823248216733"
"Yes","2002","Berlin","Full Time","26","","",""
"Yes","2002","Berlin","Part Time","19","","",""
"Yes","2002","Berlin","Not Working","4","","",""
"Yes","2002","Brandenburg","Full Time","33","0.104912569422477","0.0733450615997789","0.136480077245175"
"Yes","2002","Brandenburg","Part Time","11","","",""
"Yes","2002","Brandenburg","Not Working","11","","",""
"Yes","2002","Mecklenburg-Western Pomerania","Full Time","14","","",""
"Yes","2002","Mecklenburg-Western Pomerania","Part Time","4","","",""
"Yes","2002","Mecklenburg-Western Pomerania","Not Working","3","","",""
"Yes","2002","Saxony","Full Time","49","0.0762837090433081","0.0553889461007118","0.0971784719859044"
"Yes","2002","Saxony","Part Time","21","","",""
"Yes","2002","Saxony","Not Working","14","","",""
"Yes","2002","Saxony-Anhalt","Full Time","30","0.0902726778473376","0.0600770667327438","0.120468288961931"
"Yes","2002","Saxony-Anhalt","Part Time","11","","",""
"Yes","2002","Saxony-Anhalt","Not Working","5","","",""
"Yes","2002","Thuringia","Full Time","24","","",""
"Yes","2002","Thuringia","Part Time","9","","",""
"Yes","2002","Thuringia","Not Working","3","","",""
"No","2002","Schleswig-Holstein","Full Time","185","0.88271885494597","0.839710368273383","0.925727341618556"
"No","2002","Schleswig-Holstein","Part Time","144","0.927800526053335","0.88782175158804","0.967779300518629"
"No","2002","Schleswig-Holstein","Not Working","202","0.923010340317479","0.887623700357828","0.95839698027713"
"No","2002","Hamburg","Full Time","86","0.931574237470605","0.881587635960256","0.981560838980953"
"No","2002","Hamburg","Part Time","56","0.967411287429964","0.92321442664953","1.0116081482104"
"No","2002","Hamburg","Not Working","97","0.937699048522443","0.891686717478252","0.983711379566634"
"No","2002","Lower Saxony","Full Time","526","0.862047338428897","0.834814786870415","0.889279889987379"
"No","2002","Lower Saxony","Part Time","369","0.937749150432131","0.914160040786642","0.961338260077619"
"No","2002","Lower Saxony","Not Working","585","0.911421837082336","0.889711918558922","0.933131755605749"
"No","2002","Bremen","Full Time","53","0.98332818564498","0.949489972399596","1.01716639889036"
"No","2002","Bremen","Part Time","34","0.933225125699346","0.853855187197889","1.0125950642008"
"No","2002","Bremen","Not Working","55","0.923736567269359","0.857130250826379","0.99034288371234"
"No","2002","North Rhine-Westphalia","Full Time","1249","0.846405506899211","0.82818934390009","0.864621669898331"
"No","2002","North Rhine-Westphalia","Part Time","823","0.860146057917317","0.838341945303578","0.881950170531057"
"No","2002","North Rhine-Westphalia","Not Working","1386","0.891968621822693","0.87661857356534","0.907318670080045"
"No","2002","Hesse","Full Time","456","0.907227418634702","0.882411157906422","0.932043679362983"
"No","2002","Hesse","Part Time","316","0.9202991362367","0.89200654138507","0.94859173108833"
"No","2002","Hesse","Not Working","421","0.890313714202156","0.862001563495449","0.918625864908862"
"No","2002","Rhineland-Palatinate,Saarland","Full Time","374","0.91372829365417","0.886683065409919","0.940773521898422"
"No","2002","Rhineland-Palatinate,Saarland","Part Time","253","0.934809829773018","0.906099273060445","0.963520386485591"
"No","2002","Rhineland-Palatinate,Saarland","Not Working","422","0.9348166136248","0.912307480289075","0.957325746960525"
"No","2002","Baden-Württemberg","Full Time","805","0.839596386728252","0.816260267106013","0.862932506350492"
"No","2002","Baden-Württemberg","Part Time","521","0.845545436696713","0.817007236389273","0.874083637004153"
"No","2002","Baden-Württemberg","Not Working","715","0.873606798811777","0.850793444474124","0.89642015314943"
"No","2002","Bavaria","Full Time","897","0.823065215621294","0.800337405248269","0.845793025994319"
"No","2002","Bavaria","Part Time","549","0.826336646802464","0.797587975856834","0.855085317748094"
