"ple0098_v5","year","age_gr","migback","n","percent","lower_confidence","upper_confidence"
"Yes","2003","16-34 y.","direct migration background","21","","",""
"Yes","2003","16-34 y.","indirect migration background","38","0.0868297148233001","0.0640891882720964","0.109570241374504"
"Yes","2003","35-65 y.","no migration background","1233","0.130865747457027","0.123823813976661","0.137907680937394"
"Yes","2003","35-65 y.","direct migration background","63","0.0477232871530558","0.0369134400970879","0.0585331342090238"
"Yes","2003","35-65 y.","indirect migration background","19","","",""
"Yes","2003","66 and older","no migration background","288","0.0923728145136798","0.0819698417003216","0.102775787327038"
"Yes","2003","66 and older","direct migration background","9","","",""
"Yes","2003","66 and older","indirect migration background","3","","",""
"No","2003","16-34 y.","no migration background","3498","0.881130815758681","0.871063639467306","0.891197992050056"
"No","2003","16-34 y.","direct migration background","624","0.974213622292874","0.961981818598999","0.98644542598675"
"No","2003","16-34 y.","indirect migration background","551","0.9131702851767","0.890429758625496","0.935910811727904"
"No","2003","35-65 y.","no migration background","7578","0.869134252542973","0.862092319062606","0.876176186023339"
"No","2003","35-65 y.","direct migration background","1431","0.952276712846944","0.941466865790976","0.963086559902912"
"No","2003","35-65 y.","indirect migration background","103","0.895679580995467","0.841438395380108","0.949920766610826"
"No","2003","66 and older","no migration background","2688","0.90762718548632","0.897224212672962","0.918030158299678"
"No","2003","66 and older","direct migration background","326","0.959320216384033","0.938166006791974","0.980474425976092"
"No","2003","66 and older","indirect migration background","8","","",""
"Yes","2004","16-34 y.","no migration background","488","0.121558274092475","0.111142453440847","0.131974094744103"
"Yes","2004","16-34 y.","direct migration background","24","","",""
"Yes","2004","16-34 y.","indirect migration background","42","0.0862228747592275","0.0637444398223327","0.108701309696122"
"Yes","2004","35-65 y.","no migration background","1278","0.144978886375765","0.137472876246178","0.152484896505352"
"Yes","2004","35-65 y.","direct migration background","64","0.0441651804091443","0.0336007347912951","0.0547296260269935"
"Yes","2004","35-65 y.","indirect migration background","15","","",""
"Yes","2004","66 and older","no migration background","318","0.0962607540041799","0.0858426318001325","0.106678876208227"
"Yes","2004","66 and older","direct migration background","15","","",""
"Yes","2004","66 and older","indirect migration background","3","","",""
"No","2004","16-34 y.","no migration background","3293","0.878441725907525","0.868025905255897","0.888857546559153"
"No","2004","16-34 y.","direct migration background","573","0.964767130304457","0.949977879174445","0.979556381434469"
"No","2004","16-34 y.","indirect migration background","557","0.913777125240772","0.891298690303878","0.936255560177667"
"No","2004","35-65 y.","no migration background","7174","0.855021113624235","0.847515103494648","0.862527123753822"
"No","2004","35-65 y.","direct migration background","1389","0.955834819590856","0.945270373973007","0.966399265208705"
"No","2004","35-65 y.","indirect migration background","116","0.8652513313382","0.806779617587502","0.923723045088899"
"No","2004","66 and older","no migration background","2761","0.90373924599582","0.893321123791773","0.914157368199867"
"No","2004","66 and older","direct migration background","326","0.949480936389979","0.926235287579149","0.972726585200808"
"No","2004","66 and older","indirect migration background","7","","",""
"Yes","2005","16-34 y.","no migration background","511","0.144342306333724","0.1328526800043","0.155831932663148"
"Yes","2005","16-34 y.","direct migration background","27","","",""
"Yes","2005","16-34 y.","indirect migration background","45","0.0853581110269883","0.0632930223866472","0.107423199667329"
"Yes","2005","35-65 y.","no migration background","1278","0.153663820560618","0.145749019342888","0.161578621778347"
"Yes","2005","35-65 y.","direct migration background","77","0.0517240678106741","0.0399709089558826","0.0634772266654656"
"Yes","2005","35-65 y.","indirect migration background","23","","",""
"Yes","2005","66 and older","no migration background","354","0.111734448073076","0.100570358648484","0.122898537497668"
"Yes","2005","66 and older","direct migration background","10","","",""
"Yes","2005","66 and older","indirect migration background","2","","",""
"No","2005","16-34 y.","no migration background","3083","0.855657693666276","0.844168067336852","0.8671473199957"
"No","2005","16-34 y.","direct migration background","476","0.937687588518677","0.916563379228467","0.958811797808886"
"No","2005","16-34 y.","indirect migration background","571","0.914641888973012","0.892576800332671","0.936706977613353"
"No","2005","35-65 y.","no migration background","6697","0.846336179439382","0.838421378221653","0.854250980657112"
"No","2005","35-65 y.","direct migration background","1287","0.948275932189326","0.936522773334534","0.960029091044117"
"No","2005","35-65 y.","indirect migration background","110","0.82592857712545","0.761488321184324","0.890368833066576"
"No","2005","66 and older","no migration background","2705","0.888265551926924","0.877101462502332","0.899429641351516"
"No","2005","66 and older","direct migration background","335","0.960283835299835","0.939676492092645","0.980891178507026"
"No","2005","66 and older","indirect migration background","8","","",""
"Yes","2006","16-34 y.","no migration background","543","0.165391163133956","0.153047157560927","0.177735168706985"
"Yes","2006","16-34 y.","direct migration background","21","","",""
"Yes","2006","16-34 y.","indirect migration background","59","0.104224473709785","0.0793577513150731","0.129091196104497"
"Yes","2006","35-65 y.","no migration background","1657","0.177850439804698","0.169779075164057","0.18592180444534"
"Yes","2006","35-65 y.","direct migration background","101","0.0672339569666522","0.0538455422570903","0.0806223716762142"
"Yes","2006","35-65 y.","indirect migration background","25","","",""
"Yes","2006","66 and older","no migration background","451","0.11532929384733","0.104921122108929","0.125737465585731"
"Yes","2006","66 and older","direct migration background","17","","",""
"Yes","2006","66 and older","indirect migration background","2","","",""
"No","2006","16-34 y.","no migration background","2937","0.834608836866044","0.822264831293015","0.846952842439073"
"No","2006","16-34 y.","direct migration background","482","0.944501071306211","0.924492889458901","0.964509253153521"
"No","2006","16-34 y.","indirect migration background","521","0.895775526290215","0.870908803895502","0.920642248684927"
"No","2006","35-65 y.","no migration background","6965","0.822149560195302","0.81407819555466","0.830220924835943"
"No","2006","35-65 y.","direct migration background","1243","0.932766043033348","0.919377628323786","0.94615445774291"
"No","2006","35-65 y.","indirect migration background","129","0.807147398023114","0.744834649534272","0.869460146511956"
"No","2006","66 and older","no migration background","3167","0.88467070615267","0.874262534414269","0.895078877891071"
"No","2006","66 and older","direct migration background","355","0.944478753996578","0.921208435923857","0.967749072069299"
"No","2006","66 and older","indirect migration background","10","","",""
"Yes","2007","16-34 y.","no migration background","538","0.175264122250025","0.162101633014196","0.188426611485854"
"Yes","2007","16-34 y.","direct migration background","20","","",""
"Yes","2007","16-34 y.","indirect migration background","49","0.0988036443553742","0.0736123835774302","0.123994905133318"
"Yes","2007","35-65 y.","no migration background","1652","0.197959681157989","0.189222704515442","0.206696657800536"
"Yes","2007","35-65 y.","direct migration background","104","0.0813195854152279","0.0659823182607492","0.0966568525697065"
"Yes","2007","35-65 y.","indirect migration background","30","0.205067040926382","0.142700976751734","0.267433105101031"
"Yes","2007","66 and older","no migration background","508","0.131031499114507","0.119887443080742","0.142175555148272"
"Yes","2007","66 and older","direct migration background","19","","",""
"Yes","2007","66 and older","indirect migration background","3","","",""
"No","2007","16-34 y.","no migration background","2667","0.824735877749975","0.811573388514146","0.837898366985804"
"No","2007","16-34 y.","direct migration background","393","0.941113789128468","0.918409864389972","0.963817713866965"
"No","2007","16-34 y.","indirect migration background","490","0.901196355644626","0.876005094866682","0.92638761642257"
"No","2007","35-65 y.","no migration background","6338","0.802040318842011","0.793303342199464","0.810777295484558"
"No","2007","35-65 y.","direct migration background","1116","0.918680414584772","0.903343147430293","0.934017681739251"
"No","2007","35-65 y.","indirect migration background","131","0.794932959073618","0.732566894898969","0.857299023248266"
"No","2007","66 and older","no migration background","3014","0.868968500885493","0.857824444851728","0.880112556919258"
"No","2007","66 and older","direct migration background","341","0.956077385732571","0.934909013961015","0.977245757504126"
"No","2007","66 and older","indirect migration background","7","","",""
"Yes","2008","16-34 y.","no migration background","563","0.187227027377144","0.173364660649002","0.201089394105285"
"Yes","2008","16-34 y.","direct migration background","28","","",""
"Yes","2008","16-34 y.","indirect migration background","62","0.133655419192016","0.104658031655528","0.162652806728504"
"Yes","2008","35-65 y.","no migration background","1775","0.230757757740147","0.221242892251613","0.240272623228681"
"Yes","2008","35-65 y.","direct migration background","106","0.112555648478995","0.0938189864948801","0.131292310463109"
"Yes","2008","35-65 y.","indirect migration background","38","0.207051247964993","0.1464968969788","0.267605598951187"
"Yes","2008","66 and older","no migration background","598","0.16977724455715","0.157298157845635","0.182256331268664"
"Yes","2008","66 and older","direct migration background","24","","",""
"Yes","2008","66 and older","indirect migration background","4","","",""
"No","2008","16-34 y.","no migration background","2479","0.812772972622856","0.798910605894715","0.826635339350998"
"No","2008","16-34 y.","direct migration background","327","0.899630156234772","0.86837169889644","0.930888613573103"
"No","2008","16-34 y.","indirect migration background","467","0.866344580807984","0.837347193271496","0.895341968344472"
"No","2008","35-65 y.","no migration background","5757","0.769242242259853","0.759727376771319","0.778757107748387"
"No","2008","35-65 y.","direct migration background","987","0.887444351521005","0.868707689536891","0.90618101350512"
"No","2008","35-65 y.","indirect migration background","134","0.792948752035007","0.732394401048813","0.8535031030212"
"No","2008","66 and older","no migration background","2879","0.83022275544285","0.817743668731336","0.842701842154364"
"No","2008","66 and older","direct migration background","334","0.938594508733101","0.913726031825096","0.963462985641105"
"No","2008","66 and older","indirect migration background","6","","",""
"Yes","2009","16-34 y.","no migration background","","","",""
"Yes","2009","16-34 y.","direct migration background","","","",""
"Yes","2009","16-34 y.","indirect migration background","","","",""
"Yes","2009","35-65 y.","no migration background","","","",""
"Yes","2009","35-65 y.","direct migration background","","","",""
"Yes","2009","35-65 y.","indirect migration background","","","",""
"Yes","2009","66 and older","no migration background","","","",""
"Yes","2009","66 and older","direct migration background","","","",""
"Yes","2009","66 and older","indirect migration background","","","",""
"No","2009","16-34 y.","no migration background","","","",""
"No","2009","16-34 y.","direct migration background","","","",""
"No","2009","16-34 y.","indirect migration background","","","",""
"No","2009","35-65 y.","no migration background","","","",""
"No","2009","35-65 y.","direct migration background","","","",""
"No","2009","35-65 y.","indirect migration background","","","",""
"No","2009","66 and older","no migration background","","","",""
"No","2009","66 and older","direct migration background","","","",""
"No","2009","66 and older","indirect migration background","","","",""
"Yes","2010","16-34 y.","no migration background","842","0.201017897096783","0.18919650491899","0.212839289274575"
"Yes","2010","16-34 y.","direct migration background","57","0.101412932948114","0.0817126902896979","0.12111317560653"
"Yes","2010","16-34 y.","indirect migration background","90","0.14069489138464","0.115244095126045","0.166145687643235"
"Yes","2010","35-65 y.","no migration background","2361","0.251931414942403","0.243123510437068","0.260739319447737"
"Yes","2010","35-65 y.","direct migration background","171","0.112338993639393","0.0965519796801308","0.128126007598655"
"Yes","2010","35-65 y.","indirect migration background","72","0.228318751830026","0.183302988181727","0.273334515478325"
"Yes","2010","66 and older","no migration background","608","0.180241911189739","0.166973426682496","0.193510395696982"
"Yes","2010","66 and older","direct migration background","23","","",""
"Yes","2010","66 and older","indirect migration background","","","",""
"No","2010","16-34 y.","no migration background","3573","0.798982102903217","0.787160710725425","0.81080349508101"
"No","2010","16-34 y.","direct migration background","845","0.898587067051886","0.878886824393469","0.918287309710302"
"No","2010","16-34 y.","indirect migration background","627","0.85930510861536","0.833854312356765","0.884755904873955"
"No","2010","35-65 y.","no migration background","6971","0.748068585057597","0.739260680552263","0.756876489562932"
"No","2010","35-65 y.","direct migration background","1366","0.887661006360607","0.871873992401345","0.903448020319869"
"No","2010","35-65 y.","indirect migration background","262","0.771681248169974","0.726665484521675","0.816697011818273"
"No","2010","66 and older","no migration background","2616","0.819758088810261","0.806489604303018","0.833026573317504"
"No","2010","66 and older","direct migration background","278","0.911965777943815","0.879956205049841","0.943975350837789"
"No","2010","66 and older","indirect migration background","5","","",""
"Yes","2011","16-34 y.","no migration background","584","0.19663816518377","0.182490883619532","0.210785446748007"
"Yes","2011","16-34 y.","direct migration background","29","","",""
"Yes","2011","16-34 y.","indirect migration background","58","0.136592577725775","0.105838566138267","0.167346589313284"
"Yes","2011","35-65 y.","no migration background","2146","0.263942182593942","0.254312444538633","0.273571920649252"
"Yes","2011","35-65 y.","direct migration background","126","0.0966136774072376","0.0795165777147585","0.113710777099717"
"Yes","2011","35-65 y.","indirect migration background","58","0.250098233840076","0.195308401585502","0.304888066094649"
"Yes","2011","66 and older","no migration background","821","0.201075188698191","0.188722124045504","0.213428253350879"
"Yes","2011","66 and older","direct migration background","41","0.100518237214516","0.0707899129879913","0.130246561441041"
"Yes","2011","66 and older","indirect migration background","2","","",""
"No","2011","16-34 y.","no migration background","2448","0.803361834816231","0.789214553251994","0.817509116380468"
"No","2011","16-34 y.","direct migration background","321","0.899427132231264","0.867917924890423","0.930936339572105"
"No","2011","16-34 y.","indirect migration background","421","0.863407422274225","0.832653410686716","0.894161433861734"
"No","2011","35-65 y.","no migration background","5902","0.736057817406058","0.726428079350748","0.745687555461367"
"No","2011","35-65 y.","direct migration background","1021","0.903386322592762","0.886289222900283","0.920483422285241"
"No","2011","35-65 y.","indirect migration background","182","0.749901766159924","0.695111933905351","0.804691598414498"
"No","2011","66 and older","no migration background","3223","0.798924811301809","0.786571746649121","0.811277875954496"
"No","2011","66 and older","direct migration background","352","0.899481762785484","0.869753438558959","0.929210087012009"
"No","2011","66 and older","indirect migration background","3","","",""
"Yes","2012","16-34 y.","no migration background","826","0.19146297731392","0.179836089835289","0.203089864792551"
"Yes","2012","16-34 y.","direct migration background","42","0.066463895388657","0.0486131750031965","0.0843146157741176"
"Yes","2012","16-34 y.","indirect migration background","88","0.172296747558865","0.14416019305148","0.200433302066251"
"Yes","2012","35-65 y.","no migration background","3196","0.280819547555366","0.272576179414455","0.289062915696277"
"Yes","2012","35-65 y.","direct migration background","190","0.0982991652463138","0.0844294479630261","0.112168882529602"
"Yes","2012","35-65 y.","indirect migration background","111","0.249296303389134","0.210310210138775","0.288282396639493"
"Yes","2012","66 and older","no migration background","862","0.204192433332052","0.191830798364324","0.21655406829978"
"Yes","2012","66 and older","direct migration background","43","0.0991486407529502","0.0692568158038912","0.129040465702009"
"Yes","2012","66 and older","indirect migration background","1","","",""
"No","2012","16-34 y.","no migration background","3573","0.80853702268608","0.796910135207449","0.820163910164711"
"No","2012","16-34 y.","direct migration background","706","0.933536104611343","0.915685384225882","0.951386824996803"
"No","2012","16-34 y.","indirect migration background","604","0.827703252441135","0.799566697933749","0.85583980694852"
"No","2012","35-65 y.","no migration background","8221","0.719180452444634","0.710937084303723","0.727423820585544"
"No","2012","35-65 y.","direct migration background","1580","0.901700834753686","0.887831117470398","0.915570552036974"
"No","2012","35-65 y.","indirect migration background","362","0.750703696610866","0.711717603360507","0.789689789861225"
"No","2012","66 and older","no migration background","3223","0.795807566667948","0.783445931700219","0.808169201635676"
"No","2012","66 and older","direct migration background","341","0.90085135924705","0.870959534297991","0.930743184196109"
"No","2012","66 and older","indirect migration background","4","","",""
"Yes","2013","16-34 y.","no migration background","549","0.19131967193895","0.176402743713926","0.206236600163974"
"Yes","2013","16-34 y.","direct migration background","21","","",""
"Yes","2013","16-34 y.","indirect migration background","57","0.230592767721212","0.189263033133806","0.271922502308619"
"Yes","2013","35-65 y.","no migration background","2219","0.297178350908447","0.28674660203551","0.307610099781384"
"Yes","2013","35-65 y.","direct migration background","130","0.120569246861115","0.100150931487436","0.140987562234793"
"Yes","2013","35-65 y.","indirect migration background","73","0.290292582093121","0.233340340884404","0.347244823301838"
"Yes","2013","66 and older","no migration background","905","0.22687082822942","0.213674166497812","0.240067489961028"
"Yes","2013","66 and older","direct migration background","41","0.105535948983962","0.0735301911266653","0.137541706841258"
"Yes","2013","66 and older","indirect migration background","1","","",""
"No","2013","16-34 y.","no migration background","2122","0.80868032806105","0.793763399836026","0.823597256286074"
"No","2013","16-34 y.","direct migration background","249","0.88656617800086","0.848739946933685","0.924392409068034"
"No","2013","16-34 y.","indirect migration background","342","0.769407232278787","0.728077497691381","0.810736966866194"
"No","2013","35-65 y.","no migration background","5154","0.702821649091553","0.692389900218616","0.71325339796449"
"No","2013","35-65 y.","direct migration background","847","0.879430753138885","0.859012437765206","0.899849068512564"
"No","2013","35-65 y.","indirect migration background","171","0.709707417906879","0.652755176698162","0.766659659115596"
"No","2013","66 and older","no migration background","2964","0.77312917177058","0.759932510038972","0.786325833502188"
"No","2013","66 and older","direct migration background","313","0.894464051016038","0.862458293158742","0.926469808873335"
"No","2013","66 and older","indirect migration background","3","","",""
"Yes","2014","16-34 y.","no migration background","747","0.213312389457832","0.200044613888855","0.226580165026808"
"Yes","2014","16-34 y.","direct migration background","67","0.0700697686852216","0.0565872309010449","0.0835523064693983"
"Yes","2014","16-34 y.","indirect migration background","100","0.120774375332801","0.101203472732926","0.140345277932676"
"Yes","2014","35-65 y.","no migration background","3028","0.30689198650965","0.297730814392006","0.316053158627293"
"Yes","2014","35-65 y.","direct migration background","311","0.106202207576107","0.0954396090513569","0.116964806100858"
"Yes","2014","35-65 y.","indirect migration background","143","0.292198364994276","0.256138660997953","0.3282580689906"
"Yes","2014","66 and older","no migration background","943","0.239795711198726","0.226236685992676","0.253354736404775"
"Yes","2014","66 and older","direct migration background","40","0.0901890968166578","0.0628911178513984","0.117487075781917"
"Yes","2014","66 and older","indirect migration background","1","","",""
"No","2014","16-34 y.","no migration background","2915","0.786687610542168","0.773419834973192","0.799955386111145"
"No","2014","16-34 y.","direct migration background","1310","0.929930231314778","0.916447693530602","0.943412769098955"
"No","2014","16-34 y.","indirect migration background","965","0.879225624667199","0.859654722067324","0.898796527267074"
"No","2014","35-65 y.","no migration background","6708","0.69310801349035","0.683946841372707","0.702269185607994"
"No","2014","35-65 y.","direct migration background","2837","0.893797792423893","0.883035193899142","0.904560390948643"
"No","2014","35-65 y.","indirect migration background","468","0.707801635005724","0.6717419310094","0.743861339002047"
"No","2014","66 and older","no migration background","2866","0.760204288801274","0.746645263595225","0.773763314007324"
"No","2014","66 and older","direct migration background","383","0.909810903183342","0.882512924218083","0.937108882148602"
"No","2014","66 and older","indirect migration background","2","","",""
"Yes","2015","16-34 y.","no migration background","","","",""
"Yes","2015","16-34 y.","direct migration background","","","",""
"Yes","2015","16-34 y.","indirect migration background","","","",""
"Yes","2015","35-65 y.","no migration background","","","",""
"Yes","2015","35-65 y.","direct migration background","","","",""
"Yes","2015","35-65 y.","indirect migration background","","","",""
"Yes","2015","66 and older","no migration background","","","",""
"Yes","2015","66 and older","direct migration background","","","",""
"Yes","2015","66 and older","indirect migration background","","","",""
"No","2015","16-34 y.","no migration background","","","",""
"No","2015","16-34 y.","direct migration background","","","",""
"No","2015","16-34 y.","indirect migration background","","","",""
"No","2015","35-65 y.","no migration background","","","",""
"No","2015","35-65 y.","direct migration background","","","",""
"No","2015","35-65 y.","indirect migration background","","","",""
"No","2015","66 and older","no migration background","","","",""
"No","2015","66 and older","direct migration background","","","",""
"No","2015","66 and older","indirect migration background","","","",""
"Yes","2016","16-34 y.","no migration background","525","0.162776315259207","0.149655638375171","0.175896992143244"
"Yes","2016","16-34 y.","direct migration background","58","0.0467425599614387","0.035285567059885","0.0581995528629924"
"Yes","2016","16-34 y.","indirect migration background","65","0.0981470938592881","0.0781932884542741","0.118100899264302"
"Yes","2016","35-65 y.","no migration background","2483","0.289230948413868","0.279652755113748","0.298809141713988"
"Yes","2016","35-65 y.","direct migration background","280","0.121285287578822","0.10952466682125","0.133045908336394"
"Yes","2016","35-65 y.","indirect migration background","139","0.299855717713475","0.262789439523433","0.336921995903518"
"Yes","2016","66 and older","no migration background","773","0.211036034816909","0.197688294161136","0.224383775472683"
"Yes","2016","66 and older","direct migration background","32","0.0678323829177432","0.0428117799757323","0.0928529858597541"
"Yes","2016","66 and older","indirect migration background","1","","",""
"No","2016","16-34 y.","no migration background","2516","0.837223684740793","0.824103007856756","0.850344361624829"
"No","2016","16-34 y.","direct migration background","1246","0.953257440038561","0.941800447137008","0.964714432940115"
"No","2016","16-34 y.","indirect migration background","789","0.901852906140712","0.881899100735698","0.921806711545726"
"No","2016","35-65 y.","no migration background","6125","0.710769051586132","0.701190858286011","0.720347244886252"
"No","2016","35-65 y.","direct migration background","2680","0.878714712421178","0.866954091663606","0.89047533317875"
"No","2016","35-65 y.","indirect migration background","448","0.700144282286525","0.663078004096482","0.737210560476567"
"No","2016","66 and older","no migration background","2817","0.788963965183091","0.775616224527317","0.802311705838864"
"No","2016","66 and older","direct migration background","356","0.932167617082257","0.907147014140246","0.957188220024268"
"No","2016","66 and older","indirect migration background","2","","",""
"Yes","2017","16-34 y.","no migration background","","","",""
"Yes","2017","16-34 y.","direct migration background","","","",""
"Yes","2017","16-34 y.","indirect migration background","","","",""
"Yes","2017","35-65 y.","no migration background","","","",""
"Yes","2017","35-65 y.","direct migration background","","","",""
"Yes","2017","35-65 y.","indirect migration background","","","",""
"Yes","2017","66 and older","no migration background","","","",""
"Yes","2017","66 and older","direct migration background","","","",""
"Yes","2017","66 and older","indirect migration background","","","",""
"No","2017","16-34 y.","no migration background","","","",""
"No","2017","16-34 y.","direct migration background","","","",""
"No","2017","16-34 y.","indirect migration background","","","",""
"No","2017","35-65 y.","no migration background","","","",""
"No","2017","35-65 y.","direct migration background","","","",""
"No","2017","35-65 y.","indirect migration background","","","",""
"No","2017","66 and older","no migration background","","","",""
"No","2017","66 and older","direct migration background","","","",""
"No","2017","66 and older","indirect migration background","","","",""
"Yes","2018","16-34 y.","no migration background","570","0.176786349445895","0.164317714925932","0.189254983965859"
"Yes","2018","16-34 y.","direct migration background","63","0.0982921290440668","0.0799227358912054","0.116661522196928"
"Yes","2018","16-34 y.","indirect migration background","83","0.12224346670786","0.101224704675363","0.143262228740356"
"Yes","2018","35-65 y.","no migration background","2770","0.294409525331859","0.28521823671683","0.303600813946888"
"Yes","2018","35-65 y.","direct migration background","278","0.114461077452528","0.102716824568168","0.126205330336888"
"Yes","2018","35-65 y.","indirect migration background","139","0.241684594951269","0.208491550624523","0.274877639278016"
"Yes","2018","66 and older","no migration background","858","0.223565038757093","0.210214194711864","0.236915882802322"
"Yes","2018","66 and older","direct migration background","32","0.0940884692076424","0.0663319679955353","0.12184497041975"
"Yes","2018","66 and older","indirect migration background","5","","",""
