"ple0098_v5","year","bula_h","e11102","n","percent","lower_confidence","upper_confidence","value"
"Yes","1999","Lower Saxony","Employed","63","0.110022790670096","0.0862575756891358","0.133788005651056","1"
"Yes","1999","Bremen","Not Employed","3","","","","1"
"Yes","1999","Bremen","Employed","2","","","","1"
"Yes","1999","North Rhine-Westphalia","Not Employed","59","0.089984256174594","0.0712367160462861","0.108731796302902","1"
"Yes","1999","North Rhine-Westphalia","Employed","198","0.168317918346033","0.14926910890231","0.187366727789757","1"
"Yes","1999","Hesse","Not Employed","17","","","","1"
"Yes","1999","Hesse","Employed","41","0.101971317647899","0.0753131919683819","0.128629443327416","1"
"Yes","1999","Rhineland-Palatinate,Saarland","Not Employed","11","","","","1"
"Yes","1999","Rhineland-Palatinate,Saarland","Employed","23","","","","1"
"Yes","1999","Baden-Württemberg","Not Employed","37","0.0855974175987357","0.0626502498660542","0.108544585331417","1"
"Yes","1999","Baden-Württemberg","Employed","80","0.0987633701910612","0.0802257526085035","0.117300987773619","1"
"Yes","1999","Bavaria","Not Employed","46","0.0928346213617701","0.068537432434069","0.117131810289471","1"
"Yes","1999","Bavaria","Employed","141","0.158386320721912","0.136035092842826","0.180737548600997","1"
"Yes","1999","Berlin","Not Employed","4","","","","1"
"Yes","1999","Berlin","Employed","21","","","","1"
"Yes","1999","Brandenburg","Not Employed","6","","","","1"
"Yes","1999","Brandenburg","Employed","21","","","","1"
"Yes","1999","Mecklenburg-Western Pomerania","Not Employed","3","","","","1"
"Yes","1999","Mecklenburg-Western Pomerania","Employed","8","","","","1"
"Yes","1999","Saxony","Not Employed","12","","","","1"
"Yes","1999","Saxony","Employed","48","0.0783267876393529","0.0584651950631836","0.0981883802155223","1"
"Yes","1999","Saxony-Anhalt","Not Employed","9","","","","1"
"Yes","1999","Saxony-Anhalt","Employed","22","","","","1"
"Yes","1999","Thuringia","Not Employed","4","","","","1"
"Yes","1999","Thuringia","Employed","15","","","","1"
"No","2000","Hamburg","Not Employed","101","0.950486153420816","0.909572106032275","0.991400200809357","2"
"No","2000","Brandenburg","Not Employed","372","0.987099178331855","0.975738151980091","0.99846020468362","2"
"No","2000","Schleswig-Holstein","Not Employed","215","0.924594280430054","0.890544066356888","0.958644494503221","2"
"No","2000","Schleswig-Holstein","Employed","329","0.922729295695506","0.89514630006489","0.950312291326123","2"
"No","2000","Hamburg","Employed","137","0.935083030616637","0.895522768261797","0.974643292971478","2"
"No","2000","Lower Saxony","Not Employed","636","0.901274064393222","0.87914492901548","0.923403199770964","2"
"No","2000","Lower Saxony","Employed","1000","0.902294064697746","0.884795394295239","0.919792735100254","2"
"No","2000","Bremen","Not Employed","75","0.93125115827389","0.876148609538292","0.986353707009489","2"
"No","2000","North Rhine-Westphalia","Not Employed","1603","0.891661901202259","0.877239373683828","0.90608442872069","2"
"No","2000","Hesse","Not Employed","538","0.920184303162262","0.898013893911973","0.942354712412551","2"
"No","2000","Bremen","Employed","90","0.944161008540594","0.897744125069068","0.990577892012121","2"
"No","2000","North Rhine-Westphalia","Employed","2313","0.839606882654288","0.825818457079489","0.853395308229086","2"
"No","2000","Brandenburg","Employed","551","0.938839974849274","0.919471784609442","0.958208165089105","2"
"No","2000","Hesse","Employed","820","0.896650568520185","0.876828469000602","0.916472668039768","2"
"No","2000","Rhineland-Palatinate,Saarland","Not Employed","501","0.949967985361463","0.931301569900437","0.96863440082249","2"
"No","2000","Rhineland-Palatinate,Saarland","Employed","699","0.919299437655614","0.899896524984382","0.938702350326845","2"
"No","2000","Baden-Württemberg","Employed","1469","0.865336625774018","0.848920126045008","0.881753125503027","2"
"No","2000","Bavaria","Not Employed","934","0.907931627416504","0.890223203152663","0.925640051680346","2"
"No","2000","Baden-Württemberg","Not Employed","867","0.914562374598075","0.896692750614193","0.932431998581957","2"
"No","2000","Mecklenburg-Western Pomerania","Employed","325","0.951012788048553","0.927934000347889","0.974091575749218","2"
"No","2000","Mecklenburg-Western Pomerania","Not Employed","187","0.997328661449271","0.989950421375619","1.00470690152292","2"
"No","2000","Bavaria","Employed","1617","0.865132430033433","0.849613207280308","0.880651652786557","2"
"No","2000","Berlin","Not Employed","267","0.972257683171618","0.952775894724803","0.991739471618433","2"
"No","2000","Berlin","Employed","402","0.914236247529362","0.888248911201933","0.94022358385679","2"
"No","2000","Saxony","Not Employed","664","0.985847816760286","0.976943688563716","0.994751944956856","2"
"No","2000","Saxony","Employed","941","0.926805197487543","0.910621755228406","0.942988639746681","2"
"No","2000","Saxony-Anhalt","Not Employed","415","0.975593302473261","0.960870829012839","0.990315775933683","2"
"No","2000","Saxony-Anhalt","Employed","573","0.954358009856934","0.937588222489281","0.971127797224586","2"
"No","2000","Thuringia","Not Employed","385","0.972985838037595","0.956997675584044","0.988974000491147","2"
"No","2000","Thuringia","Employed","575","0.938780018033691","0.919739973410024","0.957820062657357","2"
"Yes","2000","Hesse","Not Employed","36","0.0798156968377378","0.0576452875874489","0.101986106088027","1"
"Yes","2000","Hesse","Employed","86","0.103349431479815","0.0835273319602319","0.123171530999398","1"
"Yes","2000","Rhineland-Palatinate,Saarland","Not Employed","23","","","","1"
"Yes","2000","Rhineland-Palatinate,Saarland","Employed","58","0.0807005623443865","0.0612976496731552","0.100103475015618","1"
"Yes","2000","Baden-Württemberg","Not Employed","73","0.0854376254019253","0.0675680014180434","0.103307249385807","1"
"Yes","2000","Baden-Württemberg","Employed","192","0.134663374225983","0.118246874496973","0.151079873954992","1"
"Yes","2000","Bavaria","Not Employed","90","0.0920683725834957","0.0743599483196541","0.109776796847337","1"
"Yes","2000","Bavaria","Employed","244","0.134867569966567","0.119348347213443","0.150386792719692","1"
"Yes","2000","Berlin","Not Employed","6","","","","1"
"Yes","2000","Berlin","Employed","44","0.0857637524706384","0.0597764161432098","0.111751088798067","1"
"Yes","2000","Brandenburg","Not Employed","7","","","","1"
"Yes","2000","Brandenburg","Employed","37","0.0611600251507264","0.0417918349108945","0.0805282153905583","1"
"Yes","2000","Mecklenburg-Western Pomerania","Not Employed","1","","","","1"
"Yes","2000","Mecklenburg-Western Pomerania","Employed","11","","","","1"
"Yes","2000","Saxony","Not Employed","12","","","","1"
"Yes","2000","Saxony","Employed","54","0.0731948025124567","0.0570113602533192","0.0893782447715943","1"
"Yes","2000","Saxony-Anhalt","Not Employed","7","","","","1"
"Yes","2000","Saxony-Anhalt","Employed","22","","","","1"
"Yes","2000","Schleswig-Holstein","Not Employed","16","","","","1"
"Yes","2000","Schleswig-Holstein","Employed","31","0.0772707043044936","0.0496877086738772","0.10485369993511","1"
"Yes","2000","Hamburg","Not Employed","7","","","","1"
"Yes","2000","Hamburg","Employed","12","","","","1"
"Yes","2000","Lower Saxony","Not Employed","62","0.0987259356067782","0.076596800229036","0.12085507098452","1"
"Yes","2000","Lower Saxony","Employed","106","0.0977059353022536","0.0802072648997465","0.115204605704761","1"
"Yes","2000","Bremen","Not Employed","6","","","","1"
"Yes","2000","Bremen","Employed","4","","","","1"
"Yes","2000","North Rhine-Westphalia","Not Employed","181","0.108338098797741","0.0939155712793101","0.122760626316172","1"
"Yes","2000","North Rhine-Westphalia","Employed","408","0.160393117345712","0.146604691770913","0.174181542920511","1"
"Yes","2000","Thuringia","Not Employed","10","","","","1"
"Yes","2000","Thuringia","Employed","34","0.0612199819663092","0.0421799373426427","0.0802600265899758","1"
"No","2001","Brandenburg","Not Employed","375","0.981002017436988","0.96734766301683","0.994656371857146","2"
"No","2001","Schleswig-Holstein","Employed","316","0.910447093943032","0.88048980030502","0.940404387581043","2"
"No","2001","Schleswig-Holstein","Not Employed","191","0.91287676502619","0.874177200292191","0.951576329760189","2"
"No","2001","Hamburg","Not Employed","87","0.949464815923321","0.905183499016584","0.993746132830058","2"
"No","2001","Hamburg","Employed","121","0.946920433178849","0.90867482649573","0.985166039861968","2"
"No","2001","Lower Saxony","Not Employed","570","0.9127028437499","0.890484228097773","0.934921459402026","2"
"No","2001","Brandenburg","Employed","490","0.922345439328491","0.89945264928913","0.945238229367852","2"
"No","2001","Bremen","Employed","87","0.940727189695065","0.89247536013425","0.98897901925588","2"
"No","2001","Lower Saxony","Employed","918","0.890308109618904","0.871148790626456","0.909467428611353","2"
"No","2001","Bremen","Not Employed","49","0.88338034621955","0.798554834844473","0.968205857594626","2"
"No","2001","North Rhine-Westphalia","Employed","2098","0.84274419415023","0.828340893016836","0.857147495283623","2"
"No","2001","North Rhine-Westphalia","Not Employed","1437","0.895509988331034","0.88046013617521","0.910559840486857","2"
"No","2001","Hesse","Not Employed","437","0.909719500780649","0.883892840568693","0.935546160992604","2"
"No","2001","Hesse","Employed","752","0.917515106999453","0.898697242717465","0.936332971281442","2"
"No","2001","Rhineland-Palatinate,Saarland","Not Employed","448","0.947361006341429","0.927278735140459","0.9674432775424","2"
"No","2001","Baden-Württemberg","Not Employed","731","0.911835957737044","0.892139158361262","0.931532757112826","2"
"No","2001","Baden-Württemberg","Employed","1308","0.835555140127596","0.816827737389506","0.854282542865685","2"
"No","2001","Rhineland-Palatinate,Saarland","Employed","647","0.924571573301421","0.904938265214233","0.94420488138861","2"
"No","2001","Mecklenburg-Western Pomerania","Employed","297","0.959287490120373","0.937252788179542","0.981322192061204","2"
"No","2001","Saxony","Not Employed","617","0.983717526877966","0.973827028913434","0.993608024842497","2"
"No","2001","Mecklenburg-Western Pomerania","Not Employed","165","0.992183852182991","0.978787501544143","1.00558020282184","2"
"No","2001","Bavaria","Not Employed","824","0.907641148881657","0.888777741205447","0.926504556557867","2"
"No","2001","Bavaria","Employed","1515","0.869492129983719","0.853604720076405","0.885379539891034","2"
"No","2001","Berlin","Not Employed","251","0.981810999228708","0.965504655028867","0.99811734342855","2"
"No","2001","Berlin","Employed","387","0.889023761234927","0.859641344372952","0.918406178096902","2"
"No","2001","Saxony","Employed","856","0.929560976242501","0.91303512337843","0.946086829106571","2"
"No","2001","Saxony-Anhalt","Not Employed","402","0.993152384168786","0.985140613216056","1.00116415512152","2"
"No","2001","Saxony-Anhalt","Employed","524","0.935864086075214","0.915481530550789","0.956246641599639","2"
"No","2001","Thuringia","Not Employed","367","0.986935386073266","0.975396356893162","0.99847441525337","2"
"No","2001","Thuringia","Employed","520","0.964429614297065","0.948851039197639","0.980008189396492","2"
"Yes","2001","Schleswig-Holstein","Not Employed","13","","","","1"
"Yes","2001","Schleswig-Holstein","Employed","33","0.0895529060569685","0.0595956124189565","0.119510199694981","1"
"Yes","2001","Hamburg","Not Employed","7","","","","1"
"Yes","2001","Hamburg","Employed","11","","","","1"
"Yes","2001","Lower Saxony","Not Employed","50","0.0872971562501003","0.0650785405979738","0.109515771902227","1"
"Yes","2001","Lower Saxony","Employed","104","0.109691890381096","0.090532571388647","0.128851209373545","1"
"Yes","2001","Bremen","Not Employed","6","","","","1"
"Yes","2001","Bremen","Employed","5","","","","1"
"Yes","2001","Hesse","Not Employed","36","0.0902804992193514","0.0644538390073959","0.116107159431307","1"
"Yes","2001","Hesse","Employed","69","0.0824848930005466","0.0636670287185585","0.101302757282535","1"
"Yes","2001","Rhineland-Palatinate,Saarland","Not Employed","27","","","","1"
"Yes","2001","Rhineland-Palatinate,Saarland","Employed","48","0.0754284266985784","0.05579511861139","0.0950617347857668","1"
"Yes","2001","Baden-Württemberg","Not Employed","65","0.0881640422629556","0.0684672428871737","0.107860841638738","1"
"Yes","2001","Baden-Württemberg","Employed","197","0.164444859872404","0.145717457134314","0.183172262610494","1"
"Yes","2001","Bavaria","Not Employed","81","0.0923588511183427","0.0734954434421326","0.111222258794553","1"
"Yes","2001","Bavaria","Employed","212","0.130507870016281","0.114620460108966","0.146395279923595","1"
"Yes","2001","Berlin","Not Employed","7","","","","1"
"Yes","2001","Berlin","Employed","52","0.110976238765073","0.0815938219030984","0.140358655627048","1"
"Yes","2001","Brandenburg","Not Employed","9","","","","1"
"Yes","2001","Brandenburg","Employed","35","0.077654560671509","0.0547617706321486","0.10054735071087","1"
"Yes","2001","Mecklenburg-Western Pomerania","Not Employed","1","","","","1"
"Yes","2001","Mecklenburg-Western Pomerania","Employed","12","","","","1"
"Yes","2001","Saxony","Not Employed","12","","","","1"
"Yes","2001","Saxony","Employed","65","0.0704390237574993","0.0539131708934286","0.0869648766215701","1"
"Yes","2001","Saxony-Anhalt","Not Employed","5","","","","1"
"Yes","2001","Saxony-Anhalt","Employed","31","0.0641359139247857","0.0437533584003605","0.0845184694492108","1"
"Yes","2001","Thuringia","Not Employed","5","","","","1"
"Yes","2001","Thuringia","Employed","23","","","","1"
"Yes","2001","North Rhine-Westphalia","Not Employed","150","0.104490011668966","0.0894401595131426","0.11953986382479","1"
"Yes","2001","North Rhine-Westphalia","Employed","356","0.15725580584977","0.142852504716377","0.171659106983164","1"
"No","2002","Schleswig-Holstein","Employed","329","0.902363363186975","0.872361287569024","0.932365438804925","2"
"No","2002","Hamburg","Not Employed","97","0.937699048522443","0.891686717478252","0.983711379566634","2"
"No","2002","Brandenburg","Not Employed","382","0.975923055564191","0.960767903787843","0.99107820734054","2"
"No","2002","Schleswig-Holstein","Not Employed","202","0.923010340317479","0.887623700357828","0.95839698027713","2"
"No","2002","Lower Saxony","Employed","895","0.892301494037313","0.873267862909998","0.911335125164627","2"
"No","2002","Hamburg","Employed","142","0.945653846495243","0.91052704536532","0.980780647625165","2"
"No","2002","Lower Saxony","Not Employed","585","0.911421837082336","0.889711918558922","0.933131755605749","2"
"No","2002","North Rhine-Westphalia","Not Employed","1386","0.891968621822693","0.87661857356534","0.907318670080045","2"
"No","2002","Bremen","Employed","87","0.960351107766077","0.920692527166728","1.00000968836543","2"
"No","2002","Brandenburg","Employed","480","0.901570143324872","0.876063950745644","0.9270763359041","2"
"No","2002","North Rhine-Westphalia","Employed","2072","0.851725563625689","0.837730719366267","0.865720407885111","2"
"No","2002","Bremen","Not Employed","55","0.923736567269359","0.857130250826379","0.99034288371234","2"
"No","2002","Hesse","Not Employed","421","0.890313714202156","0.862001563495449","0.918625864908862","2"
"No","2002","Hesse","Employed","772","0.912589397480796","0.893896868585776","0.931281926375816","2"
"No","2002","Rhineland-Palatinate,Saarland","Not Employed","422","0.9348166136248","0.912307480289075","0.957325746960525","2"
"No","2002","Rhineland-Palatinate,Saarland","Employed","627","0.922065078992568","0.902178173186249","0.941951984798887","2"
"No","2002","Baden-Württemberg","Not Employed","715","0.873606798811777","0.850793444474124","0.89642015314943","2"
"No","2002","Baden-Württemberg","Employed","1326","0.8417959516512","0.823721529361632","0.859870373940769","2"
"No","2002","Bavaria","Not Employed","784","0.887871291810817","0.867176751783267","0.908565831838367","2"
"No","2002","Bavaria","Employed","1446","0.824259508846839","0.806427635634793","0.842091382058884","2"
"No","2002","Berlin","Not Employed","254","0.983979775704839","0.968659533889634","0.999300017520044","2"
"No","2002","Mecklenburg-Western Pomerania","Not Employed","168","0.993037290401681","0.980574308754746","1.00550027204862","2"
"No","2002","Mecklenburg-Western Pomerania","Employed","277","0.940403067645295","0.913388000301423","0.967418134989167","2"
"No","2002","Saxony","Not Employed","604","0.985187870481712","0.97566381027761","0.994711930685814","2"
"No","2002","Berlin","Employed","375","0.912714546026968","0.885720880065034","0.939708211988901","2"
"No","2002","Saxony","Employed","848","0.924510624074806","0.907421271060971","0.941599977088642","2"
"No","2002","Saxony-Anhalt","Not Employed","391","0.991019017647522","0.981727141468096","1.00031089382695","2"
"No","2002","Saxony-Anhalt","Employed","476","0.924810822505178","0.902080429839529","0.947541215170827","2"
"No","2002","Thuringia","Not Employed","365","0.996363436466961","0.99021338624481","1.00251348668911","2"
"No","2002","Thuringia","Employed","501","0.953302010351443","0.935406593910706","0.97119742679218","2"
"Yes","2002","Hesse","Not Employed","47","0.109686285797844","0.0813741350911376","0.137998436504551","1"
"Yes","2002","Hesse","Employed","105","0.0874106025192042","0.0687180736241839","0.106103131414225","1"
"Yes","2002","Rhineland-Palatinate,Saarland","Not Employed","40","0.0651833863752004","0.0426742530394755","0.0876925197109252","1"
"Yes","2002","Rhineland-Palatinate,Saarland","Employed","71","0.0779349210074318","0.0580480152011127","0.0978218268137509","1"
"Yes","2002","Baden-Württemberg","Not Employed","100","0.126393201188223","0.10357984685057","0.149206555525876","1"
"Yes","2002","Baden-Württemberg","Employed","240","0.1582040483488","0.140129626059231","0.176278470638369","1"
"Yes","2002","Bavaria","Not Employed","109","0.112128708189183","0.0914341681616326","0.132823248216733","1"
"Yes","2002","Bavaria","Employed","304","0.175740491153161","0.157908617941116","0.193572364365207","1"
"Yes","2002","Berlin","Not Employed","4","","","","1"
"Yes","2002","Berlin","Employed","45","0.0872854539730322","0.0602917880110986","0.114279119934966","1"
"Yes","2002","Brandenburg","Not Employed","11","","","","1"
"Yes","2002","Brandenburg","Employed","44","0.0984298566751278","0.0729236640958995","0.123936049254356","1"
"Yes","2002","Mecklenburg-Western Pomerania","Not Employed","3","","","","1"
"Yes","2002","Mecklenburg-Western Pomerania","Employed","18","","","","1"
"Yes","2002","Saxony","Not Employed","14","","","","1"
"Yes","2002","Saxony","Employed","70","0.0754893759251938","0.0584000229113583","0.0925787289390293","1"
"Yes","2002","Saxony-Anhalt","Not Employed","5","","","","1"
"Yes","2002","Saxony-Anhalt","Employed","41","0.0751891774948215","0.0524587848291725","0.0979195701604705","1"
"Yes","2002","Schleswig-Holstein","Not Employed","16","","","","1"
"Yes","2002","Schleswig-Holstein","Employed","47","0.0976366368130254","0.0676345611950751","0.127638712430976","1"
"Yes","2002","Hamburg","Not Employed","9","","","","1"
"Yes","2002","Hamburg","Employed","18","","","","1"
"Yes","2002","Lower Saxony","Not Employed","73","0.0885781629176644","0.0668682443942506","0.110288081441078","1"
"Yes","2002","Lower Saxony","Employed","124","0.107698505962687","0.0886648748353726","0.126732137090002","1"
"Yes","2002","Bremen","Not Employed","6","","","","1"
"Yes","2002","Bremen","Employed","6","","","","1"
"Yes","2002","North Rhine-Westphalia","Not Employed","185","0.108031378177307","0.0926813299199546","0.12338142643466","1"
"Yes","2002","North Rhine-Westphalia","Employed","405","0.148274436374311","0.134279592114889","0.162269280633733","1"
"Yes","2002","Thuringia","Not Employed","3","","","","1"
"Yes","2002","Thuringia","Employed","33","0.0466979896485574","0.0288025732078205","0.0645934060892943","1"
"No","2003","Schleswig-Holstein","Not Employed","200","0.93480436591423","0.901650978232143","0.967957753596317","2"
"No","2003","Brandenburg","Employed","460","0.932861538927839","0.910903573181224","0.954819504674455","2"
"No","2003","Schleswig-Holstein","Employed","306","0.902308274334829","0.870979391822128","0.93363715684753","2"
"No","2003","Hamburg","Not Employed","89","0.930886674263394","0.880668102650983","0.981105245875806","2"
"No","2003","Hamburg","Employed","131","0.922009962345805","0.878661190710435","0.965358733981175","2"
"No","2003","Brandenburg","Not Employed","380","0.970639673711329","0.953991791235487","0.987287556187171","2"
"No","2003","Lower Saxony","Not Employed","571","0.908363175264712","0.885798294388445","0.930928056140979","2"
"No","2003","Lower Saxony","Employed","865","0.876253057469283","0.855812980645657","0.89669313429291","2"
"No","2003","Bremen","Not Employed","62","0.936065284470101","0.877919923263181","0.99421064567702","2"
"No","2003","Bremen","Employed","77","0.953717270208316","0.908518319647182","0.99891622076945","2"
"No","2003","North Rhine-Westphalia","Employed","1921","0.835471953285154","0.820378893799479","0.850565012770828","2"
"No","2003","North Rhine-Westphalia","Not Employed","1358","0.891257267021285","0.875808726523621","0.90670580751895","2"
"No","2003","Hesse","Not Employed","376","0.906493816779546","0.87858364315014","0.934403990408952","2"
"No","2003","Hesse","Employed","710","0.916151331821794","0.897064349352094","0.935238314291494","2"
"No","2003","Rhineland-Palatinate,Saarland","Not Employed","419","0.909465485076647","0.88330008957379","0.935630880579503","2"
"No","2003","Rhineland-Palatinate,Saarland","Employed","608","0.906127688564526","0.884174545854077","0.928080831274974","2"
"No","2003","Baden-Württemberg","Not Employed","709","0.884499122660155","0.86229503659927","0.90670320872104","2"
"No","2003","Baden-Württemberg","Employed","1258","0.849834915825484","0.831671795777668","0.867998035873301","2"
"No","2003","Bavaria","Not Employed","776","0.889114924100767","0.868439866452873","0.909789981748661","2"
"No","2003","Bavaria","Employed","1371","0.832421779844563","0.814411370915842","0.850432188773284","2"
"No","2003","Mecklenburg-Western Pomerania","Not Employed","181","0.993616119571882","0.982076958584969","1.00515528055879","2"
"No","2003","Mecklenburg-Western Pomerania","Employed","271","0.913447553505625","0.88125200982063","0.945643097190619","2"
"No","2003","Saxony","Not Employed","600","0.98178588060892","0.971217145484604","0.992354615733236","2"
"No","2003","Saxony","Employed","812","0.921125642213311","0.903326974670541","0.93892430975608","2"
"No","2003","Berlin","Not Employed","256","0.97176239417628","0.951930021536831","0.991594766815729","2"
"No","2003","Berlin","Employed","369","0.893106541664155","0.863235224069699","0.92297785925861","2"
"No","2003","Saxony-Anhalt","Not Employed","389","0.985981432432193","0.97441660849292","0.997546256371466","2"
"No","2003","Saxony-Anhalt","Employed","440","0.901032427315861","0.874428724969418","0.927636129662304","2"
"No","2003","Thuringia","Not Employed","363","0.985974200271171","0.974007959735473","0.997940440806869","2"
"No","2003","Thuringia","Employed","479","0.952179853175255","0.933678538592141","0.970681167758369","2"
"Yes","2003","Hesse","Not Employed","42","0.0935061832204541","0.0655960095910485","0.12141635684986","1"
"Yes","2003","Schleswig-Holstein","Not Employed","13","","","","1"
"Yes","2003","Schleswig-Holstein","Employed","39","0.0976917256651712","0.0663628431524703","0.129020608177872","1"
"Yes","2003","Hamburg","Not Employed","9","","","","1"
"Yes","2003","Hamburg","Employed","16","","","","1"
"Yes","2003","Lower Saxony","Not Employed","57","0.0916368247352877","0.069071943859021","0.114201705611554","1"
"Yes","2003","Lower Saxony","Employed","132","0.123746942530717","0.10330686570709","0.144187019354343","1"
"Yes","2003","Bremen","Not Employed","6","","","","1"
"Yes","2003","Bremen","Employed","6","","","","1"
"Yes","2003","Hesse","Employed","100","0.0838486681782057","0.0647616857085058","0.102935650647905","1"
"Yes","2003","Rhineland-Palatinate,Saarland","Not Employed","43","0.0905345149233533","0.0643691194204966","0.11669991042621","1"
"Yes","2003","Rhineland-Palatinate,Saarland","Employed","70","0.0938723114354742","0.0719191687250259","0.115825454145923","1"
"Yes","2003","Baden-Württemberg","Not Employed","87","0.115500877339845","0.0932967912789603","0.13770496340073","1"
"Yes","2003","Baden-Württemberg","Employed","228","0.150165084174516","0.132001964126699","0.168328204222332","1"
"Yes","2003","Bavaria","Not Employed","110","0.110885075899233","0.0902100182513391","0.131560133547127","1"
"Yes","2003","Bavaria","Employed","281","0.167578220155437","0.149567811226716","0.185588629084158","1"
"Yes","2003","Berlin","Not Employed","12","","","","1"
"Yes","2003","Berlin","Employed","42","0.106893458335845","0.0770221407413898","0.136764775930301","1"
"Yes","2003","Brandenburg","Not Employed","15","","","","1"
"Yes","2003","Brandenburg","Employed","39","0.0671384610721607","0.0451804953255451","0.0890964268187764","1"
"Yes","2003","Mecklenburg-Western Pomerania","Not Employed","2","","","","1"
"Yes","2003","Mecklenburg-Western Pomerania","Employed","22","","","","1"
"Yes","2003","Saxony","Not Employed","15","","","","1"
"Yes","2003","Saxony","Employed","69","0.0788743577866895","0.0610756902439201","0.0966730253294589","1"
"Yes","2003","Saxony-Anhalt","Not Employed","8","","","","1"
"Yes","2003","Saxony-Anhalt","Employed","44","0.0989675726841389","0.0723638703376963","0.125571275030582","1"
"Yes","2003","Thuringia","Not Employed","8","","","","1"
"Yes","2003","Thuringia","Employed","32","0.0478201468247453","0.0293188322416313","0.0663214614078594","1"
"Yes","2003","North Rhine-Westphalia","Not Employed","202","0.108742732978715","0.0932941924810505","0.124191273476379","1"
"Yes","2003","North Rhine-Westphalia","Employed","397","0.164528046714846","0.149434987229172","0.179621106200521","1"
"No","2004","Lower Saxony","Not Employed","550","0.911961480093714","0.889530798659601","0.934392161527826","2"
"No","2004","Lower Saxony","Employed","847","0.872673212489664","0.851908964493701","0.893437460485628","2"
"No","2004","Brandenburg","Employed","419","0.887161358610022","0.858372838940952","0.915949878279092","2"
"No","2004","Schleswig-Holstein","Not Employed","202","0.944048415920102","0.91325594559409","0.974840886246114","2"
"No","2004","Schleswig-Holstein","Employed","302","0.91326443363768","0.883304204978518","0.943224662296841","2"
"No","2004","Hamburg","Employed","123","0.908046702660102","0.861013794145205","0.955079611174998","2"
"No","2004","Brandenburg","Not Employed","372","0.969563232791252","0.952492167604166","0.986634297978338","2"
"No","2004","Hamburg","Not Employed","89","0.951154973935695","0.908260826679092","0.994049121192298","2"
