"ple0098_v5","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","2010","Urban Area","East Germany","1527","0.861655404988799","0.845705439601506","0.877605370376092","2"
"No","2010","Rural Area","East Germany","2861","0.881341068092011","0.870238380189229","0.892443755994793","2"
"No","2010","Urban Area","West Germany","8900","0.770869164794968","0.763221435908782","0.778516893681155","2"
"No","2010","Rural Area","West Germany","3255","0.811290344302712","0.799323739344882","0.823256949260543","2"
"Yes","2010","Rural Area","East Germany","398","0.118658931907989","0.107556244005207","0.129761619810771","1"
"Yes","2010","Urban Area","West Germany","2701","0.229130835205031","0.221483106318845","0.236778564091218","1"
"Yes","2010","Urban Area","East Germany","273","0.1383445950112","0.122394629623908","0.154294560398493","1"
"Yes","2010","Rural Area","West Germany","852","0.188709655697288","0.176743050739457","0.200676260655118","1"
"No","2011","Urban Area","East Germany","1334","0.837040325278239","0.819016616049645","0.855064034506832","2"
"No","2011","Rural Area","East Germany","2520","0.869758950520357","0.857538795529496","0.881979105511218","2"
"No","2011","Urban Area","West Germany","7303","0.761752122418064","0.753294345146393","0.770209899689736","2"
"No","2011","Rural Area","West Germany","2716","0.803113714472457","0.789873569955388","0.816353858989525","2"
"Yes","2011","Urban Area","West Germany","2443","0.238247877581936","0.229790100310264","0.246705654853608","1"
"Yes","2011","Urban Area","East Germany","279","0.162959674721761","0.144935965493168","0.180983383950355","1"
"Yes","2011","Rural Area","West Germany","749","0.196886285527543","0.183646141010475","0.210126430044612","1"
"Yes","2011","Rural Area","East Germany","394","0.130241049479643","0.118020894488782","0.142461204470504","1"
"No","2012","Urban Area","East Germany","1670","0.826597371454946","0.81012402183544","0.843070721074451","2"
"No","2012","Rural Area","East Germany","3183","0.869867294787387","0.859013145295495","0.880721444279278","2"
"No","2012","Urban Area","West Germany","9741","0.756446466841559","0.749082206189216","0.763810727493902","2"
"No","2012","Rural Area","West Germany","4020","0.798336830504889","0.787434293858571","0.809239367151206","2"
"Yes","2012","Urban Area","West Germany","3309","0.243553533158441","0.236189272506098","0.250917793810784","1"
"Yes","2012","Urban Area","East Germany","359","0.173402628545054","0.156929278925549","0.18987597816456","1"
"Yes","2012","Rural Area","West Germany","1183","0.201663169495111","0.190760632848794","0.212565706141429","1"
"Yes","2012","Rural Area","East Germany","508","0.130132705212613","0.119278555720722","0.140986854704505","1"
"No","2013","Urban Area","East Germany","1189","0.808150737417844","0.788103698056786","0.828197776778902","2"
"No","2013","Rural Area","East Germany","2246","0.860660741550229","0.847498142070262","0.873823341030197","2"
"No","2013","Urban Area","West Germany","6307","0.727828746479972","0.718530141264406","0.737127351695538","2"
"No","2013","Rural Area","West Germany","2423","0.764770166220591","0.750118086519354","0.779422245921828","2"
"Yes","2013","Urban Area","West Germany","2494","0.272171253520028","0.262872648304462","0.281469858735594","1"
"Yes","2013","Urban Area","East Germany","293","0.191849262582156","0.171802223221098","0.211896301943213","1"
"Yes","2013","Rural Area","West Germany","796","0.235229833779409","0.220577754078172","0.249881913480646","1"
"Yes","2013","Rural Area","East Germany","413","0.139339258449771","0.126176658969803","0.152501857929738","1"
"No","2014","Urban Area","West Germany","10301","0.746128841735687","0.738815558151535","0.753442125319839","2"
"No","2014","Urban Area","East Germany","1549","0.813127200828606","0.795562538094534","0.830691863562678","2"
"No","2014","Rural Area","East Germany","2796","0.844547627780041","0.832202077358806","0.856893178201275","2"
"No","2014","Rural Area","West Germany","3808","0.752915986397585","0.740994070894845","0.764837901900324","2"
"Yes","2014","Urban Area","East Germany","343","0.186872799171394","0.169308136437322","0.204437461905466","1"
"Yes","2014","Rural Area","West Germany","1220","0.247084013602415","0.235162098099676","0.259005929105155","1"
"Yes","2014","Rural Area","East Germany","513","0.155452372219959","0.143106821798725","0.167797922641194","1"
"Yes","2014","Urban Area","West Germany","3304","0.253871158264313","0.246557874680161","0.261184441848465","1"
"No","2015","Rural Area","East Germany","","","","","2"
"No","2015","Urban Area","West Germany","","","","","2"
"No","2015","Urban Area","East Germany","","","","","2"
"No","2015","Rural Area","West Germany","","","","","2"
"Yes","2015","Urban Area","East Germany","","","","","1"
"Yes","2015","Rural Area","West Germany","","","","","1"
"Yes","2015","Rural Area","East Germany","","","","","1"
"Yes","2015","Urban Area","West Germany","","","","","1"
"No","2016","Rural Area","East Germany","2555","0.866220799569509","0.853973939814242","0.878467659324776","2"
"No","2016","Urban Area","West Germany","9427","0.770077379805294","0.762586738785384","0.777568020825205","2"
"No","2016","Urban Area","East Germany","1442","0.855767153674739","0.839163878673236","0.872370428676243","2"
"No","2016","Rural Area","West Germany","3555","0.770505702079569","0.758253541575128","0.782757862584011","2"
"Yes","2016","Urban Area","East Germany","278","0.144232846325261","0.127629571323757","0.160836121326764","1"
"Yes","2016","Rural Area","East Germany","413","0.133779200430491","0.121532340675224","0.146026060185758","1"
"Yes","2016","Urban Area","West Germany","2695","0.229922620194706","0.222431979174795","0.237413261214616","1"
"Yes","2016","Rural Area","West Germany","970","0.229494297920431","0.217242137415989","0.241746458424872","1"
"No","2017","Urban Area","West Germany","","","","","2"
"No","2017","Urban Area","East Germany","","","","","2"
"No","2017","Rural Area","West Germany","","","","","2"
"No","2017","Rural Area","East Germany","","","","","2"
"Yes","2017","Urban Area","East Germany","","","","","1"
"Yes","2017","Rural Area","East Germany","","","","","1"
"Yes","2017","Urban Area","West Germany","","","","","1"
"Yes","2017","Rural Area","West Germany","","","","","1"
"No","2018","Urban Area","West Germany","9887","0.769446724511443","0.762118610695592","0.776774838327295","2"
"No","2018","Urban Area","East Germany","1478","0.820335138302045","0.802648877103535","0.838021399500556","2"
"No","2018","Rural Area","West Germany","3678","0.757300084343193","0.745169358589212","0.769430810097173","2"
"No","2018","Rural Area","East Germany","2785","0.844292500053129","0.831974004707423","0.856610995398834","2"
"Yes","2018","Urban Area","East Germany","332","0.179664861697955","0.161978600499444","0.197351122896466","1"
"Yes","2018","Rural Area","East Germany","543","0.155707499946872","0.143389004601166","0.168025995292577","1"
"Yes","2018","Urban Area","West Germany","2803","0.230553275488557","0.223225161672705","0.237881389304408","1"
"Yes","2018","Rural Area","West Germany","1120","0.242699915656807","0.230569189902827","0.254830641410788","1"
