"ple0098_v5","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"No","1999","Rhineland-Palatinate,Saarland","Other degree","66","0.988512506132308","0.962996398817637","1.01402861344698"
"No","1999","Rhineland-Palatinate,Saarland","no degree/no degree yet","35","1","1","1"
"No","1999","Baden-Württemberg","lower secondary degree","659","0.928877295154591","0.909944498593956","0.947810091715227"
"No","1999","Baden-Württemberg","secondary school degree","224","0.857325434541604","0.815056981837836","0.899593887245373"
"No","1999","Baden-Württemberg","college entrance qualification","151","0.830459864720906","0.77438355130593","0.886536178135881"
"No","1999","Baden-Württemberg","Other degree","204","0.992826186159868","0.981329449564561","1.00432292275518"
"No","1999","Baden-Württemberg","no degree/no degree yet","158","0.983968007222575","0.96444558181518","1.00349043262997"
"No","1999","Bavaria","lower secondary degree","694","0.901747741053398","0.880710018431742","0.922785463675054"
"No","1999","Bavaria","secondary school degree","284","0.809155018683162","0.767688766803501","0.850621270562823"
"No","1999","Bavaria","college entrance qualification","156","0.797125427257377","0.740391012795301","0.853859841719453"
"No","1999","Bavaria","Other degree","135","0.926019770203313","0.882030515467881","0.970009024938745"
"No","1999","Bavaria","no degree/no degree yet","63","0.915655465195392","0.849112031165835","0.982198899224949"
"No","1999","Berlin","lower secondary degree","110","0.982347627644306","0.958067944795284","1.00662731049333"
"No","1999","Berlin","secondary school degree","157","0.967739045680455","0.940696728389459","0.99478136297145"
"No","1999","Berlin","college entrance qualification","99","0.912318755572624","0.859464689589602","0.965172821555645"
"No","1999","Berlin","Other degree","22","","",""
"No","1999","Berlin","no degree/no degree yet","20","","",""
"No","1999","Brandenburg","lower secondary degree","188","0.981467313265067","0.962440040277431","1.0004945862527"
"No","1999","Brandenburg","secondary school degree","253","0.931661355995687","0.901281383692141","0.962041328299233"
"No","1999","Brandenburg","college entrance qualification","70","0.867213994454458","0.791418739076669","0.943009249832247"
"No","1999","Brandenburg","Other degree","9","","",""
"No","1999","Brandenburg","no degree/no degree yet","15","","",""
"No","1999","Mecklenburg-Western Pomerania","lower secondary degree","113","1","1","1"
"No","1999","Mecklenburg-Western Pomerania","secondary school degree","173","0.93889602899938","0.904001907239579","0.973790150759181"
"No","1999","Mecklenburg-Western Pomerania","college entrance qualification","53","0.987911593623443","0.959030720877054","1.01679246636983"
"No","1999","Mecklenburg-Western Pomerania","Other degree","2","","",""
"No","1999","Mecklenburg-Western Pomerania","no degree/no degree yet","10","","",""
"No","1999","Saxony","lower secondary degree","376","0.979321465497696","0.965143460541317","0.993499470454074"
"No","1999","Saxony","secondary school degree","473","0.920066981577631","0.896391127638539","0.943742835516724"
"No","1999","Saxony","college entrance qualification","138","0.92644043174135","0.884802614626803","0.968078248855898"
"No","1999","Saxony","Other degree","10","","",""
"No","1999","Saxony","no degree/no degree yet","32","0.936626031741952","0.854732953579805","1.0185191099041"
"No","1999","Saxony-Anhalt","lower secondary degree","243","0.955315178930516","0.929652513132121","0.98097784472891"
"No","1999","Saxony-Anhalt","secondary school degree","273","0.936414217773683","0.908183549988186","0.96464488555918"
"No","1999","Saxony-Anhalt","college entrance qualification","79","0.955947619502954","0.91232212457244","0.999573114433467"
"No","1999","Saxony-Anhalt","Other degree","12","","",""
"No","1999","Saxony-Anhalt","no degree/no degree yet","18","","",""
"No","1999","Thuringia","lower secondary degree","262","0.987863920965824","0.974705764908295","1.00102207702335"
"No","1999","Thuringia","secondary school degree","305","0.961090787523444","0.939836675826904","0.982344899219984"
"No","1999","Thuringia","college entrance qualification","72","0.98712487471844","0.961263688546654","1.01298606089023"
"No","1999","Thuringia","Other degree","6","","",""
"No","1999","Thuringia","no degree/no degree yet","15","","",""
"Yes","2000","Schleswig-Holstein","lower secondary degree","17","","",""
"Yes","2000","Schleswig-Holstein","secondary school degree","18","","",""
"Yes","2000","Schleswig-Holstein","college entrance qualification","12","","",""
"Yes","2000","Schleswig-Holstein","Other degree","","","",""
"Yes","2000","Schleswig-Holstein","no degree/no degree yet","","","",""
"Yes","2000","Hamburg","lower secondary degree","4","","",""
"Yes","2000","Hamburg","secondary school degree","9","","",""
"Yes","2000","Hamburg","college entrance qualification","6","","",""
"Yes","2000","Hamburg","Other degree","","","",""
"Yes","2000","Hamburg","no degree/no degree yet","","","",""
"Yes","2000","Lower Saxony","lower secondary degree","56","0.0750439581088527","0.0572272747809398","0.0928606414367656"
"Yes","2000","Lower Saxony","secondary school degree","66","0.127476415305979","0.0988665147535082","0.15608631585845"
"Yes","2000","Lower Saxony","college entrance qualification","40","0.140570448920779","0.099188055731631","0.181952842109927"
"Yes","2000","Lower Saxony","Other degree","3","","",""
"Yes","2000","Lower Saxony","no degree/no degree yet","3","","",""
"Yes","2000","Bremen","lower secondary degree","5","","",""
"Yes","2000","Bremen","secondary school degree","4","","",""
"Yes","2000","Bremen","college entrance qualification","1","","",""
"Yes","2000","Bremen","Other degree","","","",""
"Yes","2000","Bremen","no degree/no degree yet","","","",""
"Yes","2000","North Rhine-Westphalia","lower secondary degree","201","0.095324075241294","0.0827099962775199","0.107938154205068"
"Yes","2000","North Rhine-Westphalia","secondary school degree","167","0.188377103065194","0.163603833729609","0.213150372400779"
"Yes","2000","North Rhine-Westphalia","college entrance qualification","196","0.259338540793356","0.229486341844402","0.28919073974231"
"Yes","2000","North Rhine-Westphalia","Other degree","10","","",""
"Yes","2000","North Rhine-Westphalia","no degree/no degree yet","15","","",""
"Yes","2000","Hesse","lower secondary degree","31","0.0526407913927399","0.0348608500327334","0.0704207327527465"
"Yes","2000","Hesse","secondary school degree","44","0.144650827653355","0.108906362565834","0.180395292740877"
"Yes","2000","Hesse","college entrance qualification","39","0.165936369908755","0.120974889623112","0.210897850194397"
"Yes","2000","Hesse","Other degree","7","","",""
"Yes","2000","Hesse","no degree/no degree yet","1","","",""
"Yes","2000","Rhineland-Palatinate,Saarland","lower secondary degree","28","","",""
"Yes","2000","Rhineland-Palatinate,Saarland","secondary school degree","36","0.134574829297253","0.093792818900387","0.175356839694119"
"Yes","2000","Rhineland-Palatinate,Saarland","college entrance qualification","15","","",""
"Yes","2000","Rhineland-Palatinate,Saarland","Other degree","1","","",""
"Yes","2000","Rhineland-Palatinate,Saarland","no degree/no degree yet","1","","",""
"Yes","2000","Baden-Württemberg","lower secondary degree","84","0.0821500684641175","0.0664493703774368","0.0978507665507981"
"Yes","2000","Baden-Württemberg","secondary school degree","96","0.183672947850485","0.150953072110365","0.216392823590605"
"Yes","2000","Baden-Württemberg","college entrance qualification","73","0.195925118786126","0.157028540139157","0.234821697433095"
"Yes","2000","Baden-Württemberg","Other degree","10","","",""
"Yes","2000","Baden-Württemberg","no degree/no degree yet","2","","",""
"Yes","2000","Bavaria","lower secondary degree","120","0.081446294672787","0.0677588192130987","0.0951337701324753"
"Yes","2000","Bavaria","secondary school degree","114","0.176439103118179","0.1480171219716","0.204861084264758"
"Yes","2000","Bavaria","college entrance qualification","84","0.186071000018455","0.148169780293661","0.223972219743249"
"Yes","2000","Bavaria","Other degree","6","","",""
"Yes","2000","Bavaria","no degree/no degree yet","8","","",""
"Yes","2000","Berlin","lower secondary degree","7","","",""
"Yes","2000","Berlin","secondary school degree","15","","",""
"Yes","2000","Berlin","college entrance qualification","24","","",""
"Yes","2000","Berlin","Other degree","1","","",""
"Yes","2000","Berlin","no degree/no degree yet","3","","",""
"Yes","2000","Brandenburg","lower secondary degree","6","","",""
"Yes","2000","Brandenburg","secondary school degree","25","","",""
"Yes","2000","Brandenburg","college entrance qualification","13","","",""
"Yes","2000","Brandenburg","Other degree","","","",""
"Yes","2000","Brandenburg","no degree/no degree yet","","","",""
"Yes","2000","Mecklenburg-Western Pomerania","lower secondary degree","2","","",""
"Yes","2000","Mecklenburg-Western Pomerania","secondary school degree","7","","",""
"Yes","2000","Mecklenburg-Western Pomerania","college entrance qualification","3","","",""
"Yes","2000","Mecklenburg-Western Pomerania","Other degree","","","",""
"Yes","2000","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"Yes","2000","Saxony","lower secondary degree","10","","",""
"Yes","2000","Saxony","secondary school degree","45","0.0741589847687009","0.0558638725249651","0.0924540970124368"
"Yes","2000","Saxony","college entrance qualification","9","","",""
"Yes","2000","Saxony","Other degree","","","",""
"Yes","2000","Saxony","no degree/no degree yet","2","","",""
"Yes","2000","Saxony-Anhalt","lower secondary degree","5","","",""
"Yes","2000","Saxony-Anhalt","secondary school degree","13","","",""
"Yes","2000","Saxony-Anhalt","college entrance qualification","9","","",""
"Yes","2000","Saxony-Anhalt","Other degree","","","",""
"Yes","2000","Saxony-Anhalt","no degree/no degree yet","1","","",""
"Yes","2000","Thuringia","lower secondary degree","8","","",""
"Yes","2000","Thuringia","secondary school degree","29","","",""
"Yes","2000","Thuringia","college entrance qualification","6","","",""
"Yes","2000","Thuringia","Other degree","","","",""
"Yes","2000","Thuringia","no degree/no degree yet","1","","",""
"No","2000","Schleswig-Holstein","lower secondary degree","277","0.948667137975115","0.92344225886535","0.973892017084879"
"No","2000","Schleswig-Holstein","secondary school degree","134","0.900682002213856","0.853134685036229","0.948229319391483"
"No","2000","Schleswig-Holstein","college entrance qualification","74","0.826748431878044","0.746760559980865","0.906736303775224"
"No","2000","Schleswig-Holstein","Other degree","33","1","1","1"
"No","2000","Schleswig-Holstein","no degree/no degree yet","24","","",""
"No","2000","Hamburg","lower secondary degree","94","0.973705279252508","0.942025430683627","1.00538512782139"
"No","2000","Hamburg","secondary school degree","73","0.907174394988233","0.844365601505043","0.969983188471423"
"No","2000","Hamburg","college entrance qualification","53","0.915957429633578","0.845161319975615","0.986753539291541"
"No","2000","Hamburg","Other degree","12","","",""
"No","2000","Hamburg","no degree/no degree yet","6","","",""
"No","2000","Lower Saxony","lower secondary degree","784","0.924956041891147","0.907139358563234","0.94277272521906"
"No","2000","Lower Saxony","secondary school degree","456","0.872523584694021","0.84391368414155","0.901133485246492"
"No","2000","Lower Saxony","college entrance qualification","231","0.859429551079221","0.818047157890073","0.900811944268369"
"No","2000","Lower Saxony","Other degree","103","0.962166288845768","0.925845129821314","0.998487447870222"
"No","2000","Lower Saxony","no degree/no degree yet","59","0.908352455691252","0.836533371998088","0.980171539384416"
"No","2000","Bremen","lower secondary degree","71","0.935126208378088","0.879751551255603","0.990500865500573"
"No","2000","Bremen","secondary school degree","34","0.882180076638037","0.779675257584024","0.98468489569205"
"No","2000","Bremen","college entrance qualification","36","0.961612598094321","0.899705326926737","1.02351986926191"
"No","2000","Bremen","Other degree","20","","",""
"No","2000","Bremen","no degree/no degree yet","4","","",""
"No","2000","North Rhine-Westphalia","lower secondary degree","1881","0.904675924758706","0.892061845794932","0.91729000372248"
"No","2000","North Rhine-Westphalia","secondary school degree","790","0.811622896934806","0.786849627599221","0.836396166270391"
"No","2000","North Rhine-Westphalia","college entrance qualification","632","0.740661459206644","0.71080926025769","0.770513658155598"
"No","2000","North Rhine-Westphalia","Other degree","381","0.96983170824735","0.952877275593099","0.986786140901601"
"No","2000","North Rhine-Westphalia","no degree/no degree yet","213","0.939982354199344","0.90915189480505","0.970812813593637"
"No","2000","Hesse","lower secondary degree","575","0.94735920860726","0.929579267247253","0.965139149967267"
"No","2000","Hesse","secondary school degree","328","0.855349172346644","0.819604707259123","0.891093637434166"
"No","2000","Hesse","college entrance qualification","224","0.834063630091245","0.789102149805603","0.879025110376888"
"No","2000","Hesse","Other degree","158","0.951869779543247","0.919210709528698","0.984528849557795"
"No","2000","Hesse","no degree/no degree yet","70","0.962077687717085","0.917648191060341","1.00650718437383"
"No","2000","Rhineland-Palatinate,Saarland","lower secondary degree","685","0.957149316835023","0.942284072633127","0.972014561036919"
"No","2000","Rhineland-Palatinate,Saarland","secondary school degree","233","0.865425170702747","0.824643160305881","0.906207181099613"
"No","2000","Rhineland-Palatinate,Saarland","college entrance qualification","122","0.86768396963801","0.81094586473056","0.924422074545461"
"No","2000","Rhineland-Palatinate,Saarland","Other degree","113","0.994430309940232","0.9807688108971","1.00809180898336"
"No","2000","Rhineland-Palatinate,Saarland","no degree/no degree yet","43","0.977713337348524","0.934096914732127","1.02132975996492"
"No","2000","Baden-Württemberg","lower secondary degree","1091","0.917849931535882","0.902149233449202","0.933550629622563"
"No","2000","Baden-Württemberg","secondary school degree","442","0.816327052149515","0.783607176409395","0.849046927889635"
"No","2000","Baden-Württemberg","college entrance qualification","327","0.804074881213874","0.765178302566905","0.842971459860843"
"No","2000","Baden-Württemberg","Other degree","334","0.959849212230477","0.939104022484145","0.980594401976809"
"No","2000","Baden-Württemberg","no degree/no degree yet","136","0.979093419721137","0.955222886856705","1.00296395258557"
"No","2000","Bavaria","lower secondary degree","1414","0.918553705327213","0.904866229867525","0.932241180786901"
"No","2000","Bavaria","secondary school degree","577","0.823560896881821","0.795138915735242","0.8519828780284"
"No","2000","Bavaria","college entrance qualification","321","0.813928999981545","0.776027780256751","0.85183021970634"
"No","2000","Bavaria","Other degree","165","0.96428517204941","0.936470300332995","0.992100043765826"
"No","2000","Bavaria","no degree/no degree yet","70","0.896439918268744","0.828822657120043","0.964057179417445"
"No","2000","Berlin","lower secondary degree","177","0.964260448192209","0.937437228469104","0.991083667915315"
"No","2000","Berlin","secondary school degree","247","0.933694979056693","0.903566780466035","0.963823177647351"
"No","2000","Berlin","college entrance qualification","179","0.906229335817074","0.86612857369778","0.946330097936369"
"No","2000","Berlin","Other degree","33","0.991898092211275","0.961765547616634","1.02203063680592"
"No","2000","Berlin","no degree/no degree yet","33","0.917758543849027","0.828014330650693","1.00750275704736"
"No","2000","Brandenburg","lower secondary degree","308","0.98538478286741","0.97211117973415","0.99865838600067"
"No","2000","Brandenburg","secondary school degree","421","0.948023261964994","0.927421959952654","0.968624563977334"
"No","2000","Brandenburg","college entrance qualification","154","0.923699650132418","0.883435502507325","0.96396379775751"
"No","2000","Brandenburg","Other degree","16","","",""
"No","2000","Brandenburg","no degree/no degree yet","24","","",""
"No","2000","Mecklenburg-Western Pomerania","lower secondary degree","162","0.990219704966623","0.975158215335241","1.00528119459801"
"No","2000","Mecklenburg-Western Pomerania","secondary school degree","250","0.948283247657057","0.921208389449043","0.97535810586507"
"No","2000","Mecklenburg-Western Pomerania","college entrance qualification","72","0.973612612866639","0.937337501920208","1.00988772381307"
"No","2000","Mecklenburg-Western Pomerania","Other degree","8","","",""
"No","2000","Mecklenburg-Western Pomerania","no degree/no degree yet","20","","",""
"No","2000","Saxony","lower secondary degree","541","0.980678974571156","0.969185514013757","0.992172435128556"
"No","2000","Saxony","secondary school degree","743","0.925841015231299","0.907545902987563","0.944136127475035"
"No","2000","Saxony","college entrance qualification","257","0.957352622236049","0.93307034546947","0.981634899002628"
"No","2000","Saxony","Other degree","24","","",""
"No","2000","Saxony","no degree/no degree yet","39","0.979495948117248","0.936117168416397","1.0228747278181"
"No","2000","Saxony-Anhalt","lower secondary degree","377","0.986194000186139","0.974492770098935","0.997895230273344"
"No","2000","Saxony-Anhalt","secondary school degree","404","0.950694557538351","0.929914440100764","0.971474674975937"
"No","2000","Saxony-Anhalt","college entrance qualification","163","0.936478850741679","0.90002931274397","0.972928388739388"
"No","2000","Saxony-Anhalt","Other degree","19","","",""
"No","2000","Saxony-Anhalt","no degree/no degree yet","24","","",""
"No","2000","Thuringia","lower secondary degree","377","0.969783582801252","0.952684350035466","0.986882815567038"
"No","2000","Thuringia","secondary school degree","430","0.937989831122134","0.915926439669784","0.960053222574485"
"No","2000","Thuringia","college entrance qualification","121","0.949715492334305","0.911708798449028","0.987722186219582"
"No","2000","Thuringia","Other degree","5","","",""
"No","2000","Thuringia","no degree/no degree yet","27","","",""
"Yes","2001","Schleswig-Holstein","lower secondary degree","17","","",""
"Yes","2001","Schleswig-Holstein","secondary school degree","12","","",""
"Yes","2001","Schleswig-Holstein","college entrance qualification","17","","",""
"Yes","2001","Schleswig-Holstein","Other degree","","","",""
"Yes","2001","Schleswig-Holstein","no degree/no degree yet","","","",""
"Yes","2001","Hamburg","lower secondary degree","2","","",""
"Yes","2001","Hamburg","secondary school degree","12","","",""
"Yes","2001","Hamburg","college entrance qualification","4","","",""
"Yes","2001","Hamburg","Other degree","","","",""
"Yes","2001","Hamburg","no degree/no degree yet","","","",""
"Yes","2001","Lower Saxony","lower secondary degree","49","0.0735804015663083","0.0546537256212656","0.092507077511351"
"Yes","2001","Lower Saxony","secondary school degree","51","0.107839078781637","0.0800907293396537","0.135587428223621"
"Yes","2001","Lower Saxony","college entrance qualification","46","0.189751374823944","0.141998466591977","0.237504283055912"
"Yes","2001","Lower Saxony","Other degree","3","","",""
"Yes","2001","Lower Saxony","no degree/no degree yet","4","","",""
"Yes","2001","Bremen","lower secondary degree","5","","",""
"Yes","2001","Bremen","secondary school degree","4","","",""
"Yes","2001","Bremen","college entrance qualification","2","","",""
"Yes","2001","Bremen","Other degree","","","",""
"Yes","2001","Bremen","no degree/no degree yet","","","",""
"Yes","2001","North Rhine-Westphalia","lower secondary degree","177","0.101703539731803","0.0877749647639408","0.115632114699665"
"Yes","2001","North Rhine-Westphalia","secondary school degree","143","0.194058894733008","0.167734586197494","0.220383203268522"
"Yes","2001","North Rhine-Westphalia","college entrance qualification","173","0.231525776209346","0.201847986218268","0.261203566200425"
"Yes","2001","North Rhine-Westphalia","Other degree","6","","",""
"Yes","2001","North Rhine-Westphalia","no degree/no degree yet","7","","",""
"Yes","2001","Hesse","lower secondary degree","28","","",""
"Yes","2001","Hesse","secondary school degree","37","0.119276496297922","0.0844649588577842","0.15408803373806"
"Yes","2001","Hesse","college entrance qualification","37","0.165707634677274","0.117338807585569","0.214076461768979"
"Yes","2001","Hesse","Other degree","2","","",""
"Yes","2001","Hesse","no degree/no degree yet","1","","",""
"Yes","2001","Rhineland-Palatinate,Saarland","lower secondary degree","34","0.060831738462015","0.0421376158471215","0.0795258610769085"
"Yes","2001","Rhineland-Palatinate,Saarland","secondary school degree","26","","",""
"Yes","2001","Rhineland-Palatinate,Saarland","college entrance qualification","12","","",""
"Yes","2001","Rhineland-Palatinate,Saarland","Other degree","","","",""
"Yes","2001","Rhineland-Palatinate,Saarland","no degree/no degree yet","3","","",""
"Yes","2001","Baden-Württemberg","lower secondary degree","79","0.0878306393769888","0.0703049547400606","0.105356324013917"
"Yes","2001","Baden-Württemberg","secondary school degree","99","0.214683437890444","0.178977710578831","0.250389165202057"
"Yes","2001","Baden-Württemberg","college entrance qualification","69","0.231530714099457","0.187775325447731","0.275286102751183"
"Yes","2001","Baden-Württemberg","Other degree","10","","",""
"Yes","2001","Baden-Württemberg","no degree/no degree yet","4","","",""
"Yes","2001","Bavaria","lower secondary degree","106","0.0735221607127748","0.059661428086971","0.0873828933385786"
"Yes","2001","Bavaria","secondary school degree","105","0.191863444146446","0.161188432920447","0.222538455372444"
"Yes","2001","Bavaria","college entrance qualification","73","0.190681166865785","0.151491807641935","0.229870526089636"
"Yes","2001","Bavaria","Other degree","4","","",""
"Yes","2001","Bavaria","no degree/no degree yet","5","","",""
"Yes","2001","Berlin","lower secondary degree","10","","",""
"Yes","2001","Berlin","secondary school degree","19","","",""
"Yes","2001","Berlin","college entrance qualification","26","","",""
"Yes","2001","Berlin","Other degree","1","","",""
"Yes","2001","Berlin","no degree/no degree yet","3","","",""
"Yes","2001","Brandenburg","lower secondary degree","7","","",""
"Yes","2001","Brandenburg","secondary school degree","18","","",""
"Yes","2001","Brandenburg","college entrance qualification","16","","",""
"Yes","2001","Brandenburg","Other degree","1","","",""
"Yes","2001","Brandenburg","no degree/no degree yet","2","","",""
"Yes","2001","Mecklenburg-Western Pomerania","lower secondary degree","2","","",""
"Yes","2001","Mecklenburg-Western Pomerania","secondary school degree","8","","",""
"Yes","2001","Mecklenburg-Western Pomerania","college entrance qualification","3","","",""
"Yes","2001","Mecklenburg-Western Pomerania","Other degree","","","",""
"Yes","2001","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"Yes","2001","Saxony","lower secondary degree","9","","",""
