"ple0098_v5","year","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Yes","2006","West Germany","2443","0.158990463647752","0.152892867676378","0.165088059619125","1"
"Yes","2006","East Germany","433","0.0819326951943894","0.0742298797657124","0.0896355106230663","1"
"No","2007","West Germany","10372","0.824396498551374","0.81780972682995","0.830983270272797","2"
"No","2007","East Germany","4125","0.910941769480105","0.902712578848986","0.919170960111224","2"
"Yes","2007","West Germany","2446","0.175603501448626","0.169016729727203","0.18219027317005","1"
"Yes","2007","East Germany","477","0.0890582305198947","0.0808290398887755","0.0972874211510139","1"
"No","2008","West Germany","9500","0.79403179521591","0.786837708411863","0.801225882019956","2"
"No","2008","East Germany","3870","0.884550985315508","0.875139637985641","0.893962332645374","2"
"Yes","2008","West Germany","2639","0.20596820478409","0.198774117980044","0.213162291588137","1"
"Yes","2008","East Germany","559","0.115449014684492","0.106037667354626","0.124860362014359","1"
"No","2009","West Germany","","","","","2"
"No","2009","East Germany","","","","","2"
"Yes","2009","West Germany","","","","","1"
"Yes","2009","East Germany","","","","","1"
"No","2010","West Germany","12155","0.780611852970822","0.774140251046649","0.787083454894996","2"
"No","2010","East Germany","4388","0.873994782230332","0.864850188074989","0.883139376385675","2"
"Yes","2010","West Germany","3553","0.219388147029177","0.212916545105004","0.225859748953351","1"
"Yes","2010","East Germany","671","0.126005217769668","0.116860623614325","0.135149811925011","1"
"No","2011","West Germany","10019","0.771947813756753","0.764793115285147","0.779102512228358","2"
"No","2011","East Germany","3854","0.857757024397428","0.847581884247251","0.867932164547605","2"
"Yes","2011","West Germany","3192","0.228052186243247","0.220897487771642","0.235206884714853","1"
"Yes","2011","East Germany","673","0.142242975602572","0.132067835452395","0.152418115752749","1"
"No","2012","West Germany","13761","0.767203164176334","0.761072257670691","0.773334070681977","2"
"No","2012","East Germany","4853","0.854006987524267","0.844856445419181","0.863157529629352","2"
"Yes","2012","West Germany","4492","0.232796835823666","0.226665929318023","0.238927742329309","1"
"Yes","2012","East Germany","867","0.145993012475733","0.136842470370648","0.155143554580818","1"
"No","2013","West Germany","8730","0.737395078370864","0.729528291123181","0.745261865618547","2"
"No","2013","East Germany","3435","0.841896543908052","0.83078445977548","0.853008628040624","2"
"Yes","2013","West Germany","3290","0.262604921629136","0.254738134381453","0.27047170887682","1"
"Yes","2013","East Germany","706","0.158103456091948","0.146991371959376","0.16921554022452","1"
"No","2014","West Germany","14109","0.747840774190235","0.741605598425594","0.754075949954875","2"
"No","2014","East Germany","4345","0.832814659002831","0.822673725328787","0.842955592676876","2"
"Yes","2014","West Germany","4524","0.252159225809765","0.245924050045125","0.258394401574406","1"
"Yes","2014","East Germany","856","0.167185340997169","0.157044407323124","0.177326274671213","1"
"No","2015","West Germany","","","","","2"
"No","2015","East Germany","","","","","2"
"Yes","2015","West Germany","","","","","1"
"Yes","2015","East Germany","","","","","1"
"No","2016","West Germany","12982","0.77018396791124","0.763792987309799","0.776574948512681","2"
"No","2016","East Germany","3997","0.862284305950373","0.852419892924831","0.872148718975916","2"
"Yes","2016","West Germany","3665","0.22981603208876","0.223425051487319","0.236207012690201","1"
"Yes","2016","East Germany","691","0.137715694049627","0.127851281024084","0.147580107075169","1"
"No","2017","West Germany","","","","","2"
"No","2017","East Germany","","","","","2"
"Yes","2017","West Germany","","","","","1"
"Yes","2017","East Germany","","","","","1"
"No","2018","West Germany","13565","0.766395121119654","0.760123997833219","0.772666244406088","2"
"No","2018","East Germany","4263","0.835403996149071","0.825264673137479","0.845543319160663","2"
"Yes","2018","West Germany","3923","0.233604878880346","0.227333755593912","0.23987600216678","1"
"Yes","2018","East Germany","875","0.164596003850929","0.154456680839337","0.174735326862521","1"
