"ple0098_v5","year","e11102","sex","n","percent","lower_confidence","upper_confidence"
"No","2006","Not Employed","Male","2715","0.909845613496912","0.899641132690029","0.920050094303794"
"No","2006","Not Employed","Female","4033","0.890294140413095","0.881244118829537","0.899344161996652"
"No","2006","Employed","Male","4551","0.839428373962482","0.829706201916672","0.849150546008291"
"No","2006","Employed","Female","4510","0.810842752449109","0.80058543278995","0.821100072108267"
"Yes","2007","Not Employed","Male","314","0.0940745126609632","0.0833188517736116","0.104830173548315"
"Yes","2007","Not Employed","Female","569","0.129172432617536","0.1190592991696","0.139285566065471"
"Yes","2007","Employed","Male","918","0.170288327476369","0.159972144349055","0.180604510603683"
"Yes","2007","Employed","Female","1122","0.209833913958933","0.19883509795575","0.220832729962117"
"No","2007","Not Employed","Male","2516","0.905925487339037","0.895169826451685","0.916681148226388"
"No","2007","Not Employed","Female","3656","0.870827567382464","0.860714433934529","0.8809407008304"
"No","2007","Employed","Male","4182","0.829711672523631","0.819395489396317","0.840027855650945"
"No","2007","Employed","Female","4143","0.790166086041067","0.779167270037883","0.80116490204425"
"Yes","2008","Not Employed","Male","352","0.117493818200164","0.105268339562795","0.129719296837532"
"Yes","2008","Not Employed","Female","625","0.155356113717547","0.14405944120149","0.166652786233604"
"Yes","2008","Employed","Male","984","0.201044102022928","0.189817858510356","0.2122703455355"
"Yes","2008","Employed","Female","1237","0.242253856121164","0.230445244719673","0.254062467522654"
"No","2008","Not Employed","Male","2313","0.882506181799836","0.870280703162468","0.894731660437205"
"No","2008","Not Employed","Female","3325","0.844643886282453","0.833347213766396","0.85594055879851"
"No","2008","Employed","Male","3912","0.798955897977072","0.7877296544645","0.810182141489644"
"No","2008","Employed","Female","3820","0.757746143878836","0.745937532477346","0.769554755280327"
"Yes","2009","Not Employed","Male","","","",""
"Yes","2009","Not Employed","Female","","","",""
"Yes","2009","Employed","Male","","","",""
"Yes","2009","Employed","Female","","","",""
"No","2009","Not Employed","Male","","","",""
"No","2009","Not Employed","Female","","","",""
"No","2009","Employed","Male","","","",""
"No","2009","Employed","Female","","","",""
"Yes","2010","Not Employed","Male","352","0.121046862348883","0.108594979766541","0.133498744931225"
"Yes","2010","Not Employed","Female","761","0.158691204662333","0.148483421654934","0.168898987669733"
"Yes","2010","Employed","Male","1354","0.224612979079071","0.214347667992163","0.234878290165979"
"Yes","2010","Employed","Female","1757","0.254046138467333","0.243744689500484","0.264347587434182"
"No","2010","Not Employed","Male","2284","0.878953137651117","0.866501255068775","0.891405020233459"
"No","2010","Not Employed","Female","4161","0.841308795337667","0.831101012330267","0.851516578345066"
"No","2010","Employed","Male","4995","0.775387020920929","0.765121709834022","0.785652332007837"
"No","2010","Employed","Female","5103","0.745953861532667","0.735652412565818","0.756255310499516"
"Yes","2011","Not Employed","Male","463","0.141411635711858","0.128740658938355","0.154082612485361"
"Yes","2011","Not Employed","Female","713","0.173280794149057","0.161828708705895","0.184732879592219"
"Yes","2011","Employed","Male","1157","0.226730553206809","0.215227592160779","0.23823351425284"
"Yes","2011","Employed","Female","1532","0.263971971795547","0.252372316256664","0.275571627334429"
"No","2011","Not Employed","Male","2442","0.858588364288142","0.845917387514639","0.871259341061645"
"No","2011","Not Employed","Female","3483","0.826719205850943","0.815267120407781","0.838171291294105"
"No","2011","Employed","Male","3933","0.773269446793191","0.76176648574716","0.784772407839221"
"No","2011","Employed","Female","4015","0.736028028204453","0.724428372665571","0.747627683743336"
"Yes","2012","Not Employed","Male","522","0.139085454730029","0.12723060731744","0.150940302142617"
"Yes","2012","Not Employed","Female","926","0.1765946225427","0.166442799600622","0.186746445484778"
"Yes","2012","Employed","Male","1650","0.236408687660258","0.22652516622888","0.246292209091635"
"Yes","2012","Employed","Female","2261","0.265422471818258","0.255854220837061","0.274990722799456"
"No","2012","Not Employed","Male","2751","0.860914545269971","0.849059697857383","0.87276939268256"
"No","2012","Not Employed","Female","4494","0.8234053774573","0.813253554515222","0.833557200399378"
"No","2012","Employed","Male","5449","0.763591312339742","0.753707790908364","0.773474833771119"
"No","2012","Employed","Female","5920","0.734577528181742","0.725009277200544","0.744145779162939"
"Yes","2013","Not Employed","Male","487","0.163666749565309","0.149662185504555","0.177671313626063"
"Yes","2013","Not Employed","Female","783","0.207532834022335","0.194497341485681","0.220568326558988"
"Yes","2013","Employed","Male","1156","0.25830966454188","0.24559849421894","0.271020834864819"
"Yes","2013","Employed","Female","1570","0.294762678572243","0.282378756998122","0.307146600146364"
"No","2013","Not Employed","Male","2194","0.836333250434691","0.822328686373937","0.850337814495445"
"No","2013","Not Employed","Female","2935","0.792467165977666","0.779431673441012","0.805502658514319"
"No","2013","Employed","Male","3399","0.741690335458121","0.728979165135181","0.75440150578106"
"No","2013","Employed","Female","3637","0.705237321427757","0.692853399853636","0.717621243001878"
"Yes","2014","Not Employed","Male","552","0.169098548940929","0.156253004437209","0.181944093444649"
"Yes","2014","Not Employed","Female","911","0.200976663081481","0.189933048893813","0.21202027726915"
"Yes","2014","Employed","Male","1636","0.241183305362857","0.231347440099972","0.251019170625742"
"Yes","2014","Employed","Female","2281","0.29102662691922","0.281217767225308","0.300835486613131"
"No","2014","Not Employed","Male","2719","0.830901451059071","0.818055906555351","0.843746995562791"
"No","2014","Not Employed","Female","4147","0.799023336918519","0.78797972273085","0.810066951106188"
"No","2014","Employed","Male","5631","0.758816694637143","0.748980829374258","0.768652559900028"
"No","2014","Employed","Female","5957","0.708973373080781","0.699164513386869","0.718782232774692"
"Yes","2015","Not Employed","Male","","","",""
"Yes","2015","Not Employed","Female","","","",""
"Yes","2015","Employed","Male","","","",""
"Yes","2015","Employed","Female","","","",""
"No","2015","Not Employed","Male","","","",""
"No","2015","Not Employed","Female","","","",""
"No","2015","Employed","Male","","","",""
"No","2015","Employed","Female","","","",""
"Yes","2016","Not Employed","Male","395","0.134264897838281","0.121645668224675","0.146884127451888"
"Yes","2016","Not Employed","Female","690","0.173164887063832","0.161916438063213","0.184413336064451"
"Yes","2016","Employed","Male","1345","0.22423972488784","0.214188105392081","0.2342913443836"
"Yes","2016","Employed","Female","1926","0.264249595537911","0.254316775394274","0.274182415681547"
"No","2016","Not Employed","Male","2409","0.865735102161719","0.853115872548112","0.878354331775326"
"No","2016","Not Employed","Female","3657","0.826835112936168","0.815586663935549","0.838083561936786"
"No","2016","Employed","Male","5269","0.77576027511216","0.7657086556164","0.785811894607919"
"No","2016","Employed","Female","5644","0.735750404462089","0.725817584318453","0.745683224605726"
"Yes","2017","Not Employed","Male","","","",""
"Yes","2017","Not Employed","Female","","","",""
"Yes","2017","Employed","Male","","","",""
"Yes","2017","Employed","Female","","","",""
"No","2017","Not Employed","Male","","","",""
"No","2017","Not Employed","Female","","","",""
"No","2017","Employed","Male","","","",""
"No","2017","Employed","Female","","","",""
"Yes","2018","Not Employed","Male","422","0.153385972010641","0.140202108622807","0.166569835398475"
"Yes","2018","Not Employed","Female","693","0.179417498521714","0.1679636191734","0.190871377870028"
"Yes","2018","Employed","Male","1549","0.235147843142335","0.225348613405639","0.244947072879031"
"Yes","2018","Employed","Female","2134","0.262172092160829","0.252681531144091","0.271662653177566"
"No","2018","Not Employed","Male","2448","0.846614027989359","0.833430164601525","0.859797891377193"
"No","2018","Not Employed","Female","3618","0.820582501478286","0.809128622129972","0.8320363808266"
"No","2018","Employed","Male","5646","0.764852156857665","0.755052927120969","0.774651386594361"
"No","2018","Employed","Female","6116","0.737827907839172","0.728337346822434","0.747318468855909"
