"ple0098_v5","year","bula_h","migback","n","percent","lower_confidence","upper_confidence","value"
"Yes","1999","Bavaria","no migration background","172","0.144004019815605","0.124047705569527","0.163960334061684","1"
"Yes","1999","Bavaria","direct migration background","10","","","","1"
"Yes","1999","Bavaria","indirect migration background","5","","","","1"
"Yes","1999","Berlin","no migration background","24","","","","1"
"Yes","1999","Berlin","direct migration background","1","","","","1"
"Yes","1999","Berlin","indirect migration background","","","","","1"
"Yes","1999","Brandenburg","no migration background","25","","","","1"
"Yes","1999","Brandenburg","direct migration background","1","","","","1"
"Yes","1999","Brandenburg","indirect migration background","1","","","","1"
"Yes","1999","Mecklenburg-Western Pomerania","no migration background","11","","","","1"
"Yes","1999","Mecklenburg-Western Pomerania","direct migration background","","","","","1"
"Yes","1999","Mecklenburg-Western Pomerania","indirect migration background","","","","","1"
"Yes","1999","Saxony","no migration background","59","0.0560343701053143","0.0422151792431991","0.0698535609674296","1"
"Yes","1999","Saxony","direct migration background","1","","","","1"
"Yes","1999","Saxony","indirect migration background","","","","","1"
"Yes","1999","Saxony-Anhalt","no migration background","31","0.0578149830048249","0.0396332810622004","0.0759966849474493","1"
"Yes","1999","Saxony-Anhalt","direct migration background","","","","","1"
"Yes","1999","Saxony-Anhalt","indirect migration background","","","","","1"
"Yes","1999","Thuringia","no migration background","18","","","","1"
"Yes","1999","Thuringia","direct migration background","","","","","1"
"Yes","1999","Thuringia","indirect migration background","1","","","","1"
"No","2000","Schleswig-Holstein","direct migration background","68","0.988845175699713","0.964064162316518","1.01362618908291","2"
"No","2000","Berlin","direct migration background","71","0.973013490597185","0.936340168980739","1.00968681221363","2"
"No","2000","Hamburg","direct migration background","29","","","","2"
"No","2000","Schleswig-Holstein","no migration background","470","0.914576626410696","0.890459717189816","0.938693535631577","2"
"No","2000","Bavaria","direct migration background","400","0.947891233002547","0.926686807168403","0.96909565883669","2"
"No","2000","Bavaria","indirect migration background","100","0.930150277629117","0.881626560699403","0.97867399455883","2"
"No","2000","Berlin","no migration background","573","0.933797988626216","0.914195287755295","0.953400689497137","2"
"No","2000","Schleswig-Holstein","indirect migration background","6","","","","2"
"No","2000","Hamburg","no migration background","201","0.937666589746703","0.905647373415271","0.969685806078135","2"
"No","2000","Hamburg","indirect migration background","8","","","","2"
"No","2000","Lower Saxony","no migration background","1350","0.894574472958576","0.879084853141682","0.910064092775469","2"
"No","2000","Lower Saxony","direct migration background","231","0.964797889439038","0.941285616571864","0.988310162306212","2"
"No","2000","Lower Saxony","indirect migration background","55","0.890818416175144","0.810557634953898","0.971079197396389","2"
"No","2000","Bremen","direct migration background","32","1","1","1","2"
"No","2000","Bremen","indirect migration background","6","","","","2"
"No","2000","North Rhine-Westphalia","no migration background","2890","0.842662279613585","0.8304696434204","0.854854915806769","2"
"No","2000","Baden-Württemberg","direct migration background","720","0.957998381600419","0.943574933894618","0.972421829306221","2"
"No","2000","Baden-Württemberg","indirect migration background","200","0.900875570583684","0.860838346418471","0.940912794748896","2"
"No","2000","Bavaria","no migration background","2051","0.868977403319184","0.855355253809978","0.882599552828391","2"
"No","2000","Berlin","indirect migration background","25","","","","2"
"No","2000","Brandenburg","no migration background","900","0.959673035864959","0.947110363011794","0.972235708718125","2"
"No","2000","Brandenburg","direct migration background","20","","","","2"
"No","2000","Brandenburg","indirect migration background","3","","","","2"
"No","2000","Bremen","no migration background","127","0.92019288423491","0.874814602142602","0.965571166327217","2"
"No","2000","North Rhine-Westphalia","direct migration background","822","0.933049017360139","0.91636405751515","0.949733977205128","2"
"No","2000","North Rhine-Westphalia","indirect migration background","204","0.940179987358058","0.908626528317573","0.971733446398543","2"
"No","2000","Hesse","no migration background","955","0.886675765029423","0.867620048842376","0.905731481216471","2"
"No","2000","Hesse","direct migration background","326","0.965724321357914","0.946299691304956","0.985148951410873","2"
"No","2000","Hesse","indirect migration background","77","0.962186135284678","0.920387877712743","1.00398439285661","2"
"No","2000","Rhineland-Palatinate,Saarland","direct migration background","229","0.980668773968749","0.962951578711572","0.998385969225926","2"
"No","2000","Rhineland-Palatinate,Saarland","indirect migration background","36","0.90067636789614","0.80557933366265","0.99577340212963","2"
"No","2000","Baden-Württemberg","no migration background","1416","0.85834161081713","0.841485847774048","0.875197373860211","2"
"No","2000","Rhineland-Palatinate,Saarland","no migration background","935","0.925024975404012","0.908791647881463","0.94125830292656","2"
"No","2000","Mecklenburg-Western Pomerania","no migration background","493","0.969295026267277","0.954248551568585","0.98434150096597","2"
"No","2000","Mecklenburg-Western Pomerania","direct migration background","18","","","","2"
"No","2000","Mecklenburg-Western Pomerania","indirect migration background","1","","","","2"
"No","2000","Saxony","no migration background","1563","0.952335318250791","0.9419891188771","0.962681517624483","2"
"No","2000","Saxony","direct migration background","38","1","1","1","2"
"No","2000","Saxony","indirect migration background","5","","","","2"
"No","2000","Saxony-Anhalt","no migration background","944","0.962498968488795","0.950561467677624","0.974436469299967","2"
"No","2000","Saxony-Anhalt","direct migration background","38","1","1","1","2"
"No","2000","Thuringia","direct migration background","23","","","","2"
"No","2000","Thuringia","indirect migration background","4","","","","2"
"No","2000","Saxony-Anhalt","indirect migration background","6","","","","2"
"No","2000","Thuringia","no migration background","933","0.953319213702007","0.940084594905233","0.96655383249878","2"
"Yes","2000","Schleswig-Holstein","no migration background","46","0.0854233735893037","0.0613064643684234","0.109540282810184","1"
"Yes","2000","Schleswig-Holstein","direct migration background","1","","","","1"
"Yes","2000","Schleswig-Holstein","indirect migration background","","","","","1"
"Yes","2000","Hamburg","no migration background","18","","","","1"
"Yes","2000","Hamburg","direct migration background","1","","","","1"
"Yes","2000","Hamburg","indirect migration background","","","","","1"
"Yes","2000","Lower Saxony","no migration background","160","0.105425527041424","0.089935907224531","0.120915146858318","1"
"Yes","2000","Lower Saxony","direct migration background","5","","","","1"
"Yes","2000","Lower Saxony","indirect migration background","3","","","","1"
"Yes","2000","Bremen","no migration background","10","","","","1"
"Yes","2000","Bremen","direct migration background","","","","","1"
"Yes","2000","Bremen","indirect migration background","","","","","1"
"Yes","2000","North Rhine-Westphalia","no migration background","536","0.157337720386415","0.145145084193231","0.1695303565796","1"
"Yes","2000","North Rhine-Westphalia","direct migration background","40","0.0669509826398611","0.0502660227948723","0.0836359424848499","1"
"Yes","2000","North Rhine-Westphalia","indirect migration background","13","","","","1"
"Yes","2000","Hesse","no migration background","108","0.113324234970577","0.0942685187835294","0.132379951157624","1"
"Yes","2000","Hesse","direct migration background","11","","","","1"
"Yes","2000","Hesse","indirect migration background","3","","","","1"
"Yes","2000","Rhineland-Palatinate,Saarland","no migration background","76","0.0749750245959882","0.0587416970734396","0.0912083521185367","1"
"Yes","2000","Rhineland-Palatinate,Saarland","direct migration background","3","","","","1"
"Yes","2000","Rhineland-Palatinate,Saarland","indirect migration background","2","","","","1"
"Yes","2000","Baden-Württemberg","no migration background","228","0.14165838918287","0.124802626139789","0.158514152225952","1"
"Yes","2000","Baden-Württemberg","direct migration background","23","","","","1"
"Yes","2000","Baden-Württemberg","indirect migration background","14","","","","1"
"Yes","2000","Bavaria","no migration background","306","0.131022596680815","0.117400447171609","0.144644746190022","1"
"Yes","2000","Bavaria","direct migration background","22","","","","1"
"Yes","2000","Bavaria","indirect migration background","6","","","","1"
"Yes","2000","Berlin","no migration background","45","0.0662020113737841","0.0465993105028633","0.0858047122447048","1"
"Yes","2000","Berlin","direct migration background","4","","","","1"
"Yes","2000","Berlin","indirect migration background","1","","","","1"
"Yes","2000","Brandenburg","no migration background","42","0.0403269641350405","0.0277642912818748","0.0528896369882061","1"
"Yes","2000","Brandenburg","direct migration background","1","","","","1"
"Yes","2000","Brandenburg","indirect migration background","1","","","","1"
"Yes","2000","Mecklenburg-Western Pomerania","no migration background","12","","","","1"
"Yes","2000","Mecklenburg-Western Pomerania","direct migration background","","","","","1"
"Yes","2000","Mecklenburg-Western Pomerania","indirect migration background","","","","","1"
"Yes","2000","Saxony","no migration background","66","0.047664681749209","0.0373184823755176","0.0580108811229004","1"
"Yes","2000","Saxony","direct migration background","","","","","1"
"Yes","2000","Saxony","indirect migration background","","","","","1"
"Yes","2000","Saxony-Anhalt","no migration background","29","","","","1"
"Yes","2000","Saxony-Anhalt","direct migration background","","","","","1"
"Yes","2000","Saxony-Anhalt","indirect migration background","","","","","1"
"Yes","2000","Thuringia","no migration background","43","0.0466807862979933","0.0334461675012197","0.0599154050947668","1"
"Yes","2000","Thuringia","direct migration background","","","","","1"
"Yes","2000","Thuringia","indirect migration background","1","","","","1"
"No","2001","Schleswig-Holstein","direct migration background","57","0.928748607478502","0.864193748077492","0.993303466879511","2"
"No","2001","Hamburg","direct migration background","22","","","","2"
"No","2001","Schleswig-Holstein","no migration background","441","0.908256539970492","0.882513113575298","0.933999966365686","2"
"No","2001","Bavaria","indirect migration background","100","0.899108144259624","0.841771908226355","0.956444380292894","2"
"No","2001","Berlin","direct migration background","61","0.978449429000307","0.942592226886104","1.01430663111451","2"
"No","2001","Hamburg","no migration background","177","0.942906719538296","0.910341227126054","0.975472211950537","2"
"No","2001","Hamburg","indirect migration background","9","","","","2"
"No","2001","Bavaria","direct migration background","371","0.956968213942386","0.936645011349874","0.977291416534899","2"
"No","2001","Schleswig-Holstein","indirect migration background","9","","","","2"
"No","2001","Lower Saxony","no migration background","1224","0.892490600058447","0.876082004475289","0.908899195641606","2"
"No","2001","Berlin","no migration background","549","0.917487110807785","0.895544388614607","0.939429833000962","2"
"No","2001","Baden-Württemberg","direct migration background","614","0.946503685454644","0.929015585786672","0.963991785122617","2"
"No","2001","Baden-Württemberg","indirect migration background","167","0.809706282908262","0.753445824419416","0.865966741397109","2"
"No","2001","Bavaria","no migration background","1868","0.871135580208766","0.856950023215895","0.885321137201638","2"
"No","2001","Berlin","indirect migration background","28","","","","2"
"No","2001","Brandenburg","direct migration background","16","","","","2"
"No","2001","Brandenburg","indirect migration background","3","","","","2"
"No","2001","Lower Saxony","direct migration background","218","0.959831822909381","0.934118232856495","0.985545412962267","2"
"No","2001","Lower Saxony","indirect migration background","46","0.860950080915759","0.764072249910895","0.957827911920623","2"
"No","2001","Bremen","no migration background","104","0.891345762650032","0.834467593707309","0.948223931592755","2"
"No","2001","Bremen","indirect migration background","6","","","","2"
"No","2001","Brandenburg","no migration background","846","0.948254200046414","0.933693000595307","0.96281539949752","2"
"No","2001","Bremen","direct migration background","26","","","","2"
"No","2001","North Rhine-Westphalia","no migration background","2598","0.841701281333983","0.828782876300598","0.854619686367369","2"
"No","2001","North Rhine-Westphalia","direct migration background","736","0.958482487567749","0.94429077010391","0.972674205031588","2"
"No","2001","North Rhine-Westphalia","indirect migration background","201","0.928272258744342","0.893780914198156","0.962763603290527","2"
"No","2001","Hesse","no migration background","847","0.897710697104629","0.878369847216032","0.917051546993227","2"
"No","2001","Hesse","direct migration background","276","0.97098177692635","0.95139042148553","0.990573132367171","2"
"No","2001","Rhineland-Palatinate,Saarland","direct migration background","212","1","1","1","2"
"No","2001","Rhineland-Palatinate,Saarland","indirect migration background","29","","","","2"
"No","2001","Baden-Württemberg","no migration background","1258","0.841971489927563","0.823375157981499","0.860567821873626","2"
"No","2001","Hesse","indirect migration background","66","0.944804595316892","0.890922310271804","0.998686880361981","2"
"No","2001","Rhineland-Palatinate,Saarland","no migration background","854","0.922155711491654","0.904908307704291","0.939403115279017","2"
"No","2001","Mecklenburg-Western Pomerania","no migration background","447","0.971643231377059","0.956474440647452","0.986812022106667","2"
"No","2001","Mecklenburg-Western Pomerania","direct migration background","15","","","","2"
"No","2001","Mecklenburg-Western Pomerania","indirect migration background","","","","","2"
"No","2001","Saxony","no migration background","1437","0.95335943042963","0.942734187137499","0.963984673721761","2"
"No","2001","Saxony","direct migration background","30","0.980787668013911","0.932465681068128","1.02910965495969","2"
"No","2001","Saxony","indirect migration background","6","","","","2"
"No","2001","Saxony-Anhalt","no migration background","890","0.961426831755663","0.949023356841671","0.973830306669656","2"
"No","2001","Saxony-Anhalt","direct migration background","32","1","1","1","2"
"No","2001","Saxony-Anhalt","indirect migration background","4","","","","2"
"No","2001","Thuringia","no migration background","868","0.975187226249338","0.964990494567706","0.98538395793097","2"
"No","2001","Thuringia","direct migration background","18","","","","2"
"No","2001","Thuringia","indirect migration background","1","","","","2"
"Yes","2001","Schleswig-Holstein","no migration background","42","0.0917434600295079","0.0660000336343139","0.117486886424702","1"
"Yes","2001","Schleswig-Holstein","direct migration background","4","","","","1"
"Yes","2001","Schleswig-Holstein","indirect migration background","","","","","1"
"Yes","2001","Hamburg","no migration background","18","","","","1"
"Yes","2001","Hamburg","direct migration background","","","","","1"
"Yes","2001","Hamburg","indirect migration background","","","","","1"
"Yes","2001","Lower Saxony","no migration background","145","0.107509399941553","0.0911008043583945","0.123917995524711","1"
"Yes","2001","Lower Saxony","direct migration background","6","","","","1"
"Yes","2001","Lower Saxony","indirect migration background","3","","","","1"
"Yes","2001","Bremen","no migration background","11","","","","1"
"Yes","2001","Bremen","direct migration background","","","","","1"
"Yes","2001","Bremen","indirect migration background","","","","","1"
"Yes","2001","North Rhine-Westphalia","no migration background","469","0.158298718666017","0.145380313632631","0.171217123699402","1"
"Yes","2001","North Rhine-Westphalia","direct migration background","23","","","","1"
"Yes","2001","North Rhine-Westphalia","indirect migration background","14","","","","1"
"Yes","2001","Hesse","no migration background","96","0.102289302895371","0.082948453006773","0.121630152783968","1"
"Yes","2001","Hesse","direct migration background","6","","","","1"
"Yes","2001","Hesse","indirect migration background","3","","","","1"
"Yes","2001","Rhineland-Palatinate,Saarland","no migration background","73","0.0778442885083463","0.0605968847209831","0.0950916922957094","1"
"Yes","2001","Rhineland-Palatinate,Saarland","direct migration background","","","","","1"
"Yes","2001","Rhineland-Palatinate,Saarland","indirect migration background","2","","","","1"
"Yes","2001","Baden-Württemberg","no migration background","220","0.158028510072437","0.139432178126374","0.176624842018501","1"
"Yes","2001","Baden-Württemberg","direct migration background","22","","","","1"
"Yes","2001","Baden-Württemberg","indirect migration background","20","","","","1"
"Yes","2001","Bavaria","no migration background","275","0.128864419791234","0.114678862798362","0.143049976784105","1"
"Yes","2001","Bavaria","direct migration background","12","","","","1"
"Yes","2001","Bavaria","indirect migration background","6","","","","1"
"Yes","2001","Berlin","no migration background","55","0.0825128891922154","0.0605701669990378","0.104455611385393","1"
"Yes","2001","Berlin","direct migration background","2","","","","1"
"Yes","2001","Berlin","indirect migration background","2","","","","1"
"Yes","2001","Brandenburg","no migration background","43","0.0517457999535864","0.0371846005024795","0.0663069994046934","1"
"Yes","2001","Brandenburg","direct migration background","1","","","","1"
"Yes","2001","Brandenburg","indirect migration background","","","","","1"
"Yes","2001","Mecklenburg-Western Pomerania","no migration background","13","","","","1"
"Yes","2001","Mecklenburg-Western Pomerania","direct migration background","","","","","1"
"Yes","2001","Mecklenburg-Western Pomerania","indirect migration background","","","","","1"
"Yes","2001","Saxony","no migration background","76","0.0466405695703698","0.0360153262782387","0.0572658128625009","1"
"Yes","2001","Saxony","direct migration background","1","","","","1"
"Yes","2001","Saxony","indirect migration background","","","","","1"
"Yes","2001","Saxony-Anhalt","no migration background","36","0.0385731682443365","0.0261696933303439","0.0509766431583291","1"
"Yes","2001","Saxony-Anhalt","direct migration background","","","","","1"
"Yes","2001","Saxony-Anhalt","indirect migration background","","","","","1"
"Yes","2001","Thuringia","no migration background","26","","","","1"
"Yes","2001","Thuringia","direct migration background","","","","","1"
"Yes","2001","Thuringia","indirect migration background","2","","","","1"
"No","2002","Brandenburg","no migration background","849","0.936284364261617","0.920353801730048","0.952214926793185","2"
"No","2002","Berlin","direct migration background","62","0.978510264105858","0.94298344408444","1.01403708412728","2"
"No","2002","Schleswig-Holstein","no migration background","458","0.904313218673474","0.878932223128552","0.929694214218395","2"
"No","2002","Schleswig-Holstein","direct migration background","61","0.950429325451733","0.89766216295243","1.00319648795103","2"
"No","2002","Berlin","indirect migration background","32","0.967033807006807","0.906115707214762","1.02795190679885","2"
"No","2002","Hamburg","no migration background","210","0.938802396495251","0.908221769038003","0.969383023952499","2"
"No","2002","Brandenburg","direct migration background","12","","","","2"
"No","2002","Hamburg","indirect migration background","8","","","","2"
"No","2002","Bavaria","direct migration background","345","0.949376639022428","0.926762021434238","0.971991256610618","2"
"No","2002","Brandenburg","indirect migration background","1","","","","2"
"No","2002","Schleswig-Holstein","indirect migration background","12","","","","2"
"No","2002","Hamburg","direct migration background","21","","","","2"
"No","2002","Lower Saxony","no migration background","1243","0.898078939197449","0.882365099446743","0.913792778948155","2"
"No","2002","Lower Saxony","direct migration background","189","0.905637815895648","0.865324485966509","0.945951145824787","2"
"No","2002","Lower Saxony","indirect migration background","48","0.957269553074865","0.901762414017597","1.01277669213213","2"
"No","2002","Bavaria","indirect migration background","86","0.88359402422473","0.819102846019588","0.948085202429871","2"
"No","2002","Berlin","no migration background","535","0.934051121287075","0.913869825120794","0.954232417453357","2"
"No","2002","Bremen","no migration background","118","0.931560496388703","0.888155934978993","0.974965057798413","2"
"No","2002","Bremen","direct migration background","20","","","","2"
"No","2002","Bremen","indirect migration background","4","","","","2"
"No","2002","North Rhine-Westphalia","no migration background","2574","0.845107144952132","0.832419992525698","0.857794297378567","2"
"No","2002","North Rhine-Westphalia","direct migration background","689","0.95877336593191","0.944200599979945","0.973346131883875","2"
"No","2002","North Rhine-Westphalia","indirect migration background","195","0.946888288235454","0.916485076097014","0.977291500373893","2"
"No","2002","Hesse","no migration background","877","0.886001309203556","0.866440076154512","0.9055625422526","2"
"No","2002","Rhineland-Palatinate,Saarland","direct migration background","199","0.99582263249998","0.986950206004251","1.00469505899571","2"
"No","2002","Rhineland-Palatinate,Saarland","indirect migration background","30","0.956497971138396","0.886901390336009","1.02609455194078","2"
"No","2002","Baden-Württemberg","direct migration background","579","0.947020240140934","0.929171604380181","0.964868875901688","2"
"No","2002","Baden-Württemberg","indirect migration background","178","0.892997101742381","0.849499028393402","0.93649517509136","2"
"No","2002","Bavaria","no migration background","1799","0.829718271938589","0.813964917260641","0.845471626616538","2"
"No","2002","Mecklenburg-Western Pomerania","no migration background","430","0.962427654936161","0.944877618676553","0.979977691195769","2"
"No","2002","Mecklenburg-Western Pomerania","direct migration background","15","","","","2"
"No","2002","Mecklenburg-Western Pomerania","indirect migration background","","","","","2"
"No","2002","Saxony","no migration background","1416","0.950845966249481","0.939905467334934","0.961786465164029","2"
"No","2002","Hesse","direct migration background","257","0.96023703294358","0.936886297239958","0.983587768647202","2"
"No","2002","Hesse","indirect migration background","59","0.954029984589026","0.901902042133287","1.00615792704476","2"
"No","2002","Rhineland-Palatinate,Saarland","no migration background","820","0.913219540620315","0.895068117704609","0.931370963536022","2"
"No","2002","Baden-Württemberg","no migration background","1284","0.819963808430481","0.801030692153215","0.838896924707747","2"
"No","2002","Saxony","direct migration background","30","1","1","1","2"
"No","2002","Saxony","indirect migration background","6","","","","2"
"No","2002","Saxony-Anhalt","no migration background","832","0.955172788901597","0.941477849170416","0.968867728632777","2"
"No","2002","Saxony-Anhalt","direct migration background","30","0.984252010847587","0.940425897970261","1.02807812372491","2"
"No","2002","Saxony-Anhalt","indirect migration background","5","","","","2"
"No","2002","Thuringia","no migration background","844","0.973672342366328","0.963087943897995","0.98425674083466","2"
"No","2002","Thuringia","direct migration background","19","","","","2"
"No","2002","Thuringia","indirect migration background","3","","","","2"
"Yes","2002","Schleswig-Holstein","no migration background","58","0.0956867813265264","0.0703057857816045","0.121067776871448","1"
"Yes","2002","Schleswig-Holstein","direct migration background","4","","","","1"
"Yes","2002","Schleswig-Holstein","indirect migration background","1","","","","1"
"Yes","2002","Hamburg","no migration background","26","","","","1"
"Yes","2002","Hamburg","direct migration background","1","","","","1"
"Yes","2002","Hamburg","indirect migration background","","","","","1"
"Yes","2002","Lower Saxony","no migration background","181","0.101921060802551","0.0862072210518451","0.117634900553257","1"
"Yes","2002","Lower Saxony","direct migration background","13","","","","1"
"Yes","2002","Lower Saxony","indirect migration background","3","","","","1"
"Yes","2002","Bremen","no migration background","12","","","","1"
"Yes","2002","Bremen","direct migration background","","","","","1"
"Yes","2002","Bremen","indirect migration background","","","","","1"
"Yes","2002","North Rhine-Westphalia","no migration background","550","0.154892855047868","0.142205702621433","0.167580007474302","1"
"Yes","2002","North Rhine-Westphalia","direct migration background","26","","","","1"
"Yes","2002","North Rhine-Westphalia","indirect migration background","14","","","","1"
"Yes","2002","Hesse","indirect migration background","3","","","","1"
"Yes","2002","Rhineland-Palatinate,Saarland","no migration background","104","0.0867804593796848","0.0686290364639782","0.104931882295391","1"
"Yes","2002","Rhineland-Palatinate,Saarland","direct migration background","4","","","","1"
"Yes","2002","Rhineland-Palatinate,Saarland","indirect migration background","3","","","","1"
"Yes","2002","Baden-Württemberg","no migration background","298","0.180036191569519","0.161103075292253","0.198969307846785","1"
"Yes","2002","Baden-Württemberg","direct migration background","26","","","","1"
"Yes","2002","Baden-Württemberg","indirect migration background","16","","","","1"
"Yes","2002","Bavaria","no migration background","388","0.17028172806141","0.154528373383462","0.186035082739358","1"
"Yes","2002","Bavaria","direct migration background","16","","","","1"
"Yes","2002","Bavaria","indirect migration background","9","","","","1"
"Yes","2002","Berlin","no migration background","46","0.0659488787129246","0.0457675825466434","0.0861301748792058","1"
"Yes","2002","Berlin","direct migration background","2","","","","1"
"Yes","2002","Berlin","indirect migration background","1","","","","1"
"Yes","2002","Brandenburg","no migration background","54","0.0637156357383833","0.0477850732068148","0.0796461982699517","1"
"Yes","2002","Brandenburg","direct migration background","","","","","1"
"Yes","2002","Brandenburg","indirect migration background","1","","","","1"
"Yes","2002","Mecklenburg-Western Pomerania","no migration background","21","","","","1"
"Yes","2002","Mecklenburg-Western Pomerania","direct migration background","","","","","1"
"Yes","2002","Mecklenburg-Western Pomerania","indirect migration background","","","","","1"
"Yes","2002","Saxony","no migration background","84","0.0491540337505185","0.038213534835971","0.060094532665066","1"
"Yes","2002","Saxony","direct migration background","","","","","1"
"Yes","2002","Saxony","indirect migration background","","","","","1"
"Yes","2002","Saxony-Anhalt","no migration background","45","0.0448272110984035","0.0311322713672225","0.0585221508295844","1"
"Yes","2002","Saxony-Anhalt","direct migration background","1","","","","1"
"Yes","2002","Saxony-Anhalt","indirect migration background","","","","","1"
