"ple0098_v5","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence"
"No","2001","Berlin","higher education","153","0.897526605846967","0.852722173076155","0.942331038617778"
"No","2001","Brandenburg","in school","22","","",""
"No","2001","Brandenburg","inadequately","3","","",""
"No","2001","Brandenburg","general elemantary","94","0.977315375174612","0.947836003734301","1.00679474661492"
"No","2001","Brandenburg","middle vocational","449","0.949509269519073","0.929650831664038","0.969367707374108"
"No","2001","Brandenburg","vocational + Abi","20","","",""
"No","2001","Brandenburg","higher vocational","63","0.942840351332541","0.887253183722885","0.998427518942197"
"No","2001","Brandenburg","higher education","211","0.939277817633867","0.908072575926994","0.970483059340739"
"No","2001","Mecklenburg-Western Pomerania","in school","6","","",""
"No","2001","Mecklenburg-Western Pomerania","inadequately","2","","",""
"No","2001","Mecklenburg-Western Pomerania","general elemantary","40","1","1","1"
"No","2001","Mecklenburg-Western Pomerania","middle vocational","277","0.972852924870426","0.953985580432249","0.991720269308602"
"No","2001","Mecklenburg-Western Pomerania","vocational + Abi","6","","",""
"No","2001","Mecklenburg-Western Pomerania","higher vocational","34","0.952633906062736","0.882260127158976","1.0230076849665"
"No","2001","Mecklenburg-Western Pomerania","higher education","90","0.963791134010274","0.925824198732041","1.00175806928851"
"No","2001","Saxony","in school","28","","",""
"No","2001","Saxony","inadequately","3","","",""
"No","2001","Saxony","general elemantary","136","0.964317862074989","0.933700055569065","0.994935668580913"
"No","2001","Saxony","middle vocational","850","0.962191465612752","0.949632412367827","0.974750518857678"
"No","2001","Saxony","vocational + Abi","38","1","1","1"
"No","2001","Saxony","higher vocational","121","0.974093915755989","0.946466037560371","1.00172179395161"
"No","2001","Saxony","higher education","295","0.917424866950275","0.887220993335047","0.947628740565503"
"No","2001","Saxony-Anhalt","in school","27","","",""
"No","2001","Saxony-Anhalt","inadequately","4","","",""
"No","2001","Saxony-Anhalt","general elemantary","84","0.982984934007638","0.955651819857444","1.01031804815783"
"No","2001","Saxony-Anhalt","middle vocational","500","0.96130874639461","0.944716611894843","0.977900880894378"
"No","2001","Saxony-Anhalt","vocational + Abi","22","","",""
"No","2001","Saxony-Anhalt","higher vocational","96","1","1","1"
"No","2001","Saxony-Anhalt","higher education","191","0.953102086691925","0.92394669527846","0.98225747810539"
"No","2001","Thuringia","in school","35","0.973782298691963","0.921587757520385","1.02597683986354"
"No","2001","Thuringia","inadequately","2","","",""
"No","2001","Thuringia","general elemantary","56","0.9848656220108","0.953171301861227","1.01655994216037"
"No","2001","Thuringia","middle vocational","576","0.9870923204911","0.977976549273431","0.996208091708769"
"No","2001","Thuringia","vocational + Abi","15","","",""
"No","2001","Thuringia","higher vocational","63","0.963169999410319","0.91773103137346","1.00860896744718"
"No","2001","Thuringia","higher education","137","0.923097317185604","0.879879169134797","0.966315465236411"
"Yes","2002","Schleswig-Holstein","in school","1","","",""
"Yes","2002","Schleswig-Holstein","inadequately","","","",""
"Yes","2002","Schleswig-Holstein","general elemantary","3","","",""
"Yes","2002","Schleswig-Holstein","middle vocational","31","0.0949715201023847","0.0635300622186866","0.126412977986083"
"Yes","2002","Schleswig-Holstein","vocational + Abi","4","","",""
"Yes","2002","Schleswig-Holstein","higher vocational","6","","",""
"Yes","2002","Schleswig-Holstein","higher education","17","","",""
"Yes","2002","Hamburg","in school","","","",""
"Yes","2002","Hamburg","inadequately","","","",""
"Yes","2002","Hamburg","general elemantary","1","","",""
"Yes","2002","Hamburg","middle vocational","16","","",""
"Yes","2002","Hamburg","vocational + Abi","2","","",""
"Yes","2002","Hamburg","higher vocational","2","","",""
"Yes","2002","Hamburg","higher education","6","","",""
"Yes","2002","Lower Saxony","in school","3","","",""
"Yes","2002","Lower Saxony","inadequately","","","",""
"Yes","2002","Lower Saxony","general elemantary","10","","",""
"Yes","2002","Lower Saxony","middle vocational","116","0.108933259986411","0.0888664672603587","0.129000052712464"
"Yes","2002","Lower Saxony","vocational + Abi","16","","",""
"Yes","2002","Lower Saxony","higher vocational","16","","",""
"Yes","2002","Lower Saxony","higher education","36","0.206285518833588","0.145279699876123","0.267291337791052"
"Yes","2002","Bremen","in school","","","",""
"Yes","2002","Bremen","inadequately","","","",""
"Yes","2002","Bremen","general elemantary","2","","",""
"Yes","2002","Bremen","middle vocational","8","","",""
"Yes","2002","Bremen","vocational + Abi","2","","",""
"Yes","2002","Bremen","higher vocational","","","",""
"Yes","2002","Bremen","higher education","","","",""
"Yes","2002","North Rhine-Westphalia","in school","16","","",""
"Yes","2002","North Rhine-Westphalia","inadequately","2","","",""
"Yes","2002","North Rhine-Westphalia","general elemantary","16","","",""
"Yes","2002","North Rhine-Westphalia","middle vocational","281","0.129606701792684","0.115227858502135","0.143985545083232"
"Yes","2002","North Rhine-Westphalia","vocational + Abi","61","0.146130554509231","0.107306509322525","0.184954599695936"
"Yes","2002","North Rhine-Westphalia","higher vocational","49","0.176897448272794","0.132980025098115","0.220814871447474"
"Yes","2002","North Rhine-Westphalia","higher education","163","0.304453527382802","0.263914896896818","0.344992157868786"
"Yes","2002","Hesse","in school","1","","",""
"Yes","2002","Hesse","inadequately","","","",""
"Yes","2002","Hesse","general elemantary","5","","",""
"Yes","2002","Hesse","middle vocational","68","0.0917017672567942","0.0700417403902176","0.113361794123371"
"Yes","2002","Hesse","vocational + Abi","23","","",""
"Yes","2002","Hesse","higher vocational","12","","",""
"Yes","2002","Hesse","higher education","43","0.162292467032322","0.111063341310771","0.213521592753873"
"Yes","2002","Rhineland-Palatinate,Saarland","in school","5","","",""
"Yes","2002","Rhineland-Palatinate,Saarland","inadequately","","","",""
"Yes","2002","Rhineland-Palatinate,Saarland","general elemantary","10","","",""
"Yes","2002","Rhineland-Palatinate,Saarland","middle vocational","65","0.0839676530289338","0.0623624850084137","0.105572821049454"
"Yes","2002","Rhineland-Palatinate,Saarland","vocational + Abi","4","","",""
"Yes","2002","Rhineland-Palatinate,Saarland","higher vocational","9","","",""
"Yes","2002","Rhineland-Palatinate,Saarland","higher education","18","","",""
"Yes","2002","Baden-Württemberg","in school","5","","",""
"Yes","2002","Baden-Württemberg","inadequately","","","",""
"Yes","2002","Baden-Württemberg","general elemantary","19","","",""
"Yes","2002","Baden-Württemberg","middle vocational","190","0.165573427470685","0.144266039294593","0.186880815646776"
"Yes","2002","Baden-Württemberg","vocational + Abi","13","","",""
"Yes","2002","Baden-Württemberg","higher vocational","34","0.186336213268804","0.12945315144249","0.243219275095117"
"Yes","2002","Baden-Württemberg","higher education","79","0.271193903894479","0.22011429582429","0.322273511964668"
"Yes","2002","Bavaria","in school","3","","",""
"Yes","2002","Bavaria","inadequately","","","",""
"Yes","2002","Bavaria","general elemantary","31","0.0654052617277487","0.0412365737879782","0.0895739496675193"
"Yes","2002","Bavaria","middle vocational","230","0.155541531948606","0.137170234525707","0.173912829371506"
"Yes","2002","Bavaria","vocational + Abi","22","","",""
"Yes","2002","Bavaria","higher vocational","38","0.204630068079313","0.149404464727644","0.259855671430982"
"Yes","2002","Bavaria","higher education","87","0.273946501823999","0.225973572319428","0.32191943132857"
"Yes","2002","Berlin","in school","1","","",""
"Yes","2002","Berlin","inadequately","","","",""
"Yes","2002","Berlin","general elemantary","1","","",""
"Yes","2002","Berlin","middle vocational","21","","",""
"Yes","2002","Berlin","vocational + Abi","","","",""
"Yes","2002","Berlin","higher vocational","4","","",""
"Yes","2002","Berlin","higher education","22","","",""
"Yes","2002","Brandenburg","in school","1","","",""
"Yes","2002","Brandenburg","inadequately","","","",""
"Yes","2002","Brandenburg","general elemantary","1","","",""
"Yes","2002","Brandenburg","middle vocational","27","","",""
"Yes","2002","Brandenburg","vocational + Abi","2","","",""
"Yes","2002","Brandenburg","higher vocational","4","","",""
"Yes","2002","Brandenburg","higher education","20","","",""
"Yes","2002","Mecklenburg-Western Pomerania","in school","1","","",""
"Yes","2002","Mecklenburg-Western Pomerania","inadequately","","","",""
"Yes","2002","Mecklenburg-Western Pomerania","general elemantary","1","","",""
"Yes","2002","Mecklenburg-Western Pomerania","middle vocational","10","","",""
"Yes","2002","Mecklenburg-Western Pomerania","vocational + Abi","","","",""
"Yes","2002","Mecklenburg-Western Pomerania","higher vocational","5","","",""
"Yes","2002","Mecklenburg-Western Pomerania","higher education","4","","",""
"Yes","2002","Saxony","in school","3","","",""
"Yes","2002","Saxony","inadequately","","","",""
"Yes","2002","Saxony","general elemantary","3","","",""
"Yes","2002","Saxony","middle vocational","41","0.047914556052282","0.033664571610355","0.0621645404942089"
"Yes","2002","Saxony","vocational + Abi","1","","",""
"Yes","2002","Saxony","higher vocational","9","","",""
"Yes","2002","Saxony","higher education","27","","",""
"Yes","2002","Saxony-Anhalt","in school","","","",""
"Yes","2002","Saxony-Anhalt","inadequately","","","",""
"Yes","2002","Saxony-Anhalt","general elemantary","","","",""
"Yes","2002","Saxony-Anhalt","middle vocational","25","","",""
"Yes","2002","Saxony-Anhalt","vocational + Abi","5","","",""
"Yes","2002","Saxony-Anhalt","higher vocational","4","","",""
"Yes","2002","Saxony-Anhalt","higher education","12","","",""
"Yes","2002","Thuringia","in school","","","",""
"Yes","2002","Thuringia","inadequately","","","",""
"Yes","2002","Thuringia","general elemantary","2","","",""
"Yes","2002","Thuringia","middle vocational","20","","",""
"Yes","2002","Thuringia","vocational + Abi","","","",""
"Yes","2002","Thuringia","higher vocational","4","","",""
"Yes","2002","Thuringia","higher education","10","","",""
"No","2002","Schleswig-Holstein","in school","19","","",""
"No","2002","Schleswig-Holstein","inadequately","5","","",""
"No","2002","Schleswig-Holstein","general elemantary","86","0.968979093987671","0.932959606405292","1.00499858157005"
"No","2002","Schleswig-Holstein","middle vocational","303","0.905028479897615","0.873587022013917","0.936469937781313"
"No","2002","Schleswig-Holstein","vocational + Abi","25","","",""
"No","2002","Schleswig-Holstein","higher vocational","40","0.936683470502977","0.866307539282037","1.00705940172392"
"No","2002","Schleswig-Holstein","higher education","42","0.77802244483071","0.671981721847019","0.884063167814402"
"No","2002","Hamburg","in school","5","","",""
"No","2002","Hamburg","inadequately","2","","",""
"No","2002","Hamburg","general elemantary","30","0.991991840604212","0.960616557840045","1.02336712336838"
"No","2002","Hamburg","middle vocational","130","0.937191754302381","0.8978372701462","0.976546238458561"
"No","2002","Hamburg","vocational + Abi","14","","",""
"No","2002","Hamburg","higher vocational","17","","",""
"No","2002","Hamburg","higher education","41","0.962047991771097","0.907420040732732","1.01667594280946"
"No","2002","Lower Saxony","in school","47","0.92433126488286","0.851026003351101","0.997636526414618"
"No","2002","Lower Saxony","inadequately","27","","",""
"No","2002","Lower Saxony","general elemantary","254","0.96886531559518","0.94791454188946","0.989816089300899"
"No","2002","Lower Saxony","middle vocational","810","0.891066740013589","0.870999947287536","0.911133532739641"
"No","2002","Lower Saxony","vocational + Abi","99","0.900570109070534","0.845879039544347","0.955261178596721"
"No","2002","Lower Saxony","higher vocational","96","0.88620629743894","0.827394343306647","0.945018251571234"
"No","2002","Lower Saxony","higher education","133","0.793714481166412","0.732708662208947","0.854720300123876"
"No","2002","Bremen","in school","4","","",""
"No","2002","Bremen","inadequately","","","",""
"No","2002","Bremen","general elemantary","19","","",""
"No","2002","Bremen","middle vocational","78","0.939942830824604","0.889727998817496","0.990157662831712"
"No","2002","Bremen","vocational + Abi","11","","",""
"No","2002","Bremen","higher vocational","8","","",""
"No","2002","Bremen","higher education","22","","",""
"No","2002","North Rhine-Westphalia","in school","90","0.907425659001054","0.852250194154741","0.962601123847366"
"No","2002","North Rhine-Westphalia","inadequately","102","0.984109925684882","0.960076471624794","1.00814337974497"
"No","2002","North Rhine-Westphalia","general elemantary","587","0.976806167533129","0.964792381595025","0.988819953471233"
"No","2002","North Rhine-Westphalia","middle vocational","1815","0.870393298207316","0.856014454916768","0.884772141497865"
"No","2002","North Rhine-Westphalia","vocational + Abi","257","0.853869445490769","0.815045400304064","0.892693490677475"
"No","2002","North Rhine-Westphalia","higher vocational","241","0.823102551727206","0.779185128552527","0.867019974901886"
"No","2002","North Rhine-Westphalia","higher education","332","0.695546472617198","0.655007842131214","0.736085103103182"
"No","2002","Hesse","in school","23","","",""
"No","2002","Hesse","inadequately","23","","",""
"No","2002","Hesse","general elemantary","219","0.974039288823727","0.953214979216346","0.994863598431109"
"No","2002","Hesse","middle vocational","614","0.908298232743206","0.886638205876629","0.929958259609782"
"No","2002","Hesse","vocational + Abi","80","0.796467961468126","0.718712657193128","0.874223265743124"
"No","2002","Hesse","higher vocational","70","0.862512788539156","0.787978675415416","0.937046901662897"
"No","2002","Hesse","higher education","156","0.837707532967678","0.786478407246126","0.888936658689229"
"No","2002","Rhineland-Palatinate,Saarland","in school","26","","",""
"No","2002","Rhineland-Palatinate,Saarland","inadequately","25","","",""
"No","2002","Rhineland-Palatinate,Saarland","general elemantary","219","0.955554285532057","0.92886278569884","0.982245785365275"
"No","2002","Rhineland-Palatinate,Saarland","middle vocational","568","0.916032346971066","0.894427178950546","0.937637514991586"
"No","2002","Rhineland-Palatinate,Saarland","vocational + Abi","46","0.876424880787024","0.785205744241517","0.967644017332532"
"No","2002","Rhineland-Palatinate,Saarland","higher vocational","84","0.936904608836272","0.887490254741969","0.986318962930575"
"No","2002","Rhineland-Palatinate,Saarland","higher education","72","0.909929643598085","0.850784146840745","0.969075140355426"
"No","2002","Baden-Württemberg","in school","62","0.963889097277658","0.919216274414237","1.00856192014108"
"No","2002","Baden-Württemberg","inadequately","47","1","1","1"
"No","2002","Baden-Württemberg","general elemantary","465","0.948302282060023","0.928576488014432","0.968028076105615"
"No","2002","Baden-Württemberg","middle vocational","979","0.834426572529315","0.813119184353224","0.855733960705407"
"No","2002","Baden-Württemberg","vocational + Abi","110","0.916262071406146","0.867310515887846","0.965213626924446"
"No","2002","Baden-Württemberg","higher vocational","146","0.813663786731196","0.756780724904883","0.87054684855751"
"No","2002","Baden-Württemberg","higher education","212","0.728806096105521","0.677726488035332","0.77988570417571"
"No","2002","Bavaria","in school","37","0.978572748479048","0.933698427737521","1.02344706922057"
"No","2002","Bavaria","inadequately","25","","",""
"No","2002","Bavaria","general elemantary","371","0.934594738272251","0.910426050332481","0.958763426212022"
"No","2002","Bavaria","middle vocational","1265","0.844458468051394","0.826087170628494","0.862829765474293"
"No","2002","Bavaria","vocational + Abi","103","0.838706365125845","0.77422909101966","0.903183639232029"
"No","2002","Bavaria","higher vocational","167","0.795369931920687","0.740144328569018","0.850595535272356"
"No","2002","Bavaria","higher education","245","0.726053498176001","0.67808056867143","0.774026427680572"
"No","2002","Berlin","in school","23","","",""
"No","2002","Berlin","inadequately","6","","",""
"No","2002","Berlin","general elemantary","66","0.990386155204636","0.96702138450113","1.01375092590814"
"No","2002","Berlin","middle vocational","288","0.944668775430337","0.919177370451095","0.970160180409579"
"No","2002","Berlin","vocational + Abi","30","1","1","1"
"No","2002","Berlin","higher vocational","58","0.914401441683819","0.844762217787282","0.984040665580356"
"No","2002","Berlin","higher education","150","0.909929827581478","0.867146130040156","0.9527135251228"
"No","2002","Brandenburg","in school","23","","",""
"No","2002","Brandenburg","inadequately","4","","",""
"No","2002","Brandenburg","general elemantary","82","0.98809651934617","0.964764855278013","1.01142818341433"
"No","2002","Brandenburg","middle vocational","449","0.931410720954673","0.908704578934958","0.954116862974389"
"No","2002","Brandenburg","vocational + Abi","22","","",""
"No","2002","Brandenburg","higher vocational","71","0.948461818252734","0.898424741234945","0.998498895270524"
"No","2002","Brandenburg","higher education","205","0.920806922413746","0.885522360464435","0.956091484363056"
"No","2002","Mecklenburg-Western Pomerania","in school","8","","",""
"No","2002","Mecklenburg-Western Pomerania","inadequately","3","","",""
"No","2002","Mecklenburg-Western Pomerania","general elemantary","41","0.995809312014","0.976272477362547","1.01534614666545"
"No","2002","Mecklenburg-Western Pomerania","middle vocational","247","0.978410489722255","0.960641469768401","0.996179509676108"
"No","2002","Mecklenburg-Western Pomerania","vocational + Abi","4","","",""
"No","2002","Mecklenburg-Western Pomerania","higher vocational","32","0.846280320958731","0.730063475076542","0.962497166840921"
"No","2002","Mecklenburg-Western Pomerania","higher education","103","0.95692210662839","0.918452147536266","0.995392065720514"
"No","2002","Saxony","in school","35","0.962099083144357","0.901384774909795","1.02281339137892"
"No","2002","Saxony","inadequately","3","","",""
"No","2002","Saxony","general elemantary","124","0.975784121388481","0.949049550398487","1.00251869237847"
"No","2002","Saxony","middle vocational","822","0.952085443947718","0.937835459505791","0.966335428389645"
"No","2002","Saxony","vocational + Abi","39","0.949130260272905","0.881035959752606","1.0172245607932"
"No","2002","Saxony","higher vocational","118","0.954933675228577","0.918854308510797","0.991013041946357"
"No","2002","Saxony","higher education","303","0.936672482394493","0.910395152456882","0.962949812332103"
"No","2002","Saxony-Anhalt","in school","27","","",""
"No","2002","Saxony-Anhalt","inadequately","2","","",""
"No","2002","Saxony-Anhalt","general elemantary","85","1","1","1"
"No","2002","Saxony-Anhalt","middle vocational","456","0.955944076194598","0.937604303352286","0.974283849036911"
"No","2002","Saxony-Anhalt","vocational + Abi","26","","",""
"No","2002","Saxony-Anhalt","higher vocational","83","0.962772746744905","0.922991274124406","1.0025542193654"
"No","2002","Saxony-Anhalt","higher education","182","0.955962237016165","0.927090014287446","0.984834459744885"
"No","2002","Thuringia","in school","24","","",""
"No","2002","Thuringia","inadequately","2","","",""
"No","2002","Thuringia","general elemantary","58","0.989844372386922","0.964475024211556","1.01521372056229"
"No","2002","Thuringia","middle vocational","542","0.974302504711257","0.961220562079076","0.987384447343438"
"No","2002","Thuringia","vocational + Abi","21","","",""
"No","2002","Thuringia","higher vocational","61","0.969322276313472","0.927400751084381","1.01124380154256"
"No","2002","Thuringia","higher education","146","0.958490082516372","0.927189275230684","0.98979088980206"
"Yes","2003","Schleswig-Holstein","in school","","","",""
"Yes","2003","Schleswig-Holstein","inadequately","","","",""
"Yes","2003","Schleswig-Holstein","general elemantary","6","","",""
"Yes","2003","Schleswig-Holstein","middle vocational","22","","",""
"Yes","2003","Schleswig-Holstein","vocational + Abi","2","","",""
"Yes","2003","Schleswig-Holstein","higher vocational","8","","",""
"Yes","2003","Schleswig-Holstein","higher education","14","","",""
"Yes","2003","Hamburg","in school","","","",""
"Yes","2003","Hamburg","inadequately","","","",""
"Yes","2003","Hamburg","general elemantary","","","",""
"Yes","2003","Hamburg","middle vocational","13","","",""
"Yes","2003","Hamburg","vocational + Abi","2","","",""
"Yes","2003","Hamburg","higher vocational","2","","",""
"Yes","2003","Hamburg","higher education","8","","",""
"Yes","2003","Lower Saxony","in school","2","","",""
"Yes","2003","Lower Saxony","inadequately","","","",""
"Yes","2003","Lower Saxony","general elemantary","6","","",""
"Yes","2003","Lower Saxony","middle vocational","110","0.126549915474302","0.1046704727393","0.148429358209305"
"Yes","2003","Lower Saxony","vocational + Abi","22","","",""
"Yes","2003","Lower Saxony","higher vocational","12","","",""
"Yes","2003","Lower Saxony","higher education","37","0.204415784977084","0.143434897075683","0.265396672878484"
"Yes","2003","Bremen","in school","","","",""
"Yes","2003","Bremen","inadequately","","","",""
"Yes","2003","Bremen","general elemantary","1","","",""
"Yes","2003","Bremen","middle vocational","6","","",""
"Yes","2003","Bremen","vocational + Abi","3","","",""
"Yes","2003","Bremen","higher vocational","1","","",""
"Yes","2003","Bremen","higher education","1","","",""
"Yes","2003","North Rhine-Westphalia","in school","16","","",""
"Yes","2003","North Rhine-Westphalia","inadequately","2","","",""
"Yes","2003","North Rhine-Westphalia","general elemantary","25","","",""
"Yes","2003","North Rhine-Westphalia","middle vocational","298","0.140449323867681","0.125233229748815","0.155665417986547"
"Yes","2003","North Rhine-Westphalia","vocational + Abi","59","0.138090435536508","0.0992450508641216","0.176935820208894"
"Yes","2003","North Rhine-Westphalia","higher vocational","50","0.211822733278311","0.163617766704469","0.260027699852153"
"Yes","2003","North Rhine-Westphalia","higher education","145","0.286772083785356","0.246186527383522","0.327357640187191"
"Yes","2003","Hesse","in school","1","","",""
"Yes","2003","Hesse","inadequately","","","",""
"Yes","2003","Hesse","general elemantary","4","","",""
"Yes","2003","Hesse","middle vocational","69","0.0828648296578396","0.0611475931226274","0.104582066193052"
"Yes","2003","Hesse","vocational + Abi","19","","",""
"Yes","2003","Hesse","higher vocational","9","","",""
"Yes","2003","Hesse","higher education","39","0.168601325150445","0.115224548381178","0.221978101919711"
"Yes","2003","Rhineland-Palatinate,Saarland","in school","4","","",""
"Yes","2003","Rhineland-Palatinate,Saarland","inadequately","","","",""
"Yes","2003","Rhineland-Palatinate,Saarland","general elemantary","12","","",""
"Yes","2003","Rhineland-Palatinate,Saarland","middle vocational","65","0.106724008111358","0.0823610844995313","0.131086931723184"
"Yes","2003","Rhineland-Palatinate,Saarland","vocational + Abi","7","","",""
"Yes","2003","Rhineland-Palatinate,Saarland","higher vocational","11","","",""
"Yes","2003","Rhineland-Palatinate,Saarland","higher education","14","","",""
"Yes","2003","Baden-Württemberg","in school","","","",""
"Yes","2003","Baden-Württemberg","inadequately","","","",""
"Yes","2003","Baden-Württemberg","general elemantary","17","","",""
"Yes","2003","Baden-Württemberg","middle vocational","167","0.136279679059469","0.116258222877705","0.156301135241232"
"Yes","2003","Baden-Württemberg","vocational + Abi","15","","",""
"Yes","2003","Baden-Württemberg","higher vocational","24","","",""
"Yes","2003","Baden-Württemberg","higher education","89","0.317077356017136","0.261468965985181","0.372685746049091"
"Yes","2003","Bavaria","in school","6","","",""
"Yes","2003","Bavaria","inadequately","","","",""
"Yes","2003","Bavaria","general elemantary","21","","",""
"Yes","2003","Bavaria","middle vocational","221","0.150175368864127","0.131672435152787","0.168678302575466"
"Yes","2003","Bavaria","vocational + Abi","24","","",""
"Yes","2003","Bavaria","higher vocational","35","0.186527077872224","0.132942160420536","0.240111995323913"
"Yes","2003","Bavaria","higher education","83","0.283362557331486","0.233279725655981","0.333445389006991"
"Yes","2003","Berlin","in school","4","","",""
"Yes","2003","Berlin","inadequately","","","",""
"Yes","2003","Berlin","general elemantary","2","","",""
"Yes","2003","Berlin","middle vocational","18","","",""
"Yes","2003","Berlin","vocational + Abi","1","","",""
"Yes","2003","Berlin","higher vocational","3","","",""
"Yes","2003","Berlin","higher education","25","","",""
"Yes","2003","Brandenburg","in school","3","","",""
"Yes","2003","Brandenburg","inadequately","","","",""
"Yes","2003","Brandenburg","general elemantary","1","","",""
"Yes","2003","Brandenburg","middle vocational","18","","",""
"Yes","2003","Brandenburg","vocational + Abi","4","","",""
"Yes","2003","Brandenburg","higher vocational","5","","",""
"Yes","2003","Brandenburg","higher education","23","","",""
"Yes","2003","Mecklenburg-Western Pomerania","in school","1","","",""
"Yes","2003","Mecklenburg-Western Pomerania","inadequately","1","","",""
"Yes","2003","Mecklenburg-Western Pomerania","general elemantary","1","","",""
"Yes","2003","Mecklenburg-Western Pomerania","middle vocational","12","","",""
"Yes","2003","Mecklenburg-Western Pomerania","vocational + Abi","","","",""
"Yes","2003","Mecklenburg-Western Pomerania","higher vocational","4","","",""
"Yes","2003","Mecklenburg-Western Pomerania","higher education","5","","",""
"Yes","2003","Saxony","in school","2","","",""
"Yes","2003","Saxony","inadequately","","","",""
"Yes","2003","Saxony","general elemantary","3","","",""
"Yes","2003","Saxony","middle vocational","39","0.0415352992326025","0.0280903352619693","0.0549802632032357"
"Yes","2003","Saxony","vocational + Abi","4","","",""
"Yes","2003","Saxony","higher vocational","8","","",""
"Yes","2003","Saxony","higher education","27","","",""
"Yes","2003","Saxony-Anhalt","in school","2","","",""
"Yes","2003","Saxony-Anhalt","inadequately","","","",""
"Yes","2003","Saxony-Anhalt","general elemantary","2","","",""
"Yes","2003","Saxony-Anhalt","middle vocational","25","","",""
"Yes","2003","Saxony-Anhalt","vocational + Abi","4","","",""
"Yes","2003","Saxony-Anhalt","higher vocational","6","","",""
"Yes","2003","Saxony-Anhalt","higher education","13","","",""
"Yes","2003","Thuringia","in school","1","","",""
"Yes","2003","Thuringia","inadequately","","","",""
"Yes","2003","Thuringia","general elemantary","1","","",""
"Yes","2003","Thuringia","middle vocational","20","","",""
"Yes","2003","Thuringia","vocational + Abi","2","","",""
"Yes","2003","Thuringia","higher vocational","3","","",""
"Yes","2003","Thuringia","higher education","13","","",""
"No","2003","Schleswig-Holstein","in school","13","","",""
"No","2003","Schleswig-Holstein","inadequately","5","","",""
"No","2003","Schleswig-Holstein","general elemantary","79","0.908322267145331","0.846975661055153","0.969668873235509"
"No","2003","Schleswig-Holstein","middle vocational","298","0.92385643568932","0.894796680765956","0.952916190612684"
"No","2003","Schleswig-Holstein","vocational + Abi","25","","",""
"No","2003","Schleswig-Holstein","higher vocational","34","0.919210541608249","0.836795156510656","1.00162592670584"
"No","2003","Schleswig-Holstein","higher education","42","0.815632101663807","0.714067145535874","0.91719705779174"
"No","2003","Hamburg","in school","7","","",""
"No","2003","Hamburg","inadequately","2","","",""
"No","2003","Hamburg","general elemantary","29","","",""
"No","2003","Hamburg","middle vocational","118","0.938242556370572","0.897021922837789","0.979463189903355"
"No","2003","Hamburg","vocational + Abi","16","","",""
"No","2003","Hamburg","higher vocational","14","","",""
"No","2003","Hamburg","higher education","33","0.845337071645964","0.73465832445619","0.956015818835738"
"No","2003","Lower Saxony","in school","47","0.945586255690024","0.882074380968574","1.00909813041147"
"No","2003","Lower Saxony","inadequately","25","","",""
"No","2003","Lower Saxony","general elemantary","256","0.986510639851204","0.97254232527324","1.00047895442917"
"No","2003","Lower Saxony","middle vocational","777","0.873450084525698","0.851570641790695","0.8953295272607"
"No","2003","Lower Saxony","vocational + Abi","88","0.807035711559932","0.733290029614978","0.880781393504886"
"No","2003","Lower Saxony","higher vocational","93","0.914471059876002","0.860978304386055","0.967963815365948"
"No","2003","Lower Saxony","higher education","131","0.795584215022916","0.734603327121516","0.856565102924317"
"No","2003","Bremen","in school","4","","",""
"No","2003","Bremen","inadequately","","","",""
"No","2003","Bremen","general elemantary","18","","",""
"No","2003","Bremen","middle vocational","75","0.958524033751121","0.915102481858772","1.00194558564347"
"No","2003","Bremen","vocational + Abi","10","","",""
"No","2003","Bremen","higher vocational","7","","",""
"No","2003","Bremen","higher education","23","","",""
"No","2003","North Rhine-Westphalia","in school","90","0.912029517390079","0.858107256563597","0.965951778216561"
"No","2003","North Rhine-Westphalia","inadequately","100","0.975390196822703","0.945323115757848","1.00545727788756"
"No","2003","North Rhine-Westphalia","general elemantary","544","0.964186140684114","0.948917584842675","0.979454696525554"
"No","2003","North Rhine-Westphalia","middle vocational","1705","0.859550676132319","0.844334582013453","0.874766770251185"
"No","2003","North Rhine-Westphalia","vocational + Abi","244","0.861909564463492","0.823064179791106","0.900754949135878"
"No","2003","North Rhine-Westphalia","higher vocational","226","0.788177266721689","0.739972300147847","0.836382233295531"
"No","2003","North Rhine-Westphalia","higher education","332","0.713227916214643","0.672642359812809","0.753813472616478"
"No","2003","Hesse","in school","21","","",""
"No","2003","Hesse","inadequately","16","","",""
"No","2003","Hesse","general elemantary","199","0.980522044408464","0.961511242402899","0.99953284641403"
"No","2003","Hesse","middle vocational","550","0.91713517034216","0.895417933806948","0.938852406877373"
"No","2003","Hesse","vocational + Abi","78","0.859407779229706","0.790233839739956","0.928581718719455"
"No","2003","Hesse","higher vocational","66","0.875540203787255","0.800831698287925","0.950248709286586"
"No","2003","Hesse","higher education","150","0.831398674849555","0.778021898080289","0.884775451618822"
"No","2003","Rhineland-Palatinate,Saarland","in school","28","","",""
"No","2003","Rhineland-Palatinate,Saarland","inadequately","20","","",""
"No","2003","Rhineland-Palatinate,Saarland","general elemantary","212","0.940188196620092","0.909133668984634","0.97124272425555"
"No","2003","Rhineland-Palatinate,Saarland","middle vocational","552","0.893275991888642","0.868913068276816","0.917638915500469"
"No","2003","Rhineland-Palatinate,Saarland","vocational + Abi","45","0.834851285266025","0.733928650894064","0.935773919637985"
