"ple0098_v5","year","e11103","sex","n","percent","lower_confidence","upper_confidence","value"
"Yes","2007","Full Time","Female","507","0.229004386078139","0.211513448158031","0.246495323998248","1"
"Yes","2007","Not Working","Male","314","0.0940745126609632","0.0833188517736116","0.104830173548315","1"
"Yes","2007","Not Working","Female","569","0.129172432617536","0.1190592991696","0.139285566065471","1"
"No","2008","Full Time","Male","3062","0.783897537033934","0.770951885757308","0.79684318831056","2"
"No","2008","Full Time","Female","1604","0.733456248144167","0.714822887450784","0.75208960883755","2"
"No","2008","Not Working","Male","2313","0.882506181799836","0.870280703162468","0.894731660437205","2"
"No","2008","Not Working","Female","3325","0.844643886282453","0.833347213766396","0.85594055879851","2"
"No","2008","Part Time","Male","850","0.850775572046681","0.828833843616709","0.872717300476652","2"
"No","2008","Part Time","Female","2216","0.776818298810477","0.761648219787089","0.791988377833866","2"
"Yes","2008","Part Time","Male","163","0.149224427953319","0.127282699523348","0.171166156383291","1"
"Yes","2008","Part Time","Female","678","0.223181701189523","0.208011622166134","0.238351780212911","1"
"Yes","2008","Full Time","Male","821","0.216102462966066","0.203156811689439","0.229048114242692","1"
"Yes","2008","Full Time","Female","559","0.266543751855833","0.24791039116245","0.285177112549216","1"
"Yes","2008","Not Working","Male","352","0.117493818200164","0.105268339562795","0.129719296837532","1"
"Yes","2008","Not Working","Female","625","0.155356113717547","0.14405944120149","0.166652786233604","1"
"No","2009","Full Time","Male","","","","","2"
"No","2009","Full Time","Female","","","","","2"
"No","2009","Not Working","Male","","","","","2"
"No","2009","Not Working","Female","","","","","2"
"No","2009","Part Time","Male","","","","","2"
"No","2009","Part Time","Female","","","","","2"
"Yes","2009","Part Time","Male","","","","","1"
"Yes","2009","Part Time","Female","","","","","1"
"Yes","2009","Full Time","Male","","","","","1"
"Yes","2009","Full Time","Female","","","","","1"
"Yes","2009","Not Working","Male","","","","","1"
"Yes","2009","Not Working","Female","","","","","1"
"No","2010","Full Time","Male","3857","0.756005396877188","0.744096009158849","0.767914784595528","2"
"No","2010","Full Time","Female","1792","0.712545472889511","0.694822560326832","0.73026838545219","2"
"No","2010","Not Working","Male","2284","0.878953137651117","0.866501255068775","0.891405020233459","2"
"No","2010","Not Working","Female","4161","0.841308795337667","0.831101012330267","0.851516578345066","2"
"No","2010","Part Time","Male","1138","0.837926810401028","0.818290593282467","0.857563027519589","2"
"No","2010","Part Time","Female","3311","0.771971895680753","0.759511009055466","0.78443278230604","2"
"Yes","2010","Part Time","Male","215","0.162073189598972","0.142436972480411","0.181709406717533","1"
"Yes","2010","Part Time","Female","1044","0.228028104319247","0.21556721769396","0.240488990944534","1"
"Yes","2010","Not Working","Male","352","0.121046862348883","0.108594979766541","0.133498744931225","1"
"Yes","2010","Full Time","Male","1139","0.243994603122812","0.232085215404473","0.255903990841151","1"
"Yes","2010","Full Time","Female","713","0.287454527110489","0.26973161454781","0.305177439673168","1"
"Yes","2010","Not Working","Female","761","0.158691204662333","0.148483421654934","0.168898987669733","1"
"No","2011","Full Time","Male","2969","0.753196463556151","0.739730418587064","0.766662508525237","2"
"No","2011","Full Time","Female","1693","0.722815255970679","0.704839981547477","0.740790530393881","2"
"No","2011","Not Working","Male","2442","0.858588364288142","0.845917387514639","0.871259341061645","2"
"No","2011","Not Working","Female","3483","0.826719205850943","0.815267120407781","0.838171291294105","2"
"No","2011","Part Time","Male","964","0.837985543477829","0.816708219869278","0.859262867086379","2"
"No","2011","Part Time","Female","2322","0.748195505615646","0.733073809018371","0.763317202212921","2"
"Yes","2011","Part Time","Male","188","0.162014456522171","0.14073713291362","0.183291780130722","1"
"Yes","2011","Part Time","Female","843","0.251804494384354","0.236682797787079","0.266926190981629","1"
"Yes","2011","Not Working","Male","463","0.141411635711858","0.128740658938355","0.154082612485361","1"
"Yes","2011","Full Time","Male","969","0.24680353644385","0.233337491474763","0.260269581412936","1"
"Yes","2011","Not Working","Female","713","0.173280794149057","0.161828708705895","0.184732879592219","1"
"Yes","2011","Full Time","Female","689","0.277184744029321","0.259209469606119","0.295160018452523","1"
"No","2012","Full Time","Male","4202","0.747519419372274","0.736121717064557","0.758917121679991","2"
"No","2012","Full Time","Female","2059","0.708587576894906","0.692242243238791","0.724932910551021","2"
"No","2012","Part Time","Male","1247","0.818642175449476","0.799258889099095","0.838025461799857","2"
"No","2012","Part Time","Female","3861","0.755460153574831","0.7437913457791","0.767128961370562","2"
"No","2012","Not Working","Male","2751","0.860914545269971","0.849059697857383","0.87276939268256","2"
"No","2012","Not Working","Female","4494","0.8234053774573","0.813253554515222","0.833557200399378","2"
"Yes","2012","Part Time","Male","271","0.181357824550524","0.161974538200143","0.200741110900904","1"
"Yes","2012","Part Time","Female","1351","0.244539846425169","0.232871038629438","0.2562086542209","1"
"Yes","2012","Full Time","Male","1379","0.252480580627726","0.241082878320009","0.263878282935443","1"
"Yes","2012","Not Working","Male","522","0.139085454730029","0.12723060731744","0.150940302142617","1"
"Yes","2012","Not Working","Female","926","0.1765946225427","0.166442799600622","0.186746445484778","1"
"Yes","2012","Full Time","Female","910","0.291412423105094","0.275067089448979","0.307757756761209","1"
"No","2013","Full Time","Male","2548","0.728619761158634","0.713877500557615","0.743362021759654","2"
"No","2013","Full Time","Female","1496","0.684289818323078","0.664840960006966","0.703738676639189","2"
"No","2013","Part Time","Male","851","0.785330407306321","0.760612788450045","0.810048026162596","2"
"No","2013","Part Time","Female","2141","0.723368893675018","0.707396171172664","0.739341616177371","2"
"No","2013","Not Working","Male","2194","0.836333250434691","0.822328686373937","0.850337814495445","2"
"No","2013","Not Working","Female","2935","0.792467165977666","0.779431673441012","0.805502658514319","2"
"Yes","2013","Part Time","Male","209","0.214669592693679","0.189951973837404","0.239387211549955","1"
"Yes","2013","Part Time","Female","872","0.276631106324982","0.260658383822629","0.292603828827336","1"
"Yes","2013","Full Time","Male","947","0.271380238841366","0.256637978240346","0.286122499442385","1"
"Yes","2013","Full Time","Female","698","0.315710181676922","0.296261323360811","0.335159039993034","1"
"Yes","2013","Not Working","Male","487","0.163666749565309","0.149662185504555","0.177671313626063","1"
"Yes","2013","Not Working","Female","783","0.207532834022335","0.194497341485681","0.220568326558988","1"
"No","2014","Full Time","Male","4167","0.733162976496471","0.721514859743219","0.744811093249722","2"
"No","2014","Full Time","Female","2163","0.676833825138729","0.660235963208698","0.693431687068759","2"
"No","2014","Part Time","Male","1464","0.835793019411858","0.818325895568222","0.853260143255494","2"
"No","2014","Part Time","Female","3794","0.733023432441771","0.720985729862038","0.745061135021504","2"
"No","2014","Not Working","Male","2719","0.830901451059071","0.818055906555351","0.843746995562791","2"
"No","2014","Not Working","Female","4147","0.799023336918519","0.78797972273085","0.810066951106188","2"
"Yes","2014","Part Time","Male","264","0.164206980588142","0.146739856744506","0.181674104431778","1"
"Yes","2014","Part Time","Female","1394","0.266976567558229","0.254938864978496","0.279014270137962","1"
"Yes","2014","Full Time","Male","1372","0.26683702350353","0.255188906750278","0.278485140256781","1"
"Yes","2014","Full Time","Female","887","0.323166174861271","0.30656831293124","0.339764036791302","1"
"Yes","2014","Not Working","Male","552","0.169098548940929","0.156253004437209","0.181944093444649","1"
"Yes","2014","Not Working","Female","911","0.200976663081481","0.189933048893813","0.21202027726915","1"
"No","2015","Full Time","Male","","","","","2"
"No","2015","Full Time","Female","","","","","2"
"No","2015","Part Time","Male","","","","","2"
"No","2015","Part Time","Female","","","","","2"
"No","2015","Not Working","Male","","","","","2"
"No","2015","Not Working","Female","","","","","2"
"Yes","2015","Part Time","Male","","","","","1"
"Yes","2015","Part Time","Female","","","","","1"
"Yes","2015","Full Time","Male","","","","","1"
"Yes","2015","Full Time","Female","","","","","1"
"Yes","2015","Not Working","Male","","","","","1"
"Yes","2015","Not Working","Female","","","","","1"
"No","2016","Full Time","Male","3866","0.751675300555885","0.739680744638999","0.763669856472771","2"
"No","2016","Full Time","Female","2072","0.710687196216736","0.694010424123166","0.727363968310307","2"
"No","2016","Part Time","Male","1403","0.848848411330463","0.831459366905888","0.866237455755038","2"
"No","2016","Part Time","Female","3572","0.754312946150219","0.742044644729198","0.766581247571239","2"
"No","2016","Not Working","Male","2409","0.865735102161719","0.853115872548112","0.878354331775326","2"
"No","2016","Not Working","Female","3657","0.826835112936168","0.815586663935549","0.838083561936786","2"
"Yes","2016","Part Time","Male","227","0.151151588669537","0.133762544244962","0.168540633094112","1"
"Yes","2016","Part Time","Female","1158","0.245687053849781","0.233418752428761","0.257955355270802","1"
"Yes","2016","Full Time","Male","1118","0.248324699444115","0.236330143527229","0.260319255361001","1"
"Yes","2016","Full Time","Female","768","0.289312803783264","0.272636031689693","0.305989575876834","1"
"Yes","2016","Not Working","Male","395","0.134264897838281","0.121645668224675","0.146884127451888","1"
"Yes","2016","Not Working","Female","690","0.173164887063832","0.161916438063213","0.184413336064451","1"
"No","2017","Full Time","Male","","","","","2"
"No","2017","Full Time","Female","","","","","2"
"No","2017","Part Time","Male","","","","","2"
"No","2017","Part Time","Female","","","","","2"
"No","2017","Not Working","Male","","","","","2"
"No","2017","Not Working","Female","","","","","2"
"Yes","2017","Part Time","Male","","","","","1"
"Yes","2017","Part Time","Female","","","","","1"
"Yes","2017","Full Time","Male","","","","","1"
"Yes","2017","Full Time","Female","","","","","1"
"Yes","2017","Not Working","Male","","","","","1"
"Yes","2017","Not Working","Female","","","","","1"
"No","2018","Full Time","Male","4070","0.744524035943791","0.732835320757058","0.756212751130525","2"
"No","2018","Full Time","Female","2254","0.698122489728255","0.682144167903527","0.714100811552984","2"
"No","2018","Part Time","Male","1576","0.821870443688554","0.804420890230787","0.839319997146321","2"
"No","2018","Part Time","Female","3862","0.767937396100521","0.756327603177843","0.779547189023199","2"
"No","2018","Not Working","Male","2448","0.846614027989359","0.833430164601525","0.859797891377193","2"
"No","2018","Not Working","Female","3618","0.820582501478286","0.809128622129972","0.8320363808266","2"
"Yes","2018","Part Time","Male","271","0.178129556311446","0.160680002853679","0.195579109769213","1"
"Yes","2018","Part Time","Female","1217","0.232062603899479","0.220452810976801","0.243672396822157","1"
"Yes","2018","Full Time","Male","1278","0.255475964056209","0.243787248869475","0.267164679242942","1"
"Yes","2018","Not Working","Male","422","0.153385972010641","0.140202108622807","0.166569835398475","1"
"Yes","2018","Full Time","Female","917","0.301877510271745","0.285899188447016","0.317855832096473","1"
"Yes","2018","Not Working","Female","693","0.179417498521714","0.1679636191734","0.190871377870028","1"
