"ple0098_v5","year","sex","n","percent","lower_confidence","upper_confidence"
"No","2010","Male","7279","0.810628986647578","0.80252764651083","0.818730326784326"
"No","2010","Female","9264","0.788092839439066","0.780713795630615","0.795471883247518"
"Yes","2011","Male","1620","0.197212955891392","0.188491143197656","0.205934768585129"
"Yes","2011","Female","2245","0.223595347515005","0.215322077747182","0.231868617282829"
"No","2011","Male","6375","0.802787044108608","0.794065231414872","0.811508856802344"
"No","2011","Female","7498","0.776404652484994","0.768131382717171","0.784677922252818"
"Yes","2012","Male","2172","0.20406426744414","0.196308240299761","0.21182029458852"
"Yes","2012","Female","3187","0.227005409536118","0.219965468829864","0.234045350242373"
"No","2012","Male","8200","0.795935732555859","0.78817970541148","0.803691759700239"
"No","2012","Female","10414","0.772994590463882","0.765954649757627","0.780034531170136"
"Yes","2013","Male","1643","0.224006453221132","0.214400109285197","0.233612797157066"
"Yes","2013","Female","2353","0.255800755451402","0.246748860559401","0.264852650343403"
"No","2013","Male","5593","0.775993546778868","0.766387202842934","0.785599890714803"
"No","2013","Female","6572","0.744199244548598","0.735147349656597","0.753251139440599"
"Yes","2014","Male","2188","0.216983702048747","0.209113824916075","0.224853579181418"
"Yes","2014","Female","3192","0.252778003272645","0.245390765950518","0.260165240594771"
"No","2014","Male","8350","0.783016297951253","0.775146420818582","0.790886175083925"
"No","2014","Female","10104","0.747221996727355","0.739834759405229","0.754609234049482"
"Yes","2015","Male","","","",""
"Yes","2015","Female","","","",""
"No","2015","Male","","","",""
"No","2015","Female","","","",""
"Yes","2016","Male","1740","0.195845267574557","0.187830423092186","0.203860112056927"
"Yes","2016","Female","2616","0.22733450550786","0.219809738452474","0.234859272563246"
"No","2016","Male","7678","0.804154732425443","0.796139887943073","0.812169576907814"
"No","2016","Female","9301","0.77266549449214","0.765140727436754","0.780190261547526"
"Yes","2017","Male","","","",""
"Yes","2017","Female","","","",""
"No","2017","Male","","","",""
"No","2017","Female","","","",""
"Yes","2018","Male","1971","0.21094129107506","0.202970954523664","0.218911627626456"
"Yes","2018","Female","2827","0.230009049504709","0.222649499586204","0.237368599423213"
"No","2018","Male","8094","0.78905870892494","0.781088372373544","0.797029045476336"
"No","2018","Female","9734","0.769990950495291","0.762631400576787","0.777350500413796"
