"ple0098_v5","year","age_gr","sex","n","percent","lower_confidence","upper_confidence","value"
"No","2005","16-34 y.","Male","1975","0.879321821839703","0.865795528677963","0.892848115001443","2"
"No","2005","16-34 y.","Female","2155","0.869583311504328","0.856342729452428","0.882823893556227","2"
"No","2005","66 and older","Female","1705","0.893068177400747","0.879180211977768","0.906956142823727","2"
"No","2005","35-65 y.","Male","3733","0.872843562866084","0.862896445871243","0.882790679860925","2"
"No","2005","35-65 y.","Female","4361","0.852599090191022","0.84292924451711","0.862268935864933","2"
"Yes","2005","16-34 y.","Male","253","0.120678178160297","0.107151884998557","0.134204471322037","1"
"Yes","2005","16-34 y.","Female","330","0.130416688495672","0.117176106443773","0.143657270547572","1"
"Yes","2005","35-65 y.","Male","576","0.127156437133916","0.117209320139075","0.137103554128757","1"
"Yes","2005","35-65 y.","Female","802","0.147400909808979","0.137731064135067","0.15707075548289","1"
"Yes","2005","66 and older","Male","169","0.101223667500018","0.0860203262567875","0.116427008743248","1"
"Yes","2005","66 and older","Female","197","0.106931822599253","0.0930438571762732","0.120819788022232","1"
"No","2006","66 and older","Male","1577","0.887722353097574","0.873145763493638","0.90229894270151","2"
"No","2006","16-34 y.","Male","1848","0.862564807569249","0.847915393783924","0.877214221354575","2"
"No","2006","66 and older","Female","1955","0.892449394434937","0.879503412990035","0.905395375879838","2"
"No","2006","16-34 y.","Female","2092","0.85640295112324","0.842491384619556","0.870314517626923","2"
"No","2006","35-65 y.","Male","3841","0.855706678911482","0.845530120550361","0.865883237272602","2"
"No","2006","35-65 y.","Female","4496","0.824031581001618","0.814004315764335","0.834058846238901","2"
"Yes","2006","35-65 y.","Male","739","0.144293321088518","0.134116762727398","0.154469879449639","1"
"Yes","2006","35-65 y.","Female","1044","0.175968418998382","0.165941153761099","0.185995684235665","1"
"Yes","2006","16-34 y.","Male","274","0.137435192430751","0.122785778645425","0.152084606216076","1"
"Yes","2006","16-34 y.","Female","349","0.14359704887676","0.129685482373077","0.157508615380444","1"
"Yes","2006","66 and older","Male","225","0.112277646902426","0.0977010572984899","0.126854236506362","1"
"Yes","2006","66 and older","Female","245","0.107550605565063","0.0946046241201621","0.120496587009965","1"
"No","2007","16-34 y.","Male","1682","0.858325222314154","0.842831745723336","0.873818698904973","2"
"No","2007","66 and older","Male","1518","0.886066911330689","0.871197578199368","0.900936244462009","2"
"No","2007","66 and older","Female","1844","0.871426889250268","0.857238444458021","0.885615334042514","2"
"No","2007","16-34 y.","Female","1868","0.84348658619449","0.828341610103196","0.858631562285785","2"
"No","2007","35-65 y.","Male","3498","0.843574055420345","0.832627085933214","0.854521024907477","2"
"No","2007","35-65 y.","Female","4087","0.800017284113589","0.789083507287925","0.810951060939253","2"
"Yes","2007","35-65 y.","Male","732","0.156425944579655","0.145478975092523","0.167372914066786","1"
"Yes","2007","35-65 y.","Female","1054","0.199982715886411","0.189048939060747","0.210916492712075","1"
"Yes","2007","16-34 y.","Male","264","0.141674777685846","0.126181301095027","0.157168254276664","1"
"Yes","2007","16-34 y.","Female","343","0.15651341380551","0.141368437714216","0.171658389896804","1"
"Yes","2007","66 and older","Male","236","0.113933088669311","0.0990637555379907","0.128802421800632","1"
"Yes","2007","66 and older","Female","294","0.128573110749732","0.114384665957486","0.142761555541979","1"
"No","2008","16-34 y.","Male","1570","0.84176994318784","0.825179820590424","0.858360065785257","2"
"No","2008","16-34 y.","Female","1703","0.822317561505772","0.805838977580225","0.838796145431319","2"
"No","2008","66 and older","Male","1464","0.8478281954548","0.830975421391122","0.864680969518478","2"
"No","2008","66 and older","Female","1755","0.83584957696123","0.820007084457444","0.851692069465017","2"
"No","2008","35-65 y.","Male","3191","0.811681554412013","0.799499954415339","0.823863154408687","2"
"No","2008","35-65 y.","Female","3687","0.767377191581268","0.755474203441935","0.779280179720602","2"
"Yes","2008","35-65 y.","Male","766","0.188318445587987","0.176136845591314","0.200500045584661","1"
"Yes","2008","35-65 y.","Female","1153","0.232622808418732","0.220719820279398","0.244525796558065","1"
"Yes","2008","16-34 y.","Male","289","0.15823005681216","0.141639934214743","0.174820179409576","1"
"Yes","2008","16-34 y.","Female","364","0.177682438494228","0.161203854568681","0.194161022419775","1"
"Yes","2008","66 and older","Male","281","0.1521718045452","0.135319030481522","0.169024578608878","1"
"Yes","2008","66 and older","Female","345","0.16415042303877","0.148307930534983","0.179992915542556","1"
"No","2009","16-34 y.","Male","","","","","2"
"No","2009","16-34 y.","Female","","","","","2"
"No","2009","66 and older","Male","","","","","2"
"No","2009","66 and older","Female","","","","","2"
"No","2009","35-65 y.","Male","","","","","2"
"No","2009","35-65 y.","Female","","","","","2"
"Yes","2009","35-65 y.","Male","","","","","1"
"Yes","2009","35-65 y.","Female","","","","","1"
"Yes","2009","16-34 y.","Male","","","","","1"
"Yes","2009","16-34 y.","Female","","","","","1"
"Yes","2009","66 and older","Male","","","","","1"
"Yes","2009","66 and older","Female","","","","","1"
"No","2010","16-34 y.","Male","2097","0.813568489612999","0.798299099821382","0.828837879404615","2"
"No","2010","16-34 y.","Female","2948","0.828825336882289","0.81640868136839","0.841241992396188","2"
"No","2010","66 and older","Male","1315","0.840610400294961","0.8226748184907","0.858545982099221","2"
"No","2010","66 and older","Female","1584","0.821348024516798","0.804258225454787","0.838437823578808","2"
"No","2010","35-65 y.","Male","3867","0.796122406715074","0.784825851421153","0.807418962008995","2"
"No","2010","35-65 y.","Female","4732","0.751184681884638","0.740523519186095","0.761845844583182","2"
"Yes","2010","35-65 y.","Male","1019","0.203877593284926","0.192581037991005","0.215174148578847","1"
"Yes","2010","35-65 y.","Female","1585","0.248815318115362","0.238154155416818","0.259476480813905","1"
"Yes","2010","66 and older","Male","285","0.159389599705039","0.141454017900779","0.1773251815093","1"
"Yes","2010","16-34 y.","Male","402","0.186431510387002","0.171162120595385","0.201700900178618","1"
"Yes","2010","16-34 y.","Female","587","0.171174663117711","0.158758007603812","0.18359131863161","1"
"Yes","2010","66 and older","Female","346","0.178651975483202","0.161562176421192","0.195741774545213","1"
"No","2011","16-34 y.","Male","1520","0.828426824865252","0.811115684593835","0.845737965136668","2"
"No","2011","16-34 y.","Female","1670","0.815687867644058","0.798858087549812","0.832517647738303","2"
"No","2011","66 and older","Male","1630","0.815205142557948","0.7983417760048","0.832068509111096","2"
"No","2011","66 and older","Female","1948","0.804680190072356","0.788842390331139","0.820517989813572","2"
"No","2011","35-65 y.","Male","3225","0.783423186963869","0.770872802275292","0.795973571652446","2"
"No","2011","35-65 y.","Female","3880","0.743063193129591","0.731296372300892","0.754830013958291","2"
"Yes","2011","35-65 y.","Male","913","0.216576813036131","0.204026428347554","0.229127197724708","1"
"Yes","2011","35-65 y.","Female","1417","0.256936806870409","0.245169986041709","0.268703627699108","1"
"Yes","2011","66 and older","Male","405","0.184794857442052","0.167931490888904","0.2016582239952","1"
"Yes","2011","16-34 y.","Male","302","0.171573175134748","0.154262034863332","0.188884315406165","1"
"Yes","2011","66 and older","Female","459","0.195319809927644","0.179482010186428","0.211157609668861","1"
"Yes","2011","16-34 y.","Female","369","0.184312132355942","0.167482352261697","0.201141912450188","1"
"No","2012","16-34 y.","Male","2112","0.830594366580039","0.81591672848596","0.845272004674117","2"
"No","2012","16-34 y.","Female","2771","0.827066421351598","0.814221370345749","0.839911472357447","2"
"No","2012","35-65 y.","Male","4433","0.769078477099252","0.758222626657124","0.779934327541381","2"
"No","2012","35-65 y.","Female","5730","0.734133735707958","0.724373678970603","0.743893792445314","2"
"No","2012","66 and older","Male","1655","0.817774930702823","0.801161295371888","0.834388566033758","2"
"No","2012","66 and older","Female","1913","0.799991952315718","0.78398867192321","0.815995232708225","2"
"Yes","2012","35-65 y.","Male","1356","0.230921522900748","0.220065672458619","0.241777373342876","1"
"Yes","2012","35-65 y.","Female","2141","0.265866264292042","0.256106207554686","0.275626321029397","1"
"Yes","2012","16-34 y.","Male","397","0.169405633419961","0.154727995325883","0.18408327151404","1"
"Yes","2012","66 and older","Male","419","0.182225069297177","0.165611433966242","0.198838704628112","1"
"Yes","2012","66 and older","Female","487","0.200008047684282","0.184004767291775","0.21601132807679","1"
"Yes","2012","16-34 y.","Female","559","0.172933578648402","0.160088527642553","0.185778629654251","1"
"No","2013","16-34 y.","Male","1292","0.821827968625413","0.802814842942546","0.840841094308279","2"
"No","2013","16-34 y.","Female","1421","0.80038264581651","0.781834579275714","0.818930712357306","2"
"No","2013","35-65 y.","Male","2778","0.745497297378833","0.731522468153331","0.759472126604335","2"
"No","2013","35-65 y.","Female","3394","0.70204109937579","0.689185271053743","0.714896927697837","2"
"No","2013","66 and older","Male","1523","0.795614723193785","0.777707434953202","0.813522011434368","2"
"No","2013","66 and older","Female","1757","0.776285236768247","0.759175870866666","0.793394602669827","2"
"Yes","2013","35-65 y.","Male","954","0.254502702621167","0.240527873395665","0.268477531846669","1"
"Yes","2013","35-65 y.","Female","1468","0.29795890062421","0.285103072302163","0.310814728946257","1"
"Yes","2013","16-34 y.","Male","264","0.178172031374587","0.159158905691721","0.197185157057454","1"
"Yes","2013","16-34 y.","Female","363","0.19961735418349","0.181069287642694","0.218165420724286","1"
"Yes","2013","66 and older","Male","425","0.204385276806215","0.186477988565632","0.222292565046798","1"
"Yes","2013","66 and older","Female","522","0.223714763231753","0.206605397330173","0.240824129133334","1"
"No","2014","16-34 y.","Male","2378","0.839074569396208","0.82537052133057","0.852778617461845","2"
"No","2014","16-34 y.","Female","2812","0.807387662512474","0.794017768222212","0.820757556802735","2"
"No","2014","35-65 y.","Male","4441","0.752821334114023","0.741717820319613","0.763924847908434","2"
"No","2014","35-65 y.","Female","5572","0.709279870750655","0.699135299035159","0.719424442466151","2"
"No","2014","66 and older","Male","1531","0.7845538047661","0.766435576442607","0.802672033089592","2"
"No","2014","66 and older","Female","1720","0.767717899387425","0.750296179886826","0.785139618888023","2"
"Yes","2014","35-65 y.","Male","1357","0.247178665885977","0.236075152091566","0.258282179680387","1"
"Yes","2014","35-65 y.","Female","2125","0.290720129249345","0.280575557533849","0.300864700964841","1"
"Yes","2014","16-34 y.","Male","384","0.160925430603792","0.147221382538155","0.17462947866943","1"
"Yes","2014","16-34 y.","Female","530","0.192612337487527","0.179242443197265","0.205982231777788","1"
"Yes","2014","66 and older","Male","447","0.2154461952339","0.197327966910408","0.233564423557393","1"
"Yes","2014","66 and older","Female","537","0.232282100612575","0.214860381111977","0.249703820113174","1"
"No","2015","16-34 y.","Male","","","","","2"
"No","2015","16-34 y.","Female","","","","","2"
"No","2015","35-65 y.","Male","","","","","2"
"No","2015","35-65 y.","Female","","","","","2"
"No","2015","66 and older","Male","","","","","2"
"No","2015","66 and older","Female","","","","","2"
"Yes","2015","35-65 y.","Male","","","","","1"
"Yes","2015","35-65 y.","Female","","","","","1"
"Yes","2015","16-34 y.","Male","","","","","1"
"Yes","2015","16-34 y.","Female","","","","","1"
"Yes","2015","66 and older","Male","","","","","1"
"Yes","2015","66 and older","Female","","","","","1"
"No","2016","16-34 y.","Male","2116","0.876656426501432","0.863428837040604","0.889884015962259","2"
"No","2016","16-34 y.","Female","2435","0.853950076082048","0.840927234029323","0.866972918134773","2"
"No","2016","35-65 y.","Male","4084","0.759626509050158","0.748014529601289","0.771238488499026","2"
"No","2016","35-65 y.","Female","5169","0.726750021343288","0.716275490708529","0.737224551978048","2"
"No","2016","66 and older","Male","1478","0.822598181776431","0.805152972486186","0.840043391066676","2"
"No","2016","66 and older","Female","1697","0.792382497721709","0.775193833933198","0.80957116151022","2"
"Yes","2016","35-65 y.","Male","1118","0.240373490949842","0.228761511500974","0.251985470398711","1"
"Yes","2016","35-65 y.","Female","1784","0.273249978656712","0.262775448021952","0.283724509291471","1"
"Yes","2016","16-34 y.","Male","258","0.123343573498568","0.110115984037741","0.136571162959396","1"
"Yes","2016","16-34 y.","Female","390","0.146049923917952","0.133027081865227","0.159072765970677","1"
"Yes","2016","66 and older","Male","364","0.177401818223569","0.159956608933324","0.194847027513814","1"
"Yes","2016","66 and older","Female","442","0.207617502278291","0.19042883848978","0.224806166066802","1"
"No","2017","16-34 y.","Male","","","","","2"
"No","2017","16-34 y.","Female","","","","","2"
"No","2017","35-65 y.","Male","","","","","2"
"No","2017","35-65 y.","Female","","","","","2"
"No","2017","66 and older","Male","","","","","2"
"No","2017","66 and older","Female","","","","","2"
"Yes","2017","35-65 y.","Male","","","","","1"
"Yes","2017","35-65 y.","Female","","","","","1"
"Yes","2017","16-34 y.","Male","","","","","1"
"Yes","2017","16-34 y.","Female","","","","","1"
"Yes","2017","66 and older","Male","","","","","1"
"Yes","2017","66 and older","Female","","","","","1"
"No","2018","16-34 y.","Male","2296","0.855635393526574","0.842118190018749","0.8691525970344","2"
"No","2018","16-34 y.","Female","2526","0.831278222880157","0.817743188881614","0.8448132568787","2"
"No","2018","35-65 y.","Male","4256","0.751458987470334","0.740062449830631","0.762855525110037","2"
"No","2018","35-65 y.","Female","5465","0.735485632161025","0.725425261615293","0.745546002706756","2"
"No","2018","66 and older","Male","1542","0.801202723648286","0.783461793570468","0.818943653726105","2"
"No","2018","66 and older","Female","1743","0.784954651982862","0.767925245920239","0.801984058045484","2"
"Yes","2018","35-65 y.","Male","1268","0.248541012529666","0.237144474889963","0.259937550169369","1"
"Yes","2018","35-65 y.","Female","1919","0.264514367838975","0.254453997293244","0.274574738384707","1"
"Yes","2018","16-34 y.","Male","301","0.144364606473426","0.130847402965601","0.157881809981251","1"
"Yes","2018","66 and older","Male","402","0.198797276351714","0.181056346273895","0.216538206429532","1"
"Yes","2018","16-34 y.","Female","415","0.168721777119843","0.1551867431213","0.182256811118386","1"
"Yes","2018","66 and older","Female","493","0.215045348017138","0.198015941954515","0.232074754079761","1"
