"ple0098_v5","year","education","n","percent","lower_confidence","upper_confidence"
"No","2007","college entrance qualification","2680","0.734801796625826","0.720496507691973","0.74910708555968"
"No","2007","Other degree","959","0.956687137241215","0.944182600293565","0.969191674188864"
"No","2007","no degree/no degree yet","443","0.950372105421523","0.930800462367538","0.969943748475508"
"Yes","2008","lower secondary degree","877","0.139047781941127","0.130379990388711","0.147715573493542"
"Yes","2008","secondary school degree","1137","0.229247837332518","0.217717016674972","0.240778657990065"
"Yes","2008","college entrance qualification","1036","0.30156325308961","0.286358939475286","0.316767566703934"
"Yes","2008","Other degree","58","0.061607767254734","0.0459685467218853","0.0772469877875826"
"Yes","2008","no degree/no degree yet","41","0.0957651728388055","0.0690760645238731","0.122454281153738"
"No","2008","lower secondary degree","5244","0.860952218058873","0.852284426506458","0.869620009611289"
"No","2008","secondary school degree","3968","0.770752162667482","0.759221342009935","0.782282983325028"
"No","2008","college entrance qualification","2464","0.69843674691039","0.683232433296066","0.713641060524714"
"No","2008","Other degree","850","0.938392232745266","0.922753012212417","0.954031453278115"
"No","2008","no degree/no degree yet","426","0.904234827161194","0.877545718846262","0.930923935476127"
"Yes","2009","lower secondary degree","","","",""
"Yes","2009","secondary school degree","","","",""
"Yes","2009","college entrance qualification","","","",""
"Yes","2009","Other degree","","","",""
"Yes","2009","no degree/no degree yet","","","",""
"No","2009","lower secondary degree","","","",""
"No","2009","secondary school degree","","","",""
"No","2009","college entrance qualification","","","",""
"No","2009","Other degree","","","",""
"No","2009","no degree/no degree yet","","","",""
"Yes","2010","lower secondary degree","958","0.141433608791167","0.132977167168365","0.149890050413969"
"Yes","2010","secondary school degree","1529","0.242158849966013","0.231922517944979","0.252395181987047"
"Yes","2010","college entrance qualification","1495","0.32538148490191","0.312180819396219","0.338582150407601"
"Yes","2010","Other degree","121","0.0840846576266594","0.0700640805872741","0.0981052346660447"
"Yes","2010","no degree/no degree yet","65","0.0733451767738368","0.0538788838082834","0.0928114697393902"
"No","2010","lower secondary degree","5565","0.858566391208833","0.850109949586031","0.867022832831636"
"No","2010","secondary school degree","5199","0.757841150033987","0.747604818012953","0.768077482055021"
"No","2010","college entrance qualification","3344","0.67461851509809","0.661417849592399","0.687819180603781"
"No","2010","Other degree","1384","0.915915342373341","0.901894765333955","0.929935919412726"
"No","2010","no degree/no degree yet","624","0.926654823226163","0.90718853026061","0.946121116191716"
"Yes","2011","lower secondary degree","1006","0.157901550112267","0.148903623265721","0.166899476958812"
"Yes","2011","secondary school degree","1404","0.255422885802143","0.243861816017792","0.266983955586494"
"Yes","2011","college entrance qualification","1246","0.314867203942286","0.300310760567741","0.329423647316832"
"Yes","2011","Other degree","94","0.0835691373074209","0.0669874387820081","0.100150835832834"
"Yes","2011","no degree/no degree yet","55","0.0807380892185195","0.0565916815964332","0.104884496840606"
"No","2011","lower secondary degree","5303","0.842098449887733","0.833100523041188","0.851096376734279"
"No","2011","secondary school degree","4062","0.744577114197857","0.733016044413506","0.756138183982208"
"No","2011","college entrance qualification","2665","0.685132796057714","0.670576352683168","0.69968923943226"
"No","2011","Other degree","976","0.916430862692579","0.899849164167166","0.933012561217992"
"No","2011","no degree/no degree yet","434","0.91926191078148","0.895115503159394","0.943408318403567"
"Yes","2012","lower secondary degree","1259","0.166439628880515","0.158018302534408","0.174860955226622"
"Yes","2012","secondary school degree","1945","0.26437920160919","0.25447226590568","0.274286137312701"
"Yes","2012","college entrance qualification","1849","0.321378432585019","0.309191561018361","0.333565304151677"
"Yes","2012","Other degree","150","0.0822911239902109","0.0694524337617643","0.0951298142186576"
"Yes","2012","no degree/no degree yet","65","0.0697879602133942","0.0522090254593748","0.0873668949674137"
"No","2012","lower secondary degree","6256","0.833560371119485","0.825139044773378","0.841981697465592"
"No","2012","secondary school degree","5667","0.73562079839081","0.725713862687299","0.74552773409432"
"No","2012","college entrance qualification","3792","0.678621567414981","0.666434695848323","0.690808438981639"
"No","2012","Other degree","1610","0.917708876009789","0.904870185781342","0.930547566238236"
"No","2012","no degree/no degree yet","742","0.930212039786606","0.912633105032586","0.947790974540625"
"Yes","2013","lower secondary degree","1024","0.181614733772749","0.171451813606679","0.19177765393882"
"Yes","2013","secondary school degree","1436","0.289950834691184","0.277389119222227","0.30251255016014"
"Yes","2013","college entrance qualification","1294","0.337544274996913","0.322421583199452","0.352666966794374"
"Yes","2013","Other degree","99","0.0956075756797652","0.0770258875862165","0.114189263773314"
"Yes","2013","no degree/no degree yet","61","0.131892764753074","0.100021351845879","0.163764177660268"
"No","2013","lower secondary degree","4504","0.818385266227251","0.808222346061181","0.828548186393321"
"No","2013","secondary school degree","3576","0.710049165308816","0.69748744983986","0.722610880777773"
"No","2013","college entrance qualification","2462","0.662455725003087","0.647333033205626","0.677578416800548"
"No","2013","Other degree","863","0.904392424320235","0.885810736226686","0.922974112413783"
"No","2013","no degree/no degree yet","372","0.868107235246926","0.836235822339732","0.899978648154121"
"Yes","2014","lower secondary degree","1216","0.18297481780011","0.173614833378062","0.192334802222158"
"Yes","2014","secondary school degree","1878","0.291475120160879","0.280707911769721","0.302242328552038"
"Yes","2014","college entrance qualification","1829","0.335417470405389","0.322887275567168","0.347947665243609"
"Yes","2014","Other degree","252","0.0875727549153779","0.0777527116721976","0.0973927981585582"
"Yes","2014","no degree/no degree yet","77","0.0879810826633844","0.0698726551696189","0.10608951015715"
"No","2014","lower secondary degree","5339","0.81702518219989","0.807665197777842","0.826385166621938"
"No","2014","secondary school degree","4965","0.708524879839121","0.697757671447963","0.719292088230279"
"No","2014","college entrance qualification","3625","0.664582529594611","0.652052334756391","0.677112724432832"
"No","2014","Other degree","2931","0.912427245084622","0.902607201841442","0.922247288327802"
"No","2014","no degree/no degree yet","863","0.912018917336616","0.89391048984285","0.930127344830381"
"Yes","2015","lower secondary degree","","","",""
"Yes","2015","secondary school degree","","","",""
"Yes","2015","college entrance qualification","","","",""
"Yes","2015","Other degree","","","",""
"Yes","2015","no degree/no degree yet","","","",""
"No","2015","lower secondary degree","","","",""
"No","2015","secondary school degree","","","",""
"No","2015","college entrance qualification","","","",""
"No","2015","Other degree","","","",""
"No","2015","no degree/no degree yet","","","",""
"Yes","2016","lower secondary degree","909","0.164864772201191","0.155113193414215","0.174616350988167"
"Yes","2016","secondary school degree","1503","0.259019768553332","0.247935525408356","0.270104011698309"
"Yes","2016","college entrance qualification","1565","0.307745384116893","0.294986216218694","0.320504552015092"
"Yes","2016","Other degree","233","0.0866000618708907","0.0767706540061032","0.0964294697356782"
"Yes","2016","no degree/no degree yet","54","0.0715237814703442","0.0531906003469644","0.089856962593724"
"No","2016","lower secondary degree","4653","0.835135227798809","0.825383649011833","0.844886806585785"
"No","2016","secondary school degree","4498","0.740980231446668","0.729895988301691","0.752064474591644"
"No","2016","college entrance qualification","3462","0.692254615883107","0.679495447984908","0.705013783781306"
"No","2016","Other degree","2912","0.913399938129109","0.903570530264322","0.923229345993897"
"No","2016","no degree/no degree yet","705","0.928476218529656","0.910143037406276","0.946809399653036"
"Yes","2017","lower secondary degree","","","",""
"Yes","2017","secondary school degree","","","",""
"Yes","2017","college entrance qualification","","","",""
"Yes","2017","Other degree","","","",""
"Yes","2017","no degree/no degree yet","","","",""
"No","2017","lower secondary degree","","","",""
"No","2017","secondary school degree","","","",""
"No","2017","college entrance qualification","","","",""
"No","2017","Other degree","","","",""
"No","2017","no degree/no degree yet","","","",""
"Yes","2018","lower secondary degree","889","0.170607440512096","0.160608649852703","0.180606231171488"
"Yes","2018","secondary school degree","1716","0.269530198812231","0.258825339298223","0.280235058326238"
"Yes","2018","college entrance qualification","1759","0.307496259365174","0.295584403890191","0.319408114840158"
"Yes","2018","Other degree","221","0.0931526547401706","0.0824519377231221","0.103853371757219"
"Yes","2018","no degree/no degree yet","52","0.084354755830886","0.0653673085182559","0.103342203143516"
"No","2018","lower secondary degree","4548","0.829392559487904","0.819393768828512","0.839391350147296"
"No","2018","secondary school degree","4884","0.730469801187769","0.719764941673762","0.741174660701777"
"No","2018","college entrance qualification","4006","0.692503740634826","0.680591885159842","0.704415596109809"
"No","2018","Other degree","2613","0.906847345259829","0.896146628242781","0.917548062276878"
"No","2018","no degree/no degree yet","771","0.915645244169114","0.896657796856484","0.934632691481744"
