"ple0098_v5","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","1999","Single parent ","middle vocational","301","0.897391836269483","0.86465225383549","0.930131418703477","2"
"No","1999","Single parent ","vocational + Abi","10","","","","2"
"Yes","1999","1-pers.-HH","in school","1","","","","1"
"Yes","1999","1-pers.-HH","inadequately","","","","","1"
"Yes","1999","1-pers.-HH","general elemantary","13","","","","1"
"Yes","1999","1-pers.-HH","middle vocational","54","0.077318085548964","0.0587046560218503","0.0959315150760776","1"
"Yes","1999","1-pers.-HH","vocational + Abi","12","","","","1"
"Yes","1999","1-pers.-HH","higher vocational","7","","","","1"
"Yes","1999","1-pers.-HH","higher education","29","","","","1"
"Yes","1999","(Married) couple without C. ","in school","","","","","1"
"Yes","1999","(Married) couple without C. ","inadequately","","","","","1"
"Yes","1999","(Married) couple without C. ","general elemantary","38","0.065303895572898","0.0460116590767129","0.0845961320690831","1"
"Yes","1999","(Married) couple without C. ","middle vocational","200","0.115497906572001","0.101715678854284","0.129280134289718","1"
"Yes","1999","(Married) couple without C. ","vocational + Abi","22","","","","1"
"Yes","1999","(Married) couple without C. ","higher vocational","23","","","","1"
"Yes","1999","(Married) couple without C. ","higher education","61","0.176978079328988","0.143952165111707","0.210003993546268","1"
"Yes","1999","Single parent ","in school","3","","","","1"
"Yes","1999","Single parent ","inadequately","","","","","1"
"Yes","1999","Single parent ","general elemantary","6","","","","1"
"Yes","1999","Single parent ","middle vocational","29","","","","1"
"Yes","1999","Single parent ","vocational + Abi","1","","","","1"
"Yes","1999","Single parent ","higher vocational","1","","","","1"
"Yes","1999","Single parent ","higher education","10","","","","1"
"Yes","1999","Couple + C. LE 16 ","in school","","","","","1"
"Yes","1999","Couple + C. LE 16 ","inadequately","1","","","","1"
"Yes","1999","Couple + C. LE 16 ","general elemantary","15","","","","1"
"Yes","1999","Couple + C. LE 16 ","middle vocational","104","0.0887895140733748","0.0743031046351545","0.103275923511595","1"
"Yes","1999","Couple + C. LE 16 ","vocational + Abi","15","","","","1"
"Yes","1999","Couple + C. LE 16 ","higher vocational","27","","","","1"
"Yes","1999","Couple + C. LE 16 ","higher education","37","0.112028798475394","0.0808459276663109","0.143211669284477","1"
"Yes","1999","Couple + C. GT 16 ","in school","8","","","","1"
"Yes","1999","Couple + C. GT 16 ","inadequately","2","","","","1"
"Yes","1999","Couple + C. GT 16 ","general elemantary","13","","","","1"
"Yes","1999","Couple + C. GT 16 ","middle vocational","68","0.0668375923805493","0.0519293059992499","0.0817458787618487","1"
"Yes","1999","Couple + C. GT 16 ","vocational + Abi","4","","","","1"
"Yes","1999","Couple + C. GT 16 ","higher vocational","7","","","","1"
"Yes","1999","Couple + C. GT 16 ","higher education","24","","","","1"
"Yes","1999","Couple + C. LE and GT 16","in school","10","","","","1"
"Yes","1999","Couple + C. LE and GT 16","inadequately","1","","","","1"
"Yes","1999","Couple + C. LE and GT 16","general elemantary","10","","","","1"
"Yes","1999","Couple + C. LE and GT 16","middle vocational","31","0.0909420327947648","0.0638286106983574","0.118055454891172","1"
"Yes","1999","Couple + C. LE and GT 16","vocational + Abi","1","","","","1"
"Yes","1999","Couple + C. LE and GT 16","higher vocational","2","","","","1"
"Yes","1999","Couple + C. LE and GT 16","higher education","8","","","","1"
"No","2000","1-pers.-HH","inadequately","36","1","1","1","2"
"No","2000","1-pers.-HH","general elemantary","528","0.960955292530329","0.944722729195244","0.977187855865415","2"
"No","2000","(Married) couple without C. ","vocational + Abi","229","0.801265027124938","0.754271996914154","0.848258057335722","2"
"No","2000","(Married) couple without C. ","higher vocational","474","0.883345995595412","0.856246016461138","0.910445974729687","2"
"No","2000","1-pers.-HH","in school","3","","","","2"
"No","2000","1-pers.-HH","middle vocational","1488","0.909224173442122","0.895243011729683","0.92320533515456","2"
"No","2000","1-pers.-HH","vocational + Abi","152","0.88232100785306","0.834304804265727","0.930337211440394","2"
"No","2000","Couple + C. GT 16 ","in school","155","0.921021978142363","0.880238752424316","0.96180520386041","2"
"No","2000","Couple + C. GT 16 ","inadequately","98","1","1","1","2"
"No","2000","Couple + C. GT 16 ","general elemantary","651","0.957503222628131","0.942319391494289","0.972687053761973","2"
"No","2000","Couple + C. GT 16 ","middle vocational","1689","0.919885831478757","0.907437806617635","0.932333856339879","2"
"No","2000","Couple + C. GT 16 ","vocational + Abi","120","0.87509433681179","0.818694268905824","0.931494404717756","2"
"No","2000","1-pers.-HH","higher vocational","191","0.890135715003105","0.848237300930388","0.932034129075823","2"
"No","2000","(Married) couple without C. ","middle vocational","3535","0.897269129753279","0.887750319709691","0.906787939796866","2"
"No","2000","(Married) couple without C. ","higher education","769","0.801265231777039","0.775521451739619","0.82700901181446","2"
"No","2000","1-pers.-HH","higher education","314","0.818717481502503","0.779515670451407","0.8579192925536","2"
"No","2000","(Married) couple without C. ","in school","3","","","","2"
"No","2000","(Married) couple without C. ","inadequately","91","0.991690726029468","0.973141583316782","1.01023986874215","2"
"No","2000","(Married) couple without C. ","general elemantary","885","0.945614267093116","0.931023651900401","0.960204882285832","2"
"No","2000","Couple + C. GT 16 ","higher vocational","211","0.893434776277657","0.85372995224485","0.933139600310464","2"
"No","2000","Couple + C. GT 16 ","higher education","310","0.81659929924322","0.777220167796375","0.855978430690065","2"
"No","2000","Couple + C. LE and GT 16","in school","157","0.945565195663595","0.910842755412679","0.980287635914511","2"
"No","2000","Couple + C. LE and GT 16","inadequately","43","0.985409642866154","0.949980298314596","1.02083898741771","2"
"No","2000","Couple + C. LE and GT 16","general elemantary","403","0.977824823493133","0.963640390100741","0.992009256885526","2"
"No","2000","Couple + C. LE and GT 16","middle vocational","714","0.922187328003261","0.903241995996111","0.941132660010411","2"
"No","2000","Couple + C. LE and GT 16","vocational + Abi","45","0.875109203211997","0.784377440827933","0.965840965596061","2"
"No","2000","Couple + C. LE and GT 16","higher vocational","107","0.948642136088376","0.907945027888044","0.989339244288707","2"
"No","2000","Couple + C. LE and GT 16","higher education","156","0.910117798720592","0.867742309944139","0.952493287497046","2"
"No","2000","Single parent ","in school","54","0.96258570827498","0.913319500746407","1.01185191580355","2"
"No","2000","Single parent ","inadequately","25","","","","2"
"No","2000","Single parent ","general elemantary","236","0.968005140899246","0.945878072054732","0.99013220974376","2"
"No","2000","Single parent ","middle vocational","535","0.913106100793008","0.890182155709448","0.936030045876567","2"
"No","2000","Single parent ","vocational + Abi","43","0.860969024158356","0.76205708620845","0.959880962108262","2"
"No","2000","Single parent ","higher vocational","41","0.962377944503734","0.905504706650804","1.01925118235666","2"
"No","2000","Single parent ","higher education","95","0.842536558705808","0.775674474237194","0.909398643174422","2"
"No","2000","Couple + C. LE 16 ","in school","3","","","","2"
"No","2000","Couple + C. LE 16 ","inadequately","58","0.946227865291758","0.88962222866148","1.00283350192204","2"
"No","2000","Couple + C. LE 16 ","general elemantary","409","0.95541602726555","0.935701213154308","0.975130841376792","2"
"No","2000","Couple + C. LE 16 ","middle vocational","2394","0.909889270313631","0.898918711379813","0.920859829247449","2"
"No","2000","Couple + C. LE 16 ","vocational + Abi","284","0.914752369098955","0.88386533570234","0.94563940249557","2"
"No","2000","Couple + C. LE 16 ","higher vocational","410","0.893313564756082","0.865284300433689","0.921342829078474","2"
"No","2000","Couple + C. LE 16 ","higher education","630","0.837929020228187","0.811305503060945","0.86455253739543","2"
"Yes","2000","1-pers.-HH","in school","1","","","","1"
"Yes","2000","1-pers.-HH","inadequately","","","","","1"
"Yes","2000","1-pers.-HH","general elemantary","19","","","","1"
"Yes","2000","1-pers.-HH","middle vocational","134","0.0907758265578784","0.0767946648454395","0.104756988270317","1"
"Yes","2000","1-pers.-HH","vocational + Abi","21","","","","1"
"Yes","2000","1-pers.-HH","higher vocational","23","","","","1"
"Yes","2000","1-pers.-HH","higher education","57","0.181282518497497","0.1420807074464","0.220484329548593","1"
"Yes","2000","(Married) couple without C. ","in school","1","","","","1"
"Yes","2000","(Married) couple without C. ","inadequately","1","","","","1"
"Yes","2000","(Married) couple without C. ","general elemantary","43","0.0543857329068839","0.0397951177141685","0.0689763480995993","1"
"Yes","2000","(Married) couple without C. ","middle vocational","373","0.102730870246721","0.0932120602031334","0.112249680290309","1"
"Yes","2000","(Married) couple without C. ","vocational + Abi","48","0.198734972875062","0.151741942664278","0.245728003085846","1"
"Yes","2000","(Married) couple without C. ","higher vocational","65","0.116654004404588","0.0895540252703133","0.143753983538863","1"
"Yes","2000","(Married) couple without C. ","higher education","154","0.198734768222961","0.17299098818554","0.224478548260381","1"
"Yes","2000","Single parent ","in school","3","","","","1"
"Yes","2000","Single parent ","inadequately","1","","","","1"
"Yes","2000","Single parent ","general elemantary","7","","","","1"
"Yes","2000","Single parent ","middle vocational","45","0.0868938992069924","0.063969954123433","0.109817844290552","1"
"Yes","2000","Single parent ","vocational + Abi","4","","","","1"
"Yes","2000","Single parent ","higher vocational","2","","","","1"
"Yes","2000","Single parent ","higher education","19","","","","1"
"Yes","2000","Couple + C. LE 16 ","in school","","","","","1"
"Yes","2000","Couple + C. LE 16 ","inadequately","3","","","","1"
"Yes","2000","Couple + C. LE 16 ","general elemantary","12","","","","1"
"Yes","2000","Couple + C. LE 16 ","middle vocational","223","0.0901107296863693","0.0791401707525513","0.101081288620187","1"
"Yes","2000","Couple + C. LE 16 ","vocational + Abi","30","0.0852476309010445","0.0543605975044295","0.11613466429766","1"
"Yes","2000","Couple + C. LE 16 ","higher vocational","56","0.106686435243918","0.0786571709215255","0.134715699566311","1"
"Yes","2000","Couple + C. LE 16 ","higher education","106","0.162070979771812","0.13544746260457","0.188694496939054","1"
"Yes","2000","Couple + C. GT 16 ","in school","13","","","","1"
"Yes","2000","Couple + C. GT 16 ","inadequately","","","","","1"
"Yes","2000","Couple + C. GT 16 ","general elemantary","27","","","","1"
"Yes","2000","Couple + C. GT 16 ","middle vocational","138","0.080114168521243","0.0676661436601207","0.0925621933823654","1"
"Yes","2000","Couple + C. GT 16 ","vocational + Abi","12","","","","1"
"Yes","2000","Couple + C. GT 16 ","higher vocational","21","","","","1"
"Yes","2000","Couple + C. GT 16 ","higher education","61","0.18340070075678","0.144021569309935","0.222779832203625","1"
"Yes","2000","Couple + C. LE and GT 16","in school","7","","","","1"
"Yes","2000","Couple + C. LE and GT 16","inadequately","1","","","","1"
"Yes","2000","Couple + C. LE and GT 16","general elemantary","11","","","","1"
"Yes","2000","Couple + C. LE and GT 16","middle vocational","54","0.0778126719967395","0.0588673399895895","0.0967580040038894","1"
"Yes","2000","Couple + C. LE and GT 16","vocational + Abi","6","","","","1"
"Yes","2000","Couple + C. LE and GT 16","higher vocational","6","","","","1"
"Yes","2000","Couple + C. LE and GT 16","higher education","19","","","","1"
"No","2001","Couple + C. GT 16 ","inadequately","72","0.975006534961122","0.939196589530843","1.0108164803914","2"
"No","2001","Couple + C. GT 16 ","in school","174","0.898117708624838","0.855218686843019","0.941016730406658","2"
"No","2001","1-pers.-HH","inadequately","24","","","","2"
"No","2001","1-pers.-HH","general elemantary","448","0.979075747571273","0.965938669178427","0.99221282596412","2"
"No","2001","Couple + C. GT 16 ","general elemantary","557","0.944994465199073","0.926535085154755","0.963453845243392","2"
"No","2001","1-pers.-HH","vocational + Abi","130","0.8754304630802","0.82204706977657","0.928813856383831","2"
"No","2001","(Married) couple without C. ","vocational + Abi","238","0.816955846092859","0.771661259597286","0.862250432588433","2"
"No","2001","Couple + C. GT 16 ","middle vocational","1505","0.906313450131167","0.892295907600117","0.920330992662217","2"
"No","2001","Couple + C. GT 16 ","vocational + Abi","113","0.823397640844538","0.757593034496499","0.889202247192577","2"
"No","2001","Couple + C. GT 16 ","higher vocational","170","0.901999694161291","0.859156766806123","0.944842621516458","2"
"No","2001","Couple + C. LE and GT 16","middle vocational","675","0.948105308357073","0.93181242864677","0.964398188067377","2"
"No","2001","Couple + C. LE and GT 16","vocational + Abi","44","0.896971115610985","0.812709105250275","0.981233125971694","2"
"No","2001","Couple + C. LE and GT 16","higher vocational","91","0.934711066918611","0.885801532198736","0.983620601638485","2"
"No","2001","Couple + C. LE and GT 16","higher education","136","0.897610362408076","0.84972975377155","0.945490971044602","2"
"No","2001","1-pers.-HH","middle vocational","1363","0.904478015593557","0.889543288154065","0.91941274303305","2"
"No","2001","(Married) couple without C. ","higher vocational","437","0.890965553739247","0.863283651633832","0.918647455844663","2"
"No","2001","(Married) couple without C. ","higher education","771","0.823165921849674","0.798170340265326","0.848161503434022","2"
"No","2001","1-pers.-HH","in school","4","","","","2"
"No","2001","1-pers.-HH","higher vocational","164","0.83996621901481","0.788240542468435","0.891691895561186","2"
"No","2001","(Married) couple without C. ","middle vocational","3194","0.894244633959003","0.884088397749042","0.904400870168965","2"
"No","2001","Single parent ","higher vocational","43","0.989540146708407","0.959815182518487","1.01926511089833","2"
"No","2001","Single parent ","higher education","83","0.866301755572852","0.798921523455172","0.933681987690532","2"
"No","2001","Couple + C. LE 16 ","in school","","","","","2"
"No","2001","Couple + C. LE 16 ","inadequately","44","0.960892630342459","0.904873558396738","1.01691170228818","2"
"No","2001","Couple + C. LE 16 ","general elemantary","359","0.953071659015752","0.93178003127952","0.974363286751983","2"
"No","2001","Couple + C. LE 16 ","middle vocational","2140","0.895836799352821","0.883507233119516","0.908166365586125","2"
"No","2001","Couple + C. LE 16 ","vocational + Abi","262","0.873008651095084","0.835641110655933","0.910376191534235","2"
"No","2001","Couple + C. LE 16 ","higher vocational","371","0.872000019368476","0.840274664348964","0.903725374387989","2"
"No","2001","Couple + C. LE 16 ","higher education","556","0.810723099522326","0.780927705518642","0.840518493526011","2"
"No","2001","Couple + C. GT 16 ","higher education","295","0.823571837596653","0.783975247203041","0.863168427990265","2"
"No","2001","Couple + C. LE and GT 16","in school","167","0.959148643231849","0.929904563586008","0.98839272287769","2"
"No","2001","Couple + C. LE and GT 16","inadequately","32","0.975357118852797","0.922461623157659","1.02825261454793","2"
"No","2001","Couple + C. LE and GT 16","general elemantary","342","0.990711770555669","0.980604121125731","1.00081941998561","2"
"No","2001","1-pers.-HH","higher education","290","0.824893465112423","0.784495569646791","0.865291360578055","2"
"No","2001","(Married) couple without C. ","in school","5","","","","2"
"No","2001","(Married) couple without C. ","inadequately","76","1","1","1","2"
"No","2001","(Married) couple without C. ","general elemantary","784","0.967399869602374","0.955170100364996","0.979629638839751","2"
"No","2001","Single parent ","in school","57","0.960279352595386","0.910444974841129","1.01011373034964","2"
"No","2001","Single parent ","inadequately","22","","","","2"
"No","2001","Single parent ","general elemantary","221","0.974923415509644","0.954672260754574","0.995174570264714","2"
"No","2001","Single parent ","middle vocational","497","0.935258971972324","0.914309846717073","0.956208097227576","2"
"No","2001","Single parent ","vocational + Abi","36","0.917239194844395","0.831856127779381","1.00262226190941","2"
"Yes","2001","1-pers.-HH","in school","","","","","1"
"Yes","2001","1-pers.-HH","inadequately","","","","","1"
"Yes","2001","1-pers.-HH","general elemantary","8","","","","1"
"Yes","2001","1-pers.-HH","middle vocational","125","0.0955219844064426","0.0805872569669502","0.110456711845935","1"
"Yes","2001","1-pers.-HH","vocational + Abi","17","","","","1"
"Yes","2001","1-pers.-HH","higher vocational","29","","","","1"
"Yes","2001","1-pers.-HH","higher education","50","0.175106534887577","0.134708639421945","0.215504430353209","1"
"Yes","2001","(Married) couple without C. ","in school","1","","","","1"
"Yes","2001","(Married) couple without C. ","inadequately","","","","","1"
"Yes","2001","(Married) couple without C. ","general elemantary","26","","","","1"
"Yes","2001","(Married) couple without C. ","middle vocational","328","0.105755366040997","0.0955991298310352","0.115911602250958","1"
"Yes","2001","(Married) couple without C. ","vocational + Abi","42","0.183044153907141","0.137749567411567","0.228338740402714","1"
"Yes","2001","(Married) couple without C. ","higher vocational","50","0.109034446260753","0.0813525441553374","0.136716348366168","1"
"Yes","2001","(Married) couple without C. ","higher education","124","0.176834078150326","0.151838496565978","0.201829659734674","1"
"Yes","2001","Single parent ","in school","2","","","","1"
"Yes","2001","Single parent ","inadequately","","","","","1"
"Yes","2001","Single parent ","general elemantary","8","","","","1"
"Yes","2001","Single parent ","middle vocational","33","0.0647410280276757","0.043791902772424","0.0856901532829274","1"
"Yes","2001","Single parent ","vocational + Abi","4","","","","1"
"Yes","2001","Single parent ","higher vocational","2","","","","1"
"Yes","2001","Single parent ","higher education","15","","","","1"
"Yes","2001","Couple + C. LE 16 ","in school","","","","","1"
"Yes","2001","Couple + C. LE 16 ","inadequately","2","","","","1"
"Yes","2001","Couple + C. LE 16 ","general elemantary","20","","","","1"
"Yes","2001","Couple + C. LE 16 ","middle vocational","218","0.104163200647179","0.0918336344138746","0.116492766880484","1"
"Yes","2001","Couple + C. LE 16 ","vocational + Abi","43","0.126991348904916","0.0896238084657646","0.164358889344067","1"
"Yes","2001","Couple + C. LE 16 ","higher vocational","55","0.127999980631524","0.0962746256120111","0.159725335651036","1"
"Yes","2001","Couple + C. LE 16 ","higher education","108","0.189276900477674","0.159481506473989","0.219072294481358","1"
"Yes","2001","Couple + C. GT 16 ","in school","17","","","","1"
"Yes","2001","Couple + C. GT 16 ","inadequately","1","","","","1"
"Yes","2001","Couple + C. GT 16 ","general elemantary","29","","","","1"
"Yes","2001","Couple + C. GT 16 ","middle vocational","155","0.093686549868833","0.0796690073377832","0.107704092399883","1"
"Yes","2001","Couple + C. GT 16 ","vocational + Abi","16","","","","1"
"Yes","2001","Couple + C. GT 16 ","higher vocational","15","","","","1"
"Yes","2001","Couple + C. GT 16 ","higher education","61","0.176428162403347","0.136831572009735","0.216024752796959","1"
"Yes","2001","Couple + C. LE and GT 16","in school","9","","","","1"
"Yes","2001","Couple + C. LE and GT 16","inadequately","1","","","","1"
"Yes","2001","Couple + C. LE and GT 16","general elemantary","4","","","","1"
"Yes","2001","Couple + C. LE and GT 16","middle vocational","37","0.0518946916429266","0.035601811932623","0.0681875713532302","1"
"Yes","2001","Couple + C. LE and GT 16","vocational + Abi","6","","","","1"
"Yes","2001","Couple + C. LE and GT 16","higher vocational","7","","","","1"
"Yes","2001","Couple + C. LE and GT 16","higher education","18","","","","1"
"No","2002","Couple + C. GT 16 ","in school","184","0.905739681391033","0.866220804569586","0.94525855821248","2"
"No","2002","Couple + C. GT 16 ","general elemantary","530","0.962040384982408","0.946113051375709","0.977967718589107","2"
"No","2002","Couple + C. GT 16 ","vocational + Abi","125","0.89873467982738","0.848762281458565","0.948707078196194","2"
"No","2002","Couple + C. GT 16 ","inadequately","63","0.97352101101932","0.934185801478166","1.01285622056047","2"
"No","2002","Couple + C. GT 16 ","middle vocational","1535","0.907183359892134","0.893517574176081","0.920849145608186","2"
"No","2002","(Married) couple without C. ","vocational + Abi","241","0.827253681646924","0.784476593552545","0.870030769741304","2"
"No","2002","(Married) couple without C. ","higher vocational","434","0.86547119966226","0.835710965307192","0.895231434017328","2"
"No","2002","(Married) couple without C. ","higher education","829","0.815200034100207","0.791576669612851","0.838823398587562","2"
"No","2002","1-pers.-HH","inadequately","23","","","","2"
"No","2002","1-pers.-HH","general elemantary","427","0.96634864031639","0.949479845366558","0.983217435266222","2"
"No","2002","(Married) couple without C. ","middle vocational","3135","0.883823534805984","0.873293058419399","0.894354011192569","2"
"No","2002","Couple + C. GT 16 ","higher vocational","169","0.922291326728231","0.884522086731819","0.960060566724643","2"
"No","2002","Couple + C. LE and GT 16","middle vocational","654","0.913950799386418","0.89346670957101","0.934434889201827","2"
"No","2002","Couple + C. LE and GT 16","vocational + Abi","50","0.956311892482066","0.902777180317039","1.00984660464709","2"
"No","2002","Couple + C. LE and GT 16","higher vocational","94","0.865808891878688","0.801523972476007","0.930093811281369","2"
"No","2002","Couple + C. LE and GT 16","higher education","159","0.896714762890298","0.853095976996667","0.940333548783929","2"
"No","2002","1-pers.-HH","middle vocational","1329","0.891360031571694","0.875446792525273","0.907273270618114","2"
"No","2002","1-pers.-HH","vocational + Abi","150","0.873766059786989","0.823244156666124","0.924287962907854","2"
"No","2002","1-pers.-HH","in school","3","","","","2"
"No","2002","1-pers.-HH","higher vocational","174","0.894902614303691","0.851523435967196","0.938281792640186","2"
"No","2002","1-pers.-HH","higher education","299","0.844323918643834","0.806395911459925","0.882251925827743","2"
"No","2002","(Married) couple without C. ","in school","6","","","","2"
"No","2002","(Married) couple without C. ","inadequately","78","0.99529506589651","0.9802051352591","1.01038499653392","2"
"No","2002","(Married) couple without C. ","general elemantary","740","0.966209577734658","0.953447093840224","0.978972061629091","2"
"No","2002","Single parent ","in school","52","1","1","1","2"
"No","2002","Single parent ","inadequately","20","","","","2"
"No","2002","Single parent ","general elemantary","226","0.956492705258529","0.930299297630495","0.982686112886563","2"
"No","2002","Single parent ","middle vocational","484","0.920402751620033","0.897249796982986","0.943555706257081","2"
"No","2002","Single parent ","vocational + Abi","38","0.927469609867229","0.849030384406715","1.00590883532774","2"
"No","2002","Single parent ","higher vocational","47","0.921071970643408","0.847073044738168","0.995070896548648","2"
"No","2002","Single parent ","higher education","67","0.867421298196845","0.794900868326295","0.939941728067394","2"
"No","2002","Couple + C. LE 16 ","in school","","","","","2"
"No","2002","Couple + C. LE 16 ","inadequately","42","1","1","1","2"
"No","2002","Couple + C. LE 16 ","general elemantary","315","0.981859154082878","0.96739384962994","0.996324458535816","2"
"No","2002","Couple + C. LE 16 ","middle vocational","1914","0.88528883494072","0.871862273558327","0.898715396323113","2"
"No","2002","Couple + C. LE 16 ","vocational + Abi","263","0.877994675711774","0.84190858116428","0.914080770259268","2"
"No","2002","Couple + C. LE 16 ","higher vocational","343","0.828333086976717","0.791562275699818","0.865103898253616","2"
"No","2002","Couple + C. LE 16 ","higher education","586","0.802347261639867","0.773279401371765","0.83141512190797","2"
"No","2002","Couple + C. GT 16 ","higher education","346","0.781155614055856","0.742610135626554","0.819701092485159","2"
"No","2002","Couple + C. LE and GT 16","in school","195","0.963613529800515","0.938105064724636","0.989121994876394","2"
"No","2002","Couple + C. LE and GT 16","inadequately","21","","","","2"
"No","2002","Couple + C. LE and GT 16","general elemantary","297","0.951232188285165","0.927371342964252","0.975093033606078","2"
"Yes","2002","1-pers.-HH","in school","","","","","1"
"Yes","2002","1-pers.-HH","inadequately","","","","","1"
"Yes","2002","1-pers.-HH","general elemantary","12","","","","1"
"Yes","2002","1-pers.-HH","middle vocational","140","0.108639968428307","0.0927267293818861","0.124553207474727","1"
"Yes","2002","1-pers.-HH","vocational + Abi","16","","","","1"
"Yes","2002","1-pers.-HH","higher vocational","18","","","","1"
"Yes","2002","1-pers.-HH","higher education","52","0.155676081356166","0.117748074172257","0.193604088540075","1"
"Yes","2002","(Married) couple without C. ","in school","","","","","1"
"Yes","2002","(Married) couple without C. ","inadequately","1","","","","1"
"Yes","2002","(Married) couple without C. ","general elemantary","30","0.0337904222653421","0.0210279383709086","0.0465529061597756","1"
"Yes","2002","(Married) couple without C. ","middle vocational","422","0.116176465194016","0.105645988807431","0.126706941580601","1"
"Yes","2002","(Married) couple without C. ","vocational + Abi","59","0.172746318353076","0.129969230258696","0.215523406447455","1"
"Yes","2002","(Married) couple without C. ","higher vocational","71","0.13452880033774","0.104768565982672","0.164289034692808","1"
"Yes","2002","(Married) couple without C. ","higher education","208","0.184799965899793","0.161176601412438","0.208423330387149","1"
"Yes","2002","Single parent ","in school","","","","","1"
"Yes","2002","Single parent ","inadequately","","","","","1"
"Yes","2002","Single parent ","general elemantary","7","","","","1"
"Yes","2002","Single parent ","middle vocational","41","0.0795972483799666","0.0564442937429195","0.102750203017014","1"
"Yes","2002","Single parent ","vocational + Abi","4","","","","1"
"Yes","2002","Single parent ","higher vocational","4","","","","1"
"Yes","2002","Single parent ","higher education","17","","","","1"
"Yes","2002","Couple + C. LE 16 ","in school","","","","","1"
"Yes","2002","Couple + C. LE 16 ","inadequately","","","","","1"
"Yes","2002","Couple + C. LE 16 ","general elemantary","12","","","","1"
"Yes","2002","Couple + C. LE 16 ","middle vocational","250","0.11471116505928","0.101284603676887","0.128137726441673","1"
