"ple0098_v5","year","bula_h","n","percent","lower_confidence","upper_confidence"
"No","1999","Saxony-Anhalt","636","0.94594937543021","0.928789288648915","0.963109462211504"
"No","1999","Thuringia","673","0.975940023742548","0.964522965790545","0.98735708169455"
"Yes","2000","Schleswig-Holstein","47","0.0765276455006626","0.0550950150471328","0.0979602759541925"
"Yes","2000","Hamburg","19","","",""
"Yes","2000","Lower Saxony","168","0.0981202992997752","0.0843930486843191","0.111847549915231"
"Yes","2000","Bremen","10","","",""
"Yes","2000","North Rhine-Westphalia","589","0.138967889039392","0.128866813993879","0.149068964084906"
"Yes","2000","Hesse","122","0.0932061122388984","0.0783947937049563","0.10801743077284"
"Yes","2000","Rhineland-Palatinate,Saarland","81","0.0674210753583368","0.0536896961128968","0.0811524546037768"
"Yes","2000","Baden-Württemberg","265","0.115984037649262","0.103678316203551","0.128289759094974"
"Yes","2000","Bavaria","334","0.118143345316483","0.106365148354423","0.129921542278543"
"Yes","2000","Berlin","50","0.0627476772699212","0.0450216776520496","0.0804736768877928"
"Yes","2000","Brandenburg","44","0.0406952172964473","0.0282419059888757","0.0531485286040189"
"Yes","2000","Mecklenburg-Western Pomerania","12","","",""
"Yes","2000","Saxony","66","0.0463822623669587","0.0363015069275137","0.0564630178064036"
"Yes","2000","Saxony-Anhalt","29","","",""
"Yes","2000","Thuringia","44","0.045501094726359","0.0326102945975341","0.0583918948551839"
"No","2000","Schleswig-Holstein","544","0.923472354499337","0.902039724045808","0.944904984952867"
"No","2000","Hamburg","238","0.941695318423924","0.913047704910143","0.970342931937705"
"No","2000","Lower Saxony","1636","0.901879700700225","0.888152450084769","0.915606951315681"
"No","2000","Bremen","165","0.93762964232435","0.901800711514815","0.973458573133885"
"No","2000","North Rhine-Westphalia","3916","0.861032110960607","0.850931035915094","0.871133186006121"
"No","2000","Hesse","1358","0.906793887761102","0.891982569227159","0.921605206295044"
"No","2000","Rhineland-Palatinate,Saarland","1200","0.932578924641663","0.918847545396223","0.946310303887103"
"No","2000","Baden-Württemberg","2336","0.884015962350738","0.871710240905026","0.896321683796449"
"No","2000","Bavaria","2551","0.881856654683517","0.870078457721457","0.893634851645577"
"No","2000","Berlin","669","0.937252322730079","0.919526323112207","0.95497832234795"
"No","2000","Brandenburg","923","0.959304782703553","0.946851471395981","0.971758094011124"
"No","2000","Mecklenburg-Western Pomerania","512","0.970414816677562","0.955907125932358","0.984922507422766"
"No","2000","Saxony","1606","0.953617737633041","0.943536982193596","0.963698493072486"
"No","2000","Saxony-Anhalt","988","0.964570891951912","0.953209414786378","0.975932369117446"
"No","2000","Thuringia","960","0.954498905273641","0.941608105144816","0.967389705402466"
"Yes","2001","Schleswig-Holstein","46","0.0886102526139717","0.0649249148661241","0.112295590361819"
"Yes","2001","Hamburg","18","","",""
"Yes","2001","Lower Saxony","154","0.100684998697494","0.0861304139927775","0.11523958340221"
"Yes","2001","Bremen","11","","",""
"Yes","2001","North Rhine-Westphalia","506","0.135440821746475","0.124890254287264","0.145991389205687"
"Yes","2001","Hesse","105","0.0856261961201149","0.0703805383668622","0.100871853873368"
"Yes","2001","Rhineland-Palatinate,Saarland","75","0.065803842296755","0.0515969258945283","0.0800107586989817"
"Yes","2001","Baden-Württemberg","262","0.136594256284536","0.122562453653921","0.150626058915151"
"Yes","2001","Bavaria","293","0.116380904626672","0.10412970661803","0.128632102635313"
"Yes","2001","Berlin","59","0.0760235719927926","0.0563475960216013","0.0956995479639838"
"Yes","2001","Brandenburg","44","0.0512304143820929","0.0368982935535546","0.0655625352106313"
"Yes","2001","Mecklenburg-Western Pomerania","13","","",""
"Yes","2001","Saxony","77","0.0458612129318843","0.0354473756914477","0.0562750501723209"
"Yes","2001","Saxony-Anhalt","36","0.0367982150466587","0.024901349020656","0.0486950810726614"
"Yes","2001","Thuringia","28","","",""
"No","2001","Schleswig-Holstein","507","0.911389747386028","0.887704409638181","0.935075085133876"
"No","2001","Hamburg","208","0.948025272492025","0.919085178355493","0.976965366628557"
"No","2001","Lower Saxony","1488","0.899315001302506","0.88476041659779","0.913869586007222"
"No","2001","Bremen","136","0.916883441096185","0.872257204280914","0.961509677911456"
"No","2001","North Rhine-Westphalia","3535","0.864559178253525","0.854008610794313","0.875109745712736"
"No","2001","Hesse","1189","0.914373803879885","0.899128146126632","0.929619461633138"
"No","2001","Rhineland-Palatinate,Saarland","1095","0.934196157703245","0.919989241301018","0.948403074105472"
"No","2001","Baden-Württemberg","2039","0.863405743715464","0.849373941084849","0.877437546346079"
"No","2001","Bavaria","2339","0.883619095373328","0.871367897364687","0.89587029338197"
"No","2001","Berlin","638","0.923976428007207","0.904300452036016","0.943652403978399"
"No","2001","Brandenburg","865","0.948769585617907","0.934437464789369","0.963101706446445"
"No","2001","Mecklenburg-Western Pomerania","462","0.972605014854173","0.957925724085626","0.98728430562272"
"No","2001","Saxony","1473","0.954138787068116","0.943724949827679","0.964552624308552"
"No","2001","Saxony-Anhalt","926","0.963201784953341","0.951304918927339","0.975098650979344"
"No","2001","Thuringia","887","0.975008389429613","0.964894019291119","0.985122759568106"
"Yes","2002","Schleswig-Holstein","63","0.0896321577544676","0.0666603460150463","0.112603969493889"
"Yes","2002","Hamburg","27","","",""
"Yes","2002","Lower Saxony","197","0.0995262865097444","0.085198273092905","0.113854299926584"
"Yes","2002","Bremen","12","","",""
"Yes","2002","North Rhine-Westphalia","590","0.131628022000377","0.121213126495705","0.142042917505048"
"Yes","2002","Hesse","152","0.0964714456130561","0.0806932519195979","0.112249639306514"
"Yes","2002","Rhineland-Palatinate,Saarland","111","0.0725808025888467","0.05765052025853","0.0875110849191634"
"Yes","2002","Baden-Württemberg","340","0.146484188885458","0.132281533350731","0.160686844420184"
"Yes","2002","Bavaria","413","0.151412319603092","0.137746726759284","0.1650779124469"
"Yes","2002","Berlin","49","0.0591585688271671","0.0414003137235326","0.0769168239308017"
"Yes","2002","Brandenburg","55","0.0636813940570524","0.0478768660307324","0.0794859220833723"
"Yes","2002","Mecklenburg-Western Pomerania","21","","",""
"Yes","2002","Saxony","84","0.0478950111370197","0.0372157786094832","0.0585742436645563"
"Yes","2002","Saxony-Anhalt","46","0.0432463313546995","0.0300519994034814","0.0564406633059175"
"Yes","2002","Thuringia","36","0.0258771967058046","0.0155159911259498","0.0362384022856594"
"No","2002","Schleswig-Holstein","531","0.910367842245532","0.887396030506111","0.933339653984954"
"No","2002","Hamburg","239","0.942321938785673","0.914305543861785","0.97033833370956"
"No","2002","Lower Saxony","1480","0.900473713490256","0.886145700073416","0.914801726907095"
"No","2002","Bremen","142","0.943574017054991","0.907130919476076","0.980017114633905"
"No","2002","North Rhine-Westphalia","3458","0.868371977999623","0.857957082494952","0.878786873504295"
"No","2002","Hesse","1193","0.903528554386944","0.887750360693486","0.919306748080402"
"No","2002","Rhineland-Palatinate,Saarland","1049","0.927419197411153","0.912488915080837","0.94234947974147"
"No","2002","Baden-Württemberg","2041","0.853515811114542","0.839313155579816","0.867718466649269"
"No","2002","Bavaria","2230","0.848587680396908","0.8349220875531","0.862253273240716"
"No","2002","Berlin","629","0.940841431172833","0.923083176069198","0.958599686276468"
"No","2002","Brandenburg","862","0.936318605942948","0.920514077916628","0.952123133969268"
"No","2002","Mecklenburg-Western Pomerania","445","0.963720497691541","0.946743482349462","0.980697513033619"
"No","2002","Saxony","1452","0.95210498886298","0.941425756335444","0.962784221390517"
"No","2002","Saxony-Anhalt","867","0.956753668645301","0.943559336694082","0.969948000596519"
"No","2002","Thuringia","866","0.974122803294195","0.963761597714341","0.98448400887405"
"Yes","2003","Schleswig-Holstein","52","0.0849088067100226","0.0617807284528075","0.108036884967238"
"Yes","2003","Hamburg","25","","",""
"Yes","2003","Lower Saxony","189","0.109940748212237","0.0947314136962071","0.125150082728267"
"Yes","2003","Bremen","12","","",""
"Yes","2003","North Rhine-Westphalia","599","0.140596286042185","0.129655973576254","0.151536598508115"
"Yes","2003","Hesse","142","0.087648957833795","0.0718327168980349","0.103465198769555"
"Yes","2003","Rhineland-Palatinate,Saarland","113","0.0924542042916116","0.0756393436407791","0.109269064942444"
"Yes","2003","Baden-Württemberg","315","0.137044226012748","0.122934619197846","0.15115383282765"
"Yes","2003","Bavaria","391","0.145313659643604","0.131602983144028","0.159024336143181"
"Yes","2003","Berlin","54","0.0731929337778548","0.0536025722971342","0.0927832952585754"
"Yes","2003","Brandenburg","54","0.0486107014206607","0.0345137758576104","0.0627076269837109"
"Yes","2003","Mecklenburg-Western Pomerania","24","","",""
"Yes","2003","Saxony","84","0.0501379090238017","0.0390794228089997","0.0611963952386037"
"Yes","2003","Saxony-Anhalt","52","0.0557708930176698","0.0406177532837098","0.0709240327516298"
"Yes","2003","Thuringia","40","0.0317835913115607","0.0202064455427197","0.0433607370804017"
"No","2003","Schleswig-Holstein","506","0.915091193289977","0.891963115032762","0.938219271547192"
"No","2003","Hamburg","220","0.925923628261412","0.893129772401044","0.958717484121779"
"No","2003","Lower Saxony","1436","0.890059251787763","0.874849917271733","0.905268586303793"
"No","2003","Bremen","139","0.944023829360061","0.907358745022183","0.980688913697938"
"No","2003","North Rhine-Westphalia","3279","0.859403713957815","0.848463401491885","0.870344026423746"
"No","2003","Hesse","1086","0.912351042166205","0.896534801230445","0.928167283101965"
"No","2003","Rhineland-Palatinate,Saarland","1027","0.907545795708388","0.890730935057556","0.924360656359221"
"No","2003","Baden-Württemberg","1967","0.862955773987252","0.84884616717235","0.877065380802154"
"No","2003","Bavaria","2147","0.854686340356396","0.840975663856819","0.868397016855972"
"No","2003","Berlin","625","0.926807066222145","0.907216704741425","0.946397427702866"
"No","2003","Brandenburg","840","0.951389298579339","0.937292373016289","0.96548622414239"
"No","2003","Mecklenburg-Western Pomerania","452","0.948699112418664","0.928880588673506","0.968517636163823"
"No","2003","Saxony","1412","0.949862090976198","0.938803604761396","0.960920577191"
"No","2003","Saxony-Anhalt","829","0.94422910698233","0.92907596724837","0.95938224671629"
"No","2003","Thuringia","842","0.968216408688439","0.956639262919598","0.97979355445728"
"Yes","2004","Schleswig-Holstein","49","0.0738379660875","0.0520423637776771","0.0956335683973228"
"Yes","2004","Hamburg","30","0.0740169440798152","0.0410326265067913","0.107001261652839"
"Yes","2004","Lower Saxony","206","0.110240072066872","0.0949084715256797","0.125571672608064"
"Yes","2004","Bremen","17","","",""
"Yes","2004","North Rhine-Westphalia","626","0.147924125760296","0.136577804805439","0.159270446715152"
"Yes","2004","Hesse","131","0.0902776922386348","0.0738566844644519","0.106698700012818"
"Yes","2004","Rhineland-Palatinate,Saarland","114","0.0998725769516137","0.0821540802173181","0.117591073685909"
"Yes","2004","Baden-Württemberg","335","0.149218496621609","0.134403675449968","0.16403331779325"
"Yes","2004","Bavaria","391","0.159946064304738","0.145475682384599","0.174416446224877"
"Yes","2004","Berlin","54","0.0699010174052113","0.0505650371955268","0.0892369976148958"
"Yes","2004","Brandenburg","62","0.0710595707057639","0.0538179217908754","0.0883012196206524"
"Yes","2004","Mecklenburg-Western Pomerania","23","","",""
"Yes","2004","Saxony","111","0.0627979520112087","0.0503368411918805","0.075259062830537"
"Yes","2004","Saxony-Anhalt","46","0.0391111344279979","0.0261847220474986","0.0520375468084971"
"Yes","2004","Thuringia","52","0.0413210336898748","0.0281183214625147","0.0545237459172348"
"No","2004","Schleswig-Holstein","504","0.9261620339125","0.904366431602677","0.947957636222323"
"No","2004","Hamburg","212","0.925983055920185","0.892998738347161","0.958967373493209"
"No","2004","Lower Saxony","1397","0.889759927933128","0.874428327391936","0.90509152847432"
"No","2004","Bremen","131","0.909736999509286","0.863570170547956","0.955903828470616"
"No","2004","North Rhine-Westphalia","3135","0.852075874239704","0.840729553284848","0.863422195194561"
"No","2004","Hesse","1039","0.909722307761365","0.893301299987182","0.926143315535548"
"No","2004","Rhineland-Palatinate,Saarland","986","0.900127423048386","0.882408926314091","0.917845919782682"
"No","2004","Baden-Württemberg","1887","0.850781503378391","0.83596668220675","0.865596324550032"
"No","2004","Bavaria","2074","0.840053935695262","0.825583553775123","0.854524317615401"
"No","2004","Berlin","614","0.930098982594789","0.910763002385104","0.949434962804473"
"No","2004","Brandenburg","791","0.928940429294236","0.911698780379348","0.946182078209125"
"No","2004","Mecklenburg-Western Pomerania","442","0.940765189842392","0.919309092309865","0.962221287374919"
"No","2004","Saxony","1345","0.937202047988791","0.924740937169463","0.949663158808119"
"No","2004","Saxony-Anhalt","818","0.960888865572002","0.947962453191503","0.973815277952501"
"No","2004","Thuringia","821","0.958678966310125","0.945476254082765","0.971881678537485"
"Yes","2005","Schleswig-Holstein","43","0.0562672820396635","0.0366674068871366","0.0758671571921905"
"Yes","2005","Hamburg","32","0.129522491246422","0.0876478609149167","0.171397121577928"
"Yes","2005","Lower Saxony","214","0.123328471732338","0.106836267719944","0.139820675744731"
"Yes","2005","Bremen","17","","",""
"Yes","2005","North Rhine-Westphalia","615","0.162443370371627","0.150367396167226","0.174519344576027"
"Yes","2005","Hesse","156","0.131361123259741","0.111516010682364","0.151206235837118"
"Yes","2005","Rhineland-Palatinate,Saarland","129","0.121654954308472","0.101768979164658","0.141540929452287"
"Yes","2005","Baden-Württemberg","337","0.157611696752626","0.142141111180834","0.173082282324417"
"Yes","2005","Bavaria","399","0.164680711773153","0.149640314963014","0.179721108583292"
"Yes","2005","Berlin","50","0.0703624112004008","0.0504070034594093","0.0903178189413922"
"Yes","2005","Brandenburg","71","0.0975423280654694","0.0773089663107018","0.117775689820237"
"Yes","2005","Mecklenburg-Western Pomerania","17","","",""
"Yes","2005","Saxony","129","0.0733541409723481","0.0596629337024418","0.0870453482422544"
"Yes","2005","Saxony-Anhalt","56","0.0491502579845991","0.0344784405921118","0.0638220753770863"
"Yes","2005","Thuringia","62","0.0522805467132059","0.0371006776596043","0.0674604157668076"
"No","2005","Schleswig-Holstein","488","0.943732717960336","0.924132842807809","0.963332593112863"
"No","2005","Hamburg","215","0.870477508753578","0.828602878422072","0.912352139085083"
"No","2005","Lower Saxony","1313","0.876671528267662","0.860179324255269","0.893163732280056"
"No","2005","Bremen","113","0.870589055616322","0.812890024605587","0.928288086627057"
"No","2005","North Rhine-Westphalia","2969","0.837556629628373","0.825480655423973","0.849632603832774"
"No","2005","Hesse","957","0.868638876740259","0.848793764162882","0.888483989317636"
"No","2005","Rhineland-Palatinate,Saarland","909","0.878345045691528","0.858459070547713","0.898231020835342"
"No","2005","Baden-Württemberg","1794","0.842388303247374","0.826917717675583","0.857858888819165"
"No","2005","Bavaria","1937","0.835319288226847","0.820278891416709","0.850359685036986"
"No","2005","Berlin","581","0.929637588799599","0.909682181058608","0.949592996540591"
"No","2005","Brandenburg","755","0.902457671934531","0.882224310179763","0.922691033689298"
"No","2005","Mecklenburg-Western Pomerania","435","0.973427779854647","0.958601074313063","0.988254485396231"
"No","2005","Saxony","1264","0.926645859027652","0.912954651757746","0.940337066297558"
"No","2005","Saxony-Anhalt","778","0.950849742015401","0.936177924622914","0.965521559407888"
"No","2005","Thuringia","764","0.947719453286794","0.932539584233192","0.962899322340396"
"Yes","2006","Schleswig-Holstein","76","0.109734279565017","0.0839846574844993","0.135483901645536"
"Yes","2006","Hamburg","41","0.168236158992436","0.122678867157445","0.213793450827426"
"Yes","2006","Lower Saxony","265","0.140047355052902","0.123408072755516","0.156686637350288"
"Yes","2006","Bremen","18","","",""
"Yes","2006","North Rhine-Westphalia","715","0.171503432715062","0.15942913343832","0.183577731991803"
"Yes","2006","Hesse","207","0.141449200957881","0.121691000558289","0.161207401357472"
"Yes","2006","Rhineland-Palatinate,Saarland","133","0.115921990793167","0.0967850696046001","0.135058911981735"
"Yes","2006","Baden-Württemberg","420","0.167674467314","0.152370456248601","0.1829784783794"
"Yes","2006","Bavaria","525","0.198403153087202","0.182915489608653","0.21389081656575"
"Yes","2006","Berlin","71","0.105142284544557","0.0815069557211658","0.128777613367948"
"Yes","2006","Brandenburg","95","0.124002046471097","0.102238678308478","0.145765414633717"
"Yes","2006","Mecklenburg-Western Pomerania","31","0.0532586516623278","0.0333766178889225","0.0731406854357332"
"Yes","2006","Saxony","143","0.0863497783739086","0.0719716716986882","0.100727885049129"
"Yes","2006","Saxony-Anhalt","61","0.0609437395604311","0.0448802960815064","0.0770071830393557"
"Yes","2006","Thuringia","75","0.0574640388560695","0.0420437999393802","0.0728842777727588"
"No","2006","Schleswig-Holstein","490","0.890265720434982","0.864516098354464","0.916015342515501"
"No","2006","Hamburg","218","0.831763841007564","0.786206549172574","0.877321132842555"
"No","2006","Lower Saxony","1406","0.859952644947098","0.843313362649712","0.876591927244484"
"No","2006","Bremen","110","0.916105298691792","0.868078562939668","0.964132034443917"
"No","2006","North Rhine-Westphalia","3029","0.828496567284938","0.816422268008197","0.84057086656168"
"No","2006","Hesse","988","0.858550799042119","0.838792598642528","0.878308999441711"
"No","2006","Rhineland-Palatinate,Saarland","942","0.884078009206833","0.864941088018265","0.9032149303954"
"No","2006","Baden-Württemberg","1869","0.832325532686","0.8170215216206","0.8476295437514"
"No","2006","Bavaria","2022","0.801596846912798","0.78610918343425","0.817084510391347"
"No","2006","Berlin","576","0.894857715455443","0.871222386632052","0.918493044278834"
"No","2006","Brandenburg","786","0.875997953528903","0.854234585366283","0.897761321691522"
"No","2006","Mecklenburg-Western Pomerania","459","0.946741348337672","0.926859314564267","0.966623382111077"
"No","2006","Saxony","1323","0.913650221626091","0.899272114950871","0.928028328301312"
"No","2006","Saxony-Anhalt","791","0.939056260439569","0.922992816960644","0.955119703918494"
"No","2006","Thuringia","800","0.94253596114393","0.927115722227241","0.95795620006062"
"Yes","2007","Schleswig-Holstein","75","0.140142359601714","0.110334745201592","0.169949974001836"
"Yes","2007","Hamburg","46","0.185086618937701","0.136653453960831","0.23351978391457"
"Yes","2007","Lower Saxony","269","0.16458630729528","0.146090551259008","0.183082063331551"
"Yes","2007","Bremen","22","","",""
"Yes","2007","North Rhine-Westphalia","707","0.183894619818436","0.170982628401363","0.196806611235509"
"Yes","2007","Hesse","216","0.156162947647313","0.134893738480275","0.17743215681435"
"Yes","2007","Rhineland-Palatinate,Saarland","139","0.138007209138773","0.116390908733785","0.15962350954376"
"Yes","2007","Baden-Württemberg","417","0.190286038186584","0.173465630150593","0.207106446222575"
"Yes","2007","Bavaria","508","0.204971660471361","0.188858241467346","0.221085079475375"
"Yes","2007","Berlin","87","0.10983739422959","0.0852838691438776","0.134390919315303"
"Yes","2007","Brandenburg","97","0.119977013566116","0.0974182671620122","0.142535759970221"
"Yes","2007","Mecklenburg-Western Pomerania","37","0.0579455715530491","0.0365480498661858","0.0793430932399124"
"Yes","2007","Saxony","161","0.101734283904633","0.0858423492977659","0.117626218511499"
"Yes","2007","Saxony-Anhalt","65","0.0668958663404838","0.04965829718332","0.0841334354976476"
"Yes","2007","Thuringia","77","0.0697903965795051","0.0526109970833224","0.0869697960756878"
"No","2007","Schleswig-Holstein","446","0.859857640398286","0.830050025998164","0.889665254798408"
"No","2007","Hamburg","201","0.814913381062299","0.76648021608543","0.863346546039169"
"No","2007","Lower Saxony","1275","0.83541369270472","0.816917936668448","0.853909448740992"
"No","2007","Bremen","108","0.877423908703008","0.82104923629657","0.933798581109445"
"No","2007","North Rhine-Westphalia","2751","0.816105380181564","0.803193388764491","0.829017371598637"
"No","2007","Hesse","903","0.843837052352687","0.82256784318565","0.865106261519725"
"No","2007","Rhineland-Palatinate,Saarland","839","0.861992790861227","0.84037649045624","0.883609091266215"
"No","2007","Baden-Württemberg","1675","0.809713961813416","0.792893553777425","0.826534369849407"
"No","2007","Bavaria","1903","0.795028339528639","0.778914920524625","0.811141758532654"
"No","2007","Berlin","536","0.89016260577041","0.865609080684697","0.914716130856122"
"No","2007","Brandenburg","700","0.880022986433884","0.857464240029779","0.902581732837988"
"No","2007","Mecklenburg-Western Pomerania","421","0.942054428446951","0.920656906760088","0.963451950133814"
"No","2007","Saxony","1229","0.898265716095368","0.882373781488501","0.914157650702234"
"No","2007","Saxony-Anhalt","742","0.933104133659516","0.915866564502352","0.95034170281668"
"No","2007","Thuringia","768","0.930209603420495","0.913030203924312","0.947389002916678"
"Yes","2008","Schleswig-Holstein","87","0.171246568219367","0.137614917788759","0.204878218649975"
"Yes","2008","Hamburg","62","0.302510256940163","0.243781186778523","0.361239327101802"
"Yes","2008","Lower Saxony","310","0.191682995417235","0.171656092531237","0.211709898303232"
"Yes","2008","Bremen","26","","",""
"Yes","2008","North Rhine-Westphalia","716","0.200818551601745","0.187056055570213","0.214581047633278"
"Yes","2008","Hesse","222","0.171468902605878","0.148874215613225","0.194063589598531"
"Yes","2008","Rhineland-Palatinate,Saarland","136","0.135582877775882","0.113376546904927","0.157789208646837"
"Yes","2008","Baden-Württemberg","479","0.240057552989675","0.221385240744092","0.258729865235258"
"Yes","2008","Bavaria","541","0.244122444698594","0.226443507786745","0.261801381610444"
"Yes","2008","Berlin","111","0.15466374351449","0.125707402218821","0.18362008481016"
"Yes","2008","Brandenburg","97","0.129679598921556","0.105857675567079","0.153501522276033"
"Yes","2008","Mecklenburg-Western Pomerania","46","0.0957362990190895","0.0683991039586829","0.123073494079496"
"Yes","2008","Saxony","193","0.12609435154848","0.108280810218944","0.143907892878016"
"Yes","2008","Saxony-Anhalt","85","0.0937726297458655","0.0731691034516549","0.114376156040076"
"Yes","2008","Thuringia","87","0.0939816097035261","0.0740091703546561","0.113954049052396"
"No","2008","Schleswig-Holstein","395","0.828753431780633","0.795121781350025","0.862385082211241"
"No","2008","Hamburg","173","0.697489743059837","0.638760672898198","0.756218813221477"
"No","2008","Lower Saxony","1174","0.808317004582765","0.788290101696767","0.828343907468763"
"No","2008","Bremen","95","0.835135564812858","0.769020963284193","0.901250166341523"
"No","2008","North Rhine-Westphalia","2539","0.799181448398254","0.785418952366722","0.812943944429787"
"No","2008","Hesse","847","0.828531097394122","0.805936410401469","0.851125784386775"
"No","2008","Rhineland-Palatinate,Saarland","777","0.864417122224118","0.842210791353163","0.886623453095073"
"No","2008","Baden-Württemberg","1531","0.759942447010325","0.741270134764742","0.778614759255908"
"No","2008","Bavaria","1727","0.755877555301406","0.738198618389556","0.773556492213255"
"No","2008","Berlin","488","0.84533625648551","0.81637991518984","0.874292597781179"
"No","2008","Brandenburg","667","0.870320401078444","0.846498477723967","0.894142324432921"
"No","2008","Mecklenburg-Western Pomerania","399","0.90426370098091","0.876926505920504","0.931600896041317"
"No","2008","Saxony","1141","0.87390564845152","0.856092107121985","0.891719189781056"
"No","2008","Saxony-Anhalt","684","0.906227370254134","0.885623843959924","0.926830896548345"
"No","2008","Thuringia","733","0.906018390296474","0.886045950947604","0.925990829645344"
"Yes","2009","Schleswig-Holstein","","","",""
"Yes","2009","Hamburg","","","",""
"Yes","2009","Lower Saxony","","","",""
"Yes","2009","Bremen","","","",""
"Yes","2009","North Rhine-Westphalia","","","",""
"Yes","2009","Hesse","","","",""
"Yes","2009","Rhineland-Palatinate,Saarland","","","",""
"Yes","2009","Baden-Württemberg","","","",""
"Yes","2009","Bavaria","","","",""
"Yes","2009","Berlin","","","",""
"Yes","2009","Brandenburg","","","",""
"Yes","2009","Mecklenburg-Western Pomerania","","","",""
"Yes","2009","Saxony","","","",""
"Yes","2009","Saxony-Anhalt","","","",""
"Yes","2009","Thuringia","","","",""
"No","2009","Schleswig-Holstein","","","",""
"No","2009","Hamburg","","","",""
"No","2009","Lower Saxony","","","",""
"No","2009","Bremen","","","",""
"No","2009","North Rhine-Westphalia","","","",""
"No","2009","Hesse","","","",""
"No","2009","Rhineland-Palatinate,Saarland","","","",""
"No","2009","Baden-Württemberg","","","",""
"No","2009","Bavaria","","","",""
"No","2009","Berlin","","","",""
"No","2009","Brandenburg","","","",""
"No","2009","Mecklenburg-Western Pomerania","","","",""
"No","2009","Saxony","","","",""
"No","2009","Saxony-Anhalt","","","",""
"No","2009","Thuringia","","","",""
"Yes","2010","Schleswig-Holstein","141","0.227545211255643","0.195114911569405","0.25997551094188"
"Yes","2010","Hamburg","82","0.296810699800365","0.246833550745625","0.346787848855105"
"Yes","2010","Lower Saxony","394","0.182659282598576","0.165258028657965","0.200060536539187"
"Yes","2010","Bremen","28","","",""
"Yes","2010","North Rhine-Westphalia","899","0.207055371559151","0.194863334987289","0.219247408131013"
"Yes","2010","Hesse","312","0.197407508175514","0.176406607186198","0.218408409164831"
"Yes","2010","Rhineland-Palatinate,Saarland","209","0.154184954030167","0.132969163937039","0.175400744123295"
"Yes","2010","Baden-Württemberg","631","0.258524477372675","0.241240691667255","0.275808263078096"
"Yes","2010","Bavaria","778","0.2602651771594","0.244703383997364","0.275826970321436"
"Yes","2010","Berlin","137","0.159999295315921","0.13438634630148","0.185612244330362"
"Yes","2010","Brandenburg","118","0.13733785639299","0.114570304483172","0.160105408302807"
"Yes","2010","Mecklenburg-Western Pomerania","57","0.100511779867482","0.0751042072783269","0.125919352456638"
"Yes","2010","Saxony","229","0.133715803098951","0.116821254288476","0.150610351909426"
"Yes","2010","Saxony-Anhalt","108","0.127308705426417","0.104979638186612","0.149637772666223"
"Yes","2010","Thuringia","101","0.0988805462522703","0.0792364120538148","0.118524680450726"
"No","2010","Schleswig-Holstein","501","0.772454788744357","0.74002448905812","0.804885088430595"
"No","2010","Hamburg","239","0.703189300199635","0.653212151144895","0.753166449254375"
"No","2010","Lower Saxony","1500","0.817340717401424","0.799939463460813","0.834741971342035"
"No","2010","Bremen","122","0.813902993352187","0.751621577318078","0.876184409386297"
"No","2010","North Rhine-Westphalia","3344","0.792944628440849","0.780752591868987","0.805136665012711"
