"ple0098_v5","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence"
"No","2000","middle vocational","Urban Area","6596","0.895535621430225","0.888530761291931","0.902540481568519"
"No","2000","middle vocational","Rural Area","4154","0.929940592550026","0.922423392924138","0.937457792175915"
"No","2000","vocational + Abi","Urban Area","685","0.870261027988764","0.84671027982485","0.893811776152679"
"No","2000","vocational + Abi","Rural Area","210","0.856576609151163","0.811763274869783","0.901389943432544"
"No","2000","higher vocational","Urban Area","906","0.873376071089273","0.853155246860507","0.89359689531804"
"No","2000","higher vocational","Rural Area","571","0.939853322905313","0.921047178543361","0.958659467267265"
"No","2000","higher education","Urban Area","1508","0.79378402990769","0.775382477389872","0.812185582425509"
"No","2000","higher education","Rural Area","837","0.903765700962794","0.884604608519414","0.922926793406173"
"Yes","2001","in school","Urban Area","23","","",""
"Yes","2001","in school","Rural Area","7","","",""
"Yes","2001","inadequately","Urban Area","3","","",""
"Yes","2001","inadequately","Rural Area","1","","",""
"Yes","2001","general elemantary","Urban Area","69","0.0341401109046596","0.0262736624935683","0.042006559315751"
"Yes","2001","general elemantary","Rural Area","29","","",""
"Yes","2001","middle vocational","Urban Area","648","0.108288344026932","0.100799992131464","0.115776695922399"
"Yes","2001","middle vocational","Rural Area","274","0.0730546187187076","0.065014360130105","0.0810948773073102"
"Yes","2001","vocational + Abi","Urban Area","100","0.14235476916504","0.117414435047547","0.167295103282532"
"Yes","2001","vocational + Abi","Rural Area","29","","",""
"Yes","2001","higher vocational","Urban Area","119","0.13661010770807","0.114596704799921","0.158623510616219"
"Yes","2001","higher vocational","Rural Area","41","0.0751386706622101","0.0528216733915038","0.0974556679329164"
"Yes","2001","higher education","Urban Area","307","0.197771553106422","0.178925500881594","0.21661760533125"
"Yes","2001","higher education","Rural Area","76","0.110292596534505","0.0893198908251731","0.131265302243837"
"No","2001","in school","Urban Area","257","0.916148553926113","0.88368415966915","0.948612948183075"
"No","2001","in school","Rural Area","164","0.964402956405484","0.936632292171208","0.992173620639759"
"No","2001","inadequately","Urban Area","240","0.985602233030359","0.970624593860113","1.0005798722006"
"No","2001","inadequately","Rural Area","63","0.993808980514893","0.974591756712922","1.01302620431686"
"No","2001","general elemantary","Urban Area","1978","0.96585988909534","0.957993440684249","0.973726337506432"
"No","2001","general elemantary","Rural Area","935","0.975120539006798","0.965288146441502","0.984952931572094"
"No","2001","middle vocational","Urban Area","5967","0.891711655973068","0.884223304077601","0.899200007868536"
"No","2001","middle vocational","Rural Area","3750","0.926945381281292","0.91890512269269","0.934985639869895"
"No","2001","vocational + Abi","Urban Area","654","0.85764523083496","0.832704896717468","0.882585564952453"
"No","2001","vocational + Abi","Rural Area","191","0.851517829202552","0.804531580014882","0.898504078390221"
"No","2001","higher vocational","Urban Area","816","0.86338989229193","0.841376489383781","0.885403295200079"
"No","2001","higher vocational","Rural Area","495","0.92486132933779","0.902544332067084","0.947178326608496"
"No","2001","higher education","Urban Area","1409","0.802228446893578","0.78338239466875","0.821074499118406"
"No","2001","higher education","Rural Area","781","0.889707403465495","0.868734697756163","0.910680109174827"
"Yes","2002","in school","Urban Area","34","0.061549595962497","0.0358134237771575","0.0872857681478365"
"Yes","2002","in school","Rural Area","6","","",""
"Yes","2002","inadequately","Urban Area","2","","",""
"Yes","2002","inadequately","Rural Area","","","",""
"Yes","2002","general elemantary","Urban Area","72","0.0377830887702309","0.029209621137555","0.0463565564029068"
"Yes","2002","general elemantary","Rural Area","33","0.032042596649202","0.0206064194246967","0.0434787738737073"
"Yes","2002","middle vocational","Urban Area","820","0.119689124896107","0.111875195894333","0.127503053897881"
"Yes","2002","middle vocational","Rural Area","329","0.0830690044515251","0.0743917062498006","0.0917463026532495"
"Yes","2002","vocational + Abi","Urban Area","124","0.130793307521531","0.107384827087937","0.154201787955125"
"Yes","2002","vocational + Abi","Rural Area","31","0.125721418469025","0.0842074162208127","0.167235420717238"
"Yes","2002","higher vocational","Urban Area","138","0.154424049232594","0.131433530825545","0.177414567639642"
"Yes","2002","higher vocational","Rural Area","58","0.0824959884239791","0.0592700051196888","0.105721971728269"
"Yes","2002","higher education","Urban Area","436","0.202583816346636","0.184826372874445","0.220341259818828"
"Yes","2002","higher education","Rural Area","108","0.111806781319598","0.0914437712285362","0.13216979141066"
"No","2002","in school","Urban Area","301","0.938450404037503","0.912714231852163","0.964186576222843"
"No","2002","in school","Rural Area","152","0.961816266740857","0.931934601218488","0.991697932263226"
"No","2002","inadequately","Urban Area","214","0.992093933283713","0.980283173139798","1.00390469342763"
"No","2002","inadequately","Rural Area","62","1","1","1"
"No","2002","general elemantary","Urban Area","1828","0.962216911229769","0.953643443597093","0.970790378862445"
"No","2002","general elemantary","Rural Area","878","0.967957403350798","0.956521226126293","0.979393580575303"
"No","2002","middle vocational","Urban Area","5809","0.880310875103893","0.872496946102119","0.888124804105667"
"No","2002","middle vocational","Rural Area","3557","0.916930995548475","0.90825369734675","0.925608293750199"
"No","2002","vocational + Abi","Urban Area","673","0.869206692478469","0.845798212044875","0.892615172912063"
"No","2002","vocational + Abi","Rural Area","214","0.874278581530975","0.832764579282762","0.915792583779187"
"No","2002","higher vocational","Urban Area","811","0.845575950767406","0.822585432360358","0.868566469174455"
"No","2002","higher vocational","Rural Area","481","0.917504011576021","0.894278028271731","0.940729994880311"
"No","2002","higher education","Urban Area","1532","0.797416183653364","0.779658740181172","0.815173627125555"
"No","2002","higher education","Rural Area","812","0.888193218680402","0.86783020858934","0.908556228771464"
"Yes","2003","in school","Urban Area","32","0.0818708706817537","0.0523794538914581","0.111362287472049"
"Yes","2003","in school","Rural Area","10","","",""
"Yes","2003","inadequately","Urban Area","2","","",""
"Yes","2003","inadequately","Rural Area","1","","",""
"Yes","2003","general elemantary","Urban Area","69","0.0375945290221339","0.028819453685569","0.0463696043586988"
"Yes","2003","general elemantary","Rural Area","33","0.0339650271119958","0.0218937715447383","0.0460362826792532"
"Yes","2003","middle vocational","Urban Area","782","0.115916042722588","0.108064551274568","0.123767534170609"
"Yes","2003","middle vocational","Rural Area","321","0.0876834889474262","0.0785553064696901","0.0968116714251623"
"Yes","2003","vocational + Abi","Urban Area","125","0.131390597468113","0.107788253693584","0.154992941242642"
"Yes","2003","vocational + Abi","Rural Area","43","0.202938705879497","0.151949594437222","0.253927817321773"
"Yes","2003","higher vocational","Urban Area","131","0.153535724208297","0.13008727072386","0.176984177692734"
"Yes","2003","higher vocational","Rural Area","50","0.0726141272685156","0.0505213173932906","0.0947069371437406"
"Yes","2003","higher education","Urban Area","431","0.219622351640953","0.200953277014956","0.238291426266949"
"Yes","2003","higher education","Rural Area","105","0.118041794794271","0.0968556886597694","0.139227900928773"
"No","2003","in school","Urban Area","300","0.918129129318246","0.888637712527951","0.947620546108542"
"No","2003","in school","Rural Area","152","0.955619104012932","0.923906563995347","0.987331644030518"
"No","2003","inadequately","Urban Area","198","0.987380791180299","0.971910749146482","1.00285083321411"
"No","2003","inadequately","Rural Area","59","0.996080719330713","0.980271045305449","1.01189039335598"
"No","2003","general elemantary","Urban Area","1736","0.962405470977866","0.953630395641301","0.971180546314431"
"No","2003","general elemantary","Rural Area","832","0.966034972888004","0.953963717320747","0.978106228455262"
"No","2003","middle vocational","Urban Area","5604","0.884083957277412","0.876232465829392","0.891935448725433"
"No","2003","middle vocational","Rural Area","3367","0.912316511052574","0.903188328574838","0.92144469353031"
"No","2003","vocational + Abi","Urban Area","662","0.868609402531887","0.845007058757358","0.892211746306416"
"No","2003","vocational + Abi","Rural Area","196","0.797061294120503","0.746072182678227","0.848050405562778"
"No","2003","higher vocational","Urban Area","777","0.846464275791703","0.823015822307266","0.86991272927614"
"No","2003","higher vocational","Rural Area","480","0.927385872731484","0.905293062856259","0.949478682606709"
"No","2003","higher education","Urban Area","1458","0.780377648359047","0.761708573733051","0.799046722985044"
"No","2003","higher education","Rural Area","786","0.881958205205729","0.860772099071227","0.903144311340231"
"Yes","2004","in school","Urban Area","30","0.0843439418470357","0.0545403922727329","0.114147491421338"
"Yes","2004","in school","Rural Area","16","","",""
"Yes","2004","inadequately","Urban Area","","","",""
"Yes","2004","inadequately","Rural Area","","","",""
"Yes","2004","general elemantary","Urban Area","79","0.0475503029018206","0.0374041265487119","0.0576964792549293"
"Yes","2004","general elemantary","Rural Area","38","0.0437456437745683","0.0297466995179606","0.0577445880311759"
"Yes","2004","middle vocational","Urban Area","804","0.12404031776701","0.115831398504257","0.132249237029763"
"Yes","2004","middle vocational","Rural Area","314","0.0855629412058029","0.0764205876801838","0.094705294731422"
"Yes","2004","vocational + Abi","Urban Area","143","0.151129561346606","0.126009656504213","0.176249466188998"
"Yes","2004","vocational + Abi","Rural Area","37","0.144783428254699","0.100631399933253","0.188935456576145"
"Yes","2004","higher vocational","Urban Area","148","0.173366938322038","0.148425816649175","0.198308059994901"
"Yes","2004","higher vocational","Rural Area","61","0.101123657605662","0.0751101089909862","0.127137206220337"
"Yes","2004","higher education","Urban Area","439","0.219536362843804","0.200643524793558","0.238429200894049"
"Yes","2004","higher education","Rural Area","126","0.157073978422411","0.133141456769048","0.181006500075774"
"No","2004","in school","Urban Area","304","0.915656058152964","0.885852508578661","0.945459607727267"
"No","2004","in school","Rural Area","146","0.9193734777629","0.877448240130304","0.961298715395495"
"No","2004","inadequately","Urban Area","190","1","1","1"
"No","2004","inadequately","Rural Area","59","1","1","1"
"No","2004","general elemantary","Urban Area","1611","0.95244969709818","0.942303520745071","0.962595873451288"
"No","2004","general elemantary","Rural Area","782","0.956254356225432","0.942255411968824","0.970253300482039"
"No","2004","middle vocational","Urban Area","5390","0.87595968223299","0.867750762970237","0.884168601495743"
"No","2004","middle vocational","Rural Area","3282","0.914437058794197","0.905294705268578","0.923579412319816"
"No","2004","vocational + Abi","Urban Area","638","0.848870438653394","0.823750533811002","0.873990343495787"
"No","2004","vocational + Abi","Rural Area","207","0.855216571745301","0.811064543423855","0.899368600066747"
"No","2004","higher vocational","Urban Area","737","0.826633061677962","0.801691940005099","0.851574183350825"
"No","2004","higher vocational","Rural Area","455","0.898876342394338","0.872862793779663","0.924889891009014"
"No","2004","higher education","Urban Area","1405","0.780463637156196","0.761570799105951","0.799356475206442"
"No","2004","higher education","Rural Area","762","0.842926021577589","0.818993499924226","0.866858543230952"
"Yes","2005","in school","Urban Area","26","","",""
"Yes","2005","in school","Rural Area","12","","",""
"Yes","2005","inadequately","Urban Area","1","","",""
"Yes","2005","inadequately","Rural Area","","","",""
"Yes","2005","general elemantary","Urban Area","73","0.0524023016056991","0.0414423150406286","0.0633622881707697"
"Yes","2005","general elemantary","Rural Area","31","0.041079262032687","0.0267792993810066","0.0553792246843674"
"Yes","2005","middle vocational","Urban Area","838","0.142146118123309","0.133203852424732","0.151088383821885"
"Yes","2005","middle vocational","Rural Area","359","0.101173217501208","0.0910547588120902","0.111291676190326"
"Yes","2005","vocational + Abi","Urban Area","158","0.179625520025199","0.152440866861405","0.206810173188993"
"Yes","2005","vocational + Abi","Rural Area","48","0.174617913177965","0.126786597775973","0.222449228579957"
"Yes","2005","higher vocational","Urban Area","152","0.198518905576944","0.171365869092292","0.225671942061596"
"Yes","2005","higher vocational","Rural Area","52","0.0852696728961608","0.0603370246838517","0.11020232110847"
"Yes","2005","higher education","Urban Area","415","0.212678537773082","0.193758938632751","0.231598136913412"
"Yes","2005","higher education","Rural Area","143","0.175652866587845","0.150338275570553","0.200967457605137"
"No","2005","in school","Urban Area","308","0.912984096345758","0.88275634916743","0.943211843524087"
"No","2005","in school","Rural Area","162","0.926437358034505","0.88764821760214","0.965226498466871"
"No","2005","inadequately","Urban Area","179","0.988678169754015","0.973222151199286","1.00413418830874"
"No","2005","inadequately","Rural Area","56","1","1","1"
"No","2005","general elemantary","Urban Area","1515","0.947597698394301","0.93663771182923","0.958557684959371"
"No","2005","general elemantary","Rural Area","709","0.958920737967313","0.944620775315633","0.973220700618993"
"No","2005","middle vocational","Urban Area","5020","0.857853881876691","0.848911616178115","0.866796147575267"
"No","2005","middle vocational","Rural Area","3053","0.898826782498792","0.888708323809673","0.90894524118791"
"No","2005","vocational + Abi","Urban Area","608","0.820374479974801","0.793189826811007","0.847559133138595"
"No","2005","vocational + Abi","Rural Area","194","0.825382086822035","0.777550771420043","0.873213402224027"
"No","2005","higher vocational","Urban Area","677","0.801481094423056","0.774328057938404","0.828634130907708"
"No","2005","higher vocational","Rural Area","430","0.914730327103839","0.88979767889153","0.939662975316148"
"No","2005","higher education","Urban Area","1382","0.787321462226918","0.768401863086588","0.806241061367249"
"No","2005","higher education","Rural Area","725","0.824347133412155","0.799032542394863","0.849661724429447"
"Yes","2006","in school","Urban Area","16","","",""
"Yes","2006","in school","Rural Area","7","","",""
"Yes","2006","inadequately","Urban Area","3","","",""
"Yes","2006","inadequately","Rural Area","1","","",""
"Yes","2006","general elemantary","Urban Area","85","0.0498012476936417","0.0391222308345762","0.0604802645527071"
"Yes","2006","general elemantary","Rural Area","41","0.0498306480836386","0.034799265540264","0.0648620306270132"
"Yes","2006","middle vocational","Urban Area","1042","0.149141107932359","0.140349584682007","0.157932631182712"
"Yes","2006","middle vocational","Rural Area","448","0.121051050618356","0.110584548306083","0.131517552930629"
"Yes","2006","vocational + Abi","Urban Area","210","0.237107918924196","0.207962116133107","0.266253721715286"
"Yes","2006","vocational + Abi","Rural Area","59","0.197967744819902","0.150786874829391","0.245148614810413"
"Yes","2006","higher vocational","Urban Area","158","0.179139517160122","0.153570054950867","0.204708979369378"
"Yes","2006","higher vocational","Rural Area","78","0.143016267645893","0.113211264968317","0.172821270323468"
"Yes","2006","higher education","Urban Area","544","0.258766367216259","0.239605909585462","0.277926824847057"
"Yes","2006","higher education","Rural Area","161","0.180162826250755","0.155462481603297","0.204863170898214"
"No","2006","in school","Urban Area","172","0.857325761387379","0.807332106820686","0.907319415954072"
"No","2006","in school","Rural Area","91","0.945415665018192","0.90043970295281","0.990391627083575"
"No","2006","inadequately","Urban Area","171","0.968042695981515","0.941908701789452","0.994176690173578"
"No","2006","inadequately","Rural Area","62","0.967091614700483","0.923039687597057","1.01114354180391"
"No","2006","general elemantary","Urban Area","1509","0.950198752306358","0.939519735447293","0.960877769165424"
"No","2006","general elemantary","Rural Area","764","0.950169351916361","0.935137969372987","0.965200734459736"
"No","2006","middle vocational","Urban Area","5265","0.850858892067641","0.842067368817288","0.859650415317993"
"No","2006","middle vocational","Rural Area","3283","0.878948949381644","0.868482447069371","0.889415451693917"
"No","2006","vocational + Abi","Urban Area","608","0.762892081075803","0.733746278284714","0.792037883866893"
"No","2006","vocational + Abi","Rural Area","215","0.802032255180098","0.754851385189587","0.849213125170609"
"No","2006","higher vocational","Urban Area","706","0.820860482839878","0.795291020630622","0.846429945049133"
"No","2006","higher vocational","Rural Area","452","0.856983732354108","0.827178729676532","0.886788735031683"
"No","2006","higher education","Urban Area","1463","0.741233632783741","0.722073175152943","0.760394090414538"
"No","2006","higher education","Rural Area","769","0.819837173749245","0.795136829101786","0.844537518396703"
"Yes","2007","in school","Urban Area","12","","",""
"Yes","2007","in school","Rural Area","9","","",""
"Yes","2007","inadequately","Urban Area","3","","",""
"Yes","2007","inadequately","Rural Area","1","","",""
"Yes","2007","general elemantary","Urban Area","82","0.0581605602354795","0.0458875070873373","0.0704336133836217"
"Yes","2007","general elemantary","Rural Area","42","0.0460645908512187","0.0307315263442635","0.061397655358174"
"Yes","2007","middle vocational","Urban Area","1050","0.165080898617438","0.155584418539861","0.174577378695015"
"Yes","2007","middle vocational","Rural Area","447","0.129034882658347","0.117923855189159","0.140145910127535"
"Yes","2007","vocational + Abi","Urban Area","216","0.260475607747067","0.229615505317007","0.291335710177126"
"Yes","2007","vocational + Abi","Rural Area","54","0.244403605953765","0.192566007820163","0.296241204087368"
"Yes","2007","higher vocational","Urban Area","178","0.232865727632617","0.203411453145027","0.262320002120207"
"Yes","2007","higher vocational","Rural Area","79","0.154400385890716","0.122728810407761","0.18607196137367"
"Yes","2007","higher education","Urban Area","563","0.274762294832762","0.254969616514318","0.294554973151205"
"Yes","2007","higher education","Rural Area","173","0.196233499866727","0.169888846132466","0.222578153600988"
"No","2007","in school","Urban Area","154","0.930570960486833","0.891904058861462","0.969237862112204"
"No","2007","in school","Rural Area","86","0.913120520413504","0.856482385306777","0.969758655520231"
"No","2007","inadequately","Urban Area","145","0.977531933168493","0.95365571362748","1.00140815270951"
"No","2007","inadequately","Rural Area","64","0.989613485228452","0.964966764927937","1.01426020552897"
"No","2007","general elemantary","Urban Area","1315","0.941839439764521","0.929566386616378","0.954112492912663"
"No","2007","general elemantary","Rural Area","676","0.953935409148781","0.938602344641826","0.969268473655737"
"No","2007","middle vocational","Urban Area","4821","0.834919101382562","0.825422621304985","0.844415581460139"
"No","2007","middle vocational","Rural Area","3050","0.870965117341653","0.859854089872465","0.882076144810841"
"No","2007","vocational + Abi","Urban Area","561","0.739524392252933","0.708664289822874","0.770384494682993"
"No","2007","vocational + Abi","Rural Area","210","0.755596394046235","0.703758795912633","0.807433992179837"
"No","2007","higher vocational","Urban Area","613","0.767134272367383","0.737679997879793","0.796588546854973"
"No","2007","higher vocational","Rural Area","421","0.845599614109284","0.81392803862633","0.877271189592238"
"No","2007","higher education","Urban Area","1391","0.725237705167238","0.705445026848795","0.745030383485682"
"No","2007","higher education","Rural Area","700","0.803766500133273","0.777421846399012","0.830111153867534"
"Yes","2008","in school","Urban Area","17","","",""
"Yes","2008","in school","Rural Area","11","","",""
"Yes","2008","inadequately","Urban Area","3","","",""
"Yes","2008","inadequately","Rural Area","1","","",""
"Yes","2008","general elemantary","Urban Area","106","0.0759356361174051","0.0615026936095505","0.0903685786252597"
"Yes","2008","general elemantary","Rural Area","47","0.0880572666905421","0.0665838369263408","0.109530696454743"
"Yes","2008","middle vocational","Urban Area","1138","0.19354873884281","0.183171478477006","0.203925999208613"
"Yes","2008","middle vocational","Rural Area","498","0.157480034742899","0.145123184697362","0.169836884788435"
"Yes","2008","vocational + Abi","Urban Area","227","0.289984501734116","0.257158244442251","0.322810759025982"
"Yes","2008","vocational + Abi","Rural Area","62","0.250459757940297","0.197175651363365","0.303743864517229"
"Yes","2008","higher vocational","Urban Area","183","0.263258136419576","0.23141960722615","0.295096665613003"
"Yes","2008","higher vocational","Rural Area","72","0.15071709305491","0.118057928230401","0.183376257879418"
"Yes","2008","higher education","Urban Area","621","0.330488234924135","0.309359585977244","0.351616883871026"
"Yes","2008","higher education","Rural Area","185","0.227943332431424","0.199624695906951","0.256261968955897"
"No","2008","in school","Urban Area","160","0.892158937374307","0.846463309152463","0.93785456559615"
"No","2008","in school","Rural Area","90","0.899126463326123","0.840392890800535","0.957860035851712"
"No","2008","inadequately","Urban Area","129","0.958143980609662","0.923981021987477","0.992306939231847"
"No","2008","inadequately","Rural Area","49","0.987739850460147","0.957237573479098","1.0182421274412"
"No","2008","general elemantary","Urban Area","1188","0.924064363882595","0.90963142137474","0.938497306390449"
"No","2008","general elemantary","Rural Area","622","0.911942733309458","0.890469303545257","0.933416163073659"
"No","2008","middle vocational","Urban Area","4430","0.80645126115719","0.796074000791387","0.816828521522994"
"No","2008","middle vocational","Rural Area","2840","0.842519965257101","0.830163115211564","0.854876815302638"
"No","2008","vocational + Abi","Urban Area","507","0.710015498265884","0.677189240974018","0.742841755557749"
"No","2008","vocational + Abi","Rural Area","192","0.749540242059703","0.696256135482771","0.802824348636635"
"No","2008","higher vocational","Urban Area","552","0.736741863580424","0.704903334386997","0.768580392773851"
"No","2008","higher vocational","Rural Area","389","0.84928290694509","0.816623742120582","0.881942071769599"
"No","2008","higher education","Urban Area","1283","0.669511765075865","0.648383116128974","0.690640414022756"
"No","2008","higher education","Rural Area","658","0.772056667568576","0.743738031044103","0.800375304093049"
"Yes","2009","in school","Urban Area","","","",""
"Yes","2009","in school","Rural Area","","","",""
"Yes","2009","inadequately","Urban Area","","","",""
"Yes","2009","inadequately","Rural Area","","","",""
"Yes","2009","general elemantary","Urban Area","","","",""
"Yes","2009","general elemantary","Rural Area","","","",""
"Yes","2009","middle vocational","Urban Area","","","",""
"Yes","2009","middle vocational","Rural Area","","","",""
"Yes","2009","vocational + Abi","Urban Area","","","",""
"Yes","2009","vocational + Abi","Rural Area","","","",""
"Yes","2009","higher vocational","Urban Area","","","",""
"Yes","2009","higher vocational","Rural Area","","","",""
"Yes","2009","higher education","Urban Area","","","",""
"Yes","2009","higher education","Rural Area","","","",""
"No","2009","in school","Urban Area","","","",""
"No","2009","in school","Rural Area","","","",""
"No","2009","inadequately","Urban Area","","","",""
"No","2009","inadequately","Rural Area","","","",""
"No","2009","general elemantary","Urban Area","","","",""
"No","2009","general elemantary","Rural Area","","","",""
"No","2009","middle vocational","Urban Area","","","",""
"No","2009","middle vocational","Rural Area","","","",""
"No","2009","vocational + Abi","Urban Area","","","",""
"No","2009","vocational + Abi","Rural Area","","","",""
"No","2009","higher vocational","Urban Area","","","",""
"No","2009","higher vocational","Rural Area","","","",""
"No","2009","higher education","Urban Area","","","",""
"No","2009","higher education","Rural Area","","","",""
"Yes","2010","in school","Urban Area","36","0.10897324609546","0.0685262769610897","0.14942021522983"
"Yes","2010","in school","Rural Area","10","","",""
"Yes","2010","inadequately","Urban Area","4","","",""
"Yes","2010","inadequately","Rural Area","5","","",""
"Yes","2010","general elemantary","Urban Area","126","0.0795618325186641","0.0664044013521222","0.092719263685206"
"Yes","2010","general elemantary","Rural Area","58","0.0985505060865752","0.077620011479935","0.119481000693215"
"Yes","2010","middle vocational","Urban Area","1382","0.206174727557956","0.196378895702865","0.215970559413046"
"Yes","2010","middle vocational","Rural Area","678","0.154576475925505","0.143763980520179","0.16538897133083"
"Yes","2010","vocational + Abi","Urban Area","346","0.336779499624205","0.309381000662533","0.364177998585877"
"Yes","2010","vocational + Abi","Rural Area","118","0.261320860988268","0.219890265552267","0.302751456424269"
"Yes","2010","higher vocational","Urban Area","233","0.267075180394475","0.236939610958354","0.297210749830596"
"Yes","2010","higher vocational","Rural Area","111","0.185970265731223","0.153334511055198","0.218606020407249"
"Yes","2010","higher education","Urban Area","830","0.350973407757723","0.3325318947268","0.369414920788646"
"Yes","2010","higher education","Rural Area","263","0.251741047057991","0.225158224597468","0.278323869518515"
"No","2010","in school","Urban Area","192","0.89102675390454","0.85057978477017","0.93147372303891"
"No","2010","in school","Rural Area","96","0.914517387361326","0.861290626783919","0.967744147938733"
"No","2010","inadequately","Urban Area","242","0.964917849941953","0.941926270404797","0.98790942947911"
"No","2010","inadequately","Rural Area","86","0.97160506804496","0.937478493610728","1.00573164247919"
"No","2010","general elemantary","Urban Area","1499","0.920438167481336","0.907280736314794","0.933595598647878"
"No","2010","general elemantary","Rural Area","721","0.901449493913425","0.880518999306785","0.922379988520065"
"No","2010","middle vocational","Urban Area","5170","0.793825272442044","0.784029440586954","0.803621104297135"
"No","2010","middle vocational","Rural Area","3616","0.845423524074495","0.834611028669169","0.856236019479821"
"No","2010","vocational + Abi","Urban Area","797","0.663220500375795","0.635822001414123","0.690618999337467"
"No","2010","vocational + Abi","Rural Area","314","0.738679139011732","0.697248543575731","0.780109734447733"
"No","2010","higher vocational","Urban Area","595","0.732924819605525","0.702789250169404","0.763060389041646"
"No","2010","higher vocational","Rural Area","435","0.814029734268777","0.781393979592751","0.846665488944802"
"No","2010","higher education","Urban Area","1743","0.649026592242277","0.630585079211354","0.6674681052732"
"No","2010","higher education","Rural Area","761","0.748258952942009","0.721676130481485","0.774841775402532"
"Yes","2011","in school","Urban Area","35","0.160476107377612","0.107296605255587","0.213655609499637"
"Yes","2011","in school","Rural Area","1","","",""
"Yes","2011","inadequately","Urban Area","2","","",""
"Yes","2011","inadequately","Rural Area","2","","",""
"Yes","2011","general elemantary","Urban Area","130","0.0958078011684015","0.0802845721032472","0.111331030233556"
