"ple0098_v5","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"No","1999","1-pers.-HH","(3b) higher tertiary education","63","0.703290899182305","0.604418722043172","0.802163076321439"
"No","1999","(Married) couple without C. ","(0) in school","2","","",""
"No","1999","(Married) couple without C. ","(1a) inadequately completed","110","0.970409307601221","0.939026331933842","1.0017922832686"
"No","1999","(Married) couple without C. ","(1b) general elementary school","530","0.947523840708341","0.928972397834242","0.96607528358244"
"No","1999","(Married) couple without C. ","(1c) basic vocational qualification","1390","0.912714698509362","0.898459486341545","0.926969910677178"
"No","1999","(Married) couple without C. ","(2b) intermediate general qualification","63","0.830798613536469","0.746505686434845","0.915091540638094"
"No","1999","(Married) couple without C. ","(2a) intermediate vocational","560","0.812742542381972","0.782797815863218","0.842687268900725"
"No","1999","(Married) couple without C. ","(2c_gen) general maturity certificate","59","0.897928262539325","0.82543723362797","0.97041929145068"
"No","1999","(Married) couple without C. ","(2c_voc) vocational maturity certificate","136","0.828294160883656","0.769675706791538","0.886912614975775"
"No","1999","(Married) couple without C. ","(3a) lower tertiary education","245","0.829534775909955","0.784927884080482","0.874141667739429"
"No","1999","(Married) couple without C. ","(3b) higher tertiary education","207","0.816379882557566","0.767396502757752","0.865363262357379"
"No","1999","Single parent ","(0) in school","29","","",""
"No","1999","Single parent ","(1a) inadequately completed","23","","",""
"No","1999","Single parent ","(1b) general elementary school","118","0.95847403270836","0.923072812615382","0.993875252801339"
"No","1999","Single parent ","(1c) basic vocational qualification","155","0.925306532626692","0.885070950286911","0.965542114966473"
"No","1999","Single parent ","(2b) intermediate general qualification","50","0.94685268925818","0.885880993379484","1.00782438513688"
"No","1999","Single parent ","(2a) intermediate vocational","115","0.840789361878355","0.778841640350372","0.902737083406337"
"No","1999","Single parent ","(2c_gen) general maturity certificate","26","","",""
"No","1999","Single parent ","(2c_voc) vocational maturity certificate","16","","",""
"No","1999","Single parent ","(3a) lower tertiary education","25","","",""
"No","1999","Single parent ","(3b) higher tertiary education","23","","",""
"No","1999","Couple + C. LE 16 ","(0) in school","2","","",""
"No","1999","Couple + C. LE 16 ","(1a) inadequately completed","66","0.922019663106859","0.858751359401284","0.985287966812434"
"No","1999","Couple + C. LE 16 ","(1b) general elementary school","269","0.965611314597438","0.944113094243755","0.987109534951121"
"No","1999","Couple + C. LE 16 ","(1c) basic vocational qualification","672","0.920269330775367","0.900497329137634","0.9400413324131"
"No","1999","Couple + C. LE 16 ","(2b) intermediate general qualification","64","0.885373476701539","0.811788754157426","0.958958199245652"
"No","1999","Couple + C. LE 16 ","(2a) intermediate vocational","774","0.90494683337634","0.885136724044013","0.924756942708667"
"No","1999","Couple + C. LE 16 ","(2c_gen) general maturity certificate","53","0.933572460536794","0.868923914458408","0.99822100661518"
"No","1999","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","165","0.884912503840859","0.839172992083515","0.930652015598203"
"No","1999","Couple + C. LE 16 ","(3a) lower tertiary education","179","0.865107488315121","0.81703726028213","0.913177716348112"
"No","1999","Couple + C. LE 16 ","(3b) higher tertiary education","177","0.906900210854118","0.866528639549581","0.947271782158654"
"No","1999","Couple + C. GT 16 ","(0) in school","114","0.945113353533356","0.904698270664885","0.985528436401827"
"No","1999","Couple + C. GT 16 ","(1a) inadequately completed","133","1","1","1"
"No","1999","Couple + C. GT 16 ","(1b) general elementary school","341","0.984464239455218","0.971452073740666","0.99747640516977"
"No","1999","Couple + C. GT 16 ","(1c) basic vocational qualification","577","0.952413536241412","0.935477637770651","0.969349434712173"
"No","1999","Couple + C. GT 16 ","(2b) intermediate general qualification","135","0.934067311859273","0.893534538220113","0.974600085498433"
"No","1999","Couple + C. GT 16 ","(2a) intermediate vocational","355","0.883584041786102","0.851794087551947","0.915373996020256"
"No","1999","Couple + C. GT 16 ","(2c_gen) general maturity certificate","122","0.954347939904257","0.918328513198786","0.990367366609727"
"No","1999","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","68","0.908085419894421","0.842260886944409","0.973909952844433"
"No","1999","Couple + C. GT 16 ","(3a) lower tertiary education","124","0.902081046543556","0.852131126493736","0.952030966593377"
"No","1999","Couple + C. GT 16 ","(3b) higher tertiary education","96","0.891934804800108","0.833382271467152","0.950487338133063"
"No","1999","Couple + C. LE and GT 16","(0) in school","96","0.871857213517706","0.808226774049398","0.935487652986013"
"No","1999","Couple + C. LE and GT 16","(1a) inadequately completed","51","0.983251914189099","0.948703736453138","1.01780009192506"
"No","1999","Couple + C. LE and GT 16","(1b) general elementary school","148","0.960440893761127","0.929554945989252","0.991326841533003"
"No","1999","Couple + C. LE and GT 16","(1c) basic vocational qualification","210","0.926597935878555","0.892057657441071","0.961138214316039"
"No","1999","Couple + C. LE and GT 16","(2b) intermediate general qualification","93","0.940886794964186","0.89419441690258","0.987579173025792"
"No","1999","Couple + C. LE and GT 16","(2a) intermediate vocational","183","0.882324940402461","0.837999142372953","0.926650738431968"
"No","1999","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","39","0.953006875050975","0.888229798747383","1.01778395135457"
"No","1999","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","31","0.914403427531055","0.818950724547779","1.00985613051433"
"No","1999","Couple + C. LE and GT 16","(3a) lower tertiary education","60","0.905923622764604","0.834953182829238","0.97689406269997"
"No","1999","Couple + C. LE and GT 16","(3b) higher tertiary education","34","0.808540667742473","0.681764846267005","0.935316489217942"
"Yes","2000","1-pers.-HH","(0) in school","1","","",""
"Yes","2000","1-pers.-HH","(1a) inadequately completed","","","",""
"Yes","2000","1-pers.-HH","(1b) general elementary school","9","","",""
"Yes","2000","1-pers.-HH","(1c) basic vocational qualification","59","0.066762034866526","0.0513833634997128","0.0821407062333391"
"Yes","2000","1-pers.-HH","(2b) intermediate general qualification","10","","",""
"Yes","2000","1-pers.-HH","(2a) intermediate vocational","78","0.136794938133995","0.110046682509972","0.163543193758018"
"Yes","2000","1-pers.-HH","(2c_gen) general maturity certificate","11","","",""
"Yes","2000","1-pers.-HH","(2c_voc) vocational maturity certificate","30","0.130807841160083","0.0868467300683236","0.174768952251842"
"Yes","2000","1-pers.-HH","(3a) lower tertiary education","24","","",""
"Yes","2000","1-pers.-HH","(3b) higher tertiary education","33","0.211071481975475","0.154088052229349","0.268054911721601"
"Yes","2000","(Married) couple without C. ","(0) in school","1","","",""
"Yes","2000","(Married) couple without C. ","(1a) inadequately completed","3","","",""
"Yes","2000","(Married) couple without C. ","(1b) general elementary school","31","0.0437257151515981","0.029979019187938","0.0574724111152581"
"Yes","2000","(Married) couple without C. ","(1c) basic vocational qualification","221","0.0774614178951414","0.067884412704434","0.0870384230858487"
"Yes","2000","(Married) couple without C. ","(2b) intermediate general qualification","12","","",""
"Yes","2000","(Married) couple without C. ","(2a) intermediate vocational","192","0.169358927195664","0.148657451946735","0.190060402444594"
"Yes","2000","(Married) couple without C. ","(2c_gen) general maturity certificate","11","","",""
"Yes","2000","(Married) couple without C. ","(2c_voc) vocational maturity certificate","59","0.18396139938173","0.144103584845611","0.223819213917849"
"Yes","2000","(Married) couple without C. ","(3a) lower tertiary education","77","0.192281342586294","0.156952226399062","0.227610458773527"
"Yes","2000","(Married) couple without C. ","(3b) higher tertiary education","77","0.20511099829921","0.16759506079434","0.24262693580408"
"Yes","2000","Single parent ","(0) in school","3","","",""
"Yes","2000","Single parent ","(1a) inadequately completed","1","","",""
"Yes","2000","Single parent ","(1b) general elementary school","4","","",""
"Yes","2000","Single parent ","(1c) basic vocational qualification","18","","",""
"Yes","2000","Single parent ","(2b) intermediate general qualification","3","","",""
"Yes","2000","Single parent ","(2a) intermediate vocational","25","","",""
"Yes","2000","Single parent ","(2c_gen) general maturity certificate","3","","",""
"Yes","2000","Single parent ","(2c_voc) vocational maturity certificate","5","","",""
"Yes","2000","Single parent ","(3a) lower tertiary education","10","","",""
"Yes","2000","Single parent ","(3b) higher tertiary education","9","","",""
"Yes","2000","Couple + C. LE 16 ","(0) in school","","","",""
"Yes","2000","Couple + C. LE 16 ","(1a) inadequately completed","3","","",""
"Yes","2000","Couple + C. LE 16 ","(1b) general elementary school","10","","",""
"Yes","2000","Couple + C. LE 16 ","(1c) basic vocational qualification","100","0.077578644004673","0.0632503801880547","0.0919069078212913"
"Yes","2000","Couple + C. LE 16 ","(2b) intermediate general qualification","2","","",""
"Yes","2000","Couple + C. LE 16 ","(2a) intermediate vocational","160","0.108951220675497","0.0933946609155528","0.124507780435441"
"Yes","2000","Couple + C. LE 16 ","(2c_gen) general maturity certificate","4","","",""
"Yes","2000","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","45","0.0886453183209072","0.0616861947168567","0.115604441924958"
"Yes","2000","Couple + C. LE 16 ","(3a) lower tertiary education","47","0.188877019969212","0.145652942994692","0.232101096943732"
"Yes","2000","Couple + C. LE 16 ","(3b) higher tertiary education","59","0.14292505312768","0.109492416777962","0.176357689477397"
"Yes","2000","Couple + C. GT 16 ","(0) in school","13","","",""
"Yes","2000","Couple + C. GT 16 ","(1a) inadequately completed","3","","",""
"Yes","2000","Couple + C. GT 16 ","(1b) general elementary school","13","","",""
"Yes","2000","Couple + C. GT 16 ","(1c) basic vocational qualification","58","0.0626354696649167","0.047587328768078","0.0776836105617554"
"Yes","2000","Couple + C. GT 16 ","(2b) intermediate general qualification","14","","",""
"Yes","2000","Couple + C. GT 16 ","(2a) intermediate vocational","67","0.0964664103504873","0.0756407082797473","0.117292112421227"
"Yes","2000","Couple + C. GT 16 ","(2c_gen) general maturity certificate","27","","",""
"Yes","2000","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","16","","",""
"Yes","2000","Couple + C. GT 16 ","(3a) lower tertiary education","29","","",""
"Yes","2000","Couple + C. GT 16 ","(3b) higher tertiary education","32","0.212984610813835","0.15162031420794","0.274348907419731"
"Yes","2000","Couple + C. LE and GT 16","(0) in school","7","","",""
"Yes","2000","Couple + C. LE and GT 16","(1a) inadequately completed","1","","",""
"Yes","2000","Couple + C. LE and GT 16","(1b) general elementary school","4","","",""
"Yes","2000","Couple + C. LE and GT 16","(1c) basic vocational qualification","22","","",""
"Yes","2000","Couple + C. LE and GT 16","(2b) intermediate general qualification","7","","",""
"Yes","2000","Couple + C. LE and GT 16","(2a) intermediate vocational","29","","",""
"Yes","2000","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","8","","",""
"Yes","2000","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","7","","",""
"Yes","2000","Couple + C. LE and GT 16","(3a) lower tertiary education","11","","",""
"Yes","2000","Couple + C. LE and GT 16","(3b) higher tertiary education","8","","",""
"No","2000","1-pers.-HH","(0) in school","3","","",""
"No","2000","1-pers.-HH","(1a) inadequately completed","41","1","1","1"
"No","2000","1-pers.-HH","(1b) general elementary school","487","0.976807097748974","0.963560961895093","0.990053233602854"
"No","2000","1-pers.-HH","(1c) basic vocational qualification","953","0.933237965133474","0.917859293766661","0.948616636500287"
"No","2000","1-pers.-HH","(2b) intermediate general qualification","45","0.804614562554281","0.69982771229063","0.909401412817932"
"No","2000","1-pers.-HH","(2a) intermediate vocational","556","0.863205061866005","0.836456806241982","0.889953317490028"
"No","2000","1-pers.-HH","(2c_gen) general maturity certificate","116","0.935354463731205","0.892587973164019","0.97812095429839"
"No","2000","1-pers.-HH","(2c_voc) vocational maturity certificate","196","0.869192158839917","0.825231047748158","0.913153269931676"
"No","2000","1-pers.-HH","(3a) lower tertiary education","150","0.853969076008138","0.801498364224691","0.906439787791585"
"No","2000","1-pers.-HH","(3b) higher tertiary education","164","0.788928518024525","0.7319450882784","0.845911947770651"
"No","2000","(Married) couple without C. ","(0) in school","4","","",""
"No","2000","(Married) couple without C. ","(1a) inadequately completed","105","0.959987503046269","0.923024535577161","0.996950470515377"
"No","2000","(Married) couple without C. ","(1b) general elementary school","819","0.956274284848402","0.942527588884742","0.970020980812062"
"No","2000","(Married) couple without C. ","(1c) basic vocational qualification","2772","0.922538582104859","0.912961576914151","0.932115587295566"
"No","2000","(Married) couple without C. ","(2b) intermediate general qualification","68","0.824480013706971","0.741120254423954","0.907839772989989"
"No","2000","(Married) couple without C. ","(2a) intermediate vocational","1069","0.830641072804336","0.809939597555406","0.851342548053265"
"No","2000","(Married) couple without C. ","(2c_gen) general maturity certificate","72","0.86686958448884","0.793785203786008","0.939953965191671"
"No","2000","(Married) couple without C. ","(2c_voc) vocational maturity certificate","304","0.81603860061827","0.776180786082151","0.855896415154389"
"No","2000","(Married) couple without C. ","(3a) lower tertiary education","401","0.807718657413706","0.772389541226473","0.843047773600938"
"No","2000","(Married) couple without C. ","(3b) higher tertiary education","368","0.79488900170079","0.75737306419592","0.83240493920566"
"No","2000","Single parent ","(0) in school","54","0.96258570827498","0.913319500746407","1.01185191580355"
"No","2000","Single parent ","(1a) inadequately completed","17","","",""
"No","2000","Single parent ","(1b) general elementary school","180","0.974929337140831","0.952339731074154","0.997518943207507"
"No","2000","Single parent ","(1c) basic vocational qualification","287","0.933335068839634","0.905341022257795","0.961329115421473"
"No","2000","Single parent ","(2b) intermediate general qualification","65","0.953785908822531","0.903885248330704","1.00368656931436"
"No","2000","Single parent ","(2a) intermediate vocational","231","0.887930765263668","0.849288652505681","0.926572878021656"
"No","2000","Single parent ","(2c_gen) general maturity certificate","48","0.961659904276007","0.908961149444055","1.01435865910796"
"No","2000","Single parent ","(2c_voc) vocational maturity certificate","52","0.864744929943138","0.775961595419981","0.953528264466296"
"No","2000","Single parent ","(3a) lower tertiary education","41","0.847086555848798","0.748310943062488","0.945862168635109"
"No","2000","Single parent ","(3b) higher tertiary education","54","0.837851376974586","0.746835335568854","0.928867418380318"
"No","2000","Couple + C. LE 16 ","(0) in school","3","","",""
"No","2000","Couple + C. LE 16 ","(1a) inadequately completed","70","0.955194233803285","0.907737323363362","1.00265114424321"
"No","2000","Couple + C. LE 16 ","(1b) general elementary school","352","0.966142493476502","0.947511248206089","0.984773738746914"
"No","2000","Couple + C. LE 16 ","(1c) basic vocational qualification","1239","0.922421355995327","0.908093092178709","0.936749619811945"
"No","2000","Couple + C. LE 16 ","(2b) intermediate general qualification","59","0.902333721475582","0.827836669455937","0.976830773495226"
"No","2000","Couple + C. LE 16 ","(2a) intermediate vocational","1381","0.891048779324503","0.875492219564559","0.906605339084447"
"No","2000","Couple + C. LE 16 ","(2c_gen) general maturity certificate","69","0.946623837227713","0.895059545871244","0.998188128584182"
"No","2000","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","382","0.911354681679093","0.884395558075042","0.938313805283143"
"No","2000","Couple + C. LE 16 ","(3a) lower tertiary education","268","0.811122980030788","0.767898903056268","0.854347057005309"
"No","2000","Couple + C. LE 16 ","(3b) higher tertiary education","362","0.85707494687232","0.823642310522603","0.890507583222038"
"No","2000","Couple + C. GT 16 ","(0) in school","155","0.921021978142363","0.880238752424316","0.96180520386041"
"No","2000","Couple + C. GT 16 ","(1a) inadequately completed","93","0.943504532662507","0.897320561564382","0.989688503760632"
"No","2000","Couple + C. GT 16 ","(1b) general elementary school","461","0.972289011539598","0.957512135922765","0.987065887156432"
"No","2000","Couple + C. GT 16 ","(1c) basic vocational qualification","938","0.937364530335083","0.922316389438245","0.952412671231922"
"No","2000","Couple + C. GT 16 ","(2b) intermediate general qualification","207","0.927236244017795","0.892990649661266","0.961481838374325"
"No","2000","Couple + C. GT 16 ","(2a) intermediate vocational","705","0.903533589649513","0.882707887578773","0.924359291720253"
"No","2000","Couple + C. GT 16 ","(2c_gen) general maturity certificate","205","0.880143628032974","0.838349868757905","0.921937387308043"
"No","2000","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","159","0.879258386211859","0.830984105179601","0.927532667244118"
"No","2000","Couple + C. GT 16 ","(3a) lower tertiary education","171","0.841322386052901","0.790684898869107","0.891959873236695"
"No","2000","Couple + C. GT 16 ","(3b) higher tertiary education","139","0.787015389186165","0.725651092580269","0.84837968579206"
"No","2000","Couple + C. LE and GT 16","(0) in school","157","0.945565195663595","0.910842755412679","0.980287635914511"
"No","2000","Couple + C. LE and GT 16","(1a) inadequately completed","34","0.980773827498512","0.935280791555968","1.02626686344106"
"No","2000","Couple + C. LE and GT 16","(1b) general elementary school","247","0.985636696057282","0.970917067946289","1.00035632416828"
"No","2000","Couple + C. LE and GT 16","(1c) basic vocational qualification","354","0.935271749560578","0.910402080222908","0.960141418898248"
"No","2000","Couple + C. LE and GT 16","(2b) intermediate general qualification","167","0.967479594202672","0.941124027929612","0.993835160475731"
"No","2000","Couple + C. LE and GT 16","(2a) intermediate vocational","356","0.915534849049033","0.887757298439285","0.94331239965878"
"No","2000","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","91","0.913472427341254","0.858092105469231","0.968852749213278"
"No","2000","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","63","0.898602492731825","0.827889939321234","0.969315046142416"
"No","2000","Couple + C. LE and GT 16","(3a) lower tertiary education","90","0.904235120579342","0.846845781566462","0.961624459592221"
"No","2000","Couple + C. LE and GT 16","(3b) higher tertiary education","66","0.917108134687556","0.8542880582793","0.979928211095813"
"Yes","2001","1-pers.-HH","(0) in school","","","",""
"Yes","2001","1-pers.-HH","(1a) inadequately completed","","","",""
"Yes","2001","1-pers.-HH","(1b) general elementary school","6","","",""
"Yes","2001","1-pers.-HH","(1c) basic vocational qualification","53","0.0650841259341716","0.0492133592120025","0.0809548926563408"
"Yes","2001","1-pers.-HH","(2b) intermediate general qualification","2","","",""
"Yes","2001","1-pers.-HH","(2a) intermediate vocational","85","0.162050144074378","0.13208656062787","0.192013727520885"
"Yes","2001","1-pers.-HH","(2c_gen) general maturity certificate","9","","",""
"Yes","2001","1-pers.-HH","(2c_voc) vocational maturity certificate","24","","",""
"Yes","2001","1-pers.-HH","(3a) lower tertiary education","28","","",""
"Yes","2001","1-pers.-HH","(3b) higher tertiary education","22","","",""
"Yes","2001","(Married) couple without C. ","(0) in school","1","","",""
"Yes","2001","(Married) couple without C. ","(1a) inadequately completed","2","","",""
"Yes","2001","(Married) couple without C. ","(1b) general elementary school","18","","",""
"Yes","2001","(Married) couple without C. ","(1c) basic vocational qualification","197","0.0852662335546111","0.0746210473917211","0.095911419717501"
"Yes","2001","(Married) couple without C. ","(2b) intermediate general qualification","8","","",""
"Yes","2001","(Married) couple without C. ","(2a) intermediate vocational","160","0.156466031513261","0.135763805744106","0.177168257282416"
"Yes","2001","(Married) couple without C. ","(2c_gen) general maturity certificate","12","","",""
"Yes","2001","(Married) couple without C. ","(2c_voc) vocational maturity certificate","49","0.166206204919315","0.127261584184771","0.205150825653859"
"Yes","2001","(Married) couple without C. ","(3a) lower tertiary education","63","0.174308956677313","0.140263627312905","0.208354286041721"
"Yes","2001","(Married) couple without C. ","(3b) higher tertiary education","61","0.179304654150638","0.142530159225001","0.216079149076274"
"Yes","2001","Single parent ","(0) in school","2","","",""
"Yes","2001","Single parent ","(1a) inadequately completed","","","",""
"Yes","2001","Single parent ","(1b) general elementary school","4","","",""
"Yes","2001","Single parent ","(1c) basic vocational qualification","12","","",""
"Yes","2001","Single parent ","(2b) intermediate general qualification","4","","",""
"Yes","2001","Single parent ","(2a) intermediate vocational","20","","",""
"Yes","2001","Single parent ","(2c_gen) general maturity certificate","2","","",""
"Yes","2001","Single parent ","(2c_voc) vocational maturity certificate","5","","",""
"Yes","2001","Single parent ","(3a) lower tertiary education","5","","",""
"Yes","2001","Single parent ","(3b) higher tertiary education","10","","",""
"Yes","2001","Couple + C. LE 16 ","(0) in school","","","",""
"Yes","2001","Couple + C. LE 16 ","(1a) inadequately completed","2","","",""
"Yes","2001","Couple + C. LE 16 ","(1b) general elementary school","21","","",""
"Yes","2001","Couple + C. LE 16 ","(1c) basic vocational qualification","104","0.104006822370357","0.0866038825602181","0.121409762180496"
"Yes","2001","Couple + C. LE 16 ","(2b) intermediate general qualification","","","",""
"Yes","2001","Couple + C. LE 16 ","(2a) intermediate vocational","146","0.108737784181812","0.092477064961393","0.124998503402231"
"Yes","2001","Couple + C. LE 16 ","(2c_gen) general maturity certificate","5","","",""
"Yes","2001","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","60","0.136112512816751","0.103160720378424","0.169064305255078"
"Yes","2001","Couple + C. LE 16 ","(3a) lower tertiary education","52","0.227365414830337","0.17895920030333","0.275771629357345"
"Yes","2001","Couple + C. LE 16 ","(3b) higher tertiary education","56","0.161780741443297","0.124559024970142","0.199002457916453"
"Yes","2001","Couple + C. GT 16 ","(0) in school","17","","",""
"Yes","2001","Couple + C. GT 16 ","(1a) inadequately completed","3","","",""
"Yes","2001","Couple + C. GT 16 ","(1b) general elementary school","15","","",""
"Yes","2001","Couple + C. GT 16 ","(1c) basic vocational qualification","62","0.0718020197320046","0.0547356050723772","0.088868434391632"
"Yes","2001","Couple + C. GT 16 ","(2b) intermediate general qualification","14","","",""
"Yes","2001","Couple + C. GT 16 ","(2a) intermediate vocational","76","0.112140243767438","0.0889304196070111","0.135350067927865"
"Yes","2001","Couple + C. GT 16 ","(2c_gen) general maturity certificate","27","","",""
"Yes","2001","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","19","","",""
"Yes","2001","Couple + C. GT 16 ","(3a) lower tertiary education","32","0.163657179475717","0.110912715080567","0.216401643870867"
"Yes","2001","Couple + C. GT 16 ","(3b) higher tertiary education","29","","",""
"Yes","2001","Couple + C. LE and GT 16","(0) in school","9","","",""
"Yes","2001","Couple + C. LE and GT 16","(1a) inadequately completed","","","",""
"Yes","2001","Couple + C. LE and GT 16","(1b) general elementary school","2","","",""
"Yes","2001","Couple + C. LE and GT 16","(1c) basic vocational qualification","18","","",""
"Yes","2001","Couple + C. LE and GT 16","(2b) intermediate general qualification","3","","",""
"Yes","2001","Couple + C. LE and GT 16","(2a) intermediate vocational","20","","",""
"Yes","2001","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","2","","",""
"Yes","2001","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","9","","",""
