"ple0098_v5","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"No","1999","direct migration background","(3a) lower tertiary education","41","0.867597993990514","0.768572187912718","0.96662380006831"
"No","1999","direct migration background","(3b) higher tertiary education","110","0.914511553807784","0.863184779015124","0.965838328600445"
"No","1999","indirect migration background","(0) in school","60","0.915351181707942","0.846063414033161","0.984638949382723"
"No","1999","indirect migration background","(1a) inadequately completed","12","","",""
"No","1999","indirect migration background","(1b) general elementary school","125","0.979289609893785","0.954423231872398","1.00415598791517"
"No","1999","indirect migration background","(1c) basic vocational qualification","89","0.897233259384873","0.836172069697814","0.958294449071933"
"No","1999","indirect migration background","(2b) intermediate general qualification","67","0.920422614788335","0.857470925400826","0.983374304175844"
"No","1999","indirect migration background","(2a) intermediate vocational","50","0.832042831522567","0.735835934368389","0.928249728676745"
"No","1999","indirect migration background","(2c_gen) general maturity certificate","46","1","1","1"
"No","1999","indirect migration background","(2c_voc) vocational maturity certificate","23","","",""
"No","1999","indirect migration background","(3a) lower tertiary education","7","","",""
"No","1999","indirect migration background","(3b) higher tertiary education","13","","",""
"Yes","2000","no migration background","(0) in school","22","","",""
"Yes","2000","no migration background","(1a) inadequately completed","6","","",""
"Yes","2000","no migration background","(1b) general elementary school","65","0.0363559049683574","0.0278610790201968","0.0448507309165179"
"Yes","2000","no migration background","(1c) basic vocational qualification","464","0.077808218680589","0.0711619306821731","0.0844545066790048"
"Yes","2000","no migration background","(2b) intermediate general qualification","44","0.107431647199454","0.0808162299704512","0.134047064428458"
"Yes","2000","no migration background","(2a) intermediate vocational","529","0.127863302844235","0.118280611350449","0.13744599433802"
"Yes","2000","no migration background","(2c_gen) general maturity certificate","68","0.127710325602995","0.0982777689636579","0.157142882242333"
"Yes","2000","no migration background","(2c_voc) vocational maturity certificate","143","0.156801004718218","0.133811698880127","0.179790310556308"
"Yes","2000","no migration background","(3a) lower tertiary education","192","0.175105935089123","0.154170559301491","0.196041310876754"
"Yes","2000","no migration background","(3b) higher tertiary education","189","0.195641265846916","0.172388088049267","0.218894443644565"
"Yes","2000","direct migration background","(0) in school","2","","",""
"Yes","2000","direct migration background","(1a) inadequately completed","5","","",""
"Yes","2000","direct migration background","(1b) general elementary school","5","","",""
"Yes","2000","direct migration background","(1c) basic vocational qualification","29","","",""
"Yes","2000","direct migration background","(2b) intermediate general qualification","","","",""
"Yes","2000","direct migration background","(2a) intermediate vocational","15","","",""
"Yes","2000","direct migration background","(2c_gen) general maturity certificate","2","","",""
"Yes","2000","direct migration background","(2c_voc) vocational maturity certificate","19","","",""
"Yes","2000","direct migration background","(3a) lower tertiary education","9","","",""
"Yes","2000","direct migration background","(3b) higher tertiary education","25","","",""
"Yes","2000","indirect migration background","(0) in school","2","","",""
"Yes","2000","indirect migration background","(1a) inadequately completed","","","",""
"Yes","2000","indirect migration background","(1b) general elementary school","4","","",""
"Yes","2000","indirect migration background","(1c) basic vocational qualification","9","","",""
"Yes","2000","indirect migration background","(2b) intermediate general qualification","5","","",""
"Yes","2000","indirect migration background","(2a) intermediate vocational","15","","",""
"Yes","2000","indirect migration background","(2c_gen) general maturity certificate","1","","",""
"Yes","2000","indirect migration background","(2c_voc) vocational maturity certificate","1","","",""
"Yes","2000","indirect migration background","(3a) lower tertiary education","2","","",""
"Yes","2000","indirect migration background","(3b) higher tertiary education","5","","",""
"No","2000","no migration background","(0) in school","271","0.927785771657386","0.898147728760874","0.957423814553897"
"No","2000","no migration background","(1a) inadequately completed","78","0.917401742344789","0.85853450273329","0.976268981956287"
"No","2000","no migration background","(1b) general elementary school","1800","0.963644095031643","0.955149269083482","0.972138920979803"
"No","2000","no migration background","(1c) basic vocational qualification","5776","0.922191781319411","0.915545493320995","0.928838069317827"
"No","2000","no migration background","(2b) intermediate general qualification","476","0.892568352800546","0.865952935571542","0.919183770029549"
"No","2000","no migration background","(2a) intermediate vocational","4136","0.872136697155765","0.86255400566198","0.881719388649551"
"No","2000","no migration background","(2c_gen) general maturity certificate","426","0.872289674397004","0.842857117757667","0.901722231036342"
"No","2000","no migration background","(2c_voc) vocational maturity certificate","818","0.843198995281782","0.820209689443692","0.866188301119873"
"No","2000","no migration background","(3a) lower tertiary education","1074","0.824894064910877","0.803958689123246","0.845829440698509"
"No","2000","no migration background","(3b) higher tertiary education","929","0.804358734153084","0.781105556355435","0.827611911950733"
"No","2000","direct migration background","(0) in school","57","0.966666421831327","0.920862636627498","1.01247020703516"
"No","2000","direct migration background","(1a) inadequately completed","317","0.984443109683055","0.97092621712101","0.997960002245101"
"No","2000","direct migration background","(1b) general elementary school","771","0.990973767998446","0.984319480576641","0.99762805542025"
"No","2000","direct migration background","(1c) basic vocational qualification","903","0.966268039374191","0.954677337520887","0.977858741227494"
"No","2000","direct migration background","(2b) intermediate general qualification","70","1","1","1"
"No","2000","direct migration background","(2a) intermediate vocational","157","0.901973414188223","0.857535601463844","0.946411226912602"
"No","2000","direct migration background","(2c_gen) general maturity certificate","137","0.987880204920651","0.969689879401713","1.00607053043959"
"No","2000","direct migration background","(2c_voc) vocational maturity certificate","323","0.94365320213988","0.919214627793403","0.968091776486357"
"No","2000","direct migration background","(3a) lower tertiary education","73","0.868934002371124","0.79589083796824","0.941977166774009"
"No","2000","direct migration background","(3b) higher tertiary education","233","0.87842438916959","0.838548198784367","0.918300579554812"
"No","2000","indirect migration background","(0) in school","60","0.919897925694651","0.852329477109526","0.987466374279776"
"No","2000","indirect migration background","(1a) inadequately completed","9","","",""
"No","2000","indirect migration background","(1b) general elementary school","161","0.95641551341875","0.925262834994151","0.987568191843348"
"No","2000","indirect migration background","(1c) basic vocational qualification","151","0.932696958954111","0.893875153932361","0.971518763975861"
"No","2000","indirect migration background","(2b) intermediate general qualification","92","0.915837076949016","0.860587145953559","0.971087007944473"
"No","2000","indirect migration background","(2a) intermediate vocational","113","0.861144781034052","0.801239888009233","0.921049674058872"
"No","2000","indirect migration background","(2c_gen) general maturity certificate","70","0.989453895350404","0.965693003574137","1.01321478712667"
"No","2000","indirect migration background","(2c_voc) vocational maturity certificate","44","0.985961165766308","0.951586596731738","1.02033573480088"
"No","2000","indirect migration background","(3a) lower tertiary education","11","","",""
"No","2000","indirect migration background","(3b) higher tertiary education","25","","",""
"Yes","2001","no migration background","(0) in school","27","","",""
"Yes","2001","no migration background","(1a) inadequately completed","6","","",""
"Yes","2001","no migration background","(1b) general elementary school","55","0.0292525905578022","0.0209355746774321","0.0375696064381724"
"Yes","2001","no migration background","(1c) basic vocational qualification","431","0.0837238710011831","0.0764304540045753","0.0910172879977908"
"Yes","2001","no migration background","(2b) intermediate general qualification","31","0.069745055900508","0.0466678687940002","0.0928222430070158"
"Yes","2001","no migration background","(2a) intermediate vocational","485","0.129056436282911","0.119054312744938","0.139058559820884"
"Yes","2001","no migration background","(2c_gen) general maturity certificate","58","0.122244908531324","0.0926620793322807","0.151827737730367"
"Yes","2001","no migration background","(2c_voc) vocational maturity certificate","152","0.168681889762365","0.144338334838345","0.193025444686385"
"Yes","2001","no migration background","(3a) lower tertiary education","182","0.184448998218714","0.162440440531213","0.206457555906216"
"Yes","2001","no migration background","(3b) higher tertiary education","169","0.183480292533439","0.159922382417626","0.207038202649252"
"Yes","2001","direct migration background","(0) in school","","","",""
"Yes","2001","direct migration background","(1a) inadequately completed","1","","",""
"Yes","2001","direct migration background","(1b) general elementary school","7","","",""
"Yes","2001","direct migration background","(1c) basic vocational qualification","24","","",""
"Yes","2001","direct migration background","(2b) intermediate general qualification","","","",""
"Yes","2001","direct migration background","(2a) intermediate vocational","10","","",""
"Yes","2001","direct migration background","(2c_gen) general maturity certificate","3","","",""
"Yes","2001","direct migration background","(2c_voc) vocational maturity certificate","10","","",""
"Yes","2001","direct migration background","(3a) lower tertiary education","7","","",""
"Yes","2001","direct migration background","(3b) higher tertiary education","15","","",""
"Yes","2001","indirect migration background","(0) in school","3","","",""
"Yes","2001","indirect migration background","(1a) inadequately completed","","","",""
"Yes","2001","indirect migration background","(1b) general elementary school","5","","",""
"Yes","2001","indirect migration background","(1c) basic vocational qualification","8","","",""
"Yes","2001","indirect migration background","(2b) intermediate general qualification","2","","",""
"Yes","2001","indirect migration background","(2a) intermediate vocational","18","","",""
"Yes","2001","indirect migration background","(2c_gen) general maturity certificate","1","","",""
"Yes","2001","indirect migration background","(2c_voc) vocational maturity certificate","5","","",""
"Yes","2001","indirect migration background","(3a) lower tertiary education","4","","",""
"Yes","2001","indirect migration background","(3b) higher tertiary education","6","","",""
"No","2001","no migration background","(0) in school","322","0.926180606400447","0.898747912621607","0.953613300179287"
"No","2001","no migration background","(1a) inadequately completed","75","0.891742900296721","0.824079533184997","0.959406267408445"
"No","2001","no migration background","(1b) general elementary school","1522","0.970747409442198","0.962430393561828","0.979064425322568"
"No","2001","no migration background","(1c) basic vocational qualification","5109","0.916276128998817","0.908982712002209","0.923569545995425"
"No","2001","no migration background","(2b) intermediate general qualification","437","0.930254944099492","0.907177756992984","0.953332131206"
"No","2001","no migration background","(2a) intermediate vocational","3831","0.870943563717089","0.860941440179116","0.880945687255062"
"No","2001","no migration background","(2c_gen) general maturity certificate","413","0.877755091468676","0.848172262269633","0.907337920667719"
"No","2001","no migration background","(2c_voc) vocational maturity certificate","757","0.831318110237635","0.806974555313615","0.855661665161655"
"No","2001","no migration background","(3a) lower tertiary education","1011","0.815551001781286","0.793542444093784","0.837559559468787"
"No","2001","no migration background","(3b) higher tertiary education","868","0.816519707466561","0.792961797350748","0.840077617582374"
"No","2001","direct migration background","(0) in school","44","1","1","1"
"No","2001","direct migration background","(1a) inadequately completed","227","0.993605939674562","0.983259852778437","1.00395202657069"
"No","2001","direct migration background","(1b) general elementary school","691","0.99170438653664","0.984975615498265","0.998433157575015"
"No","2001","direct migration background","(1c) basic vocational qualification","797","0.965514795777089","0.953033134856189","0.977996456697988"
"No","2001","direct migration background","(2b) intermediate general qualification","68","1","1","1"
"No","2001","direct migration background","(2a) intermediate vocational","142","0.904174759484275","0.857380514362341","0.950969004606208"
"No","2001","direct migration background","(2c_gen) general maturity certificate","133","0.990400572114439","0.974013296680676","1.0067878475482"
"No","2001","direct migration background","(2c_voc) vocational maturity certificate","299","0.950578072896822","0.926411081622337","0.974745064171307"
"No","2001","direct migration background","(3a) lower tertiary education","69","0.883669164609221","0.811586045848488","0.955752283369953"
"No","2001","direct migration background","(3b) higher tertiary education","207","0.906479083465006","0.868178545443038","0.944779621486974"
"No","2001","indirect migration background","(0) in school","55","0.898029854555864","0.820151637356691","0.975908071755036"
"No","2001","indirect migration background","(1a) inadequately completed","9","","",""
"No","2001","indirect migration background","(1b) general elementary school","150","0.955403853031008","0.922908264632602","0.987899441429415"
"No","2001","indirect migration background","(1c) basic vocational qualification","135","0.934817454197607","0.894359013765195","0.975275894630019"
"No","2001","indirect migration background","(2b) intermediate general qualification","79","0.931659110172389","0.876708260290802","0.986609960053976"
"No","2001","indirect migration background","(2a) intermediate vocational","95","0.798441233908788","0.724475393971612","0.872407073845964"
"No","2001","indirect migration background","(2c_gen) general maturity certificate","70","0.978905766804988","0.945480780996385","1.01233075261359"
"No","2001","indirect migration background","(2c_voc) vocational maturity certificate","38","0.823787560076585","0.70990957866384","0.937665541489331"
"No","2001","indirect migration background","(3a) lower tertiary education","10","","",""
"No","2001","indirect migration background","(3b) higher tertiary education","25","","",""
"Yes","2002","no migration background","(0) in school","38","0.074948983692568","0.0481194610668387","0.101778506318297"
"Yes","2002","no migration background","(1a) inadequately completed","5","","",""
"Yes","2002","no migration background","(1b) general elementary school","58","0.0366080833048777","0.0270111660742312","0.0462050005355242"
"Yes","2002","no migration background","(1c) basic vocational qualification","499","0.0926176170860838","0.0848379043979016","0.100397329774266"
"Yes","2002","no migration background","(2b) intermediate general qualification","32","0.0573124509217255","0.0364968616277","0.0781280402157511"
"Yes","2002","no migration background","(2a) intermediate vocational","639","0.145950779606907","0.135549493417053","0.156352065796761"
"Yes","2002","no migration background","(2c_gen) general maturity certificate","78","0.143158413912095","0.113113459679531","0.173203368144659"
"Yes","2002","no migration background","(2c_voc) vocational maturity certificate","182","0.163750633025178","0.140792201469819","0.186709064580536"
"Yes","2002","no migration background","(3a) lower tertiary education","223","0.182542289661973","0.161305458719693","0.203779120604254"
"Yes","2002","no migration background","(3b) higher tertiary education","280","0.204002203331702","0.181716485206954","0.22628792145645"
"Yes","2002","direct migration background","(0) in school","","","",""
"Yes","2002","direct migration background","(1a) inadequately completed","1","","",""
"Yes","2002","direct migration background","(1b) general elementary school","5","","",""
"Yes","2002","direct migration background","(1c) basic vocational qualification","28","","",""
"Yes","2002","direct migration background","(2b) intermediate general qualification","3","","",""
"Yes","2002","direct migration background","(2a) intermediate vocational","15","","",""
"Yes","2002","direct migration background","(2c_gen) general maturity certificate","4","","",""
"Yes","2002","direct migration background","(2c_voc) vocational maturity certificate","18","","",""
"Yes","2002","direct migration background","(3a) lower tertiary education","10","","",""
"Yes","2002","direct migration background","(3b) higher tertiary education","21","","",""
"Yes","2002","indirect migration background","(0) in school","2","","",""
"Yes","2002","indirect migration background","(1a) inadequately completed","","","",""
"Yes","2002","indirect migration background","(1b) general elementary school","5","","",""
"Yes","2002","indirect migration background","(1c) basic vocational qualification","7","","",""
"Yes","2002","indirect migration background","(2b) intermediate general qualification","3","","",""
"Yes","2002","indirect migration background","(2a) intermediate vocational","15","","",""
"Yes","2002","indirect migration background","(2c_gen) general maturity certificate","5","","",""
"Yes","2002","indirect migration background","(2c_voc) vocational maturity certificate","5","","",""
"Yes","2002","indirect migration background","(3a) lower tertiary education","2","","",""
"Yes","2002","indirect migration background","(3b) higher tertiary education","8","","",""
"No","2002","no migration background","(0) in school","332","0.925051016307432","0.898221493681703","0.951880538933161"
"No","2002","no migration background","(1a) inadequately completed","69","0.940777473373735","0.886997677189356","0.994557269558114"
"No","2002","no migration background","(1b) general elementary school","1413","0.963391916695122","0.953794999464476","0.972988833925769"
"No","2002","no migration background","(1c) basic vocational qualification","4835","0.907382382913916","0.899602670225734","0.915162095602098"
"No","2002","no migration background","(2b) intermediate general qualification","447","0.942687549078274","0.921871959784249","0.9635031383723"
"No","2002","no migration background","(2a) intermediate vocational","3787","0.854049220393093","0.843647934203239","0.864450506582947"
"No","2002","no migration background","(2c_gen) general maturity certificate","444","0.856841586087905","0.826796631855341","0.886886540320469"
"No","2002","no migration background","(2c_voc) vocational maturity certificate","816","0.836249366974822","0.813290935419464","0.859207798530181"
"No","2002","no migration background","(3a) lower tertiary education","1048","0.817457710338027","0.796220879395746","0.838694541280307"
"No","2002","no migration background","(3b) higher tertiary education","976","0.795997796668298","0.77371207854355","0.818283514793046"
"No","2002","direct migration background","(0) in school","51","1","1","1"
"No","2002","direct migration background","(1a) inadequately completed","204","0.993165910551946","0.981888162396683","1.00444365870721"
"No","2002","direct migration background","(1b) general elementary school","638","0.987476278529762","0.978880748923705","0.996071808135819"
"No","2002","direct migration background","(1c) basic vocational qualification","727","0.956929514103403","0.942448316638708","0.971410711568098"
"No","2002","direct migration background","(2b) intermediate general qualification","53","0.976835316949669","0.937436975915744","1.01623365798359"
"No","2002","direct migration background","(2a) intermediate vocational","139","0.904272563769612","0.857804388193474","0.95074073934575"
"No","2002","direct migration background","(2c_gen) general maturity certificate","128","0.972065705452549","0.943954608679206","1.00017680222589"
"No","2002","direct migration background","(2c_voc) vocational maturity certificate","273","0.935734155140992","0.907558894119989","0.963909416161995"
"No","2002","direct migration background","(3a) lower tertiary education","68","0.884547253658927","0.813628116517554","0.9554663908003"
"No","2002","direct migration background","(3b) higher tertiary education","209","0.913835602838728","0.877571065845954","0.950100139831501"
"No","2002","indirect migration background","(0) in school","71","0.978096021471728","0.944519251944191","1.01167279099926"
"No","2002","indirect migration background","(1a) inadequately completed","8","","",""
"No","2002","indirect migration background","(1b) general elementary school","117","0.952006298676101","0.914076528712364","0.989936068639837"
"No","2002","indirect migration background","(1c) basic vocational qualification","125","0.970157468439798","0.941130607523704","0.999184329355891"
"No","2002","indirect migration background","(2b) intermediate general qualification","74","0.922680664388266","0.863022141666704","0.982339187109828"
"No","2002","indirect migration background","(2a) intermediate vocational","106","0.859932853753746","0.798094799383723","0.921770908123769"
"No","2002","indirect migration background","(2c_gen) general maturity certificate","67","0.929774705619653","0.870752220608419","0.988797190630888"
"No","2002","indirect migration background","(2c_voc) vocational maturity certificate","37","0.929313048897931","0.851800130528466","1.0068259672674"
"No","2002","indirect migration background","(3a) lower tertiary education","14","","",""
"No","2002","indirect migration background","(3b) higher tertiary education","29","","",""
"Yes","2003","no migration background","(0) in school","40","0.0905836074488017","0.0620616396247561","0.119105575272847"
"Yes","2003","no migration background","(1a) inadequately completed","6","","",""
"Yes","2003","no migration background","(1b) general elementary school","56","0.0390726550300247","0.028878878807288","0.0492664312527613"
"Yes","2003","no migration background","(1c) basic vocational qualification","482","0.0916374811857781","0.0836872103087259","0.0995877520628302"
"Yes","2003","no migration background","(2b) intermediate general qualification","32","0.0528349303512349","0.0326961888904188","0.072973671812051"
"Yes","2003","no migration background","(2a) intermediate vocational","599","0.148553558953868","0.137888760150633","0.159218357757102"
"Yes","2003","no migration background","(2c_gen) general maturity certificate","81","0.120177417631064","0.0917324647509127","0.148622370511216"
"Yes","2003","no migration background","(2c_voc) vocational maturity certificate","188","0.166632138016716","0.143477696615614","0.189786579417819"
"Yes","2003","no migration background","(3a) lower tertiary education","216","0.182690289805203","0.161086834871652","0.204293744738754"
"Yes","2003","no migration background","(3b) higher tertiary education","280","0.237623407883217","0.213611656244738","0.261635159521696"
"Yes","2003","direct migration background","(0) in school","2","","",""
"Yes","2003","direct migration background","(1a) inadequately completed","1","","",""
"Yes","2003","direct migration background","(1b) general elementary school","3","","",""
"Yes","2003","direct migration background","(1c) basic vocational qualification","23","","",""
"Yes","2003","direct migration background","(2b) intermediate general qualification","1","","",""
"Yes","2003","direct migration background","(2a) intermediate vocational","14","","",""
"Yes","2003","direct migration background","(2c_gen) general maturity certificate","4","","",""
"Yes","2003","direct migration background","(2c_voc) vocational maturity certificate","15","","",""
"Yes","2003","direct migration background","(3a) lower tertiary education","8","","",""
"Yes","2003","direct migration background","(3b) higher tertiary education","22","","",""
"Yes","2003","indirect migration background","(0) in school","","","",""
"Yes","2003","indirect migration background","(1a) inadequately completed","","","",""
"Yes","2003","indirect migration background","(1b) general elementary school","5","","",""
"Yes","2003","indirect migration background","(1c) basic vocational qualification","13","","",""
"Yes","2003","indirect migration background","(2b) intermediate general qualification","6","","",""
"Yes","2003","indirect migration background","(2a) intermediate vocational","15","","",""
"Yes","2003","indirect migration background","(2c_gen) general maturity certificate","5","","",""
"Yes","2003","indirect migration background","(2c_voc) vocational maturity certificate","6","","",""
"Yes","2003","indirect migration background","(3a) lower tertiary education","3","","",""
"Yes","2003","indirect migration background","(3b) higher tertiary education","7","","",""
"No","2003","no migration background","(0) in school","349","0.909416392551198","0.880894424727153","0.937938360375244"
"No","2003","no migration background","(1a) inadequately completed","75","0.936046978297907","0.882764435924321","0.989329520671494"
"No","2003","no migration background","(1b) general elementary school","1332","0.960927344969975","0.950733568747239","0.971121121192712"
"No","2003","no migration background","(1c) basic vocational qualification","4577","0.908362518814222","0.90041224793717","0.916312789691274"
"No","2003","no migration background","(2b) intermediate general qualification","442","0.947165069648765","0.927026328187949","0.967303811109581"
"No","2003","no migration background","(2a) intermediate vocational","3673","0.851446441046132","0.840781642242898","0.862111239849367"
"No","2003","no migration background","(2c_gen) general maturity certificate","421","0.879822582368936","0.851377629488784","0.908267535249087"
"No","2003","no migration background","(2c_voc) vocational maturity certificate","807","0.833367861983283","0.810213420582181","0.856522303384386"
"No","2003","no migration background","(3a) lower tertiary education","1013","0.817309710194797","0.795706255261246","0.838913165128348"
"No","2003","no migration background","(3b) higher tertiary education","927","0.762376592116783","0.738364840478304","0.786388343755262"
"No","2003","direct migration background","(0) in school","46","0.969753810161454","0.921303835253312","1.0182037850696"
"No","2003","direct migration background","(1a) inadequately completed","179","0.992235403071863","0.979412727458244","1.00505807868548"
"No","2003","direct migration background","(1b) general elementary school","601","0.993926783990066","0.987730715883869","1.00012285209626"
"No","2003","direct migration background","(1c) basic vocational qualification","700","0.967098579815663","0.954096236248126","0.980100923383199"
"No","2003","direct migration background","(2b) intermediate general qualification","51","0.986559969204551","0.955262566653919","1.01785737175518"
"No","2003","direct migration background","(2a) intermediate vocational","132","0.880891644943525","0.828349956849505","0.933433333037546"
"No","2003","direct migration background","(2c_gen) general maturity certificate","114","0.972193184223754","0.942527183485405","1.0018591849621"
"No","2003","direct migration background","(2c_voc) vocational maturity certificate","257","0.949936511641327","0.924020302085704","0.97585272119695"
"No","2003","direct migration background","(3a) lower tertiary education","65","0.86873907471243","0.791275226187942","0.946202923236918"
"No","2003","direct migration background","(3b) higher tertiary education","198","0.913597860476079","0.876471999340025","0.950723721612133"
"No","2003","indirect migration background","(0) in school","57","1","1","1"
"No","2003","indirect migration background","(1a) inadequately completed","8","","",""
"No","2003","indirect migration background","(1b) general elementary school","112","0.940420296280278","0.897529379768714","0.983311212791843"
"No","2003","indirect migration background","(1c) basic vocational qualification","120","0.920595058953827","0.874645605063184","0.96654451284447"
"No","2003","indirect migration background","(2b) intermediate general qualification","65","0.90744122772317","0.840029266440244","0.974853189006096"
"No","2003","indirect migration background","(2a) intermediate vocational","111","0.862946057709216","0.802897800246813","0.922994315171619"
"No","2003","indirect migration background","(2c_gen) general maturity certificate","67","0.942148357635997","0.888222217386565","0.996074497885428"
"No","2003","indirect migration background","(2c_voc) vocational maturity certificate","43","0.769458306149444","0.651530196517045","0.887386415781843"
"No","2003","indirect migration background","(3a) lower tertiary education","10","","",""
"No","2003","indirect migration background","(3b) higher tertiary education","31","0.81859928821738","0.696078024535252","0.941120551899507"
"Yes","2004","no migration background","(0) in school","37","0.0912724182521976","0.0618077407150536","0.120737095789342"
"Yes","2004","no migration background","(1a) inadequately completed","6","","",""
"Yes","2004","no migration background","(1b) general elementary school","51","0.0413901960241206","0.0304907496841118","0.0522896423641293"
"Yes","2004","no migration background","(1c) basic vocational qualification","500","0.0993315621031531","0.090921470113098","0.107741654093208"
"Yes","2004","no migration background","(2b) intermediate general qualification","48","0.101627761610136","0.0741050045287091","0.129150518691563"
"Yes","2004","no migration background","(2a) intermediate vocational","603","0.150924310544705","0.140044873226386","0.161803747863025"
"Yes","2004","no migration background","(2c_gen) general maturity certificate","93","0.145820655559617","0.115190651190931","0.176450659928303"
"Yes","2004","no migration background","(2c_voc) vocational maturity certificate","207","0.183486665712786","0.159375712023951","0.207597619401621"
"Yes","2004","no migration background","(3a) lower tertiary education","239","0.212731848356189","0.189777347305295","0.235686349407083"
"Yes","2004","no migration background","(3b) higher tertiary education","286","0.234285823317879","0.210180548035209","0.258391098600549"
"Yes","2004","direct migration background","(0) in school","4","","",""
"Yes","2004","direct migration background","(1a) inadequately completed","","","",""
"Yes","2004","direct migration background","(1b) general elementary school","8","","",""
"Yes","2004","direct migration background","(1c) basic vocational qualification","22","","",""
"Yes","2004","direct migration background","(2b) intermediate general qualification","3","","",""
"Yes","2004","direct migration background","(2a) intermediate vocational","15","","",""
"Yes","2004","direct migration background","(2c_gen) general maturity certificate","5","","",""
"Yes","2004","direct migration background","(2c_voc) vocational maturity certificate","15","","",""
"Yes","2004","direct migration background","(3a) lower tertiary education","8","","",""
"Yes","2004","direct migration background","(3b) higher tertiary education","23","","",""
"Yes","2004","indirect migration background","(0) in school","5","","",""
"Yes","2004","indirect migration background","(1a) inadequately completed","","","",""
"Yes","2004","indirect migration background","(1b) general elementary school","5","","",""
"Yes","2004","indirect migration background","(1c) basic vocational qualification","13","","",""
