"ple0098_v5","year","bula_h","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2000","Lower Saxony","Female","95","0.101523464371329","0.0823583909190702","0.120688537823587"
"Yes","2000","Bremen","Male","3","","",""
"Yes","2000","Bremen","Female","7","","",""
"Yes","2000","North Rhine-Westphalia","Male","266","0.13357977753986","0.119063959637321","0.148095595442399"
"Yes","2000","North Rhine-Westphalia","Female","323","0.14377282568418","0.129721146045375","0.157824505322985"
"Yes","2000","Hesse","Male","60","0.10283763150551","0.0801737076248433","0.125501555386176"
"Yes","2000","Hesse","Female","62","0.0844091044891534","0.065023474261535","0.103794734716772"
"Yes","2000","Rhineland-Palatinate,Saarland","Male","39","0.071169993828877","0.050118284609416","0.092221703048338"
"Yes","2000","Rhineland-Palatinate,Saarland","Female","42","0.0643042926355703","0.0462359314565957","0.0823726538145449"
"Yes","2000","Baden-Württemberg","Male","115","0.11234504611307","0.094559177759878","0.130130914466262"
"Yes","2000","Baden-Württemberg","Female","150","0.119105270970221","0.102077092735861","0.136133449204582"
"Yes","2000","Bavaria","Male","136","0.100356463485686","0.0841653739178491","0.116547553053524"
"Yes","2000","Bavaria","Female","198","0.132828297696601","0.115997471766589","0.149659123626613"
"Yes","2000","Berlin","Male","21","","",""
"Yes","2000","Berlin","Female","29","","",""
"Yes","2000","Brandenburg","Male","26","","",""
"Yes","2000","Brandenburg","Female","18","","",""
"Yes","2000","Mecklenburg-Western Pomerania","Male","7","","",""
"Yes","2000","Mecklenburg-Western Pomerania","Female","5","","",""
"Yes","2000","Saxony","Male","27","","",""
"Yes","2000","Saxony","Female","39","0.0515799735142043","0.0369997939101976","0.066160153118211"
"Yes","2000","Saxony-Anhalt","Male","15","","",""
"Yes","2000","Saxony-Anhalt","Female","14","","",""
"Yes","2000","Thuringia","Male","20","","",""
"Yes","2000","Thuringia","Female","24","","",""
"No","2000","Schleswig-Holstein","Male","242","0.918236424619645","0.885058085590399","0.951414763648891"
"No","2000","Schleswig-Holstein","Female","302","0.927692627835912","0.899706456801237","0.955678798870586"
"No","2000","Hamburg","Male","102","0.943429478892885","0.900257539444651","0.986601418341118"
"No","2000","Hamburg","Female","136","0.940471119646915","0.9022215976149","0.978720641678931"
"No","2000","Lower Saxony","Male","777","0.905593214715479","0.885936686559777","0.925249742871181"
"No","2000","Lower Saxony","Female","859","0.898476535628671","0.879311462176413","0.91764160908093"
"No","2000","Bremen","Male","74","0.963393022557544","0.921447422412141","1.00533862270295"
"No","2000","Bremen","Female","91","0.917446762072939","0.862959806167128","0.97193371797875"
"No","2000","North Rhine-Westphalia","Male","1844","0.86642022246014","0.851904404557601","0.880936040362679"
"No","2000","North Rhine-Westphalia","Female","2072","0.85622717431582","0.842175494677015","0.870278853954625"
"No","2000","Hesse","Male","630","0.89716236849449","0.874498444613824","0.919826292375157"
"No","2000","Hesse","Female","728","0.915590895510847","0.896205265283228","0.934976525738465"
"No","2000","Rhineland-Palatinate,Saarland","Male","534","0.928830006171123","0.907778296951662","0.949881715390584"
"No","2000","Rhineland-Palatinate,Saarland","Female","666","0.93569570736443","0.917627346185455","0.953764068543404"
"No","2000","Baden-Württemberg","Male","1096","0.88765495388693","0.869869085533738","0.905440822240122"
"No","2000","Baden-Württemberg","Female","1240","0.880894729029779","0.863866550795418","0.897922907264139"
"No","2000","Bavaria","Male","1187","0.899643536514314","0.883452446946476","0.915834626082151"
"No","2000","Bavaria","Female","1364","0.867171702303399","0.850340876373387","0.884002528233411"
"No","2000","Berlin","Male","306","0.93955844291283","0.91372966033619","0.96538722548947"
"No","2000","Berlin","Female","363","0.935295545357911","0.910942875510074","0.959648215205748"
"No","2000","Brandenburg","Male","436","0.945524343373777","0.924829378317276","0.966219308430279"
"No","2000","Brandenburg","Female","487","0.972297407261415","0.957983368975262","0.986611445547567"
"No","2000","Mecklenburg-Western Pomerania","Male","228","0.973085123327664","0.952393918806682","0.993776327848647"
"No","2000","Mecklenburg-Western Pomerania","Female","284","0.968187473268737","0.947953648637664","0.988421297899809"
"No","2000","Saxony","Male","761","0.959394327925607","0.945613449321254","0.973175206529961"
"No","2000","Saxony","Female","845","0.948420026485796","0.933839846881789","0.963000206089802"
"No","2000","Saxony-Anhalt","Male","443","0.960634052344092","0.942824430584302","0.978443674103882"
"No","2000","Saxony-Anhalt","Female","545","0.96775465333564","0.953110699660296","0.982398607010983"
"No","2000","Thuringia","Male","463","0.955668487016201","0.93731221709691","0.974024756935491"
"No","2000","Thuringia","Female","497","0.953402380167544","0.935303603867867","0.97150115646722"
"Yes","2001","Schleswig-Holstein","Male","24","","",""
"Yes","2001","Schleswig-Holstein","Female","22","","",""
"Yes","2001","Hamburg","Male","9","","",""
"Yes","2001","Hamburg","Female","9","","",""
"Yes","2001","Lower Saxony","Male","76","0.114744604270556","0.0922914149535066","0.137197793587605"
"Yes","2001","Lower Saxony","Female","78","0.0875322911908095","0.0687312834270734","0.106333298954546"
"Yes","2001","Bremen","Male","5","","",""
"Yes","2001","Bremen","Female","6","","",""
"Yes","2001","North Rhine-Westphalia","Male","215","0.129902670531303","0.114701478038968","0.145103863023639"
"Yes","2001","North Rhine-Westphalia","Female","291","0.140379906647365","0.125737043614668","0.155022769680062"
"Yes","2001","Hesse","Male","46","0.0855750135223095","0.0631357573840745","0.108014269660545"
"Yes","2001","Hesse","Female","59","0.0856732111025393","0.0648951534667507","0.106451268738328"
"Yes","2001","Rhineland-Palatinate,Saarland","Male","34","0.0676899311171373","0.0462012053937491","0.0891786568405256"
"Yes","2001","Rhineland-Palatinate,Saarland","Female","41","0.0642156095456691","0.0452975565974531","0.083133662493885"
"Yes","2001","Baden-Württemberg","Male","107","0.122789142140197","0.103059762004194","0.1425185222762"
"Yes","2001","Baden-Württemberg","Female","155","0.148099707474869","0.128313650618282","0.167885764331455"
"Yes","2001","Bavaria","Male","115","0.0956870064287825","0.0789385500953697","0.112435462762195"
"Yes","2001","Bavaria","Female","178","0.133037256008689","0.115538761633144","0.150535750384235"
"Yes","2001","Berlin","Male","23","","",""
"Yes","2001","Berlin","Female","36","0.081769589711944","0.0539618672459484","0.109577312177939"
"Yes","2001","Brandenburg","Male","25","","",""
"Yes","2001","Brandenburg","Female","19","","",""
"Yes","2001","Mecklenburg-Western Pomerania","Male","7","","",""
"Yes","2001","Mecklenburg-Western Pomerania","Female","6","","",""
"Yes","2001","Saxony","Male","40","0.0502152974732138","0.0343403794721641","0.0660902154742635"
"Yes","2001","Saxony","Female","37","0.0419722391606877","0.0282723110020972","0.0556721673192782"
"Yes","2001","Saxony-Anhalt","Male","18","","",""
"Yes","2001","Saxony-Anhalt","Female","18","","",""
"Yes","2001","Thuringia","Male","12","","",""
"Yes","2001","Thuringia","Female","16","","",""
"No","2001","Schleswig-Holstein","Male","222","0.896128305745154","0.858002920310942","0.934253691179367"
"No","2001","Schleswig-Holstein","Female","285","0.923609794313137","0.893897101853103","0.953322486773171"
"No","2001","Hamburg","Male","87","0.93291450631933","0.882871002705863","0.982958009932797"
"No","2001","Hamburg","Female","121","0.958353696621887","0.924011540731648","0.992695852512126"
"No","2001","Lower Saxony","Male","698","0.885255395729444","0.862802206412395","0.907708585046494"
"No","2001","Lower Saxony","Female","790","0.912467708809191","0.893666701045454","0.931268716572927"
"No","2001","Bremen","Male","60","0.911616288493676","0.842610810520987","0.980621766466365"
"No","2001","Bremen","Female","76","0.920966764157641","0.862572791061891","0.979360737253392"
"No","2001","North Rhine-Westphalia","Male","1664","0.870097329468697","0.854896136976361","0.885298521961032"
"No","2001","North Rhine-Westphalia","Female","1871","0.859620093352635","0.844977230319938","0.874262956385332"
"No","2001","Hesse","Male","551","0.91442498647769","0.891985730339455","0.936864242615925"
"No","2001","Hesse","Female","638","0.914326788897461","0.893548731261672","0.935104846533249"
"No","2001","Rhineland-Palatinate,Saarland","Male","491","0.932310068882863","0.910821343159474","0.953798794606251"
"No","2001","Rhineland-Palatinate,Saarland","Female","604","0.935784390454331","0.916866337506115","0.954702443402547"
"No","2001","Baden-Württemberg","Male","956","0.877210857859803","0.8574814777238","0.896940237995806"
"No","2001","Baden-Württemberg","Female","1083","0.851900292525131","0.832114235668545","0.871686349381718"
"No","2001","Bavaria","Male","1070","0.904312993571218","0.887564537237805","0.92106144990463"
"No","2001","Bavaria","Female","1269","0.866962743991311","0.849464249615765","0.884461238366856"
"No","2001","Berlin","Male","301","0.930344188764342","0.902625282630255","0.958063094898429"
"No","2001","Berlin","Female","337","0.918230410288056","0.890422687822061","0.946038132754052"
"No","2001","Brandenburg","Male","407","0.929479209298247","0.90533657565801","0.953621842938485"
"No","2001","Brandenburg","Female","458","0.9671371112742","0.951138370785339","0.983135851763061"
"No","2001","Mecklenburg-Western Pomerania","Male","203","0.967949269943464","0.944126969085838","0.991771570801089"
"No","2001","Mecklenburg-Western Pomerania","Female","259","0.976255070489163","0.95792381342618","0.994586327552146"
"No","2001","Saxony","Male","687","0.949784702526786","0.933909784525736","0.965659620527836"
"No","2001","Saxony","Female","786","0.958027760839312","0.944327832680722","0.971727688997903"
"No","2001","Saxony-Anhalt","Male","433","0.962832231418065","0.945373271241922","0.980291191594208"
"No","2001","Saxony-Anhalt","Female","493","0.963517517933519","0.947261669650658","0.97977336621638"
"No","2001","Thuringia","Male","431","0.973402243954315","0.958418687840761","0.988385800067868"
"No","2001","Thuringia","Female","456","0.976607640540273","0.962972043294173","0.990243237786374"
"Yes","2002","Schleswig-Holstein","Male","31","0.0984390383545404","0.0629047649745578","0.133973311734523"
"Yes","2002","Schleswig-Holstein","Female","32","0.0825400610339015","0.052575940620209","0.112504181447594"
"Yes","2002","Hamburg","Male","13","","",""
"Yes","2002","Hamburg","Female","14","","",""
"Yes","2002","Lower Saxony","Male","93","0.107674901523463","0.0858658877734483","0.129483915273478"
"Yes","2002","Lower Saxony","Female","104","0.0923883755216973","0.0734804281080479","0.111296322935347"
"Yes","2002","Bremen","Male","3","","",""
"Yes","2002","Bremen","Female","9","","",""
"Yes","2002","North Rhine-Westphalia","Male","242","0.120008618186953","0.105303209422287","0.13471402695162"
"Yes","2002","North Rhine-Westphalia","Female","348","0.142205766623577","0.127517574460613","0.156893958786541"
"Yes","2002","Hesse","Male","69","0.0940891504689674","0.0709207699396949","0.11725753099824"
"Yes","2002","Hesse","Female","83","0.098566433845672","0.0770170028998324","0.120115864791512"
"Yes","2002","Rhineland-Palatinate,Saarland","Male","46","0.0692395073267887","0.0474827984027853","0.0909962162507922"
"Yes","2002","Rhineland-Palatinate,Saarland","Female","65","0.0753877656692694","0.0548851803114321","0.0958903510271066"
"Yes","2002","Baden-Württemberg","Male","152","0.141558961832102","0.121042321837028","0.162075601827177"
"Yes","2002","Baden-Württemberg","Female","188","0.150738049402891","0.131075636388792","0.17040046241699"
"Yes","2002","Bavaria","Male","176","0.130525124745006","0.111448775756915","0.149601473733097"
"Yes","2002","Bavaria","Female","237","0.168929088673271","0.149610053736101","0.188248123610441"
"Yes","2002","Berlin","Male","21","","",""
"Yes","2002","Berlin","Female","28","","",""
"Yes","2002","Brandenburg","Male","27","","",""
"Yes","2002","Brandenburg","Female","28","","",""
"Yes","2002","Mecklenburg-Western Pomerania","Male","7","","",""
"Yes","2002","Mecklenburg-Western Pomerania","Female","14","","",""
"Yes","2002","Saxony","Male","45","0.0472911961808001","0.0319039946691718","0.0626783976924284"
"Yes","2002","Saxony","Female","39","0.0484620368868392","0.0336278398708515","0.0632962339028268"
"Yes","2002","Saxony-Anhalt","Male","23","","",""
"Yes","2002","Saxony-Anhalt","Female","23","","",""
"Yes","2002","Thuringia","Male","18","","",""
"Yes","2002","Thuringia","Female","18","","",""
"No","2002","Schleswig-Holstein","Male","239","0.90156096164546","0.866026688265477","0.937095235025442"
"No","2002","Schleswig-Holstein","Female","292","0.917459938966098","0.887495818552406","0.947424059379791"
"No","2002","Hamburg","Male","100","0.918740840412055","0.868362768311454","0.969118912512656"
"No","2002","Hamburg","Female","139","0.956759873774782","0.924530836809761","0.988988910739803"
"No","2002","Lower Saxony","Male","683","0.892325098476537","0.870516084726522","0.914134112226552"
"No","2002","Lower Saxony","Female","797","0.907611624478303","0.888703677064653","0.926519571891952"
"No","2002","Bremen","Male","64","0.974105123973736","0.936075632190096","1.01213461575738"
"No","2002","Bremen","Female","78","0.91937124854857","0.862160333895332","0.976582163201808"
"No","2002","North Rhine-Westphalia","Male","1634","0.879991381813047","0.865285973048381","0.894696790577713"
"No","2002","North Rhine-Westphalia","Female","1824","0.857794233376423","0.843106041213459","0.872482425539387"
"No","2002","Hesse","Male","541","0.905910849531033","0.88274246900176","0.929079230060305"
"No","2002","Hesse","Female","652","0.901433566154328","0.879884135208488","0.922982997100168"
"No","2002","Rhineland-Palatinate,Saarland","Male","477","0.930760492673211","0.909003783749208","0.952517201597215"
"No","2002","Rhineland-Palatinate,Saarland","Female","572","0.924612234330731","0.904109648972893","0.945114819688568"
"No","2002","Baden-Württemberg","Male","957","0.858441038167898","0.837924398172823","0.878957678162972"
"No","2002","Baden-Württemberg","Female","1084","0.849261950597109","0.82959953758301","0.868924363611208"
"No","2002","Bavaria","Male","1022","0.869474875254994","0.850398526266903","0.888551224243086"
"No","2002","Bavaria","Female","1208","0.831070911326729","0.811751876389559","0.8503899462639"
"No","2002","Berlin","Male","290","0.940274700184902","0.913937206701131","0.966612193668673"
"No","2002","Berlin","Female","339","0.941342528786596","0.917301637365284","0.965383420207909"
"No","2002","Brandenburg","Male","409","0.917592356390591","0.891780841873299","0.943403870907882"
"No","2002","Brandenburg","Female","453","0.954149784655122","0.935457838512183","0.972841730798062"
"No","2002","Mecklenburg-Western Pomerania","Male","196","0.963670145476191","0.9379308826909","0.989409408261482"
"No","2002","Mecklenburg-Western Pomerania","Female","249","0.963760235016548","0.941173814756526","0.98634665527657"
"No","2002","Saxony","Male","686","0.9527088038192","0.937321602307572","0.968096005330828"
"No","2002","Saxony","Female","766","0.951537963113161","0.936703766097173","0.966372160129149"
"No","2002","Saxony-Anhalt","Male","399","0.949493120683684","0.92859953182208","0.970386709545287"
"No","2002","Saxony-Anhalt","Female","468","0.962958332769935","0.946252952899328","0.979663712640542"
"No","2002","Thuringia","Male","422","0.974611253679526","0.95991325879837","0.989309248560682"
"No","2002","Thuringia","Female","444","0.973633633690912","0.959023640014695","0.98824362736713"
"Yes","2003","Schleswig-Holstein","Male","26","","",""
"Yes","2003","Schleswig-Holstein","Female","26","","",""
"Yes","2003","Hamburg","Male","10","","",""
"Yes","2003","Hamburg","Female","15","","",""
"Yes","2003","Lower Saxony","Male","81","0.105020600815427","0.0830353432071657","0.127005858423688"
"Yes","2003","Lower Saxony","Female","108","0.114209998211803","0.093171328172095","0.135248668251511"
"Yes","2003","Bremen","Male","3","","",""
"Yes","2003","Bremen","Female","9","","",""
"Yes","2003","North Rhine-Westphalia","Male","258","0.129228397658695","0.113765887913961","0.144690907403429"
"Yes","2003","North Rhine-Westphalia","Female","341","0.151099497123796","0.135671028444684","0.166527965802908"
"Yes","2003","Hesse","Male","71","0.0856899749362788","0.0627716681424753","0.108608281730082"
"Yes","2003","Hesse","Female","71","0.0894674257436523","0.0676095649660934","0.111325286521211"
"Yes","2003","Rhineland-Palatinate,Saarland","Male","48","0.0880816158453024","0.0635565585540666","0.112606673136538"
"Yes","2003","Rhineland-Palatinate,Saarland","Female","65","0.0962282168991611","0.0731450746019162","0.119311359196406"
"Yes","2003","Baden-Württemberg","Male","143","0.133096660044116","0.112521478923553","0.153671841164678"
"Yes","2003","Baden-Württemberg","Female","172","0.140344900995317","0.120972874550739","0.159716927439895"
"Yes","2003","Bavaria","Male","160","0.11753670569922","0.098725614977601","0.136347796420839"
"Yes","2003","Bavaria","Female","231","0.167125222116608","0.147665277647867","0.186585166585349"
"Yes","2003","Berlin","Male","18","","",""
"Yes","2003","Berlin","Female","36","0.0929715418335681","0.0626782679290047","0.123264815738132"
"Yes","2003","Brandenburg","Male","23","","",""
"Yes","2003","Brandenburg","Female","31","0.0467714320205373","0.027842635572983","0.0657002284680915"
"Yes","2003","Mecklenburg-Western Pomerania","Male","8","","",""
"Yes","2003","Mecklenburg-Western Pomerania","Female","16","","",""
"Yes","2003","Saxony","Male","39","0.0481956001818477","0.0324855875002264","0.063905612863469"
"Yes","2003","Saxony","Female","45","0.0520278650882254","0.0364624572973736","0.0675932728790772"
"Yes","2003","Saxony-Anhalt","Male","25","","",""
"Yes","2003","Saxony-Anhalt","Female","27","","",""
"Yes","2003","Thuringia","Male","18","","",""
"Yes","2003","Thuringia","Female","22","","",""
"No","2003","Schleswig-Holstein","Male","229","0.896533476312698","0.85915159235653","0.933915360268866"
"No","2003","Schleswig-Holstein","Female","277","0.931864633630688","0.903492663803779","0.960236603457597"
"No","2003","Hamburg","Male","97","0.92064207049882","0.86942711793775","0.971857023059891"
"No","2003","Hamburg","Female","123","0.929430494561691","0.886701217649122","0.97215977147426"
"No","2003","Lower Saxony","Male","666","0.894979399184573","0.872994141576312","0.916964656792834"
"No","2003","Lower Saxony","Female","770","0.885790001788197","0.864751331748489","0.906828671827905"
"No","2003","Bremen","Male","63","0.974425179014856","0.936339941071106","1.01251041695861"
"No","2003","Bremen","Female","76","0.918076966240838","0.859775270426584","0.976378662055091"
"No","2003","North Rhine-Westphalia","Male","1550","0.870771602341305","0.855309092596571","0.886234112086039"
"No","2003","North Rhine-Westphalia","Female","1729","0.848900502876204","0.833472034197092","0.864328971555316"
"No","2003","Hesse","Male","502","0.914310025063721","0.891391718269918","0.937228331857525"
"No","2003","Hesse","Female","584","0.910532574256348","0.888674713478789","0.932390435033907"
"No","2003","Rhineland-Palatinate,Saarland","Male","465","0.911918384154698","0.887393326863462","0.936443441445933"
"No","2003","Rhineland-Palatinate,Saarland","Female","562","0.903771783100839","0.880688640803594","0.926854925398084"
"No","2003","Baden-Württemberg","Male","904","0.866903339955884","0.846328158835322","0.887478521076447"
"No","2003","Baden-Württemberg","Female","1063","0.859655099004683","0.840283072560105","0.879027125449261"
"No","2003","Bavaria","Male","966","0.88246329430078","0.863652203579162","0.901274385022399"
"No","2003","Bavaria","Female","1181","0.832874777883392","0.813414833414651","0.852334722352133"
"No","2003","Berlin","Male","308","0.947072245025167","0.922768534591371","0.971375955458963"
"No","2003","Berlin","Female","317","0.907028458166432","0.876735184261868","0.937321732070995"
"No","2003","Brandenburg","Male","393","0.949355192507388","0.928284284400142","0.970426100614633"
"No","2003","Brandenburg","Female","447","0.953228567979463","0.934299771531908","0.972157364427017"
"No","2003","Mecklenburg-Western Pomerania","Male","202","0.960949512495641","0.934749472214343","0.987149552776938"
"No","2003","Mecklenburg-Western Pomerania","Female","250","0.938523515251127","0.909657664274172","0.967389366228082"
"No","2003","Saxony","Male","675","0.951804399818152","0.936094387136531","0.967514412499774"
"No","2003","Saxony","Female","737","0.947972134911775","0.932406727120923","0.963537542702626"
"No","2003","Saxony-Anhalt","Male","378","0.950014970295947","0.928739421583566","0.971290519008327"
"No","2003","Saxony-Anhalt","Female","451","0.939342195659495","0.91794339656156","0.960740994757429"
"No","2003","Thuringia","Male","404","0.976899998351656","0.962567466175893","0.991232530527418"
"No","2003","Thuringia","Female","438","0.959973284703272","0.942060062016721","0.977886507389823"
"Yes","2004","Schleswig-Holstein","Male","25","","",""
"Yes","2004","Schleswig-Holstein","Female","24","","",""
"Yes","2004","Hamburg","Male","14","","",""
"Yes","2004","Hamburg","Female","16","","",""
"Yes","2004","Lower Saxony","Male","93","0.119526236169904","0.0960574897308111","0.142994982608997"
"Yes","2004","Lower Saxony","Female","113","0.102294385859643","0.0821464261800426","0.122442345539244"
"Yes","2004","Bremen","Male","5","","",""
"Yes","2004","Bremen","Female","12","","",""
"Yes","2004","North Rhine-Westphalia","Male","269","0.132381896375764","0.116503462368145","0.148260330383382"
"Yes","2004","North Rhine-Westphalia","Female","357","0.162575208377244","0.146448634059819","0.178701782694668"
"Yes","2004","Hesse","Male","65","0.0978879780729347","0.0728009842625052","0.122974971883364"
"Yes","2004","Hesse","Female","66","0.0833881270483932","0.0618167306123105","0.104959523484476"
"Yes","2004","Rhineland-Palatinate,Saarland","Male","45","0.0969091152327189","0.0707951588101547","0.123023071655283"
"Yes","2004","Rhineland-Palatinate,Saarland","Female","69","0.102363149174936","0.0782487802219785","0.126477518127894"
"Yes","2004","Baden-Württemberg","Male","152","0.143068894763463","0.121623024350211","0.164514765176715"
"Yes","2004","Baden-Württemberg","Female","183","0.154437856555082","0.133974855332555","0.174900857777609"
"Yes","2004","Bavaria","Male","160","0.142988378705401","0.122376293108279","0.163600464302522"
"Yes","2004","Bavaria","Female","231","0.173556540604658","0.153406068151741","0.193707013057575"
"Yes","2004","Berlin","Male","22","","",""
"Yes","2004","Berlin","Female","32","0.0799366438735508","0.0516860044315197","0.108187283315582"
"Yes","2004","Brandenburg","Male","29","","",""
"Yes","2004","Brandenburg","Female","33","0.0622705921689572","0.0402596890949936","0.0842814952429209"
"Yes","2004","Mecklenburg-Western Pomerania","Male","6","","",""
"Yes","2004","Mecklenburg-Western Pomerania","Female","17","","",""
"Yes","2004","Saxony","Male","59","0.0694399709001229","0.0504176722727804","0.0884622695274654"
"Yes","2004","Saxony","Female","52","0.0565923781164232","0.0402719558666415","0.0729128003662049"
"Yes","2004","Saxony-Anhalt","Male","16","","",""
"Yes","2004","Saxony-Anhalt","Female","30","0.0435887240623229","0.0252848269966842","0.0618926211279615"
"Yes","2004","Thuringia","Male","27","","",""
"Yes","2004","Thuringia","Female","25","","",""
"No","2004","Schleswig-Holstein","Male","222","0.899789986854983","0.86234223486375","0.937237738846217"
"No","2004","Schleswig-Holstein","Female","282","0.948067210367389","0.92320568523639","0.972928735498388"
"No","2004","Hamburg","Male","95","0.895320832974832","0.837849096914058","0.952792569035607"
"No","2004","Hamburg","Female","117","0.949927884490947","0.912862751828242","0.986993017153653"
"No","2004","Lower Saxony","Male","641","0.880473763830096","0.857005017391003","0.903942510269189"
"No","2004","Lower Saxony","Female","756","0.897705614140356","0.877557654460756","0.917853573819957"
"No","2004","Bremen","Male","59","0.940074901939316","0.881925706552337","0.998224097326295"
"No","2004","Bremen","Female","72","0.88343977643087","0.814816395900238","0.952063156961503"
"No","2004","North Rhine-Westphalia","Male","1481","0.867618103624236","0.851739669616618","0.883496537631855"
"No","2004","North Rhine-Westphalia","Female","1654","0.837424791622756","0.821298217305332","0.853551365940181"
"No","2004","Hesse","Male","474","0.902112021927065","0.877025028116636","0.927199015737495"
"No","2004","Hesse","Female","565","0.916611872951607","0.895040476515524","0.938183269387689"
"No","2004","Rhineland-Palatinate,Saarland","Male","448","0.903090884767281","0.876976928344717","0.929204841189845"
"No","2004","Rhineland-Palatinate,Saarland","Female","538","0.897636850825064","0.873522481872106","0.921751219778021"
