"ple0098_v5","year","e11102","migback","n","percent","lower_confidence","upper_confidence"
"Yes","2010","Not Employed","no migration background","1016","0.161308677174998","0.152060983988127","0.170556370361869"
"Yes","2010","Not Employed","direct migration background","76","0.062958633470407","0.0489327934889922","0.0769844734518219"
"Yes","2010","Not Employed","indirect migration background","21","","",""
"Yes","2010","Employed","no migration background","2795","0.260681095048297","0.252437339984088","0.268924850112507"
"Yes","2010","Employed","direct migration background","175","0.135000126751522","0.118192826752144","0.151807426750901"
"Yes","2010","Employed","indirect migration background","141","0.193541655873088","0.164823332483915","0.222259979262261"
"No","2010","Not Employed","no migration background","5061","0.838691322825002","0.829443629638131","0.847939016011873"
"No","2010","Not Employed","direct migration background","1076","0.937041366529593","0.923015526548178","0.951067206511008"
"No","2010","Not Employed","indirect migration background","308","0.94317310253948","0.918156817397263","0.968189387681698"
"No","2010","Employed","no migration background","8099","0.739318904951703","0.731075149887493","0.747562660015912"
"No","2010","Employed","direct migration background","1413","0.864999873248478","0.848192573249099","0.881807173247856"
"No","2010","Employed","indirect migration background","586","0.806458344126912","0.777740020737739","0.835176667516085"
"Yes","2011","Not Employed","no migration background","1098","0.176158101122973","0.166586357720872","0.185729844525073"
"Yes","2011","Not Employed","direct migration background","61","0.0734226145770562","0.0554158228612211","0.0914294062928913"
"Yes","2011","Not Employed","indirect migration background","17","","",""
"Yes","2011","Employed","no migration background","2453","0.269027501451843","0.259885595359475","0.27816940754421"
"Yes","2011","Employed","direct migration background","135","0.11482111276961","0.0958427017041457","0.133799523835074"
"Yes","2011","Employed","indirect migration background","101","0.192941654990244","0.15882770586199","0.227055604118498"
"No","2011","Not Employed","no migration background","4987","0.823841898877027","0.814270155474927","0.833413642279128"
"No","2011","Not Employed","direct migration background","745","0.926577385422944","0.908570593707109","0.944584177138779"
"No","2011","Not Employed","indirect migration background","193","0.914530516588376","0.876717346858419","0.952343686318333"
"No","2011","Employed","no migration background","6586","0.730972498548157","0.72183059245579","0.740114404640524"
"No","2011","Employed","direct migration background","949","0.88517888723039","0.866200476164926","0.904157298295854"
"No","2011","Employed","indirect migration background","413","0.807058345009756","0.772944395881502","0.84117229413801"
"Yes","2012","Not Employed","no migration background","1351","0.182148776017512","0.173266799962571","0.191030752072453"
"Yes","2012","Not Employed","direct migration background","71","0.0627914340200612","0.0485588315540283","0.077024036486094"
"Yes","2012","Not Employed","indirect migration background","26","","",""
"Yes","2012","Employed","no migration background","3533","0.278469208673337","0.270657062572602","0.286281354774072"
"Yes","2012","Employed","direct migration background","204","0.108186120913501","0.0937805573939284","0.122591684433073"
"Yes","2012","Employed","indirect migration background","174","0.235636971134142","0.207055937036866","0.264218005231418"
"No","2012","Not Employed","no migration background","5903","0.817851223982488","0.808969247927546","0.826733200037429"
"No","2012","Not Employed","direct migration background","1045","0.937208565979939","0.922975963513906","0.951441168445972"
"No","2012","Not Employed","indirect migration background","297","0.929727319337724","0.901852126113893","0.957602512561555"
"No","2012","Employed","no migration background","9114","0.721530791326663","0.713718645225928","0.729342937427398"
"No","2012","Employed","direct migration background","1582","0.891813879086499","0.877408315566927","0.906219442606072"
"No","2012","Employed","indirect migration background","673","0.764363028865858","0.735781994768582","0.792944062963134"
"Yes","2013","Not Employed","no migration background","1194","0.202595864206824","0.192064064885788","0.213127663527861"
"Yes","2013","Not Employed","direct migration background","58","0.087766633246746","0.0660308500816842","0.109502416411808"
"Yes","2013","Not Employed","indirect migration background","18","","",""
"Yes","2013","Employed","no migration background","2479","0.291386678966545","0.28162154656755","0.301151811365541"
"Yes","2013","Employed","direct migration background","134","0.135680798486761","0.113904575029707","0.157457021943814"
"Yes","2013","Employed","indirect migration background","113","0.293917788861558","0.253745628514182","0.334089949208934"
"No","2013","Not Employed","no migration background","4401","0.797404135793176","0.786872336472139","0.807935935114212"
"No","2013","Not Employed","direct migration background","593","0.912233366753254","0.890497583588192","0.933969149918316"
"No","2013","Not Employed","indirect migration background","135","0.874698751742944","0.822241041761768","0.92715646172412"
"No","2013","Employed","no migration background","5839","0.708613321033455","0.698848188634459","0.71837845343245"
"No","2013","Employed","direct migration background","816","0.864319201513239","0.842542978056186","0.886095424970293"
"No","2013","Employed","indirect migration background","381","0.706082211138442","0.665910050791066","0.746254371485818"
"Yes","2014","Not Employed","no migration background","1343","0.214298350517706","0.204056355095423","0.224540345939988"
"Yes","2014","Not Employed","direct migration background","79","0.0727793390163052","0.0603128065748121","0.0852458714577983"
"Yes","2014","Not Employed","indirect migration background","41","0.0683536145224593","0.046122983743406","0.0905842453015126"
"Yes","2014","Employed","no migration background","3375","0.303044024025186","0.294471683365466","0.311616364684906"
"Yes","2014","Employed","direct migration background","339","0.10696022419166","0.0963833406432853","0.117537107740035"
"Yes","2014","Employed","indirect migration background","203","0.210187165560931","0.186979180832852","0.233395150289011"
"No","2014","Not Employed","no migration background","4823","0.785701649482294","0.775459654060012","0.795943644904577"
"No","2014","Not Employed","direct migration background","1589","0.927220660983695","0.914754128542202","0.939687193425188"
"No","2014","Not Employed","indirect migration background","454","0.931646385477541","0.909415754698487","0.953877016256594"
"No","2014","Employed","no migration background","7666","0.696955975974814","0.688383635315094","0.705528316634535"
"No","2014","Employed","direct migration background","2941","0.89303977580834","0.882462892259965","0.903616659356715"
"No","2014","Employed","indirect migration background","981","0.789812834439069","0.766604849710989","0.813020819167148"
"Yes","2015","Not Employed","no migration background","","","",""
"Yes","2015","Not Employed","direct migration background","","","",""
"Yes","2015","Not Employed","indirect migration background","","","",""
"Yes","2015","Employed","no migration background","","","",""
"Yes","2015","Employed","direct migration background","","","",""
"Yes","2015","Employed","indirect migration background","","","",""
"No","2015","Not Employed","no migration background","","","",""
"No","2015","Not Employed","direct migration background","","","",""
"No","2015","Not Employed","indirect migration background","","","",""
"No","2015","Employed","no migration background","","","",""
"No","2015","Employed","direct migration background","","","",""
"No","2015","Employed","indirect migration background","","","",""
"Yes","2016","Not Employed","no migration background","986","0.179215591769696","0.16896330122756","0.189467882311832"
"Yes","2016","Not Employed","direct migration background","72","0.0611688414727466","0.0486249306123529","0.0737127523331402"
"Yes","2016","Not Employed","indirect migration background","27","","",""
"Yes","2016","Employed","no migration background","2795","0.278164209794106","0.269320929195991","0.287007490392221"
"Yes","2016","Employed","direct migration background","298","0.112067350516769","0.101222190220001","0.122912510813537"
"Yes","2016","Employed","indirect migration background","178","0.189947875594331","0.166455493350902","0.21344025783776"
"No","2016","Not Employed","no migration background","4390","0.820784408230304","0.810532117688168","0.83103669877244"
"No","2016","Not Employed","direct migration background","1330","0.938831158527253","0.92628724766686","0.951375069387647"
"No","2016","Not Employed","indirect migration background","346","0.935016645746819","0.910001421024701","0.960031870468936"
"No","2016","Employed","no migration background","7068","0.721835790205894","0.712992509607779","0.730679070804009"
"No","2016","Employed","direct migration background","2952","0.887932649483231","0.877087489186463","0.898777809779999"
"No","2016","Employed","indirect migration background","893","0.810052124405669","0.78655974216224","0.833544506649098"
"Yes","2017","Not Employed","no migration background","","","",""
"Yes","2017","Not Employed","direct migration background","","","",""
"Yes","2017","Not Employed","indirect migration background","","","",""
"Yes","2017","Employed","no migration background","","","",""
"Yes","2017","Employed","direct migration background","","","",""
"Yes","2017","Employed","indirect migration background","","","",""
"No","2017","Not Employed","no migration background","","","",""
"No","2017","Not Employed","direct migration background","","","",""
"No","2017","Not Employed","indirect migration background","","","",""
"No","2017","Employed","no migration background","","","",""
"No","2017","Employed","direct migration background","","","",""
"No","2017","Employed","indirect migration background","","","",""
"Yes","2018","Not Employed","no migration background","1026","0.188504347868085","0.178197857783252","0.198810837952917"
"Yes","2018","Not Employed","direct migration background","62","0.0815938309209633","0.0665738696762681","0.0966137921656584"
"Yes","2018","Not Employed","indirect migration background","27","","",""
"Yes","2018","Employed","no migration background","3172","0.284215500468153","0.275881230711641","0.292549770224665"
"Yes","2018","Employed","direct migration background","311","0.119738489961864","0.108084091896237","0.131392888027491"
"Yes","2018","Employed","indirect migration background","200","0.182783324707916","0.161033558811177","0.204533090604656"
"No","2018","Not Employed","no migration background","4506","0.811495652131915","0.801189162047083","0.821802142216748"
"No","2018","Not Employed","direct migration background","1214","0.918406169079037","0.903386207834342","0.933426130323732"
"No","2018","Not Employed","indirect migration background","346","0.884647405205824","0.852228939021754","0.917065871389894"
"No","2018","Employed","no migration background","8079","0.715784499531847","0.707450229775335","0.724118769288359"
"No","2018","Employed","direct migration background","2670","0.880261510038136","0.86860711197251","0.891915908103763"
"No","2018","Employed","indirect migration background","1013","0.817216675292084","0.795466909395344","0.838966441188823"
