"ple0098_v5","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Yes","2003","Full Time","Rural Area","282","0.117995589630572","0.105332046975296","0.130659132285848","1"
"Yes","2003","Part Time","Urban Area","435","0.131200413120719","0.119288609244499","0.14311221699694","1"
"Yes","2003","Part Time","Rural Area","145","0.0951447115051433","0.0800004760875093","0.110288946922777","1"
"Yes","2003","Not Working","Urban Area","491","0.0961686614873866","0.0878221526030759","0.104515170371697","1"
"Yes","2003","Not Working","Rural Area","138","0.0486690979776616","0.0403419389825679","0.0569962569727554","1"
"No","2004","Full Time","Urban Area","3646","0.847698638965613","0.837019751195173","0.858377526736053","2"
"No","2004","Full Time","Rural Area","2056","0.872452384435381","0.858947952311012","0.88595681655975","2"
"No","2004","Not Working","Urban Area","4274","0.899656304955158","0.891144929748298","0.908167680162018","2"
"No","2004","Not Working","Rural Area","2400","0.950592092162756","0.942178944645463","0.959005239680049","2"
"No","2004","Part Time","Urban Area","2515","0.862535567626526","0.850111976090352","0.8749591591627","2"
"No","2004","Part Time","Rural Area","1305","0.895614109600692","0.879946335853678","0.911281883347707","2"
"Yes","2004","Full Time","Urban Area","703","0.152301361034387","0.141622473263947","0.162980248804827","1"
"Yes","2004","Full Time","Rural Area","288","0.127547615564619","0.11404318344025","0.141052047688987","1"
"Yes","2004","Part Time","Urban Area","436","0.137464432373474","0.1250408408373","0.149888023909648","1"
"Yes","2004","Part Time","Rural Area","158","0.104385890399308","0.0887181166522932","0.120053664146322","1"
"Yes","2004","Not Working","Urban Area","513","0.100343695044842","0.0918323198379816","0.108855070251702","1"
"Yes","2004","Not Working","Rural Area","149","0.0494079078372436","0.0409947603199505","0.0578210553545366","1"
"No","2005","Not Working","Urban Area","4067","0.893065117876348","0.884126951958055","0.902003283794641","2"
"No","2005","Full Time","Urban Area","3411","0.825243173777395","0.813638738995891","0.8368476085589","2"
"No","2005","Full Time","Rural Area","1887","0.859463625974749","0.844937707611898","0.8739895443376","2"
"No","2005","Not Working","Rural Area","2297","0.942447319556758","0.933236564585553","0.951658074527963","2"
"No","2005","Part Time","Urban Area","2381","0.851792749732558","0.83870686287645","0.864878636588666","2"
"No","2005","Part Time","Rural Area","1229","0.887858918400038","0.871365533970077","0.90435230283","2"
"Yes","2005","Full Time","Urban Area","703","0.174756826222605","0.1631523914411","0.186361261004109","1"
"Yes","2005","Full Time","Rural Area","312","0.140536374025251","0.1260104556624","0.155062292388102","1"
"Yes","2005","Part Time","Urban Area","451","0.148207250267442","0.135121363411334","0.16129313712355","1"
"Yes","2005","Part Time","Rural Area","177","0.112141081599962","0.0956476971700002","0.128634466029923","1"
"Yes","2005","Not Working","Urban Area","525","0.106934882123652","0.0979967162053588","0.115873048041945","1"
"Yes","2005","Not Working","Rural Area","159","0.0575526804432417","0.0483419254720369","0.0667634354144466","1"
"No","2006","Not Working","Urban Area","4272","0.887343571652049","0.878499027224367","0.896188116079731","2"
"No","2006","Full Time","Urban Area","3475","0.805336582937957","0.793585282417205","0.817087883458709","2"
"No","2006","Not Working","Rural Area","2476","0.920099447167016","0.909868416290456","0.930330478043576","2"
"No","2006","Full Time","Rural Area","1934","0.836373853787944","0.821301086692344","0.851446620883545","2"
"No","2006","Part Time","Urban Area","2339","0.826771387139814","0.812971458105439","0.840571316174189","2"
"No","2006","Part Time","Rural Area","1313","0.875262668814153","0.858618865299304","0.891906472329002","2"
"Yes","2006","Part Time","Urban Area","550","0.173228612860186","0.159428683825811","0.187028541894561","1"
"Yes","2006","Part Time","Rural Area","201","0.124737331185847","0.108093527670998","0.141381134700696","1"
"Yes","2006","Full Time","Urban Area","886","0.194663417062043","0.182912116541291","0.206414717582795","1"
"Yes","2006","Full Time","Rural Area","380","0.163626146212056","0.148553379116455","0.178698913307656","1"
"Yes","2006","Not Working","Urban Area","637","0.112656428347951","0.103811883920269","0.121500972775633","1"
"Yes","2006","Not Working","Rural Area","222","0.0799005528329843","0.0696695219564243","0.0901315837095444","1"
"No","2007","Full Time","Urban Area","3099","0.781333089159268","0.768515706730001","0.794150471588535","2"
"No","2007","Not Working","Urban Area","3897","0.872809412874453","0.863129267712985","0.882489558035922","2"
"No","2007","Not Working","Rural Area","2275","0.909104837562748","0.897845617742979","0.920364057382517","2"
"No","2007","Full Time","Rural Area","1837","0.834678820029773","0.81922643401469","0.850131206044856","2"
"No","2007","Part Time","Urban Area","2198","0.814732999104676","0.800246470189484","0.829219528019869","2"
"No","2007","Part Time","Rural Area","1191","0.86042743293905","0.842189861005832","0.878665004872267","2"
"Yes","2007","Part Time","Urban Area","565","0.185267000895324","0.170780471980131","0.199753529810516","1"
"Yes","2007","Part Time","Rural Area","196","0.13957256706095","0.121334995127733","0.157810138994168","1"
"Yes","2007","Full Time","Urban Area","896","0.218666910840732","0.205849528411465","0.231484293269999","1"
"Yes","2007","Full Time","Rural Area","383","0.165321179970227","0.149868793955144","0.18077356598531","1"
"Yes","2007","Not Working","Urban Area","654","0.127190587125547","0.117510441964078","0.136870732287015","1"
"Yes","2007","Not Working","Rural Area","229","0.090895162437252","0.0796359426174833","0.102154382257021","1"
"No","2008","Full Time","Urban Area","2934","0.751357327062354","0.73777817126566","0.764936482859048","2"
"No","2008","Full Time","Rural Area","1732","0.797747422282377","0.780784331785255","0.814710512779499","2"
"No","2008","Not Working","Urban Area","3519","0.843073469716327","0.832144500404816","0.854002439027838","2"
"No","2008","Not Working","Rural Area","2119","0.894261918814448","0.881855679035191","0.906668158593705","2"
"No","2008","Part Time","Urban Area","1983","0.781225104307286","0.765346422749811","0.797103785864761","2"
"No","2008","Part Time","Rural Area","1083","0.83768587192037","0.817664462799387","0.857707281041353","2"
"Yes","2008","Part Time","Urban Area","621","0.218774895692714","0.202896214135239","0.234653577250189","1"
"Yes","2008","Part Time","Rural Area","220","0.16231412807963","0.142292718958647","0.182335537200613","1"
"Yes","2008","Full Time","Urban Area","958","0.248642672937646","0.235063517140952","0.26222182873434","1"
"Yes","2008","Full Time","Rural Area","422","0.202252577717623","0.185289487220501","0.219215668214745","1"
"Yes","2008","Not Working","Urban Area","736","0.156926530283673","0.145997560972162","0.167855499595184","1"
"Yes","2008","Not Working","Rural Area","241","0.105738081185552","0.0933318414062949","0.118144320964809","1"
"No","2009","Full Time","Urban Area","","","","","2"
"No","2009","Full Time","Rural Area","","","","","2"
"No","2009","Not Working","Urban Area","","","","","2"
"No","2009","Not Working","Rural Area","","","","","2"
"No","2009","Part Time","Urban Area","","","","","2"
"No","2009","Part Time","Rural Area","","","","","2"
"Yes","2009","Part Time","Urban Area","","","","","1"
"Yes","2009","Part Time","Rural Area","","","","","1"
"Yes","2009","Full Time","Urban Area","","","","","1"
"Yes","2009","Full Time","Rural Area","","","","","1"
"Yes","2009","Not Working","Urban Area","","","","","1"
"Yes","2009","Not Working","Rural Area","","","","","1"
"No","2010","Full Time","Urban Area","3529","0.720419498117305","0.707696768079573","0.733142228155037","2"
"No","2010","Full Time","Rural Area","2120","0.782253493221526","0.76674630086738","0.797760685575672","2"
"No","2010","Not Working","Urban Area","4063","0.836075616149296","0.825705778784088","0.846445453514503","2"
"No","2010","Not Working","Rural Area","2382","0.902267069271253","0.890986472383262","0.913547666159243","2"
"No","2010","Part Time","Urban Area","2835","0.778146619507218","0.764803766691932","0.791489472322504","2"
"No","2010","Part Time","Rural Area","1614","0.822778160687084","0.805971294919146","0.839585026455023","2"
"Yes","2010","Part Time","Urban Area","890","0.221853380492782","0.208510527677496","0.235196233308068","1"
"Yes","2010","Part Time","Rural Area","369","0.177221839312916","0.160414973544977","0.194028705080854","1"
"Yes","2010","Not Working","Urban Area","833","0.163924383850704","0.153554546485497","0.174294221215911","1"
"Yes","2010","Full Time","Urban Area","1251","0.279580501882695","0.266857771844963","0.292303231920427","1"
"Yes","2010","Full Time","Rural Area","601","0.217746506778474","0.202239314424328","0.233253699132619","1"
"Yes","2010","Not Working","Rural Area","280","0.0977329307287474","0.086452333840757","0.109013527616738","1"
"No","2011","Full Time","Urban Area","2857","0.723005740910023","0.709123515828187","0.73688796599186","2"
"No","2011","Full Time","Rural Area","1805","0.77941926753734","0.762576015046464","0.796262520028216","2"
"No","2011","Not Working","Urban Area","3674","0.816824739901257","0.805576758938611","0.828072720863904","2"
"No","2011","Not Working","Rural Area","2251","0.888516222327124","0.876319690878424","0.900712753775825","2"
"No","2011","Part Time","Urban Area","2106","0.762635574385788","0.746943437421612","0.778327711349963","2"
"No","2011","Part Time","Rural Area","1180","0.808234211748146","0.788264473749104","0.828203949747189","2"
"Yes","2011","Part Time","Urban Area","718","0.237364425614212","0.221672288650037","0.253056562578388","1"
"Yes","2011","Part Time","Rural Area","313","0.191765788251854","0.171796050252811","0.211735526250896","1"
"Yes","2011","Not Working","Urban Area","869","0.183175260098743","0.171927279136096","0.194423241061389","1"
"Yes","2011","Full Time","Urban Area","1135","0.276994259089977","0.26311203400814","0.290876484171813","1"
"Yes","2011","Not Working","Rural Area","307","0.111483777672876","0.0992872462241753","0.123680309121576","1"
"Yes","2011","Full Time","Rural Area","523","0.22058073246266","0.203737479971784","0.237423984953536","1"
"No","2012","Full Time","Urban Area","3770","0.712957285914086","0.700759761214495","0.725154810613677","2"
"No","2012","Full Time","Rural Area","2491","0.773386619892769","0.759029044606225","0.787744195179313","2"
"No","2012","Part Time","Urban Area","3212","0.75756575913166","0.744828953101049","0.770302565162271","2"
"No","2012","Part Time","Rural Area","1896","0.81142929099265","0.795717313413182","0.827141268572119","2"
"No","2012","Not Working","Urban Area","4429","0.816272794315894","0.805987572353998","0.826558016277791","2"
"No","2012","Not Working","Rural Area","2816","0.883664228830012","0.87263596313458","0.894692494525444","2"
"Yes","2012","Part Time","Urban Area","1137","0.24243424086834","0.229697434837729","0.255171046898951","1"
"Yes","2012","Part Time","Rural Area","485","0.18857070900735","0.172858731427881","0.204282686586818","1"
"Yes","2012","Full Time","Urban Area","1514","0.287042714085914","0.274845189386323","0.299240238785505","1"
"Yes","2012","Not Working","Urban Area","1017","0.183727205684106","0.173441983722209","0.194012427646002","1"
"Yes","2012","Not Working","Rural Area","431","0.116335771169988","0.105307505474556","0.12736403686542","1"
"Yes","2012","Full Time","Rural Area","775","0.226613380107231","0.212255804820687","0.240970955393775","1"
"No","2013","Full Time","Urban Area","2493","0.693414036956447","0.678371291804774","0.708456782108121","2"
"No","2013","Full Time","Rural Area","1551","0.747882427779903","0.729221439232862","0.766543416326944","2"
"No","2013","Part Time","Urban Area","1890","0.721200305438721","0.704066186993236","0.738334423884207","2"
"No","2013","Part Time","Rural Area","1102","0.782701500544332","0.761415605927043","0.80398739516162","2"
"No","2013","Not Working","Urban Area","3113","0.78399103110063","0.771306113236999","0.79667594896426","2"
"No","2013","Not Working","Rural Area","2016","0.86377741249236","0.849926259310531","0.87762856567419","2"
"Yes","2013","Part Time","Urban Area","741","0.278799694561279","0.261665576115793","0.295933813006764","1"
"Yes","2013","Part Time","Rural Area","340","0.217298499455668","0.19601260483838","0.238584394072957","1"
"Yes","2013","Full Time","Urban Area","1116","0.306585963043553","0.29154321789188","0.321628708195226","1"
"Yes","2013","Full Time","Rural Area","529","0.252117572220097","0.233456583673056","0.270778560767138","1"
"Yes","2013","Not Working","Urban Area","930","0.21600896889937","0.20332405103574","0.228693886763001","1"
"Yes","2013","Not Working","Rural Area","340","0.13622258750764","0.122371434325811","0.150073740689469","1"
"No","2014","Full Time","Urban Area","4055","0.709034036815218","0.69708651042285","0.720981563207585","2"
"No","2014","Full Time","Rural Area","2275","0.721340718559031","0.705395419258117","0.737286017859945","2"
"No","2014","Part Time","Urban Area","3473","0.754689521005345","0.74225955864035","0.76711948337034","2"
"No","2014","Part Time","Rural Area","1785","0.787769793223401","0.771106396460301","0.804433189986501","2"
"No","2014","Not Working","Urban Area","4322","0.794280749133252","0.783440964974773","0.805120533291732","2"
"No","2014","Not Working","Rural Area","2544","0.848891000291881","0.836046961465311","0.861735039118451","2"
"Yes","2014","Part Time","Urban Area","1130","0.245310478994655","0.23288051662966","0.25774044135965","1"
"Yes","2014","Part Time","Rural Area","528","0.212230206776599","0.195566810013499","0.228893603539699","1"
"Yes","2014","Full Time","Urban Area","1497","0.290965963184782","0.279018436792415","0.30291348957715","1"
"Yes","2014","Full Time","Rural Area","762","0.278659281440969","0.262713982140055","0.294604580741883","1"
"Yes","2014","Not Working","Urban Area","1020","0.205719250866748","0.194879466708268","0.216559035025227","1"
"Yes","2014","Not Working","Rural Area","443","0.151108999708119","0.138264960881549","0.163953038534689","1"
"No","2015","Full Time","Urban Area","","","","","2"
"No","2015","Full Time","Rural Area","","","","","2"
"No","2015","Part Time","Urban Area","","","","","2"
"No","2015","Part Time","Rural Area","","","","","2"
"No","2015","Not Working","Urban Area","","","","","2"
"No","2015","Not Working","Rural Area","","","","","2"
"Yes","2015","Part Time","Urban Area","","","","","1"
"Yes","2015","Part Time","Rural Area","","","","","1"
"Yes","2015","Full Time","Urban Area","","","","","1"
"Yes","2015","Full Time","Rural Area","","","","","1"
"Yes","2015","Not Working","Urban Area","","","","","1"
"Yes","2015","Not Working","Rural Area","","","","","1"
"No","2016","Full Time","Urban Area","3812","0.739086869567728","0.726977762165323","0.751195976970133","2"
"No","2016","Full Time","Rural Area","2126","0.733065754772466","0.716598352654547","0.749533156890386","2"
"No","2016","Part Time","Urban Area","3238","0.772692541509546","0.760002843620347","0.785382239398745","2"
"No","2016","Part Time","Rural Area","1737","0.806510462132033","0.789889660337488","0.823131263926579","2"
"No","2016","Not Working","Urban Area","3819","0.82463074495473","0.813641302351164","0.835620187558296","2"
"No","2016","Not Working","Rural Area","2247","0.881862182993652","0.869336895817361","0.894387470169943","2"
"Yes","2016","Part Time","Urban Area","952","0.227307458490454","0.214617760601255","0.239997156379653","1"
"Yes","2016","Part Time","Rural Area","433","0.193489537867966","0.176868736073421","0.210110339662512","1"
"Yes","2016","Full Time","Urban Area","1240","0.260913130432272","0.248804023029866","0.273022237834677","1"
"Yes","2016","Full Time","Rural Area","646","0.266934245227533","0.250466843109614","0.283401647345453","1"
"Yes","2016","Not Working","Urban Area","781","0.17536925504527","0.164379812441704","0.186358697648836","1"
"Yes","2016","Not Working","Rural Area","304","0.118137817006348","0.105612529830057","0.130663104182639","1"
"No","2017","Full Time","Urban Area","","","","","2"
"No","2017","Full Time","Rural Area","","","","","2"
"No","2017","Part Time","Urban Area","","","","","2"
"No","2017","Part Time","Rural Area","","","","","2"
"No","2017","Not Working","Urban Area","","","","","2"
"No","2017","Not Working","Rural Area","","","","","2"
"Yes","2017","Part Time","Urban Area","","","","","1"
"Yes","2017","Part Time","Rural Area","","","","","1"
"Yes","2017","Full Time","Urban Area","","","","","1"
"Yes","2017","Full Time","Rural Area","","","","","1"
"Yes","2017","Not Working","Urban Area","","","","","1"
"Yes","2017","Not Working","Rural Area","","","","","1"
"No","2018","Full Time","Urban Area","4042","0.730429951834083","0.718625297449398","0.742234606218768","2"
"No","2018","Full Time","Rural Area","2282","0.722111562230334","0.706319604366457","0.73790352009421","2"
"No","2018","Part Time","Urban Area","3524","0.786522940467778","0.774548101866778","0.798497779068777","2"
"No","2018","Part Time","Rural Area","1914","0.782984098059458","0.76658779262623","0.799380403492685","2"
"No","2018","Not Working","Urban Area","3799","0.814278549151837","0.803008714562817","0.825548383740856","2"
"No","2018","Not Working","Rural Area","2267","0.867058413023024","0.854025779499494","0.880091046546553","2"
"Yes","2018","Part Time","Urban Area","974","0.213477059532222","0.201502220931223","0.225451898133221","1"
"Yes","2018","Part Time","Rural Area","514","0.217015901940542","0.200619596507315","0.23341220737377","1"
"Yes","2018","Full Time","Urban Area","1386","0.269570048165917","0.257765393781231","0.281374702550602","1"
"Yes","2018","Not Working","Urban Area","775","0.185721450848164","0.174451616259144","0.196991285437183","1"
"Yes","2018","Full Time","Rural Area","809","0.277888437769666","0.26209647990579","0.293680395633543","1"
"Yes","2018","Not Working","Rural Area","340","0.132941586976976","0.119908953453447","0.145974220500506","1"
