"ple0098_v5","year","e11102","n","percent","lower_confidence","upper_confidence"
"Yes","2005","Employed","1643","0.152916031517693","0.146048652454088","0.159783410581299"
"No","2005","Not Employed","6364","0.908730019411004","0.902006501596854","0.915453537225153"
"No","2005","Employed","8908","0.847083968482307","0.840216589418701","0.853951347545912"
"Yes","2006","Not Employed","859","0.102116728821208","0.0953121731734015","0.108921284469015"
"Yes","2006","Employed","2017","0.174168384570935","0.167106057528899","0.181230711612972"
"No","2006","Not Employed","6748","0.897883271178792","0.891078715530985","0.904687826826598"
"No","2006","Employed","9061","0.825831615429064","0.818769288387028","0.832893942471101"
"Yes","2007","Not Employed","883","0.115507945387395","0.108049428465376","0.122966462309414"
"Yes","2007","Employed","2040","0.189314600095149","0.181772684498253","0.196856515692044"
"No","2007","Not Employed","6172","0.884492054612605","0.877033537690586","0.891950571534624"
"No","2007","Employed","8325","0.810685399904851","0.803143484307956","0.818227315501747"
"Yes","2008","Not Employed","977","0.140568785622929","0.132192853006914","0.148944718238944"
"Yes","2008","Employed","2221","0.220907827430053","0.212757574965545","0.229058079894561"
"No","2008","Not Employed","5638","0.859431214377071","0.851055281761056","0.867807146993086"
"No","2008","Employed","7732","0.779092172569947","0.770941920105439","0.787242425034455"
"Yes","2009","Not Employed","","","",""
"Yes","2009","Employed","","","",""
"No","2009","Not Employed","","","",""
"No","2009","Employed","","","",""
"Yes","2010","Not Employed","1113","0.143493622788837","0.135589999215801","0.151397246361873"
"Yes","2010","Employed","3111","0.239045338748477","0.231772019482382","0.246318658014572"
"No","2010","Not Employed","6445","0.856506377211163","0.848602753638127","0.864410000784199"
"No","2010","Employed","10098","0.760954661251523","0.753681341985428","0.768227980517618"
"Yes","2011","Not Employed","1176","0.160361230638764","0.151826609115615","0.168895852161913"
"Yes","2011","Employed","2689","0.245037275175826","0.23686360059008","0.253210949761571"
"No","2011","Not Employed","5925","0.839638769361236","0.831104147838087","0.848173390884386"
"No","2011","Employed","7948","0.754962724824174","0.746789050238429","0.76313639940992"
"Yes","2012","Not Employed","1448","0.161529102091208","0.153792813940073","0.169265390242344"
"Yes","2012","Employed","3911","0.250717447072684","0.24384515668205","0.257589737463319"
"No","2012","Not Employed","7245","0.838470897908792","0.830734609757656","0.846207186059928"
"No","2012","Employed","11369","0.749282552927315","0.742410262536681","0.75615484331795"
"Yes","2013","Not Employed","1270","0.189317253203329","0.17971854922297","0.198915957183688"
"Yes","2013","Employed","2726","0.276460685906315","0.267588585525468","0.285332786287161"
"No","2013","Not Employed","5129","0.810682746796671","0.801084042816312","0.82028145077703"
"No","2013","Employed","7036","0.723539314093686","0.714667213712839","0.732411414474532"
"Yes","2014","Not Employed","1463","0.187793447966406","0.179406091092864","0.196180804839948"
"Yes","2014","Employed","3917","0.265732981341804","0.258780145969257","0.27268581671435"
"No","2014","Not Employed","6866","0.812206552033594","0.803819195160052","0.820593908907136"
"No","2014","Employed","11588","0.734267018658196","0.72731418328565","0.741219854030743"
"Yes","2015","Not Employed","","","",""
"Yes","2015","Employed","","","",""
"No","2015","Not Employed","","","",""
"No","2015","Employed","","","",""
"Yes","2016","Not Employed","1085","0.157193135298955","0.148756961423332","0.165629309174577"
"Yes","2016","Employed","3271","0.243953590838846","0.236885915935317","0.251021265742375"
"No","2016","Not Employed","6066","0.842806864701045","0.834370690825423","0.851243038576668"
"No","2016","Employed","10913","0.756046409161154","0.748978734257625","0.763114084064683"
"Yes","2017","Not Employed","","","",""
"Yes","2017","Employed","","","",""
"No","2017","Not Employed","","","",""
"No","2017","Employed","","","",""
"Yes","2018","Not Employed","1115","0.168837890344107","0.160173590877991","0.177502189810223"
"Yes","2018","Employed","3683","0.248427906836846","0.241613318153687","0.255242495520004"
"No","2018","Not Employed","6066","0.831162109655893","0.822497810189776","0.839826409122009"
"No","2018","Employed","11762","0.751572093163154","0.744757504479996","0.758386681846313"
