"ple0098_v5","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"No","2002","Single parent ","957","0.933115125157409","0.917858409488851","0.948371840825967","2"
"No","2002","Couple + C. LE 16 ","3472","0.87664230939427","0.866429687184892","0.886854931603648","2"
"Yes","2002","1-pers.-HH","238","0.101229611107326","0.0897431757218885","0.112716046492763","1"
"Yes","2002","(Married) couple without C. ","792","0.116444589344011","0.108507662341755","0.124381516346267","1"
"Yes","2002","Single parent ","73","0.0668848748425912","0.0516281591740334","0.082141590511149","1"
"Yes","2002","Couple + C. LE 16 ","511","0.12335769060573","0.113145068396352","0.133570312815108","1"
"Yes","2002","Couple + C. GT 16 ","385","0.0913392537505255","0.0816356237789502","0.101042883722101","1"
"Yes","2002","Couple + C. LE and GT 16","143","0.0712754068288581","0.0588911727153945","0.0836596409423216","1"
"No","2003","1-pers.-HH","2347","0.900832054682087","0.889312348453075","0.912351760911099","2"
"No","2003","(Married) couple without C. ","5416","0.887095751373141","0.879215632325967","0.894975870420316","2"
"No","2003","Couple + C. GT 16 ","2938","0.886181589446023","0.875402854519494","0.896960324372552","2"
"No","2003","Couple + C. LE and GT 16","1440","0.923397522146206","0.910246007895534","0.936549036396878","2"
"No","2003","Single parent ","947","0.934146475260052","0.91892541142261","0.949367539097494","2"
"No","2003","Couple + C. LE 16 ","3177","0.869968238072232","0.859073302941311","0.880863173203152","2"
"Yes","2003","1-pers.-HH","239","0.0991679453179127","0.0876482390889006","0.110687651546925","1"
"Yes","2003","(Married) couple without C. ","780","0.112904248626858","0.105024129579684","0.120784367674033","1"
"Yes","2003","Single parent ","73","0.0658535247399479","0.0506324609025061","0.0810745885773897","1"
"Yes","2003","Couple + C. LE 16 ","484","0.130031761927768","0.119136826796848","0.140926697058689","1"
"Yes","2003","Couple + C. GT 16 ","397","0.113818410553977","0.103039675627448","0.124597145480506","1"
"Yes","2003","Couple + C. LE and GT 16","131","0.0766024778537943","0.0634509636031225","0.0897539921044662","1"
"No","2004","1-pers.-HH","2277","0.891232231217985","0.879112174249618","0.903352288186352","2"
"No","2004","(Married) couple without C. ","5322","0.882622017239738","0.874568490319346","0.89067554416013","2"
"No","2004","Couple + C. GT 16 ","2880","0.885390899929672","0.874532302196448","0.896249497662895","2"
"No","2004","Couple + C. LE and GT 16","1367","0.889543348164635","0.873805871356194","0.905280824973076","2"
"No","2004","Single parent ","906","0.904165190674055","0.885893192422442","0.922437188925668","2"
"No","2004","Couple + C. LE 16 ","2947","0.871184190822291","0.859925591825575","0.882442789819008","2"
"Yes","2004","1-pers.-HH","258","0.108767768782015","0.0966477118136477","0.120887825750382","1"
"Yes","2004","(Married) couple without C. ","814","0.117377982760262","0.10932445583987","0.125431509680654","1"
"Yes","2004","Single parent ","91","0.0958348093259451","0.0775628110743324","0.114106807577558","1"
"Yes","2004","Couple + C. LE 16 ","454","0.128815809177708","0.117557210180992","0.140074408174425","1"
"Yes","2004","Couple + C. GT 16 ","426","0.114609100070328","0.103750502337105","0.125467697803552","1"
"Yes","2004","Couple + C. LE and GT 16","157","0.110456651835365","0.0947191750269237","0.126194128643806","1"
"No","2005","Couple + C. GT 16 ","2722","0.895963038209289","0.885185980560146","0.906740095858433","2"
"No","2005","1-pers.-HH","2247","0.8644175430676","0.851143104111849","0.877691982023351","2"
"No","2005","(Married) couple without C. ","5036","0.865135662813665","0.856427866135196","0.873843459492134","2"
"No","2005","Couple + C. LE and GT 16","1294","0.887936380809996","0.871688861663417","0.904183899956576","2"
"No","2005","Single parent ","922","0.91265738843549","0.895236532811366","0.930078244059615","2"
"No","2005","Couple + C. LE 16 ","2592","0.854346019455445","0.841898047937981","0.866793990972909","2"
"Yes","2005","1-pers.-HH","308","0.1355824569324","0.122308017976649","0.148856895888151","1"
"Yes","2005","(Married) couple without C. ","875","0.134864337186335","0.126156540507866","0.143572133864804","1"
"Yes","2005","Single parent ","87","0.0873426115645096","0.069921755940385","0.104763467188634","1"
"Yes","2005","Couple + C. LE 16 ","493","0.145653980544555","0.133206009027091","0.158101952062019","1"
"Yes","2005","Couple + C. GT 16 ","361","0.104036961790711","0.0932599041415671","0.114814019439854","1"
"Yes","2005","Couple + C. LE and GT 16","154","0.112063619190004","0.0958161000434241","0.128311138336583","1"
"No","2006","Couple + C. GT 16 ","2679","0.875572434649496","0.863964586791853","0.887180282507139","2"
"No","2006","1-pers.-HH","2499","0.858220801514235","0.845492192129762","0.870949410898709","2"
"No","2006","Couple + C. LE and GT 16","1107","0.881885365899896","0.864142113185933","0.899628618613859","2"
"No","2006","(Married) couple without C. ","5506","0.85017401584856","0.841578574193548","0.858769457503573","2"
"No","2006","Single parent ","936","0.885429118592423","0.866182508495865","0.90467572868898","2"
"No","2006","Couple + C. LE 16 ","2644","0.828615125542466","0.815661173647732","0.8415690774372","2"
"Yes","2006","Single parent ","116","0.114570881407577","0.0953242713110201","0.133817491504135","1"
"Yes","2006","Couple + C. LE 16 ","607","0.171384874457534","0.1584309225628","0.184338826352268","1"
"Yes","2006","1-pers.-HH","386","0.141779198485765","0.129050589101291","0.154507807870238","1"
"Yes","2006","(Married) couple without C. ","1117","0.14982598415144","0.141230542496427","0.158421425806452","1"
"Yes","2006","Couple + C. GT 16 ","427","0.124427565350504","0.112819717492861","0.136035413208147","1"
"Yes","2006","Couple + C. LE and GT 16","164","0.118114634100104","0.100371381386141","0.135857886814067","1"
"No","2007","1-pers.-HH","2316","0.848219675656101","0.834732984986279","0.861706366325922","2"
"No","2007","Couple + C. GT 16 ","2540","0.857035207504459","0.844442183722636","0.869628231286282","2"
"No","2007","Couple + C. LE and GT 16","1022","0.884592486776972","0.866260846447165","0.902924127106778","2"
"No","2007","(Married) couple without C. ","4995","0.823755576809276","0.814267366303114","0.833243787315438","2"
"No","2007","Single parent ","876","0.887274468732625","0.867494186455187","0.907054751010063","2"
"No","2007","Couple + C. LE 16 ","2386","0.822055689343311","0.808289034771592","0.835822343915029","2"
"Yes","2007","Single parent ","106","0.112725531267375","0.0929452489899375","0.132505813544813","1"
"Yes","2007","Couple + C. LE 16 ","579","0.177944310656689","0.164177656084971","0.191710965228408","1"
"Yes","2007","1-pers.-HH","403","0.151780324343899","0.138293633674078","0.165267015013721","1"
"Yes","2007","(Married) couple without C. ","1200","0.176244423190724","0.166756212684562","0.185732633696886","1"
"Yes","2007","Couple + C. GT 16 ","428","0.142964792495541","0.130371768713718","0.155557816277364","1"
"Yes","2007","Couple + C. LE and GT 16","145","0.115407513223028","0.0970758728932223","0.133739153552835","1"
"No","2008","1-pers.-HH","2184","0.81122353860884","0.796329738407995","0.826117338809685","2"
"No","2008","(Married) couple without C. ","4669","0.788992109083505","0.77861847549412","0.799365742672891","2"
"No","2008","Couple + C. GT 16 ","2404","0.854961831235005","0.842076448169596","0.867847214300415","2"
"No","2008","Couple + C. LE and GT 16","867","0.845955179223233","0.824109901297257","0.867800457149209","2"
"No","2008","Single parent ","858","0.876559817878173","0.856100435327561","0.897019200428784","2"
"No","2008","Couple + C. LE 16 ","2112","0.786404777867708","0.770979887461861","0.801829668273555","2"
"Yes","2008","Single parent ","135","0.123440182121827","0.102980799571216","0.143899564672439","1"
"Yes","2008","Couple + C. LE 16 ","600","0.213595222132292","0.198170331726445","0.229020112538139","1"
"Yes","2008","1-pers.-HH","468","0.18877646139116","0.173882661190315","0.203670261592005","1"
"Yes","2008","(Married) couple without C. ","1274","0.211007890916495","0.200634257327109","0.221381524505881","1"
"Yes","2008","Couple + C. GT 16 ","465","0.145038168764995","0.132152785699585","0.157923551830404","1"
"Yes","2008","Couple + C. LE and GT 16","182","0.154044820776767","0.132199542850791","0.175890098702743","1"
"No","2009","1-pers.-HH","","","","","2"
"No","2009","(Married) couple without C. ","","","","","2"
"No","2009","Couple + C. GT 16 ","","","","","2"
"No","2009","Couple + C. LE and GT 16","","","","","2"
"No","2009","Single parent ","","","","","2"
"No","2009","Couple + C. LE 16 ","","","","","2"
"Yes","2009","Single parent ","","","","","1"
"Yes","2009","Couple + C. LE 16 ","","","","","1"
"Yes","2009","1-pers.-HH","","","","","1"
"Yes","2009","(Married) couple without C. ","","","","","1"
"Yes","2009","Couple + C. GT 16 ","","","","","1"
"Yes","2009","Couple + C. LE and GT 16","","","","","1"
"No","2010","1-pers.-HH","1936","0.809424709179465","0.793672101596332","0.825177316762597","2"
"No","2010","(Married) couple without C. ","3989","0.767320611585113","0.755912594252314","0.778728628917913","2"
"No","2010","Couple + C. GT 16 ","2016","0.823850602066826","0.808818201856399","0.838883002277254","2"
"No","2010","Couple + C. LE and GT 16","1190","0.836682722753887","0.817516856965722","0.855848588542053","2"
"No","2010","Single parent ","1774","0.861601609951946","0.846905698493581","0.876297521410311","2"
"No","2010","Couple + C. LE 16 ","5329","0.785128600095788","0.775314905637715","0.79494229455386","2"
"Yes","2010","Single parent ","347","0.138398390048054","0.123702478589689","0.153094301506419","1"
"Yes","2010","Couple + C. LE 16 ","1400","0.214871399904212","0.20505770544614","0.224685094362285","1"
"Yes","2010","Couple + C. GT 16 ","451","0.176149397933173","0.161116997722746","0.191181798143601","1"
"Yes","2010","1-pers.-HH","452","0.190575290820536","0.174822683237403","0.206327898403668","1"
"Yes","2010","(Married) couple without C. ","1281","0.232679388414887","0.221271371082087","0.244087405747686","1"
"Yes","2010","Couple + C. LE and GT 16","239","0.163317277246113","0.144151411457947","0.182483143034278","1"
"No","2011","1-pers.-HH","2527","0.809998752434072","0.796211164420725","0.823786340447419","2"
"No","2011","(Married) couple without C. ","5080","0.757963085918093","0.74776632726834","0.768159844567847","2"
"No","2011","Couple + C. GT 16 ","2205","0.82681813867339","0.812584387371792","0.841051889974989","2"
"No","2011","Couple + C. LE and GT 16","859","0.795300774747488","0.771214895050521","0.819386654444454","2"
"No","2011","Single parent ","894","0.854397323085708","0.833194383395038","0.875600262776378","2"
"No","2011","Couple + C. LE 16 ","1982","0.75515599595488","0.738681607437816","0.771630384471944","2"
"Yes","2011","Single parent ","169","0.145602676914292","0.124399737223622","0.166805616604962","1"
"Yes","2011","Couple + C. LE 16 ","635","0.24484400404512","0.228369615528056","0.261318392562184","1"
"Yes","2011","Couple + C. GT 16 ","510","0.17318186132661","0.158948110025011","0.187415612628208","1"
"Yes","2011","1-pers.-HH","583","0.190001247565928","0.176213659552581","0.203788835579275","1"
"Yes","2011","Couple + C. LE and GT 16","219","0.204699225252512","0.180613345555546","0.228785104949479","1"
"Yes","2011","(Married) couple without C. ","1698","0.242036914081907","0.231840155432153","0.25223367273166","1"
"No","2012","1-pers.-HH","2618","0.805495965493491","0.791948022065515","0.819043908921468","2"
"No","2012","(Married) couple without C. ","5036","0.739810045865698","0.729417946240352","0.750202145491044","2"
"No","2012","Single parent ","2094","0.850023632523898","0.836227571291329","0.863819693756467","2"
"No","2012","Couple + C. LE 16 ","4843","0.757481813791212","0.746912399690395","0.768051227892029","2"
"No","2012","Couple + C. GT 16 ","2142","0.825382322020419","0.810990350282011","0.839774293758828","2"
"No","2012","Couple + C. LE and GT 16","1475","0.842492133712381","0.825728679942311","0.85925558748245","2"
"Yes","2012","Single parent ","479","0.149976367476102","0.136180306243533","0.163772428708671","1"
"Yes","2012","Couple + C. LE 16 ","1474","0.242518186208788","0.231948772107971","0.253087600309605","1"
"Yes","2012","1-pers.-HH","661","0.194504034506508","0.180956091078532","0.208051977934485","1"
"Yes","2012","Couple + C. GT 16 ","531","0.174617677979581","0.160225706241172","0.189009649717989","1"
"Yes","2012","Couple + C. LE and GT 16","339","0.157507866287619","0.14074441251755","0.174271320057688","1"
"Yes","2012","(Married) couple without C. ","1811","0.260189954134302","0.249797854508956","0.270582053759648","1"
"No","2013","1-pers.-HH","2356","0.780937378626872","0.766173628778023","0.795701128475721","2"
"No","2013","(Married) couple without C. ","4633","0.736140550547673","0.725315915564681","0.746965185530665","2"
"No","2013","Single parent ","823","0.82437386286975","0.800953921957123","0.847793803782378","2"
"No","2013","Couple + C. LE 16 ","1690","0.711424793943868","0.693105523863828","0.729744064023908","2"
"No","2013","Couple + C. GT 16 ","1744","0.786597252653754","0.76965688737854","0.803537617928968","2"
"No","2013","Couple + C. LE and GT 16","630","0.753267525498314","0.72368802804543","0.782847022951198","2"
"Yes","2013","Single parent ","191","0.17562613713025","0.152206196217622","0.199046078042877","1"
"Yes","2013","Couple + C. LE 16 ","660","0.288575206056132","0.270255935976092","0.306894476136172","1"
"Yes","2013","1-pers.-HH","659","0.219062621373128","0.204298871524279","0.233826371221977","1"
"Yes","2013","(Married) couple without C. ","1735","0.263859449452327","0.253034814469335","0.274684084435319","1"
"Yes","2013","Couple + C. GT 16 ","503","0.213402747346246","0.196462382071032","0.23034311262146","1"
"Yes","2013","Couple + C. LE and GT 16","186","0.246732474501686","0.217152977048802","0.27631197195457","1"
"No","2014","1-pers.-HH","2496","0.786365543223912","0.772157814347452","0.800573272100371","2"
"No","2014","(Married) couple without C. ","4998","0.726491208299832","0.715866638971323","0.73711577762834","2"
"No","2014","Single parent ","1846","0.819364496734261","0.80355574722103","0.835173246247491","2"
"No","2014","Couple + C. LE 16 ","4571","0.737860549037682","0.726759122556632","0.748961975518732","2"
"No","2014","Couple + C. GT 16 ","2187","0.789354391370073","0.774024623296789","0.804684159443358","2"
"No","2014","Couple + C. LE and GT 16","1632","0.798105559678755","0.780622077903118","0.815589041454392","2"
"Yes","2014","Single parent ","429","0.180635503265739","0.164826753752508","0.19644425277897","1"
"Yes","2014","Couple + C. LE 16 ","1458","0.262139450962318","0.251038024481268","0.273240877443368","1"
"Yes","2014","1-pers.-HH","701","0.213634456776088","0.199426727899629","0.227842185652548","1"
"Yes","2014","(Married) couple without C. ","1764","0.273508791700168","0.26288422237166","0.284133361028677","1"
"Yes","2014","Couple + C. GT 16 ","531","0.210645608629927","0.195315840556642","0.225975376703211","1"
"Yes","2014","Couple + C. LE and GT 16","393","0.201894440321245","0.184410958545608","0.219377922096882","1"
"No","2015","1-pers.-HH","","","","","2"
"No","2015","(Married) couple without C. ","","","","","2"
"No","2015","Single parent ","","","","","2"
"No","2015","Couple + C. LE 16 ","","","","","2"
"No","2015","Couple + C. GT 16 ","","","","","2"
"No","2015","Couple + C. LE and GT 16","","","","","2"
"Yes","2015","Single parent ","","","","","1"
"Yes","2015","Couple + C. LE 16 ","","","","","1"
"Yes","2015","1-pers.-HH","","","","","1"
"Yes","2015","(Married) couple without C. ","","","","","1"
"Yes","2015","Couple + C. GT 16 ","","","","","1"
"Yes","2015","Couple + C. LE and GT 16","","","","","1"
"No","2016","1-pers.-HH","2518","0.809688096101592","0.795813594698983","0.823562597504202","2"
"No","2016","(Married) couple without C. ","4733","0.754313611753205","0.743600547226011","0.765026676280398","2"
"No","2016","Single parent ","1665","0.863566110874495","0.848496453902102","0.878635767846889","2"
"No","2016","Couple + C. LE 16 ","3957","0.727790411125294","0.715615241141869","0.739965581108719","2"
"No","2016","Couple + C. GT 16 ","1969","0.826199457858918","0.81111118948612","0.841287726231716","2"
"No","2016","Couple + C. LE and GT 16","1580","0.826140865488325","0.809023034254051","0.843258696722599","2"
"Yes","2016","Single parent ","328","0.136433889125505","0.121364232153111","0.151503546097898","1"
"Yes","2016","Couple + C. LE 16 ","1177","0.272209588874706","0.260034418891281","0.28438475885813","1"
"Yes","2016","1-pers.-HH","557","0.190311903898408","0.176437402495798","0.204186405301017","1"
"Yes","2016","(Married) couple without C. ","1470","0.245686388246795","0.234973323719602","0.256399452773989","1"
"Yes","2016","Couple + C. GT 16 ","454","0.173800542141082","0.158712273768284","0.18888881051388","1"
"Yes","2016","Couple + C. LE and GT 16","303","0.173859134511675","0.156741303277401","0.190976965745949","1"
"No","2017","1-pers.-HH","","","","","2"
"No","2017","(Married) couple without C. ","","","","","2"
"No","2017","Single parent ","","","","","2"
"No","2017","Couple + C. LE 16 ","","","","","2"
"No","2017","Couple + C. GT 16 ","","","","","2"
"No","2017","Couple + C. LE and GT 16","","","","","2"
"Yes","2017","Single parent ","","","","","1"
"Yes","2017","Couple + C. LE 16 ","","","","","1"
"Yes","2017","1-pers.-HH","","","","","1"
"Yes","2017","(Married) couple without C. ","","","","","1"
"Yes","2017","Couple + C. GT 16 ","","","","","1"
"Yes","2017","Couple + C. LE and GT 16","","","","","1"
"No","2018","1-pers.-HH","2972","0.805229883120539","0.792376977643147","0.818082788597931","2"
"No","2018","(Married) couple without C. ","5051","0.746370026035219","0.736004405657182","0.756735646413256","2"
"No","2018","Single parent ","1712","0.832805656139358","0.816640801881152","0.848970510397564","2"
"No","2018","Couple + C. LE 16 ","3694","0.744591725533174","0.732293254856004","0.756890196210344","2"
"No","2018","Couple + C. GT 16 ","2140","0.792507427508319","0.77717477807863","0.807840076938009","2"
"No","2018","Couple + C. LE and GT 16","1651","0.838573738960284","0.822318503424677","0.85482897449589","2"
"Yes","2018","Single parent ","335","0.167194343860642","0.151029489602436","0.183359198118848","1"
"Yes","2018","Couple + C. LE 16 ","1136","0.255408274466826","0.243109803789656","0.267706745143996","1"
"Yes","2018","1-pers.-HH","675","0.194770116879461","0.181917211402069","0.207623022356853","1"
"Yes","2018","Couple + C. GT 16 ","547","0.207492572491681","0.192159923061991","0.22282522192137","1"
"Yes","2018","(Married) couple without C. ","1717","0.253629973964781","0.243264353586744","0.263995594342818","1"
"Yes","2018","Couple + C. LE and GT 16","317","0.161426261039716","0.14517102550411","0.177681496575323","1"
