"ple0098_v5","year","bula_h","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","1999","North Rhine-Westphalia","(1b) general elementary school","10","","",""
"Yes","1999","North Rhine-Westphalia","(1c) basic vocational qualification","81","0.110156508971119","0.0882688802076958","0.132044137734542"
"Yes","1999","North Rhine-Westphalia","(2b) intermediate general qualification","8","","",""
"Yes","1999","North Rhine-Westphalia","(2a) intermediate vocational","57","0.201193755303405","0.159549886831741","0.242837623775069"
"Yes","1999","North Rhine-Westphalia","(2c_gen) general maturity certificate","11","","",""
"Yes","1999","North Rhine-Westphalia","(2c_voc) vocational maturity certificate","22","","",""
"Yes","1999","North Rhine-Westphalia","(3a) lower tertiary education","17","","",""
"Yes","1999","North Rhine-Westphalia","(3b) higher tertiary education","35","0.365025815070395","0.28411278574263","0.445938844398161"
"Yes","1999","Hesse","(0) in school","1","","",""
"Yes","1999","Hesse","(1a) inadequately completed","","","",""
"Yes","1999","Hesse","(1b) general elementary school","2","","",""
"Yes","1999","Hesse","(1c) basic vocational qualification","13","","",""
"Yes","1999","Hesse","(2b) intermediate general qualification","2","","",""
"Yes","1999","Hesse","(2a) intermediate vocational","15","","",""
"Yes","1999","Hesse","(2c_gen) general maturity certificate","","","",""
"Yes","1999","Hesse","(2c_voc) vocational maturity certificate","9","","",""
"Yes","1999","Hesse","(3a) lower tertiary education","6","","",""
"Yes","1999","Hesse","(3b) higher tertiary education","9","","",""
"Yes","1999","Rhineland-Palatinate,Saarland","(0) in school","","","",""
"Yes","1999","Rhineland-Palatinate,Saarland","(1a) inadequately completed","","","",""
"Yes","1999","Rhineland-Palatinate,Saarland","(1b) general elementary school","2","","",""
"Yes","1999","Rhineland-Palatinate,Saarland","(1c) basic vocational qualification","14","","",""
"Yes","1999","Rhineland-Palatinate,Saarland","(2b) intermediate general qualification","3","","",""
"Yes","1999","Rhineland-Palatinate,Saarland","(2a) intermediate vocational","11","","",""
"Yes","1999","Rhineland-Palatinate,Saarland","(2c_gen) general maturity certificate","","","",""
"Yes","1999","Rhineland-Palatinate,Saarland","(2c_voc) vocational maturity certificate","2","","",""
"Yes","1999","Rhineland-Palatinate,Saarland","(3a) lower tertiary education","","","",""
"Yes","1999","Rhineland-Palatinate,Saarland","(3b) higher tertiary education","1","","",""
"Yes","1999","Baden-Württemberg","(0) in school","1","","",""
"Yes","1999","Baden-Württemberg","(1a) inadequately completed","","","",""
"Yes","1999","Baden-Württemberg","(1b) general elementary school","15","","",""
"Yes","1999","Baden-Württemberg","(1c) basic vocational qualification","36","0.0729082735425586","0.0499819521428941","0.0958345949422232"
"Yes","1999","Baden-Württemberg","(2b) intermediate general qualification","7","","",""
"Yes","1999","Baden-Württemberg","(2a) intermediate vocational","31","0.143837200421636","0.0948335124793463","0.192840888363925"
"Yes","1999","Baden-Württemberg","(2c_gen) general maturity certificate","3","","",""
"Yes","1999","Baden-Württemberg","(2c_voc) vocational maturity certificate","7","","",""
"Yes","1999","Baden-Württemberg","(3a) lower tertiary education","8","","",""
"Yes","1999","Baden-Württemberg","(3b) higher tertiary education","5","","",""
"Yes","1999","Bavaria","(0) in school","2","","",""
"Yes","1999","Bavaria","(1a) inadequately completed","2","","",""
"Yes","1999","Bavaria","(1b) general elementary school","17","","",""
"Yes","1999","Bavaria","(1c) basic vocational qualification","58","0.114814411919378","0.0888920007508654","0.14073682308789"
"Yes","1999","Bavaria","(2b) intermediate general qualification","12","","",""
"Yes","1999","Bavaria","(2a) intermediate vocational","48","0.205573321907583","0.155972566845447","0.255174076969718"
"Yes","1999","Bavaria","(2c_gen) general maturity certificate","5","","",""
"Yes","1999","Bavaria","(2c_voc) vocational maturity certificate","14","","",""
"Yes","1999","Bavaria","(3a) lower tertiary education","8","","",""
"Yes","1999","Bavaria","(3b) higher tertiary education","13","","",""
"Yes","1999","Berlin","(0) in school","2","","",""
"Yes","1999","Berlin","(1a) inadequately completed","","","",""
"Yes","1999","Berlin","(1b) general elementary school","","","",""
"Yes","1999","Berlin","(1c) basic vocational qualification","4","","",""
"Yes","1999","Berlin","(2b) intermediate general qualification","1","","",""
"Yes","1999","Berlin","(2a) intermediate vocational","4","","",""
"Yes","1999","Berlin","(2c_gen) general maturity certificate","","","",""
"Yes","1999","Berlin","(2c_voc) vocational maturity certificate","1","","",""
"Yes","1999","Berlin","(3a) lower tertiary education","4","","",""
"Yes","1999","Berlin","(3b) higher tertiary education","8","","",""
"Yes","1999","Brandenburg","(0) in school","1","","",""
"Yes","1999","Brandenburg","(1a) inadequately completed","","","",""
"Yes","1999","Brandenburg","(1b) general elementary school","","","",""
"Yes","1999","Brandenburg","(1c) basic vocational qualification","4","","",""
"Yes","1999","Brandenburg","(2b) intermediate general qualification","1","","",""
"Yes","1999","Brandenburg","(2a) intermediate vocational","8","","",""
"Yes","1999","Brandenburg","(2c_gen) general maturity certificate","3","","",""
"Yes","1999","Brandenburg","(2c_voc) vocational maturity certificate","1","","",""
"Yes","1999","Brandenburg","(3a) lower tertiary education","5","","",""
"Yes","1999","Brandenburg","(3b) higher tertiary education","2","","",""
"Yes","1999","Mecklenburg-Western Pomerania","(0) in school","1","","",""
"Yes","1999","Mecklenburg-Western Pomerania","(1a) inadequately completed","","","",""
"Yes","1999","Mecklenburg-Western Pomerania","(1b) general elementary school","","","",""
"Yes","1999","Mecklenburg-Western Pomerania","(1c) basic vocational qualification","","","",""
"Yes","1999","Mecklenburg-Western Pomerania","(2b) intermediate general qualification","2","","",""
"Yes","1999","Mecklenburg-Western Pomerania","(2a) intermediate vocational","6","","",""
"Yes","1999","Mecklenburg-Western Pomerania","(2c_gen) general maturity certificate","1","","",""
"Yes","1999","Mecklenburg-Western Pomerania","(2c_voc) vocational maturity certificate","1","","",""
"Yes","1999","Mecklenburg-Western Pomerania","(3a) lower tertiary education","","","",""
"Yes","1999","Mecklenburg-Western Pomerania","(3b) higher tertiary education","","","",""
"Yes","1999","Saxony","(0) in school","2","","",""
"Yes","1999","Saxony","(1a) inadequately completed","1","","",""
"Yes","1999","Saxony","(1b) general elementary school","2","","",""
"Yes","1999","Saxony","(1c) basic vocational qualification","5","","",""
"Yes","1999","Saxony","(2b) intermediate general qualification","1","","",""
"Yes","1999","Saxony","(2a) intermediate vocational","25","","",""
"Yes","1999","Saxony","(2c_gen) general maturity certificate","","","",""
"Yes","1999","Saxony","(2c_voc) vocational maturity certificate","4","","",""
"Yes","1999","Saxony","(3a) lower tertiary education","10","","",""
"Yes","1999","Saxony","(3b) higher tertiary education","8","","",""
"Yes","1999","Saxony-Anhalt","(0) in school","3","","",""
"Yes","1999","Saxony-Anhalt","(1a) inadequately completed","1","","",""
"Yes","1999","Saxony-Anhalt","(1b) general elementary school","","","",""
"Yes","1999","Saxony-Anhalt","(1c) basic vocational qualification","6","","",""
"Yes","1999","Saxony-Anhalt","(2b) intermediate general qualification","1","","",""
"Yes","1999","Saxony-Anhalt","(2a) intermediate vocational","9","","",""
"Yes","1999","Saxony-Anhalt","(2c_gen) general maturity certificate","1","","",""
"Yes","1999","Saxony-Anhalt","(2c_voc) vocational maturity certificate","","","",""
"Yes","1999","Saxony-Anhalt","(3a) lower tertiary education","6","","",""
"Yes","1999","Saxony-Anhalt","(3b) higher tertiary education","3","","",""
"Yes","1999","Thuringia","(0) in school","","","",""
"Yes","1999","Thuringia","(1a) inadequately completed","","","",""
"Yes","1999","Thuringia","(1b) general elementary school","1","","",""
"Yes","1999","Thuringia","(1c) basic vocational qualification","3","","",""
"Yes","1999","Thuringia","(2b) intermediate general qualification","","","",""
"Yes","1999","Thuringia","(2a) intermediate vocational","9","","",""
"Yes","1999","Thuringia","(2c_gen) general maturity certificate","","","",""
"Yes","1999","Thuringia","(2c_voc) vocational maturity certificate","1","","",""
"Yes","1999","Thuringia","(3a) lower tertiary education","4","","",""
"Yes","1999","Thuringia","(3b) higher tertiary education","","","",""
"No","1999","Schleswig-Holstein","(0) in school","7","","",""
"No","1999","Schleswig-Holstein","(1a) inadequately completed","7","","",""
"No","1999","Schleswig-Holstein","(1b) general elementary school","28","","",""
"No","1999","Schleswig-Holstein","(1c) basic vocational qualification","100","0.973331127661602","0.942366628926362","1.00429562639684"
"No","1999","Schleswig-Holstein","(2b) intermediate general qualification","11","","",""
"No","1999","Schleswig-Holstein","(2a) intermediate vocational","63","0.915687701112269","0.848653678841413","0.982721723383126"
"No","1999","Schleswig-Holstein","(2c_gen) general maturity certificate","9","","",""
"No","1999","Schleswig-Holstein","(2c_voc) vocational maturity certificate","17","","",""
"No","1999","Schleswig-Holstein","(3a) lower tertiary education","9","","",""
"No","1999","Schleswig-Holstein","(3b) higher tertiary education","8","","",""
"No","1999","Hamburg","(0) in school","2","","",""
"No","1999","Hamburg","(1a) inadequately completed","6","","",""
"No","1999","Hamburg","(1b) general elementary school","24","","",""
"No","1999","Hamburg","(1c) basic vocational qualification","39","0.958204257183704","0.896947890365392","1.01946062400202"
"No","1999","Hamburg","(2b) intermediate general qualification","5","","",""
"No","1999","Hamburg","(2a) intermediate vocational","16","","",""
"No","1999","Hamburg","(2c_gen) general maturity certificate","9","","",""
"No","1999","Hamburg","(2c_voc) vocational maturity certificate","8","","",""
"No","1999","Hamburg","(3a) lower tertiary education","3","","",""
"No","1999","Hamburg","(3b) higher tertiary education","5","","",""
"No","1999","Lower Saxony","(0) in school","21","","",""
"No","1999","Lower Saxony","(1a) inadequately completed","35","1","1","1"
"No","1999","Lower Saxony","(1b) general elementary school","173","0.961823564699125","0.933673235149285","0.989973894248965"
"No","1999","Lower Saxony","(1c) basic vocational qualification","297","0.901908743220253","0.869319854609207","0.9344976318313"
"No","1999","Lower Saxony","(2b) intermediate general qualification","54","0.945478163677958","0.887544222500228","1.00341210485569"
"No","1999","Lower Saxony","(2a) intermediate vocational","191","0.865716943068439","0.820662739302396","0.910771146834483"
"No","1999","Lower Saxony","(2c_gen) general maturity certificate","27","","",""
"No","1999","Lower Saxony","(2c_voc) vocational maturity certificate","60","0.861788898219046","0.78035683139725","0.943220965040841"
"No","1999","Lower Saxony","(3a) lower tertiary education","31","0.823580506791093","0.697298817369783","0.949862196212402"
"No","1999","Lower Saxony","(3b) higher tertiary education","34","0.766894970806891","0.641965321930335","0.891824619683448"
"No","1999","Bremen","(0) in school","2","","",""
"No","1999","Bremen","(1a) inadequately completed","2","","",""
"No","1999","Bremen","(1b) general elementary school","13","","",""
"No","1999","Bremen","(1c) basic vocational qualification","26","","",""
"No","1999","Bremen","(2b) intermediate general qualification","2","","",""
"No","1999","Bremen","(2a) intermediate vocational","13","","",""
"No","1999","Bremen","(2c_gen) general maturity certificate","4","","",""
"No","1999","Bremen","(2c_voc) vocational maturity certificate","5","","",""
"No","1999","Bremen","(3a) lower tertiary education","1","","",""
"No","1999","Bremen","(3b) higher tertiary education","7","","",""
"No","1999","North Rhine-Westphalia","(0) in school","51","0.930138217520217","0.862769183239536","0.997507251800898"
"No","1999","North Rhine-Westphalia","(1a) inadequately completed","128","0.956234489096971","0.921335782745687","0.991133195448255"
"No","1999","North Rhine-Westphalia","(1b) general elementary school","390","0.972522342399338","0.956502518311764","0.988542166486912"
"No","1999","North Rhine-Westphalia","(1c) basic vocational qualification","705","0.889843491028881","0.867955862265458","0.911731119792304"
"No","1999","North Rhine-Westphalia","(2b) intermediate general qualification","80","0.876647510387891","0.807941739557544","0.945353281218237"
"No","1999","North Rhine-Westphalia","(2a) intermediate vocational","299","0.798806244696595","0.757162376224931","0.840450113168259"
"No","1999","North Rhine-Westphalia","(2c_gen) general maturity certificate","90","0.861630894840564","0.794291749253845","0.928970040427282"
"No","1999","North Rhine-Westphalia","(2c_voc) vocational maturity certificate","137","0.837233944481905","0.779854695151153","0.894613193812657"
"No","1999","North Rhine-Westphalia","(3a) lower tertiary education","67","0.702694773233485","0.604950103894825","0.800439442572144"
"No","1999","North Rhine-Westphalia","(3b) higher tertiary education","101","0.634974184929605","0.554061155601839","0.71588721425737"
"No","1999","Hesse","(0) in school","17","","",""
"No","1999","Hesse","(1a) inadequately completed","52","1","1","1"
"No","1999","Hesse","(1b) general elementary school","156","0.984733079349366","0.965614547658897","1.00385161103983"
"No","1999","Hesse","(1c) basic vocational qualification","222","0.944825966314613","0.915634397338213","0.974017535291013"
"No","1999","Hesse","(2b) intermediate general qualification","28","","",""
"No","1999","Hesse","(2a) intermediate vocational","101","0.848706343259084","0.783497247139403","0.913915439378766"
"No","1999","Hesse","(2c_gen) general maturity certificate","31","1","1","1"
"No","1999","Hesse","(2c_voc) vocational maturity certificate","29","","",""
"No","1999","Hesse","(3a) lower tertiary education","25","","",""
"No","1999","Hesse","(3b) higher tertiary education","49","0.798388391847259","0.695136274078548","0.901640509615971"
"No","1999","Rhineland-Palatinate,Saarland","(0) in school","13","","",""
"No","1999","Rhineland-Palatinate,Saarland","(1a) inadequately completed","23","","",""
"No","1999","Rhineland-Palatinate,Saarland","(1b) general elementary school","164","0.985317775142795","0.967020848736923","1.00361470154867"
"No","1999","Rhineland-Palatinate,Saarland","(1c) basic vocational qualification","250","0.94765888165528","0.920793460999958","0.974524302310601"
"No","1999","Rhineland-Palatinate,Saarland","(2b) intermediate general qualification","20","","",""
"No","1999","Rhineland-Palatinate,Saarland","(2a) intermediate vocational","86","0.904127103011709","0.845536914768757","0.962717291254661"
"No","1999","Rhineland-Palatinate,Saarland","(2c_gen) general maturity certificate","13","","",""
"No","1999","Rhineland-Palatinate,Saarland","(2c_voc) vocational maturity certificate","22","","",""
"No","1999","Rhineland-Palatinate,Saarland","(3a) lower tertiary education","14","","",""
"No","1999","Rhineland-Palatinate,Saarland","(3b) higher tertiary education","22","","",""
"No","1999","Baden-Württemberg","(0) in school","29","","",""
"No","1999","Baden-Württemberg","(1a) inadequately completed","131","1","1","1"
"No","1999","Baden-Württemberg","(1b) general elementary school","358","0.944837289481421","0.921668945818929","0.968005633143913"
"No","1999","Baden-Württemberg","(1c) basic vocational qualification","458","0.927091726457441","0.904165405057777","0.950018047857106"
"No","1999","Baden-Württemberg","(2b) intermediate general qualification","48","0.858331885607183","0.766174440534746","0.950489330679619"
"No","1999","Baden-Württemberg","(2a) intermediate vocational","166","0.856162799578364","0.807159111636074","0.905166487520654"
"No","1999","Baden-Württemberg","(2c_gen) general maturity certificate","58","0.886717713498879","0.80718297293686","0.966252454060897"
"No","1999","Baden-Württemberg","(2c_voc) vocational maturity certificate","66","0.876548384696518","0.801087308220169","0.952009461172866"
"No","1999","Baden-Württemberg","(3a) lower tertiary education","32","0.752493292444758","0.618752806026431","0.886233778863085"
"No","1999","Baden-Württemberg","(3b) higher tertiary education","52","0.895658628114794","0.816297068969611","0.975020187259977"
"No","1999","Bavaria","(0) in school","13","","",""
"No","1999","Bavaria","(1a) inadequately completed","50","0.936949473870148","0.870887908174139","1.00301103956616"
"No","1999","Bavaria","(1b) general elementary school","274","0.940655652516878","0.913509604635513","0.967801700398243"
"No","1999","Bavaria","(1c) basic vocational qualification","523","0.885185588080622","0.85926317691211","0.911107999249135"
"No","1999","Bavaria","(2b) intermediate general qualification","56","0.816771589320565","0.724823998742996","0.908719179898134"
"No","1999","Bavaria","(2a) intermediate vocational","207","0.794426678092417","0.744825923030282","0.844027433154553"
"No","1999","Bavaria","(2c_gen) general maturity certificate","40","0.922629099767479","0.844566280267894","1.00069191926706"
"No","1999","Bavaria","(2c_voc) vocational maturity certificate","59","0.741021222524422","0.640528624936343","0.841513820112501"
"No","1999","Bavaria","(3a) lower tertiary education","52","0.823715900082197","0.727295759203056","0.920136040961337"
"No","1999","Bavaria","(3b) higher tertiary education","60","0.861158616130718","0.781837703305091","0.940479528956345"
"No","1999","Berlin","(0) in school","17","","",""
"No","1999","Berlin","(1a) inadequately completed","4","","",""
"No","1999","Berlin","(1b) general elementary school","39","1","1","1"
"No","1999","Berlin","(1c) basic vocational qualification","74","0.964109856122663","0.922828719103352","1.00539099314198"
"No","1999","Berlin","(2b) intermediate general qualification","18","","",""
"No","1999","Berlin","(2a) intermediate vocational","108","0.969128673919334","0.937094948851288","1.00116239898738"
"No","1999","Berlin","(2c_gen) general maturity certificate","19","","",""
"No","1999","Berlin","(2c_voc) vocational maturity certificate","19","","",""
"No","1999","Berlin","(3a) lower tertiary education","54","0.968537843291705","0.923612993222676","1.01346269336074"
"No","1999","Berlin","(3b) higher tertiary education","60","0.88008917760507","0.8028769351552","0.957301420054941"
"No","1999","Brandenburg","(0) in school","15","","",""
"No","1999","Brandenburg","(1a) inadequately completed","","","",""
"No","1999","Brandenburg","(1b) general elementary school","37","1","1","1"
"No","1999","Brandenburg","(1c) basic vocational qualification","134","0.976884484093931","0.951812889939614","1.00195607824825"
"No","1999","Brandenburg","(2b) intermediate general qualification","18","","",""
"No","1999","Brandenburg","(2a) intermediate vocational","182","0.924360761908783","0.886762686527492","0.961958837290074"
"No","1999","Brandenburg","(2c_gen) general maturity certificate","10","","",""
"No","1999","Brandenburg","(2c_voc) vocational maturity certificate","9","","",""
"No","1999","Brandenburg","(3a) lower tertiary education","93","0.940573737116667","0.893765672229513","0.987381802003821"
"No","1999","Brandenburg","(3b) higher tertiary education","38","0.961170318874318","0.901301569920217","1.02103906782842"
"No","1999","Mecklenburg-Western Pomerania","(0) in school","8","","",""
"No","1999","Mecklenburg-Western Pomerania","(1a) inadequately completed","3","","",""
"No","1999","Mecklenburg-Western Pomerania","(1b) general elementary school","18","","",""
"No","1999","Mecklenburg-Western Pomerania","(1c) basic vocational qualification","86","1","1","1"
"No","1999","Mecklenburg-Western Pomerania","(2b) intermediate general qualification","15","","",""
"No","1999","Mecklenburg-Western Pomerania","(2a) intermediate vocational","123","0.928386732976155","0.883891401949357","0.972882064002952"
"No","1999","Mecklenburg-Western Pomerania","(2c_gen) general maturity certificate","12","","",""
"No","1999","Mecklenburg-Western Pomerania","(2c_voc) vocational maturity certificate","5","","",""
"No","1999","Mecklenburg-Western Pomerania","(3a) lower tertiary education","60","1","1","1"
"No","1999","Mecklenburg-Western Pomerania","(3b) higher tertiary education","22","","",""
"No","1999","Saxony","(0) in school","26","","",""
"No","1999","Saxony","(1a) inadequately completed","6","","",""
"No","1999","Saxony","(1b) general elementary school","68","0.985817391279359","0.958117671890431","1.01351711066829"
"No","1999","Saxony","(1c) basic vocational qualification","279","0.988426507484359","0.975987282282579","1.00086573268614"
"No","1999","Saxony","(2b) intermediate general qualification","49","0.984154575142383","0.94954098149698","1.01876816878779"
"No","1999","Saxony","(2a) intermediate vocational","341","0.914526587692877","0.885883407339455","0.943169768046299"
"No","1999","Saxony","(2c_gen) general maturity certificate","27","","",""
"No","1999","Saxony","(2c_voc) vocational maturity certificate","26","","",""
"No","1999","Saxony","(3a) lower tertiary education","125","0.912209692707377","0.864473054331822","0.959946331082932"
"No","1999","Saxony","(3b) higher tertiary education","82","0.916244613842165","0.859012613384684","0.973476614299645"
"No","1999","Saxony-Anhalt","(0) in school","15","","",""
"No","1999","Saxony-Anhalt","(1a) inadequately completed","3","","",""
"No","1999","Saxony-Anhalt","(1b) general elementary school","52","1","1","1"
"No","1999","Saxony-Anhalt","(1c) basic vocational qualification","180","0.939595558623578","0.90535849320358","0.973832624043577"
"No","1999","Saxony-Anhalt","(2b) intermediate general qualification","30","0.98344528488098","0.938529064799074","1.02836150496289"
"No","1999","Saxony-Anhalt","(2a) intermediate vocational","186","0.92996176233189","0.894141320692061","0.965782203971719"
"No","1999","Saxony-Anhalt","(2c_gen) general maturity certificate","13","","",""
"No","1999","Saxony-Anhalt","(2c_voc) vocational maturity certificate","18","","",""
"No","1999","Saxony-Anhalt","(3a) lower tertiary education","91","0.951374995264627","0.908572615241683","0.994177375287572"
"No","1999","Saxony-Anhalt","(3b) higher tertiary education","38","0.955301372067813","0.892049488979082","1.01855325515654"
"No","1999","Thuringia","(0) in school","13","","",""
"No","1999","Thuringia","(1a) inadequately completed","6","","",""
"No","1999","Thuringia","(1b) general elementary school","41","0.989941885607335","0.959764154730568","1.0201196164841"
"No","1999","Thuringia","(1c) basic vocational qualification","208","0.986249228575761","0.970536061326593","1.00196239582493"
"No","1999","Thuringia","(2b) intermediate general qualification","28","","",""
"No","1999","Thuringia","(2a) intermediate vocational","223","0.967530140870592","0.944722700273439","0.990337581467745"
"No","1999","Thuringia","(2c_gen) general maturity certificate","12","","",""
"No","1999","Thuringia","(2c_voc) vocational maturity certificate","16","","",""
"No","1999","Thuringia","(3a) lower tertiary education","76","0.945467588659236","0.895710636353988","0.995224540964483"
"No","1999","Thuringia","(3b) higher tertiary education","41","1","1","1"
"Yes","2000","Schleswig-Holstein","(0) in school","","","",""
"Yes","2000","Schleswig-Holstein","(1a) inadequately completed","","","",""
"Yes","2000","Schleswig-Holstein","(1b) general elementary school","2","","",""
"Yes","2000","Schleswig-Holstein","(1c) basic vocational qualification","15","","",""
"Yes","2000","Schleswig-Holstein","(2b) intermediate general qualification","1","","",""
"Yes","2000","Schleswig-Holstein","(2a) intermediate vocational","16","","",""
"Yes","2000","Schleswig-Holstein","(2c_gen) general maturity certificate","2","","",""
"Yes","2000","Schleswig-Holstein","(2c_voc) vocational maturity certificate","2","","",""
"Yes","2000","Schleswig-Holstein","(3a) lower tertiary education","2","","",""
"Yes","2000","Schleswig-Holstein","(3b) higher tertiary education","7","","",""
"Yes","2000","Hamburg","(0) in school","","","",""
"Yes","2000","Hamburg","(1a) inadequately completed","","","",""
"Yes","2000","Hamburg","(1b) general elementary school","","","",""
"Yes","2000","Hamburg","(1c) basic vocational qualification","4","","",""
"Yes","2000","Hamburg","(2b) intermediate general qualification","","","",""
"Yes","2000","Hamburg","(2a) intermediate vocational","7","","",""
"Yes","2000","Hamburg","(2c_gen) general maturity certificate","","","",""
"Yes","2000","Hamburg","(2c_voc) vocational maturity certificate","2","","",""
"Yes","2000","Hamburg","(3a) lower tertiary education","1","","",""
"Yes","2000","Hamburg","(3b) higher tertiary education","5","","",""
"Yes","2000","Lower Saxony","(0) in school","3","","",""
"Yes","2000","Lower Saxony","(1a) inadequately completed","","","",""
"Yes","2000","Lower Saxony","(1b) general elementary school","6","","",""
"Yes","2000","Lower Saxony","(1c) basic vocational qualification","51","0.0871024744613635","0.0655074498957479","0.108697499026979"
"Yes","2000","Lower Saxony","(2b) intermediate general qualification","6","","",""
"Yes","2000","Lower Saxony","(2a) intermediate vocational","56","0.131447588790425","0.0994738242752017","0.163421353305647"
"Yes","2000","Lower Saxony","(2c_gen) general maturity certificate","5","","",""
"Yes","2000","Lower Saxony","(2c_voc) vocational maturity certificate","16","","",""
"Yes","2000","Lower Saxony","(3a) lower tertiary education","9","","",""
"Yes","2000","Lower Saxony","(3b) higher tertiary education","16","","",""
"Yes","2000","Bremen","(0) in school","","","",""
"Yes","2000","Bremen","(1a) inadequately completed","","","",""
"Yes","2000","Bremen","(1b) general elementary school","1","","",""
"Yes","2000","Bremen","(1c) basic vocational qualification","4","","",""
"Yes","2000","Bremen","(2b) intermediate general qualification","1","","",""
"Yes","2000","Bremen","(2a) intermediate vocational","2","","",""
"Yes","2000","Bremen","(2c_gen) general maturity certificate","","","",""
"Yes","2000","Bremen","(2c_voc) vocational maturity certificate","1","","",""
"Yes","2000","Bremen","(3a) lower tertiary education","1","","",""
"Yes","2000","Bremen","(3b) higher tertiary education","","","",""
"Yes","2000","North Rhine-Westphalia","(0) in school","9","","",""
"Yes","2000","North Rhine-Westphalia","(1a) inadequately completed","6","","",""
"Yes","2000","North Rhine-Westphalia","(1b) general elementary school","23","","",""
"Yes","2000","North Rhine-Westphalia","(1c) basic vocational qualification","173","0.101277026240634","0.0868116991537076","0.115742353327561"
"Yes","2000","North Rhine-Westphalia","(2b) intermediate general qualification","11","","",""
"Yes","2000","North Rhine-Westphalia","(2a) intermediate vocational","139","0.192645294823756","0.164716956321779","0.220573633325733"
"Yes","2000","North Rhine-Westphalia","(2c_gen) general maturity certificate","27","","",""
"Yes","2000","North Rhine-Westphalia","(2c_voc) vocational maturity certificate","64","0.161248535213569","0.12578046168752","0.196716608739618"
"Yes","2000","North Rhine-Westphalia","(3a) lower tertiary education","63","0.412182297784419","0.341060098468242","0.483304497100596"
"Yes","2000","North Rhine-Westphalia","(3b) higher tertiary education","74","0.317070158552106","0.261358456864735","0.372781860239477"
"Yes","2000","Hesse","(0) in school","","","",""
"Yes","2000","Hesse","(1a) inadequately completed","1","","",""
"Yes","2000","Hesse","(1b) general elementary school","1","","",""
"Yes","2000","Hesse","(1c) basic vocational qualification","29","","",""
"Yes","2000","Hesse","(2b) intermediate general qualification","1","","",""
"Yes","2000","Hesse","(2a) intermediate vocational","36","0.152697509137157","0.111299037308031","0.194095980966282"
"Yes","2000","Hesse","(2c_gen) general maturity certificate","","","",""
"Yes","2000","Hesse","(2c_voc) vocational maturity certificate","17","","",""
"Yes","2000","Hesse","(3a) lower tertiary education","15","","",""
"Yes","2000","Hesse","(3b) higher tertiary education","22","","",""
