"ple0098_v5","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"No","2000","16-34 y.","Single parent ","446","0.941854074144197","0.920719714531687","0.962988433756707"
"No","2000","16-34 y.","Couple + C. LE 16 ","1725","0.915799410624397","0.903220213745657","0.928378607503137"
"No","2000","16-34 y.","Couple + C. GT 16 ","1230","0.921719998646434","0.907283988187186","0.936156009105683"
"No","2000","16-34 y.","Couple + C. LE and GT 16","631","0.951219923722218","0.934823352740079","0.967616494704357"
"No","2000","35-65 y.","1-pers.-HH","1031","0.880285652698258","0.861531590932047","0.899039714464468"
"No","2000","35-65 y.","(Married) couple without C. ","3295","0.873018967275654","0.862303750995666","0.883734183555642"
"No","2000","35-65 y.","Single parent ","516","0.895806405867789","0.870747758286828","0.920865053448751"
"No","2000","35-65 y.","Couple + C. LE 16 ","2463","0.892420252705015","0.880831203860513","0.904009301549518"
"No","2000","35-65 y.","Couple + C. GT 16 ","1871","0.908167007397429","0.895632083346611","0.920701931448246"
"No","2000","35-65 y.","Couple + C. LE and GT 16","1000","0.931034032325424","0.915865243909921","0.946202820740927"
"No","2000","66 and older","1-pers.-HH","995","0.931131405025794","0.915894158370407","0.946368651681181"
"No","2000","66 and older","(Married) couple without C. ","1723","0.914376920812842","0.901705151700751","0.927048689924933"
"No","2000","66 and older","Single parent ","68","0.989461469934224","0.965367242320882","1.01355569754757"
"No","2000","66 and older","Couple + C. LE 16 ","4","","",""
"No","2000","66 and older","Couple + C. GT 16 ","139","0.972454662974987","0.945723024944607","0.999186301005367"
"No","2000","66 and older","Couple + C. LE and GT 16","2","","",""
"Yes","2001","16-34 y.","1-pers.-HH","52","0.0950521048628102","0.0722764417031544","0.117827768022466"
"Yes","2001","16-34 y.","(Married) couple without C. ","117","0.138803586570826","0.116955570565881","0.160651602575771"
"Yes","2001","16-34 y.","Single parent ","23","","",""
"Yes","2001","16-34 y.","Couple + C. LE 16 ","141","0.0967140031742992","0.0822585191080422","0.111169487240556"
"Yes","2001","16-34 y.","Couple + C. GT 16 ","102","0.09034947080214","0.074142720088549","0.106556221515731"
"Yes","2001","16-34 y.","Couple + C. LE and GT 16","21","","",""
"Yes","2001","35-65 y.","1-pers.-HH","116","0.129130942780438","0.108962265191188","0.149299620369689"
"Yes","2001","35-65 y.","(Married) couple without C. ","321","0.117863210175813","0.106898292454211","0.128828127897415"
"Yes","2001","35-65 y.","Single parent ","40","0.0709344920417781","0.0490789261302918","0.0927900579532645"
"Yes","2001","35-65 y.","Couple + C. LE 16 ","306","0.128619983329596","0.115694437131387","0.141545529527805"
"Yes","2001","35-65 y.","Couple + C. GT 16 ","186","0.105731873283284","0.0917613799035306","0.119702366663038"
"Yes","2001","35-65 y.","Couple + C. LE and GT 16","61","0.0598860390750888","0.0450380844030645","0.074733993747113"
"Yes","2001","66 and older","1-pers.-HH","61","0.0681524909036812","0.0521944847744542","0.0841104970329083"
"Yes","2001","66 and older","(Married) couple without C. ","133","0.0808327978859555","0.0682545285541066","0.0934110672178045"
"Yes","2001","66 and older","Single parent ","1","","",""
"Yes","2001","66 and older","Couple + C. LE 16 ","","","",""
"Yes","2001","66 and older","Couple + C. GT 16 ","6","","",""
"Yes","2001","66 and older","Couple + C. LE and GT 16","","","",""
"No","2001","16-34 y.","1-pers.-HH","585","0.90494789513719","0.882172231977534","0.927723558296846"
"No","2001","16-34 y.","(Married) couple without C. ","845","0.861196413429175","0.83934839742423","0.88304442943412"
"No","2001","16-34 y.","Single parent ","414","0.954236278446433","0.934643501169216","0.97382905572365"
"No","2001","16-34 y.","Couple + C. LE 16 ","1465","0.903285996825701","0.888830512759444","0.917741480891958"
"No","2001","16-34 y.","Couple + C. GT 16 ","1100","0.90965052919786","0.893443778484269","0.925857279911451"
"No","2001","16-34 y.","Couple + C. LE and GT 16","584","0.973299502846584","0.960453934376122","0.986145071317047"
"No","2001","35-65 y.","1-pers.-HH","946","0.870869057219562","0.850700379630311","0.891037734808812"
"No","2001","35-65 y.","(Married) couple without C. ","3001","0.882136789824187","0.871171872102585","0.893101707545789"
"No","2001","35-65 y.","Single parent ","490","0.929065507958222","0.907209942046736","0.950921073869708"
"No","2001","35-65 y.","Couple + C. LE 16 ","2271","0.871380016670404","0.858454470472195","0.884305562868613"
"No","2001","35-65 y.","Couple + C. GT 16 ","1675","0.894268126716716","0.880297633336962","0.908238620096469"
"No","2001","35-65 y.","Couple + C. LE and GT 16","920","0.940113960924911","0.925266006252887","0.954961915596936"
"No","2001","66 and older","1-pers.-HH","897","0.931847509096319","0.915889502967092","0.947805515225546"
"No","2001","66 and older","(Married) couple without C. ","1671","0.919167202114044","0.906588932782195","0.931745471445893"
"No","2001","66 and older","Single parent ","68","0.989649357995332","0.96576861343155","1.01353010255911"
"No","2001","66 and older","Couple + C. LE 16 ","3","","",""
"No","2001","66 and older","Couple + C. GT 16 ","137","0.967811351410097","0.938882792479443","0.996739910340752"
"No","2001","66 and older","Couple + C. LE and GT 16","2","","",""
"Yes","2002","16-34 y.","1-pers.-HH","56","0.107009865231715","0.0827748486366782","0.131244881826751"
"Yes","2002","16-34 y.","(Married) couple without C. ","118","0.141802940390382","0.118948388912832","0.164657491867932"
"Yes","2002","16-34 y.","Single parent ","19","","",""
"Yes","2002","16-34 y.","Couple + C. LE 16 ","149","0.103940820327754","0.0878566591061772","0.12002498154933"
"Yes","2002","16-34 y.","Couple + C. GT 16 ","131","0.0813631262739783","0.0663976745928294","0.0963285779551271"
"Yes","2002","16-34 y.","Couple + C. LE and GT 16","42","0.0578133509961344","0.0397174502181097","0.0759092517741592"
"Yes","2002","35-65 y.","1-pers.-HH","107","0.11255211575137","0.0934631602204951","0.131641071282246"
"Yes","2002","35-65 y.","(Married) couple without C. ","465","0.124948707249025","0.113908605057346","0.135988809440703"
"Yes","2002","35-65 y.","Single parent ","52","0.0935144134166435","0.068489870840714","0.118538955992573"
"Yes","2002","35-65 y.","Couple + C. LE 16 ","362","0.133851995434139","0.12075654033659","0.146947450531688"
"Yes","2002","35-65 y.","Couple + C. GT 16 ","253","0.106777273191084","0.093084068299016","0.120470478083151"
"Yes","2002","35-65 y.","Couple + C. LE and GT 16","101","0.0805809162526118","0.0638522825363561","0.0973095499688674"
"Yes","2002","66 and older","1-pers.-HH","75","0.0871382624741621","0.0693985969921806","0.104877927956144"
"Yes","2002","66 and older","(Married) couple without C. ","209","0.0946773583221904","0.0816259637091627","0.107728752935218"
"Yes","2002","66 and older","Single parent ","2","","",""
"Yes","2002","66 and older","Couple + C. LE 16 ","","","",""
"Yes","2002","66 and older","Couple + C. GT 16 ","1","","",""
"Yes","2002","66 and older","Couple + C. LE and GT 16","","","",""
"No","2002","16-34 y.","1-pers.-HH","569","0.892990134768285","0.868755118173249","0.917225151363322"
"No","2002","16-34 y.","(Married) couple without C. ","777","0.858197059609618","0.835342508132068","0.881051611087168"
"No","2002","16-34 y.","Single parent ","418","0.954937067182629","0.935487744805446","0.974386389559812"
"No","2002","16-34 y.","Couple + C. LE 16 ","1234","0.896059179672246","0.87997501845067","0.912143340893823"
"No","2002","16-34 y.","Couple + C. GT 16 ","1151","0.918636873726022","0.903671422044873","0.93360232540717"
"No","2002","16-34 y.","Couple + C. LE and GT 16","597","0.942186649003866","0.924090748225841","0.96028254978189"
"No","2002","35-65 y.","1-pers.-HH","946","0.88744788424863","0.868358928717754","0.906536839779505"
"No","2002","35-65 y.","(Married) couple without C. ","2981","0.875051292750975","0.864011190559297","0.886091394942654"
"No","2002","35-65 y.","Single parent ","468","0.906485586583357","0.881461044007427","0.931510129159286"
"No","2002","35-65 y.","Couple + C. LE 16 ","2235","0.866148004565861","0.853052549468312","0.87924345966341"
"No","2002","35-65 y.","Couple + C. GT 16 ","1701","0.893222726808916","0.879529521916849","0.906915931700984"
"No","2002","35-65 y.","Couple + C. LE and GT 16","916","0.919419083747388","0.902690450031133","0.936147717463644"
"No","2002","66 and older","1-pers.-HH","896","0.912861737525838","0.895122072043856","0.930601403007819"
"No","2002","66 and older","(Married) couple without C. ","1724","0.90532264167781","0.892271247064782","0.918374036290837"
"No","2002","66 and older","Single parent ","71","0.990828657920608","0.968960994196662","1.01269632164455"
"No","2002","66 and older","Couple + C. LE 16 ","3","","",""
"No","2002","66 and older","Couple + C. GT 16 ","149","0.994903337573793","0.983507773167035","1.00629890198055"
"No","2002","66 and older","Couple + C. LE and GT 16","2","","",""
"Yes","2003","16-34 y.","1-pers.-HH","60","0.101059520609979","0.0765300497588575","0.1255889914611"
"Yes","2003","16-34 y.","(Married) couple without C. ","116","0.130491540596593","0.108411116191463","0.152571965001723"
"Yes","2003","16-34 y.","Single parent ","25","","",""
"Yes","2003","16-34 y.","Couple + C. LE 16 ","130","0.108892223935792","0.0918071763429134","0.125977271528672"
"Yes","2003","16-34 y.","Couple + C. GT 16 ","154","0.120294956452943","0.102396749288684","0.138193163617202"
"Yes","2003","16-34 y.","Couple + C. LE and GT 16","35","0.0514372986258591","0.0336137496760461","0.0692608475756721"
"Yes","2003","35-65 y.","1-pers.-HH","110","0.119593353526127","0.0997480362047088","0.139438670847545"
"Yes","2003","35-65 y.","(Married) couple without C. ","446","0.117873507783314","0.106894947891418","0.12885206767521"
"Yes","2003","35-65 y.","Single parent ","44","0.0757809829210604","0.0530998463394524","0.0984621195026685"
"Yes","2003","35-65 y.","Couple + C. LE 16 ","354","0.141841525501743","0.127830734429233","0.155852316574253"
"Yes","2003","35-65 y.","Couple + C. GT 16 ","236","0.114442712183467","0.100150842602885","0.128734581764049"
"Yes","2003","35-65 y.","Couple + C. LE and GT 16","96","0.0921240782107403","0.0740267937000088","0.110221362721472"
"Yes","2003","66 and older","1-pers.-HH","69","0.0781029022320461","0.06129430173552","0.0949115027285722"
"Yes","2003","66 and older","(Married) couple without C. ","218","0.0999442452168698","0.0867600536785846","0.113128436755155"
"Yes","2003","66 and older","Single parent ","4","","",""
"Yes","2003","66 and older","Couple + C. LE 16 ","","","",""
"Yes","2003","66 and older","Couple + C. GT 16 ","7","","",""
"Yes","2003","66 and older","Couple + C. LE and GT 16","","","",""
"No","2003","16-34 y.","1-pers.-HH","520","0.898940479390021","0.8744110085389","0.923469950241142"
"No","2003","16-34 y.","(Married) couple without C. ","778","0.869508459403407","0.847428034998277","0.891588883808537"
"No","2003","16-34 y.","Single parent ","407","0.943009779432517","0.92114905826803","0.964870500597004"
"No","2003","16-34 y.","Couple + C. LE 16 ","1147","0.891107776064208","0.874022728471328","0.908192823657087"
"No","2003","16-34 y.","Couple + C. GT 16 ","1115","0.879705043547057","0.861806836382798","0.897603250711316"
"No","2003","16-34 y.","Couple + C. LE and GT 16","555","0.948562701374141","0.930739152424328","0.966386250323954"
"No","2003","35-65 y.","1-pers.-HH","917","0.880406646473873","0.860561329152455","0.900251963795291"
"No","2003","35-65 y.","(Married) couple without C. ","2868","0.882126492216686","0.87114793232479","0.893105052108582"
"No","2003","35-65 y.","Single parent ","479","0.924219017078939","0.901537880497331","0.946900153660548"
"No","2003","35-65 y.","Couple + C. LE 16 ","2028","0.858158474498257","0.844147683425747","0.872169265570767"
"No","2003","35-65 y.","Couple + C. GT 16 ","1670","0.885557287816533","0.871265418235951","0.899849157397115"
"No","2003","35-65 y.","Couple + C. LE and GT 16","885","0.90787592178926","0.889778637278528","0.925973206299991"
"No","2003","66 and older","1-pers.-HH","910","0.921897097767954","0.905088497271428","0.93870569826448"
"No","2003","66 and older","(Married) couple without C. ","1770","0.90005575478313","0.886871563244845","0.913239946321415"
"No","2003","66 and older","Single parent ","61","0.957541109981436","0.908523238909566","1.00655898105331"
"No","2003","66 and older","Couple + C. LE 16 ","2","","",""
"No","2003","66 and older","Couple + C. GT 16 ","153","0.93393945194617","0.895452054328706","0.972426849563634"
"No","2003","66 and older","Couple + C. LE and GT 16","","","",""
"Yes","2004","16-34 y.","1-pers.-HH","68","0.128496510312325","0.100630586810029","0.15636243381462"
"Yes","2004","16-34 y.","(Married) couple without C. ","134","0.135020474158887","0.112889369984235","0.157151578333538"
"Yes","2004","16-34 y.","Single parent ","34","0.0810588244038794","0.0549260760867959","0.107191572720963"
"Yes","2004","16-34 y.","Couple + C. LE 16 ","110","0.0949590526772596","0.0778131436965929","0.112104961657926"
"Yes","2004","16-34 y.","Couple + C. GT 16 ","142","0.0976151195294084","0.0811157641487801","0.114114474910037"
"Yes","2004","16-34 y.","Couple + C. LE and GT 16","47","0.0735558727034574","0.0523658166154311","0.0947459287914836"
"Yes","2004","35-65 y.","1-pers.-HH","112","0.12327064428047","0.102792382009408","0.143748906551531"
"Yes","2004","35-65 y.","(Married) couple without C. ","435","0.12415960323211","0.112605188453573","0.135714018010646"
"Yes","2004","35-65 y.","Single parent ","53","0.115005673253648","0.0873717220595662","0.14263962444773"
"Yes","2004","35-65 y.","Couple + C. LE 16 ","344","0.145932928492827","0.131429035063725","0.160436821921929"
"Yes","2004","35-65 y.","Couple + C. GT 16 ","277","0.128724135601198","0.113728731542368","0.143719539660029"
"Yes","2004","35-65 y.","Couple + C. LE and GT 16","110","0.134851535463387","0.113027927678036","0.156675143248738"
"Yes","2004","66 and older","1-pers.-HH","78","0.0854893705463853","0.0680808564968829","0.102897884595888"
"Yes","2004","66 and older","(Married) couple without C. ","245","0.102922918939574","0.0898989904644684","0.11594684741468"
"Yes","2004","66 and older","Single parent ","4","","",""
"Yes","2004","66 and older","Couple + C. LE 16 ","","","",""
"Yes","2004","66 and older","Couple + C. GT 16 ","7","","",""
"Yes","2004","66 and older","Couple + C. LE and GT 16","","","",""
"No","2004","16-34 y.","1-pers.-HH","486","0.871503489687675","0.84363756618538","0.899369413189971"
"No","2004","16-34 y.","(Married) couple without C. ","782","0.864979525841113","0.842848421666462","0.887110630015765"
"No","2004","16-34 y.","Single parent ","385","0.918941175596121","0.892808427279037","0.945073923913204"
"No","2004","16-34 y.","Couple + C. LE 16 ","1013","0.90504094732274","0.887895038342074","0.922186856303407"
"No","2004","16-34 y.","Couple + C. GT 16 ","1101","0.902384880470592","0.885885525089963","0.91888423585122"
"No","2004","16-34 y.","Couple + C. LE and GT 16","536","0.926444127296543","0.905254071208516","0.947634183384569"
"No","2004","35-65 y.","1-pers.-HH","878","0.87672935571953","0.856251093448469","0.897207617990592"
"No","2004","35-65 y.","(Married) couple without C. ","2694","0.87584039676789","0.864285981989354","0.887394811546427"
"No","2004","35-65 y.","Single parent ","459","0.884994326746352","0.85736037555227","0.912628277940434"
"No","2004","35-65 y.","Couple + C. LE 16 ","1932","0.854067071507173","0.839563178078071","0.868570964936275"
"No","2004","35-65 y.","Couple + C. GT 16 ","1639","0.871275864398802","0.856280460339971","0.886271268457632"
"No","2004","35-65 y.","Couple + C. LE and GT 16","831","0.865148464536613","0.843324856751262","0.886972072321964"
"No","2004","66 and older","1-pers.-HH","913","0.914510629453615","0.897102115404112","0.931919143503117"
"No","2004","66 and older","(Married) couple without C. ","1846","0.897077081060426","0.88405315258532","0.910101009535532"
"No","2004","66 and older","Single parent ","62","0.969283901547503","0.927655987554045","1.01091181554096"
"No","2004","66 and older","Couple + C. LE 16 ","2","","",""
"No","2004","66 and older","Couple + C. GT 16 ","140","0.915402233728798","0.870416495105149","0.960387972352447"
"No","2004","66 and older","Couple + C. LE and GT 16","","","",""
"Yes","2005","16-34 y.","1-pers.-HH","89","0.175844551794163","0.145383738734332","0.206305364853994"
"Yes","2005","16-34 y.","(Married) couple without C. ","142","0.150341201215034","0.126055663968179","0.174626738461889"
"Yes","2005","16-34 y.","Single parent ","28","","",""
"Yes","2005","16-34 y.","Couple + C. LE 16 ","142","0.134830044867886","0.113849427851652","0.155810661884121"
"Yes","2005","16-34 y.","Couple + C. GT 16 ","128","0.106266820870225","0.0884784480944472","0.124055193646004"
"Yes","2005","16-34 y.","Couple + C. LE and GT 16","40","0.0733958767424065","0.051621023475252","0.0951707300095611"
"Yes","2005","35-65 y.","1-pers.-HH","132","0.154107655096274","0.131339429741538","0.176875880451011"
"Yes","2005","35-65 y.","(Married) couple without C. ","470","0.144676005746381","0.132041759794849","0.157310251697914"
"Yes","2005","35-65 y.","Single parent ","54","0.0962958202957154","0.0710136640730136","0.121577976518417"
"Yes","2005","35-65 y.","Couple + C. LE 16 ","351","0.151500168140903","0.136036215864495","0.166964120417311"
"Yes","2005","35-65 y.","Couple + C. GT 16 ","227","0.107067960591099","0.0927119685305043","0.121423952651694"
"Yes","2005","35-65 y.","Couple + C. LE and GT 16","114","0.137805849995939","0.115248491976331","0.160363208015548"
"Yes","2005","66 and older","1-pers.-HH","87","0.0959962949713871","0.0776367342363639","0.11435585570641"
"Yes","2005","66 and older","(Married) couple without C. ","263","0.116966280560705","0.103224150685998","0.130708410435412"
"Yes","2005","66 and older","Single parent ","5","","",""
"Yes","2005","66 and older","Couple + C. LE 16 ","","","",""
"Yes","2005","66 and older","Couple + C. GT 16 ","6","","",""
"Yes","2005","66 and older","Couple + C. LE and GT 16","","","",""
"No","2005","16-34 y.","1-pers.-HH","511","0.824155448205837","0.793694635146006","0.854616261265668"
"No","2005","16-34 y.","(Married) couple without C. ","690","0.849658798784966","0.825373261538111","0.873944336031821"
"No","2005","16-34 y.","Single parent ","402","0.919289840552448","0.893544170679275","0.945035510425621"
"No","2005","16-34 y.","Couple + C. LE 16 ","876","0.865169955132113","0.844189338115879","0.886150572148348"
"No","2005","16-34 y.","Couple + C. GT 16 ","1025","0.893733179129775","0.875944806353996","0.911521551905553"
"No","2005","16-34 y.","Couple + C. LE and GT 16","511","0.926604123257593","0.904829269990439","0.948378976524748"
"No","2005","35-65 y.","1-pers.-HH","834","0.845892344903726","0.823124119548989","0.868660570258462"
"No","2005","35-65 y.","(Married) couple without C. ","2508","0.855323994253619","0.842689748302086","0.867958240205151"
"No","2005","35-65 y.","Single parent ","469","0.903704179704285","0.878422023481583","0.928986335926986"
"No","2005","35-65 y.","Couple + C. LE 16 ","1714","0.848499831859097","0.833035879582689","0.863963784135505"
"No","2005","35-65 y.","Couple + C. GT 16 ","1555","0.892932039408901","0.878576047348306","0.907288031469496"
"No","2005","35-65 y.","Couple + C. LE and GT 16","783","0.862194150004061","0.839636791984452","0.884751508023669"
"No","2005","66 and older","1-pers.-HH","902","0.904003705028613","0.88564414429359","0.922363265763636"
"No","2005","66 and older","(Married) couple without C. ","1838","0.883033719439295","0.869291589564588","0.896775849314002"
"No","2005","66 and older","Single parent ","51","0.952767028856538","0.897206026766277","1.0083280309468"
"No","2005","66 and older","Couple + C. LE 16 ","2","","",""
"No","2005","66 and older","Couple + C. GT 16 ","142","0.941608981604066","0.903832147893536","0.979385815314595"
"No","2005","66 and older","Couple + C. LE and GT 16","","","",""
"Yes","2006","16-34 y.","1-pers.-HH","105","0.195198173253745","0.164049808628918","0.226346537878572"
"Yes","2006","16-34 y.","(Married) couple without C. ","163","0.180448637015791","0.154396086090256","0.206501187941326"
"Yes","2006","16-34 y.","Single parent ","31","0.0923895497927094","0.064117536444121","0.120661563141298"
"Yes","2006","16-34 y.","Couple + C. LE 16 ","148","0.141880214324309","0.120591809604921","0.163168619043696"
"Yes","2006","16-34 y.","Couple + C. GT 16 ","124","0.0973357117400653","0.0798824160788026","0.114789007401328"
"Yes","2006","16-34 y.","Couple + C. LE and GT 16","32","0.0884163969327656","0.0612652547085597","0.115567539156972"
"Yes","2006","35-65 y.","1-pers.-HH","168","0.154984576392804","0.133618053520617","0.176351099264991"
"Yes","2006","35-65 y.","(Married) couple without C. ","623","0.168199457182606","0.155379218542422","0.18101969582279"
"Yes","2006","35-65 y.","Single parent ","77","0.133223191064156","0.105709881126389","0.160736501001923"
"Yes","2006","35-65 y.","Couple + C. LE 16 ","459","0.186074703880644","0.169875219709481","0.202274188051807"
"Yes","2006","35-65 y.","Couple + C. GT 16 ","289","0.140800581536122","0.124972606904797","0.156628556167448"
"Yes","2006","35-65 y.","Couple + C. LE and GT 16","132","0.135291960592609","0.112271134265132","0.158312786920086"
"Yes","2006","66 and older","1-pers.-HH","113","0.101486800010897","0.0841168330868156","0.118856766934978"
"Yes","2006","66 and older","(Married) couple without C. ","331","0.116738723455935","0.104191580735843","0.129285866176027"
"Yes","2006","66 and older","Single parent ","8","","",""
"Yes","2006","66 and older","Couple + C. LE 16 ","","","",""
"Yes","2006","66 and older","Couple + C. GT 16 ","14","","",""
"Yes","2006","66 and older","Couple + C. LE and GT 16","","","",""
"No","2006","16-34 y.","1-pers.-HH","517","0.804801826746255","0.773653462121428","0.835950191371083"
"No","2006","16-34 y.","(Married) couple without C. ","674","0.819551362984208","0.793498812058674","0.845603913909743"
"No","2006","16-34 y.","Single parent ","372","0.907610450207291","0.879338436858702","0.935882463555879"
"No","2006","16-34 y.","Couple + C. LE 16 ","884","0.858119785675691","0.836831380956304","0.879408190395079"
"No","2006","16-34 y.","Couple + C. GT 16 ","984","0.902664288259935","0.885210992598672","0.920117583921197"
"No","2006","16-34 y.","Couple + C. LE and GT 16","388","0.911583603067234","0.884432460843029","0.93873474529144"
"No","2006","35-65 y.","1-pers.-HH","934","0.845015423607196","0.823648900735009","0.866381946479383"
"No","2006","35-65 y.","(Married) couple without C. ","2647","0.831800542817394","0.818980304177209","0.844620781457578"
"No","2006","35-65 y.","Single parent ","509","0.866776808935844","0.839263498998077","0.894290118873611"
"No","2006","35-65 y.","Couple + C. LE 16 ","1758","0.813925296119356","0.797725811948192","0.830124780290519"
"No","2006","35-65 y.","Couple + C. GT 16 ","1566","0.859199418463877","0.843371443832552","0.875027393095203"
"No","2006","35-65 y.","Couple + C. LE and GT 16","716","0.864708039407391","0.841687213079914","0.887728865734868"
"No","2006","66 and older","1-pers.-HH","1048","0.898513199989103","0.881143233065022","0.915883166913184"
"No","2006","66 and older","(Married) couple without C. ","2185","0.883261276544065","0.870714133823973","0.895808419264157"
"No","2006","66 and older","Single parent ","55","0.907381417498997","0.835796451705286","0.978966383292708"
"No","2006","66 and older","Couple + C. LE 16 ","2","","",""
"No","2006","66 and older","Couple + C. GT 16 ","129","0.861272316595365","0.804618146330789","0.91792648685994"
"No","2006","66 and older","Couple + C. LE and GT 16","3","","",""
"Yes","2007","16-34 y.","1-pers.-HH","99","0.160849888522201","0.130636173152689","0.191063603891714"
"Yes","2007","16-34 y.","(Married) couple without C. ","167","0.229570633599058","0.199492374011929","0.259648893186186"
"Yes","2007","16-34 y.","Single parent ","30","0.0801821554664183","0.052912768054177","0.10745154287866"
