"pli0098_h","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence"
"Never","1992","in school","Male","45","0.456162207941922","0.354385471578863","0.55793894430498"
"Never","1992","in school","Female","55","0.506197922242116","0.404586331037049","0.607809513447183"
"Never","1992","inadequately","Male","114","0.521359500506712","0.459926093660416","0.582792907353009"
"Never","1992","inadequately","Female","170","0.542184360517563","0.491691369757978","0.592677351277149"
"Never","1992","general elemantary","Male","542","0.575296868040763","0.544158263280611","0.606435472800914"
"Never","1992","general elemantary","Female","853","0.434803983339368","0.411978746234842","0.457629220443894"
"Never","1992","middle vocational","Male","2025","0.565378952107005","0.548765486621081","0.581992417592928"
"Never","1992","middle vocational","Female","1785","0.507200350153786","0.490059512771251","0.524341187536321"
"Never","1992","vocational + Abi","Male","123","0.558843621756446","0.492627666908499","0.625059576604392"
"Never","1992","vocational + Abi","Female","99","0.607313944811944","0.533687453437865","0.680940436186024"
"Never","1992","higher vocational","Male","276","0.527897022789463","0.483694910148243","0.572099135430683"
"Never","1992","higher vocational","Female","108","0.365632410370153","0.308607364202725","0.422657456537581"
"Never","1992","higher education","Male","564","0.582901220959469","0.550794131806919","0.615008310112018"
"Never","1992","higher education","Female","473","0.561081442354748","0.525277995888255","0.596884888821241"
"Daily","1993","in school","Male","","","",""
"Daily","1993","in school","Female","","","",""
"Daily","1993","inadequately","Male","","","",""
"Daily","1993","inadequately","Female","","","",""
"Daily","1993","general elemantary","Male","","","",""
"Daily","1993","general elemantary","Female","","","",""
"Daily","1993","middle vocational","Male","","","",""
"Daily","1993","middle vocational","Female","","","",""
"Daily","1993","vocational + Abi","Male","","","",""
"Daily","1993","vocational + Abi","Female","","","",""
"Daily","1993","higher vocational","Male","","","",""
"Daily","1993","higher vocational","Female","","","",""
"Daily","1993","higher education","Male","","","",""
"Daily","1993","higher education","Female","","","",""
"Min 1x per week","1993","in school","Male","","","",""
"Min 1x per week","1993","in school","Female","","","",""
"Min 1x per week","1993","inadequately","Male","","","",""
"Min 1x per week","1993","inadequately","Female","","","",""
"Min 1x per week","1993","general elemantary","Male","","","",""
"Min 1x per week","1993","general elemantary","Female","","","",""
"Min 1x per week","1993","middle vocational","Male","","","",""
"Min 1x per week","1993","middle vocational","Female","","","",""
"Min 1x per week","1993","vocational + Abi","Male","","","",""
"Min 1x per week","1993","vocational + Abi","Female","","","",""
"Min 1x per week","1993","higher vocational","Male","","","",""
"Min 1x per week","1993","higher vocational","Female","","","",""
"Min 1x per week","1993","higher education","Male","","","",""
"Min 1x per week","1993","higher education","Female","","","",""
"Min 1x per month","1993","in school","Male","","","",""
"Min 1x per month","1993","in school","Female","","","",""
"Min 1x per month","1993","inadequately","Male","","","",""
"Min 1x per month","1993","inadequately","Female","","","",""
"Min 1x per month","1993","general elemantary","Male","","","",""
"Min 1x per month","1993","general elemantary","Female","","","",""
"Min 1x per month","1993","middle vocational","Male","","","",""
"Min 1x per month","1993","middle vocational","Female","","","",""
"Min 1x per month","1993","vocational + Abi","Male","","","",""
"Min 1x per month","1993","vocational + Abi","Female","","","",""
"Min 1x per month","1993","higher vocational","Male","","","",""
"Min 1x per month","1993","higher vocational","Female","","","",""
"Min 1x per month","1993","higher education","Male","","","",""
"Min 1x per month","1993","higher education","Female","","","",""
"Rarely","1993","in school","Male","","","",""
"Rarely","1993","in school","Female","","","",""
"Rarely","1993","inadequately","Male","","","",""
"Rarely","1993","inadequately","Female","","","",""
"Rarely","1993","general elemantary","Male","","","",""
"Rarely","1993","general elemantary","Female","","","",""
"Rarely","1993","middle vocational","Male","","","",""
"Rarely","1993","middle vocational","Female","","","",""
"Rarely","1993","vocational + Abi","Male","","","",""
"Rarely","1993","vocational + Abi","Female","","","",""
"Rarely","1993","higher vocational","Male","","","",""
"Rarely","1993","higher vocational","Female","","","",""
"Rarely","1993","higher education","Male","","","",""
"Rarely","1993","higher education","Female","","","",""
"Never","1993","in school","Male","","","",""
"Never","1993","in school","Female","","","",""
"Never","1993","inadequately","Male","","","",""
"Never","1993","inadequately","Female","","","",""
"Never","1993","general elemantary","Male","","","",""
"Never","1993","general elemantary","Female","","","",""
"Never","1993","middle vocational","Male","","","",""
"Never","1993","middle vocational","Female","","","",""
"Never","1993","vocational + Abi","Male","","","",""
"Never","1993","vocational + Abi","Female","","","",""
"Never","1993","higher vocational","Male","","","",""
"Never","1993","higher vocational","Female","","","",""
"Never","1993","higher education","Male","","","",""
"Never","1993","higher education","Female","","","",""
"Daily","1994","in school","Male","","","",""
"Daily","1994","in school","Female","","","",""
"Daily","1994","inadequately","Male","","","",""
"Daily","1994","inadequately","Female","","","",""
"Daily","1994","general elemantary","Male","","","",""
"Daily","1994","general elemantary","Female","","","",""
"Daily","1994","middle vocational","Male","","","",""
"Daily","1994","middle vocational","Female","","","",""
"Daily","1994","vocational + Abi","Male","","","",""
"Daily","1994","vocational + Abi","Female","","","",""
"Daily","1994","higher vocational","Male","","","",""
"Daily","1994","higher vocational","Female","","","",""
"Daily","1994","higher education","Male","","","",""
"Daily","1994","higher education","Female","","","",""
"Min 1x per week","1994","in school","Male","12","","",""
"Min 1x per week","1994","in school","Female","14","","",""
"Min 1x per week","1994","inadequately","Male","45","0.165339833547144","0.116799760695944","0.213879906398343"
"Min 1x per week","1994","inadequately","Female","60","0.122204497244465","0.0869739556782093","0.157435038810721"
"Min 1x per week","1994","general elemantary","Male","101","0.107586330744956","0.0867924652515982","0.128380196238313"
"Min 1x per week","1994","general elemantary","Female","252","0.17646169486839","0.158034284406946","0.194889105329833"
"Min 1x per week","1994","middle vocational","Male","275","0.0849639094657674","0.0754736696803903","0.0944541492511446"
"Min 1x per week","1994","middle vocational","Female","291","0.109612924486684","0.0988574671566605","0.120368381816707"
"Min 1x per week","1994","vocational + Abi","Male","22","","",""
"Min 1x per week","1994","vocational + Abi","Female","18","","",""
"Min 1x per week","1994","higher vocational","Male","44","0.103735213525214","0.0762272549820968","0.131243172068331"
"Min 1x per week","1994","higher vocational","Female","42","0.177162126354103","0.132441111127823","0.221883141580384"
"Min 1x per week","1994","higher education","Male","75","0.0847028157362656","0.0666219638108039","0.102783667661727"
"Min 1x per week","1994","higher education","Female","68","0.129877706484208","0.105607593368874","0.154147819599542"
"Min 1x per month","1994","in school","Male","14","","",""
"Min 1x per month","1994","in school","Female","11","","",""
"Min 1x per month","1994","inadequately","Male","29","","",""
"Min 1x per month","1994","inadequately","Female","56","0.117594637825803","0.082944347493577","0.152244928158029"
"Min 1x per month","1994","general elemantary","Male","97","0.0954088318019429","0.0756939564198643","0.115123707184021"
"Min 1x per month","1994","general elemantary","Female","199","0.11590281583741","0.100429115514104","0.131376516160716"
"Min 1x per month","1994","middle vocational","Male","263","0.0823527400538928","0.0729961469597816","0.0917093331480041"
"Min 1x per month","1994","middle vocational","Female","290","0.0883147392741344","0.0785457948731221","0.0980836836751467"
"Min 1x per month","1994","vocational + Abi","Male","13","","",""
"Min 1x per month","1994","vocational + Abi","Female","15","","",""
"Min 1x per month","1994","higher vocational","Male","26","","",""
"Min 1x per month","1994","higher vocational","Female","37","0.116493011638813","0.0789158471044338","0.154070176173193"
"Min 1x per month","1994","higher education","Male","55","0.0679598117204375","0.0516167919717343","0.0843028314691406"
"Min 1x per month","1994","higher education","Female","46","0.0755840417270875","0.056500318037991","0.0946677654161841"
"Rarely","1994","in school","Male","28","","",""
"Rarely","1994","in school","Female","29","","",""
"Rarely","1994","inadequately","Male","61","0.244570008125378","0.188406329902273","0.300733686348483"
"Rarely","1994","inadequately","Female","85","0.265379182513964","0.217884598229669","0.312873766798259"
"Rarely","1994","general elemantary","Male","205","0.243381936899648","0.214584349863139","0.272179523936158"
"Rarely","1994","general elemantary","Female","437","0.267965094545764","0.246555808123543","0.289374380967985"
"Rarely","1994","middle vocational","Male","867","0.282283058276392","0.266963020506402","0.297603096046381"
"Rarely","1994","middle vocational","Female","931","0.300730974106355","0.284943240060793","0.316518708151916"
"Rarely","1994","vocational + Abi","Male","59","0.298001703751237","0.236287622785292","0.359715784717182"
"Rarely","1994","vocational + Abi","Female","52","0.285184491827591","0.218669216445503","0.351699767209679"
"Rarely","1994","higher vocational","Male","139","0.295215929675253","0.254065438298075","0.336366421052431"
"Rarely","1994","higher vocational","Female","95","0.307004037500295","0.25297758259436","0.36103049240623"
"Rarely","1994","higher education","Male","233","0.286286314271169","0.256933401193231","0.315639227349106"
"Rarely","1994","higher education","Female","174","0.224466646898186","0.194344182713021","0.254589111083351"
"Never","1994","in school","Male","54","0.483957798337896","0.389707535681637","0.578208060994155"
"Never","1994","in school","Female","76","0.529406121090113","0.443604788884877","0.615207453295348"
"Never","1994","inadequately","Male","90","0.494231306914542","0.42890352246315","0.559559091365934"
"Never","1994","inadequately","Female","131","0.494821682415767","0.441041067806898","0.548602297024637"
"Never","1994","general elemantary","Male","450","0.553622900553453","0.520262477337671","0.586983323769235"
"Never","1994","general elemantary","Female","756","0.439670394748437","0.415677503766082","0.463663285730792"
"Never","1994","middle vocational","Male","1911","0.550400292203948","0.533468880578375","0.567331703829521"
"Never","1994","middle vocational","Female","1729","0.501341362132827","0.484127551658864","0.51855517260679"
"Never","1994","vocational + Abi","Male","117","0.563738834747309","0.496824507243321","0.630653162251298"
"Never","1994","vocational + Abi","Female","92","0.520408418103246","0.446809845744811","0.594006990461682"
"Never","1994","higher vocational","Male","263","0.54967208499767","0.504787897579385","0.594556272415955"
"Never","1994","higher vocational","Female","106","0.399340824506789","0.341974769066348","0.456706879947229"
"Never","1994","higher education","Male","548","0.561051058272128","0.528825748659873","0.593276367884383"
"Never","1994","higher education","Female","449","0.570071604890519","0.534329747588151","0.605813462192886"
"Daily","1995","in school","Male","1","","",""
"Daily","1995","in school","Female","","","",""
"Daily","1995","inadequately","Male","6","","",""
"Daily","1995","inadequately","Female","4","","",""
"Daily","1995","general elemantary","Male","11","","",""
"Daily","1995","general elemantary","Female","21","","",""
"Daily","1995","middle vocational","Male","19","","",""
"Daily","1995","middle vocational","Female","9","","",""
"Daily","1995","vocational + Abi","Male","4","","",""
"Daily","1995","vocational + Abi","Female","1","","",""
"Daily","1995","higher vocational","Male","2","","",""
"Daily","1995","higher vocational","Female","1","","",""
"Daily","1995","higher education","Male","1","","",""
"Daily","1995","higher education","Female","1","","",""
"Min 1x per week","1995","in school","Male","16","","",""
"Min 1x per week","1995","in school","Female","24","","",""
"Min 1x per week","1995","inadequately","Male","31","0.131503813957686","0.0855766576664881","0.177430970248885"
"Min 1x per week","1995","inadequately","Female","73","0.166110746508745","0.125332724553606","0.206888768463884"
"Min 1x per week","1995","general elemantary","Male","110","0.123356388784106","0.10141646812282","0.145296309445391"
"Min 1x per week","1995","general elemantary","Female","259","0.167091093451736","0.149019387356532","0.18516279954694"
"Min 1x per week","1995","middle vocational","Male","296","0.0878206066642797","0.0782901275235012","0.0973510858050582"
"Min 1x per week","1995","middle vocational","Female","318","0.114086112101818","0.103271991858652","0.124900232344984"
"Min 1x per week","1995","vocational + Abi","Male","33","0.0992184778529152","0.0621602965984661","0.136276659107364"
"Min 1x per week","1995","vocational + Abi","Female","26","","",""
"Min 1x per week","1995","higher vocational","Male","38","0.0848201693552951","0.0596851120640235","0.109955226646567"
"Min 1x per week","1995","higher vocational","Female","42","0.164405303017061","0.121449600807069","0.207361005227053"
"Min 1x per week","1995","higher education","Male","69","0.07208158542854","0.0557046589871428","0.0884585118699372"
"Min 1x per week","1995","higher education","Female","76","0.122836706836235","0.100033503270776","0.145639910401695"
"Min 1x per month","1995","in school","Male","12","","",""
"Min 1x per month","1995","in school","Female","9","","",""
"Min 1x per month","1995","inadequately","Male","27","","",""
"Min 1x per month","1995","inadequately","Female","50","0.134077885104242","0.0967450396068646","0.17141073060162"
"Min 1x per month","1995","general elemantary","Male","99","0.0891428832061953","0.0701316119071436","0.108154154505247"
"Min 1x per month","1995","general elemantary","Female","223","0.134237667468972","0.117723362773379","0.150751972164565"
"Min 1x per month","1995","middle vocational","Male","269","0.0813270230908752","0.0721230720717516","0.0905309741099989"
"Min 1x per month","1995","middle vocational","Female","314","0.0983918177687199","0.0882604643963829","0.108523171141057"
"Min 1x per month","1995","vocational + Abi","Male","31","0.124561903177763","0.0836279748028729","0.165495831552654"
"Min 1x per month","1995","vocational + Abi","Female","15","","",""
"Min 1x per month","1995","higher vocational","Male","27","","",""
"Min 1x per month","1995","higher vocational","Female","31","0.0895756497298077","0.0564791557191182","0.122672143740497"
"Min 1x per month","1995","higher education","Male","83","0.0938391863005758","0.0753737279647286","0.112304644636423"
"Min 1x per month","1995","higher education","Female","54","0.0842950782605327","0.0649944946908382","0.103595661830227"
"Rarely","1995","in school","Male","32","0.249781671689175","0.178831379025258","0.320731964353092"
"Rarely","1995","in school","Female","37","0.318462378267577","0.242104464087127","0.394820292448026"
"Rarely","1995","inadequately","Male","44","0.215820562218494","0.159912999652671","0.271728124784316"
"Rarely","1995","inadequately","Female","72","0.230524843329837","0.184379352367973","0.276670334291701"
"Rarely","1995","general elemantary","Male","211","0.245879068145608","0.217149839205494","0.274608297085722"
"Rarely","1995","general elemantary","Female","436","0.277514474091872","0.255823395575512","0.299205552608233"
"Rarely","1995","middle vocational","Male","860","0.275461964276077","0.260418848260336","0.290505080291818"
"Rarely","1995","middle vocational","Female","905","0.278267082942911","0.263023108097615","0.293511057788206"
"Rarely","1995","vocational + Abi","Male","56","0.224500038938355","0.172777815369109","0.276222262507601"
"Rarely","1995","vocational + Abi","Female","69","0.289484220203417","0.230356221072178","0.348612219334656"
"Rarely","1995","higher vocational","Male","135","0.268014784767051","0.228056427797559","0.307973141736543"
"Rarely","1995","higher vocational","Female","104","0.377603255474854","0.321418745737551","0.433787765212157"
"Rarely","1995","higher education","Male","230","0.260854173054717","0.233048763549935","0.288659582559499"
"Rarely","1995","higher education","Female","183","0.209776295059579","0.181492037110614","0.238060553008543"
"Never","1995","in school","Male","82","0.557367900553844","0.475958885220446","0.638776915887243"
"Never","1995","in school","Female","73","0.502885036440004","0.420936189567249","0.58483388331276"
"Never","1995","inadequately","Male","100","0.539239912844332","0.471499964001293","0.606979861687371"
"Never","1995","inadequately","Female","121","0.453120272999603","0.398578938407603","0.507661607591604"
"Never","1995","general elemantary","Male","432","0.533443319518217","0.500159049261215","0.566727589775219"
"Never","1995","general elemantary","Female","698","0.406130364494176","0.382339948177637","0.429920780810716"
"Never","1995","middle vocational","Male","1944","0.550833456607093","0.534084404045039","0.567582509169147"
"Never","1995","middle vocational","Female","1774","0.506733435589699","0.489727142134879","0.523739729044519"
"Never","1995","vocational + Abi","Male","126","0.541887298527885","0.480125669993059","0.603648927062711"
"Never","1995","vocational + Abi","Female","115","0.552053279896929","0.487220066252384","0.616886493541475"
"Never","1995","higher vocational","Male","270","0.582380179891451","0.537889306046595","0.626871053736306"
"Never","1995","higher vocational","Female","108","0.36564146664761","0.309825276589417","0.421457656705803"
"Never","1995","higher education","Male","575","0.569152911336404","0.53779541366724","0.600510409005568"
"Never","1995","higher education","Female","482","0.579797912640357","0.545508583874862","0.614087241405853"
"Daily","1996","in school","Male","","","",""
"Daily","1996","in school","Female","","","",""
