"plh0038","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"Some worries","1984","Hesse","Other degree","60","0.291867410022984","0.229935708580228","0.35379911146574"
"Some worries","1984","Hesse","no degree/no degree yet","54","0.314870994396018","0.238745070363167","0.390996918428869"
"Some worries","1984","Rhineland-Palatinate,Saarland","lower secondary degree","240","0.451607274773829","0.409749659367753","0.493464890179905"
"Some worries","1984","Rhineland-Palatinate,Saarland","secondary school degree","48","0.431276135952276","0.338725333570427","0.523826938334125"
"Some worries","1984","Rhineland-Palatinate,Saarland","college entrance qualification","17","","",""
"Some worries","1984","Rhineland-Palatinate,Saarland","Other degree","22","","",""
"Some worries","1984","Rhineland-Palatinate,Saarland","no degree/no degree yet","26","","",""
"Some worries","1984","Baden-Württemberg","lower secondary degree","409","0.393131484705042","0.36364357404029","0.422619395369794"
"Some worries","1984","Baden-Württemberg","secondary school degree","126","0.439827331262331","0.38279729327045","0.496857369254213"
"Some worries","1984","Baden-Württemberg","college entrance qualification","68","0.363914345006788","0.296036690830993","0.431791999182582"
"Some worries","1984","Baden-Württemberg","Other degree","119","0.365181482068271","0.314811279243774","0.415551684892767"
"Some worries","1984","Baden-Württemberg","no degree/no degree yet","112","0.360031561061389","0.309158882707063","0.410904239415714"
"Some worries","1984","Bavaria","lower secondary degree","468","0.425790379139362","0.396596591251184","0.45498416702754"
"Some worries","1984","Bavaria","secondary school degree","132","0.357091884283546","0.308725696249379","0.405458072317713"
"Some worries","1984","Bavaria","college entrance qualification","70","0.296427692034677","0.238039111817913","0.354816272251441"
"Some worries","1984","Bavaria","Other degree","80","0.385598374046667","0.321999327178915","0.449197420914419"
"Some worries","1984","Bavaria","no degree/no degree yet","47","0.294707524036659","0.215726393945763","0.373688654127554"
"Some worries","1984","Berlin","lower secondary degree","47","0.266653953382551","0.200374559711507","0.332933347053596"
"Some worries","1984","Berlin","secondary school degree","27","","",""
"Some worries","1984","Berlin","college entrance qualification","22","","",""
"Some worries","1984","Berlin","Other degree","17","","",""
"Some worries","1984","Berlin","no degree/no degree yet","17","","",""
"Some worries","1984","Brandenburg","lower secondary degree","","","",""
"Some worries","1984","Brandenburg","secondary school degree","","","",""
"Some worries","1984","Brandenburg","college entrance qualification","","","",""
"Some worries","1984","Brandenburg","Other degree","","","",""
"Some worries","1984","Brandenburg","no degree/no degree yet","","","",""
"Some worries","1984","Mecklenburg-Western Pomerania","lower secondary degree","","","",""
"Some worries","1984","Mecklenburg-Western Pomerania","secondary school degree","","","",""
"Some worries","1984","Mecklenburg-Western Pomerania","college entrance qualification","","","",""
"Some worries","1984","Mecklenburg-Western Pomerania","Other degree","","","",""
"Some worries","1984","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"Some worries","1984","Saxony","lower secondary degree","","","",""
"Some worries","1984","Saxony","secondary school degree","","","",""
"Some worries","1984","Saxony","college entrance qualification","","","",""
"Some worries","1984","Saxony","Other degree","","","",""
"Some worries","1984","Saxony","no degree/no degree yet","","","",""
"Some worries","1984","Saxony-Anhalt","lower secondary degree","","","",""
"Some worries","1984","Saxony-Anhalt","secondary school degree","","","",""
"Some worries","1984","Saxony-Anhalt","college entrance qualification","","","",""
"Some worries","1984","Saxony-Anhalt","Other degree","","","",""
"Some worries","1984","Saxony-Anhalt","no degree/no degree yet","","","",""
"Some worries","1984","Thuringia","lower secondary degree","","","",""
"Some worries","1984","Thuringia","secondary school degree","","","",""
"Some worries","1984","Thuringia","college entrance qualification","","","",""
"Some worries","1984","Thuringia","Other degree","","","",""
"Some worries","1984","Thuringia","no degree/no degree yet","","","",""
"No worries","1984","Schleswig-Holstein","lower secondary degree","26","","",""
"No worries","1984","Schleswig-Holstein","secondary school degree","9","","",""
"No worries","1984","Schleswig-Holstein","college entrance qualification","7","","",""
"No worries","1984","Schleswig-Holstein","Other degree","5","","",""
"No worries","1984","Schleswig-Holstein","no degree/no degree yet","","","",""
"No worries","1984","Hamburg","lower secondary degree","15","","",""
"No worries","1984","Hamburg","secondary school degree","6","","",""
"No worries","1984","Hamburg","college entrance qualification","2","","",""
"No worries","1984","Hamburg","Other degree","8","","",""
"No worries","1984","Hamburg","no degree/no degree yet","9","","",""
"No worries","1984","Lower Saxony","lower secondary degree","66","0.100415978594333","0.0776239942099223","0.123207962978744"
"No worries","1984","Lower Saxony","secondary school degree","18","","",""
"No worries","1984","Lower Saxony","college entrance qualification","8","","",""
"No worries","1984","Lower Saxony","Other degree","22","","",""
"No worries","1984","Lower Saxony","no degree/no degree yet","18","","",""
"No worries","1984","Bremen","lower secondary degree","8","","",""
"No worries","1984","Bremen","secondary school degree","3","","",""
"No worries","1984","Bremen","college entrance qualification","","","",""
"No worries","1984","Bremen","Other degree","4","","",""
"No worries","1984","Bremen","no degree/no degree yet","1","","",""
"No worries","1984","North Rhine-Westphalia","lower secondary degree","146","0.0833047098166439","0.0696484739974383","0.0969609456358495"
"No worries","1984","North Rhine-Westphalia","secondary school degree","45","0.0921208768926035","0.066436049185752","0.117805704599455"
"No worries","1984","North Rhine-Westphalia","college entrance qualification","29","","",""
"No worries","1984","North Rhine-Westphalia","Other degree","36","0.0805097875284652","0.0528611002323283","0.108158474824602"
"No worries","1984","North Rhine-Westphalia","no degree/no degree yet","71","0.17294065531302","0.135501853244943","0.210379457381097"
"No worries","1984","Hesse","lower secondary degree","51","0.0866837168097795","0.063017570840545","0.110349862779014"
"No worries","1984","Hesse","secondary school degree","14","","",""
"No worries","1984","Hesse","college entrance qualification","11","","",""
"No worries","1984","Hesse","Other degree","36","0.213553461902801","0.157725621424906","0.269381302380697"
"No worries","1984","Hesse","no degree/no degree yet","24","","",""
"No worries","1984","Rhineland-Palatinate,Saarland","lower secondary degree","24","","",""
"No worries","1984","Rhineland-Palatinate,Saarland","secondary school degree","6","","",""
"No worries","1984","Rhineland-Palatinate,Saarland","college entrance qualification","4","","",""
"No worries","1984","Rhineland-Palatinate,Saarland","Other degree","4","","",""
"No worries","1984","Rhineland-Palatinate,Saarland","no degree/no degree yet","12","","",""
"No worries","1984","Baden-Württemberg","lower secondary degree","152","0.135398385755549","0.114742560545808","0.156054210965289"
"No worries","1984","Baden-Württemberg","secondary school degree","23","","",""
"No worries","1984","Baden-Württemberg","college entrance qualification","15","","",""
"No worries","1984","Baden-Württemberg","Other degree","75","0.208269178266912","0.165788072707013","0.25075028382681"
"No worries","1984","Baden-Württemberg","no degree/no degree yet","119","0.310393932713685","0.261360512597044","0.359427352830326"
"No worries","1984","Bavaria","lower secondary degree","96","0.0867130179478685","0.0700979134054911","0.103328122490246"
"No worries","1984","Bavaria","secondary school degree","33","0.0865839281440682","0.0581962166465436","0.114971639641593"
"No worries","1984","Bavaria","college entrance qualification","18","","",""
"No worries","1984","Bavaria","Other degree","26","","",""
"No worries","1984","Bavaria","no degree/no degree yet","20","","",""
"No worries","1984","Berlin","lower secondary degree","16","","",""
"No worries","1984","Berlin","secondary school degree","2","","",""
"No worries","1984","Berlin","college entrance qualification","5","","",""
"No worries","1984","Berlin","Other degree","6","","",""
"No worries","1984","Berlin","no degree/no degree yet","9","","",""
"No worries","1984","Brandenburg","lower secondary degree","","","",""
"No worries","1984","Brandenburg","secondary school degree","","","",""
"No worries","1984","Brandenburg","college entrance qualification","","","",""
"No worries","1984","Brandenburg","Other degree","","","",""
"No worries","1984","Brandenburg","no degree/no degree yet","","","",""
"No worries","1984","Mecklenburg-Western Pomerania","lower secondary degree","","","",""
"No worries","1984","Mecklenburg-Western Pomerania","secondary school degree","","","",""
"No worries","1984","Mecklenburg-Western Pomerania","college entrance qualification","","","",""
"No worries","1984","Mecklenburg-Western Pomerania","Other degree","","","",""
"No worries","1984","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"No worries","1984","Saxony","lower secondary degree","","","",""
"No worries","1984","Saxony","secondary school degree","","","",""
"No worries","1984","Saxony","college entrance qualification","","","",""
"No worries","1984","Saxony","Other degree","","","",""
"No worries","1984","Saxony","no degree/no degree yet","","","",""
"No worries","1984","Saxony-Anhalt","lower secondary degree","","","",""
"No worries","1984","Saxony-Anhalt","secondary school degree","","","",""
"No worries","1984","Saxony-Anhalt","college entrance qualification","","","",""
"No worries","1984","Saxony-Anhalt","Other degree","","","",""
"No worries","1984","Saxony-Anhalt","no degree/no degree yet","","","",""
"No worries","1984","Thuringia","lower secondary degree","","","",""
"No worries","1984","Thuringia","secondary school degree","","","",""
"No worries","1984","Thuringia","college entrance qualification","","","",""
"No worries","1984","Thuringia","Other degree","","","",""
"No worries","1984","Thuringia","no degree/no degree yet","","","",""
"Big worries","1985","Schleswig-Holstein","lower secondary degree","89","0.461542631876841","0.392104653372478","0.530980610381204"
"Big worries","1985","Schleswig-Holstein","secondary school degree","37","0.464138269363481","0.354855131120655","0.573421407606307"
"Big worries","1985","Schleswig-Holstein","college entrance qualification","14","","",""
"Big worries","1985","Schleswig-Holstein","Other degree","6","","",""
"Big worries","1985","Schleswig-Holstein","no degree/no degree yet","6","","",""
"Big worries","1985","Hamburg","lower secondary degree","57","0.461285421233006","0.371720316270474","0.550850526195537"
"Big worries","1985","Hamburg","secondary school degree","31","0.527297736743736","0.398811713150331","0.655783760337141"
"Big worries","1985","Hamburg","college entrance qualification","19","","",""
"Big worries","1985","Hamburg","Other degree","29","","",""
"Big worries","1985","Hamburg","no degree/no degree yet","13","","",""
"Big worries","1985","Lower Saxony","lower secondary degree","289","0.484252104587601","0.444197542345199","0.524306666830004"
"Big worries","1985","Lower Saxony","secondary school degree","102","0.463441450538817","0.398284188142506","0.528598712935127"
"Big worries","1985","Lower Saxony","college entrance qualification","59","0.466413970664847","0.377156316579177","0.555671624750516"
"Big worries","1985","Lower Saxony","Other degree","32","0.343664984419287","0.228207566080462","0.459122402758113"
"Big worries","1985","Lower Saxony","no degree/no degree yet","32","0.426147566341581","0.314968911525861","0.5373262211573"
"Big worries","1985","Bremen","lower secondary degree","46","0.658124430461133","0.54620342950238","0.770045431419885"
"Big worries","1985","Bremen","secondary school degree","14","","",""
"Big worries","1985","Bremen","college entrance qualification","6","","",""
"Big worries","1985","Bremen","Other degree","11","","",""
"Big worries","1985","Bremen","no degree/no degree yet","3","","",""
"Big worries","1985","North Rhine-Westphalia","lower secondary degree","681","0.492509069499974","0.466273998368445","0.518744140631503"
"Big worries","1985","North Rhine-Westphalia","secondary school degree","228","0.496927323538532","0.451772989546736","0.542081657530327"
"Big worries","1985","North Rhine-Westphalia","college entrance qualification","194","0.519973770926974","0.46940811329735","0.570539428556597"
"Big worries","1985","North Rhine-Westphalia","Other degree","146","0.483772611126413","0.428498161513298","0.539047060739528"
"Big worries","1985","North Rhine-Westphalia","no degree/no degree yet","149","0.456459969654615","0.402637049368139","0.510282889941091"
"Big worries","1985","Hesse","lower secondary degree","255","0.524169165870236","0.479994896962546","0.568343434777925"
"Big worries","1985","Hesse","secondary school degree","92","0.506316092528669","0.433680790295133","0.578951394762206"
"Big worries","1985","Hesse","college entrance qualification","87","0.590109356207699","0.509217617259876","0.671001095155522"
"Big worries","1985","Hesse","Other degree","92","0.516180750265296","0.442559373979423","0.589802126551169"
"Big worries","1985","Hesse","no degree/no degree yet","58","0.540389958682817","0.451956509310571","0.628823408055063"
"Big worries","1985","Rhineland-Palatinate,Saarland","lower secondary degree","224","0.477371771716071","0.432826734669265","0.521916808762877"
"Big worries","1985","Rhineland-Palatinate,Saarland","secondary school degree","49","0.469075298749092","0.374073264242433","0.564077333255751"
"Big worries","1985","Rhineland-Palatinate,Saarland","college entrance qualification","30","0.531383674597836","0.402959463900345","0.659807885295328"
"Big worries","1985","Rhineland-Palatinate,Saarland","Other degree","25","","",""
"Big worries","1985","Rhineland-Palatinate,Saarland","no degree/no degree yet","36","0.497233759735924","0.374737885442941","0.619729634028907"
"Big worries","1985","Baden-Württemberg","lower secondary degree","406","0.435138247663845","0.403578855063942","0.466697640263748"
"Big worries","1985","Baden-Württemberg","secondary school degree","134","0.47058670984182","0.412227126889141","0.528946292794498"
"Big worries","1985","Baden-Württemberg","college entrance qualification","99","0.526554866246684","0.453205775639664","0.599903956853705"
"Big worries","1985","Baden-Württemberg","Other degree","145","0.444941888500334","0.38916952553291","0.500714251467759"
"Big worries","1985","Baden-Württemberg","no degree/no degree yet","106","0.366943517074722","0.312313248350553","0.421573785798891"
"Big worries","1985","Bavaria","lower secondary degree","458","0.470451683655568","0.439360246074361","0.501543121236775"
"Big worries","1985","Bavaria","secondary school degree","197","0.538237387383302","0.486952300846185","0.58952247392042"
"Big worries","1985","Bavaria","college entrance qualification","135","0.615550525466616","0.550974496767424","0.680126554165808"
"Big worries","1985","Bavaria","Other degree","101","0.464244681373916","0.39460260806735","0.533886754680482"
"Big worries","1985","Bavaria","no degree/no degree yet","54","0.542302796161657","0.444164040929518","0.640441551393797"
"Big worries","1985","Berlin","lower secondary degree","75","0.497031960030889","0.414795147022377","0.579268773039401"
"Big worries","1985","Berlin","secondary school degree","44","0.566688829722875","0.456719125201485","0.676658534244265"
"Big worries","1985","Berlin","college entrance qualification","29","","",""
"Big worries","1985","Berlin","Other degree","29","","",""
"Big worries","1985","Berlin","no degree/no degree yet","12","","",""
"Big worries","1985","Brandenburg","lower secondary degree","","","",""
"Big worries","1985","Brandenburg","secondary school degree","","","",""
"Big worries","1985","Brandenburg","college entrance qualification","","","",""
"Big worries","1985","Brandenburg","Other degree","","","",""
"Big worries","1985","Brandenburg","no degree/no degree yet","","","",""
"Big worries","1985","Mecklenburg-Western Pomerania","lower secondary degree","","","",""
"Big worries","1985","Mecklenburg-Western Pomerania","secondary school degree","","","",""
"Big worries","1985","Mecklenburg-Western Pomerania","college entrance qualification","","","",""
"Big worries","1985","Mecklenburg-Western Pomerania","Other degree","","","",""
"Big worries","1985","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
