"plh0038","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Some worries","1984","Couple + C. LE 16 ","higher vocational","81","0.403526219156717","0.33653065646663","0.470521781846803","2"
"Some worries","1984","Couple + C. LE 16 ","higher education","88","0.35189738523348","0.294290282400527","0.409504488066433","2"
"Some worries","1984","Couple + C. GT 16 ","in school","21","","","","2"
"Some worries","1984","Couple + C. GT 16 ","inadequately","56","0.350075124801332","0.271895734680284","0.428254514922379","2"
"Some worries","1984","Couple + C. GT 16 ","general elemantary","214","0.3745932621935","0.335303891537132","0.413882632849869","2"
"Some worries","1984","Couple + C. GT 16 ","middle vocational","348","0.379021779731925","0.347706744984854","0.410336814478995","2"
"Some worries","1984","Couple + C. GT 16 ","vocational + Abi","13","","","","2"
"Some worries","1984","Couple + C. GT 16 ","higher vocational","41","0.415661474389679","0.316558101517187","0.51476484726217","2"
"Some worries","1984","Couple + C. GT 16 ","higher education","38","0.406605296334126","0.308346639531275","0.504863953136976","2"
"Some worries","1984","Couple + C. LE and GT 16","in school","25","","","","2"
"Some worries","1984","Couple + C. LE and GT 16","inadequately","75","0.376724895247935","0.311953849094338","0.441495941401532","2"
"Some worries","1984","Couple + C. LE and GT 16","general elemantary","210","0.377557370055306","0.338473686238376","0.416641053872235","2"
"Some worries","1984","Couple + C. LE and GT 16","higher vocational","17","","","","2"
"Big worries","1985","1-pers.-HH","in school","","","","","1"
"Big worries","1985","1-pers.-HH","inadequately","19","","","","1"
"Big worries","1985","1-pers.-HH","general elemantary","160","0.514306396023261","0.460218096986611","0.568394695059912","1"
"Big worries","1985","1-pers.-HH","middle vocational","277","0.510307790690503","0.468453931541479","0.552161649839528","1"
"Big worries","1985","1-pers.-HH","vocational + Abi","20","","","","1"
"Big worries","1985","1-pers.-HH","higher vocational","36","0.443727722832219","0.335532628121595","0.551922817542843","1"
"Big worries","1985","1-pers.-HH","higher education","60","0.559206620127833","0.464692032866978","0.653721207388688","1"
"Big worries","1985","(Married) couple without C. ","in school","","","","","1"
"Big worries","1985","(Married) couple without C. ","inadequately","48","0.561186140253566","0.462431875426563","0.659940405080568","1"
"Big worries","1985","(Married) couple without C. ","general elemantary","294","0.478374173355702","0.438066707890267","0.518681638821136","1"
"Big worries","1985","(Married) couple without C. ","middle vocational","664","0.51787689389895","0.490545749331678","0.545208038466222","1"
"Big worries","1985","(Married) couple without C. ","vocational + Abi","49","0.704653623382648","0.60140812437709","0.807899122388205","1"
"Big worries","1985","(Married) couple without C. ","higher vocational","65","0.426222994663535","0.348370550853234","0.504075438473837","1"
"Big worries","1985","(Married) couple without C. ","higher education","101","0.515840854626751","0.445152249137511","0.586529460115991","1"
"Big worries","1985","Single parent ","in school","8","","","","1"
"Big worries","1985","Single parent ","inadequately","17","","","","1"
"Big worries","1985","Single parent ","general elemantary","81","0.466261724314097","0.395140987748738","0.537382460879456","1"
"Big worries","1985","Single parent ","middle vocational","120","0.50022390496291","0.436567240432085","0.563880569493734","1"
"Big worries","1985","Single parent ","vocational + Abi","8","","","","1"
"Big worries","1985","Single parent ","higher vocational","10","","","","1"
"Big worries","1985","Single parent ","higher education","6","","","","1"
"Big worries","1985","Couple + C. LE 16 ","in school","","","","","1"
"Big worries","1985","Couple + C. LE 16 ","inadequately","114","0.41163715401842","0.350510824126084","0.472763483910755","1"
"Big worries","1985","Couple + C. LE 16 ","general elemantary","285","0.510074429878483","0.46822017241371","0.551928687343255","1"
"Big worries","1985","Couple + C. LE 16 ","middle vocational","652","0.48206283690174","0.455086638388844","0.509039035414636","1"
"Big worries","1985","Couple + C. LE 16 ","vocational + Abi","39","0.450714424766559","0.34029369436648","0.561135155166638","1"
