"plj0587","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence"
"Never","2014","35-65 y.","vocational + Abi","","","",""
"Never","2014","35-65 y.","higher vocational","","","",""
"Never","2014","35-65 y.","higher education","","","",""
"Never","2014","66 and older","in school","","","",""
"Never","2014","66 and older","inadequately","","","",""
"Never","2014","66 and older","general elemantary","","","",""
"Never","2014","66 and older","middle vocational","","","",""
"Never","2014","66 and older","vocational + Abi","","","",""
"Never","2014","66 and older","higher vocational","","","",""
"Never","2014","66 and older","higher education","","","",""
"Very often","2015","16-34 y.","in school","","","",""
"Very often","2015","16-34 y.","inadequately","","","",""
"Very often","2015","16-34 y.","general elemantary","","","",""
"Very often","2015","16-34 y.","middle vocational","","","",""
"Very often","2015","16-34 y.","vocational + Abi","","","",""
"Very often","2015","16-34 y.","higher vocational","","","",""
"Very often","2015","16-34 y.","higher education","","","",""
"Very often","2015","35-65 y.","in school","","","",""
"Very often","2015","35-65 y.","inadequately","","","",""
"Very often","2015","35-65 y.","general elemantary","","","",""
"Very often","2015","35-65 y.","middle vocational","","","",""
"Very often","2015","35-65 y.","vocational + Abi","","","",""
"Very often","2015","35-65 y.","higher vocational","","","",""
"Very often","2015","35-65 y.","higher education","","","",""
"Very often","2015","66 and older","in school","","","",""
"Very often","2015","66 and older","inadequately","","","",""
"Very often","2015","66 and older","general elemantary","","","",""
"Very often","2015","66 and older","middle vocational","","","",""
"Very often","2015","66 and older","vocational + Abi","","","",""
"Very often","2015","66 and older","higher vocational","","","",""
"Very often","2015","66 and older","higher education","","","",""
"Often","2015","16-34 y.","in school","","","",""
"Often","2015","16-34 y.","inadequately","","","",""
"Often","2015","16-34 y.","general elemantary","","","",""
"Often","2015","16-34 y.","middle vocational","","","",""
"Often","2015","16-34 y.","vocational + Abi","","","",""
"Often","2015","16-34 y.","higher vocational","","","",""
"Often","2015","16-34 y.","higher education","","","",""
"Often","2015","35-65 y.","in school","","","",""
"Often","2015","35-65 y.","inadequately","","","",""
"Often","2015","35-65 y.","general elemantary","","","",""
"Often","2015","35-65 y.","middle vocational","","","",""
"Often","2015","35-65 y.","vocational + Abi","","","",""
"Often","2015","35-65 y.","higher vocational","","","",""
"Often","2015","35-65 y.","higher education","","","",""
"Often","2015","66 and older","in school","","","",""
"Often","2015","66 and older","inadequately","","","",""
"Often","2015","66 and older","general elemantary","","","",""
"Often","2015","66 and older","middle vocational","","","",""
"Often","2015","66 and older","vocational + Abi","","","",""
"Often","2015","66 and older","higher vocational","","","",""
