"plj0587","year","education","n","percent","lower_confidence","upper_confidence"
"Very often","2017","lower secondary degree","126","0.0199125136158788","0.0164073567847374","0.0234176704470202"
"Very often","2017","secondary school degree","113","0.0170885714215727","0.0141771251997777","0.0200000176433676"
"Very often","2017","college entrance qualification","82","0.0110309253925529","0.0087348339932898","0.0133270167918161"
"Very often","2017","Other degree","335","0.0406679699366438","0.0349369281373074","0.0463990117359801"
"Very often","2017","no degree/no degree yet","241","0.0503939661824362","0.0412194583273501","0.0595684740375222"
"Often","2017","lower secondary degree","514","0.0799456992806489","0.0731408850742192","0.0867505134870785"
"Often","2017","secondary school degree","514","0.0633816228909313","0.0579081658209533","0.0688550799609092"
"Often","2017","college entrance qualification","455","0.0634004006790102","0.0580434847871706","0.0687573165708498"
"Often","2017","Other degree","660","0.120510446868795","0.111064390178936","0.129956503558654"
"Often","2017","no degree/no degree yet","353","0.104975041811212","0.0921197371031263","0.117830346519298"
"Sometimes","2017","lower secondary degree","1899","0.319319415049899","0.307621826712015","0.331017003387783"
"Sometimes","2017","secondary school degree","2379","0.327203961685637","0.316663741324514","0.337744182046759"
"Sometimes","2017","college entrance qualification","2312","0.28539729239459","0.275469582095332","0.295325002693849"
"Sometimes","2017","Other degree","1633","0.336832909624443","0.323119621586108","0.350546197662777"
"Sometimes","2017","no degree/no degree yet","685","0.315794252029296","0.296299521177192","0.335288982881401"
"Rarely ","2017","lower secondary degree","2248","0.373296197217279","0.361160354557057","0.385432039877502"
"Rarely ","2017","secondary school degree","3123","0.410818485948578","0.399766298397341","0.421870673499815"
"Rarely ","2017","college entrance qualification","3527","0.449070537899979","0.438136083366595","0.460004992433363"
"Rarely ","2017","Other degree","1086","0.309882607397185","0.296464757049047","0.323300457745323"
"Rarely ","2017","no degree/no degree yet","481","0.337646950129642","0.317813514097774","0.357480386161509"
"Never","2017","lower secondary degree","1315","0.207526174836294","0.197351023124539","0.217701326548048"
"Never","2017","secondary school degree","1483","0.181507358053281","0.172848647767566","0.190166068338996"
"Never","2017","college entrance qualification","1573","0.191100843633868","0.182457727749891","0.199743959517845"
"Never","2017","Other degree","849","0.192106066172933","0.180675425580606","0.20353670676526"
"Never","2017","no degree/no degree yet","424","0.191189789847413","0.174697633837379","0.207681945857448"
"Very often","2018","lower secondary degree","","","",""
"Very often","2018","secondary school degree","","","",""
"Very often","2018","college entrance qualification","","","",""
"Very often","2018","Other degree","","","",""
"Very often","2018","no degree/no degree yet","","","",""
"Often","2018","lower secondary degree","","","",""
"Often","2018","secondary school degree","","","",""
"Often","2018","college entrance qualification","","","",""
"Often","2018","Other degree","30","0.217603741224789","0.157325801493255","0.277881680956323"
"Often","2018","no degree/no degree yet","35","0.136582958352835","0.0858488160345105","0.18731710067116"
"Sometimes","2018","lower secondary degree","","","",""
"Sometimes","2018","secondary school degree","","","",""
"Sometimes","2018","college entrance qualification","","","",""
"Sometimes","2018","Other degree","58","0.30183233521675","0.234770631004088","0.368894039429411"
"Sometimes","2018","no degree/no degree yet","52","0.404914986398751","0.33239408572545","0.477435887072051"
"Rarely ","2018","lower secondary degree","","","",""
"Rarely ","2018","secondary school degree","","","",""
"Rarely ","2018","college entrance qualification","","","",""
"Rarely ","2018","Other degree","","","",""
"Rarely ","2018","no degree/no degree yet","","","",""
"Never","2018","lower secondary degree","","","",""
"Never","2018","secondary school degree","","","",""
"Never","2018","college entrance qualification","","","",""
"Never","2018","Other degree","44","0.211075132056263","0.151461141259047","0.27068912285348"
"Never","2018","no degree/no degree yet","46","0.260616157450102","0.195763555713282","0.325468759186921"
"Very often","2019","lower secondary degree","","","",""
"Very often","2019","secondary school degree","","","",""
"Very often","2019","college entrance qualification","","","",""
"Very often","2019","Other degree","","","",""
"Very often","2019","no degree/no degree yet","","","",""
"Often","2019","lower secondary degree","","","",""
"Often","2019","secondary school degree","","","",""
"Often","2019","college entrance qualification","","","",""
"Often","2019","Other degree","","","",""
"Often","2019","no degree/no degree yet","33","0.237837133249514","0.167311369693142","0.308362896805886"
"Sometimes","2019","lower secondary degree","","","",""
"Sometimes","2019","secondary school degree","","","",""
"Sometimes","2019","college entrance qualification","","","",""
"Sometimes","2019","Other degree","34","0.413118275803693","0.310820642915969","0.515415908691417"
"Sometimes","2019","no degree/no degree yet","49","0.291834552672481","0.216530249389085","0.367138855955877"
"Rarely ","2019","lower secondary degree","","","",""
"Rarely ","2019","secondary school degree","","","",""
"Rarely ","2019","college entrance qualification","","","",""
"Rarely ","2019","Other degree","","","",""
"Rarely ","2019","no degree/no degree yet","","","",""
"Never","2019","lower secondary degree","","","",""
"Never","2019","secondary school degree","","","",""
"Never","2019","college entrance qualification","","","",""
"Never","2019","Other degree","","","",""
"Never","2019","no degree/no degree yet","","","",""
