"plj0587","year","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Sometimes","2014","(1a) inadequately completed","","","",""
"Sometimes","2014","(1b) general elementary school","","","",""
"Sometimes","2014","(1c) basic vocational qualification","","","",""
"Sometimes","2014","(2b) intermediate general qualification","","","",""
"Sometimes","2014","(2a) intermediate vocational","","","",""
"Sometimes","2014","(2c_gen) general maturity certificate","","","",""
"Sometimes","2014","(2c_voc) vocational maturity certificate","","","",""
"Sometimes","2014","(3a) lower tertiary education","","","",""
"Sometimes","2014","(3b) higher tertiary education","","","",""
"Rarely ","2014","(0) in school","","","",""
"Rarely ","2014","(1a) inadequately completed","","","",""
"Rarely ","2014","(1b) general elementary school","","","",""
"Rarely ","2014","(1c) basic vocational qualification","","","",""
"Rarely ","2014","(2b) intermediate general qualification","","","",""
"Rarely ","2014","(2a) intermediate vocational","","","",""
"Rarely ","2014","(2c_gen) general maturity certificate","","","",""
"Rarely ","2014","(2c_voc) vocational maturity certificate","","","",""
"Rarely ","2014","(3a) lower tertiary education","","","",""
"Rarely ","2014","(3b) higher tertiary education","","","",""
"Never","2014","(0) in school","","","",""
"Never","2014","(1a) inadequately completed","","","",""
"Never","2014","(1b) general elementary school","","","",""
"Never","2014","(1c) basic vocational qualification","","","",""
"Never","2014","(2b) intermediate general qualification","","","",""
"Never","2014","(2a) intermediate vocational","","","",""
"Never","2014","(2c_gen) general maturity certificate","","","",""
"Never","2014","(2c_voc) vocational maturity certificate","","","",""
"Never","2014","(3a) lower tertiary education","","","",""
"Never","2014","(3b) higher tertiary education","","","",""
"Very often","2015","(0) in school","","","",""
"Very often","2015","(1a) inadequately completed","","","",""
"Very often","2015","(1b) general elementary school","","","",""
"Very often","2015","(1c) basic vocational qualification","","","",""
"Very often","2015","(2b) intermediate general qualification","","","",""
"Very often","2015","(2a) intermediate vocational","","","",""
"Very often","2015","(2c_gen) general maturity certificate","","","",""
"Very often","2015","(2c_voc) vocational maturity certificate","","","",""
"Very often","2015","(3a) lower tertiary education","","","",""
"Very often","2015","(3b) higher tertiary education","","","",""
"Often","2015","(0) in school","","","",""
"Often","2015","(1a) inadequately completed","","","",""
"Often","2015","(1b) general elementary school","","","",""
"Often","2015","(1c) basic vocational qualification","","","",""
"Often","2015","(2b) intermediate general qualification","","","",""
"Often","2015","(2a) intermediate vocational","","","",""
"Often","2015","(2c_gen) general maturity certificate","","","",""
"Often","2015","(2c_voc) vocational maturity certificate","","","",""
"Often","2015","(3a) lower tertiary education","","","",""
"Often","2015","(3b) higher tertiary education","","","",""
"Sometimes","2015","(0) in school","","","",""
"Sometimes","2015","(1a) inadequately completed","","","",""
"Sometimes","2015","(1b) general elementary school","","","",""
"Sometimes","2015","(1c) basic vocational qualification","","","",""
"Sometimes","2015","(2b) intermediate general qualification","","","",""
"Sometimes","2015","(2a) intermediate vocational","","","",""
"Sometimes","2015","(2c_gen) general maturity certificate","","","",""
"Sometimes","2015","(2c_voc) vocational maturity certificate","","","",""
"Sometimes","2015","(3a) lower tertiary education","","","",""
