"plj0587","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"Never","2014","direct migration background","Male","","","",""
"Never","2014","direct migration background","Female","","","",""
"Never","2014","indirect migration background","Male","","","",""
"Never","2014","indirect migration background","Female","","","",""
"Very often","2015","no migration background","Male","","","",""
"Very often","2015","no migration background","Female","","","",""
"Very often","2015","direct migration background","Male","","","",""
"Very often","2015","direct migration background","Female","","","",""
"Very often","2015","indirect migration background","Male","","","",""
"Very often","2015","indirect migration background","Female","","","",""
"Often","2015","no migration background","Male","","","",""
"Often","2015","no migration background","Female","","","",""
"Often","2015","direct migration background","Male","","","",""
"Often","2015","direct migration background","Female","","","",""
"Often","2015","indirect migration background","Male","","","",""
"Often","2015","indirect migration background","Female","","","",""
"Sometimes","2015","no migration background","Male","","","",""
"Sometimes","2015","no migration background","Female","","","",""
"Sometimes","2015","direct migration background","Male","","","",""
"Sometimes","2015","direct migration background","Female","","","",""
"Sometimes","2015","indirect migration background","Male","","","",""
"Sometimes","2015","indirect migration background","Female","","","",""
"Rarely ","2015","no migration background","Male","","","",""
"Rarely ","2015","no migration background","Female","","","",""
"Rarely ","2015","direct migration background","Male","","","",""
"Rarely ","2015","direct migration background","Female","","","",""
"Rarely ","2015","indirect migration background","Male","","","",""
"Rarely ","2015","indirect migration background","Female","","","",""
"Never","2015","no migration background","Male","","","",""
"Never","2015","no migration background","Female","","","",""
"Never","2015","direct migration background","Male","","","",""
"Never","2015","direct migration background","Female","","","",""
"Never","2015","indirect migration background","Male","","","",""
"Never","2015","indirect migration background","Female","","","",""
"Very often","2016","no migration background","Male","","","",""
"Very often","2016","no migration background","Female","","","",""
"Very often","2016","direct migration background","Male","406","0.178442564327126","0.163900344646626","0.192984784007627"
"Very often","2016","direct migration background","Female","275","0.164926585949294","0.146843751945896","0.183009419952693"
"Very often","2016","indirect migration background","Male","","","",""
"Very often","2016","indirect migration background","Female","","","",""
"Often","2016","no migration background","Male","","","",""
"Often","2016","no migration background","Female","","","",""
"Often","2016","direct migration background","Male","495","0.203872585731805","0.188571113699671","0.219174057763938"
"Often","2016","direct migration background","Female","295","0.20519666407896","0.185518987373413","0.224874340784507"
"Often","2016","indirect migration background","Male","","","",""
"Often","2016","indirect migration background","Female","","","",""
"Sometimes","2016","no migration background","Male","","","",""
"Sometimes","2016","no migration background","Female","","","",""
"Sometimes","2016","direct migration background","Male","782","0.302454384117292","0.285009071490914","0.31989969674367"
"Sometimes","2016","direct migration background","Female","490","0.321376416596792","0.298621234858763","0.344131598334821"
"Sometimes","2016","indirect migration background","Male","","","",""
"Sometimes","2016","indirect migration background","Female","","","",""
"Rarely ","2016","no migration background","Male","","","",""
"Rarely ","2016","no migration background","Female","","","",""
"Rarely ","2016","direct migration background","Male","390","0.128807120102884","0.116084117922042","0.141530122283726"
"Rarely ","2016","direct migration background","Female","250","0.138471333948921","0.121641740045561","0.155300927852282"
"Rarely ","2016","indirect migration background","Male","","","",""
"Rarely ","2016","indirect migration background","Female","","","",""
"Never","2016","no migration background","Male","","","",""
"Never","2016","no migration background","Female","","","",""
"Never","2016","direct migration background","Male","590","0.186423345720893","0.171631856691631","0.201214834750155"
"Never","2016","direct migration background","Female","308","0.170028999426032","0.151724755650467","0.188333243201597"
"Never","2016","indirect migration background","Male","","","",""
"Never","2016","indirect migration background","Female","","","",""
"Very often","2017","no migration background","Male","80","0.00836849446290129","0.0065318249736522","0.0102051639521504"
"Very often","2017","no migration background","Female","191","0.0209587026037192","0.0182648371860625","0.0236525680213759"
"Very often","2017","direct migration background","Male","312","0.0447331362805747","0.0380795581823677","0.0513867143787817"
"Very often","2017","direct migration background","Female","315","0.0417885233119939","0.0354178155654594","0.0481592310585285"
"Very often","2017","indirect migration background","Male","","","",""
"Very often","2017","indirect migration background","Female","","","",""
"Often","2017","no migration background","Male","534","0.055241441051593","0.0506354286398552","0.0598474534633308"
"Often","2017","no migration background","Female","828","0.0788062644799419","0.0737392861062266","0.0838732428536572"
"Often","2017","direct migration background","Male","533","0.105938538487476","0.0960327533327927","0.115844323642159"
"Often","2017","direct migration background","Female","558","0.125468805719214","0.114922896689321","0.136014714749108"
"Often","2017","indirect migration background","Male","69","0.0836705470232882","0.0643498977613849","0.102991196285192"
"Often","2017","indirect migration background","Female","84","0.0839422044922439","0.0660623603780174","0.10182204860647"
"Sometimes","2017","no migration background","Male","2737","0.295352388466991","0.286154493996735","0.304550282937247"
"Sometimes","2017","no migration background","Female","3471","0.325356918333955","0.31654622165431","0.3341676150136"
"Sometimes","2017","direct migration background","Male","1235","0.329128494794358","0.314004008139226","0.344252981449491"
"Sometimes","2017","direct migration background","Female","1321","0.333199708362095","0.318193233575032","0.348206183149157"
"Sometimes","2017","indirect migration background","Male","211","0.297423688345013","0.265527108454685","0.32932026823534"
"Sometimes","2017","indirect migration background","Female","285","0.335928477608608","0.305474575695243","0.366382379521973"
"Rarely ","2017","no migration background","Male","4188","0.449120546457784","0.439091908899606","0.459149184015963"
"Rarely ","2017","no migration background","Female","4237","0.380338569156279","0.371208888038907","0.389468250273652"
"Rarely ","2017","direct migration background","Male","851","0.31576116304741","0.300800134720908","0.330722191373911"
"Rarely ","2017","direct migration background","Female","918","0.315970239219809","0.301169306848773","0.330771171590845"
"Rarely ","2017","indirect migration background","Male","303","0.39109058974079","0.357040001775195","0.425141177706385"
"Rarely ","2017","indirect migration background","Female","338","0.364186826044751","0.333159883435339","0.395213768654162"
"Never","2017","no migration background","Male","1911","0.19191712956073","0.183977193468175","0.199857065653285"
"Never","2017","no migration background","Female","2135","0.194539545426104","0.187095324531605","0.201983766320604"
"Never","2017","direct migration background","Male","777","0.204438667390182","0.191458013141263","0.2174193216391"
"Never","2017","direct migration background","Female","678","0.183572723386888","0.171247598899544","0.195897847874232"
"Never","2017","indirect migration background","Male","194","0.207693572117287","0.179388275716843","0.235998868517731"
"Never","2017","indirect migration background","Female","193","0.193568455939771","0.168093516992055","0.219043394887487"
"Very often","2018","no migration background","Male","","","",""
"Very often","2018","no migration background","Female","","","",""
"Very often","2018","direct migration background","Male","","","",""
"Very often","2018","direct migration background","Female","","","",""
"Very often","2018","indirect migration background","Male","","","",""
"Very often","2018","indirect migration background","Female","","","",""
"Often","2018","no migration background","Male","","","",""
"Often","2018","no migration background","Female","","","",""
"Often","2018","direct migration background","Male","32","0.180493806200008","0.126513162737956","0.234474449662061"
"Often","2018","direct migration background","Female","47","0.258177944316098","0.200995031756065","0.315360856876131"
"Often","2018","indirect migration background","Male","","","",""
"Often","2018","indirect migration background","Female","","","",""
"Sometimes","2018","no migration background","Male","","","",""
"Sometimes","2018","no migration background","Female","","","",""
"Sometimes","2018","direct migration background","Male","54","0.294226510925254","0.23026711450608","0.358185907344428"
"Sometimes","2018","direct migration background","Female","75","0.319206619507327","0.258294959046925","0.380118279967729"
"Sometimes","2018","indirect migration background","Male","","","",""
"Sometimes","2018","indirect migration background","Female","","","",""
"Rarely ","2018","no migration background","Male","","","",""
"Rarely ","2018","no migration background","Female","","","",""
"Rarely ","2018","direct migration background","Male","","","",""
"Rarely ","2018","direct migration background","Female","30","0.124166991218882","0.0810775794638533","0.167256402973911"
"Rarely ","2018","indirect migration background","Male","","","",""
"Rarely ","2018","indirect migration background","Female","","","",""
"Never","2018","no migration background","Male","","","",""
"Never","2018","no migration background","Female","","","",""
"Never","2018","direct migration background","Male","59","0.324163105300301","0.258467922458683","0.389858288141919"
"Never","2018","direct migration background","Female","45","0.191503295002225","0.140088976389921","0.242917613614529"
"Never","2018","indirect migration background","Male","","","",""
"Never","2018","indirect migration background","Female","","","",""
"Very often","2019","no migration background","Male","","","",""
"Very often","2019","no migration background","Female","","","",""
"Very often","2019","direct migration background","Male","","","",""
"Very often","2019","direct migration background","Female","","","",""
"Very often","2019","indirect migration background","Male","","","",""
"Very often","2019","indirect migration background","Female","","","",""
"Often","2019","no migration background","Male","","","",""
"Often","2019","no migration background","Female","","","",""
"Often","2019","direct migration background","Male","","","",""
"Often","2019","direct migration background","Female","34","0.207432661056043","0.140742683091212","0.274122639020874"
"Often","2019","indirect migration background","Male","","","",""
"Often","2019","indirect migration background","Female","","","",""
"Sometimes","2019","no migration background","Male","","","",""
"Sometimes","2019","no migration background","Female","","","",""
"Sometimes","2019","direct migration background","Male","44","0.304048567543713","0.226163062714154","0.381934072373273"
"Sometimes","2019","direct migration background","Female","54","0.399047640873345","0.318503062055048","0.479592219691642"
"Sometimes","2019","indirect migration background","Male","","","",""
"Sometimes","2019","indirect migration background","Female","","","",""
"Rarely ","2019","no migration background","Male","","","",""
"Rarely ","2019","no migration background","Female","","","",""
"Rarely ","2019","direct migration background","Male","","","",""
"Rarely ","2019","direct migration background","Female","","","",""
"Rarely ","2019","indirect migration background","Male","","","",""
"Rarely ","2019","indirect migration background","Female","","","",""
"Never","2019","no migration background","Male","","","",""
"Never","2019","no migration background","Female","","","",""
"Never","2019","direct migration background","Male","","","",""
"Never","2019","direct migration background","Female","","","",""
"Never","2019","indirect migration background","Male","","","",""
"Never","2019","indirect migration background","Female","","","",""
