"plj0587","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Very often","2013","Baden-Württemberg","Couple + C. LE 16 ","11","","",""
"Very often","2013","Baden-Württemberg","Couple + C. GT 16 ","2","","",""
"Very often","2013","Baden-Württemberg","Couple + C. LE and GT 16","2","","",""
"Very often","2013","Bavaria","1-pers.-HH","17","","",""
"Very often","2013","Bavaria","(Married) couple without C. ","10","","",""
"Very often","2013","Bavaria","Single parent ","10","","",""
"Very often","2013","Bavaria","Couple + C. LE 16 ","10","","",""
"Very often","2013","Bavaria","Couple + C. GT 16 ","3","","",""
"Very often","2013","Bavaria","Couple + C. LE and GT 16","2","","",""
"Very often","2013","Berlin","1-pers.-HH","11","","",""
"Very often","2013","Berlin","(Married) couple without C. ","3","","",""
"Very often","2013","Berlin","Single parent ","7","","",""
"Very often","2013","Berlin","Couple + C. LE 16 ","1","","",""
"Very often","2013","Berlin","Couple + C. GT 16 ","1","","",""
"Very often","2013","Berlin","Couple + C. LE and GT 16","1","","",""
"Very often","2013","Brandenburg","1-pers.-HH","10","","",""
"Very often","2013","Brandenburg","(Married) couple without C. ","3","","",""
"Very often","2013","Brandenburg","Single parent ","4","","",""
"Very often","2013","Brandenburg","Couple + C. LE 16 ","4","","",""
"Very often","2013","Brandenburg","Couple + C. GT 16 ","1","","",""
"Very often","2013","Brandenburg","Couple + C. LE and GT 16","","","",""
"Very often","2013","Mecklenburg-Western Pomerania","1-pers.-HH","4","","",""
"Very often","2013","Mecklenburg-Western Pomerania","(Married) couple without C. ","1","","",""
"Very often","2013","Mecklenburg-Western Pomerania","Single parent ","4","","",""
"Very often","2013","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","2","","",""
"Very often","2013","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","1","","",""
"Very often","2013","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","1","","",""
"Very often","2013","Saxony","1-pers.-HH","9","","",""
"Very often","2013","Saxony","(Married) couple without C. ","8","","",""
"Very often","2013","Saxony","Single parent ","3","","",""
"Very often","2013","Saxony","Couple + C. LE 16 ","3","","",""
"Very often","2013","Saxony","Couple + C. GT 16 ","","","",""
"Very often","2013","Saxony","Couple + C. LE and GT 16","1","","",""
"Very often","2013","Saxony-Anhalt","1-pers.-HH","13","","",""
"Very often","2013","Saxony-Anhalt","(Married) couple without C. ","3","","",""
"Very often","2013","Saxony-Anhalt","Single parent ","3","","",""
"Very often","2013","Saxony-Anhalt","Couple + C. LE 16 ","5","","",""
"Very often","2013","Saxony-Anhalt","Couple + C. GT 16 ","1","","",""
"Very often","2013","Saxony-Anhalt","Couple + C. LE and GT 16","2","","",""
"Very often","2013","Thuringia","1-pers.-HH","9","","",""
"Very often","2013","Thuringia","(Married) couple without C. ","1","","",""
"Very often","2013","Thuringia","Single parent ","4","","",""
"Very often","2013","Thuringia","Couple + C. LE 16 ","7","","",""
"Very often","2013","Thuringia","Couple + C. GT 16 ","1","","",""
"Very often","2013","Thuringia","Couple + C. LE and GT 16","2","","",""
"Often","2013","Schleswig-Holstein","1-pers.-HH","18","","",""
"Often","2013","Schleswig-Holstein","(Married) couple without C. ","19","","",""
"Often","2013","Schleswig-Holstein","Single parent ","13","","",""
"Often","2013","Schleswig-Holstein","Couple + C. LE 16 ","18","","",""
"Often","2013","Schleswig-Holstein","Couple + C. GT 16 ","1","","",""
"Often","2013","Schleswig-Holstein","Couple + C. LE and GT 16","5","","",""
"Often","2013","Hamburg","1-pers.-HH","8","","",""
"Often","2013","Hamburg","(Married) couple without C. ","7","","",""
"Often","2013","Hamburg","Single parent ","6","","",""
"Often","2013","Hamburg","Couple + C. LE 16 ","3","","",""
"Often","2013","Hamburg","Couple + C. GT 16 ","3","","",""
"Often","2013","Hamburg","Couple + C. LE and GT 16","","","",""
"Often","2013","Lower Saxony","1-pers.-HH","46","0.150955397827099","0.109171099552889","0.192739696101308"
"Often","2013","Lower Saxony","(Married) couple without C. ","40","0.0714814392742501","0.0530189935721658","0.0899438849763344"
"Often","2013","Lower Saxony","Single parent ","23","","",""
"Often","2013","Lower Saxony","Couple + C. LE 16 ","66","0.0918062599148572","0.0688918555291209","0.114720664300594"
"Often","2013","Lower Saxony","Couple + C. GT 16 ","18","","",""
"Often","2013","Lower Saxony","Couple + C. LE and GT 16","18","","",""
"Often","2013","Bremen","1-pers.-HH","4","","",""
"Often","2013","Bremen","(Married) couple without C. ","","","",""
"Often","2013","Bremen","Single parent ","7","","",""
"Often","2013","Bremen","Couple + C. LE 16 ","3","","",""
"Often","2013","Bremen","Couple + C. GT 16 ","1","","",""
"Often","2013","Bremen","Couple + C. LE and GT 16","","","",""
"Often","2013","North Rhine-Westphalia","1-pers.-HH","72","0.107552318464353","0.0836613858570889","0.131443251071616"
"Often","2013","North Rhine-Westphalia","(Married) couple without C. ","77","0.0513167582517234","0.0399756339869786","0.0626578825164682"
"Often","2013","North Rhine-Westphalia","Single parent ","60","0.0917422474509429","0.0670501669832324","0.116434327918653"
"Often","2013","North Rhine-Westphalia","Couple + C. LE 16 ","106","0.0718314220250041","0.0581834725863227","0.0854793714636856"
"Often","2013","North Rhine-Westphalia","Couple + C. GT 16 ","41","0.0662496639593126","0.0469653191864202","0.0855340087322051"
"Often","2013","North Rhine-Westphalia","Couple + C. LE and GT 16","34","0.102221065897588","0.0726443141637532","0.131797817631422"
"Often","2013","Hesse","1-pers.-HH","27","","",""
"Often","2013","Hesse","(Married) couple without C. ","39","0.0784733735377451","0.0552706830994512","0.101676063976039"
"Often","2013","Hesse","Single parent ","17","","",""
"Often","2013","Hesse","Couple + C. LE 16 ","38","0.0626311569850927","0.0408643318217438","0.0843979821484417"
"Often","2013","Hesse","Couple + C. GT 16 ","6","","",""
"Often","2013","Hesse","Couple + C. LE and GT 16","11","","",""
"Often","2013","Rhineland-Palatinate,Saarland","1-pers.-HH","18","","",""
"Often","2013","Rhineland-Palatinate,Saarland","(Married) couple without C. ","21","","",""
"Often","2013","Rhineland-Palatinate,Saarland","Single parent ","22","","",""
"Often","2013","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","25","","",""
"Often","2013","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","6","","",""
"Often","2013","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","12","","",""
"Often","2013","Baden-Württemberg","1-pers.-HH","46","0.12330897488439","0.0898523782641533","0.156765571504627"
"Often","2013","Baden-Württemberg","(Married) couple without C. ","40","0.0461605514137324","0.0317810253223954","0.0605400775050694"
"Often","2013","Baden-Württemberg","Single parent ","23","","",""
"Often","2013","Baden-Württemberg","Couple + C. LE 16 ","73","0.0863596167112512","0.0674761544397171","0.105243078982785"
"Often","2013","Baden-Württemberg","Couple + C. GT 16 ","25","","",""
"Often","2013","Baden-Württemberg","Couple + C. LE and GT 16","17","","",""
"Often","2013","Bavaria","1-pers.-HH","52","0.091485008748555","0.0673910722047279","0.115578945292382"
"Often","2013","Bavaria","(Married) couple without C. ","70","0.0625071963160663","0.0483363996696188","0.0766779929625138"
"Often","2013","Bavaria","Single parent ","40","0.0755652119600044","0.0494677019569026","0.101662721963106"
"Often","2013","Bavaria","Couple + C. LE 16 ","68","0.0731798038601575","0.0570866017446848","0.0892730059756302"
"Often","2013","Bavaria","Couple + C. GT 16 ","33","0.0669517448498763","0.0445221254676467","0.089381364232106"
"Often","2013","Bavaria","Couple + C. LE and GT 16","21","","",""
"Often","2013","Berlin","1-pers.-HH","26","","",""
"Often","2013","Berlin","(Married) couple without C. ","33","0.127601012381428","0.0900954280826821","0.165106596680175"
"Often","2013","Berlin","Single parent ","19","","",""
"Often","2013","Berlin","Couple + C. LE 16 ","29","","",""
"Often","2013","Berlin","Couple + C. GT 16 ","7","","",""
"Often","2013","Berlin","Couple + C. LE and GT 16","3","","",""
"Often","2013","Brandenburg","1-pers.-HH","25","","",""
"Often","2013","Brandenburg","(Married) couple without C. ","26","","",""
"Often","2013","Brandenburg","Single parent ","12","","",""
"Often","2013","Brandenburg","Couple + C. LE 16 ","22","","",""
"Often","2013","Brandenburg","Couple + C. GT 16 ","8","","",""
"Often","2013","Brandenburg","Couple + C. LE and GT 16","7","","",""
"Often","2013","Mecklenburg-Western Pomerania","1-pers.-HH","11","","",""
"Often","2013","Mecklenburg-Western Pomerania","(Married) couple without C. ","29","","",""
"Often","2013","Mecklenburg-Western Pomerania","Single parent ","11","","",""
"Often","2013","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","12","","",""
"Often","2013","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","4","","",""
"Often","2013","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","","","",""
"Often","2013","Saxony","1-pers.-HH","27","","",""
"Often","2013","Saxony","(Married) couple without C. ","52","0.121468544801636","0.0947677160825695","0.148169373520703"
"Often","2013","Saxony","Single parent ","18","","",""
"Often","2013","Saxony","Couple + C. LE 16 ","31","0.0487565326462693","0.0282819114255514","0.0692311538669872"
"Often","2013","Saxony","Couple + C. GT 16 ","10","","",""
"Often","2013","Saxony","Couple + C. LE and GT 16","5","","",""
"Often","2013","Saxony-Anhalt","1-pers.-HH","17","","",""
"Often","2013","Saxony-Anhalt","(Married) couple without C. ","24","","",""
"Often","2013","Saxony-Anhalt","Single parent ","12","","",""
"Often","2013","Saxony-Anhalt","Couple + C. LE 16 ","28","","",""
"Often","2013","Saxony-Anhalt","Couple + C. GT 16 ","6","","",""
"Often","2013","Saxony-Anhalt","Couple + C. LE and GT 16","1","","",""
"Often","2013","Thuringia","1-pers.-HH","19","","",""
"Often","2013","Thuringia","(Married) couple without C. ","29","","",""
"Often","2013","Thuringia","Single parent ","11","","",""
"Often","2013","Thuringia","Couple + C. LE 16 ","22","","",""
"Often","2013","Thuringia","Couple + C. GT 16 ","10","","",""
"Often","2013","Thuringia","Couple + C. LE and GT 16","5","","",""
"Sometimes","2013","Schleswig-Holstein","1-pers.-HH","53","0.450440711831399","0.366821757744039","0.534059665918758"
"Sometimes","2013","Schleswig-Holstein","(Married) couple without C. ","76","0.386461580751288","0.325858277696771","0.447064883805804"
"Sometimes","2013","Schleswig-Holstein","Single parent ","41","0.379505190688122","0.286687367680634","0.472323013695609"
"Sometimes","2013","Schleswig-Holstein","Couple + C. LE 16 ","93","0.376207689414397","0.315548180323609","0.436867198505186"
"Sometimes","2013","Schleswig-Holstein","Couple + C. GT 16 ","28","","",""
"Sometimes","2013","Schleswig-Holstein","Couple + C. LE and GT 16","30","0.469773094985281","0.35756705238614","0.581979137584422"
"Sometimes","2013","Hamburg","1-pers.-HH","21","","",""
"Sometimes","2013","Hamburg","(Married) couple without C. ","37","0.270769116462949","0.192557846308194","0.348980386617704"
"Sometimes","2013","Hamburg","Single parent ","14","","",""
"Sometimes","2013","Hamburg","Couple + C. LE 16 ","28","","",""
"Sometimes","2013","Hamburg","Couple + C. GT 16 ","10","","",""
"Sometimes","2013","Hamburg","Couple + C. LE and GT 16","3","","",""
"Sometimes","2013","Lower Saxony","1-pers.-HH","108","0.414457603111411","0.356960923470758","0.471954282752064"
"Sometimes","2013","Lower Saxony","(Married) couple without C. ","244","0.332369268358986","0.298611332603321","0.366127204114652"
"Sometimes","2013","Lower Saxony","Single parent ","102","0.346210337739046","0.289566524002333","0.402854151475758"
"Sometimes","2013","Lower Saxony","Couple + C. LE 16 ","185","0.32276905609496","0.285667039408928","0.359871072780992"
"Sometimes","2013","Lower Saxony","Couple + C. GT 16 ","82","0.310414813938897","0.25522849963984","0.365601128237954"
"Sometimes","2013","Lower Saxony","Couple + C. LE and GT 16","58","0.201557506319068","0.149936625819104","0.253178386819031"
"Sometimes","2013","Bremen","1-pers.-HH","12","","",""
"Sometimes","2013","Bremen","(Married) couple without C. ","13","","",""
"Sometimes","2013","Bremen","Single parent ","12","","",""
"Sometimes","2013","Bremen","Couple + C. LE 16 ","15","","",""
"Sometimes","2013","Bremen","Couple + C. GT 16 ","3","","",""
"Sometimes","2013","Bremen","Couple + C. LE and GT 16","1","","",""
"Sometimes","2013","North Rhine-Westphalia","1-pers.-HH","259","0.406687401383189","0.368807924163684","0.444566878602695"
"Sometimes","2013","North Rhine-Westphalia","(Married) couple without C. ","451","0.335558747314023","0.311288261801106","0.35982923282694"
"Sometimes","2013","North Rhine-Westphalia","Single parent ","198","0.422943295257636","0.38068433987384","0.465202250641431"
"Sometimes","2013","North Rhine-Westphalia","Couple + C. LE 16 ","452","0.342606558122849","0.317521953422229","0.367691162823469"
"Sometimes","2013","North Rhine-Westphalia","Couple + C. GT 16 ","181","0.311275058582498","0.275375200720002","0.347174916444993"
"Sometimes","2013","North Rhine-Westphalia","Couple + C. LE and GT 16","125","0.362651348796683","0.315712897956897","0.409589799636469"
"Sometimes","2013","Hesse","1-pers.-HH","83","0.323649150785286","0.264083324068581","0.383214977501991"
"Sometimes","2013","Hesse","(Married) couple without C. ","160","0.320848705166916","0.280571748087824","0.361125662246009"
"Sometimes","2013","Hesse","Single parent ","63","0.316237502455963","0.245921726368214","0.386553278543711"
"Sometimes","2013","Hesse","Couple + C. LE 16 ","189","0.452028812246997","0.407318620191709","0.496739004302285"
"Sometimes","2013","Hesse","Couple + C. GT 16 ","59","0.378932960139686","0.305356263146711","0.45250965713266"
"Sometimes","2013","Hesse","Couple + C. LE and GT 16","62","0.388875812084442","0.313339060935382","0.464412563233502"
"Sometimes","2013","Rhineland-Palatinate,Saarland","1-pers.-HH","73","0.35901850070625","0.294896063219023","0.423140938193477"
"Sometimes","2013","Rhineland-Palatinate,Saarland","(Married) couple without C. ","114","0.284590072578162","0.240967172490307","0.328212972666017"
"Sometimes","2013","Rhineland-Palatinate,Saarland","Single parent ","49","0.268472336762751","0.198929734110786","0.338014939414717"
"Sometimes","2013","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","112","0.396931108175736","0.346600079090655","0.447262137260817"
"Sometimes","2013","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","37","0.268459656724442","0.196820893461445","0.340098419987439"
"Sometimes","2013","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","31","0.356925513446255","0.264848577740839","0.449002449151671"
"Sometimes","2013","Baden-Württemberg","1-pers.-HH","126","0.321131788666603","0.273620640940151","0.368642936393056"
"Sometimes","2013","Baden-Württemberg","(Married) couple without C. ","256","0.323875333682914","0.291807194049761","0.355943473316068"
"Sometimes","2013","Baden-Württemberg","Single parent ","86","0.335992441924179","0.278018975872262","0.393965907976095"
"Sometimes","2013","Baden-Württemberg","Couple + C. LE 16 ","272","0.306166545676603","0.275182001361572","0.337151089991635"
"Sometimes","2013","Baden-Württemberg","Couple + C. GT 16 ","109","0.32366308524444","0.275061411822541","0.37226475866634"
"Sometimes","2013","Baden-Württemberg","Couple + C. LE and GT 16","83","0.231923603448904","0.18471147413999","0.279135732757818"
"Sometimes","2013","Bavaria","1-pers.-HH","196","0.35430229994206","0.314329151919683","0.394275447964437"
"Sometimes","2013","Bavaria","(Married) couple without C. ","356","0.308675565811692","0.281633655715111","0.335717475908273"
"Sometimes","2013","Bavaria","Single parent ","123","0.343023292644606","0.296148779296828","0.389897805992385"
"Sometimes","2013","Bavaria","Couple + C. LE 16 ","368","0.362789669244684","0.33307862195652","0.392500716532848"
"Sometimes","2013","Bavaria","Couple + C. GT 16 ","146","0.317700306073514","0.27591868304687","0.359481929100159"
"Sometimes","2013","Bavaria","Couple + C. LE and GT 16","139","0.297534729619902","0.253228203644546","0.341841255595257"
"Sometimes","2013","Berlin","1-pers.-HH","94","0.406965479064711","0.344154880363749","0.469776077765674"
"Sometimes","2013","Berlin","(Married) couple without C. ","106","0.335018695170845","0.281960736327967","0.388076654013723"
"Sometimes","2013","Berlin","Single parent ","45","0.383112338445805","0.299863428676894","0.466361248214715"
"Sometimes","2013","Berlin","Couple + C. LE 16 ","70","0.263261133841765","0.202974459803022","0.323547807880509"
"Sometimes","2013","Berlin","Couple + C. GT 16 ","25","","",""
"Sometimes","2013","Berlin","Couple + C. LE and GT 16","11","","",""
"Sometimes","2013","Brandenburg","1-pers.-HH","55","0.444109932031754","0.365121044513127","0.52309881955038"
"Sometimes","2013","Brandenburg","(Married) couple without C. ","162","0.44673108943839","0.397765417309608","0.495696761567171"
"Sometimes","2013","Brandenburg","Single parent ","37","0.28140131509194","0.197746128540734","0.365056501643145"
"Sometimes","2013","Brandenburg","Couple + C. LE 16 ","82","0.426709484070095","0.361500793321074","0.491918174819116"
"Sometimes","2013","Brandenburg","Couple + C. GT 16 ","37","0.405182477842496","0.298271380714642","0.51209357497035"
"Sometimes","2013","Brandenburg","Couple + C. LE and GT 16","15","","",""
"Sometimes","2013","Mecklenburg-Western Pomerania","1-pers.-HH","41","0.418562684442932","0.320891431879336","0.516233937006528"
"Sometimes","2013","Mecklenburg-Western Pomerania","(Married) couple without C. ","81","0.414591449259357","0.347800956254888","0.481381942263825"
"Sometimes","2013","Mecklenburg-Western Pomerania","Single parent ","30","0.343826494338985","0.233342865124338","0.454310123553632"
"Sometimes","2013","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","63","0.479476770716343","0.39701695151241","0.561936589920276"
"Sometimes","2013","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","10","","",""
"Sometimes","2013","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","9","","",""
"Sometimes","2013","Saxony","1-pers.-HH","117","0.482280767099137","0.421189567885748","0.543371966312525"
"Sometimes","2013","Saxony","(Married) couple without C. ","203","0.353791603747649","0.314709833443762","0.392873374051537"
"Sometimes","2013","Saxony","Single parent ","57","0.360421458502749","0.282002854458522","0.438840062546975"
"Sometimes","2013","Saxony","Couple + C. LE 16 ","158","0.408599189066731","0.361864072092855","0.455334306040607"
"Sometimes","2013","Saxony","Couple + C. GT 16 ","75","0.402238795982117","0.332879717054772","0.471597874909461"
"Sometimes","2013","Saxony","Couple + C. LE and GT 16","29","","",""
"Sometimes","2013","Saxony-Anhalt","1-pers.-HH","53","0.340744947008685","0.265888505779283","0.415601388238088"
"Sometimes","2013","Saxony-Anhalt","(Married) couple without C. ","106","0.260773027124776","0.214103986925743","0.307442067323808"
"Sometimes","2013","Saxony-Anhalt","Single parent ","40","0.279123990292863","0.191206160357858","0.367041820227867"
"Sometimes","2013","Saxony-Anhalt","Couple + C. LE 16 ","72","0.433979649164676","0.365967936303431","0.501991362025921"
"Sometimes","2013","Saxony-Anhalt","Couple + C. GT 16 ","26","","",""
"Sometimes","2013","Saxony-Anhalt","Couple + C. LE and GT 16","17","","",""
"Sometimes","2013","Thuringia","1-pers.-HH","52","0.385943832232202","0.307513630023633","0.464374034440771"
"Sometimes","2013","Thuringia","(Married) couple without C. ","105","0.330662601041511","0.28043433044642","0.380890871636602"
"Sometimes","2013","Thuringia","Single parent ","35","0.334514839198241","0.235371088040593","0.43365859035589"
"Sometimes","2013","Thuringia","Couple + C. LE 16 ","71","0.323049398421847","0.260394625268828","0.385704171574866"
"Sometimes","2013","Thuringia","Couple + C. GT 16 ","54","0.38892975383771","0.305764430813565","0.472095076861855"
"Sometimes","2013","Thuringia","Couple + C. LE and GT 16","19","","",""
"Rarely ","2013","Schleswig-Holstein","1-pers.-HH","48","0.326272204364552","0.247474982126505","0.4050694266026"
"Rarely ","2013","Schleswig-Holstein","(Married) couple without C. ","102","0.374831690995665","0.314584211987628","0.435079170003702"
"Rarely ","2013","Schleswig-Holstein","Single parent ","39","0.362154590537657","0.270224400923236","0.454084780152079"
"Rarely ","2013","Schleswig-Holstein","Couple + C. LE 16 ","99","0.412051787640092","0.35041918789034","0.473684387389845"
"Rarely ","2013","Schleswig-Holstein","Couple + C. GT 16 ","35","0.424892448805023","0.310710911948079","0.539073985661967"
"Rarely ","2013","Schleswig-Holstein","Couple + C. LE and GT 16","32","0.420076712162045","0.309110471683424","0.531042952640666"
"Rarely ","2013","Hamburg","1-pers.-HH","28","","",""
"Rarely ","2013","Hamburg","(Married) couple without C. ","43","0.418903639272767","0.332063923587011","0.505743354958524"
"Rarely ","2013","Hamburg","Single parent ","20","","",""
"Rarely ","2013","Hamburg","Couple + C. LE 16 ","33","0.327338015861071","0.23715430820148","0.417521723520663"
"Rarely ","2013","Hamburg","Couple + C. GT 16 ","10","","",""
"Rarely ","2013","Hamburg","Couple + C. LE and GT 16","7","","",""
"Rarely ","2013","Lower Saxony","1-pers.-HH","86","0.314075542725575","0.259903059912058","0.368248025539092"
"Rarely ","2013","Lower Saxony","(Married) couple without C. ","312","0.413626983655758","0.37833397261853","0.448919994692986"
"Rarely ","2013","Lower Saxony","Single parent ","100","0.326587624182933","0.270752966992076","0.38242228137379"
"Rarely ","2013","Lower Saxony","Couple + C. LE 16 ","240","0.418119977163656","0.378977315303168","0.457262639024144"
"Rarely ","2013","Lower Saxony","Couple + C. GT 16 ","117","0.469319103521981","0.40979168459495","0.528846522449011"
"Rarely ","2013","Lower Saxony","Couple + C. LE and GT 16","101","0.400392509370355","0.33734316201483","0.46344185672588"
"Rarely ","2013","Bremen","1-pers.-HH","10","","",""
"Rarely ","2013","Bremen","(Married) couple without C. ","20","","",""
"Rarely ","2013","Bremen","Single parent ","12","","",""
"Rarely ","2013","Bremen","Couple + C. LE 16 ","15","","",""
"Rarely ","2013","Bremen","Couple + C. GT 16 ","11","","",""
"Rarely ","2013","Bremen","Couple + C. LE and GT 16","1","","",""
"Rarely ","2013","North Rhine-Westphalia","1-pers.-HH","195","0.305100391011883","0.269593369129776","0.34060741289399"
"Rarely ","2013","North Rhine-Westphalia","(Married) couple without C. ","589","0.387475583966586","0.362434693937192","0.412516473995981"
"Rarely ","2013","North Rhine-Westphalia","Single parent ","160","0.278228898173289","0.239896207713896","0.316561588632683"
"Rarely ","2013","North Rhine-Westphalia","Couple + C. LE 16 ","518","0.375814826764822","0.350214799897541","0.401414853632103"
"Rarely ","2013","North Rhine-Westphalia","Couple + C. GT 16 ","240","0.397524894077666","0.359580346362818","0.435469441792514"
"Rarely ","2013","North Rhine-Westphalia","Couple + C. LE and GT 16","144","0.31060153192296","0.265422957635229","0.355780106210691"
"Rarely ","2013","Hesse","1-pers.-HH","80","0.318728472874254","0.259402554725593","0.378054391022916"
"Rarely ","2013","Hesse","(Married) couple without C. ","229","0.427059483678384","0.384379701617636","0.469739265739133"
"Rarely ","2013","Hesse","Single parent ","70","0.463111551077793","0.387710345981214","0.538512756174373"
"Rarely ","2013","Hesse","Couple + C. LE 16 ","175","0.321413069394148","0.279458513694265","0.363367625094031"
"Rarely ","2013","Hesse","Couple + C. GT 16 ","79","0.442781677462512","0.367446577247303","0.518116777677721"
"Rarely ","2013","Hesse","Couple + C. LE and GT 16","54","0.288493176999793","0.218291836124214","0.358694517875371"
"Rarely ","2013","Rhineland-Palatinate,Saarland","1-pers.-HH","66","0.330153193878009","0.267293196578219","0.393013191177799"
"Rarely ","2013","Rhineland-Palatinate,Saarland","(Married) couple without C. ","141","0.38253977725911","0.335553615117304","0.429525939400916"
"Rarely ","2013","Rhineland-Palatinate,Saarland","Single parent ","46","0.291653897866612","0.220328789763275","0.36297900596995"
"Rarely ","2013","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","144","0.334966246764823","0.286413126383392","0.383519367146253"
"Rarely ","2013","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","60","0.43162981702111","0.351561484156795","0.511698149885425"
"Rarely ","2013","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","36","0.355978392918488","0.26395601329869","0.448000772538286"
"Rarely ","2013","Baden-Württemberg","1-pers.-HH","141","0.391447595889978","0.341782995830989","0.441112195948967"
"Rarely ","2013","Baden-Württemberg","(Married) couple without C. ","346","0.429206148193011","0.395287069328741","0.46312522705728"
"Rarely ","2013","Baden-Württemberg","Single parent ","92","0.348646503278402","0.290156851981298","0.407136154575505"
"Rarely ","2013","Baden-Württemberg","Couple + C. LE 16 ","346","0.422938236643098","0.389726754877313","0.456149718408882"
"Rarely ","2013","Baden-Württemberg","Couple + C. GT 16 ","136","0.366142400752846","0.316099329533683","0.41618547197201"
"Rarely ","2013","Baden-Württemberg","Couple + C. LE and GT 16","137","0.516577495246907","0.4606777181031","0.572477272390714"
"Rarely ","2013","Bavaria","1-pers.-HH","182","0.339659704607","0.30007998986039","0.37923941935361"
"Rarely ","2013","Bavaria","(Married) couple without C. ","455","0.386946547455505","0.358435055482614","0.415458039428397"
"Rarely ","2013","Bavaria","Single parent ","148","0.336822852028711","0.290155245135618","0.383490458921803"
"Rarely ","2013","Bavaria","Couple + C. LE 16 ","388","0.40599404045228","0.375647839381476","0.436340241523085"
