"plj0587","year","regtyp","sex","n","percent","lower_confidence","upper_confidence"
"Never","2015","Rural Area","Female","","","",""
"Very often","2016","Urban Area","Male","249","0.167922923899798","0.150587113990899","0.185258733808698"
"Very often","2016","Urban Area","Female","194","0.167583135938268","0.146024611677325","0.189141660199211"
"Very often","2016","Rural Area","Male","157","0.200220845776386","0.173736577389682","0.226705114163091"
"Very often","2016","Rural Area","Female","81","0.158586656477125","0.12538500904446","0.19178830390979"
"Often","2016","Urban Area","Male","327","0.202549284581357","0.183910197106215","0.221188372056499"
"Often","2016","Urban Area","Female","194","0.193149761685891","0.170363294808612","0.21593622856317"
"Often","2016","Rural Area","Male","168","0.206612149417053","0.179816209516389","0.233408089317718"
"Often","2016","Rural Area","Female","101","0.233946927332869","0.195469173062767","0.27242468160297"
"Sometimes","2016","Urban Area","Male","524","0.301265429836315","0.279987070989502","0.322543788683128"
"Sometimes","2016","Urban Area","Female","351","0.321048107611686","0.294099396667842","0.347996818555531"
"Sometimes","2016","Rural Area","Male","258","0.30491581624896","0.274446902341136","0.335384730156783"
"Sometimes","2016","Rural Area","Female","139","0.322159935001975","0.279686146848664","0.364633723155287"
"Rarely ","2016","Urban Area","Male","283","0.138484503777311","0.122465352594223","0.154503654960399"
"Rarely ","2016","Urban Area","Female","187","0.145301793192534","0.124960651698907","0.16564293468616"
"Rarely ","2016","Rural Area","Male","107","0.108772520364413","0.0881661180518399","0.129378922676986"
"Rarely ","2016","Rural Area","Female","63","0.122170255464884","0.0924050077095813","0.151935503220186"
"Never","2016","Urban Area","Male","403","0.189777857905218","0.171592067239149","0.207963648571288"
"Never","2016","Urban Area","Female","227","0.17291720157162","0.151088543861264","0.194745859281977"
"Never","2016","Rural Area","Male","187","0.179478668193187","0.154080660431216","0.204876675955159"
"Never","2016","Rural Area","Female","81","0.163136225723148","0.129552861146007","0.196719590300289"
"Very often","2017","Urban Area","Male","287","0.017281866782444","0.014604760390097","0.0199589731747909"
"Very often","2017","Urban Area","Female","379","0.0255368784531561","0.0224777654912057","0.0285959914151065"
"Very often","2017","Rural Area","Male","117","0.00861656391842729","0.00601380519925578","0.0112193226375988"
"Very often","2017","Rural Area","Female","151","0.0218325179855989","0.0179206543135154","0.0257443816576823"
"Often","2017","Urban Area","Male","746","0.0620053104495625","0.057051145611492","0.0669594752876331"
"Often","2017","Urban Area","Female","955","0.0843795322576833","0.0789893281769171","0.0897697363384495"
"Often","2017","Rural Area","Male","390","0.0700522824448486","0.0628646404868146","0.0772399244028825"
"Often","2017","Rural Area","Female","515","0.0914734359816878","0.0837565603913607","0.0991903115720148"
"Sometimes","2017","Urban Area","Male","2671","0.293432839917136","0.284079065277001","0.302786614557272"
"Sometimes","2017","Urban Area","Female","3264","0.319155426059739","0.310115726179259","0.328195125940218"
"Sometimes","2017","Rural Area","Male","1512","0.315951786353021","0.302859973516438","0.329043599189605"
"Sometimes","2017","Rural Area","Female","1813","0.344933581773758","0.332209232123976","0.35765793142354"
"Rarely ","2017","Urban Area","Male","3477","0.429269276266902","0.419101257271599","0.439437295262206"
"Rarely ","2017","Urban Area","Female","3594","0.369017964063651","0.359660435590015","0.378375492537287"
"Rarely ","2017","Rural Area","Male","1865","0.417722622199679","0.403834133802034","0.431611110597324"
"Rarely ","2017","Rural Area","Female","1899","0.369402699654546","0.356483034038503","0.382322365270589"
"Never","2017","Urban Area","Male","1922","0.198010706583955","0.18982446717334","0.20619694599457"
"Never","2017","Urban Area","Female","2023","0.201910199165771","0.194125641958852","0.20969475637269"
"Never","2017","Rural Area","Male","960","0.187656745084024","0.176661677511194","0.198651812656854"
"Never","2017","Rural Area","Female","983","0.172357764604409","0.162247513634379","0.18246801557444"
"Very often","2018","Urban Area","Male","20","","",""
"Very often","2018","Urban Area","Female","14","","",""
"Very often","2018","Rural Area","Male","8","","",""
"Very often","2018","Rural Area","Female","14","","",""
"Often","2018","Urban Area","Male","15","","",""
"Often","2018","Urban Area","Female","36","0.352275089444306","0.273983278437295","0.430566900451316"
"Often","2018","Rural Area","Male","17","","",""
"Often","2018","Rural Area","Female","11","","",""
"Sometimes","2018","Urban Area","Male","32","0.246606354788006","0.170120471954006","0.323092237622006"
"Sometimes","2018","Urban Area","Female","47","0.255286257617759","0.183822067767033","0.326750447468484"
"Sometimes","2018","Rural Area","Male","22","","",""
"Sometimes","2018","Rural Area","Female","28","","",""
"Rarely ","2018","Urban Area","Male","13","","",""
"Rarely ","2018","Urban Area","Female","18","","",""
"Rarely ","2018","Rural Area","Male","9","","",""
"Rarely ","2018","Rural Area","Female","12","","",""
"Never","2018","Urban Area","Male","42","0.386864848661938","0.300442529091659","0.473287168232217"
"Never","2018","Urban Area","Female","28","","",""
"Never","2018","Rural Area","Male","17","","",""
"Never","2018","Rural Area","Female","17","","",""
"Very often","2019","Urban Area","Male","19","","",""
"Very often","2019","Urban Area","Female","10","","",""
"Very often","2019","Rural Area","Male","4","","",""
"Very often","2019","Rural Area","Female","6","","",""
"Often","2019","Urban Area","Male","15","","",""
"Often","2019","Urban Area","Female","23","","",""
"Often","2019","Rural Area","Male","11","","",""
"Often","2019","Rural Area","Female","11","","",""
"Sometimes","2019","Urban Area","Male","25","","",""
"Sometimes","2019","Urban Area","Female","22","","",""
"Sometimes","2019","Rural Area","Male","19","","",""
"Sometimes","2019","Rural Area","Female","32","0.607543361609757","0.479652781529081","0.735433941690434"
"Rarely ","2019","Urban Area","Male","7","","",""
"Rarely ","2019","Urban Area","Female","14","","",""
"Rarely ","2019","Rural Area","Male","3","","",""
"Rarely ","2019","Rural Area","Female","1","","",""
"Never","2019","Urban Area","Male","21","","",""
"Never","2019","Urban Area","Female","16","","",""
"Never","2019","Rural Area","Male","8","","",""
"Never","2019","Rural Area","Female","6","","",""
