"plj0587","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Never","2017","higher education","East Germany","247","0.162436067349008","0.143726299272026","0.18114583542599","5"
"Often","2017","in school","West Germany","23","","","","2"
"Often","2017","in school","East Germany","6","","","","2"
"Often","2017","inadequately","West Germany","284","0.156167033782971","0.137832978783378","0.174501088782565","2"
"Often","2017","general elemantary","West Germany","351","0.102422115924088","0.0913254768395951","0.113518755008581","2"
"Often","2017","inadequately","East Germany","30","0.165451835368535","0.106379002956699","0.224524667780371","2"
"Often","2017","middle vocational","West Germany","727","0.0692224822653601","0.0641604077400879","0.0742845567906323","2"
"Often","2017","general elemantary","East Germany","59","0.119416256922202","0.0887662256437607","0.150066288200644","2"
"Often","2017","vocational + Abi","West Germany","165","0.0764304710092189","0.0646622771697247","0.0881986648487132","2"
"Often","2017","vocational + Abi","East Germany","24","","","","2"
"Often","2017","middle vocational","East Germany","253","0.0843613648891384","0.0742477111625804","0.0944750186156965","2"
"Often","2017","higher vocational","West Germany","53","0.0413929059743154","0.0298549566952991","0.0529308552533318","2"
"Often","2017","higher vocational","East Germany","27","","","","2"
"Often","2017","higher education","West Germany","406","0.063705341710334","0.0572555554488824","0.0701551279717856","2"
"Often","2017","higher education","East Germany","119","0.0823788134041488","0.0684325562361171","0.0963250705721806","2"
"Rarely ","2017","in school","West Germany","150","0.475492573570441","0.423976568166405","0.527008578974477","4"
"Rarely ","2017","in school","East Germany","24","","","","4"
"Rarely ","2017","inadequately","West Germany","246","0.249335599386291","0.227485638674589","0.271185560097993","4"
"Rarely ","2017","inadequately","East Germany","28","","","","4"
"Rarely ","2017","general elemantary","West Germany","864","0.36570559426711","0.348078945124189","0.38333224341003","4"
"Rarely ","2017","general elemantary","East Germany","127","0.292226436163068","0.249241054943561","0.335211817382575","4"
"Rarely ","2017","middle vocational","West Germany","3654","0.391852825776433","0.382117559246799","0.401588092306066","4"
"Rarely ","2017","middle vocational","East Germany","1095","0.37141109503495","0.353828417195918","0.388993772873981","4"
"Rarely ","2017","vocational + Abi","West Germany","739","0.398925760187431","0.377236145053078","0.420615375321784","4"
"Rarely ","2017","vocational + Abi","East Germany","129","0.399962925496949","0.347266887956703","0.452658963037195","4"
"Rarely ","2017","higher vocational","West Germany","493","0.436746958879058","0.408018517465671","0.465475400292444","4"
"Rarely ","2017","higher vocational","East Germany","156","0.350430982856035","0.303558230674362","0.397303735037707","4"
"Rarely ","2017","higher education","West Germany","2272","0.453649414615648","0.440501798683403","0.466797030547893","4"
"Rarely ","2017","higher education","East Germany","619","0.403742995480706","0.378855142388726","0.428630848572686","4"
"Sometimes","2017","in school","East Germany","28","","","","3"
"Sometimes","2017","in school","West Germany","106","0.268149532660186","0.222451848731301","0.313847216589071","3"
"Sometimes","2017","inadequately","West Germany","481","0.310757041670834","0.287383083462328","0.334130999879341","3"
"Sometimes","2017","inadequately","East Germany","37","0.185313070317535","0.123543483363337","0.247082657271734","3"
"Sometimes","2017","general elemantary","West Germany","933","0.29549948635649","0.278800983326097","0.312197989386883","3"
"Sometimes","2017","general elemantary","East Germany","135","0.390955764284788","0.344834405646446","0.43707712292313","3"
"Sometimes","2017","middle vocational","West Germany","3042","0.31919193217801","0.309895414324815","0.328488450031205","3"
"Sometimes","2017","middle vocational","East Germany","940","0.346188685504303","0.32887630146485","0.363501069543756","3"
"Sometimes","2017","vocational + Abi","West Germany","608","0.291404319747296","0.271276858913247","0.311531780581346","3"
"Sometimes","2017","vocational + Abi","East Germany","104","0.303944955318791","0.254468530290671","0.353421380346912","3"
"Sometimes","2017","higher vocational","West Germany","356","0.307526723512118","0.280797380313655","0.334256066710581","3"
"Sometimes","2017","higher vocational","East Germany","131","0.348616504649967","0.301800009017297","0.395433000282637","3"
"Sometimes","2017","higher education","West Germany","1654","0.295578227091338","0.283527764171657","0.30762869001102","3"
"Sometimes","2017","higher education","East Germany","488","0.337586744164155","0.313599774435496","0.361573713892814","3"
"Very often","2017","in school","West Germany","5","","","","1"
"Very often","2017","in school","East Germany","","","","","1"
"Very often","2017","inadequately","West Germany","201","0.0832207777613491","0.0692704673530115","0.0971710881696866","1"
"Very often","2017","inadequately","East Germany","23","","","","1"
"Very often","2017","general elemantary","West Germany","138","0.0283024746159624","0.0222332072357491","0.0343717419961757","1"
"Very often","2017","general elemantary","East Germany","24","","","","1"
"Very often","2017","middle vocational","West Germany","221","0.0173891135225092","0.0147822906969243","0.0199959363480941","1"
"Very often","2017","middle vocational","East Germany","57","0.0151619374010215","0.0107152767349689","0.0196085980670741","1"
"Very often","2017","vocational + Abi","West Germany","48","0.0350178700725381","0.0268755860743171","0.043160154070759","1"
"Very often","2017","vocational + Abi","East Germany","4","","","","1"
"Very often","2017","higher vocational","West Germany","10","","","","1"
