"plb0218","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Yes, every week","2005","Rural Area","West Germany","340","0.173060021520268","0.156676076354872","0.189443966685663","2"
"Yes, every week","2005","Rural Area","East Germany","234","0.149046282722445","0.13186246476055","0.166230100684341","2"
"No, never","2006","Urban Area","West Germany","","","","","1"
"No, never","2006","Urban Area","East Germany","","","","","1"
"No, never","2006","Rural Area","West Germany","","","","","1"
"No, never","2006","Rural Area","East Germany","","","","","1"
"Rarely","2006","Urban Area","West Germany","","","","","5"
"Rarely","2006","Urban Area","East Germany","","","","","5"
"Rarely","2006","Rural Area","West Germany","","","","","5"
"Rarely","2006","Rural Area","East Germany","","","","","5"
"Yes, every 2 weeks","2006","Urban Area","West Germany","","","","","3"
"Yes, every 2 weeks","2006","Rural Area","West Germany","","","","","3"
"Yes, every 2 weeks","2006","Rural Area","East Germany","","","","","3"
"Yes, every 2 weeks","2006","Urban Area","East Germany","","","","","3"
"Yes, every 3-4 weeks","2006","Urban Area","West Germany","","","","","4"
"Yes, every 3-4 weeks","2006","Urban Area","East Germany","","","","","4"
"Yes, every 3-4 weeks","2006","Rural Area","West Germany","","","","","4"
"Yes, every 3-4 weeks","2006","Rural Area","East Germany","","","","","4"
"Yes, every week","2006","Urban Area","West Germany","","","","","2"
"Yes, every week","2006","Urban Area","East Germany","","","","","2"
"Yes, every week","2006","Rural Area","West Germany","","","","","2"
"Yes, every week","2006","Rural Area","East Germany","","","","","2"
"No, never","2007","Rural Area","East Germany","516","0.280843712637595","0.259543005099978","0.302144420175211","1"
"No, never","2007","Urban Area","West Germany","2627","0.376888395516145","0.365321659772855","0.388455131259435","1"
"No, never","2007","Urban Area","East Germany","289","0.332915390713209","0.302447125146403","0.363383656280015","1"
"No, never","2007","Rural Area","West Germany","726","0.330854138992273","0.310886287072759","0.350821990911787","1"
"Rarely","2007","Urban Area","West Germany","1630","0.232297479877733","0.222217950767408","0.242377008988059","5"
"Rarely","2007","Urban Area","East Germany","241","0.250992211227299","0.222959595443607","0.279024827010991","5"
"Rarely","2007","Rural Area","West Germany","523","0.253465524299403","0.235005296934899","0.271925751663906","5"
"Rarely","2007","Rural Area","East Germany","444","0.253857567533241","0.233229622651032","0.274485512415449","5"
"Yes, every 2 weeks","2007","Rural Area","East Germany","331","0.214839941027633","0.195373496005514","0.234306386049752","3"
"Yes, every 2 weeks","2007","Urban Area","West Germany","902","0.147737870608019","0.139268443704301","0.156207297511737","3"
"Yes, every 2 weeks","2007","Urban Area","East Germany","163","0.168508399028912","0.144307581067904","0.192709216989921","3"
"Yes, every 2 weeks","2007","Rural Area","West Germany","305","0.150158161623714","0.134998266789249","0.165318056458178","3"
"Yes, every 3-4 weeks","2007","Rural Area","East Germany","178","0.103178321554049","0.0887605774185549","0.117596065689544","4"
"Yes, every 3-4 weeks","2007","Urban Area","West Germany","633","0.0977488859020952","0.0906606015256927","0.104837170278498","4"
"Yes, every 3-4 weeks","2007","Urban Area","East Germany","87","0.096170079441515","0.0771087283887798","0.11523143049425","4"
"Yes, every 3-4 weeks","2007","Rural Area","West Germany","217","0.106815969833314","0.0937078249785362","0.119924114688092","4"
"Yes, every week","2007","Urban Area","West Germany","951","0.145327368096007","0.136915448477142","0.153739287714873","2"
"Yes, every week","2007","Urban Area","East Germany","139","0.151413919589064","0.128238842462687","0.174588996715442","2"
"Yes, every week","2007","Rural Area","East Germany","241","0.147280457247482","0.130483689936362","0.164077224558602","2"
"Yes, every week","2007","Rural Area","West Germany","362","0.158706205251296","0.143199359750929","0.174213050751664","2"
"No, never","2008","Rural Area","East Germany","","","","","1"
"No, never","2008","Urban Area","West Germany","","","","","1"
"No, never","2008","Urban Area","East Germany","","","","","1"
"No, never","2008","Rural Area","West Germany","","","","","1"
"Rarely","2008","Rural Area","East Germany","","","","","5"
"Rarely","2008","Urban Area","West Germany","","","","","5"
"Rarely","2008","Urban Area","East Germany","","","","","5"
"Rarely","2008","Rural Area","West Germany","","","","","5"
"Yes, every 2 weeks","2008","Rural Area","East Germany","","","","","3"
"Yes, every 2 weeks","2008","Urban Area","West Germany","","","","","3"
"Yes, every 2 weeks","2008","Urban Area","East Germany","","","","","3"
"Yes, every 2 weeks","2008","Rural Area","West Germany","","","","","3"
"Yes, every 3-4 weeks","2008","Rural Area","East Germany","","","","","4"
"Yes, every 3-4 weeks","2008","Urban Area","West Germany","","","","","4"
"Yes, every 3-4 weeks","2008","Urban Area","East Germany","","","","","4"
"Yes, every 3-4 weeks","2008","Rural Area","West Germany","","","","","4"
"Yes, every week","2008","Rural Area","East Germany","","","","","2"
"Yes, every week","2008","Urban Area","West Germany","","","","","2"
"Yes, every week","2008","Urban Area","East Germany","","","","","2"
"Yes, every week","2008","Rural Area","West Germany","","","","","2"
"No, never","2009","Rural Area","East Germany","486","0.283778477525218","0.261435393047281","0.306121562003155","1"
"No, never","2009","Rural Area","West Germany","669","0.345130341921929","0.323759283189427","0.366501400654432","1"
"No, never","2009","Urban Area","West Germany","2263","0.37652160538188","0.364158495184501","0.38888471557926","1"
"No, never","2009","Urban Area","East Germany","263","0.320532236474663","0.289084948701508","0.351979524247819","1"
"Rarely","2009","Rural Area","East Germany","413","0.281790977801806","0.259495402304713","0.304086553298899","5"
"Rarely","2009","Urban Area","West Germany","1481","0.244886284579918","0.233913660627241","0.255858908532594","5"
"Rarely","2009","Urban Area","East Germany","240","0.256001478666542","0.226593160887781","0.285409796445302","5"
"Rarely","2009","Rural Area","West Germany","454","0.245983320841561","0.226623544348254","0.265343097334868","5"
"Yes, every 2 weeks","2009","Rural Area","East Germany","268","0.188895525665623","0.16949654318988","0.208294508141366","3"
"Yes, every 2 weeks","2009","Rural Area","West Germany","271","0.144750502713481","0.128933889776741","0.160567115650221","3"
"Yes, every 2 weeks","2009","Urban Area","West Germany","787","0.143432136517026","0.13448825149966","0.152376021534391","3"
"Yes, every 2 weeks","2009","Urban Area","East Germany","135","0.163156201410786","0.138256914854732","0.188055487966841","3"
"Yes, every 3-4 weeks","2009","Rural Area","East Germany","174","0.117095552687597","0.101160380182169","0.133030725193025","4"
"Yes, every 3-4 weeks","2009","Rural Area","West Germany","169","0.0800121173855276","0.067815877217424","0.0922083575536311","4"
"Yes, every 3-4 weeks","2009","Urban Area","West Germany","484","0.0838576909585344","0.0767851575900349","0.090930224327034","4"
"Yes, every 3-4 weeks","2009","Urban Area","East Germany","87","0.0877466273833402","0.0686816688589841","0.106811585907696","4"
"Yes, every week","2009","Rural Area","East Germany","223","0.128439466319756","0.111857816436393","0.14502111620312","2"
"Yes, every week","2009","Urban Area","West Germany","885","0.151302282562642","0.142158595751593","0.16044596937369","2"
"Yes, every week","2009","Rural Area","West Germany","338","0.184123717137501","0.166700672316329","0.201546761958673","2"
"Yes, every week","2009","Urban Area","East Germany","121","0.172563456064668","0.147100743155493","0.198026168973844","2"
"No, never","2010","Rural Area","East Germany","168","0.323658084563895","0.283444498746758","0.363871670381032","1"
"No, never","2010","Rural Area","West Germany","383","0.361734824902693","0.333505776134404","0.389963873670982","1"
"No, never","2010","Urban Area","West Germany","896","0.349132093596338","0.330787655216896","0.367476531975779","1"
"No, never","2010","Urban Area","East Germany","87","0.323411370733034","0.270031554669869","0.376791186796199","1"
"Rarely","2010","Rural Area","East Germany","123","0.231678053060567","0.19541532391984","0.267940782201294","5"
"Rarely","2010","Rural Area","West Germany","265","0.230234523888538","0.205502198765955","0.254966849011121","5"
"Rarely","2010","Urban Area","West Germany","685","0.260601566690859","0.243709185258235","0.277493948123484","5"
"Rarely","2010","Urban Area","East Germany","90","0.274100741209051","0.223199266541233","0.325002215876868","5"
"Yes, every 2 weeks","2010","Rural Area","West Germany","177","0.163762583901556","0.142021927733365","0.185503240069748","3"
"Yes, every 2 weeks","2010","Rural Area","East Germany","105","0.189476777883925","0.15579405860963","0.22315949715822","3"
"Yes, every 2 weeks","2010","Urban Area","West Germany","421","0.163790287710868","0.149548491018201","0.178032084403534","3"
"Yes, every 2 weeks","2010","Urban Area","East Germany","56","0.200953803474857","0.155226968471089","0.246680638478625","3"
"Yes, every 3-4 weeks","2010","Rural Area","East Germany","48","0.102436523998264","0.0763746031412773","0.12849844485525","4"
"Yes, every 3-4 weeks","2010","Rural Area","West Germany","112","0.0980731923597135","0.0806004403639667","0.11554594435546","4"
"Yes, every 3-4 weeks","2010","Urban Area","West Germany","240","0.0956324020304476","0.084315224354983","0.106949579705912","4"
"Yes, every 3-4 weeks","2010","Urban Area","East Germany","33","0.10099381792755","0.0666090721833581","0.135378563671742","4"
"Yes, every week","2010","Rural Area","East Germany","76","0.152750560493349","0.121830276754628","0.18367084423207","2"
"Yes, every week","2010","Rural Area","West Germany","176","0.146194874947499","0.125438765044624","0.166950984850373","2"
"Yes, every week","2010","Urban Area","West Germany","352","0.130843649971488","0.117866229259513","0.143821070683462","2"
"Yes, every week","2010","Urban Area","East Germany","29","","","","2"
"No, never","2011","Rural Area","East Germany","772","0.333012741308378","0.313667691086932","0.352357791529824","1"
"No, never","2011","Rural Area","West Germany","1338","0.35925229664824","0.343734142540118","0.374770450756361","1"
"No, never","2011","Urban Area","East Germany","421","0.313609951203329","0.28812321077252","0.339096691634139","1"
"No, never","2011","Urban Area","West Germany","3788","0.389117923359274","0.379331368689234","0.398904478029314","1"
"Rarely","2011","Rural Area","East Germany","506","0.221442665118588","0.204399250172308","0.238486080064867","5"
"Rarely","2011","Rural Area","West Germany","838","0.255886532319349","0.241772859298809","0.270000205339888","5"
"Rarely","2011","Urban Area","West Germany","2140","0.223311835654923","0.214952154150372","0.231671517159473","5"
"Rarely","2011","Urban Area","East Germany","341","0.281749775146043","0.257038021626467","0.30646152866562","5"
"Yes, every 2 weeks","2011","Rural Area","East Germany","466","0.208820946825565","0.192136758317938","0.225505135333193","3"
"Yes, every 2 weeks","2011","Rural Area","West Germany","575","0.146167753896456","0.134741369827311","0.157594137965601","3"
"Yes, every 2 weeks","2011","Urban Area","East Germany","202","0.152867625018393","0.133099417651007","0.172635832385778","3"
"Yes, every 2 weeks","2011","Urban Area","West Germany","1379","0.148772716570867","0.141629481677484","0.15591595146425","3"
"Yes, every 3-4 weeks","2011","Rural Area","East Germany","228","0.113643840712074","0.100616440585656","0.126671240838491","4"
"Yes, every 3-4 weeks","2011","Rural Area","West Germany","358","0.0929269356673117","0.0835364360740734","0.10231743526055","4"
"Yes, every 3-4 weeks","2011","Urban Area","East Germany","140","0.0980673706225087","0.0817299607722811","0.114404780472736","4"
"Yes, every 3-4 weeks","2011","Urban Area","West Germany","827","0.0854987368205838","0.0798858986441085","0.091111574997059","4"
"Yes, every week","2011","Rural Area","East Germany","308","0.123079806035396","0.109594708104226","0.136564903966566","2"
"Yes, every week","2011","Rural Area","West Germany","563","0.145766481468643","0.134353111525386","0.157179851411901","2"
"Yes, every week","2011","Urban Area","East Germany","169","0.153705278009726","0.133892786394649","0.173517769624804","2"
"Yes, every week","2011","Urban Area","West Germany","1400","0.153298787594353","0.14606701155351","0.160530563635195","2"
"No, never","2012","Rural Area","East Germany","233","0.376407185195191","0.337280780072191","0.41553359031819","1"
"No, never","2012","Rural Area","West Germany","541","0.398199391667005","0.372153767199108","0.424245016134902","1"
"No, never","2012","Urban Area","East Germany","124","0.382247294749855","0.33044258090811","0.434052008591601","1"
"No, never","2012","Urban Area","West Germany","1151","0.403377398303827","0.385435784494786","0.421319012112868","1"
"Rarely","2012","Rural Area","East Germany","106","0.190929647845761","0.159188672122735","0.222670623568787","5"
"Rarely","2012","Rural Area","West Germany","254","0.18356074564527","0.162963459022763","0.204158032267777","5"
"Rarely","2012","Urban Area","East Germany","87","0.245426919309626","0.199549234565892","0.29130460405336","5"
"Rarely","2012","Urban Area","West Germany","584","0.194689761011783","0.180208411360217","0.209171110663349","5"
"Yes, every 2 weeks","2012","Rural Area","East Germany","116","0.1905203647054","0.158805408984124","0.222235320426676","3"
"Yes, every 2 weeks","2012","Urban Area","East Germany","58","0.166573226311707","0.126851687597126","0.206294765026287","3"
"Yes, every 2 weeks","2012","Rural Area","West Germany","224","0.177604828175433","0.157270687343229","0.197938969007638","3"
"Yes, every 2 weeks","2012","Urban Area","West Germany","462","0.170872968847488","0.157107116945767","0.18463882074921","3"
"Yes, every 3-4 weeks","2012","Rural Area","East Germany","53","0.0920837256560809","0.0687327632199128","0.115434688092249","4"
"Yes, every 3-4 weeks","2012","Rural Area","West Germany","125","0.0873998289280696","0.0723734709352699","0.102426186920869","4"
"Yes, every 3-4 weeks","2012","Urban Area","East Germany","32","0.111519142850434","0.0779617285463357","0.145076557154533","4"
"Yes, every 3-4 weeks","2012","Urban Area","West Germany","261","0.092341697402081","0.0817536471892739","0.102929747614888","4"
"Yes, every week","2012","Rural Area","East Germany","81","0.150059076597567","0.121217702440835","0.178900450754298","2"
"Yes, every week","2012","Rural Area","West Germany","213","0.153235205584222","0.13406976349918","0.172400647669264","2"
"Yes, every week","2012","Urban Area","East Germany","37","0.0942334167783779","0.0630875546297851","0.125379278926971","2"
"Yes, every week","2012","Urban Area","West Germany","414","0.13871817443482","0.126076773748194","0.151359575121446","2"
"No, never","2013","Rural Area","West Germany","1270","0.370653230177323","0.354485219669053","0.386821240685593","1"
"No, never","2013","Rural Area","East Germany","733","0.330270526998502","0.310160174629199","0.350380879367805","1"
"No, never","2013","Urban Area","East Germany","424","0.323084421547304","0.296712614636706","0.349456228457902","1"
"No, never","2013","Urban Area","West Germany","3575","0.380119033112278","0.369981707486878","0.390256358737678","1"
"Rarely","2013","Rural Area","East Germany","498","0.233575556094805","0.215483687101471","0.251667425088138","5"
"Rarely","2013","Rural Area","West Germany","796","0.239090643836381","0.224812378862584","0.253368908810179","5"
"Rarely","2013","Urban Area","East Germany","322","0.285004531327192","0.259548414755226","0.310460647899157","5"
"Rarely","2013","Urban Area","West Germany","2051","0.250460346218997","0.241411853667588","0.259508838770406","5"
"Yes, every 2 weeks","2013","Rural Area","East Germany","389","0.214611352714889","0.197056236030945","0.232166469398833","3"
"Yes, every 2 weeks","2013","Rural Area","West Germany","569","0.169138418494312","0.156589301849972","0.181687535138652","3"
"Yes, every 2 weeks","2013","Urban Area","East Germany","195","0.160027454348844","0.139352506727728","0.180702401969961","3"
"Yes, every 2 weeks","2013","Urban Area","West Germany","1264","0.139208010926543","0.13197880392755","0.146437217925537","3"
"Yes, every 3-4 weeks","2013","Rural Area","East Germany","210","0.0908797465674966","0.0785889710967034","0.10317052203829","4"
"Yes, every 3-4 weeks","2013","Rural Area","West Germany","296","0.0801290742334617","0.0710407001794118","0.0892174482875116","4"
"Yes, every 3-4 weeks","2013","Urban Area","East Germany","125","0.115061536586839","0.0970671832269124","0.133055889946765","4"
"Yes, every 3-4 weeks","2013","Urban Area","West Germany","729","0.0928442155389396","0.0867834455752115","0.0989049855026677","4"
"Yes, every week","2013","Rural Area","East Germany","271","0.130662817624308","0.116251449830719","0.145074185417897","2"
"Yes, every week","2013","Rural Area","West Germany","497","0.140988633258522","0.12933881393521","0.152638452581833","2"
"Yes, every week","2013","Urban Area","East Germany","142","0.116822056189821","0.0987086071254926","0.13493550525415","2"
"Yes, every week","2013","Urban Area","West Germany","1189","0.137368394203242","0.130179443064325","0.144557345342159","2"
"No, never","2014","Rural Area","West Germany","","","","","1"
"No, never","2014","Rural Area","East Germany","","","","","1"
"No, never","2014","Urban Area","East Germany","","","","","1"
"No, never","2014","Urban Area","West Germany","","","","","1"
"Rarely","2014","Rural Area","West Germany","","","","","5"
"Rarely","2014","Rural Area","East Germany","","","","","5"
"Rarely","2014","Urban Area","East Germany","","","","","5"
"Rarely","2014","Urban Area","West Germany","","","","","5"
"Yes, every 2 weeks","2014","Rural Area","West Germany","","","","","3"
"Yes, every 2 weeks","2014","Rural Area","East Germany","","","","","3"
"Yes, every 2 weeks","2014","Urban Area","West Germany","","","","","3"
"Yes, every 2 weeks","2014","Urban Area","East Germany","","","","","3"
"Yes, every 3-4 weeks","2014","Rural Area","West Germany","","","","","4"
"Yes, every 3-4 weeks","2014","Rural Area","East Germany","","","","","4"
"Yes, every 3-4 weeks","2014","Urban Area","East Germany","","","","","4"
"Yes, every 3-4 weeks","2014","Urban Area","West Germany","","","","","4"
"Yes, every week","2014","Rural Area","West Germany","","","","","2"
"Yes, every week","2014","Rural Area","East Germany","","","","","2"
"Yes, every week","2014","Urban Area","East Germany","","","","","2"
"Yes, every week","2014","Urban Area","West Germany","","","","","2"
"No, never","2015","Urban Area","East Germany","398","0.348651675358081","0.320579452109795","0.376723898606367","1"
"No, never","2015","Rural Area","West Germany","1333","0.380625679189165","0.36436956732807","0.39688179105026","1"
"No, never","2015","Rural Area","East Germany","692","0.345236201761199","0.323681404866505","0.366790998655893","1"
"No, never","2015","Urban Area","West Germany","3633","0.39209291243188","0.381959023023271","0.402226801840489","1"
"Rarely","2015","Rural Area","West Germany","772","0.232459304401019","0.218317161821015","0.246601446981023","5"
"Rarely","2015","Rural Area","East Germany","453","0.247893554259491","0.228317925833986","0.267469182684996","5"
"Rarely","2015","Urban Area","East Germany","274","0.251692454787549","0.226127240286521","0.277257669288577","5"
"Rarely","2015","Urban Area","West Germany","2016","0.233474739937833","0.224693694046557","0.24225578582911","5"
"Yes, every 2 weeks","2015","Rural Area","West Germany","526","0.156732153711169","0.14456040829648","0.168903899125857","3"
"Yes, every 2 weeks","2015","Rural Area","East Germany","352","0.204044352140119","0.185773863450998","0.22231484082924","3"
"Yes, every 2 weeks","2015","Urban Area","East Germany","189","0.182400587277151","0.15965182972666","0.205149344827641","3"
"Yes, every 2 weeks","2015","Urban Area","West Germany","1298","0.150298720691565","0.142880942561854","0.157716498821275","3"
"Yes, every 3-4 weeks","2015","Rural Area","West Germany","306","0.0801484120623923","0.0710577109064617","0.0892391132183229","4"
"Yes, every 3-4 weeks","2015","Urban Area","East Germany","110","0.101167839499886","0.08340408264988","0.118931596349891","4"
"Yes, every 3-4 weeks","2015","Rural Area","East Germany","157","0.0889981813119897","0.0760891507716983","0.101907211852281","4"
"Yes, every 3-4 weeks","2015","Urban Area","West Germany","736","0.0866627141798437","0.0808229568810334","0.092502471478654","4"
"Yes, every week","2015","Rural Area","West Germany","490","0.150034450636255","0.138078415114347","0.161990486158163","2"
"Yes, every week","2015","Rural Area","East Germany","215","0.113827710527201","0.0994289030969743","0.128226517957428","2"
"Yes, every week","2015","Urban Area","East Germany","136","0.116087443077334","0.0972174580676158","0.134957428087052","2"
"Yes, every week","2015","Urban Area","West Germany","1233","0.137470912758878","0.130323393337042","0.144618432180713","2"
"No, never","2016","Urban Area","East Germany","","","","","1"
"No, never","2016","Rural Area","West Germany","","","","","1"
"No, never","2016","Rural Area","East Germany","","","","","1"
"No, never","2016","Urban Area","West Germany","","","","","1"
"Rarely","2016","Urban Area","East Germany","","","","","5"
"Rarely","2016","Rural Area","West Germany","","","","","5"
"Rarely","2016","Rural Area","East Germany","","","","","5"
"Rarely","2016","Urban Area","West Germany","","","","","5"
"Yes, every 2 weeks","2016","Urban Area","East Germany","","","","","3"
"Yes, every 2 weeks","2016","Rural Area","West Germany","","","","","3"
"Yes, every 2 weeks","2016","Rural Area","East Germany","","","","","3"
"Yes, every 2 weeks","2016","Urban Area","West Germany","","","","","3"
"Yes, every 3-4 weeks","2016","Urban Area","East Germany","","","","","4"
"Yes, every 3-4 weeks","2016","Rural Area","West Germany","","","","","4"
"Yes, every 3-4 weeks","2016","Rural Area","East Germany","","","","","4"
"Yes, every 3-4 weeks","2016","Urban Area","West Germany","","","","","4"
"Yes, every week","2016","Urban Area","East Germany","","","","","2"
"Yes, every week","2016","Rural Area","West Germany","","","","","2"
"Yes, every week","2016","Rural Area","East Germany","","","","","2"
"Yes, every week","2016","Urban Area","West Germany","","","","","2"
"No, never","2017","Urban Area","West Germany","4223","0.426961192773074","0.417128355813951","0.436794029732198","1"
"No, never","2017","Urban Area","East Germany","493","0.441186207423395","0.412710718381318","0.469661696465471","1"
"No, never","2017","Rural Area","West Germany","1572","0.40558885241268","0.389921660395334","0.421256044430027","1"
"No, never","2017","Rural Area","East Germany","871","0.394711470591109","0.374060139327033","0.415362801855185","1"
"Rarely","2017","Urban Area","East Germany","228","0.194887146982457","0.172170373449215","0.217603920515699","5"
"Rarely","2017","Rural Area","West Germany","685","0.209719372417608","0.196729208503932","0.222709536331284","5"
"Rarely","2017","Rural Area","East Germany","410","0.206713997727918","0.189604912248223","0.223823083207612","5"
"Rarely","2017","Urban Area","West Germany","1941","0.209941980293716","0.201845956849993","0.21803800373744","5"
"Yes, every 2 weeks","2017","Urban Area","East Germany","179","0.144060778476914","0.123922561676938","0.16419899527689","3"
"Yes, every 2 weeks","2017","Rural Area","West Germany","606","0.150523665724994","0.13911374246017","0.161933588989817","3"
"Yes, every 2 weeks","2017","Rural Area","East Germany","382","0.176216099319352","0.160118674723898","0.192313523914806","3"
"Yes, every 2 weeks","2017","Urban Area","West Germany","1346","0.142810256424511","0.135855037541548","0.149765475307474","3"
"Yes, every 3-4 weeks","2017","Urban Area","East Germany","124","0.0930797933264077","0.0764173412262897","0.109742245426526","4"
"Yes, every 3-4 weeks","2017","Urban Area","West Germany","886","0.0880972909553252","0.0824628848068479","0.0937316971038025","4"
"Yes, every 3-4 weeks","2017","Rural Area","West Germany","372","0.09173051915866","0.0825203209851409","0.100940717332179","4"
"Yes, every 3-4 weeks","2017","Rural Area","East Germany","233","0.0959431518068977","0.0834999593508839","0.108386344262912","4"
"Yes, every week","2017","Urban Area","East Germany","144","0.126786073790827","0.107704122941431","0.145868024640223","2"
"Yes, every week","2017","Rural Area","West Germany","538","0.142437590286058","0.131285664636493","0.153589515935624","2"
"Yes, every week","2017","Rural Area","East Germany","256","0.126415280554723","0.112374887742097","0.140455673367348","2"
"Yes, every week","2017","Urban Area","West Germany","1325","0.132189279553373","0.125456362832991","0.138922196273755","2"
"No, never","2018","Urban Area","West Germany","","","","","1"
"No, never","2018","Urban Area","East Germany","","","","","1"
"No, never","2018","Rural Area","West Germany","","","","","1"
"No, never","2018","Rural Area","East Germany","","","","","1"
"Rarely","2018","Urban Area","West Germany","","","","","5"
"Rarely","2018","Urban Area","East Germany","","","","","5"
"Rarely","2018","Rural Area","West Germany","","","","","5"
"Rarely","2018","Rural Area","East Germany","","","","","5"
"Yes, every 2 weeks","2018","Rural Area","West Germany","","","","","3"
"Yes, every 2 weeks","2018","Urban Area","West Germany","","","","","3"
"Yes, every 2 weeks","2018","Urban Area","East Germany","","","","","3"
"Yes, every 2 weeks","2018","Rural Area","East Germany","","","","","3"
"Yes, every 3-4 weeks","2018","Urban Area","West Germany","","","","","4"
"Yes, every 3-4 weeks","2018","Urban Area","East Germany","","","","","4"
"Yes, every 3-4 weeks","2018","Rural Area","West Germany","","","","","4"
"Yes, every 3-4 weeks","2018","Rural Area","East Germany","","","","","4"
"Yes, every week","2018","Urban Area","West Germany","","","","","2"
"Yes, every week","2018","Urban Area","East Germany","","","","","2"
"Yes, every week","2018","Rural Area","West Germany","","","","","2"
"Yes, every week","2018","Rural Area","East Germany","","","","","2"
"No, never","2019","Urban Area","East Germany","403","0.433898940767772","0.402399770699526","0.465398110836018","1"
"No, never","2019","Rural Area","West Germany","1448","0.409748171612203","0.393527216782477","0.42596912644193","1"
"No, never","2019","Rural Area","East Germany","854","0.381500059896453","0.361109132401138","0.401890987391769","1"
"No, never","2019","Urban Area","West Germany","3915","0.442018714296418","0.431893161301017","0.452144267291818","1"
"Rarely","2019","Urban Area","West Germany","1925","0.214193056990356","0.205828378913685","0.222557735067027","5"
"Rarely","2019","Urban Area","East Germany","209","0.230063761104172","0.203314652079203","0.256812870129141","5"
"Rarely","2019","Rural Area","West Germany","655","0.208846761428382","0.195439397133108","0.222254125723655","5"
"Rarely","2019","Rural Area","East Germany","459","0.20308734338928","0.186199793863121","0.219974892915439","5"
"Yes, every 2 weeks","2019","Urban Area","West Germany","1261","0.137667119059372","0.130642202162219","0.144692035956524","3"
"Yes, every 2 weeks","2019","Urban Area","East Germany","149","0.162637654254209","0.139183212678785","0.186092095829632","3"
"Yes, every 2 weeks","2019","Rural Area","West Germany","532","0.145592264414213","0.133959016899755","0.15722551192867","3"
"Yes, every 2 weeks","2019","Rural Area","East Germany","385","0.183097330659326","0.166862565596309","0.199332095722344","3"
"Yes, every 3-4 weeks","2019","Urban Area","West Germany","793","0.0819803015656052","0.076386985490409","0.0875736176408015","4"
"Yes, every 3-4 weeks","2019","Urban Area","East Germany","75","0.0800028381109464","0.0627601976180321","0.0972454786038607","4"
"Yes, every 3-4 weeks","2019","Rural Area","West Germany","347","0.0992001292900604","0.0893402974312316","0.109059961148889","4"
"Yes, every 3-4 weeks","2019","Rural Area","East Germany","196","0.0930881746363869","0.0808912698445029","0.105285079428271","4"
"Yes, every week","2019","Urban Area","West Germany","1347","0.124140808088249","0.117417809253139","0.130863806923359","2"
"Yes, every week","2019","Urban Area","East Germany","115","0.0933968057629006","0.0749027370599107","0.111890874465891","2"
"Yes, every week","2019","Rural Area","West Germany","549","0.136612673255142","0.125284821369059","0.147940525141224","2"
"Yes, every week","2019","Rural Area","East Germany","286","0.139227091418553","0.124695070500162","0.153759112336945","2"
