"plb0218","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Rarely","2011","Not Employed","East Germany","14","","","","5"
"Yes, every 2 weeks","2011","Employed","East Germany","655","0.190356556093641","0.17727744849476","0.203435663692523","3"
"Yes, every 2 weeks","2011","Employed","West Germany","1908","0.148219292033509","0.142081326104341","0.154357257962676","3"
"Yes, every 2 weeks","2011","Not Employed","East Germany","13","","","","3"
"Yes, every 2 weeks","2011","Not Employed","West Germany","46","0.141911912202389","0.104431760780712","0.179392063624067","3"
"Yes, every 3-4 weeks","2011","Employed","East Germany","363","0.108228323982829","0.0978782228093665","0.118578425156292","4"
"Yes, every 3-4 weeks","2011","Employed","West Germany","1162","0.0880467238530403","0.0831517418348674","0.0929417058712131","4"
"Yes, every 3-4 weeks","2011","Not Employed","East Germany","5","","","","4"
"Yes, every 3-4 weeks","2011","Not Employed","West Germany","23","","","","4"
"Yes, every week","2011","Employed","East Germany","467","0.135162927886718","0.12377241615462","0.146553439618815","2"
"Yes, every week","2011","Employed","West Germany","1915","0.15196161019888","0.14576030785088","0.15816291254688","2"
"Yes, every week","2011","Not Employed","East Germany","10","","","","2"
"Yes, every week","2011","Not Employed","West Germany","48","0.119379494376008","0.0845549663786678","0.154204022373348","2"
"No, never","2012","Employed","East Germany","328","0.365667987611133","0.333756588183663","0.397579387038603","1"
"No, never","2012","Employed","West Germany","1606","0.397508091102337","0.382443587874406","0.412572594330268","1"
"No, never","2012","Not Employed","East Germany","29","","","","1"
"No, never","2012","Not Employed","West Germany","86","0.501102881135275","0.427023385895272","0.575182376375278","1"
"Rarely","2012","Employed","East Germany","190","0.218852386797842","0.191456443210566","0.246248330385118","5"
"Rarely","2012","Employed","West Germany","814","0.195384568868512","0.183179351230542","0.207589786506482","5"
"Rarely","2012","Not Employed","East Germany","3","","","","5"
"Rarely","2012","Not Employed","West Germany","24","","","","5"
"Yes, every 2 weeks","2012","Employed","East Germany","165","0.182350711729988","0.156765952907496","0.20793547055248","3"
"Yes, every 2 weeks","2012","Not Employed","East Germany","9","","","","3"
"Yes, every 2 weeks","2012","Employed","West Germany","661","0.173834557197449","0.162168938170058","0.185500176224839","3"
"Yes, every 2 weeks","2012","Not Employed","West Germany","25","","","","3"
"Yes, every 3-4 weeks","2012","Employed","East Germany","83","0.103475285750681","0.0832942470715335","0.123656324429828","4"
"Yes, every 3-4 weeks","2012","Employed","West Germany","371","0.0913470922103296","0.0824785427417226","0.100215641678937","4"
"Yes, every 3-4 weeks","2012","Not Employed","East Germany","2","","","","4"
"Yes, every 3-4 weeks","2012","Not Employed","West Germany","15","","","","4"
"Yes, every week","2012","Employed","East Germany","109","0.129653628110356","0.107395816448758","0.151911439771954","2"
"Yes, every week","2012","Employed","West Germany","602","0.141925690621373","0.131183343626339","0.152668037616406","2"
"Yes, every week","2012","Not Employed","East Germany","9","","","","2"
"Yes, every week","2012","Not Employed","West Germany","25","","","","2"
"No, never","2013","Employed","West Germany","4713","0.377884886435471","0.369193875923617","0.386575896947324","1"
"No, never","2013","Employed","East Germany","1109","0.32139436204897","0.305228674116778","0.337560049981161","1"
"No, never","2013","Not Employed","East Germany","48","0.579631279290445","0.48430325722197","0.67495930135892","1"
"No, never","2013","Not Employed","West Germany","132","0.365082892063444","0.308690134584175","0.421475649542714","1"
"Rarely","2013","Employed","East Germany","804","0.256698342672396","0.241578042431596","0.271818642913196","5"
"Rarely","2013","Employed","West Germany","2794","0.246996614808211","0.239266265783968","0.254726963832455","5"
"Rarely","2013","Not Employed","East Germany","16","","","","5"
"Rarely","2013","Not Employed","West Germany","53","0.276555944596853","0.224164177044348","0.328947712149358","5"
"Yes, every 2 weeks","2013","Employed","East Germany","565","0.196679450008362","0.182920342532298","0.210438557484426","3"
"Yes, every 2 weeks","2013","Employed","West Germany","1797","0.147461011190302","0.141105494457901","0.153816527922703","3"
"Yes, every 2 weeks","2013","Not Employed","East Germany","19","","","","3"
"Yes, every 2 weeks","2013","Not Employed","West Germany","36","0.119475832802442","0.0814849182248274","0.157466747380056","3"
"Yes, every 3-4 weeks","2013","Employed","East Germany","325","0.0987853730624425","0.0884571223873481","0.109113623737537","4"
"Yes, every 3-4 weeks","2013","Employed","West Germany","1007","0.0894926341083954","0.0843759275007469","0.0946093407160439","4"
"Yes, every 3-4 weeks","2013","Not Employed","East Germany","10","","","","4"
"Yes, every 3-4 weeks","2013","Not Employed","West Germany","18","","","","4"
"Yes, every week","2013","Employed","East Germany","403","0.12644247220783","0.114938215168321","0.137946729247339","2"
"Yes, every week","2013","Employed","West Germany","1645","0.138164853457621","0.131979478542102","0.144350228373139","2"
"Yes, every week","2013","Not Employed","East Germany","10","","","","2"
"Yes, every week","2013","Not Employed","West Germany","41","0.146401514679321","0.104994999793645","0.187808029564997","2"
"No, never","2014","Employed","West Germany","","","","","1"
"No, never","2014","Employed","East Germany","","","","","1"
"No, never","2014","Not Employed","East Germany","","","","","1"
"No, never","2014","Not Employed","West Germany","","","","","1"
"Rarely","2014","Employed","West Germany","","","","","5"
"Rarely","2014","Employed","East Germany","","","","","5"
"Rarely","2014","Not Employed","East Germany","","","","","5"
"Rarely","2014","Not Employed","West Germany","","","","","5"
"Yes, every 2 weeks","2014","Employed","West Germany","","","","","3"
"Yes, every 2 weeks","2014","Employed","East Germany","","","","","3"
"Yes, every 2 weeks","2014","Not Employed","West Germany","","","","","3"
"Yes, every 2 weeks","2014","Not Employed","East Germany","","","","","3"
"Yes, every 3-4 weeks","2014","Employed","West Germany","","","","","4"
"Yes, every 3-4 weeks","2014","Employed","East Germany","","","","","4"
"Yes, every 3-4 weeks","2014","Not Employed","East Germany","","","","","4"
"Yes, every 3-4 weeks","2014","Not Employed","West Germany","","","","","4"
"Yes, every week","2014","Employed","West Germany","","","","","2"
"Yes, every week","2014","Employed","East Germany","","","","","2"
"Yes, every week","2014","Not Employed","East Germany","","","","","2"
"Yes, every week","2014","Not Employed","West Germany","","","","","2"
"No, never","2015","Not Employed","East Germany","31","0.429308858842732","0.311662327973541","0.546955389711923","1"
"No, never","2015","Employed","West Germany","4827","0.38620095513715","0.377506057675574","0.394895852598726","1"
"No, never","2015","Employed","East Germany","1059","0.344677330851568","0.327403651792642","0.361951009910493","1"
"No, never","2015","Not Employed","West Germany","139","0.532443536604882","0.475794337902344","0.589092735307421","1"
"Rarely","2015","Employed","West Germany","2749","0.23556275452619","0.227984504663076","0.243141004389304","5"
"Rarely","2015","Employed","East Germany","714","0.249968220584054","0.234230815570681","0.265705625597426","5"
"Rarely","2015","Not Employed","East Germany","13","","","","5"
"Rarely","2015","Not Employed","West Germany","39","0.118577673480321","0.0818719790310277","0.155283367929615","5"
"Yes, every 2 weeks","2015","Employed","West Germany","1770","0.152062260942071","0.145649613067319","0.158474908816824","3"
"Yes, every 2 weeks","2015","Employed","East Germany","534","0.198263963096724","0.183773292507167","0.21275463368628","3"
"Yes, every 2 weeks","2015","Not Employed","East Germany","7","","","","3"
"Yes, every 2 weeks","2015","Not Employed","West Germany","54","0.146790090244054","0.106609503601907","0.186970676886202","3"
"Yes, every 3-4 weeks","2015","Employed","West Germany","1023","0.0856024763866897","0.080606097393616","0.0905988553797635","4"
"Yes, every 3-4 weeks","2015","Not Employed","East Germany","6","","","","4"
"Yes, every 3-4 weeks","2015","Employed","East Germany","261","0.094384957948126","0.08375885309554","0.105011062800712","4"
"Yes, every 3-4 weeks","2015","Not Employed","West Germany","19","","","","4"
"Yes, every week","2015","Employed","West Germany","1676","0.140571553007899","0.134364316793643","0.146778789222155","2"
"Yes, every week","2015","Employed","East Germany","340","0.112705527519529","0.101211892923861","0.124199162115198","2"
"Yes, every week","2015","Not Employed","East Germany","11","","","","2"
"Yes, every week","2015","Not Employed","West Germany","47","0.14736766820897","0.107121738589013","0.187613597828927","2"
"No, never","2016","Not Employed","East Germany","","","","","1"
"No, never","2016","Employed","West Germany","","","","","1"
"No, never","2016","Employed","East Germany","","","","","1"
"No, never","2016","Not Employed","West Germany","","","","","1"
"Rarely","2016","Not Employed","East Germany","","","","","5"
"Rarely","2016","Employed","West Germany","","","","","5"
"Rarely","2016","Employed","East Germany","","","","","5"
"Rarely","2016","Not Employed","West Germany","","","","","5"
"Yes, every 2 weeks","2016","Not Employed","East Germany","","","","","3"
"Yes, every 2 weeks","2016","Employed","West Germany","","","","","3"
"Yes, every 2 weeks","2016","Employed","East Germany","","","","","3"
"Yes, every 2 weeks","2016","Not Employed","West Germany","","","","","3"
"Yes, every 3-4 weeks","2016","Not Employed","East Germany","","","","","4"
"Yes, every 3-4 weeks","2016","Employed","West Germany","","","","","4"
"Yes, every 3-4 weeks","2016","Employed","East Germany","","","","","4"
"Yes, every 3-4 weeks","2016","Not Employed","West Germany","","","","","4"
"Yes, every week","2016","Not Employed","East Germany","","","","","2"
"Yes, every week","2016","Employed","West Germany","","","","","2"
"Yes, every week","2016","Employed","East Germany","","","","","2"
"Yes, every week","2016","Not Employed","West Germany","","","","","2"
"No, never","2017","Not Employed","West Germany","202","0.619664915059609","0.567986416126267","0.671343413992951","1"
"No, never","2017","Not Employed","East Germany","31","0.598720782756406","0.471474189523918","0.725967375988894","1"
"No, never","2017","Employed","West Germany","5593","0.416701428174083","0.408276608463737","0.425126247884428","1"
"No, never","2017","Employed","East Germany","1333","0.408349960699143","0.391484886274788","0.425215035123498","1"
"Rarely","2017","Not Employed","East Germany","6","","","","5"
"Rarely","2017","Employed","West Germany","2598","0.212227303089698","0.205240093755029","0.219214512424367","5"
"Rarely","2017","Employed","East Germany","632","0.203856603384387","0.190033753402293","0.217679453366481","5"
"Rarely","2017","Not Employed","West Germany","28","","","","5"
"Yes, every 2 weeks","2017","Not Employed","East Germany","9","","","","3"
"Yes, every 2 weeks","2017","Employed","West Germany","1918","0.146164002171368","0.140127156017137","0.152200848325599","3"
"Yes, every 2 weeks","2017","Employed","East Germany","552","0.163337331094894","0.150653294760219","0.176021367429569","3"
"Yes, every 2 weeks","2017","Not Employed","West Germany","34","0.0875015122069492","0.0574219093512341","0.117581115062664","3"
"Yes, every 3-4 weeks","2017","Not Employed","East Germany","4","","","","4"
"Yes, every 3-4 weeks","2017","Not Employed","West Germany","32","0.0567820702696664","0.0321466555797474","0.0814174849595854","4"
"Yes, every 3-4 weeks","2017","Employed","West Germany","1226","0.0898060239319551","0.0849203736384369","0.0946916742254733","4"
"Yes, every 3-4 weeks","2017","Employed","East Germany","353","0.0963408382775936","0.086216955857408","0.106464720697779","4"
"Yes, every week","2017","Not Employed","East Germany","7","","","","2"
"Yes, every week","2017","Employed","West Germany","1820","0.135101242632897","0.129259869172355","0.140942616093438","2"
"Yes, every week","2017","Employed","East Germany","393","0.128115266543983","0.116647745836848","0.139582787251117","2"
"Yes, every week","2017","Not Employed","West Germany","43","0.12168506061239","0.0868840377983224","0.156486083426457","2"
"No, never","2018","Not Employed","West Germany","","","","","1"
"No, never","2018","Not Employed","East Germany","","","","","1"
"No, never","2018","Employed","West Germany","","","","","1"
"No, never","2018","Employed","East Germany","","","","","1"
"Rarely","2018","Not Employed","West Germany","","","","","5"
"Rarely","2018","Not Employed","East Germany","","","","","5"
"Rarely","2018","Employed","West Germany","","","","","5"
"Rarely","2018","Employed","East Germany","","","","","5"
"Yes, every 2 weeks","2018","Employed","West Germany","","","","","3"
"Yes, every 2 weeks","2018","Not Employed","West Germany","","","","","3"
"Yes, every 2 weeks","2018","Not Employed","East Germany","","","","","3"
"Yes, every 2 weeks","2018","Employed","East Germany","","","","","3"
"Yes, every 3-4 weeks","2018","Not Employed","West Germany","","","","","4"
"Yes, every 3-4 weeks","2018","Not Employed","East Germany","","","","","4"
"Yes, every 3-4 weeks","2018","Employed","West Germany","","","","","4"
"Yes, every 3-4 weeks","2018","Employed","East Germany","","","","","4"
"Yes, every week","2018","Not Employed","West Germany","","","","","2"
"Yes, every week","2018","Not Employed","East Germany","","","","","2"
"Yes, every week","2018","Employed","West Germany","","","","","2"
"Yes, every week","2018","Employed","East Germany","","","","","2"
"No, never","2019","Not Employed","East Germany","63","0.412991829703652","0.334717546353533","0.491266113053771","1"
"No, never","2019","Employed","West Germany","5361","0.433254972969588","0.424695303874004","0.441814642065172","1"
"No, never","2019","Employed","East Germany","1313","0.400938779656916","0.384164185634489","0.417713373679342","1"
"No, never","2019","Not Employed","West Germany","222","0.378415502096643","0.337919995285041","0.418911008908244","1"
"Rarely","2019","Not Employed","West Germany","97","0.206417465384897","0.172623312640346","0.240211618129447","5"
"Rarely","2019","Not Employed","East Germany","24","","","","5"
"Rarely","2019","Employed","West Germany","2643","0.214076256099027","0.206990832916962","0.221161679281091","5"
"Rarely","2019","Employed","East Germany","708","0.211502027576221","0.197524352499597","0.225479702652844","5"
"Yes, every 2 weeks","2019","Not Employed","West Germany","73","0.152476019374662","0.122460278874843","0.18249175987448","3"
"Yes, every 2 weeks","2019","Not Employed","East Germany","20","","","","3"
"Yes, every 2 weeks","2019","Employed","West Germany","1828","0.140596825027237","0.134592315029461","0.146601335025012","3"
"Yes, every 2 weeks","2019","Employed","East Germany","563","0.174083855362563","0.161105352160128","0.187062358564998","3"
"Yes, every 3-4 weeks","2019","Not Employed","West Germany","65","0.123786204356877","0.096287422354224","0.15128498635953","4"
"Yes, every 3-4 weeks","2019","Not Employed","East Germany","16","","","","4"
"Yes, every 3-4 weeks","2019","Employed","West Germany","1142","0.0850072368400533","0.0801896659048717","0.089824807775235","4"
"Yes, every 3-4 weeks","2019","Employed","East Germany","288","0.09191613393512","0.0820275014344852","0.101804766435755","4"
"Yes, every week","2019","Not Employed","West Germany","94","0.138904808786922","0.110027513483813","0.167782104090031","2"
"Yes, every week","2019","Not Employed","East Germany","29","","","","2"
"Yes, every week","2019","Employed","West Germany","1900","0.127064709064095","0.121311702923791","0.132817715204399","2"
"Yes, every week","2019","Employed","East Germany","407","0.12155920346918","0.110374420689739","0.132743986248621","2"
