"plb0218","year","e11102","sex","n","percent","lower_confidence","upper_confidence"
"Rarely","2007","Employed","Male","1767","0.282231295591222","0.27082946513552","0.293633126046924"
"Rarely","2007","Employed","Female","1044","0.191962834134216","0.181365693127003","0.202559975141429"
"No, never","2008","Not Employed","Male","","","",""
"No, never","2008","Not Employed","Female","","","",""
"No, never","2008","Employed","Male","","","",""
"No, never","2008","Employed","Female","","","",""
"Yes, every week","2008","Not Employed","Male","","","",""
"Yes, every week","2008","Not Employed","Female","","","",""
"Yes, every week","2008","Employed","Male","","","",""
"Yes, every week","2008","Employed","Female","","","",""
"Yes, every 2 weeks","2008","Not Employed","Male","","","",""
"Yes, every 2 weeks","2008","Not Employed","Female","","","",""
"Yes, every 2 weeks","2008","Employed","Male","","","",""
"Yes, every 2 weeks","2008","Employed","Female","","","",""
"Yes, every 3-4 weeks","2008","Not Employed","Male","","","",""
"Yes, every 3-4 weeks","2008","Not Employed","Female","","","",""
"Yes, every 3-4 weeks","2008","Employed","Male","","","",""
"Yes, every 3-4 weeks","2008","Employed","Female","","","",""
"Rarely","2008","Not Employed","Male","","","",""
"Rarely","2008","Not Employed","Female","","","",""
"Rarely","2008","Employed","Male","","","",""
"Rarely","2008","Employed","Female","","","",""
"No, never","2009","Not Employed","Male","16","","",""
"No, never","2009","Not Employed","Female","48","0.529468756820417","0.427476176472794","0.631461337168041"
"No, never","2009","Employed","Male","1555","0.295685975139817","0.283299118573244","0.30807283170639"
"No, never","2009","Employed","Female","2062","0.424648122698518","0.410750004113094","0.438546241283942"
"Yes, every week","2009","Not Employed","Male","10","","",""
"Yes, every week","2009","Not Employed","Female","16","","",""
"Yes, every week","2009","Employed","Male","833","0.159140662760339","0.149211449596862","0.169069875923816"
"Yes, every week","2009","Employed","Female","708","0.152415991104292","0.142309944749636","0.162522037458948"
"Yes, every 2 weeks","2009","Not Employed","Male","7","","",""
"Yes, every 2 weeks","2009","Not Employed","Female","16","","",""
"Yes, every 2 weeks","2009","Employed","Male","674","0.137966650746892","0.128605878641186","0.147327422852598"
"Yes, every 2 weeks","2009","Employed","Female","764","0.163821103474731","0.153414496179766","0.174227710769695"
"Yes, every 3-4 weeks","2009","Not Employed","Male","6","","",""
"Yes, every 3-4 weeks","2009","Not Employed","Female","6","","",""
"Yes, every 3-4 weeks","2009","Employed","Male","543","0.1021939659845","0.0939721743839566","0.110415757585044"
"Yes, every 3-4 weeks","2009","Employed","Female","359","0.067922113459891","0.060847440978554","0.074996785941228"
"Rarely","2009","Not Employed","Male","7","","",""
"Rarely","2009","Not Employed","Female","6","","",""
"Rarely","2009","Employed","Male","1609","0.305012745368452","0.292515623892387","0.317509866844517"
"Rarely","2009","Employed","Female","966","0.191192669262568","0.180135784095867","0.202249554429269"
"No, never","2010","Not Employed","Male","20","","",""
"No, never","2010","Not Employed","Female","81","0.447372072057631","0.373913479002153","0.520830665113109"
"No, never","2010","Employed","Male","644","0.284449442849856","0.266519082755824","0.302379802943889"
"No, never","2010","Employed","Female","789","0.417785468039719","0.395443915252938","0.4401270208265"
"Yes, every week","2010","Not Employed","Male","4","","",""
"Yes, every week","2010","Not Employed","Female","19","","",""
"Yes, every week","2010","Employed","Male","335","0.13005932849594","0.116690853221336","0.143427803770545"
"Yes, every week","2010","Employed","Female","275","0.143208043328892","0.127340248927381","0.159075837730404"
"Yes, every 2 weeks","2010","Not Employed","Male","7","","",""
"Yes, every 2 weeks","2010","Not Employed","Female","27","","",""
"Yes, every 2 weeks","2010","Employed","Male","387","0.155939189289837","0.141520333107426","0.170358045472247"
"Yes, every 2 weeks","2010","Employed","Female","338","0.186527622028426","0.16888195211072","0.204173291946132"
"Yes, every 3-4 weeks","2010","Not Employed","Male","5","","",""
"Yes, every 3-4 weeks","2010","Not Employed","Female","13","","",""
"Yes, every 3-4 weeks","2010","Employed","Male","277","0.116563032419059","0.103809382004445","0.129316682833674"
"Yes, every 3-4 weeks","2010","Employed","Female","138","0.0711680909855529","0.0595212970835729","0.082814884887533"
"Rarely","2010","Not Employed","Male","6","","",""
"Rarely","2010","Not Employed","Female","36","0.176057411938866","0.119788646134868","0.232326177742865"
"Rarely","2010","Employed","Male","789","0.312989006945307","0.294559543515881","0.331418470374733"
"Rarely","2010","Employed","Female","332","0.181310775617409","0.163857919280591","0.198763631954228"
"No, never","2011","Not Employed","Male","46","0.619435489824544","0.515606020878638","0.72326495877045"
"No, never","2011","Not Employed","Female","188","0.53129318576496","0.478328224601735","0.584258146928185"
"No, never","2011","Employed","Male","2551","0.307247321366902","0.297331010711479","0.317163632022324"
"No, never","2011","Employed","Female","3534","0.43926947492005","0.428406954741874","0.450131995098227"
"Yes, every week","2011","Not Employed","Male","12","","",""
"Yes, every week","2011","Not Employed","Female","46","0.122781038265273","0.0879480641017191","0.157614012428827"
"Yes, every week","2011","Employed","Male","1258","0.149612062765083","0.141945356663324","0.157278768866842"
"Yes, every week","2011","Employed","Female","1124","0.14833188335497","0.140552584887591","0.156111181822348"
"Yes, every 2 weeks","2011","Not Employed","Male","8","","",""
"Yes, every 2 weeks","2011","Not Employed","Female","51","0.158564431676738","0.119795465313896","0.197333398039581"
"Yes, every 2 weeks","2011","Employed","Male","1195","0.144831321548829","0.137266928202","0.152395714895658"
"Yes, every 2 weeks","2011","Employed","Female","1368","0.168223801811725","0.160036610280059","0.176410993343392"
"Yes, every 3-4 weeks","2011","Not Employed","Male","9","","",""
"Yes, every 3-4 weeks","2011","Not Employed","Female","19","","",""
"Yes, every 3-4 weeks","2011","Employed","Male","884","0.103858530707447","0.0973012112973973","0.110415850117496"
"Yes, every 3-4 weeks","2011","Employed","Female","641","0.0771535141023105","0.0713132757559836","0.0829937524486375"
"Rarely","2011","Not Employed","Male","9","","",""
"Rarely","2011","Not Employed","Female","37","0.136537189751021","0.10009384747477","0.172980532027272"
"Rarely","2011","Employed","Male","2427","0.294450763611739","0.284653902080222","0.304247625143256"
"Rarely","2011","Employed","Female","1352","0.167021325810944","0.158857553398328","0.175185098223561"
"No, never","2012","Not Employed","Male","20","","",""
"No, never","2012","Not Employed","Female","95","0.578792477261007","0.505428483490244","0.652156471031769"
"No, never","2012","Employed","Male","793","0.336102725487819","0.317243405481477","0.354962045494161"
"No, never","2012","Employed","Female","1141","0.453570404232115","0.434129186307561","0.47301162215667"
"Yes, every week","2012","Not Employed","Male","10","","",""
"Yes, every week","2012","Not Employed","Female","24","","",""
"Yes, every week","2012","Employed","Male","341","0.137508158543265","0.123758835983201","0.15125748110333"
"Yes, every week","2012","Employed","Female","370","0.142762833203309","0.129101531504377","0.156424134902242"
"Yes, every 2 weeks","2012","Not Employed","Male","9","","",""
"Yes, every 2 weeks","2012","Not Employed","Female","25","","",""
"Yes, every 2 weeks","2012","Employed","Male","401","0.175958199906293","0.160755562198697","0.191160837613889"
"Yes, every 2 weeks","2012","Employed","Female","425","0.174269936690077","0.159456211207453","0.189083662172701"
"Yes, every 3-4 weeks","2012","Not Employed","Male","5","","",""
"Yes, every 3-4 weeks","2012","Not Employed","Female","12","","",""
"Yes, every 3-4 weeks","2012","Employed","Male","260","0.106647610912906","0.0943243246559471","0.118970897169865"
"Yes, every 3-4 weeks","2012","Employed","Female","194","0.0787209750597218","0.0682043877576643","0.0892375623617793"
"Rarely","2012","Not Employed","Male","9","","",""
"Rarely","2012","Not Employed","Female","18","","",""
"Rarely","2012","Employed","Male","615","0.243783305149717","0.22664117924295","0.260925431056483"
"Rarely","2012","Employed","Female","389","0.150675850814777","0.1367059742152","0.164645727414354"
"No, never","2013","Not Employed","Male","56","0.363549375354974","0.282105252236466","0.444993498473482"
"No, never","2013","Not Employed","Female","124","0.469598598107067","0.40760966739566","0.531587528818473"
"No, never","2013","Employed","Male","2366","0.315118144602694","0.304541346360815","0.325694942844574"
"No, never","2013","Employed","Female","3456","0.425873824301355","0.414865698849184","0.436881949753526"
"Yes, every week","2013","Not Employed","Male","16","","",""
"Yes, every week","2013","Not Employed","Female","35","0.160739596350036","0.115119287519082","0.20635990518099"
"Yes, every week","2013","Employed","Male","1039","0.133825023144714","0.126073605012316","0.141576441277112"
"Yes, every week","2013","Employed","Female","1009","0.13841735293624","0.13072936020467","0.14610534566781"
"Yes, every 2 weeks","2013","Not Employed","Male","15","","",""
"Yes, every 2 weeks","2013","Not Employed","Female","40","0.175082265100664","0.127878698300819","0.222285831900509"
"Yes, every 2 weeks","2013","Employed","Male","1045","0.143463569944954","0.135482641432766","0.151444498457142"
"Yes, every 2 weeks","2013","Employed","Female","1317","0.17123131349333","0.162844876597063","0.179617750389596"
"Yes, every 3-4 weeks","2013","Not Employed","Male","9","","",""
"Yes, every 3-4 weeks","2013","Not Employed","Female","19","","",""
"Yes, every 3-4 weeks","2013","Employed","Male","752","0.102473580404832","0.0955689686965379","0.109378192113125"
"Yes, every 3-4 weeks","2013","Employed","Female","580","0.078630504799444","0.0726383686961284","0.0846226409027596"
"Rarely","2013","Not Employed","Male","38","0.359368237518587","0.278128264543996","0.440608210493178"
"Rarely","2013","Not Employed","Female","31","0.098227908743413","0.0612609041333712","0.135194913353455"
"Rarely","2013","Employed","Male","2209","0.305119681902807","0.294636338764149","0.315603025041464"
"Rarely","2013","Employed","Female","1389","0.185847004469631","0.17718736088019","0.194506648059072"
"No, never","2014","Not Employed","Male","","","",""
"No, never","2014","Not Employed","Female","","","",""
"No, never","2014","Employed","Male","","","",""
"No, never","2014","Employed","Female","","","",""
"Yes, every week","2014","Not Employed","Male","","","",""
"Yes, every week","2014","Not Employed","Female","","","",""
"Yes, every week","2014","Employed","Male","","","",""
"Yes, every week","2014","Employed","Female","","","",""
"Yes, every 2 weeks","2014","Not Employed","Male","","","",""
"Yes, every 2 weeks","2014","Not Employed","Female","","","",""
"Yes, every 2 weeks","2014","Employed","Male","","","",""
"Yes, every 2 weeks","2014","Employed","Female","","","",""
"Yes, every 3-4 weeks","2014","Not Employed","Male","","","",""
"Yes, every 3-4 weeks","2014","Not Employed","Female","","","",""
"Yes, every 3-4 weeks","2014","Employed","Male","","","",""
"Yes, every 3-4 weeks","2014","Employed","Female","","","",""
"Rarely","2014","Not Employed","Male","","","",""
"Rarely","2014","Not Employed","Female","","","",""
"Rarely","2014","Employed","Male","","","",""
"Rarely","2014","Employed","Female","","","",""
"No, never","2015","Not Employed","Male","65","0.522207385522257","0.437947196745296","0.606467574299218"
"No, never","2015","Not Employed","Female","105","0.505254679088254","0.44078015859489","0.569729199581618"
"No, never","2015","Employed","Male","2471","0.33420160436152","0.323421998841891","0.344981209881148"
"No, never","2015","Employed","Female","3415","0.429334889653743","0.418204361314616","0.44046541799287"
"Yes, every week","2015","Not Employed","Male","23","","",""
"Yes, every week","2015","Not Employed","Female","35","0.154022128231769","0.107472827347477","0.20057142911606"
"Yes, every week","2015","Employed","Male","1017","0.135708012096096","0.127881644927317","0.143534379264875"
"Yes, every week","2015","Employed","Female","999","0.135782349054745","0.128079342759464","0.143485355350025"
"Yes, every 2 weeks","2015","Not Employed","Male","19","","",""
"Yes, every 2 weeks","2015","Not Employed","Female","42","0.132863785361061","0.089092522782229","0.176635047939894"
"Yes, every 2 weeks","2015","Employed","Male","1034","0.144105419351584","0.13607981906877","0.152131019634398"
"Yes, every 2 weeks","2015","Employed","Female","1270","0.177998760721335","0.169397309054807","0.186600212387862"
"Yes, every 3-4 weeks","2015","Not Employed","Male","8","","",""
"Yes, every 3-4 weeks","2015","Not Employed","Female","17","","",""
"Yes, every 3-4 weeks","2015","Employed","Male","730","0.0985338894619246","0.0917231424874964","0.105344636436353"
"Yes, every 3-4 weeks","2015","Employed","Female","554","0.0743077628673095","0.0684101340999448","0.0802053916346742"
"Rarely","2015","Not Employed","Male","20","","",""
"Rarely","2015","Not Employed","Female","32","0.151762299670002","0.105494074977195","0.19803052436281"
"Rarely","2015","Employed","Male","2104","0.287451074728876","0.277108788718266","0.297793360739486"
"Rarely","2015","Employed","Female","1359","0.182576237702868","0.173889178450621","0.191263296955115"
"No, never","2016","Not Employed","Male","","","",""
"No, never","2016","Not Employed","Female","","","",""
"No, never","2016","Employed","Male","","","",""
"No, never","2016","Employed","Female","","","",""
"Yes, every week","2016","Not Employed","Male","","","",""
"Yes, every week","2016","Not Employed","Female","","","",""
"Yes, every week","2016","Employed","Male","","","",""
"Yes, every week","2016","Employed","Female","","","",""
"Yes, every 2 weeks","2016","Not Employed","Male","","","",""
"Yes, every 2 weeks","2016","Not Employed","Female","","","",""
"Yes, every 2 weeks","2016","Employed","Male","","","",""
"Yes, every 2 weeks","2016","Employed","Female","","","",""
"Yes, every 3-4 weeks","2016","Not Employed","Male","","","",""
"Yes, every 3-4 weeks","2016","Not Employed","Female","","","",""
"Yes, every 3-4 weeks","2016","Employed","Male","","","",""
"Yes, every 3-4 weeks","2016","Employed","Female","","","",""
"Rarely","2016","Not Employed","Male","","","",""
"Rarely","2016","Not Employed","Female","","","",""
"Rarely","2016","Employed","Male","","","",""
"Rarely","2016","Employed","Female","","","",""
"No, never","2017","Not Employed","Male","70","0.573679472285994","0.487669460347186","0.659689484224801"
"No, never","2017","Not Employed","Female","163","0.64561368202951","0.588453080953906","0.702774283105114"
"No, never","2017","Employed","Male","2953","0.367158812124466","0.35663152119943","0.377686103049501"
"No, never","2017","Employed","Female","3973","0.47017902224181","0.459482631040386","0.480875413443234"
"Yes, every week","2017","Not Employed","Male","20","","",""
"Yes, every week","2017","Not Employed","Female","30","0.075353479803128","0.0438098638025938","0.106897095803662"
"Yes, every week","2017","Employed","Male","1107","0.134925975159371","0.127464637450809","0.142387312867934"
"Yes, every week","2017","Employed","Female","1106","0.132773612360702","0.125501456027938","0.140045768693466"
"Yes, every 2 weeks","2017","Not Employed","Male","15","","",""
"Yes, every 2 weeks","2017","Not Employed","Female","28","","",""
"Yes, every 2 weeks","2017","Employed","Male","1118","0.135087097765281","0.127622001682175","0.142552193848387"
"Yes, every 2 weeks","2017","Employed","Female","1352","0.165009533561267","0.157054603683139","0.172964463439394"
"Yes, every 3-4 weeks","2017","Not Employed","Male","8","","",""
"Yes, every 3-4 weeks","2017","Not Employed","Female","28","","",""
"Yes, every 3-4 weeks","2017","Employed","Male","875","0.104183654909749","0.0975117236361126","0.110855586183386"
"Yes, every 3-4 weeks","2017","Employed","Female","704","0.0757738393557018","0.0701024449035057","0.0814452338078979"
"Rarely","2017","Not Employed","Male","14","","",""
"Rarely","2017","Not Employed","Female","20","","",""
"Rarely","2017","Employed","Male","2001","0.258644460041133","0.249081174188084","0.268207745894181"
"Rarely","2017","Employed","Female","1229","0.15626399248052","0.148482304217867","0.164045680743173"
"No, never","2018","Not Employed","Male","","","",""
"No, never","2018","Not Employed","Female","","","",""
"No, never","2018","Employed","Male","","","",""
"No, never","2018","Employed","Female","","","",""
"Yes, every week","2018","Not Employed","Male","","","",""
"Yes, every week","2018","Not Employed","Female","","","",""
"Yes, every week","2018","Employed","Male","","","",""
"Yes, every week","2018","Employed","Female","","","",""
"Yes, every 2 weeks","2018","Not Employed","Male","","","",""
"Yes, every 2 weeks","2018","Not Employed","Female","","","",""
"Yes, every 2 weeks","2018","Employed","Male","","","",""
"Yes, every 2 weeks","2018","Employed","Female","","","",""
"Yes, every 3-4 weeks","2018","Not Employed","Male","","","",""
"Yes, every 3-4 weeks","2018","Not Employed","Female","","","",""
"Yes, every 3-4 weeks","2018","Employed","Male","","","",""
"Yes, every 3-4 weeks","2018","Employed","Female","","","",""
"Rarely","2018","Not Employed","Male","","","",""
"Rarely","2018","Not Employed","Female","","","",""
"Rarely","2018","Employed","Male","","","",""
"Rarely","2018","Employed","Female","","","",""
"No, never","2019","Not Employed","Male","107","0.35040208483639","0.296233734337081","0.4045704353357"
"No, never","2019","Not Employed","Female","178","0.415780598527949","0.367780660442356","0.463780536613542"
"No, never","2019","Employed","Male","2849","0.378544107366289","0.368042953733591","0.389045260998988"
"No, never","2019","Employed","Female","3847","0.483774897579706","0.472829607320079","0.494720187839333"
"Yes, every week","2019","Not Employed","Male","50","0.135892276814411","0.0969858550965191","0.174798698532302"
"Yes, every week","2019","Not Employed","Female","73","0.163952590341556","0.127895126760277","0.200010053922835"
"Yes, every week","2019","Employed","Male","1322","0.129991566944999","0.122710535064558","0.137272598825439"
"Yes, every week","2019","Employed","Female","988","0.121624904622206","0.114466152547464","0.128783656696948"
"Yes, every 2 weeks","2019","Not Employed","Male","41","0.124627600852788","0.0871265445462366","0.16212865715934"
"Yes, every 2 weeks","2019","Not Employed","Female","53","0.159757223574001","0.124074891934562","0.195439555213439"
"Yes, every 2 weeks","2019","Employed","Male","1145","0.134034591146086","0.126658397133756","0.141410785158416"
"Yes, every 2 weeks","2019","Employed","Female","1251","0.159287511623916","0.151272564306983","0.167302458940849"
"Yes, every 3-4 weeks","2019","Not Employed","Male","38","0.136456782294006","0.0974823712731749","0.175431193314836"
"Yes, every 3-4 weeks","2019","Not Employed","Female","42","0.0920277716243037","0.0638753138950276","0.12018022935358"
"Yes, every 3-4 weeks","2019","Employed","Male","811","0.0969473443791843","0.0905411795654972","0.103353509192871"
"Yes, every 3-4 weeks","2019","Employed","Female","628","0.0742351258207957","0.0684934174206168","0.0799768342209745"
"Rarely","2019","Not Employed","Male","62","0.252621255202405","0.203287375034648","0.301955135370163"
"Rarely","2019","Not Employed","Female","59","0.168481815932191","0.132028841386916","0.204934790477466"
"Rarely","2019","Employed","Male","2068","0.260482390163442","0.250979908149095","0.269984872177788"
"Rarely","2019","Employed","Female","1294","0.161077560353376","0.153026288592338","0.169128832114414"
