"plb0218","year","sex","n","percent","lower_confidence","upper_confidence"
"Yes, every 3-4 weeks","2012","Male","265","0.106329813739487","0.0941558488048869","0.118503778674087"
"Yes, every 3-4 weeks","2012","Female","206","0.0776389349284782","0.0675319834701884","0.0877458863867679"
"Rarely","2012","Male","624","0.24166591230291","0.224759405937786","0.258572418668035"
"Rarely","2012","Female","407","0.145845816632673","0.132515359620482","0.159176273644864"
"No, never","2013","Male","2422","0.315966784014146","0.305476728670498","0.326456839357794"
"No, never","2013","Female","3580","0.426743892354017","0.415905594053465","0.437582190654569"
"Yes, every week","2013","Male","1055","0.133331101808281","0.125660829036163","0.141001374580399"
"Yes, every week","2013","Female","1044","0.138861537529267","0.131283956728932","0.146439118329603"
"Yes, every 2 weeks","2013","Male","1060","0.142034374858407","0.134157568935235","0.149911180781579"
"Yes, every 2 weeks","2013","Female","1357","0.171307942591076","0.163051586123318","0.179564299058834"
"Yes, every 3-4 weeks","2013","Male","761","0.102597483549149","0.0957507966980306","0.109444170400268"
"Yes, every 3-4 weeks","2013","Female","599","0.0789831329557572","0.073072907234106","0.0848933586774085"
"Rarely","2013","Male","2247","0.306070255770016","0.295671370569021","0.316469140971011"
"Rarely","2013","Female","1420","0.184103494569882","0.175610679839557","0.192596309300208"
"No, never","2014","Male","","","",""
"No, never","2014","Female","","","",""
"Yes, every week","2014","Male","","","",""
"Yes, every week","2014","Female","","","",""
"Yes, every 2 weeks","2014","Male","","","",""
"Yes, every 2 weeks","2014","Female","","","",""
"Yes, every 3-4 weeks","2014","Male","","","",""
"Yes, every 3-4 weeks","2014","Female","","","",""
"Rarely","2014","Male","","","",""
"Rarely","2014","Female","","","",""
"No, never","2015","Male","2536","0.337485550907047","0.32677767174477","0.348193430069323"
"No, never","2015","Female","3520","0.431145594899729","0.42017487260202","0.442116317197438"
"Yes, every week","2015","Male","1040","0.136174304895266","0.128407563674618","0.143941046115915"
"Yes, every week","2015","Female","1034","0.136217372177009","0.128618639537898","0.14381610481612"
"Yes, every 2 weeks","2015","Male","1053","0.143946477557184","0.135997172330363","0.151895782784005"
"Yes, every 2 weeks","2015","Female","1312","0.176922280698523","0.16846882327032","0.185375738126727"
"Yes, every 3-4 weeks","2015","Male","738","0.0978275411323427","0.0911000436503439","0.104555038614342"
"Yes, every 3-4 weeks","2015","Female","571","0.0738734343584661","0.0680791207320077","0.0796677479849245"
"Rarely","2015","Male","2124","0.284566125508161","0.274348392681398","0.294783858334924"
"Rarely","2015","Female","1391","0.181841317866272","0.173296796515278","0.190385839217266"
"No, never","2016","Male","","","",""
"No, never","2016","Female","","","",""
"Yes, every week","2016","Male","","","",""
"Yes, every week","2016","Female","","","",""
"Yes, every 2 weeks","2016","Male","","","",""
"Yes, every 2 weeks","2016","Female","","","",""
"Yes, every 3-4 weeks","2016","Male","","","",""
"Yes, every 3-4 weeks","2016","Female","","","",""
"Rarely","2016","Male","","","",""
"Rarely","2016","Female","","","",""
"No, never","2017","Male","3023","0.370799208079619","0.360332528625546","0.381265887533691"
"No, never","2017","Female","4136","0.475355176016948","0.464820794801348","0.485889557232548"
"Yes, every week","2017","Male","1127","0.135449807453365","0.128034499416576","0.142865115490154"
"Yes, every week","2017","Female","1136","0.131079446360286","0.123960355187775","0.138198537532798"
"Yes, every 2 weeks","2017","Male","1133","0.134760411650838","0.127361050071972","0.142159773229703"
"Yes, every 2 weeks","2017","Female","1380","0.162984824421981","0.155193568480488","0.170776080363474"
"Yes, every 3-4 weeks","2017","Male","883","0.102917433578912","0.0963331947282776","0.109501672429547"
"Yes, every 3-4 weeks","2017","Female","732","0.0754514459121897","0.0698800263360686","0.0810228654883108"
"Rarely","2017","Male","2015","0.256073139237266","0.246615297827133","0.265530980647399"
"Rarely","2017","Female","1249","0.155129107288595","0.147492349064243","0.162765865512947"
"No, never","2018","Male","","","",""
"No, never","2018","Female","","","",""
"Yes, every week","2018","Male","","","",""
"Yes, every week","2018","Female","","","",""
"Yes, every 2 weeks","2018","Male","","","",""
"Yes, every 2 weeks","2018","Female","","","",""
"Yes, every 3-4 weeks","2018","Male","","","",""
"Yes, every 3-4 weeks","2018","Female","","","",""
"Rarely","2018","Male","","","",""
"Rarely","2018","Female","","","",""
"No, never","2019","Male","2956","0.377586103970644","0.367275949537805","0.387896258403483"
"No, never","2019","Female","4025","0.480808761192695","0.470132418375218","0.491485104010171"
"Yes, every week","2019","Male","1372","0.130192437372332","0.123035586012466","0.137349288732199"
"Yes, every week","2019","Female","1061","0.123471378378698","0.116441645127179","0.130501111630218"
"Yes, every 2 weeks","2019","Male","1186","0.133714360834487","0.126476051937615","0.140952669731359"
"Yes, every 2 weeks","2019","Female","1304","0.159308002013934","0.151487945370179","0.167128058657689"
"Yes, every 3-4 weeks","2019","Male","849","0.0982923143664063","0.0919607621165934","0.104623866616219"
"Yes, every 3-4 weeks","2019","Female","670","0.0750112999247278","0.0693826504194962","0.0806399494299595"
"Rarely","2019","Male","2130","0.260214783456131","0.250883608415402","0.26954595849686"
"Rarely","2019","Female","1353","0.161400558489945","0.153539112273652","0.169262004706238"
