"plb0218","year","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Yes, every 2 weeks","2012","Rural Area","340","0.181282982776754","0.164166201509599","0.198399764043908","3"
"Yes, every 3-4 weeks","2012","Rural Area","178","0.0887337337381618","0.0760996515450741","0.10136781593125","4"
"Yes, every 3-4 weeks","2012","Urban Area","293","0.0940281535520483","0.0839313971200069","0.10412490998409","4"
"Yes, every week","2012","Rural Area","294","0.15233069082252","0.136365150957565","0.168296230687476","2"
"Yes, every week","2012","Urban Area","451","0.134806204337887","0.122991925592044","0.146620483083731","2"
"No, never","2013","Rural Area","2003","0.356134916890249","0.343512878090277","0.36875695569022","1"
"No, never","2013","Urban Area","3999","0.374354949044104","0.364877166735916","0.383832731352291","1"
"Rarely","2013","Rural Area","1294","0.237107869892712","0.225897257219936","0.248318482565488","5"
"Rarely","2013","Urban Area","2373","0.253951482242662","0.245427160271708","0.262475804213616","5"
"Yes, every 2 weeks","2013","Rural Area","958","0.185486762045595","0.175241328762098","0.195732195329093","3"
"Yes, every 2 weeks","2013","Urban Area","1459","0.141312084555624","0.134490138827905","0.148134030283344","3"
"Yes, every 3-4 weeks","2013","Rural Area","506","0.083994135675759","0.0766827716794451","0.091305499672073","4"
"Yes, every 3-4 weeks","2013","Urban Area","854","0.0950895627548809","0.0893448256760111","0.100834299833751","4"
"Yes, every week","2013","Rural Area","768","0.137276315495685","0.128205246638596","0.146347384352775","2"
"Yes, every week","2013","Urban Area","1331","0.135291921402729","0.128593512990462","0.141990329814996","2"
"No, never","2014","Rural Area","","","","","1"
"No, never","2014","Urban Area","","","","","1"
"Rarely","2014","Rural Area","","","","","5"
"Rarely","2014","Urban Area","","","","","5"
"Yes, every 2 weeks","2014","Rural Area","","","","","3"
"Yes, every 2 weeks","2014","Urban Area","","","","","3"
"Yes, every 3-4 weeks","2014","Rural Area","","","","","4"
"Yes, every 3-4 weeks","2014","Urban Area","","","","","4"
"Yes, every week","2014","Rural Area","","","","","2"
"Yes, every week","2014","Urban Area","","","","","2"
"No, never","2015","Urban Area","4031","0.387765203486303","0.378226427542898","0.397303979429708","1"
"No, never","2015","Rural Area","2025","0.368883019518189","0.355888106780801","0.381877932255576","1"
"Rarely","2015","Rural Area","1225","0.237580576500438","0.226118150507223","0.249043002493653","5"
"Rarely","2015","Urban Area","2290","0.235289627653603","0.226985402657422","0.243593852649785","5"
"Yes, every 2 weeks","2015","Rural Area","878","0.172430917434586","0.162257103260452","0.182604731608721","3"
"Yes, every 2 weeks","2015","Urban Area","1487","0.153496777297461","0.146439890274629","0.160553664320293","3"
"Yes, every 3-4 weeks","2015","Rural Area","463","0.0830848732937348","0.0756512653450299","0.0905184812424398","4"
"Yes, every 3-4 weeks","2015","Urban Area","846","0.0881077457865087","0.0825585757286392","0.0936569158443781","4"
"Yes, every week","2015","Rural Area","705","0.138020613253052","0.128731066617669","0.147310159888435","2"
"Yes, every week","2015","Urban Area","1369","0.135340645776124","0.128643559865378","0.142037731686869","2"
"No, never","2016","Urban Area","","","","","1"
"No, never","2016","Rural Area","","","","","1"
"Rarely","2016","Urban Area","","","","","5"
"Rarely","2016","Rural Area","","","","","5"
"Yes, every 2 weeks","2016","Urban Area","","","","","3"
"Yes, every 2 weeks","2016","Rural Area","","","","","3"
"Yes, every 3-4 weeks","2016","Urban Area","","","","","4"
"Yes, every 3-4 weeks","2016","Rural Area","","","","","4"
"Yes, every week","2016","Urban Area","","","","","2"
"Yes, every week","2016","Rural Area","","","","","2"
"No, never","2017","Urban Area","4716","0.428270780807932","0.418976655815562","0.437564905800301","1"
"No, never","2017","Rural Area","2443","0.401956125561343","0.389471953012474","0.414440298110213","1"
"Rarely","2017","Urban Area","2169","0.208555997217013","0.200925101302082","0.216186893131944","5"
"Rarely","2017","Rural Area","1095","0.20871566532038","0.198367872592884","0.219063458047876","5"
"Yes, every 2 weeks","2017","Urban Area","1525","0.142925382402052","0.136351558133501","0.149499206670602","3"
"Yes, every 2 weeks","2017","Rural Area","988","0.159104185828584","0.149790623790502","0.168417747866666","3"
"Yes, every 3-4 weeks","2017","Urban Area","1010","0.0885559917475013","0.0832198413094756","0.093892142185527","4"
"Yes, every 3-4 weeks","2017","Rural Area","605","0.0931374150447384","0.0857373294017812","0.100537500687696","4"
"Yes, every week","2017","Urban Area","1469","0.131691847825502","0.125340433019799","0.138043262631205","2"
"Yes, every week","2017","Rural Area","794","0.137086608244954","0.128329009681262","0.145844206808646","2"
"No, never","2018","Urban Area","","","","","1"
"No, never","2018","Rural Area","","","","","1"
"Rarely","2018","Urban Area","","","","","5"
"Rarely","2018","Rural Area","","","","","5"
"Yes, every 2 weeks","2018","Urban Area","","","","","3"
"Yes, every 2 weeks","2018","Rural Area","","","","","3"
"Yes, every 3-4 weeks","2018","Urban Area","","","","","4"
"Yes, every 3-4 weeks","2018","Rural Area","","","","","4"
"Yes, every week","2018","Urban Area","","","","","2"
"Yes, every week","2018","Rural Area","","","","","2"
"No, never","2019","Urban Area","4318","0.441443464943814","0.431803188270738","0.451083741616891","1"
"No, never","2019","Rural Area","2302","0.400553575284897","0.387844981320577","0.413262169249216","1"
"Rarely","2019","Urban Area","2134","0.215317424835668","0.207337386523543","0.223297463147794","5"
"Rarely","2019","Rural Area","1114","0.206972104301469","0.196464779659589","0.217479428943349","5"
"Yes, every 2 weeks","2019","Urban Area","1410","0.13943616891702","0.132711085913499","0.14616125192054","3"
"Yes, every 2 weeks","2019","Rural Area","917","0.157799945685894","0.148345129975159","0.167254761396629","3"
"Yes, every 3-4 weeks","2019","Urban Area","868","0.0818402071937517","0.0765183786450781","0.0871620357424253","4"
"Yes, every 3-4 weeks","2019","Rural Area","543","0.0972107235422773","0.0895275207778866","0.104893926306668","4"
"Yes, every week","2019","Urban Area","1462","0.121962734109746","0.115609593992619","0.128315874226873","2"
"Yes, every week","2019","Rural Area","835","0.137463651185463","0.128533174284159","0.146394128086766","2"
