"plb0218","year","sampreg","sex","n","percent","lower_confidence","upper_confidence"
"Yes, every 3-4 weeks","2009","East Germany","Female","101","0.0783000651768067","0.062965656669404","0.0936344736842094"
"Rarely","2009","West Germany","Male","1192","0.294385282177346","0.2803121320843","0.308458432270391"
"Rarely","2009","West Germany","Female","743","0.187223092662413","0.174774288514935","0.199671896809891"
"Rarely","2009","East Germany","Male","424","0.339446621155705","0.312994605638995","0.365898636672416"
"Rarely","2009","East Germany","Female","229","0.193083844442307","0.17055295365162","0.215614735232994"
"No, never","2010","West Germany","Male","571","0.298645385954464","0.278853161598772","0.318437610310155"
"No, never","2010","West Germany","Female","708","0.421646756971979","0.397840965009533","0.445452548934424"
"No, never","2010","East Germany","Male","93","0.240820865037036","0.199928461899033","0.281713268175039"
"No, never","2010","East Germany","Female","162","0.413596070586496","0.365029640540829","0.462162500632162"
"Yes, every week","2010","West Germany","Male","285","0.128179163213934","0.113722428564109","0.142635897863758"
"Yes, every week","2010","West Germany","Female","243","0.143531726564989","0.126629603531581","0.160433849598398"
"Yes, every week","2010","East Germany","Male","54","0.130372839652355","0.0981707869867728","0.162574892317938"
"Yes, every week","2010","East Germany","Female","51","0.134860034808851","0.101175204468306","0.168544865149396"
"Yes, every 2 weeks","2010","West Germany","Male","309","0.150208973311605","0.134758140945375","0.165659805677835"
"Yes, every 2 weeks","2010","West Germany","Female","289","0.181235038407516","0.162665018433416","0.199805058381617"
"Yes, every 2 weeks","2010","East Germany","Male","85","0.187401764803932","0.150081198818244","0.22472233078962"
"Yes, every 2 weeks","2010","East Germany","Female","76","0.201020067605901","0.161498224814956","0.240541910396847"
"Yes, every 3-4 weeks","2010","West Germany","Male","233","0.116955514863581","0.103057604213956","0.130853425513206"
"Yes, every 3-4 weeks","2010","West Germany","Female","119","0.0696900037221016","0.0574153075289373","0.0819646999152659"
"Yes, every 3-4 weeks","2010","East Germany","Male","49","0.117582909333768","0.0867771085825551","0.148388710084981"
"Yes, every 3-4 weeks","2010","East Germany","Female","32","0.0847880902379435","0.0573168794432734","0.112259301032614"
"Rarely","2010","West Germany","Male","656","0.306010962656416","0.286081634009357","0.325940291303475"
"Rarely","2010","West Germany","Female","294","0.183896474333414","0.165221027881651","0.202571920785178"
"Rarely","2010","East Germany","Male","139","0.323821621172909","0.279070181935055","0.368573060410762"
"Rarely","2010","East Germany","Female","74","0.165735736760808","0.129065860451921","0.202405613069695"
"No, never","2011","West Germany","Male","2131","0.320549575700943","0.309333753723121","0.331765397678765"
"No, never","2011","West Germany","Female","2995","0.452033955965202","0.439985702473938","0.464082209456466"
"No, never","2011","East Germany","Male","466","0.271016187854991","0.250179248142972","0.29185312756701"
"No, never","2011","East Germany","Female","727","0.390979290236215","0.368467895914399","0.41349068455803"
"Yes, every week","2011","West Germany","Male","1026","0.154792045766128","0.146099225005856","0.1634848665264"
"Yes, every week","2011","West Germany","Female","937","0.147390654688902","0.138808985654693","0.155972323723111"
"Yes, every week","2011","East Germany","Male","244","0.121567624749583","0.106248268725799","0.136886980773367"
"Yes, every week","2011","East Germany","Female","233","0.149342707042139","0.132899792018679","0.165785622065598"
"Yes, every 2 weeks","2011","West Germany","Male","899","0.137785417829797","0.12950191685552","0.146068918804074"
"Yes, every 2 weeks","2011","West Germany","Female","1055","0.160063649568118","0.151187363530239","0.168939935605997"
"Yes, every 2 weeks","2011","East Germany","Male","304","0.173662982948108","0.155904346801318","0.191421619094897"
"Yes, every 2 weeks","2011","East Germany","Female","364","0.205776760639256","0.187126755908628","0.224426765369884"
"Yes, every 3-4 weeks","2011","West Germany","Male","681","0.0979947646083813","0.0908496272310059","0.105139901985757"
"Yes, every 3-4 weeks","2011","West Germany","Female","504","0.0751338777536112","0.0687524320156057","0.0815153234916167"
"Yes, every 3-4 weeks","2011","East Germany","Male","212","0.128835246677327","0.113129996045328","0.144540497309326"
"Yes, every 3-4 weeks","2011","East Germany","Female","156","0.0831948381395243","0.0704540526613191","0.0959356236177295"
"Rarely","2011","West Germany","Male","1914","0.288878196094751","0.277985534881917","0.299770857307585"
"Rarely","2011","West Germany","Female","1064","0.165377862024166","0.156384017419379","0.174371706628954"
"Rarely","2011","East Germany","Male","522","0.304917957769992","0.283336195105336","0.326499720434648"
"Rarely","2011","East Germany","Female","325","0.170706403942866","0.153348848921124","0.188063958964608"
"No, never","2012","West Germany","Male","681","0.33889764189315","0.318377693136703","0.359417590649597"
"No, never","2012","West Germany","Female","1011","0.468008821062106","0.447086897775316","0.488930744348895"
"No, never","2012","East Germany","Male","132","0.325860024057957","0.280982213313344","0.37073783480257"
"No, never","2012","East Germany","Female","225","0.428620115022839","0.385585791271966","0.471654438773712"
"Yes, every week","2012","West Germany","Male","294","0.139827401896879","0.124792638737672","0.154862165056085"
"Yes, every week","2012","West Germany","Female","333","0.146151745565608","0.131339710852359","0.160963780278856"
"Yes, every week","2012","East Germany","Male","57","0.137246928447155","0.104298428018558","0.170195428875752"
"Yes, every week","2012","East Germany","Female","61","0.121590376841151","0.0931710112059244","0.150009742476378"
"Yes, every 2 weeks","2012","West Germany","Male","331","0.177117804889826","0.160567439413307","0.193668170366346"
"Yes, every 2 weeks","2012","West Germany","Female","355","0.168303576410468","0.152616158735973","0.183990994084962"
"Yes, every 2 weeks","2012","East Germany","Male","79","0.166904828657683","0.131200338264425","0.20260931905094"
"Yes, every 2 weeks","2012","East Germany","Female","95","0.19550157881831","0.161014693929306","0.229988463707315"
"Yes, every 3-4 weeks","2012","West Germany","Male","227","0.108323034261142","0.0948498010378072","0.121796267484476"
"Yes, every 3-4 weeks","2012","West Germany","Female","159","0.0726356770718839","0.0617533303979917","0.0835180237457762"
"Yes, every 3-4 weeks","2012","East Germany","Male","38","0.0949099792611223","0.066846409925291","0.122973548596954"
"Yes, every 3-4 weeks","2012","East Germany","Female","47","0.103545637181335","0.0770517166122368","0.130039557750433"
"Rarely","2012","West Germany","Male","511","0.235834117059004","0.217430432374825","0.254237801743182"
"Rarely","2012","West Germany","Female","327","0.144900179889935","0.130140897567194","0.159659462212677"
"Rarely","2012","East Germany","Male","113","0.275078239576083","0.232320497232337","0.317835981919829"
"Rarely","2012","East Germany","Female","80","0.150742292136365","0.119628457381675","0.181856126891054"
"No, never","2013","West Germany","Male","1980","0.324384200144105","0.312494060556193","0.336274339732018"
"No, never","2013","West Germany","Female","2865","0.436836501759399","0.424570291534089","0.44910271198471"
"No, never","2013","East Germany","Male","442","0.279543888034402","0.257485270306631","0.301602505762174"
"No, never","2013","East Germany","Female","715","0.38218278309965","0.359212004529486","0.405153561669814"
"Yes, every week","2013","West Germany","Male","838","0.134487735859299","0.125822404747041","0.143153066971557"
"Yes, every week","2013","West Germany","Female","848","0.142550708582985","0.133904561734768","0.151196855431203"
"Yes, every week","2013","East Germany","Male","217","0.128326245083078","0.111886909641713","0.144765580524443"
"Yes, every week","2013","East Germany","Female","196","0.122573028999936","0.107070123424328","0.138075934575545"
"Yes, every 2 weeks","2013","West Germany","Male","809","0.13280553241455","0.124186201768214","0.141424863060886"
"Yes, every 2 weeks","2013","West Germany","Female","1024","0.162712610856645","0.15358448590734","0.171840735805951"
"Yes, every 2 weeks","2013","East Germany","Male","251","0.18196838348484","0.163004270154631","0.200932496815049"
"Yes, every 2 weeks","2013","East Germany","Female","333","0.20925823880399","0.190028704204134","0.228487773403845"
"Yes, every 3-4 weeks","2013","West Germany","Male","589","0.103496749382356","0.0957602143351252","0.111233284429587"
"Yes, every 3-4 weeks","2013","West Germany","Female","436","0.0740485204029447","0.0675728311253588","0.0805242096805306"
"Yes, every 3-4 weeks","2013","East Germany","Male","172","0.0987062816179004","0.0840455684535981","0.113366994782203"
"Yes, every 3-4 weeks","2013","East Germany","Female","163","0.100770541965819","0.0865403023627101","0.115000781568927"
"Rarely","2013","West Germany","Male","1739","0.30482578219969","0.293134022385157","0.316517542014222"
"Rarely","2013","West Germany","Female","1108","0.183851658398025","0.17427195591481","0.193431360881241"
"Rarely","2013","East Germany","Male","508","0.311455201779779","0.288693044282403","0.334217359277155"
"Rarely","2013","East Germany","Female","312","0.185215407130605","0.166851287551178","0.203579526710032"
"No, never","2014","West Germany","Male","","","",""
"No, never","2014","West Germany","Female","","","",""
"No, never","2014","East Germany","Male","","","",""
"No, never","2014","East Germany","Female","","","",""
"Yes, every week","2014","West Germany","Male","","","",""
"Yes, every week","2014","West Germany","Female","","","",""
"Yes, every week","2014","East Germany","Male","","","",""
"Yes, every week","2014","East Germany","Female","","","",""
"Yes, every 2 weeks","2014","West Germany","Male","","","",""
"Yes, every 2 weeks","2014","West Germany","Female","","","",""
"Yes, every 2 weeks","2014","East Germany","Male","","","",""
"Yes, every 2 weeks","2014","East Germany","Female","","","",""
"Yes, every 3-4 weeks","2014","West Germany","Male","","","",""
"Yes, every 3-4 weeks","2014","West Germany","Female","","","",""
"Yes, every 3-4 weeks","2014","East Germany","Male","","","",""
"Yes, every 3-4 weeks","2014","East Germany","Female","","","",""
"Rarely","2014","West Germany","Male","","","",""
"Rarely","2014","West Germany","Female","","","",""
"Rarely","2014","East Germany","Male","","","",""
"Rarely","2014","East Germany","Female","","","",""
"No, never","2015","West Germany","Male","2095","0.346757055549754","0.33477020267484","0.358743908424668"
"No, never","2015","West Germany","Female","2871","0.436285613293066","0.424026999402625","0.448544227183507"
"No, never","2015","East Germany","Male","441","0.293733920821682","0.270168056886503","0.317299784756862"
"No, never","2015","East Germany","Female","649","0.406440634477728","0.381917419068428","0.430963849887029"
"Yes, every week","2015","West Germany","Male","868","0.141144761145096","0.132375812555948","0.149913709734244"
"Yes, every week","2015","West Germany","Female","855","0.140222233742163","0.131639455205304","0.148805012279021"
"Yes, every week","2015","East Germany","Male","172","0.112719043685955","0.0963564793019418","0.129081608069968"
"Yes, every week","2015","East Germany","Female","179","0.11696842423726","0.100922334817786","0.133014513656734"
"Yes, every 2 weeks","2015","West Germany","Male","813","0.134265810940052","0.125679034386313","0.142852587493792"
"Yes, every 2 weeks","2015","West Germany","Female","1011","0.17163640120628","0.162315850705743","0.180956951706817"
"Yes, every 2 weeks","2015","East Germany","Male","240","0.189628916506898","0.169346654430878","0.209911178582919"
"Yes, every 2 weeks","2015","East Germany","Female","301","0.202328307225707","0.182270327598488","0.222386286852926"
"Yes, every 3-4 weeks","2015","West Germany","Male","603","0.0985808758982202","0.0910730381611197","0.106088713635321"
"Yes, every 3-4 weeks","2015","West Germany","Female","439","0.0698585078251983","0.0635574926973551","0.0761595229530415"
"Yes, every 3-4 weeks","2015","East Germany","Male","135","0.0942726031500767","0.0791539312396039","0.10939127506055"
"Yes, every 3-4 weeks","2015","East Germany","Female","132","0.0931707585139976","0.078658020841333","0.107683496186662"
"Rarely","2015","West Germany","Male","1677","0.279251496466878","0.267952372147969","0.290550620785786"
"Rarely","2015","West Germany","Female","1111","0.181997243933293","0.172459708817661","0.191534779048925"
"Rarely","2015","East Germany","Male","447","0.309645515835388","0.285723894410634","0.333567137260141"
"Rarely","2015","East Germany","Female","280","0.181091875545307","0.161864772896279","0.200318978194336"
"No, never","2016","West Germany","Male","","","",""
"No, never","2016","West Germany","Female","","","",""
"No, never","2016","East Germany","Male","","","",""
"No, never","2016","East Germany","Female","","","",""
"Yes, every week","2016","West Germany","Male","","","",""
"Yes, every week","2016","West Germany","Female","","","",""
"Yes, every week","2016","East Germany","Male","","","",""
"Yes, every week","2016","East Germany","Female","","","",""
"Yes, every 2 weeks","2016","West Germany","Male","","","",""
"Yes, every 2 weeks","2016","West Germany","Female","","","",""
"Yes, every 2 weeks","2016","East Germany","Male","","","",""
"Yes, every 2 weeks","2016","East Germany","Female","","","",""
"Yes, every 3-4 weeks","2016","West Germany","Male","","","",""
"Yes, every 3-4 weeks","2016","West Germany","Female","","","",""
"Yes, every 3-4 weeks","2016","East Germany","Male","","","",""
"Yes, every 3-4 weeks","2016","East Germany","Female","","","",""
"Rarely","2016","West Germany","Male","","","",""
"Rarely","2016","West Germany","Female","","","",""
"Rarely","2016","East Germany","Male","","","",""
"Rarely","2016","East Germany","Female","","","",""
"No, never","2017","West Germany","Male","2448","0.370138846571945","0.35846704254916","0.38181065059473"
"No, never","2017","West Germany","Female","3347","0.479042744965038","0.467272561762486","0.49081292816759"
"No, never","2017","East Germany","Male","575","0.373990697026621","0.350333627518774","0.397647766534468"
"No, never","2017","East Germany","Female","789","0.456696882805415","0.433108154316166","0.480285611294663"
"Yes, every week","2017","West Germany","Male","932","0.138558712282885","0.130207240810825","0.146910183754945"
"Yes, every week","2017","West Germany","Female","931","0.130555993430802","0.122617935578588","0.138494051283015"
"Yes, every week","2017","East Germany","Male","195","0.120424650345631","0.104512298450732","0.13633700224053"
"Yes, every week","2017","East Germany","Female","205","0.133728003818666","0.117610130868551","0.149845876768782"
"Yes, every 2 weeks","2017","West Germany","Male","891","0.13215025113125","0.123963916210553","0.140336586051948"
"Yes, every 2 weeks","2017","West Germany","Female","1061","0.158857994006356","0.150245394714261","0.167470593298451"
"Yes, every 2 weeks","2017","East Germany","Male","242","0.147375166374372","0.130043860153484","0.16470647259526"
"Yes, every 2 weeks","2017","East Germany","Female","319","0.183865684688711","0.165521408918641","0.20220996045878"
"Yes, every 3-4 weeks","2017","West Germany","Male","699","0.103673570154227","0.0963047090660962","0.111042431242357"
"Yes, every 3-4 weeks","2017","West Germany","Female","559","0.072628958232549","0.0665142362413245","0.0787436802237736"
"Yes, every 3-4 weeks","2017","East Germany","Male","184","0.0992630692731509","0.0846435535326835","0.113882585013618"
"Yes, every 3-4 weeks","2017","East Germany","Female","173","0.0897326169096689","0.0761985266997831","0.103266707119555"
"Rarely","2017","West Germany","Male","1604","0.255478619859692","0.244935986370401","0.266021253348983"
"Rarely","2017","West Germany","Female","1022","0.158914309365255","0.150300471987086","0.167528146743423"
"Rarely","2017","East Germany","Male","411","0.258946416980225","0.2375288609656","0.280363972994849"
"Rarely","2017","East Germany","Female","227","0.13597681177754","0.119745092032495","0.152208531522584"
"No, never","2018","West Germany","Male","","","",""
"No, never","2018","West Germany","Female","","","",""
"No, never","2018","East Germany","Male","","","",""
"No, never","2018","East Germany","Female","","","",""
"Yes, every week","2018","West Germany","Male","","","",""
"Yes, every week","2018","West Germany","Female","","","",""
"Yes, every week","2018","East Germany","Male","","","",""
"Yes, every week","2018","East Germany","Female","","","",""
"Yes, every 2 weeks","2018","West Germany","Male","","","",""
"Yes, every 2 weeks","2018","West Germany","Female","","","",""
"Yes, every 2 weeks","2018","East Germany","Male","","","",""
"Yes, every 2 weeks","2018","East Germany","Female","","","",""
"Yes, every 3-4 weeks","2018","West Germany","Male","","","",""
"Yes, every 3-4 weeks","2018","West Germany","Female","","","",""
"Yes, every 3-4 weeks","2018","East Germany","Male","","","",""
"Yes, every 3-4 weeks","2018","East Germany","Female","","","",""
"Rarely","2018","West Germany","Male","","","",""
"Rarely","2018","West Germany","Female","","","",""
"Rarely","2018","East Germany","Male","","","",""
"Rarely","2018","East Germany","Female","","","",""
"No, never","2019","West Germany","Male","2374","0.379785152678639","0.36820879479045","0.391361510566828"
"No, never","2019","West Germany","Female","3207","0.488566597502757","0.476571354483373","0.500561840522142"
"No, never","2019","East Germany","Male","571","0.365125564641481","0.342365410798546","0.387885718484415"
"No, never","2019","East Germany","Female","805","0.441413404995972","0.417885075158735","0.464941734833208"
"Yes, every week","2019","West Germany","Male","1135","0.132937664728881","0.124839603474798","0.141035725982964"
"Yes, every week","2019","West Germany","Female","859","0.121462743224684","0.113623858910039","0.12930162753933"
"Yes, every week","2019","East Germany","Male","237","0.116946660077566","0.101755269388058","0.132138050767074"
"Yes, every week","2019","East Germany","Female","199","0.134261574423825","0.118107119788832","0.150416029058817"
"Yes, every 2 weeks","2019","West Germany","Male","903","0.126649423898686","0.118716600445825","0.134582247351547"
"Yes, every 2 weeks","2019","West Germany","Female","998","0.157154309922088","0.148420780174441","0.165887839669735"
"Yes, every 2 weeks","2019","East Germany","Male","280","0.170649163845631","0.1528650848654","0.188433242825861"
"Yes, every 2 weeks","2019","East Germany","Female","303","0.171046670176803","0.153204591978066","0.18888874837554"
"Yes, every 3-4 weeks","2019","West Germany","Male","678","0.0990837742946237","0.0919572897230393","0.106210258866208"
"Yes, every 3-4 weeks","2019","West Germany","Female","529","0.0723413907593369","0.0661249737896805","0.0785578077289933"
"Yes, every 3-4 weeks","2019","East Germany","Male","165","0.0928107127850649","0.0790937435920098","0.10652768197812"
"Yes, every 3-4 weeks","2019","East Germany","Female","138","0.0885687251525273","0.0751062397170602","0.102031210587994"
"Rarely","2019","West Germany","Male","1662","0.26154398439917","0.251061443674006","0.272026525124334"
"Rarely","2019","West Germany","Female","1078","0.160474958591133","0.151667044211897","0.169282872970369"
"Rarely","2019","East Germany","Male","466","0.254467898650257","0.23387773357216","0.275058063728355"
"Rarely","2019","East Germany","Female","266","0.164709625250873","0.147134383227683","0.182284867274064"
