"plh0194","year","sampreg","n","percent","lower_confidence","upper_confidence"
"Rather agree","2013","East Germany","2498","0.420574797925532","0.407800825362975","0.433348770488089"
"Rather disagree","2013","West Germany","2229","0.111762413303573","0.107370576114582","0.116154250492563"
"Rather disagree","2013","East Germany","558","0.0986934312942652","0.0909757638927494","0.106411098695781"
"Disagree fully","2013","West Germany","275","0.0154378703852491","0.0137193723829801","0.017156368387518"
"Disagree fully","2013","East Germany","75","0.010332268195641","0.00771560270668258","0.0129489336845995"
"Fully agree","2014","West Germany","","","",""
"Fully agree","2014","East Germany","","","",""
"Rather agree","2014","West Germany","","","",""
"Rather agree","2014","East Germany","","","",""
"Rather disagree","2014","West Germany","","","",""
"Rather disagree","2014","East Germany","","","",""
"Disagree fully","2014","West Germany","","","",""
"Disagree fully","2014","East Germany","","","",""
"Fully agree","2015","West Germany","","","",""
"Fully agree","2015","East Germany","","","",""
"Rather agree","2015","West Germany","","","",""
"Rather agree","2015","East Germany","","","",""
"Rather disagree","2015","West Germany","","","",""
"Rather disagree","2015","East Germany","","","",""
"Disagree fully","2015","West Germany","","","",""
"Disagree fully","2015","East Germany","","","",""
"Fully agree","2016","West Germany","","","",""
"Fully agree","2016","East Germany","","","",""
"Rather agree","2016","West Germany","","","",""
"Rather agree","2016","East Germany","","","",""
"Rather disagree","2016","West Germany","","","",""
"Rather disagree","2016","East Germany","","","",""
"Disagree fully","2016","West Germany","","","",""
"Disagree fully","2016","East Germany","","","",""
"Fully agree","2017","West Germany","","","",""
"Fully agree","2017","East Germany","","","",""
"Rather agree","2017","West Germany","","","",""
"Rather agree","2017","East Germany","","","",""
"Rather disagree","2017","West Germany","","","",""
"Rather disagree","2017","East Germany","","","",""
"Disagree fully","2017","West Germany","","","",""
"Disagree fully","2017","East Germany","","","",""
"Fully agree","2018","West Germany","10178","0.39534341217153","0.389082723168069","0.401604101174992"
"Fully agree","2018","East Germany","2851","0.44808105510468","0.435558314102143","0.460603796107217"
"Rather agree","2018","West Germany","9770","0.449201173358578","0.442831789432509","0.455570557284646"
"Rather agree","2018","East Germany","2480","0.433663800465392","0.421184299950084","0.446143300980699"
"Rather disagree","2018","West Germany","3024","0.138201238773488","0.133782082252281","0.142620395294695"
"Rather disagree","2018","East Germany","606","0.100482719019326","0.0929120562488569","0.108053381789796"
"Disagree fully","2018","West Germany","456","0.0172541756964041","0.0155867434541447","0.0189216079386635"
"Disagree fully","2018","East Germany","121","0.0177724254106022","0.0144453482907561","0.0210995025304483"
