"m11125","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence"
"2 on Scale 1 to 10","1984","Couple + C. LE and GT 16","East Germany","","","",""
"3 on Scale 1 to 10","1984","1-pers.-HH","West Germany","80","0.0645160162593202","0.0513278332271465","0.0777041992914939"
"3 on Scale 1 to 10","1984","1-pers.-HH","East Germany","","","",""
"3 on Scale 1 to 10","1984","(Married) couple without C. ","West Germany","144","0.0578999803158982","0.0490969446411507","0.0667030159906457"
"3 on Scale 1 to 10","1984","(Married) couple without C. ","East Germany","","","",""
"3 on Scale 1 to 10","1984","Single parent ","West Germany","25","","",""
"3 on Scale 1 to 10","1984","Single parent ","East Germany","","","",""
"3 on Scale 1 to 10","1984","Couple + C. LE 16 ","West Germany","80","0.0226073570842251","0.0173525643674642","0.027862149800986"
"3 on Scale 1 to 10","1984","Couple + C. LE 16 ","East Germany","","","",""
"3 on Scale 1 to 10","1984","Couple + C. GT 16 ","West Germany","71","0.0344168560568065","0.0263993572394282","0.0424343548741848"
"3 on Scale 1 to 10","1984","Couple + C. GT 16 ","East Germany","","","",""
"3 on Scale 1 to 10","1984","Couple + C. LE and GT 16","West Germany","52","0.0264484991855221","0.0188584790976438","0.0340385192734003"
"3 on Scale 1 to 10","1984","Couple + C. LE and GT 16","East Germany","","","",""
"4 on Scale 1 to 10","1984","1-pers.-HH","West Germany","77","0.0604717187734602","0.0476760172392232","0.0732674203076973"
"4 on Scale 1 to 10","1984","1-pers.-HH","East Germany","","","",""
"4 on Scale 1 to 10","1984","(Married) couple without C. ","West Germany","130","0.0497314452519415","0.0415376809555269","0.0579252095483562"
"4 on Scale 1 to 10","1984","(Married) couple without C. ","East Germany","","","",""
"4 on Scale 1 to 10","1984","Single parent ","West Germany","27","","",""
"4 on Scale 1 to 10","1984","Single parent ","East Germany","","","",""
"4 on Scale 1 to 10","1984","Couple + C. LE 16 ","West Germany","87","0.0264172101750059","0.0207479540327613","0.0320864663172504"
"4 on Scale 1 to 10","1984","Couple + C. LE 16 ","East Germany","","","",""
"4 on Scale 1 to 10","1984","Couple + C. GT 16 ","West Germany","75","0.0415054481272362","0.032733302216032","0.0502775940384403"
"4 on Scale 1 to 10","1984","Couple + C. GT 16 ","East Germany","","","",""
"4 on Scale 1 to 10","1984","Couple + C. LE and GT 16","West Germany","64","0.0360850577420257","0.0272634853575993","0.0449066301264521"
"4 on Scale 1 to 10","1984","Couple + C. LE and GT 16","East Germany","","","",""
"5 on Scale 1 to 10","1984","1-pers.-HH","West Germany","220","0.175378224843412","0.154963278133235","0.19579317155359"
"5 on Scale 1 to 10","1984","1-pers.-HH","East Germany","","","",""
"5 on Scale 1 to 10","1984","(Married) couple without C. ","West Germany","492","0.188492146973328","0.173750780552711","0.203233513393944"
"5 on Scale 1 to 10","1984","(Married) couple without C. ","East Germany","","","",""
"5 on Scale 1 to 10","1984","Single parent ","West Germany","90","0.157474321509794","0.127805161201606","0.187143481817982"
"5 on Scale 1 to 10","1984","Single parent ","East Germany","","","",""
"5 on Scale 1 to 10","1984","Couple + C. LE 16 ","West Germany","364","0.116848215682864","0.105492228929201","0.128204202436527"
"5 on Scale 1 to 10","1984","Couple + C. LE 16 ","East Germany","","","",""
"5 on Scale 1 to 10","1984","Couple + C. GT 16 ","West Germany","289","0.157882973048646","0.141846371409474","0.173919574687819"
"5 on Scale 1 to 10","1984","Couple + C. GT 16 ","East Germany","","","",""
"5 on Scale 1 to 10","1984","Couple + C. LE and GT 16","West Germany","197","0.116888626419578","0.101691663280452","0.132085589558705"
"5 on Scale 1 to 10","1984","Couple + C. LE and GT 16","East Germany","","","",""
"6 on Scale 1 to 10","1984","1-pers.-HH","West Germany","87","0.0660221349103646","0.052691645628746","0.0793526241919832"
"6 on Scale 1 to 10","1984","1-pers.-HH","East Germany","","","",""
"6 on Scale 1 to 10","1984","(Married) couple without C. ","West Germany","188","0.072599496236644","0.0628193530148504","0.0823796394584376"
"6 on Scale 1 to 10","1984","(Married) couple without C. ","East Germany","","","",""
"6 on Scale 1 to 10","1984","Single parent ","West Germany","34","0.0615229219877087","0.0419507456086473","0.0810950983667702"
"6 on Scale 1 to 10","1984","Single parent ","East Germany","","","",""
"6 on Scale 1 to 10","1984","Couple + C. LE 16 ","West Germany","189","0.0560607070769208","0.047928705067107","0.0641927090867345"
"6 on Scale 1 to 10","1984","Couple + C. LE 16 ","East Germany","","","",""
"6 on Scale 1 to 10","1984","Couple + C. GT 16 ","West Germany","142","0.0743811311679823","0.0628411272072287","0.0859211351287359"
"6 on Scale 1 to 10","1984","Couple + C. GT 16 ","East Germany","","","",""
"6 on Scale 1 to 10","1984","Couple + C. LE and GT 16","West Germany","99","0.0529073076087221","0.0423192324132461","0.063495382804198"
"6 on Scale 1 to 10","1984","Couple + C. LE and GT 16","East Germany","","","",""
"7 on Scale 1 to 10","1984","1-pers.-HH","West Germany","149","0.109967267368471","0.0931727424772647","0.126761792259677"
"7 on Scale 1 to 10","1984","1-pers.-HH","East Germany","","","",""
"7 on Scale 1 to 10","1984","(Married) couple without C. ","West Germany","350","0.128330970182123","0.115724709194142","0.140937231170103"
"7 on Scale 1 to 10","1984","(Married) couple without C. ","East Germany","","","",""
"7 on Scale 1 to 10","1984","Single parent ","West Germany","66","0.112959956870838","0.0871764087732844","0.138743504968392"
"7 on Scale 1 to 10","1984","Single parent ","East Germany","","","",""
"7 on Scale 1 to 10","1984","Couple + C. LE 16 ","West Germany","344","0.119658870466584","0.108185418410623","0.131132322522546"
"7 on Scale 1 to 10","1984","Couple + C. LE 16 ","East Germany","","","",""
"7 on Scale 1 to 10","1984","Couple + C. GT 16 ","West Germany","209","0.105934030915958","0.0923989455177186","0.119469116314198"
"7 on Scale 1 to 10","1984","Couple + C. GT 16 ","East Germany","","","",""
"7 on Scale 1 to 10","1984","Couple + C. LE and GT 16","West Germany","183","0.123283372225824","0.107732855746511","0.138833888705138"
"7 on Scale 1 to 10","1984","Couple + C. LE and GT 16","East Germany","","","",""
"8 on Scale 1 to 10","1984","1-pers.-HH","West Germany","206","0.149636487237465","0.130487135465192","0.168785839009739"
"8 on Scale 1 to 10","1984","1-pers.-HH","East Germany","","","",""
"8 on Scale 1 to 10","1984","(Married) couple without C. ","West Germany","455","0.162939072092138","0.149019178928941","0.176858965255335"
"8 on Scale 1 to 10","1984","(Married) couple without C. ","East Germany","","","",""
"8 on Scale 1 to 10","1984","Single parent ","West Germany","96","0.169456902236521","0.138899282135734","0.200014522337308"
"8 on Scale 1 to 10","1984","Single parent ","East Germany","","","",""
"8 on Scale 1 to 10","1984","Couple + C. LE 16 ","West Germany","608","0.216997826281271","0.20242629023348","0.231569362329061"
"8 on Scale 1 to 10","1984","Couple + C. LE 16 ","East Germany","","","",""
"8 on Scale 1 to 10","1984","Couple + C. GT 16 ","West Germany","344","0.177860240002326","0.161042380040665","0.194678099963986"
"8 on Scale 1 to 10","1984","Couple + C. GT 16 ","East Germany","","","",""
"8 on Scale 1 to 10","1984","Couple + C. LE and GT 16","West Germany","323","0.19553915814736","0.176779182574965","0.214299133719756"
"8 on Scale 1 to 10","1984","Couple + C. LE and GT 16","East Germany","","","",""
"9 on Scale 1 to 10","1984","1-pers.-HH","West Germany","128","0.0878785348913124","0.0726800338253805","0.103077035957244"
"9 on Scale 1 to 10","1984","1-pers.-HH","East Germany","","","",""
"9 on Scale 1 to 10","1984","(Married) couple without C. ","West Germany","240","0.0857867263524699","0.0752312325192839","0.096342220185656"
"9 on Scale 1 to 10","1984","(Married) couple without C. ","East Germany","","","",""
"9 on Scale 1 to 10","1984","Single parent ","West Germany","64","0.111827239957961","0.0861569167443554","0.137497563171566"
"9 on Scale 1 to 10","1984","Single parent ","East Germany","","","",""
"9 on Scale 1 to 10","1984","Couple + C. LE 16 ","West Germany","410","0.135275596779255","0.123185083278138","0.147366110280371"
"9 on Scale 1 to 10","1984","Couple + C. LE 16 ","East Germany","","","",""
"9 on Scale 1 to 10","1984","Couple + C. GT 16 ","West Germany","247","0.119792667159574","0.105511421908837","0.134073912410312"
"9 on Scale 1 to 10","1984","Couple + C. GT 16 ","East Germany","","","",""
"9 on Scale 1 to 10","1984","Couple + C. LE and GT 16","West Germany","216","0.137671965984946","0.121374429831256","0.153969502138635"
"9 on Scale 1 to 10","1984","Couple + C. LE and GT 16","East Germany","","","",""
"10 Completely satisfied","1984","1-pers.-HH","West Germany","241","0.161617520488049","0.141857002119627","0.18137803885647"
"10 Completely satisfied","1984","1-pers.-HH","East Germany","","","",""
"10 Completely satisfied","1984","(Married) couple without C. ","West Germany","447","0.152707085247466","0.139149225758768","0.166264944736164"
"10 Completely satisfied","1984","(Married) couple without C. ","East Germany","","","",""
"10 Completely satisfied","1984","Single parent ","West Germany","138","0.22476434570514","0.190763525904429","0.258765165505851"
"10 Completely satisfied","1984","Single parent ","East Germany","","","",""
"10 Completely satisfied","1984","Couple + C. LE 16 ","West Germany","849","0.260819131085332","0.245297361207665","0.276340900962999"
"10 Completely satisfied","1984","Couple + C. LE 16 ","East Germany","","","",""
"10 Completely satisfied","1984","Couple + C. GT 16 ","West Germany","473","0.217756340815637","0.199604741355261","0.235907940276012"
"10 Completely satisfied","1984","Couple + C. GT 16 ","East Germany","","","",""
"10 Completely satisfied","1984","Couple + C. LE and GT 16","West Germany","494","0.269163543073353","0.248184717919309","0.290142368227397"
"10 Completely satisfied","1984","Couple + C. LE and GT 16","East Germany","","","",""
"0 Completely dissatisfied","1985","1-pers.-HH","West Germany","33","0.0274663871953952","0.0181213241222931","0.0368114502684974"
"0 Completely dissatisfied","1985","1-pers.-HH","East Germany","","","",""
"0 Completely dissatisfied","1985","(Married) couple without C. ","West Germany","73","0.0328389822939579","0.0257341471978021","0.0399438173901138"
"0 Completely dissatisfied","1985","(Married) couple without C. ","East Germany","","","",""
"0 Completely dissatisfied","1985","Single parent ","West Germany","16","","",""
"0 Completely dissatisfied","1985","Single parent ","East Germany","","","",""
"0 Completely dissatisfied","1985","Couple + C. LE 16 ","West Germany","36","0.0141380330897965","0.00966327107603767","0.0186127951035554"
"0 Completely dissatisfied","1985","Couple + C. LE 16 ","East Germany","","","",""
"0 Completely dissatisfied","1985","Couple + C. GT 16 ","West Germany","34","0.017091815767173","0.0114465270972945","0.0227371044370514"
"0 Completely dissatisfied","1985","Couple + C. GT 16 ","East Germany","","","",""
"0 Completely dissatisfied","1985","Couple + C. LE and GT 16","West Germany","22","","",""
"0 Completely dissatisfied","1985","Couple + C. LE and GT 16","East Germany","","","",""
"1 on Scale 1 to 10","1985","1-pers.-HH","West Germany","20","","",""
"1 on Scale 1 to 10","1985","1-pers.-HH","East Germany","","","",""
"1 on Scale 1 to 10","1985","(Married) couple without C. ","West Germany","40","0.0179452353962632","0.0126528410220745","0.0232376297704519"
"1 on Scale 1 to 10","1985","(Married) couple without C. ","East Germany","","","",""
"1 on Scale 1 to 10","1985","Single parent ","West Germany","5","","",""
"1 on Scale 1 to 10","1985","Single parent ","East Germany","","","",""
"1 on Scale 1 to 10","1985","Couple + C. LE 16 ","West Germany","23","","",""
"1 on Scale 1 to 10","1985","Couple + C. LE 16 ","East Germany","","","",""
"1 on Scale 1 to 10","1985","Couple + C. GT 16 ","West Germany","17","","",""
"1 on Scale 1 to 10","1985","Couple + C. GT 16 ","East Germany","","","",""
"1 on Scale 1 to 10","1985","Couple + C. LE and GT 16","West Germany","16","","",""
"1 on Scale 1 to 10","1985","Couple + C. LE and GT 16","East Germany","","","",""
"2 on Scale 1 to 10","1985","1-pers.-HH","West Germany","49","0.0455580652345515","0.033635037614987","0.057481092854116"
"2 on Scale 1 to 10","1985","1-pers.-HH","East Germany","","","",""
"2 on Scale 1 to 10","1985","(Married) couple without C. ","West Germany","86","0.0377914118169111","0.0301891829748845","0.0453936406589377"
"2 on Scale 1 to 10","1985","(Married) couple without C. ","East Germany","","","",""
"2 on Scale 1 to 10","1985","Single parent ","West Germany","19","","",""
"2 on Scale 1 to 10","1985","Single parent ","East Germany","","","",""
"2 on Scale 1 to 10","1985","Couple + C. LE 16 ","West Germany","37","0.0126065695166481","0.00837782967296192","0.0168353093603343"
"2 on Scale 1 to 10","1985","Couple + C. LE 16 ","East Germany","","","",""
"2 on Scale 1 to 10","1985","Couple + C. GT 16 ","West Germany","43","0.0200550454404293","0.0139491657463966","0.026160925134462"
"2 on Scale 1 to 10","1985","Couple + C. GT 16 ","East Germany","","","",""
"2 on Scale 1 to 10","1985","Couple + C. LE and GT 16","West Germany","34","0.0175863540280686","0.0108943053994311","0.0242784026567061"
"2 on Scale 1 to 10","1985","Couple + C. LE and GT 16","East Germany","","","",""
"3 on Scale 1 to 10","1985","1-pers.-HH","West Germany","60","0.0585755319944605","0.0451485001371075","0.0720025638518135"
"3 on Scale 1 to 10","1985","1-pers.-HH","East Germany","","","",""
"3 on Scale 1 to 10","1985","(Married) couple without C. ","West Germany","117","0.0506178672452962","0.0418784552367785","0.0593572792538139"
"3 on Scale 1 to 10","1985","(Married) couple without C. ","East Germany","","","",""
"3 on Scale 1 to 10","1985","Single parent ","West Germany","14","","",""
"3 on Scale 1 to 10","1985","Single parent ","East Germany","","","",""
"3 on Scale 1 to 10","1985","Couple + C. LE 16 ","West Germany","67","0.0234638351483864","0.017726488974502","0.0292011813222708"
"3 on Scale 1 to 10","1985","Couple + C. LE 16 ","East Germany","","","",""
"3 on Scale 1 to 10","1985","Couple + C. GT 16 ","West Germany","69","0.0344503721974656","0.0265067270252511","0.0423940173696801"
"3 on Scale 1 to 10","1985","Couple + C. GT 16 ","East Germany","","","",""
"3 on Scale 1 to 10","1985","Couple + C. LE and GT 16","West Germany","52","0.0316770125155116","0.0227602701574203","0.040593754873603"
"3 on Scale 1 to 10","1985","Couple + C. LE and GT 16","East Germany","","","",""
"4 on Scale 1 to 10","1985","1-pers.-HH","West Germany","68","0.0619319921925257","0.0481502587649064","0.0757137256201449"
"4 on Scale 1 to 10","1985","1-pers.-HH","East Germany","","","",""
"4 on Scale 1 to 10","1985","(Married) couple without C. ","West Germany","124","0.0557579596164611","0.0466104080029976","0.0649055112299246"
"4 on Scale 1 to 10","1985","(Married) couple without C. ","East Germany","","","",""
"4 on Scale 1 to 10","1985","Single parent ","West Germany","32","0.0591611659955055","0.039262352065556","0.0790599799254549"
"4 on Scale 1 to 10","1985","Single parent ","East Germany","","","",""
"4 on Scale 1 to 10","1985","Couple + C. LE 16 ","West Germany","102","0.0377292269292444","0.0305072683961517","0.0449511854623371"
"4 on Scale 1 to 10","1985","Couple + C. LE 16 ","East Germany","","","",""
"4 on Scale 1 to 10","1985","Couple + C. GT 16 ","West Germany","96","0.0472379234285781","0.0379978971294211","0.056477949727735"
"4 on Scale 1 to 10","1985","Couple + C. GT 16 ","East Germany","","","",""
"4 on Scale 1 to 10","1985","Couple + C. LE and GT 16","West Germany","52","0.038700315069816","0.0288803342494925","0.0485202958901394"
"4 on Scale 1 to 10","1985","Couple + C. LE and GT 16","East Germany","","","",""
"5 on Scale 1 to 10","1985","1-pers.-HH","West Germany","185","0.16883375581156","0.147414580418141","0.190252931204978"
"5 on Scale 1 to 10","1985","1-pers.-HH","East Germany","","","",""
"5 on Scale 1 to 10","1985","(Married) couple without C. ","West Germany","446","0.18614687946062","0.170629775764052","0.201663983157187"
"5 on Scale 1 to 10","1985","(Married) couple without C. ","East Germany","","","",""
"5 on Scale 1 to 10","1985","Single parent ","West Germany","83","0.157247990198005","0.126544081832755","0.187951898563256"
"5 on Scale 1 to 10","1985","Single parent ","East Germany","","","",""
"5 on Scale 1 to 10","1985","Couple + C. LE 16 ","West Germany","342","0.126166465464274","0.113581451218602","0.138751479709946"
"5 on Scale 1 to 10","1985","Couple + C. LE 16 ","East Germany","","","",""
"5 on Scale 1 to 10","1985","Couple + C. GT 16 ","West Germany","310","0.160439495238236","0.144454326657936","0.176424663818536"
"5 on Scale 1 to 10","1985","Couple + C. GT 16 ","East Germany","","","",""
"5 on Scale 1 to 10","1985","Couple + C. LE and GT 16","West Germany","181","0.123224806083717","0.10649013472583","0.139959477441603"
"5 on Scale 1 to 10","1985","Couple + C. LE and GT 16","East Germany","","","",""
"6 on Scale 1 to 10","1985","1-pers.-HH","West Germany","95","0.084562749280011","0.068654111444031","0.100471387115991"
"6 on Scale 1 to 10","1985","1-pers.-HH","East Germany","","","",""
"6 on Scale 1 to 10","1985","(Married) couple without C. ","West Germany","230","0.0983920524086365","0.0865180087505804","0.110266096066692"
"6 on Scale 1 to 10","1985","(Married) couple without C. ","East Germany","","","",""
"6 on Scale 1 to 10","1985","Single parent ","West Germany","42","0.0781385205906868","0.0555016370086491","0.100775404172725"
"6 on Scale 1 to 10","1985","Single parent ","East Germany","","","",""
"6 on Scale 1 to 10","1985","Couple + C. LE 16 ","West Germany","206","0.07832616003411","0.0681423699701218","0.0885099500980982"
"6 on Scale 1 to 10","1985","Couple + C. LE 16 ","East Germany","","","",""
"6 on Scale 1 to 10","1985","Couple + C. GT 16 ","West Germany","145","0.0732312667954318","0.0618845677138882","0.0845779658769754"
"6 on Scale 1 to 10","1985","Couple + C. GT 16 ","East Germany","","","",""
"6 on Scale 1 to 10","1985","Couple + C. LE and GT 16","West Germany","94","0.0649291529276951","0.0523842843397881","0.0774740215156021"
"6 on Scale 1 to 10","1985","Couple + C. LE and GT 16","East Germany","","","",""
"7 on Scale 1 to 10","1985","1-pers.-HH","West Germany","156","0.132203611464114","0.112836728125128","0.1515704948031"
"7 on Scale 1 to 10","1985","1-pers.-HH","East Germany","","","",""
"7 on Scale 1 to 10","1985","(Married) couple without C. ","West Germany","313","0.130141814169798","0.116728304661864","0.143555323677732"
"7 on Scale 1 to 10","1985","(Married) couple without C. ","East Germany","","","",""
"7 on Scale 1 to 10","1985","Single parent ","West Germany","76","0.124545464892057","0.0966950308095662","0.152395898974549"
"7 on Scale 1 to 10","1985","Single parent ","East Germany","","","",""
"7 on Scale 1 to 10","1985","Couple + C. LE 16 ","West Germany","379","0.148637879017682","0.135154793126981","0.162120964908382"
"7 on Scale 1 to 10","1985","Couple + C. LE 16 ","East Germany","","","",""
"7 on Scale 1 to 10","1985","Couple + C. GT 16 ","West Germany","279","0.143846960710901","0.128562095131024","0.159131826290778"
"7 on Scale 1 to 10","1985","Couple + C. GT 16 ","East Germany","","","",""
"7 on Scale 1 to 10","1985","Couple + C. LE and GT 16","West Germany","172","0.127221336279252","0.110256251821583","0.144186420736922"
"7 on Scale 1 to 10","1985","Couple + C. LE and GT 16","East Germany","","","",""
"8 on Scale 1 to 10","1985","1-pers.-HH","West Germany","210","0.167058260527026","0.145729262797469","0.188387258256583"
"8 on Scale 1 to 10","1985","1-pers.-HH","East Germany","","","",""
"8 on Scale 1 to 10","1985","(Married) couple without C. ","West Germany","442","0.173883545381365","0.158773713041454","0.188993377721276"
"8 on Scale 1 to 10","1985","(Married) couple without C. ","East Germany","","","",""
"8 on Scale 1 to 10","1985","Single parent ","West Germany","99","0.191212424877754","0.158043873747332","0.224380976008177"
"8 on Scale 1 to 10","1985","Single parent ","East Germany","","","",""
"8 on Scale 1 to 10","1985","Couple + C. LE 16 ","West Germany","615","0.236524701526611","0.22041812885899","0.252631274194232"
"8 on Scale 1 to 10","1985","Couple + C. LE 16 ","East Germany","","","",""
"8 on Scale 1 to 10","1985","Couple + C. GT 16 ","West Germany","426","0.206050340758411","0.188433877226874","0.223666804289948"
"8 on Scale 1 to 10","1985","Couple + C. GT 16 ","East Germany","","","",""
"8 on Scale 1 to 10","1985","Couple + C. LE and GT 16","West Germany","334","0.228125683706312","0.206761594828571","0.249489772584053"
"8 on Scale 1 to 10","1985","Couple + C. LE and GT 16","East Germany","","","",""
"9 on Scale 1 to 10","1985","1-pers.-HH","West Germany","110","0.0831296946869746","0.0673440906744743","0.098915298699475"
"9 on Scale 1 to 10","1985","1-pers.-HH","East Germany","","","",""
"9 on Scale 1 to 10","1985","(Married) couple without C. ","West Germany","230","0.0897237981499163","0.078330481046168","0.101117115253665"
"9 on Scale 1 to 10","1985","(Married) couple without C. ","East Germany","","","",""
"9 on Scale 1 to 10","1985","Single parent ","West Germany","54","0.0946933460444711","0.0699983592218329","0.119388332867109"
"9 on Scale 1 to 10","1985","Single parent ","East Germany","","","",""
"9 on Scale 1 to 10","1985","Couple + C. LE 16 ","West Germany","356","0.139715166662975","0.126574714808788","0.152855618517163"
"9 on Scale 1 to 10","1985","Couple + C. LE 16 ","East Germany","","","",""
"9 on Scale 1 to 10","1985","Couple + C. GT 16 ","West Germany","226","0.116961999999708","0.102964590548142","0.130959409451274"
"9 on Scale 1 to 10","1985","Couple + C. GT 16 ","East Germany","","","",""
"9 on Scale 1 to 10","1985","Couple + C. LE and GT 16","West Germany","192","0.142454125956718","0.124659445803818","0.160248806109619"
"9 on Scale 1 to 10","1985","Couple + C. LE and GT 16","East Germany","","","",""
"10 Completely satisfied","1985","1-pers.-HH","West Germany","189","0.148759769522362","0.128412882368525","0.169106656676198"
"10 Completely satisfied","1985","1-pers.-HH","East Germany","","","",""
"10 Completely satisfied","1985","(Married) couple without C. ","West Germany","316","0.126760454060775","0.113496642095012","0.140024266026538"
"10 Completely satisfied","1985","(Married) couple without C. ","East Germany","","","",""
"10 Completely satisfied","1985","Single parent ","West Germany","100","0.181892948420224","0.149356944591057","0.214428952249392"
"10 Completely satisfied","1985","Single parent ","East Germany","","","",""
"10 Completely satisfied","1985","Couple + C. LE 16 ","West Germany","511","0.174689796891097","0.160298174129362","0.189081419652832"
"10 Completely satisfied","1985","Couple + C. LE 16 ","East Germany","","","",""
"10 Completely satisfied","1985","Couple + C. GT 16 ","West Germany","380","0.172025746871125","0.155588059386971","0.18846343435528"
"10 Completely satisfied","1985","Couple + C. GT 16 ","East Germany","","","",""
"10 Completely satisfied","1985","Couple + C. LE and GT 16","West Germany","333","0.199668614445465","0.179316299456146","0.220020929434783"
"10 Completely satisfied","1985","Couple + C. LE and GT 16","East Germany","","","",""
"0 Completely dissatisfied","1986","1-pers.-HH","West Germany","36","0.033510501579617","0.0229660965000696","0.0440549066591644"
"0 Completely dissatisfied","1986","1-pers.-HH","East Germany","","","",""
"0 Completely dissatisfied","1986","(Married) couple without C. ","West Germany","69","0.0322762112456902","0.0251759129321324","0.039376509559248"
"0 Completely dissatisfied","1986","(Married) couple without C. ","East Germany","","","",""
"0 Completely dissatisfied","1986","Single parent ","West Germany","18","","",""
"0 Completely dissatisfied","1986","Single parent ","East Germany","","","",""
"0 Completely dissatisfied","1986","Couple + C. LE 16 ","West Germany","21","","",""
"0 Completely dissatisfied","1986","Couple + C. LE 16 ","East Germany","","","",""
"0 Completely dissatisfied","1986","Couple + C. GT 16 ","West Germany","39","0.0199204931181318","0.0139486395341222","0.0258923467021414"
"0 Completely dissatisfied","1986","Couple + C. GT 16 ","East Germany","","","",""
"0 Completely dissatisfied","1986","Couple + C. LE and GT 16","West Germany","15","","",""
"0 Completely dissatisfied","1986","Couple + C. LE and GT 16","East Germany","","","",""
"1 on Scale 1 to 10","1986","1-pers.-HH","West Germany","21","","",""
"1 on Scale 1 to 10","1986","1-pers.-HH","East Germany","","","",""
"1 on Scale 1 to 10","1986","(Married) couple without C. ","West Germany","40","0.0177415678820508","0.012437995578594","0.0230451401855076"
"1 on Scale 1 to 10","1986","(Married) couple without C. ","East Germany","","","",""
"1 on Scale 1 to 10","1986","Single parent ","West Germany","4","","",""
"1 on Scale 1 to 10","1986","Single parent ","East Germany","","","",""
"1 on Scale 1 to 10","1986","Couple + C. LE 16 ","West Germany","12","","",""
"1 on Scale 1 to 10","1986","Couple + C. LE 16 ","East Germany","","","",""
"1 on Scale 1 to 10","1986","Couple + C. GT 16 ","West Germany","30","0.0132424529986247","0.00835685304229023","0.0181280529549592"
"1 on Scale 1 to 10","1986","Couple + C. GT 16 ","East Germany","","","",""
"1 on Scale 1 to 10","1986","Couple + C. LE and GT 16","West Germany","8","","",""
"1 on Scale 1 to 10","1986","Couple + C. LE and GT 16","East Germany","","","",""
"2 on Scale 1 to 10","1986","1-pers.-HH","West Germany","30","0.0286691067006156","0.0188916989042777","0.0384465144969534"
"2 on Scale 1 to 10","1986","1-pers.-HH","East Germany","","","",""
"2 on Scale 1 to 10","1986","(Married) couple without C. ","West Germany","67","0.033101086469888","0.0259136954448618","0.0402884774949142"
"2 on Scale 1 to 10","1986","(Married) couple without C. ","East Germany","","","",""
"2 on Scale 1 to 10","1986","Single parent ","West Germany","11","","",""
