"m11125","year","sex","n","percent","lower_confidence","upper_confidence","value"
"6 on Scale 1 to 10","1986","Male","420","0.0841390726013189","0.0766336464351661","0.0916444987674717","6"
"7 on Scale 1 to 10","1986","Male","741","0.144971410508497","0.135452368766252","0.154490452250742","7"
"7 on Scale 1 to 10","1986","Female","669","0.124347981950923","0.115514939154909","0.133181024746936","7"
"8 on Scale 1 to 10","1986","Female","1046","0.188347250867322","0.177881028389451","0.198813473345194","8"
"8 on Scale 1 to 10","1986","Male","1159","0.22243552324504","0.21119123398021","0.23367981250987","8"
"9 on Scale 1 to 10","1986","Female","626","0.108329034776582","0.100009482848371","0.116648586704792","9"
"9 on Scale 1 to 10","1986","Male","686","0.125875363517865","0.116906884838322","0.134843842197407","9"
"0 Completely dissatisfied","1987","Female","112","0.0255516484458323","0.021302704629615","0.0298005922620497","0"
"0 Completely dissatisfied","1987","Male","72","0.0162531848710241","0.0128153687808333","0.0196910009612149","0"
"1 on Scale 1 to 10","1987","Male","58","0.0135642694437103","0.0104193875937365","0.0167091512936841","1"
"1 on Scale 1 to 10","1987","Female","83","0.0187004522039454","0.0150527534261846","0.0223481509817063","1"
"10 Completely satisfied","1987","Female","682","0.116366276751761","0.107731684685862","0.12500086881766","10"
"10 Completely satisfied","1987","Male","793","0.122332753135045","0.113424181978595","0.131241324291494","10"
"2 on Scale 1 to 10","1987","Female","173","0.0367216338875463","0.0316572220455976","0.041786045729495","2"
"2 on Scale 1 to 10","1987","Male","132","0.0258715168834526","0.0215554238230249","0.0301876099438803","2"
"3 on Scale 1 to 10","1987","Female","242","0.0463245787523226","0.0406648170205983","0.0519843404840469","3"
"3 on Scale 1 to 10","1987","Male","182","0.039272588133058","0.0339915830527804","0.0445535932133356","3"
"4 on Scale 1 to 10","1987","Female","240","0.0509572910646548","0.0450357034583449","0.0568788786709647","4"
"4 on Scale 1 to 10","1987","Male","228","0.0474782887306944","0.0416965734253182","0.0532600040360707","4"
"5 on Scale 1 to 10","1987","Female","837","0.172890281201057","0.162707674577326","0.183072887824788","5"
"5 on Scale 1 to 10","1987","Male","657","0.138280472717308","0.128895454334292","0.147665491100324","5"
"6 on Scale 1 to 10","1987","Female","508","0.0969785106043147","0.0890099677658504","0.104947053442779","6"
"6 on Scale 1 to 10","1987","Male","427","0.0916155280654888","0.0837723671015205","0.099458689029457","6"
"7 on Scale 1 to 10","1987","Male","817","0.161856540697205","0.151842806951815","0.171870274442595","7"
"7 on Scale 1 to 10","1987","Female","752","0.13961843394631","0.130285696596926","0.148951171295695","7"
"8 on Scale 1 to 10","1987","Female","1100","0.201796076304612","0.190989070070426","0.212603082538798","8"
"8 on Scale 1 to 10","1987","Male","1182","0.224423416953978","0.213080672133389","0.235766161774567","8"
"9 on Scale 1 to 10","1987","Female","569","0.0940948168376443","0.0862331191976156","0.101956514477673","9"
"9 on Scale 1 to 10","1987","Male","649","0.119051440369036","0.11024674499868","0.127856135739392","9"
"0 Completely dissatisfied","1988","Female","107","0.0276477867285561","0.0231296669497458","0.0321659065073664","0"
"0 Completely dissatisfied","1988","Male","82","0.0208415657682319","0.0168587668851741","0.0248243646512898","0"
"1 on Scale 1 to 10","1988","Female","77","0.0184606162586983","0.0147513098171108","0.0221699227002858","1"
"1 on Scale 1 to 10","1988","Male","61","0.0140679846685002","0.0107844912635899","0.0173514780734105","1"
"10 Completely satisfied","1988","Female","582","0.100257483521045","0.0919812397760152","0.108533727266075","10"
"10 Completely satisfied","1988","Male","654","0.102550509655773","0.0940924520313388","0.111008567280208","10"
"2 on Scale 1 to 10","1988","Female","153","0.0349911815452578","0.0299275663308624","0.0400547967596532","2"
"2 on Scale 1 to 10","1988","Male","127","0.0310677712243596","0.0262305219228924","0.0359050205258268","2"
"3 on Scale 1 to 10","1988","Female","238","0.0491542118012921","0.0431968885904413","0.0551115350121429","3"
"3 on Scale 1 to 10","1988","Male","213","0.046247564621204","0.0403921320470889","0.0521029971953192","3"
"4 on Scale 1 to 10","1988","Female","276","0.05888051630574","0.0523938144321862","0.0653672181792937","4"
"4 on Scale 1 to 10","1988","Male","222","0.0488622035846008","0.0428517815920488","0.0548726255771528","4"
"5 on Scale 1 to 10","1988","Male","649","0.142087041297539","0.132352946533605","0.151821136061473","5"
"5 on Scale 1 to 10","1988","Female","789","0.166592218549707","0.156324549006808","0.176859888092605","5"
"6 on Scale 1 to 10","1988","Female","461","0.0944131462494293","0.0863557069734665","0.102470585525392","6"
"6 on Scale 1 to 10","1988","Male","428","0.0922038091620167","0.084137677063913","0.10026994126012","6"
"7 on Scale 1 to 10","1988","Male","744","0.155647601312237","0.145540425800752","0.165754776823722","7"
"7 on Scale 1 to 10","1988","Female","685","0.134781310020584","0.125371225287286","0.144191394753881","7"
"8 on Scale 1 to 10","1988","Female","1119","0.214290822093615","0.20298379455558","0.22559784963165","8"
"8 on Scale 1 to 10","1988","Male","1119","0.225009076692702","0.213366608843125","0.236651544542279","8"
"9 on Scale 1 to 10","1988","Male","643","0.121414872012836","0.112308936141135","0.130520807884537","9"
"9 on Scale 1 to 10","1988","Female","572","0.100530706926076","0.0922444519971707","0.108816961854981","9"
"0 Completely dissatisfied","1989","Female","128","0.0309170486537184","0.0260759646878437","0.035758132619593","0"
"0 Completely dissatisfied","1989","Male","85","0.0193391013788421","0.0154314036957333","0.023246799061951","0"
"1 on Scale 1 to 10","1989","Female","69","0.0172462834559493","0.013605178219039","0.0208873886928596","1"
"1 on Scale 1 to 10","1989","Male","54","0.0117098283168045","0.00865729168189098","0.014762364951718","1"
"10 Completely satisfied","1989","Female","553","0.102274974891832","0.0938003695857851","0.110749580197879","10"
"10 Completely satisfied","1989","Male","624","0.111265983530591","0.102342991811528","0.120188975249654","10"
"2 on Scale 1 to 10","1989","Female","158","0.0353482172834874","0.0301836710748991","0.0405127634920757","2"
"2 on Scale 1 to 10","1989","Male","127","0.0305605668864097","0.0256764682477125","0.0354446655251069","2"
"3 on Scale 1 to 10","1989","Female","256","0.0574010046587617","0.0508954196368337","0.0639065896806898","3"
"3 on Scale 1 to 10","1989","Male","216","0.0475538638864465","0.0415149824911462","0.0535927452817468","3"
"4 on Scale 1 to 10","1989","Female","253","0.0547510130663676","0.0483884468676078","0.0611135792651274","4"
"4 on Scale 1 to 10","1989","Male","237","0.0545115694231848","0.0480696418881899","0.0609534969581796","4"
"5 on Scale 1 to 10","1989","Female","808","0.179151893625538","0.168426697916144","0.189877089334932","5"
"5 on Scale 1 to 10","1989","Male","593","0.133721088050677","0.124063421538092","0.143378754563261","5"
"6 on Scale 1 to 10","1989","Female","465","0.0969927158673021","0.0887156137974367","0.105269817937168","6"
"6 on Scale 1 to 10","1989","Male","427","0.0963408924779024","0.0879684720179096","0.104713312937895","6"
"7 on Scale 1 to 10","1989","Female","653","0.127308078328241","0.117985810346312","0.13663034631017","7"
"7 on Scale 1 to 10","1989","Male","687","0.149628777447721","0.139507036361138","0.159750518534303","7"
"8 on Scale 1 to 10","1989","Female","1044","0.205976201069229","0.194665529139303","0.217286872999156","8"
"8 on Scale 1 to 10","1989","Male","1127","0.230826615009203","0.21887026972776","0.242782960290645","8"
"9 on Scale 1 to 10","1989","Male","594","0.114541713592219","0.105505025885004","0.123578401299434","9"
"9 on Scale 1 to 10","1989","Female","524","0.0926325690995728","0.0845241428336739","0.100740995365472","9"
"0 Completely dissatisfied","1990","Female","203","0.0315957422920598","0.0275406714508308","0.0356508131332888","0"
"0 Completely dissatisfied","1990","Male","141","0.0209328701436831","0.0175274883369213","0.0243382519504449","0"
"1 on Scale 1 to 10","1990","Male","72","0.0113554136790261","0.00883502939384381","0.0138757979642084","1"
"1 on Scale 1 to 10","1990","Female","97","0.0189938477188369","0.015829398283385","0.0221582971542888","1"
"10 Completely satisfied","1990","Male","970","0.116850733502336","0.109209244992403","0.124492222012269","10"
"10 Completely satisfied","1990","Female","883","0.100079735831592","0.0931225931555227","0.107036878507661","10"
"2 on Scale 1 to 10","1990","Male","166","0.0252302246206177","0.0214998128527115","0.0289606363885239","2"
"2 on Scale 1 to 10","1990","Female","192","0.028991726857128","0.0251021323663124","0.0328813213479435","2"
"3 on Scale 1 to 10","1990","Female","330","0.0526032548897465","0.0474280437613805","0.0577784660181126","3"
"3 on Scale 1 to 10","1990","Male","265","0.0423457570225174","0.0375555475426342","0.0471359665024007","3"
"4 on Scale 1 to 10","1990","Female","360","0.0543388678960192","0.0490837933418045","0.0595939424502339","4"
"4 on Scale 1 to 10","1990","Male","325","0.0521422064574626","0.0468539625004785","0.0574304504144466","4"
"5 on Scale 1 to 10","1990","Female","1194","0.176520238809711","0.16768171904933","0.185358758570091","5"
"5 on Scale 1 to 10","1990","Male","910","0.14146170126104","0.133171893455692","0.149751509066388","5"
"6 on Scale 1 to 10","1990","Female","656","0.0958681290767718","0.0890430319781266","0.102693226175417","6"
"6 on Scale 1 to 10","1990","Male","601","0.0949173473832255","0.0879452715281131","0.101889423238338","6"
"7 on Scale 1 to 10","1990","Male","997","0.153082140303926","0.144517125949357","0.161647154658494","7"
"7 on Scale 1 to 10","1990","Female","1002","0.141894395506358","0.133805135227643","0.149983655785073","7"
"8 on Scale 1 to 10","1990","Female","1476","0.199365467590139","0.190103613266322","0.208627321913955","8"
"8 on Scale 1 to 10","1990","Male","1555","0.234048184678817","0.223976582802181","0.244119786555453","8"
"9 on Scale 1 to 10","1990","Male","787","0.107633420947349","0.100261334708884","0.115005507185814","9"
"9 on Scale 1 to 10","1990","Female","755","0.0997485935316388","0.0928016924681958","0.106695494595082","9"
"0 Completely dissatisfied","1991","Female","152","0.028930596832808","0.0250027181701628","0.0328584754954533","0"
"0 Completely dissatisfied","1991","Male","112","0.0203716898553838","0.0169755978837679","0.0237677818269996","0"
"1 on Scale 1 to 10","1991","Male","67","0.0100162569228759","0.00762237893656161","0.0124101349091902","1"
"1 on Scale 1 to 10","1991","Female","87","0.015423372283314","0.0125355619676332","0.0183111825989949","1"
"10 Completely satisfied","1991","Female","675","0.0842110438604453","0.0777032099891762","0.0907188777317143","10"
"10 Completely satisfied","1991","Male","784","0.100686779478063","0.0934528051110395","0.107920753845086","10"
"2 on Scale 1 to 10","1991","Male","136","0.0248972121345887","0.0211514878165182","0.0286429364526592","2"
"2 on Scale 1 to 10","1991","Female","180","0.0294247523110312","0.0254644782139207","0.0333850264081417","2"
"3 on Scale 1 to 10","1991","Female","333","0.0512893962886914","0.0461200586117834","0.0564587339655994","3"
"3 on Scale 1 to 10","1991","Male","312","0.0519126846064576","0.0465793827599362","0.0572459864529789","3"
"4 on Scale 1 to 10","1991","Female","389","0.0610490746790167","0.0554383982733143","0.0666597510847192","4"
"4 on Scale 1 to 10","1991","Male","288","0.0483388413281471","0.0431827032152957","0.0534949794409984","4"
"5 on Scale 1 to 10","1991","Female","1159","0.177308015137135","0.168357726341254","0.186258303933016","5"
"5 on Scale 1 to 10","1991","Male","888","0.143163705937181","0.134743927861776","0.151583484012586","5"
"6 on Scale 1 to 10","1991","Female","709","0.104624246707006","0.0974517052285621","0.11179678818545","6"
"6 on Scale 1 to 10","1991","Male","576","0.0915613905588472","0.0846281026735452","0.0984946784441492","6"
"7 on Scale 1 to 10","1991","Male","972","0.148021976593039","0.139484833762766","0.156559119423311","7"
"7 on Scale 1 to 10","1991","Female","987","0.142598633810737","0.13440448211682","0.150792785504653","7"
"8 on Scale 1 to 10","1991","Female","1513","0.200816753959886","0.191428660845982","0.210204847073791","8"
"8 on Scale 1 to 10","1991","Male","1613","0.23609671707592","0.225887336014945","0.246306098136894","8"
"9 on Scale 1 to 10","1991","Male","899","0.124932745509497","0.116984082044281","0.132881408974714","9"
"9 on Scale 1 to 10","1991","Female","811","0.10432411412993","0.0971606675698528","0.111487560690006","9"
"0 Completely dissatisfied","1992","Female","147","0.027571937004781","0.0237022183969308","0.0314416556126312","0"
"0 Completely dissatisfied","1992","Male","101","0.0192555409686313","0.0159057352462691","0.0226053466909935","0"
"1 on Scale 1 to 10","1992","Male","78","0.0134171417534094","0.0106126083749254","0.0162216751318934","1"
"1 on Scale 1 to 10","1992","Female","77","0.0163116159121554","0.013318012466028","0.0193052193582829","1"
"10 Completely satisfied","1992","Female","605","0.0801690457701128","0.0737514202351398","0.0865866713050858","10"
"10 Completely satisfied","1992","Male","766","0.105653309981329","0.0981602651303208","0.113146354832336","10"
"2 on Scale 1 to 10","1992","Female","204","0.033343129054719","0.0291002920002177","0.0375859661092203","2"
"2 on Scale 1 to 10","1992","Male","143","0.0258554921340608","0.0219869090909552","0.0297240751771664","2"
"3 on Scale 1 to 10","1992","Female","318","0.0516600663581803","0.046429165312425","0.0568909674039357","3"
"3 on Scale 1 to 10","1992","Male","242","0.0413078822197373","0.0364570096083547","0.0461587548311199","3"
"4 on Scale 1 to 10","1992","Female","373","0.0581873014808744","0.052654903877984","0.0637196990837647","4"
"4 on Scale 1 to 10","1992","Male","283","0.0478219073326594","0.0426203143556856","0.0530235003096332","4"
"5 on Scale 1 to 10","1992","Female","997","0.153415001697471","0.144898010388419","0.161931993006522","5"
"5 on Scale 1 to 10","1992","Male","797","0.128002748914854","0.119858875162487","0.136146622667222","5"
"6 on Scale 1 to 10","1992","Female","637","0.0965941230836292","0.0896128630750583","0.1035753830922","6"
"6 on Scale 1 to 10","1992","Male","538","0.0832099864745343","0.0764773294823147","0.0899426434667539","6"
"7 on Scale 1 to 10","1992","Female","1053","0.151841821309093","0.143360741801418","0.160322900816769","7"
"7 on Scale 1 to 10","1992","Male","972","0.157161609464665","0.148289861106425","0.166033357822905","7"
"8 on Scale 1 to 10","1992","Female","1606","0.220913730601005","0.211109328026274","0.230718133175736","8"
"8 on Scale 1 to 10","1992","Male","1669","0.256666434468531","0.246019116174486","0.267313752762577","8"
"9 on Scale 1 to 10","1992","Female","861","0.109992227727979","0.102597964550456","0.117386490905502","9"
"9 on Scale 1 to 10","1992","Male","876","0.121647946287588","0.113679924230307","0.129615968344869","9"
"0 Completely dissatisfied","1993","Female","128","0.0242509190173843","0.0205852996480624","0.0279165383867062","0"
"0 Completely dissatisfied","1993","Male","100","0.0188729407643714","0.0155339119498135","0.0222119695789293","0"
"1 on Scale 1 to 10","1993","Male","63","0.0120285995825816","0.00935363847437673","0.0147035606907865","1"
"1 on Scale 1 to 10","1993","Female","90","0.0168818390030508","0.0138119199299733","0.0199517580761283","1"
"10 Completely satisfied","1993","Female","616","0.0869321271261168","0.0802185207480343","0.0936457335041993","10"
"10 Completely satisfied","1993","Male","656","0.0885106788177469","0.081541022229784","0.0954803354057097","10"
"2 on Scale 1 to 10","1993","Female","211","0.0358389644581089","0.0314093420748012","0.0402685868414166","2"
"2 on Scale 1 to 10","1993","Male","179","0.0292689426608214","0.0251328455126449","0.0334050398089979","2"
"3 on Scale 1 to 10","1993","Female","329","0.0550436999468775","0.0496090213870258","0.0604783785067293","3"
"3 on Scale 1 to 10","1993","Male","276","0.0461715261229904","0.0410220860548873","0.0513209661910934","3"
"4 on Scale 1 to 10","1993","Female","421","0.0634701096739311","0.057660330353697","0.0692798889941651","4"
"4 on Scale 1 to 10","1993","Male","296","0.0521309740856058","0.0466764126514268","0.0575855355197848","4"
"5 on Scale 1 to 10","1993","Female","1075","0.167009011751411","0.158121006651379","0.175897016851444","5"
"5 on Scale 1 to 10","1993","Male","841","0.135180446514928","0.126790533847478","0.143570359182377","5"
"6 on Scale 1 to 10","1993","Female","714","0.104563611491057","0.0972720280914564","0.111855194890658","6"
"6 on Scale 1 to 10","1993","Male","665","0.108418223434134","0.10078919055636","0.116047256311909","6"
"7 on Scale 1 to 10","1993","Female","1019","0.152790591198178","0.144217096545059","0.161364085851298","7"
"7 on Scale 1 to 10","1993","Male","1008","0.156385821844224","0.147473140589396","0.165298503099053","7"
"8 on Scale 1 to 10","1993","Female","1463","0.203398077945447","0.193806097430949","0.212990058459946","8"
"8 on Scale 1 to 10","1993","Male","1532","0.246205490774325","0.235634563047809","0.256776418500841","8"
"9 on Scale 1 to 10","1993","Female","699","0.089821048388436","0.0830076051151729","0.0966344916616991","9"
"9 on Scale 1 to 10","1993","Male","764","0.106826355398271","0.0992467794786139","0.114405931317928","9"
"0 Completely dissatisfied","1994","Female","124","0.0244373199980848","0.0207352107345351","0.0281394292616344","0"
"0 Completely dissatisfied","1994","Male","101","0.0187820408468199","0.0154105038967042","0.0221535777969356","0"
"1 on Scale 1 to 10","1994","Female","79","0.0153294697274727","0.0123836654287","0.0182752740262454","1"
"1 on Scale 1 to 10","1994","Male","68","0.01542517403098","0.012364527411991","0.018485820649969","1"
"10 Completely satisfied","1994","Female","521","0.0707868710209582","0.0646375256991085","0.0769362163428078","10"
"10 Completely satisfied","1994","Male","560","0.07831362684409","0.0716411966174684","0.0849860570707116","10"
"2 on Scale 1 to 10","1994","Female","207","0.0387416631889721","0.0341146147539274","0.0433687116240169","2"
"2 on Scale 1 to 10","1994","Male","160","0.0295477276020067","0.0253421764171579","0.0337532787868555","2"
"3 on Scale 1 to 10","1994","Female","410","0.0681247165220969","0.0620834762909151","0.0741659567532786","3"
"3 on Scale 1 to 10","1994","Male","298","0.0525519515810003","0.0470102145167074","0.0580936886452932","3"
"4 on Scale 1 to 10","1994","Female","421","0.0627168613920127","0.0569035656748575","0.0685301571091678","4"
"4 on Scale 1 to 10","1994","Male","327","0.0550848216025824","0.0494186962883558","0.060750946916809","4"
"5 on Scale 1 to 10","1994","Female","1085","0.174268202005776","0.16517276783113","0.183363636180423","5"
"5 on Scale 1 to 10","1994","Male","826","0.135948593540709","0.127436606783731","0.144460580297687","5"
"6 on Scale 1 to 10","1994","Female","697","0.100790168763553","0.0935718764593569","0.108008461067749","6"
"6 on Scale 1 to 10","1994","Male","648","0.102360408456388","0.0948322146009141","0.109888602311861","6"
"7 on Scale 1 to 10","1994","Female","1044","0.156868225815362","0.148148354498225","0.165588097132499","7"
"7 on Scale 1 to 10","1994","Male","1016","0.167843741715394","0.158562014358732","0.177125469072056","7"
"8 on Scale 1 to 10","1994","Female","1377","0.193762067351483","0.184285286258539","0.203238848444427","8"
"8 on Scale 1 to 10","1994","Male","1474","0.234852787239846","0.224324829117909","0.245380745361782","8"
"9 on Scale 1 to 10","1994","Male","750","0.109289126540185","0.101540394485046","0.117037858595323","9"
"9 on Scale 1 to 10","1994","Female","717","0.0941744342142279","0.0871714418600199","0.101177426568436","9"
"0 Completely dissatisfied","1995","Male","74","0.0154782079320434","0.0124564601802711","0.0184999556838157","0"
"0 Completely dissatisfied","1995","Female","118","0.0233071961229616","0.0197482475788613","0.0268661446670619","0"
"1 on Scale 1 to 10","1995","Male","55","0.0104280140851279","0.00794139247700916","0.0129146356932466","1"
"1 on Scale 1 to 10","1995","Female","77","0.0134103201902211","0.0106970967682807","0.0161235436121615","1"
"10 Completely satisfied","1995","Male","582","0.0752455074627093","0.0687883895775811","0.0817026253478375","10"
"10 Completely satisfied","1995","Female","531","0.0666158192909018","0.0607339332705313","0.0724977053112722","10"
"2 on Scale 1 to 10","1995","Male","145","0.0257341788595113","0.0218582205803942","0.0296101371386284","2"
"2 on Scale 1 to 10","1995","Female","211","0.0389052727861013","0.0343440106768063","0.0434665348953963","2"
"3 on Scale 1 to 10","1995","Male","313","0.0543392291671905","0.048790294314631","0.05988816401975","3"
"3 on Scale 1 to 10","1995","Female","389","0.0632677544801779","0.0575253121132453","0.0690101968471106","3"
"4 on Scale 1 to 10","1995","Female","395","0.0624383122046132","0.0567311107427971","0.0681455136664293","4"
"4 on Scale 1 to 10","1995","Male","353","0.0565382518866724","0.0508847370123838","0.0621917667609611","4"
"5 on Scale 1 to 10","1995","Male","846","0.139077981982838","0.130607730587152","0.147548233378524","5"
"5 on Scale 1 to 10","1995","Female","1082","0.167150844680103","0.158349781021674","0.175951908338531","5"
"6 on Scale 1 to 10","1995","Male","654","0.103743434749488","0.0962792618837922","0.111207607615183","6"
"6 on Scale 1 to 10","1995","Female","712","0.103315880605406","0.0961362685241487","0.110495492686663","6"
"7 on Scale 1 to 10","1995","Male","1055","0.167235042665624","0.158100010810322","0.176370074520926","7"
"7 on Scale 1 to 10","1995","Female","1106","0.162218796202426","0.153522915101192","0.170914677303661","7"
"8 on Scale 1 to 10","1995","Male","1559","0.238142892846591","0.227716339329627","0.248569446363554","8"
"8 on Scale 1 to 10","1995","Female","1526","0.203666869707924","0.194167270424571","0.213166468991277","8"
"9 on Scale 1 to 10","1995","Male","775","0.114037258362205","0.106256600553136","0.121817916171273","9"
"9 on Scale 1 to 10","1995","Female","757","0.0957029337291643","0.0887636301687248","0.102642237289604","9"
"0 Completely dissatisfied","1996","Male","81","0.0171769935519738","0.0139708788125391","0.0203831082914086","0"
"0 Completely dissatisfied","1996","Female","111","0.0188135928507893","0.0155847908823342","0.0220423948192443","0"
"1 on Scale 1 to 10","1996","Male","60","0.0105491013894693","0.00802810232700045","0.0130701004519382","1"
"1 on Scale 1 to 10","1996","Female","79","0.0155926560718186","0.0126483886768235","0.0185369234668137","1"
"10 Completely satisfied","1996","Male","484","0.0658262012578471","0.059707192636878","0.0719452098788162","10"
"10 Completely satisfied","1996","Female","521","0.0723791540376209","0.0662214079282094","0.0785369001470324","10"
"2 on Scale 1 to 10","1996","Male","162","0.0292545601252825","0.0250962460040568","0.0334128742465082","2"
"2 on Scale 1 to 10","1996","Female","210","0.0380187820185788","0.0334740092568434","0.0425635547803142","2"
"3 on Scale 1 to 10","1996","Male","293","0.0502646356520274","0.0448732499617753","0.0556560213422794","3"
"3 on Scale 1 to 10","1996","Female","349","0.0536358101419454","0.048281711739206","0.0589899085446849","3"
"4 on Scale 1 to 10","1996","Female","425","0.0704910874619756","0.0644080055905525","0.0765741693333987","4"
"4 on Scale 1 to 10","1996","Male","336","0.0578397168622594","0.0520794407310504","0.0635999929934683","4"
